EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,SecondChanceOffPoss,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGA,SecondChanceFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PtsAssisted3s,ThreePtAssists,Corner3Assists,OffThreePtRebounds,Steals,BadPassSteals,Loose Ball Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Assisted3sPct,PenaltyFg3Pct,OffThreePtReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,SecondChanceShotQualityAvg,SecondChanceFtPoints,SecondChancePoints,Fg2aBlocked,SelfOReb,Travels,BlockedShortMidRange,SecondChanceTsPct,FG2APctBlocked,ShortMidRangePctBlocked,OffAtRimReboundPct,SelfORebPct,SecondChancePointsPct,LongMidRangeFGM,Loose Ball Fouls,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangeAssists,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,LongMidRangePctAssisted,SecondChanceAtRimFGM,PenaltyArc3FGM,SecondChanceFG2M,PtsPutbacks,Arc3Assists,FTDefRebounds,LostBallSteals,ThreePtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,AtRimPctBlocked,DefFTReboundPct,OffShortMidRangeReboundPct,Arc3PctAssisted,SecondChanceAtRimAccuracy,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,Technical Free Throw Trips,LongMidRangePctBlocked,FTOffRebounds,SecondChanceTurnovers,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,OffFTReboundPct,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,Offensive Fouls,3SecondViolations,DefensiveGoaltends,SecondChanceCorner3FGA,SecondChanceFG3A,SecondChanceCorner3Frequency,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,HeaveAttempts,StepOutOfBoundsTurnovers,BadPassOutOfBoundsTurnovers,Blocked3s,BlockedArc3,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Defensive 3 Seconds Violations,BlockedLongMidRange,OffensiveGoaltends,BlockedCorner3,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
101113-101145-101194-200753-2440,1610612744,"Ike Diogu, Monta Ellis, Anthony Roberson, Patrick O'Bryant, Matt Barnes","Diogu, Ellis, Roberson, O'Bryant, Barnes",101113-101145-101194-200753-2440,GSW,422.0,2,7.0,-5.0,13.0,13.0,3.0,26.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,4.0,8.0,1.0,1.0,2.0,13.0,18.0,1.0,2.0,2.0,4.0,4.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,4.0,5.0,1.0,6.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,13.0,2.0,3.0,0.5,0.5,1.0,1.0,0.5,0.5,0.6111111111111112,0.5,0.65,0.5,0.1111111111111111,0.5,0.8,0.25,0.5,0.7142857142857143,0.25,0.3333333333333333,1.0,1.0,0.5,88.72037914691943,14.846153846153847,17.615384615384617,14.846153846153847,14.307692307692308,0.2222222222222222,1.0,1.0,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.3333333333333333,0.1111111111111111,1.0,1.0,0.3333333333333333,1.0,0.4825611111111111,0.39435,0.1,0.1111111111111111,0.15384615384615385,9.625,24.8,0.23076923076923078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2007,2006-07,False
101113-101145-101194-200753-2554,1610612744,"Ike Diogu, Monta Ellis, Anthony Roberson, Patrick O'Bryant, Mickael Pietrus","Diogu, Ellis, Roberson, O'Bryant, Pietrus",101113-101145-101194-200753-2554,GSW,405.0,2,7.0,5.0,11.0,13.0,6.0,24.0,3.0,4.0,1.0,2.0,2.0,,2.0,4.0,8.0,1.0,3.0,5.0,16.0,11.0,2.0,4.0,9.0,2.0,6.0,,2.0,,1.0,2.0,1.0,,5.0,1.0,1.0,4.0,5.0,2.0,7.0,,,,,,,,2.0,2.0,4.0,6.0,3.0,16.0,9.0,6.0,0.25,0.25,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.5833333333333334,0.5714285714285714,0.6428571428571429,0.2727272727272727,,0.6666666666666666,0.25,1.0,0.7142857142857143,0.3333333333333333,0.5,0.5,1.0,,85.33333333333333,15.727272727272727,17.846153846153847,13.181818181818182,15.615384615384615,0.36363636363636365,0.75,0.75,0.3333333333333333,0.18181818181818182,0.5,0.5,,0.18181818181818182,0.18181818181818182,,,0.6363636363636364,,0.5432727272727272,0.62285,0.21428571428571427,0.2727272727272727,0.5625,7.3,24.266666666666666,0.5454545454545454,7.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.09090909090909091,1.0,1.0,1.0,0.5,0.5,0.6666666666666666,0.16666666666666666,1.0,0.16666666666666666,0.3455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2007,2006-07,False
101113-101145-101194-2202-2399,1610612744,"Ike Diogu, Monta Ellis, Anthony Roberson, Jason Richardson, Mike Dunleavy","Diogu, Ellis, Roberson, Richardson, Dunleavy",101113-101145-101194-2202-2399,GSW,175.0,1,3.0,2.0,6.0,5.0,4.0,11.0,,3.0,,1.0,1.0,,1.0,,5.0,,1.0,2.0,2.0,,,1.0,,,,,1.0,,,,,,,3.0,,4.0,4.0,3.0,7.0,1.0,,1.0,,1.0,2.0,2.0,,,2.0,2.0,1.0,,,4.0,,,,,,,,,0.14285714285714285,,0.16666666666666666,0.5,0.8,0.6,,0.8,0.5,,1.0,,,90.51428571428572,15.0,17.0,14.166666666666666,16.4,0.5,,,,0.16666666666666666,,,,0.16666666666666666,0.16666666666666666,,,0.6666666666666666,,0.51125,0.47545,0.14285714285714285,0.16666666666666666,,6.34,25.7,0.6666666666666666,5.0,1.0,2.0,,,,,,,1.0,2.0,,1.0,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,1.0,,,,,0.5,0.5802,2.0,2.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,1.0,1.0,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2007,2006-07,False
101113-101145-101194-2202-2440,1610612744,"Ike Diogu, Monta Ellis, Anthony Roberson, Jason Richardson, Matt Barnes","Diogu, Ellis, Roberson, Richardson, Barnes",101113-101145-101194-2202-2440,GSW,137.0,1,2.0,,5.0,4.0,,9.0,1.0,1.0,,,2.0,,,2.0,3.0,,,1.0,5.0,5.0,,,,2.0,2.0,,,,1.0,1.0,1.0,,2.0,,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,1.0,2.0,1.0,2.0,1.0,5.0,,,0.5,0.5,,,0.6666666666666666,,0.6666666666666666,,0.625,,,1.0,0.5,,,0.5,,,1.0,,,94.59854014598541,15.2,15.25,15.2,14.5,0.3333333333333333,1.0,1.0,1.0,,,,,0.6666666666666666,,,,0.3333333333333333,,0.3800666666666667,,0.25,0.25,,11.966666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2007,2006-07,False
101113-101145-101194-2202-2740,1610612744,"Ike Diogu, Monta Ellis, Anthony Roberson, Jason Richardson, Andris Biedrins","Diogu, Ellis, Roberson, Richardson, Biedrins",101113-101145-101194-2202-2740,GSW,56.0,1,1.0,-4.0,1.0,1.0,,2.0,,,,1.0,,,,,1.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.42857142857143,27.0,29.0,27.0,29.0,,,,,1.0,,,,,,,,,,0.3524,,,,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2007,2006-07,False
101113-101145-101194-2399-2554,1610612744,"Ike Diogu, Monta Ellis, Anthony Roberson, Mike Dunleavy, Mickael Pietrus","Diogu, Ellis, Roberson, Dunleavy, Pietrus",101113-101145-101194-2399-2554,GSW,157.0,2,3.0,2.0,6.0,4.0,3.0,10.0,1.0,3.0,,,1.0,,,2.0,4.0,,,2.0,6.0,4.0,1.0,2.0,4.0,2.0,2.0,,,,1.0,1.0,,,2.0,1.0,,2.0,2.0,1.0,3.0,1.0,,1.0,,1.0,2.0,1.0,,,1.0,2.0,,4.0,4.0,3.0,0.5,0.5,,,0.5,0.5,0.5,0.5,0.6,0.6666666666666666,,0.5,1.0,0.5,,1.0,0.5,,1.0,1.0,,91.71974522292993,14.0,18.25,14.0,18.25,0.75,0.3333333333333333,0.3333333333333333,,,,,,0.25,,,,0.75,,0.461825,0.46515,,,0.6666666666666666,5.825,,0.5,2.0,1.0,,1.0,2.0,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,0.5,,,,,2.0,2.0,,,1.0,,1.0,,,0.5,,0.3333333333333333,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2007,2006-07,False
101113-101145-101235-2211-2399,1610612744,"Ike Diogu, Monta Ellis, Kelenna Azubuike, Troy Murphy, Mike Dunleavy","Diogu, Ellis, Azubuike, Murphy, Dunleavy",101113-101145-101235-2211-2399,GSW,926.0,4,15.0,-3.0,29.0,32.0,23.0,61.0,2.0,8.0,1.0,6.0,5.0,1.0,7.0,5.0,19.0,1.0,7.0,11.0,24.0,27.0,5.0,17.0,20.0,6.0,4.0,,7.0,1.0,3.0,4.0,,1.0,9.0,5.0,3.0,5.0,9.0,5.0,14.0,1.0,1.0,1.0,,,2.0,2.0,3.0,6.0,7.0,15.0,6.0,22.0,20.0,23.0,0.6,0.75,0.14285714285714285,0.14285714285714285,0.2631578947368421,0.29411764705882354,0.25,0.29545454545454547,0.36363636363636365,0.37037037037037035,0.2692307692307692,0.5,0.38461538461538464,0.35714285714285715,0.6,0.4444444444444444,0.2631578947368421,0.3333333333333333,0.14285714285714285,1.0,0.5,94.85961123110151,13.206896551724139,16.96875,12.517241379310345,15.21875,0.3076923076923077,0.25,0.3333333333333333,,0.23076923076923078,0.16666666666666666,0.25,1.0,0.19230769230769232,0.2692307692307692,0.14285714285714285,0.14285714285714285,0.5769230769230769,0.14285714285714285,0.449916,0.4358880952380953,0.21212121212121213,0.24,0.8333333333333334,7.889473684210526,29.75714285714286,0.7931034482758621,18.0,3.0,4.0,2.0,7.0,,,,,5.0,5.0,1.0,5.0,7.0,3.0,1.0,,,3.0,2.0,,1.0,1.0,1.0,,1.0,0.2,,,0.5,1.0,,,,,,0.8,0.3181818181818182,0.2857142857142857,,,0.22727272727272727,0.47534,,2.0,4.0,1.0,,,0.2,0.21052631578947367,0.3333333333333333,0.3333333333333333,0.06666666666666667,0.08333333333333333,2.0,1.0,0.4,0.4,2.0,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.2,0.2,0.25,1.0,0.4,1.0,0.25,0.2,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2007,2006-07,False
101113-101145-1502-2202-2399,1610612744,"Ike Diogu, Monta Ellis, Adonal Foyle, Jason Richardson, Mike Dunleavy","Diogu, Ellis, Foyle, Richardson, Dunleavy",101113-101145-1502-2202-2399,GSW,53.0,1,1.0,,2.0,2.0,,4.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,2.0,1.0,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,0.5,,1.0,0.6666666666666666,,,1.0,,1.0,108.67924528301887,15.0,11.5,15.0,7.5,,,,,1.0,,,,,,,,,,0.3802,,,,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2007,2006-07,False
101113-101145-1884-200753-2399,1610612744,"Ike Diogu, Monta Ellis, Baron Davis, Patrick O'Bryant, Mike Dunleavy","Diogu, Ellis, Davis, O'Bryant, Dunleavy",101113-101145-1884-200753-2399,GSW,128.0,1,2.0,4.0,4.0,3.0,2.0,7.0,2.0,2.0,,1.0,1.0,,,2.0,4.0,,,2.0,6.0,2.0,1.0,1.0,2.0,,4.0,,,,,,,,,2.0,,1.0,1.0,2.0,3.0,1.0,1.0,,,,1.0,1.0,,,1.0,3.0,,2.0,2.0,2.0,,,,,0.5,1.0,0.5,1.0,0.6,1.0,,1.0,0.5,1.0,,0.5,1.0,1.0,0.5,,,78.75,13.5,24.666666666666668,13.0,24.666666666666668,0.5,1.0,1.0,,0.25,,,,0.25,,,,0.5,,0.540225,0.8169,,,0.3333333333333333,5.2,,0.5,3.0,2.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,0.5653,2.0,4.0,1.0,,,,1.0,0.25,,,,0.6666666666666666,,,,,,1.0,,,1.0,,1.0,2.0,,,,,,1.0,1.0,,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2007,2006-07,False
101113-101145-1884-2202-2740,1610612744,"Ike Diogu, Monta Ellis, Baron Davis, Jason Richardson, Andris Biedrins","Diogu, Ellis, Davis, Richardson, Biedrins",101113-101145-1884-2202-2740,GSW,44.0,1,1.0,1.0,2.0,2.0,,4.0,,,,,1.0,,,1.0,1.0,,,2.0,4.0,3.0,,,,2.0,,,,,1.0,1.0,,,2.0,,,,1.0,,1.0,,,,,,,,,,2.0,2.0,1.0,4.0,,,1.0,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,,130.9090909090909,15.5,6.5,15.5,6.5,,,,,,,,,1.0,,,,,,0.3342,,0.5,0.5,,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2007,2006-07,False
