EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG3A,PtsAssisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,Turnovers,Fouls,FoulsDrawn,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,FG3M,FtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,FTDefRebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,SecondChanceTurnovers,ShootingFouls,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,ShortMidRangePctBlocked,DefFTReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,AtRimFGM,PenaltyAtRimFGM,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,PtsUnassisted3s,LongMidRangeAssists,PenaltyTurnovers,Offensive Fouls,Offensive Fouls Drawn,PenaltyFg3Pct,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangePctAssisted,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Accuracy,SecondChanceAtRimFGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsPutbacks,AtRimAssists,FTOffRebounds,LostBallSteals,LostBallTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffFTReboundPct,AtRimPctAssisted,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChancePointsPct,PenaltyCorner3FGM,Travels,OffLongMidRangeReboundPct,PenaltyCorner3Accuracy,SecondChanceCorner3FGA,LostBallOutOfBoundsTurnovers,Clear Path Fouls,BlockedShortMidRange,RecoveredBlocks,3SecondViolations,BlocksRecoveredPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceFtPoints,OffThreePtRebounds,Technical Free Throw Trips,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,HeaveAttempts,LongMidRangePctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3PctAssisted,StepOutOfBoundsTurnovers,Blocked3s,BlockedArc3,BlockedLongMidRange,DefensiveGoaltends,Defensive 3 Seconds Violations,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,OffensiveGoaltends,HeaveMakes,3pt And 1 Free Throw Trips,BlockedCorner3,team_id,year,season,team_vs
101177-109-1477-1521-1938,1610612759,"Fabricio Oberto, Robert Horry, Bruce Bowen, Jacque Vaughn, Manu Ginobili","Oberto, Horry, Bowen, Vaughn, Ginobili",101177-109-1477-1521-1938,SAS,237.0,3,4.0,-6.0,6.0,7.0,1.0,1.0,1.0,13.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,5.0,2.0,2.0,8.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.2,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2,0.5,1.0,0.6666666666666666,0.5,0.5,0.6,0.3333333333333333,1.0,0.5,1.0,1.0,0.2,78.9873417721519,20.333333333333332,16.428571428571427,18.0,15.428571428571429,0.2857142857142857,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,0.2857142857142857,0.5,1.0,0.5714285714285714,0.48702142857142855,0.5791,0.10875,5.76,28.8,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2007,2006-07,False
101177-109-1477-1521-699,1610612759,"Fabricio Oberto, Robert Horry, Bruce Bowen, Jacque Vaughn, Brent Barry","Oberto, Horry, Bowen, Vaughn, Barry",101177-109-1477-1521-699,SAS,441.0,3,7.0,-3.0,12.0,13.0,3.0,2.0,1.0,25.0,2.0,,1.0,2.0,3.0,,2.0,5.0,4.0,12.0,15.0,,,,3.0,2.0,,2.0,,6.0,1.0,2.0,2.0,5.0,1.0,6.0,,,,2.0,4.0,5.0,,,,12.0,3.0,,,0.4,0.5555555555555556,0.5454545454545454,0.4444444444444444,0.4,0.5,,0.5,0.3333333333333333,1.0,0.6666666666666666,0.2,,,0.5,1.0,,81.63265306122449,19.333333333333332,16.076923076923077,19.25,16.0,0.2222222222222222,0.2222222222222222,0.5,1.0,,0.3333333333333333,,,0.6666666666666666,0.46996111111111116,,0.38775,6.7,25.3,0.25,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,4.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,4.0,1.0,1.0,0.5,0.5,0.5,0.5,0.6666666666666666,0.5,1.0,1.0,0.5,1.0,0.1111111111111111,1.0,1.0,0.1111111111111111,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,0.3333333333333333,0.18181818181818182,0.2857142857142857,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2007,2006-07,False
101177-109-1477-1521-714,1610612759,"Fabricio Oberto, Robert Horry, Bruce Bowen, Jacque Vaughn, Michael Finley","Oberto, Horry, Bowen, Vaughn, Finley",101177-109-1477-1521-714,SAS,657.0,6,11.0,2.0,23.0,19.0,8.0,7.0,1.0,42.0,5.0,,,,4.0,1.0,3.0,13.0,5.0,14.0,12.0,1.0,2.0,2.0,4.0,,1.0,2.0,,5.0,1.0,3.0,5.0,8.0,1.0,9.0,,2.0,2.0,3.0,5.0,2.0,,,,14.0,8.0,0.3333333333333333,0.3333333333333333,0.23076923076923078,0.3333333333333333,0.3684210526315789,0.2777777777777778,,,0.6666666666666666,0.7142857142857143,0.1,0.6,0.6666666666666666,0.08333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.6,,92.05479452054796,15.695652173913043,15.578947368421053,15.521739130434783,12.842105263157896,0.2777777777777778,,,,,0.2222222222222222,,0.2,0.5555555555555556,0.48295277777777773,0.3827,0.49408,11.653846153846153,24.84,0.34782608695652173,2.0,1.0,8.0,,1.0,2.0,2.0,2.0,1.0,3.0,2.0,7.0,4.0,3.0,2.0,1.0,1.0,,,2.0,2.0,,1.0,,2.0,2.0,1.0,7.0,,0.5,0.4,0.4,0.3333333333333333,0.5,0.5833333333333334,,,,0.6666666666666666,,0.4444444444444444,0.125,0.125,0.05555555555555555,,,,0.5,0.5,0.5,0.4,0.5,0.05263157894736842,0.07142857142857142,0.5,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.5,0.4,0.4,1.0,0.5,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2007,2006-07,False
101177-109-1477-1938-2225,1610612759,"Fabricio Oberto, Robert Horry, Bruce Bowen, Manu Ginobili, Tony Parker","Oberto, Horry, Bowen, Ginobili, Parker",101177-109-1477-1938-2225,SAS,518.0,8,9.0,13.0,20.0,18.0,9.0,9.0,3.0,38.0,11.0,1.0,1.0,3.0,3.0,,8.0,15.0,3.0,31.0,18.0,2.0,,2.0,3.0,,1.0,3.0,,8.0,2.0,4.0,,7.0,3.0,10.0,2.0,1.0,,2.0,9.0,6.0,,,,26.0,9.0,0.125,0.14285714285714285,0.5333333333333333,0.6944444444444444,0.775,0.16666666666666666,,,0.5,,0.2857142857142857,0.8,0.6666666666666666,0.2857142857142857,0.5,,,0.75,0.2857142857142857,105.63706563706565,14.55,12.61111111111111,13.95,11.777777777777779,0.6111111111111112,0.16666666666666666,0.3333333333333333,0.3333333333333333,,0.16666666666666666,0.3333333333333333,,0.7777777777777778,0.5548305555555556,0.5229166666666667,0.5788888888888889,4.433333333333334,24.8,0.45,7.0,,1.0,,,3.0,3.0,6.0,5.0,9.0,5.0,15.0,14.0,6.0,3.0,2.0,2.0,,3.0,4.0,1.0,,1.0,,6.0,6.0,3.0,15.0,,0.6666666666666666,1.0,1.0,0.5555555555555556,0.5555555555555556,0.6818181818181818,,1.0,,,1.0,0.05555555555555555,,,,,,,1.0,1.0,0.6666666666666666,0.7777777777777778,1.0,0.15789473684210525,0.1875,0.4838709677419355,7.0,4.0,,,,3.0,,,1.0,,,0.6363636363636364,0.6363636363636364,,0.5714285714285714,,,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,0.8333333333333334,0.8333333333333334,1.0,0.14285714285714285,1.0,0.3333333333333333,1.0,0.16129032258064516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2007,2006-07,False
101177-109-1477-1938-714,1610612759,"Fabricio Oberto, Robert Horry, Bruce Bowen, Manu Ginobili, Michael Finley","Oberto, Horry, Bowen, Ginobili, Finley",101177-109-1477-1938-714,SAS,68.0,1,1.0,,2.0,2.0,2.0,,,4.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,1.0,2.0,1.0,,1.0,1.0,,2.0,,,1.0,1.0,,1.0,,,,,1.0,,,,,2.0,2.0,1.0,1.0,1.0,0.5,0.5,0.5,,,,1.0,,,1.0,,,,,,,84.70588235294117,21.0,13.0,21.0,13.0,0.5,,,,,0.5,,0.5,1.0,0.4504,,0.4504,,24.6,1.0,1.0,,,,,,,,1.0,1.0,,2.0,,,,,,,,,,,,,1.0,,,2.0,,,,,1.0,0.5,0.5,,,,1.0,,,,,,,,,,,,0.5,,,,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2007,2006-07,False
101177-109-1477-2225-677,1610612759,"Fabricio Oberto, Robert Horry, Bruce Bowen, Tony Parker, Eric Williams","Oberto, Horry, Bowen, Parker, Williams",101177-109-1477-2225-677,SAS,293.0,2,5.0,-4.0,9.0,8.0,5.0,,1.0,17.0,3.0,,,1.0,,,3.0,6.0,1.0,9.0,13.0,,1.0,6.0,,,3.0,4.0,,9.0,2.0,,1.0,1.0,2.0,3.0,,,,3.0,3.0,1.0,,,,9.0,5.0,1.0,1.0,0.5,0.6428571428571429,0.6428571428571429,0.14285714285714285,,,,0.5,0.6666666666666666,,0.5,0.6666666666666666,1.0,,,,,83.54948805460751,20.77777777777778,13.25,19.77777777777778,13.25,0.42857142857142855,0.14285714285714285,,,,,,,0.5714285714285714,0.4608,,0.52455,9.383333333333333,22.7,0.5555555555555556,2.0,1.0,2.0,1.0,1.0,,1.0,,2.0,3.0,,7.0,,3.0,,1.0,,1.0,,,,,3.0,1.0,1.0,,,7.0,,1.0,1.0,1.0,0.6666666666666666,0.875,0.875,,,,1.0,,0.2857142857142857,0.5,0.5,0.14285714285714285,1.0,1.0,1.0,,,,0.5,,,,0.7777777777777778,2.0,2.0,1.0,,1.0,,1.0,1.0,2.0,,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.25,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2007,2006-07,False
101177-109-1477-2225-699,1610612759,"Fabricio Oberto, Robert Horry, Bruce Bowen, Tony Parker, Brent Barry","Oberto, Horry, Bowen, Parker, Barry",101177-109-1477-2225-699,SAS,1126.0,11,19.0,-4.0,35.0,35.0,3.0,12.0,3.0,70.0,9.0,2.0,2.0,3.0,5.0,1.0,11.0,21.0,9.0,35.0,39.0,2.0,1.0,12.0,5.0,1.0,6.0,10.0,,24.0,3.0,,13.0,13.0,3.0,16.0,,3.0,1.0,8.0,9.0,6.0,4.0,3.0,4.0,33.0,3.0,0.5454545454545454,0.5454545454545454,0.5238095238095238,0.5666666666666667,0.5645161290322581,0.3,0.047619047619047616,0.1111111111111111,0.375,0.7647058823529411,0.3333333333333333,,0.7222222222222222,0.21428571428571427,0.25,0.75,0.75,,,89.52042628774423,15.457142857142857,16.714285714285715,15.0,15.342857142857143,0.3,0.1,0.6666666666666666,0.6666666666666666,,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.6,0.5267700000000001,0.5229333333333334,0.5388166666666666,9.504761904761905,24.27777777777778,0.08571428571428572,1.0,4.0,9.0,1.0,4.0,3.0,4.0,1.0,1.0,2.0,,2.0,10.0,12.0,3.0,4.0,3.0,1.0,,4.0,4.0,,5.0,,6.0,3.0,2.0,2.0,1.0,1.0,0.4444444444444444,0.4444444444444444,0.5,0.3333333333333333,0.25,,,1.0,0.8,,0.3,0.4444444444444444,0.4444444444444444,0.13333333333333333,0.25,0.25,1.0,0.6,0.6,1.0,0.3333333333333333,0.6,0.06451612903225806,0.09090909090909091,0.05714285714285714,5.0,1.0,,,,,3.0,,,,,0.5555555555555556,0.625,0.75,1.0,,,1.0,,,1.0,,1.0,2.0,,3.0,,,2.0,1.0,1.0,1.0,,,,0.5,0.3333333333333333,0.3333333333333333,,0.6,0.5,,,0.05714285714285714,,1.0,0.25,,1.0,1.0,1.0,1.0,3.0,1.0,0.75,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2007,2006-07,False
101177-109-1477-2225-714,1610612759,"Fabricio Oberto, Robert Horry, Bruce Bowen, Tony Parker, Michael Finley","Oberto, Horry, Bowen, Parker, Finley",101177-109-1477-2225-714,SAS,475.0,6,8.0,-16.0,11.0,15.0,5.0,1.0,,26.0,1.0,,1.0,1.0,2.0,1.0,2.0,7.0,3.0,9.0,25.0,,1.0,2.0,2.0,,1.0,2.0,1.0,5.0,,,2.0,2.0,,2.0,,,,,1.0,4.0,1.0,,1.0,9.0,5.0,0.5,0.5,0.2857142857142857,0.35,0.4090909090909091,0.3,,,,0.4,,,0.4,,,,0.3333333333333333,,,78.82105263157895,21.636363636363637,15.8,21.636363636363637,15.8,0.1,0.1,1.0,1.0,1.0,0.2,,0.2,0.4,0.428885,,0.40438,13.642857142857142,24.266666666666666,0.45454545454545453,1.0,1.0,5.0,,1.0,1.0,1.0,2.0,1.0,4.0,,2.0,2.0,3.0,1.0,1.0,1.0,,,,,,,,1.0,2.0,1.0,2.0,,1.0,0.3333333333333333,0.3333333333333333,0.25,0.2,0.2,,,,1.0,,0.5,0.2,0.2,0.1,,,,0.5,0.5,1.0,0.2,0.5,0.09090909090909091,0.125,0.2222222222222222,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2007,2006-07,False
101177-109-1477-2757-677,1610612759,"Fabricio Oberto, Robert Horry, Bruce Bowen, Beno Udrih, Eric Williams","Oberto, Horry, Bowen, Udrih, Williams",101177-109-1477-2757-677,SAS,43.0,1,1.0,2.0,1.0,1.0,1.0,,,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,1.0,2.0,1.0,,1.0,1.0,1.0,2.0,,1.0,,1.0,,1.0,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,,,,,,1.0,1.0,,,,,1.0,,66.97674418604652,22.0,21.0,22.0,21.0,,0.5,1.0,1.0,1.0,0.5,,0.5,0.5,0.3393,,0.3393,13.1,39.9,1.0,,,,,,,,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,2.0,,,,,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2007,2006-07,False
101177-109-1477-2757-699,1610612759,"Fabricio Oberto, Robert Horry, Bruce Bowen, Beno Udrih, Brent Barry","Oberto, Horry, Bowen, Udrih, Barry",101177-109-1477-2757-699,SAS,101.0,2,2.0,-2.0,3.0,3.0,,1.0,,6.0,1.0,,,,,,1.0,1.0,,2.0,4.0,,,2.0,,,1.0,1.0,,2.0,,,,1.0,,1.0,,,,1.0,3.0,,,,,2.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,85.54455445544555,11.333333333333334,22.333333333333332,11.333333333333334,15.333333333333334,1.0,,,,,,,,1.0,0.5583,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2007,2006-07,False
