EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,ShortMidRangeFGA,FG2A,FtPoints,Points,OpponentPoints,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,TsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,FG2M,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,Steals,BadPassSteals,2pt And 1 Free Throw Trips,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,PenaltyTsPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceOffPoss,LongMidRangeFGM,LongMidRangeFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,Fg2aBlocked,OffTwoPtRebounds,FTDefRebounds,OffRebounds,ShootingFouls,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PtsPutbacks,LongMidRangeAssists,FTOffRebounds,OffFTReboundPct,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimAssists,DefThreePtRebounds,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,PenaltyTurnovers,BlockedShortMidRange,DefThreePtReboundPct,DefArc3ReboundPct,AtRimPctAssisted,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,OffThreePtRebounds,SelfOReb,LostBallSteals,BadPassTurnovers,Offensive Fouls Drawn,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,OffThreePtReboundPct,OffCorner3ReboundPct,SelfORebPct,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,HeaveAttempts,StepOutOfBoundsTurnovers,Loose Ball Fouls,Offensive Fouls,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3FGM,OffArc3ReboundPct,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Technical Free Throw Trips,Travels,DefCorner3ReboundPct,PtsUnassisted3s,SecondChanceAtRimPctAssisted,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,BlockedLongMidRange,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LongMidRangePctBlocked,Blocked3s,BlockedArc3,DefensiveGoaltends,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockedCorner3,3pt And 1 Free Throw Trips,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Clear Path Fouls,team_id,year,season,team_vs
101110-101127-101195-1711-200750,1610612757,"Martell Webster, Jarrett Jack, Luke Schenscher, Raef LaFrentz, Brandon Roy","Webster, Jack, Schenscher, LaFrentz, Roy",101110-101127-101195-1711-200750,POR,178.0,1,3.0,1.0,6.0,6.0,12.0,1.0,1.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,4.0,2.0,4.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,97.07865168539325,13.333333333333334,16.333333333333332,13.333333333333334,16.333333333333332,1.0,0.3957,0.6666666666666666,0.6666666666666666,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2007,2006-07,True
101110-101127-101195-1711-200771,1610612757,"Martell Webster, Jarrett Jack, Luke Schenscher, Raef LaFrentz, Sergio Rodriguez","Webster, Jack, Schenscher, LaFrentz, Rodriguez",101110-101127-101195-1711-200771,POR,22.0,1,,5.0,2.0,1.0,3.0,1.0,2.0,1.0,5.0,,,,,,,,,,,1.0,1.0,1.0,5.0,1.25,,,,,,196.36363636363637,4.5,13.0,4.5,13.0,0.5,0.61935,0.5,0.5,6.8,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,1.25,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.61935,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2007,2006-07,True
101110-101127-101195-1711-2410,1610612757,"Martell Webster, Jarrett Jack, Luke Schenscher, Raef LaFrentz, Fred Jones","Webster, Jack, Schenscher, LaFrentz, Jones",101110-101127-101195-1711-2410,POR,188.0,1,3.0,3.0,5.0,5.0,10.0,2.0,6.0,4.0,8.0,5.0,2.0,3.0,6.0,,,,,,2.0,2.0,4.0,,4.0,0.5,,1.0,1.0,,1.0,76.59574468085107,17.4,20.2,16.0,20.2,0.3333333333333333,0.5019166666666667,,,9.316666666666666,5.0,,1.0,2.0,1.0,2.0,,2.0,2.0,6.0,4.0,8.0,,4.0,,,,,,,,8.0,5.0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.5,1.0,,,,0.3333333333333333,0.5,0.3333333333333333,0.5019166666666667,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,1.0,0.75,0.75,1.0,0.5,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,0.4183,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2007,2006-07,True
101110-101127-101195-200750-2566,1610612757,"Martell Webster, Jarrett Jack, Luke Schenscher, Brandon Roy, Travis Outlaw","Webster, Jack, Schenscher, Roy, Outlaw",101110-101127-101195-200750-2566,POR,50.0,1,1.0,3.0,3.0,2.0,5.0,,2.0,2.0,6.0,3.0,1.0,1.0,2.0,,,,,,,1.0,2.0,,4.0,1.0,,1.0,1.0,,1.0,144.0,8.0,13.0,7.666666666666667,13.0,,0.45335,,,9.3,3.0,,1.0,1.0,1.0,1.0,,2.0,2.0,2.0,2.0,6.0,2.0,2.0,1.0,1.0,,2.0,,,,6.0,3.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,,,,0.5,1.0,0.5,0.45335,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,,,,1.0,,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,0.5,1.0,1.0,0.478,0.3333333333333333,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2007,2006-07,True
101110-101127-101195-200771-2566,1610612757,"Martell Webster, Jarrett Jack, Luke Schenscher, Sergio Rodriguez, Travis Outlaw","Webster, Jack, Schenscher, Rodriguez, Outlaw",101110-101127-101195-200771-2566,POR,283.0,1,5.0,-3.0,8.0,9.0,17.0,1.0,7.0,1.0,9.0,12.0,1.0,2.0,4.0,1.0,,1.0,1.0,2.0,2.0,2.0,2.0,,7.0,0.5625,0.5,1.0,1.0,1.0,,86.5017667844523,19.5,14.11111111111111,19.25,14.11111111111111,0.14285714285714285,0.5062428571428571,,,10.12857142857143,8.0,,3.0,3.0,3.0,3.0,1.0,4.0,4.0,7.0,1.0,9.0,2.0,6.0,1.0,1.0,,2.0,,,,9.0,8.0,0.25,0.3333333333333333,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5625,0.42857142857142855,1.0,1.0,1.0,1.0,,0.42857142857142855,1.0,0.42857142857142855,0.5062428571428571,1.0,1.0,2.0,,3.0,1.0,1.0,,2.0,,2.0,,2.0,2.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,0.6666666666666666,0.6666666666666666,,,0.6666666666666666,,1.0,0.42857142857142855,,,0.4364,0.2222222222222222,,,2.0,,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2007,2006-07,True
101110-101127-101195-2410-2566,1610612757,"Martell Webster, Jarrett Jack, Luke Schenscher, Fred Jones, Travis Outlaw","Webster, Jack, Schenscher, Jones, Outlaw",101110-101127-101195-2410-2566,POR,601.0,3,10.0,3.0,21.0,20.0,41.0,2.0,14.0,8.0,25.0,22.0,5.0,7.0,11.0,2.0,1.0,3.0,,5.0,10.0,7.0,9.0,4.0,19.0,0.625,0.4,0.8333333333333334,0.8333333333333334,,0.75,98.23627287853577,13.619047619047619,15.75,12.904761904761905,14.8,0.125,0.517771875,0.21052631578947367,0.23529411764705882,8.092857142857143,15.0,18.0,5.0,7.0,3.0,5.0,,7.0,5.0,11.0,4.0,17.0,8.0,6.0,4.0,5.0,,11.0,1.0,,1.0,17.0,15.0,0.5714285714285714,0.6666666666666666,0.5,0.45454545454545453,0.53125,0.5,0.5666666666666667,0.4375,0.7142857142857143,0.7142857142857143,,,,0.38461538461538464,0.6,0.5625,0.5101961538461539,0.68,0.7142857142857143,4.0,2.0,5.0,2.0,2.0,2.0,6.0,,3.0,2.0,4.0,6.0,,1.0,,,,,1.0,1.0,1.0,1.0,,,,0.6666666666666666,0.42857142857142855,0.5,,0.5,0.6666666666666666,1.0,,0.3125,0.4,0.4,0.4018,0.24,,,2.0,,,,,,,4.0,,,1.0,4.0,,,,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,0.5,0.5,0.5,0.125,1.0,1.0,0.25,0.0625,0.0625,1.0,1.0,1.0,0.07692307692307693,0.07692307692307693,1.0,1.0,23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2007,2006-07,True
101110-101127-101195-2424-2566,1610612757,"Martell Webster, Jarrett Jack, Luke Schenscher, Dan Dickau, Travis Outlaw","Webster, Jack, Schenscher, Dickau, Outlaw",101110-101127-101195-2424-2566,POR,320.0,2,5.0,4.0,11.0,11.0,22.0,1.0,5.0,2.0,8.0,4.0,6.0,7.0,7.0,1.0,,2.0,1.0,3.0,3.0,2.0,3.0,2.0,8.0,0.4444444444444444,0.3333333333333333,0.8571428571428571,0.875,1.0,0.75,99.0,13.181818181818182,15.909090909090908,13.181818181818182,13.818181818181818,0.125,0.5161714285714286,0.2222222222222222,0.3333333333333333,4.54,11.0,9.0,1.0,3.0,1.0,3.0,1.0,3.0,3.0,5.0,2.0,8.0,4.0,2.0,2.0,2.0,1.0,4.0,,,1.0,8.0,11.0,0.6666666666666666,0.6666666666666666,0.6,0.6,0.375,0.375,0.4444444444444444,0.375,0.3333333333333333,1.0,1.0,1.0,1.0,0.375,0.3333333333333333,0.75,0.5161714285714286,1.0,1.0,,1.0,1.0,,,,,2.0,,,,,,,3.0,1.0,3.0,3.0,,,,,0.4,0.6666666666666666,,,,,,,,1.0,1.0,0.125,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,3.0,2.0,1.0,1.0,1.0,1.0,1.0,,2.0,,2.0,,3.0,,3.0,,1.0,,,,,,,,,1.0,,,,,0.375,,,,0.125,0.25,,,,0.125,0.25,,,32.63333333333333,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2007,2006-07,True
101110-101127-101211-200746-2216,1610612757,"Martell Webster, Jarrett Jack, Stephen Graham, LaMarcus Aldridge, Zach Randolph","Webster, Jack, Graham, Aldridge, Randolph",101110-101127-101211-200746-2216,POR,120.0,1,2.0,,4.0,4.0,8.0,,2.0,1.0,4.0,4.0,,1.0,1.0,,,,,,,2.0,2.0,1.0,4.0,0.5,,,1.0,,,96.0,16.75,13.25,16.75,13.25,,0.4746166666666667,0.25,0.3333333333333333,19.85,,,,,,,,,,,,,,,,1.0,,3.0,1.0,,,,,,,,,0.5,,,,,,,,,,,0.3333333333333333,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,1.0,,,,,,1.0,1.0,,,3.0,,,1.0,,,,1.0,,,,1.0,1.0,,1.0,0.3333333333333333,,,,0.3333333333333333,,,,,,,,,23.2,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2007,2006-07,True
101110-101127-101211-200746-2566,1610612757,"Martell Webster, Jarrett Jack, Stephen Graham, LaMarcus Aldridge, Travis Outlaw","Webster, Jack, Graham, Aldridge, Outlaw",101110-101127-101211-200746-2566,POR,3.0,1,,3.0,1.0,,1.0,,1.0,1.0,3.0,,,,,,,,,,,1.0,1.0,1.0,3.0,1.5,,,,,,480.0,3.0,,3.0,,,0.744,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,3.0,,2.0,,,,,,,1.0,3.0,1.0,,,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,,,,1.0,1.0,1.0,0.744,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2007,2006-07,True
101110-101127-101211-2038-2566,1610612757,"Martell Webster, Jarrett Jack, Stephen Graham, Joel Przybilla, Travis Outlaw","Webster, Jack, Graham, Przybilla, Outlaw",101110-101127-101211-2038-2566,POR,180.0,1,3.0,-3.0,6.0,5.0,11.0,2.0,5.0,,5.0,8.0,,,2.0,,,,,,,1.0,,,3.0,0.3125,,,,,,88.0,17.833333333333332,14.6,16.833333333333332,13.4,0.25,0.52568125,,,4.24,6.0,,1.0,3.0,1.0,3.0,,1.0,1.0,5.0,,5.0,,2.0,,1.0,,3.0,1.0,,,5.0,6.0,,,0.2,0.2,0.3125,0.3125,0.3125,0.375,0.3333333333333333,0.3333333333333333,,,,0.375,0.3333333333333333,0.75,0.52568125,1.0,1.0,2.0,,,1.0,2.0,,2.0,,1.0,,2.0,,,,1.0,,1.0,,,0.5,0.5,0.5,,,,,0.25,0.3333333333333333,0.5,,,,,,,,0.5468,0.4,1.0,1.0,2.0,,,,,0.5,1.0,,,,,,1.0,,,,1.0,1.0,,2.0,,2.0,1.0,3.0,1.0,3.0,3.0,2.0,,1.0,,1.0,,1.0,,1.0,,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.375,0.5,,,0.125,0.25,,,,0.125,0.25,,,24.266666666666666,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2007,2006-07,True
