EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,OffPoss,TotalPoss,LongMidRangeFGA,FG2A,Pace,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,LongMidRangeFrequency,ShotQualityAvg,Avg2ptShotDistance,Minutes,PlusMinus,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,FG2M,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,Fg2aBlocked,LostBallSteals,Travels,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FG2APctBlocked,ShortMidRangePctBlocked,DefShortMidRangeReboundPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChanceFG2M,LongMidRangeAssists,FTOffRebounds,LostBallTurnovers,SecondChanceFg2Pct,OffFTReboundPct,LongMidRangePctAssisted,AtRimPctBlocked,SecondChanceAtRimFGM,SecondChanceFtPoints,BlockedShortMidRange,SecondChanceAtRimAccuracy,PtsPutbacks,Loose Ball Fouls Drawn,OffArc3ReboundPct,DefCorner3ReboundPct,SecondChanceArc3FGM,LostBallOutOfBoundsTurnovers,Technical Free Throw Trips,DefensiveGoaltends,3SecondViolations,SecondChanceAtRimPctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,OffensiveGoaltends,HeaveAttempts,Fg3aBlocked,Defensive 3 Seconds Violations,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,StepOutOfBoundsTurnovers,Clear Path Fouls,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,HeaveMakes,Blocked3s,BlockedArc3,3pt And 1 Free Throw Trips,BlockedCorner3,Corner3PctBlocked,team_id,year,season,team_vs
101106-101111-101141-1863-200786,1610612749,"Andrew Bogut, Charlie Villanueva, Ersan Ilyasova, Earl Boykins, David Noel","Bogut, Villanueva, Ilyasova, Boykins, Noel",101106-101111-101141-1863-200786,MIL,16.0,1,1.0,1.0,1.0,1.0,90.0,16.0,16.0,1.0,0.4001,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2007,2006-07,True
101106-101111-101141-1863-2294,1610612749,"Andrew Bogut, Charlie Villanueva, Ersan Ilyasova, Earl Boykins, Charlie Bell","Bogut, Villanueva, Ilyasova, Boykins, Bell",101106-101111-101141-1863-2294,MIL,785.0,2,27.0,54.0,5.0,15.0,99.05732484076432,14.185185185185185,12.518518518518519,0.2,0.46531799999999995,8.713333333333333,13.0,2.0,27.0,10.0,13.0,4.0,2.0,5.0,1.0,1.0,1.0,2.0,5.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,7.0,1.0,5.0,4.0,10.0,3.0,25.0,23.0,2.0,1.0,2.0,3.0,2.0,5.0,1.0,1.0,3.0,10.0,6.0,4.0,9.0,3.0,7.0,2.0,3.0,3.0,6.0,1.0,2.0,2.0,1.0,15.0,1.0,4.0,3.0,7.0,3.0,13.0,5.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,4.0,8.0,1.0,1.0,6.0,2.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,22.0,10.0,10.0,3.0,2.0,0.6,0.6,0.75,0.4,0.5,1.0,0.4,0.3333333333333333,0.4,0.44,0.375,0.5833333333333334,0.46296296296296297,0.375,0.625,0.4,0.3333333333333333,1.0,0.6363636363636364,0.4444444444444444,1.0,0.16666666666666666,0.7142857142857143,0.3333333333333333,0.6666666666666666,0.5,0.25,1.0,1.0,0.5,1.0,0.06666666666666667,0.5,14.88888888888889,14.666666666666666,0.2,0.4,0.4,1.0,0.2,0.4,0.4,0.5,0.2,0.2,0.12,0.6666666666666666,0.6666666666666666,1.0,0.28,0.2857142857142857,0.2857142857142857,0.5,0.25,0.25,1.0,1.0,0.25,0.16666666666666666,1.0,0.16666666666666666,1.0,0.6,0.2857142857142857,0.4399,0.4428916666666667,0.12,0.4,25.44,0.37037037037037035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2007,2006-07,True
101106-101111-101141-1863-2590,1610612749,"Andrew Bogut, Charlie Villanueva, Ersan Ilyasova, Earl Boykins, Mo Williams","Bogut, Villanueva, Ilyasova, Boykins, Williams",101106-101111-101141-1863-2590,MIL,276.0,3,10.0,20.0,2.0,6.0,104.34782608695653,13.3,13.2,0.3333333333333333,0.45226666666666665,7.983333333333333,5.0,3.0,10.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,2.0,1.0,,,,,,,,,,2.0,,,5.0,9.0,6.0,1.0,,,,1.0,1.0,,,1.0,3.0,,4.0,,,,,,,,,,,,,,1.0,,3.0,1.0,4.0,1.0,5.0,,1.0,,,,,3.0,3.0,,,,3.0,,2.0,6.0,2.0,5.0,,1.0,1.0,,1.0,1.0,9.0,3.0,1.0,,,,,,,,,,0.3333333333333333,1.0,0.3333333333333333,,1.0,0.5625,,1.5,,,1.0,0.75,0.25,,,0.6,0.25,,0.5,,,0.5,,,,1.0,14.3,13.4,0.3333333333333333,0.5,0.5,,0.3333333333333333,,,,0.5,0.5,,,,,,,,,1.0,,,,,1.0,1.0,,,0.3333333333333333,,0.5648,0.6102,,0.3333333333333333,,0.1,1.0,1.0,1.0,1.0,3.0,0.16666666666666666,0.5,1.0,0.375,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2007,2006-07,True
101106-101111-101141-1863-2696,1610612749,"Andrew Bogut, Charlie Villanueva, Ersan Ilyasova, Earl Boykins, Lynn Greer","Bogut, Villanueva, Ilyasova, Boykins, Greer",101106-101111-101141-1863-2696,MIL,17.0,1,2.0,3.0,,,254.11764705882354,7.0,7.0,,0.4509,,,4.0,1.0,2.0,1.0,,,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,2.0,2.0,,6.0,2.0,,,,,,,2.0,2.0,,6.0,,,6.0,,1.0,1.0,,2.0,2.0,1.0,1.0,,,6.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,6.0,6.0,2.0,2.0,,,,1.0,1.0,,1.0,1.0,,,1.5,,1.5,1.5,,1.5,1.0,,1.0,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,,,,,,,,0.5,1.0,1.0,1.0,,0.4509,,1.0,24.9,1.0,,,,,,,,,,,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2007,2006-07,True
101106-101111-101141-200786-2696,1610612749,"Andrew Bogut, Charlie Villanueva, Ersan Ilyasova, David Noel, Lynn Greer","Bogut, Villanueva, Ilyasova, Noel, Greer",101106-101111-101141-200786-2696,MIL,32.0,1,1.0,3.0,,,135.0,3.0,3.0,,0.0948,,1.0,2.0,2.0,,2.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,2.0,2.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,1.0,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,0.5,,,1.0,,,1.0,,,,1.0,,,,,,,1.0,,,,14.5,14.5,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,0.0948,,,31.5,,,,,,1.0,,,,0.5,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2007,2006-07,True
101106-101111-101141-2294-2696,1610612749,"Andrew Bogut, Charlie Villanueva, Ersan Ilyasova, Charlie Bell, Lynn Greer","Bogut, Villanueva, Ilyasova, Bell, Greer",101106-101111-101141-2294-2696,MIL,178.0,1,5.0,11.0,2.0,3.0,88.98876404494382,17.2,15.0,0.4,0.53214,10.766666666666666,3.0,-3.0,6.0,,,1.0,1.0,1.0,,,,,,1.0,2.0,2.0,,,,,,,,2.0,2.0,2.0,,10.0,13.0,1.0,,,2.0,,,,,,,2.0,2.0,6.0,,,,1.0,2.0,3.0,,2.0,,,8.0,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,,,,,,1.0,,1.0,,,,,,,8.0,,,,,0.5,0.5,1.0,1.0,,,1.0,0.6666666666666666,,1.0,1.0,,1.0,1.0,,0.4,1.0,,,,,,,,,,,,,,,,,15.333333333333334,14.833333333333334,0.2,1.0,1.0,,,,,,0.5,0.5,0.4,1.0,1.0,1.0,,,,,,,,,,,,,,0.6,,0.3458,,0.2,,22.55,,,,,1.0,1.0,,,,0.2,0.3333333333333333,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2007,2006-07,True
101106-101111-1730-2294-2590,1610612749,"Andrew Bogut, Charlie Villanueva, Brian Skinner, Charlie Bell, Mo Williams","Bogut, Villanueva, Skinner, Bell, Williams",101106-101111-1730-2294-2590,MIL,59.0,1,1.0,2.0,,1.0,48.8135593220339,30.0,30.0,,0.4708,,1.0,3.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,3.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,3.0,,,,,,,,,,,,1.0,,1.0,,,0.75,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,29.0,29.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2007,2006-07,True
101106-101111-1730-2590-2696,1610612749,"Andrew Bogut, Charlie Villanueva, Brian Skinner, Mo Williams, Lynn Greer","Bogut, Villanueva, Skinner, Williams, Greer",101106-101111-1730-2590-2696,MIL,90.0,1,3.0,6.0,,1.0,96.0,16.333333333333332,16.333333333333332,,0.5722,,2.0,3.0,3.0,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,2.0,5.0,2.0,,,,,,,,,,,,,3.0,,,,,1.0,1.0,,1.0,,,3.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,1.0,,,2.0,1.0,2.0,,,,,,,5.0,,,,,,,1.0,1.0,,,1.0,,,0.75,,,0.8333333333333334,,,0.5,,,,,1.0,,1.0,,,,,,,,1.0,,,13.666666666666666,13.666666666666666,0.5,,,,,,,,,,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,23.8,,1.0,,,,1.0,1.0,,,0.3333333333333333,0.5,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2007,2006-07,True
101106-101111-1739-1863-200786,1610612749,"Andrew Bogut, Charlie Villanueva, Ruben Patterson, Earl Boykins, David Noel","Bogut, Villanueva, Patterson, Boykins, Noel",101106-101111-1739-1863-200786,MIL,147.0,1,5.0,10.0,1.0,4.0,97.95918367346938,16.2,16.0,0.25,0.581375,7.45,2.0,-4.0,5.0,5.0,5.0,1.0,2.0,2.0,1.0,2.0,2.0,,1.0,,,,,,,,,,,2.0,,,2.0,6.0,10.0,1.0,,,3.0,2.0,4.0,,,2.0,6.0,2.0,2.0,,,,,1.0,,1.0,,,1.0,,2.0,,1.0,,,,,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,,1.0,,,2.0,,3.0,,1.0,,,1.0,,3.0,6.0,5.0,1.0,,0.5,0.5,,,,,,0.5,0.5,0.5,1.0,0.5,0.6,1.5,0.6,,,,,0.5,,,,0.5,,,1.0,,,,,,,13.2,11.6,0.5,1.0,1.0,0.5,0.25,,,,,,,,,,,,,,1.0,,,,,0.5,1.0,,,0.5,,0.7078,0.581375,0.5,1.0,,1.0,,,,1.0,2.0,,,,0.4,0.4,,,,,1.0,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2007,2006-07,True
101106-101111-1739-1863-2294,1610612749,"Andrew Bogut, Charlie Villanueva, Ruben Patterson, Earl Boykins, Charlie Bell","Bogut, Villanueva, Patterson, Boykins, Bell",101106-101111-1739-1863-2294,MIL,713.0,4,25.0,49.0,5.0,17.0,98.96213183730715,15.16,14.92,0.22727272727272727,0.4955295454545455,6.347058823529412,12.0,2.0,24.0,7.0,9.0,4.0,4.0,10.0,4.0,,2.0,1.0,2.0,1.0,1.0,2.0,,,1.0,1.0,,3.0,,6.0,1.0,5.0,6.0,21.0,19.0,5.0,,,6.0,1.0,4.0,1.0,1.0,3.0,8.0,4.0,8.0,3.0,,3.0,,2.0,1.0,3.0,,1.0,2.0,,7.0,1.0,4.0,3.0,8.0,,11.0,5.0,16.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,5.0,,1.0,1.0,4.0,1.0,,6.0,1.0,10.0,3.0,3.0,2.0,,3.0,1.0,15.0,8.0,7.0,1.0,2.0,0.3333333333333333,0.6666666666666666,1.0,0.2,,1.0,0.2,0.35294117647058826,0.25,0.3409090909090909,0.6,0.5,0.3888888888888889,0.6,0.5,0.22727272727272727,0.4,,0.6666666666666666,0.36363636363636365,1.0,0.25,0.7333333333333333,0.3333333333333333,0.6666666666666666,,,,0.42857142857142855,1.0,1.0,0.07142857142857142,0.3333333333333333,13.916666666666666,12.958333333333334,0.45454545454545453,0.4,0.4444444444444444,0.5,0.09090909090909091,0.5,0.5,,0.2,0.2,0.09090909090909091,0.5,0.5,1.0,0.13636363636363635,,,,0.8,,,,,0.4,,0.2,1.0,0.6818181818181818,,0.5559,0.44642,0.2857142857142857,0.38095238095238093,26.04,0.28,1.0,,1.0,,2.0,0.058823529411764705,,1.0,0.08333333333333333,0.10526315789473684,,,,,3.0,,,,0.6,,,0.1,2.0,,1.0,0.5,6.0,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2007,2006-07,True
