EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,Points,OpponentPoints,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,Steals,LostBallSteals,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGA,FG2A,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,LongMidRangeFrequency,Avg2ptShotDistance,PlusMinus,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,FtPoints,PenaltyFtPoints,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGA,FG2M,PenaltyFG2M,PenaltyFG2A,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,AtRimAssists,OffThreePtRebounds,FTDefRebounds,OffRebounds,LiveBallTurnovers,BadPassTurnovers,ShootingFouls,Fouls,Offensive Fouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,LiveBallTurnoverPct,DefFTReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsPutbacks,OffTwoPtRebounds,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffLongMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,Corner3Assists,NonShootingPenaltyNonTakeFouls,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,LongMidRangeFGM,LongMidRangeAssists,2pt And 1 Free Throw Trips,BlockedLongMidRange,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Fg2aBlocked,SelfOReb,BadPassSteals,BadPassOutOfBoundsTurnovers,Travels,FG2APctBlocked,ShortMidRangePctBlocked,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,SelfORebPct,SecondChanceFtPoints,ShortMidRangeAssists,Loose Ball Fouls Drawn,Offensive Fouls Drawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,OffensiveGoaltends,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFoulsDrawn,AtRimPctBlocked,ShortMidRangePctAssisted,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGA,SecondChanceFG3A,FTOffRebounds,OffFTReboundPct,SecondChanceArc3Frequency,Loose Ball Fouls,HeaveAttempts,SecondChanceCorner3FGA,Fg3aBlocked,LostBallTurnovers,SecondChanceTurnovers,3SecondViolations,FG3APctBlocked,Corner3PctBlocked,SecondChanceCorner3Frequency,StepOutOfBoundsTurnovers,BlockedShortMidRange,3pt And 1 Free Throw Trips,Technical Free Throw Trips,LongMidRangePctBlocked,SecondChanceAtRimPctAssisted,Clear Path Fouls,SecondChanceCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted3s,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,DefensiveGoaltends,Blocked3s,BlockedCorner3,BlockedArc3,team_id,year,season,team_vs
1513-1800-1956-200789-2562,1610612739,"Scot Pollard, Damon Jones, Ira Newble, Daniel Gibson, Sasha Pavlovic","Pollard, Jones, Newble, Gibson, Pavlovic",1513-1800-1956-200789-2562,CLE,66.0,1,1.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.5,1.0,87.27272727272727,20.0,13.0,20.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.50475,0.50475,1.0,24.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2007,2006-07,True
1513-1800-1956-2562-2760,1610612739,"Scot Pollard, Damon Jones, Ira Newble, Sasha Pavlovic, Anderson Varejao","Pollard, Jones, Newble, Pavlovic, Varejao",1513-1800-1956-2562-2760,CLE,54.0,1,1.0,1.0,2.0,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,25.0,14.5,25.0,13.5,,,,,,,,,0.3515,,,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2007,2006-07,True
1513-1956-200789-2562-923,1610612739,"Scot Pollard, Ira Newble, Daniel Gibson, Sasha Pavlovic, Donyell Marshall","Pollard, Newble, Gibson, Pavlovic, Marshall",1513-1956-200789-2562-923,CLE,34.0,1,1.0,2.0,1.0,2.0,1.0,3.0,,,,,,,,3.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,127.05882352941177,10.5,13.0,10.5,13.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,-3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2007,2006-07,True
1513-200789-2544-2760-727,1610612739,"Scot Pollard, Daniel Gibson, LeBron James, Anderson Varejao, Eric Snow","Pollard, Gibson, James, Varejao, Snow",1513-200789-2544-2760-727,CLE,14.0,1,,1.0,,1.0,,1.0,,,,,,,2.0,,,,2.0,,,,,,,,,,2.0,2.0,1.0,,,,,,,1.0,1.0,,102.85714285714286,14.0,,14.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,2.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2007,2006-07,True
1716-1800-200789-2760-980,1610612739,"Larry Hughes, Damon Jones, Daniel Gibson, Anderson Varejao, Zydrunas Ilgauskas","Hughes, Jones, Gibson, Varejao, Ilgauskas",1716-1800-200789-2760-980,CLE,416.0,3,7.0,10.0,10.0,2.0,2.0,20.0,,1.0,,,,2.0,9.0,5.0,,,2.0,,1.0,,,1.0,,2.0,1.0,1.0,9.0,2.0,2.0,,,,,0.42857142857142855,1.0,0.5,1.0,0.2857142857142857,69.23076923076923,20.9,20.7,20.9,18.9,0.14285714285714285,,,,,,0.7142857142857143,,0.47185,0.5895,0.2222222222222222,24.05,0.2,1.0,5.0,2.0,4.0,7.0,8.0,3.0,3.0,3.0,1.0,0.5,1.0,0.6,0.2,1.0,0.3333333333333333,0.14285714285714285,3.88,4.0,1.0,,2.0,1.0,3.0,,4.0,4.0,2.0,0.2222222222222222,0.2857142857142857,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.3333333333333333,0.3333333333333333,0.6,1.0,0.5,1.0,0.5,0.25,1.0,1.0,1.0,1.0,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.5,0.14285714285714285,1.0,1.0,0.14285714285714285,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2007,2006-07,True
1716-1956-200789-2544-2760,1610612739,"Larry Hughes, Ira Newble, Daniel Gibson, LeBron James, Anderson Varejao","Hughes, Newble, Gibson, James, Varejao",1716-1956-200789-2544-2760,CLE,23.0,1,,1.0,2.0,1.0,2.0,3.0,,,,,,,2.0,,,,2.0,,,,,,,,,,2.0,2.0,1.0,,,,,1.0,1.0,1.0,1.0,,187.82608695652172,14.0,4.5,14.0,4.5,,,,,,,1.0,,0.6063,0.6063,1.0,,1.0,,1.0,1.0,,2.0,2.0,,,,,,1.0,1.0,,1.0,,,1.6,2.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,2.0,,,,1.0,,,,,,,,,1.0,1.0,,1.0,,,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2007,2006-07,True
1716-1956-2400-2544-727,1610612739,"Larry Hughes, Ira Newble, Drew Gooden, LeBron James, Eric Snow","Hughes, Newble, Gooden, James, Snow",1716-1956-2400-2544-727,CLE,10.0,1,,1.0,1.0,1.0,1.0,2.0,,1.0,,1.0,,1.0,,3.0,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,288.0,7.0,3.0,7.0,3.0,1.0,,,,1.0,,1.0,,0.3639,0.3639,,23.8,1.0,,,,,,,,,,,,,,,,,,,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2007,2006-07,True
1716-1956-2400-2562-727,1610612739,"Larry Hughes, Ira Newble, Drew Gooden, Sasha Pavlovic, Eric Snow","Hughes, Newble, Gooden, Pavlovic, Snow",1716-1956-2400-2562-727,CLE,28.0,1,,1.0,,1.0,,1.0,,,,,,,2.0,,,,2.0,,,,,,,,,,,2.0,1.0,,,,,0.5,0.5,0.5,0.5,,51.42857142857143,27.0,,27.0,,,,,,,,0.5,,0.50495,0.50495,1.0,,1.0,1.0,2.0,,,,1.0,,,,,,,,,,,0.5,8.75,2.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,2.0,,2.0,,,,,1.0,,,,,,,,0.5,0.5,,,,1.0,,,,,0.5,1.0,1.0,,,,,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6585,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2007,2006-07,True
1716-1956-2400-2760-727,1610612739,"Larry Hughes, Ira Newble, Drew Gooden, Anderson Varejao, Eric Snow","Hughes, Newble, Gooden, Varejao, Snow",1716-1956-2400-2760-727,CLE,18.0,1,,1.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.0,16.0,2.0,16.0,2.0,,,,,,,,,0.2987,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,12.3,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2007,2006-07,True
1716-1956-2544-2562-727,1610612739,"Larry Hughes, Ira Newble, LeBron James, Sasha Pavlovic, Eric Snow","Hughes, Newble, James, Pavlovic, Snow",1716-1956-2544-2562-727,CLE,51.0,1,1.0,7.0,5.0,7.0,5.0,12.0,,3.0,,3.0,1.0,4.0,7.0,8.0,1.0,4.0,7.0,3.0,3.0,,1.0,1.0,,3.0,,,7.0,7.0,7.0,1.0,0.25,0.25,0.25,0.4166666666666667,0.4166666666666667,0.5,0.5,0.6666666666666666,338.8235294117647,6.285714285714286,1.4,6.285714285714286,1.4,0.5,,,,0.5,,1.0,,0.499625,0.499625,1.0,25.675,1.0,,2.0,,,1.0,1.0,,,,,,,,,,,,0.85,-1.0,,,,,2.0,2.0,1.0,2.0,1.0,0.14285714285714285,0.3333333333333333,1.0,2.0,1.0,2.0,,,1.0,1.0,1.0,2.0,,2.0,,,,1.0,,,,,5.0,,,,0.5,0.5,,1.0,,,,,,,0.3333333333333333,0.5,0.5,,,,,0.16666666666666666,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,0.16666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2007,2006-07,True
