EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,OpponentPoints,Fouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,PenaltyOffPossPct,Minutes,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,SecondChanceFG2A,PtsUnassisted2s,OffTwoPtRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,FoulsDrawn,FirstChancePoints,Fg2Pct,EfgPct,TsPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,SelfORebPct,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,Avg2ptShotDistance,SecondChanceOffPoss,LongMidRangeFGA,Fg2aBlocked,DefTwoPtRebounds,DefRebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,SecondChanceTurnovers,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,LongMidRangeFrequency,PenaltyAtRimFGA,LongMidRangeFGM,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,ShortMidRangePctBlocked,DefThreePtReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyShotQualityAvg,PenaltyPointsPct,AtRimFGM,ShootingFouls,Loose Ball Fouls,DefCorner3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,PenaltyAtRimFGM,AtRimAssists,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Travels,Offensive Fouls,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,AtRimPctAssisted,PenaltyAtRimAccuracy,SecondChanceAtRimFGM,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,FtPoints,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3A,PenaltyFtPoints,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,FTDefRebounds,LostBallTurnovers,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked3s,BlockedArc3,RecoveredBlocks,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,DefFTReboundPct,BlocksRecoveredPct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,PenaltyArc3Frequency,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg3ptShotDistance,Defensive 3 Seconds Violations,SecondChanceAtRimPctAssisted,NonShootingFoulsDrawn,Corner3FGA,Corner3Frequency,PenaltyTurnovers,PenaltyCorner3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3A,PenaltyFG3M,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyArc3Accuracy,3SecondViolations,ShortMidRangeAssists,ShortMidRangePctAssisted,Offensive Fouls Drawn,SecondChanceArc3FGM,SecondChanceFG3M,OffThreePtRebounds,SecondChanceFg3Pct,OffThreePtReboundPct,OffArc3ReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Loose Ball Fouls Drawn,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3FGM,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,FTOffRebounds,OffFTReboundPct,LostBallOutOfBoundsTurnovers,BlockedLongMidRange,PtsUnassisted3s,SecondChanceCorner3FGM,SecondChanceCorner3FGA,HeaveAttempts,OffCorner3ReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,LongMidRangePctBlocked,3pt And 1 Free Throw Trips,DefensiveGoaltends,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Clear Path Fouls,StepOutOfBoundsTurnovers,OffensiveGoaltends,Corner3PctBlocked,HeaveMakes,team_id,year,season,team_vs
101154-101182-1498-1712-2041,1610612764,"Andray Blatche, Donell Taylor, Antonio Daniels, Antawn Jamison, Etan Thomas","Blatche, Taylor, Daniels, Jamison, Thomas",101154-101182-1498-1712-2041,WAS,20.0,1,-2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,144.0,1.0,19.0,1.0,19.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2007,2006-07,False
101154-101182-1498-1712-2443,1610612764,"Andray Blatche, Donell Taylor, Antonio Daniels, Antawn Jamison, Darius Songaila","Blatche, Taylor, Daniels, Jamison, Songaila",101154-101182-1498-1712-2443,WAS,83.0,1,-1.0,2.0,2.0,,,4.0,3.0,1.0,,,69.39759036144578,25.5,16.0,24.0,16.0,,1.0,3.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,0.25,0.25,0.25,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.75,0.25,1.0,1.0,1.0,0.75,0.5491,0.6469,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2007,2006-07,False
101154-101182-1498-1913-2240,1610612764,"Andray Blatche, Donell Taylor, Antonio Daniels, Michael Ruffin, Gilbert Arenas","Blatche, Taylor, Daniels, Ruffin, Arenas",101154-101182-1498-1913-2240,WAS,91.0,1,-2.0,3.0,3.0,,,6.0,2.0,,,,94.94505494505495,20.666666666666668,9.666666666666666,16.666666666666668,6.333333333333333,,2.0,1.0,,,1.0,,4.0,,1.0,,2.0,2.0,4.0,,,,,,,,,0.5,0.5,,,0.25,0.25,,,,0.25,0.4489,0.4247,12.075,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2007,2006-07,False
101154-101182-1498-1913-2427,1610612764,"Andray Blatche, Donell Taylor, Antonio Daniels, Michael Ruffin, Roger Mason Jr.","Blatche, Taylor, Daniels, Ruffin, Mason Jr.",101154-101182-1498-1913-2427,WAS,155.0,1,2.0,4.0,4.0,4.0,4.0,8.0,,,4.0,,74.32258064516128,22.25,16.5,15.5,16.5,1.0,3.0,1.0,,,1.0,1.0,6.0,2.0,2.0,,2.0,2.0,6.0,,,,,2.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.4,0.4,,,0.16666666666666666,0.16666666666666666,,,,0.16666666666666666,0.3633,0.34465,15.15,2.0,4.0,1.0,2.0,4.0,,,,,0.16666666666666666,,,1.0,1.0,,0.6666666666666666,1.0,,0.6666666666666666,1.0,1.0,1.0,6.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,1.0,0.25,0.25,1.0,0.16666666666666666,0.3633,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2007,2006-07,False
101154-101182-1498-1913-2443,1610612764,"Andray Blatche, Donell Taylor, Antonio Daniels, Michael Ruffin, Darius Songaila","Blatche, Taylor, Daniels, Ruffin, Songaila",101154-101182-1498-1913-2443,WAS,140.0,1,-2.0,3.0,2.0,,,5.0,4.0,3.0,,,51.42857142857142,21.666666666666668,37.5,8.0,28.0,,2.0,2.0,1.0,,1.0,1.0,5.0,2.0,3.0,2.0,2.0,2.0,3.0,,,,,2.0,0.2,0.2,0.2,0.5,0.5,1.0,,0.4,0.2,,,0.3333333333333333,0.4,0.4638,0.40773333333333334,10.459999999999999,1.0,2.0,1.0,,1.0,,,,,0.2,0.5,,,0.5,,0.5,,,0.4,,,,,,,,,,,1.0,,,,,,,,0.5,,,,,,,,,1.0,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2007,2006-07,False
101154-101182-1498-1916-2553,1610612764,"Andray Blatche, Donell Taylor, Antonio Daniels, Calvin Booth, Jarvis Hayes","Blatche, Taylor, Daniels, Booth, Hayes",101154-101182-1498-1916-2553,WAS,530.0,3,-1.0,17.0,17.0,3.0,,34.0,15.0,6.0,3.0,,92.37735849056604,14.294117647058824,16.88235294117647,14.294117647058824,16.823529411764707,0.17647058823529413,9.0,6.0,,,,7.0,12.0,14.0,,8.0,,,5.0,,4.0,2.0,1.0,14.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,,,,,0.5,,,,,0.5,0.49301666666666666,,9.174999999999999,,6.0,,3.0,5.0,,,5.0,,,,,0.5,0.625,,,0.3333333333333333,1.0,0.5,1.0,3.0,2.0,3.0,4.0,6.0,3.0,3.0,1.0,6.0,2.0,4.0,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.6666666666666666,,1.0,,1.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.5036666666666666,0.2857142857142857,4.0,2.0,,1.0,0.6666666666666666,0.6666666666666666,1.0,2.0,2.0,1.0,5.0,2.0,2.0,2.0,1.0,1.0,2.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2007,2006-07,False
101154-101182-1498-2041-2406,1610612764,"Andray Blatche, Donell Taylor, Antonio Daniels, Etan Thomas, Caron Butler","Blatche, Taylor, Daniels, Thomas, Butler",101154-101182-1498-2041-2406,WAS,314.0,2,1.0,11.0,11.0,2.0,4.0,22.0,12.0,2.0,2.0,1.0,100.89171974522293,14.272727272727273,14.272727272727273,13.909090909090908,14.272727272727273,0.18181818181818182,5.0,4.0,2.0,,1.0,2.0,6.0,13.0,2.0,2.0,2.0,2.0,7.0,,2.0,1.0,4.0,10.0,0.3333333333333333,0.4375,0.6,0.5,0.4,,,0.5,0.125,,,1.0,0.75,0.45948125,0.47985,7.066666666666666,2.0,1.0,,2.0,5.0,3.0,1.0,3.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,,,,,2.0,2.0,1.0,2.0,,5.0,2.0,2.0,0.5,1.0,,,0.5,,1.0,,1.0,,,,,0.4161,0.15384615384615385,2.0,1.0,,1.0,0.5,0.5,,1.0,1.0,,,,,,,,1.0,0.5,,1.0,1.0,2.0,1.0,1.0,2.0,6.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,6.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.75,0.25,1.0,1.0,0.25,0.5,0.5,1.0,0.5,1.0,0.5,0.3,0.375,0.23076923076923078,24.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2007,2006-07,False
101154-101182-1498-2041-2427,1610612764,"Andray Blatche, Donell Taylor, Antonio Daniels, Etan Thomas, Roger Mason Jr.","Blatche, Taylor, Daniels, Thomas, Mason Jr.",101154-101182-1498-2041-2427,WAS,75.0,1,,1.0,2.0,,,3.0,3.0,1.0,,,57.6,45.0,15.0,14.0,15.0,,1.0,1.0,1.0,,1.0,1.0,3.0,3.0,2.0,,2.0,2.0,2.0,,,,3.0,,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,,,0.3333333333333333,0.3333333333333333,,,0.5,0.3333333333333333,0.47546666666666665,0.50895,8.5,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,0.3333333333333333,,,,,,2.0,1.0,1.0,,2.0,,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,,,,1.0,,1.0,,,,,,1.0,1.0,1.0,3.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,0.5,0.5,0.75,,,,,,,,1.0,,,0.3333333333333333,0.3333333333333333,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2007,2006-07,False
101154-101182-1498-2041-2443,1610612764,"Andray Blatche, Donell Taylor, Antonio Daniels, Etan Thomas, Darius Songaila","Blatche, Taylor, Daniels, Thomas, Songaila",101154-101182-1498-2041-2443,WAS,80.0,1,,1.0,1.0,1.0,,2.0,,1.0,1.0,,36.0,22.0,58.0,22.0,43.0,1.0,1.0,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,0.335,,12.4,,,1.0,,1.0,,,,,1.0,,,,0.5,,,,,,,,,1.0,,,,,,,1.0,,,,,,,1.0,0.5,,1.0,,,,,0.335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2007,2006-07,False
101154-101182-1498-2041-2553,1610612764,"Andray Blatche, Donell Taylor, Antonio Daniels, Etan Thomas, Jarvis Hayes","Blatche, Taylor, Daniels, Thomas, Hayes",101154-101182-1498-2041-2553,WAS,109.0,1,,3.0,3.0,,,6.0,4.0,1.0,,,79.26605504587155,19.333333333333332,17.0,19.333333333333332,14.333333333333334,,2.0,,,1.0,1.0,1.0,2.0,4.0,,2.0,,,1.0,,,,1.0,4.0,0.5,0.5,0.6666666666666666,,,,,,0.5,1.0,1.0,,,0.3864,,13.05,,1.0,,1.0,1.0,,,,,,,,0.5,0.5,,,,,0.5,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2007,2006-07,False
