EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3A,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,ThreePtShootingFoulsDrawn,FirstChancePoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyDefPoss,PtsUnassisted3s,FTDefRebounds,DeadBallTurnovers,Turnovers,NonShootingPenaltyNonTakeFouls,DefFTReboundPct,DefShortMidRangeReboundPct,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,TwoPtAssists,AtRimAssists,BadPassSteals,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefAtRimReboundPct,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsPutbacks,Fg2aBlocked,FTOffRebounds,DefThreePtRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,2pt And 1 Free Throw Trips,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,OffFTReboundPct,DefThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChancePointsPct,PenaltyArc3FGM,SecondChanceFtPoints,PenaltyFG3M,Loose Ball Fouls Drawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,PenaltyFg3Pct,BlocksRecoveredPct,PenaltyArc3Accuracy,Loose Ball Fouls,ShortMidRangeFGM,ShortMidRangeAssists,OffThreePtRebounds,LiveBallTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,PenaltyTurnovers,Offensive Fouls,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,BlockedAtRim,DefCorner3ReboundPct,LongMidRangeAssists,LongMidRangePctAssisted,Blocked3s,BlockedArc3,PenaltyCorner3FGA,3SecondViolations,PenaltyCorner3Frequency,BlockedLongMidRange,Technical Free Throw Trips,SecondChanceAtRimPctAssisted,Corner3FGM,SecondChanceCorner3FGM,SecondChanceFG3M,Corner3Assists,SecondChanceFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3FGA,SecondChanceArc3Frequency,SecondChanceArc3FGM,LongMidRangePctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,StepOutOfBoundsTurnovers,Defensive 3 Seconds Violations,HeaveAttempts,PenaltyCorner3FGM,PenaltyCorner3Accuracy,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,3pt And 1 Free Throw Trips,Clear Path Fouls,BlockedCorner3,OffensiveGoaltends,Arc3PctBlocked,team_id,year,season,team_vs
101128-101179-1508-1897-722,1610612758,"Francisco Garcia, Ronnie Price, Maurice Taylor, Metta World Peace, Corliss Williamson","Garcia, Price, Taylor, World Peace, Williamson",101128-101179-1508-1897-722,SAC,189.0,1,3.0,5.0,6.0,6.0,1.0,12.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,8.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,8.0,1.0,0.5,0.5,0.25,0.4166666666666667,0.5714285714285714,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.25,1.0,1.0,91.42857142857143,12.333333333333334,19.166666666666668,11.666666666666666,14.5,0.3333333333333333,0.5,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.5975666666666667,0.59175,0.14285714285714285,0.3333333333333333,7.05,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2007,2006-07,False
101128-101179-1508-200763-2078,1610612758,"Francisco Garcia, Ronnie Price, Maurice Taylor, Quincy Douby, Jason Hart","Garcia, Price, Taylor, Douby, Hart",101128-101179-1508-200763-2078,SAC,184.0,1,3.0,2.0,6.0,6.0,,12.0,1.0,2.0,,1.0,,,1.0,3.0,1.0,3.0,1.0,3.0,,5.0,3.0,,2.0,,3.0,1.0,,,,,,2.0,3.0,,3.0,,,,1.0,1.0,1.0,,,5.0,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.4166666666666667,0.5,1.0,,1.0,,,1.0,93.91304347826086,19.0,11.666666666666666,19.0,11.666666666666666,0.3333333333333333,0.5,0.5,,0.16666666666666666,,0.5,0.3333333333333333,0.3333333333333333,,,0.8333333333333334,0.3333333333333333,0.42668,,,,8.066666666666666,30.8,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2007,2006-07,False
101128-101179-1508-200763-2422,1610612758,"Francisco Garcia, Ronnie Price, Maurice Taylor, Quincy Douby, John Salmons","Garcia, Price, Taylor, Douby, Salmons",101128-101179-1508-200763-2422,SAC,160.0,1,3.0,2.0,7.0,7.0,1.0,14.0,3.0,3.0,,,,,,1.0,3.0,3.0,,1.0,4.0,10.0,8.0,,4.0,,1.0,,,1.0,,2.0,,1.0,1.0,,1.0,1.0,,,,2.0,,4.0,,10.0,,,,1.0,0.75,0.8333333333333334,0.25,1.0,,0.5,,,,126.0,8.142857142857142,14.714285714285714,8.142857142857142,14.285714285714286,0.75,1.0,1.0,,,,0.25,,,,,1.0,,0.64795,,0.2,,,24.7,7.0,,,,,,,,7.0,3.0,3.0,1.0,3.0,3.0,1.0,4.0,10.0,2.0,1.0,1.0,1.0,1.0,1.0,10.0,7.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.75,0.8333333333333334,1.0,0.3333333333333333,0.75,1.0,0.25,0.64795,0.25,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2007,2006-07,False
101128-101179-1508-2422-722,1610612758,"Francisco Garcia, Ronnie Price, Maurice Taylor, John Salmons, Corliss Williamson","Garcia, Price, Taylor, Salmons, Williamson",101128-101179-1508-2422-722,SAC,472.0,1,8.0,8.0,13.0,13.0,4.0,26.0,6.0,11.0,1.0,3.0,,,,,7.0,15.0,,,,14.0,6.0,,10.0,,,,,2.0,,4.0,3.0,2.0,4.0,4.0,8.0,2.0,1.0,2.0,4.0,2.0,,2.0,,10.0,,,,0.4666666666666667,0.4666666666666667,0.4666666666666667,,1.0,0.375,0.5,0.375,,1.0,79.3220338983051,15.538461538461538,20.76923076923077,14.846153846153847,16.53846153846154,0.7333333333333333,0.5454545454545454,0.6,0.06666666666666667,0.2,,,,,,,0.7333333333333333,,0.51852,0.5738666666666666,0.13333333333333333,,3.2333333333333334,,7.0,,1.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,4.0,,1.0,4.0,,,2.0,4.0,2.0,2.0,1.0,2.0,,2.0,4.0,,0.2857142857142857,0.4,0.25,0.25,0.25,,0.3333333333333333,1.0,0.25,,0.5913,0.13333333333333333,0.14285714285714285,0.3076923076923077,2.0,3.0,1.0,2.0,3.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.06666666666666667,0.09090909090909091,0.5,0.25,0.4,0.5,0.3333333333333333,0.2857142857142857,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2007,2006-07,False
101128-101179-1710-1802-2422,1610612758,"Francisco Garcia, Ronnie Price, Mike Bibby, Brad Miller, John Salmons","Garcia, Price, Bibby, Miller, Salmons",101128-101179-1710-1802-2422,SAC,6.0,1,,,1.0,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.0,6.0,,6.0,,,,,,1.0,,,,,,,,,0.2708,,,,16.9,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,0.2708,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2007,2006-07,False
101128-101179-1710-1802-949,1610612758,"Francisco Garcia, Ronnie Price, Mike Bibby, Brad Miller, Shareef Abdur-Rahim","Garcia, Price, Bibby, Miller, Abdur-Rahim",101128-101179-1710-1802-949,SAC,97.0,1,2.0,3.0,4.0,3.0,1.0,7.0,,1.0,,1.0,,,1.0,2.0,,2.0,1.0,2.0,2.0,5.0,2.0,,,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,2.0,,2.0,,3.0,1.0,0.5,0.5,,0.375,0.5,0.5,1.0,0.5,1.0,0.3333333333333333,,,103.91752577319588,13.75,14.0,13.75,14.0,0.25,,,,0.25,,0.5,0.5,0.5,1.0,,0.75,0.5,0.5250375,,,,11.85,24.65,,,,,,,,1.0,3.0,,1.0,1.0,,2.0,1.0,2.0,5.0,,,,,,1.0,5.0,3.0,1.0,,,,0.5,0.625,,,0.3333333333333333,,0.3333333333333333,0.52255,,1.0,0.75,,,,,,2.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,0.4,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2007,2006-07,False
101128-101179-1710-1897-2422,1610612758,"Francisco Garcia, Ronnie Price, Mike Bibby, Metta World Peace, John Salmons","Garcia, Price, Bibby, World Peace, Salmons",101128-101179-1710-1897-2422,SAC,2.0,1,,-2.0,,1.0,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,720.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2007,2006-07,False
101128-101179-1710-1897-2755,1610612758,"Francisco Garcia, Ronnie Price, Mike Bibby, Metta World Peace, Kevin Martin","Garcia, Price, Bibby, World Peace, Martin",101128-101179-1710-1897-2755,SAC,64.0,2,1.0,6.0,6.0,4.0,1.0,10.0,2.0,3.0,,1.0,,,1.0,3.0,2.0,4.0,1.0,3.0,,7.0,1.0,,2.0,3.0,3.0,1.0,1.0,2.0,1.0,5.0,1.0,,2.0,1.0,3.0,2.0,,,2.0,,,,,5.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.42857142857142855,,0.5,,0.25,,,225.0,7.5,4.75,7.5,4.75,0.42857142857142855,0.6666666666666666,0.6666666666666666,,0.14285714285714285,,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,,0.8571428571428571,0.3333333333333333,0.5406,0.6536,,,4.775,25.46666666666667,4.0,,2.0,,,2.0,1.0,,6.0,2.0,3.0,3.0,2.0,4.0,3.0,,7.0,2.0,1.0,1.0,2.0,,,7.0,6.0,,0.5,1.0,0.5,0.5,0.5,,0.5,0.42857142857142855,0.6666666666666666,0.42857142857142855,0.5406,,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,2.0,,,,,,,,1.0,1.0,1.0,,,,,1.0,,,,,,1.0,1.0,0.2857142857142857,1.0,,1.0,,,,,,,0.3333333333333333,,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2007,2006-07,False
101128-101179-1710-1897-722,1610612758,"Francisco Garcia, Ronnie Price, Mike Bibby, Metta World Peace, Corliss Williamson","Garcia, Price, Bibby, World Peace, Williamson",101128-101179-1710-1897-722,SAC,439.0,2,7.0,1.0,14.0,13.0,2.0,27.0,1.0,1.0,3.0,,1.0,,2.0,4.0,2.0,4.0,2.0,5.0,2.0,12.0,11.0,,2.0,6.0,4.0,2.0,2.0,3.0,2.0,8.0,,3.0,5.0,2.0,7.0,,,,3.0,4.0,,2.0,,10.0,1.0,0.4,0.4,0.5,0.5555555555555556,0.6,0.5555555555555556,0.75,,0.8333333333333334,0.4,,0.6666666666666666,88.56492027334852,15.928571428571429,16.615384615384617,14.928571428571429,16.153846153846153,0.1111111111111111,1.0,1.0,0.3333333333333333,,0.1111111111111111,0.4444444444444444,0.5,0.5,1.0,,0.6666666666666666,0.5,0.5086666666666667,,0.1,,8.0,24.619999999999997,1.0,,,3.0,5.0,,,,4.0,1.0,1.0,,1.0,1.0,,,2.0,2.0,1.0,,,1.0,,2.0,4.0,,0.5,0.5,1.0,1.0,1.0,1.0,,1.0,1.0,,0.6021,0.2,0.16666666666666666,0.2857142857142857,,,,,,2.0,,1.0,,2.0,,,1.0,,,,1.0,0.25,,,1.0,,,1.0,,,,,,0.16666666666666666,,2.0,,3.0,,,,,,,,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.3333333333333333,0.4,0.6666666666666666,0.5,1.0,0.3333333333333333,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2007,2006-07,False
101128-101179-1710-1903-2755,1610612758,"Francisco Garcia, Ronnie Price, Mike Bibby, Kenny Thomas, Kevin Martin","Garcia, Price, Bibby, Thomas, Martin",101128-101179-1710-1903-2755,SAC,26.0,1,,-2.0,1.0,2.0,,3.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.15384615384616,10.0,8.0,10.0,8.0,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2007,2006-07,False
