EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,OffPoss,PenaltyOffPoss,TotalPoss,PenaltyOffPossExcludingTakeFouls,Pace,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,PenaltyOffPossPct,Minutes,PlusMinus,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PtsUnassisted3s,DefCorner3ReboundPct,AtRimFGM,PenaltyAtRimFGM,PenaltyFG2M,PtsUnassisted2s,Offensive Fouls Drawn,PenaltyFg2Pct,AtRimAccuracy,UnblockedAtRimAccuracy,PenaltyAtRimAccuracy,ShortMidRangeFGM,Steals,BadPassSteals,Offensive Fouls,2pt And 1 Free Throw Trips,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceFtPoints,SecondChancePoints,OffThreePtRebounds,LostBallSteals,SecondChanceTsPct,OffThreePtReboundPct,OffArc3ReboundPct,SecondChancePointsPct,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Corner3Assists,FTDefRebounds,Loose Ball Fouls Drawn,Blocked3s,BlockedCorner3,BlockedLongMidRange,OffensiveGoaltends,SecondChanceFg3Pct,SecondChanceEfgPct,AtRimPctBlocked,DefFTReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,AtRimAssists,AtRimPctAssisted,BlockedAtRim,Defensive 3 Seconds Violations,SecondChanceAtRimFGM,SecondChanceFG2M,BlockedArc3,SecondChanceFg2Pct,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PtsPutbacks,ShortMidRangeAssists,SelfOReb,StepOutOfBoundsTurnovers,3SecondViolations,SelfORebPct,ShortMidRangePctAssisted,HeaveAttempts,Loose Ball Fouls,LostBallOutOfBoundsTurnovers,team_id,year,season,team_vs
101121-101181-1515-1725-2547,1610612761,"Joey Graham, Jose Calderon, Anthony Parker, Rasho Nesterovic, Chris Bosh","Graham, Calderon, Parker, Nesterovic, Bosh",101121-101181-1515-1725-2547,TOR,1.0,1,1.0,1.0,1.0,1.0,1440.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2007,2006-07,True
101121-101181-1515-200745-2050,1610612761,"Joey Graham, Jose Calderon, Anthony Parker, Andrea Bargnani, Morris Peterson","Graham, Calderon, Parker, Bargnani, Peterson",101121-101181-1515-200745-2050,TOR,745.0,1,21.0,9.0,42.0,9.0,81.18120805369128,17.857142857142858,17.761904761904763,0.42857142857142855,12.0,-21.0,21.0,12.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,1.0,1.0,2.0,8.0,2.0,6.0,4.0,14.0,35.0,1.0,3.0,1.0,1.0,4.0,7.0,4.0,6.0,3.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,10.0,2.0,1.0,4.0,5.0,2.0,7.0,2.0,1.0,1.0,4.0,1.0,1.0,6.0,1.0,3.0,2.0,6.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,7.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.25,0.35714285714285715,0.375,0.4375,0.5833333333333334,0.42857142857142855,0.125,0.5,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,0.2,0.5,0.5,1.0,1.0,1.0,1.0,1.0,17.61904761904762,17.61904761904762,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.5,0.5,1.0,0.21428571428571427,0.21428571428571427,0.6666666666666666,0.6666666666666666,1.0,1.0,0.5,0.25,1.0,0.5714285714285714,0.6666666666666666,0.4874321428571428,0.5232,0.496525,0.06666666666666667,0.1111111111111111,0.5,11.95,24.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2007,2006-07,True
101121-101181-1515-200745-2413,1610612761,"Joey Graham, Jose Calderon, Anthony Parker, Andrea Bargnani, Juan Dixon","Graham, Calderon, Parker, Bargnani, Dixon",101121-101181-1515-200745-2413,TOR,240.0,1,8.0,,16.0,,96.0,16.625,16.625,,4.0,-2.0,8.0,8.0,,1.0,,,,,1.0,1.0,3.0,4.0,,,,2.0,3.0,5.0,1.0,10.0,12.0,,,,,,,,6.0,4.0,3.0,,,2.0,2.0,2.0,,6.0,,1.0,1.0,2.0,,2.0,,,,,,,,,,,2.0,1.0,2.0,1.0,,,,,,10.0,,2.0,,,,0.6666666666666666,0.6,,0.6,,0.6428571428571429,,0.625,,0.7142857142857143,,,,1.0,,1.0,1.0,,,,,,1.0,,,13.375,13.375,0.14285714285714285,,0.14285714285714285,,,,0.14285714285714285,0.5714285714285714,0.75,0.75,0.6666666666666666,,,,,0.8571428571428571,0.75,0.5267357142857143,,,0.125,0.3333333333333333,,8.6,24.919999999999998,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2007,2006-07,True
101121-101181-1515-200745-2547,1610612761,"Joey Graham, Jose Calderon, Anthony Parker, Andrea Bargnani, Chris Bosh","Graham, Calderon, Parker, Bargnani, Bosh",101121-101181-1515-200745-2547,TOR,31.0,1,1.0,1.0,2.0,1.0,92.9032258064516,10.0,10.0,1.0,1.0,2.0,1.0,1.0,,1.0,,1.0,,,,,,,,,1.0,1.0,,,,2.0,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,2.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,21.0,21.0,1.0,,,,,,,,,,,,1.0,,,1.0,,0.5791,,0.5791,,,1.0,,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2007,2006-07,True
101121-101181-1515-2050-2547,1610612761,"Joey Graham, Jose Calderon, Anthony Parker, Morris Peterson, Chris Bosh","Graham, Calderon, Parker, Peterson, Bosh",101121-101181-1515-2050-2547,TOR,338.0,2,11.0,7.0,22.0,7.0,93.72781065088756,13.363636363636363,13.272727272727273,0.6363636363636364,6.0,7.0,11.0,3.0,1.0,1.0,,1.0,2.0,1.0,2.0,,2.0,2.0,,,4.0,5.0,2.0,2.0,5.0,19.0,12.0,,4.0,,,5.0,11.0,,6.0,2.0,2.0,,,2.0,2.0,2.0,,6.0,,1.0,3.0,4.0,,4.0,,,,1.0,,,1.0,,1.0,,4.0,4.0,7.0,2.0,2.0,1.0,1.0,1.0,,19.0,11.0,,2.0,,,1.0,1.0,,1.0,0.8,1.0,0.75,0.95,0.7857142857142857,0.2857142857142857,,,,0.75,,0.5,0.6666666666666666,,,,,0.6666666666666666,1.0,0.5,,17.363636363636363,16.363636363636363,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.5,0.5,,,0.2857142857142857,1.0,1.0,1.0,,0.25,,,0.42857142857142855,1.0,0.4686142857142857,,0.4383,0.25,0.3333333333333333,0.5789473684210527,9.64,24.65,,,1.0,1.0,3.0,8.0,,0.75,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2007,2006-07,True
101121-101181-1515-2413-2743,1610612761,"Joey Graham, Jose Calderon, Anthony Parker, Juan Dixon, Kris Humphries","Graham, Calderon, Parker, Dixon, Humphries",101121-101181-1515-2413-2743,TOR,94.0,1,2.0,,5.0,,76.59574468085107,24.0,21.5,,2.0,4.0,3.0,,,1.0,,,,,,,,2.0,,,1.0,1.0,,2.0,2.0,4.0,,,,,,,,,,2.0,,,,,,,,,,,2.0,2.0,1.0,3.0,,,,,,,,,,,,2.0,3.0,2.0,,,,,,3.0,,,,,,,,,,1.0,0.3333333333333333,,0.5,,0.6666666666666666,,,,1.0,,,1.0,0.5,,,,1.0,1.0,,,15.333333333333334,15.333333333333334,0.3333333333333333,,,,,,,0.6666666666666666,,,,,,,,1.0,,0.5949833333333333,,,0.5,1.0,,,25.05,,,1.0,,,2.0,,,1.0,1.0,,,1.0,,,1.0,,,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2007,2006-07,True
101121-101181-1515-2547-2743,1610612761,"Joey Graham, Jose Calderon, Anthony Parker, Chris Bosh, Kris Humphries","Graham, Calderon, Parker, Bosh, Humphries",101121-101181-1515-2547-2743,TOR,800.0,2,24.0,8.0,46.0,8.0,82.8,18.625,17.25,0.3333333333333333,13.0,-3.0,22.0,2.0,5.0,3.0,,1.0,4.0,,5.0,4.0,1.0,4.0,,1.0,2.0,12.0,2.0,8.0,10.0,20.0,23.0,1.0,2.0,1.0,3.0,6.0,11.0,,6.0,4.0,1.0,1.0,,2.0,2.0,1.0,,6.0,3.0,2.0,7.0,10.0,5.0,15.0,,1.0,,2.0,,,2.0,,,4.0,4.0,9.0,14.0,4.0,3.0,1.0,,2.0,2.0,12.0,11.0,,3.0,,,1.0,0.25,0.3333333333333333,0.25,0.16666666666666666,0.25,0.5,0.37037037037037035,0.6111111111111112,0.4,0.08333333333333333,,,0.875,0.3,1.0,0.9,0.3125,,,1.0,1.0,0.8,1.0,1.0,16.045454545454547,15.590909090909092,0.15,0.2,0.25,,,,0.2,0.2,0.25,0.25,1.0,,0.2,0.2,,0.55,0.25,0.4689925,0.3667,0.48802,0.16666666666666666,0.25,0.55,11.441666666666668,23.775,,1.0,1.0,1.0,1.0,4.0,,0.5,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,,,0.25,0.25,5.0,8.0,2.0,,0.8,0.3333333333333333,0.3333333333333333,0.4,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.75,0.3333333333333333,1.0,0.6,0.3333333333333333,0.25,0.25,1.0,0.5,1.0,1.0,0.4,0.5,,,,,,,,,,,,,,,,,,,,,1610612761,2007,2006-07,True
101121-101181-200745-2050-2413,1610612761,"Joey Graham, Jose Calderon, Andrea Bargnani, Morris Peterson, Juan Dixon","Graham, Calderon, Bargnani, Peterson, Dixon",101121-101181-200745-2050-2413,TOR,42.0,1,2.0,,3.0,,102.85714285714286,10.0,10.0,,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,2.0,4.0,2.0,,,,,,3.0,,,,,,,,,,,,,0.75,,,,,,,,1.0,1.0,,,,,,,1.0,,22.0,22.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2007,2006-07,True
101121-101181-200745-2413-2743,1610612761,"Joey Graham, Jose Calderon, Andrea Bargnani, Juan Dixon, Kris Humphries","Graham, Calderon, Bargnani, Dixon, Humphries",101121-101181-200745-2413-2743,TOR,451.0,2,13.0,,26.0,,83.01552106430155,21.846153846153847,18.384615384615383,,8.0,3.0,13.0,,3.0,3.0,1.0,,1.0,,3.0,2.0,1.0,2.0,,,1.0,7.0,3.0,4.0,5.0,16.0,13.0,2.0,,,,,,2.0,9.0,2.0,1.0,1.0,1.0,3.0,4.0,1.0,,11.0,4.0,,3.0,6.0,4.0,10.0,2.0,1.0,1.0,2.0,1.0,,4.0,1.0,,3.0,6.0,7.0,6.0,3.0,1.0,,,,,12.0,,,,1.0,1.0,1.0,0.75,,0.75,0.14285714285714285,0.5,,0.5714285714285714,,0.36363636363636365,0.14285714285714285,,0.5,1.0,0.6666666666666666,,1.0,0.5714285714285714,1.0,1.0,,,1.0,,,12.846153846153847,12.846153846153847,0.2727272727272727,0.09090909090909091,0.2727272727272727,,,,0.18181818181818182,0.18181818181818182,0.5,0.5,1.0,0.3333333333333333,,,,0.6363636363636364,0.5,0.5124954545454545,0.49679999999999996,,0.23076923076923078,0.3333333333333333,,9.471428571428572,24.925,,,1.0,,,,2.0,,0.3333333333333333,0.5,,,,,1.0,1.0,,,1.0,4.0,,,0.5,,,0.25,2.0,,,1.0,1.0,1.0,1.0,2.0,3.0,1.0,,,,,1.0,0.5,0.3333333333333333,1.0,0.3333333333333333,,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1610612761,2007,2006-07,True
101121-101181-2050-2413-2743,1610612761,"Joey Graham, Jose Calderon, Morris Peterson, Juan Dixon, Kris Humphries","Graham, Calderon, Peterson, Dixon, Humphries",101121-101181-2050-2413-2743,TOR,172.0,1,6.0,,12.0,,100.46511627906976,13.166666666666666,13.166666666666666,,3.0,2.0,6.0,,,3.0,,,,1.0,1.0,1.0,,,,,3.0,4.0,1.0,1.0,,9.0,7.0,,,,,,,4.0,3.0,,,,2.0,1.0,3.0,,1.0,7.0,,1.0,2.0,3.0,,3.0,1.0,,,,1.0,,1.0,,,,,,,,,2.0,,2.0,1.0,9.0,,,,0.6666666666666666,0.6666666666666666,1.0,1.0,,1.0,0.75,0.9,,0.9,,0.2,,,1.0,0.5,,1.0,0.6,,,,0.3333333333333333,,1.0,1.0,0.5,15.5,14.166666666666666,0.6,,0.2,1.0,1.0,1.0,0.2,,,,,,,,,0.8,,0.57428,,,,,,5.2,23.0,,,2.0,,,2.0,,,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,0.5,2.0,1.0,,,,,,,,,,,,,,,,,1610612761,2007,2006-07,True
