EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,DefPoss,TotalPoss,Corner3FGA,FG3A,OffThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,FoulsDrawn,Loose Ball Fouls Drawn,FG3APct,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,Corner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg3ptShotDistance,Minutes,PlusMinus,OffPoss,PenaltyOffPoss,PenaltyCorner3FGA,OpponentPoints,PenaltyFG3A,PenaltyOffPossExcludingTakeFouls,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,PenaltyCorner3Frequency,PenaltyShotQualityAvg,PenaltyOffPossPct,PenaltyDefPoss,SecondChanceOffPoss,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2A,FtPoints,Points,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,NonHeaveArc3FGA,Fg2aBlocked,OffTwoPtRebounds,FTDefRebounds,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,OffTwoPtReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,ShortMidRangeFrequency,LongMidRangeFrequency,Arc3Frequency,PenaltyArc3Frequency,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,FG2M,PenaltyFG2M,PtsUnassisted2s,NonShootingPenaltyNonTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,AtRimFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyAtRimFrequency,AtRimFGM,PenaltyAtRimFGM,LongMidRangeFGM,Corner3FGM,FG3M,PtsAssisted2s,PtsAssisted3s,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Travels,Offensive Fouls,2pt And 1 Free Throw Trips,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,LiveBallTurnoverPct,DefThreePtReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimAccuracy,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyCorner3FGM,SecondChanceFG2M,PenaltyFG3M,PtsPutbacks,SelfOReb,PenaltyFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,DefAtRimReboundPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyCorner3Accuracy,LostBallTurnovers,Offensive Fouls Drawn,RecoveredBlocks,BlocksRecoveredPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,NonHeaveArc3FGM,Arc3Assists,BlockedShortMidRange,SecondChanceFg3Pct,OffAtRimReboundPct,OffLongMidRangeReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,LongMidRangeAssists,StepOutOfBoundsTurnovers,LongMidRangePctAssisted,AtRimPctBlocked,3SecondViolations,FTOffRebounds,LostBallSteals,OffFTReboundPct,ShortMidRangeAssists,ShortMidRangePctAssisted,Loose Ball Fouls,SecondChanceAtRimPctAssisted,BadPassOutOfBoundsTurnovers,Blocked3s,BlockedArc3,Defensive 3 Seconds Violations,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,DefensiveGoaltends,HeaveAttempts,DefCorner3ReboundPct,PtsUnassisted3s,BlockedLongMidRange,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,LostBallOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,LongMidRangePctBlocked,OffensiveGoaltends,Clear Path Fouls,BlockedCorner3,team_id,year,season,team_vs
1506-1533-1717-1761-1891,1610612742,"Austin Croshere, Anthony Johnson, Dirk Nowitzki, Greg Buckner, Jason Terry","Croshere, Johnson, Nowitzki, Buckner, Terry",1506-1533-1717-1761-1891,DAL,25.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,57.599999999999994,19.0,19.0,1.0,1.0,0.6567,22.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2007,2006-07,False
1506-1533-1717-1761-1904,1610612742,"Austin Croshere, Anthony Johnson, Dirk Nowitzki, Greg Buckner, Devean George","Croshere, Johnson, Nowitzki, Buckner, George",1506-1533-1717-1761-1904,DAL,53.0,1,2.0,3.0,1.0,1.0,,,,,,,,1.0,,,,,,,81.50943396226415,11.0,11.0,1.0,1.0,0.51405,23.1,1.0,-5.0,1.0,1.0,1.0,5.0,1.0,1.0,31.0,31.0,1.0,0.51405,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2007,2006-07,False
1506-1533-1717-1761-711,1610612742,"Austin Croshere, Anthony Johnson, Dirk Nowitzki, Greg Buckner, Jerry Stackhouse","Croshere, Johnson, Nowitzki, Buckner, Stackhouse",1506-1533-1717-1761-711,DAL,172.0,1,8.0,15.0,1.0,3.0,1.0,,1.0,2.0,3.0,2.0,,0.42857142857142855,,0.3333333333333333,,0.3333333333333333,,,125.5813953488372,6.375,6.375,0.14285714285714285,0.42857142857142855,0.4344071428571428,24.2,3.0,-6.0,7.0,7.0,1.0,10.0,2.0,7.0,17.285714285714285,13.571428571428571,0.16666666666666666,0.4128083333333334,1.0,5.0,2.0,1.0,3.0,2.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,0.16666666666666666,0.25,0.14285714285714285,0.25,1.0,1.0,0.3333333333333333,1.0,0.5,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.16666666666666666,0.3479,0.125,0.2,0.25,0.75,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2007,2006-07,False
1506-1533-1717-1891-200772,1610612742,"Austin Croshere, Anthony Johnson, Dirk Nowitzki, Jason Terry, Maurice Ager","Croshere, Johnson, Nowitzki, Terry, Ager",1506-1533-1717-1891-200772,DAL,51.0,1,3.0,5.0,,,,,1.0,,1.0,,,,,,,,,,141.1764705882353,12.0,11.666666666666666,,0.5,0.57715,,1.0,-2.0,2.0,2.0,,4.0,,2.0,7.5,7.5,,0.57715,1.0,3.0,,1.0,,,,2.0,,2.0,,,,2.0,,2.0,,,,1.0,,,,,,1.0,,,,,,,,2.0,2.0,,0.5,,0.5,,,1.0,,,,0.5,,,,,,,,1.0,5.85,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2007,2006-07,False
1506-1533-1717-1891-711,1610612742,"Austin Croshere, Anthony Johnson, Dirk Nowitzki, Jason Terry, Jerry Stackhouse","Croshere, Johnson, Nowitzki, Terry, Stackhouse",1506-1533-1717-1891-711,DAL,313.0,4,10.0,22.0,1.0,1.0,,2.0,3.0,,3.0,2.0,,0.16666666666666666,0.5,,0.6,,,,101.21405750798722,16.1,15.3,0.16666666666666666,0.8333333333333334,0.5765583333333334,22.3,5.0,4.0,12.0,7.0,,12.0,,7.0,12.666666666666666,12.666666666666666,,0.47255,0.5833333333333334,2.0,,,1.0,,,5.0,3.0,16.0,,,,2.0,2.0,6.0,,,,,2.0,5.0,,4.0,3.0,4.0,3.0,,1.0,1.0,1.0,1.0,1.0,16.0,6.0,1.0,1.1428571428571428,,1.0,,,,,,,,0.16666666666666666,,,,0.16666666666666666,0.2,,0.375,3.78,4.0,1.0,,5.0,2.0,8.0,,1.0,1.0,1.0833333333333333,1.0,0.6666666666666666,,,0.5,4.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,0.2,0.2,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2007,2006-07,False
1506-1533-1717-1904-711,1610612742,"Austin Croshere, Anthony Johnson, Dirk Nowitzki, Devean George, Jerry Stackhouse","Croshere, Johnson, Nowitzki, George, Stackhouse",1506-1533-1717-1904-711,DAL,143.0,1,6.0,12.0,1.0,2.0,,2.0,2.0,1.0,3.0,1.0,,0.4,1.0,,1.0,0.3333333333333333,,1.0,120.83916083916084,11.666666666666666,11.666666666666666,0.2,0.6,0.49241,24.4,2.0,,6.0,2.0,1.0,7.0,1.0,2.0,12.166666666666666,12.0,1.0,0.5412,0.3333333333333333,2.0,1.0,1.0,1.0,1.0,,3.0,2.0,7.0,1.0,,2.0,,,3.0,1.0,,1.0,,,,,,,,2.0,,1.0,,,,,5.0,3.0,,0.5833333333333334,1.0,1.5,,,,0.5,1.0,,0.2,0.2,0.2,,0.6159,0.16666666666666666,0.25,0.2857142857142857,0.42857142857142855,7.833333333333333,1.0,,,1.0,,2.0,,0.3333333333333333,,0.5,1.5,0.2,,,,1.0,,,1.0,1.0,,3.0,,1.0,1.0,1.0,,3.0,,1.0,1.0,,,,,,,,1.0,0.5,0.5,,,,,1.0,1.0,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2007,2006-07,False
1506-1533-1717-2572-711,1610612742,"Austin Croshere, Anthony Johnson, Dirk Nowitzki, Josh Howard, Jerry Stackhouse","Croshere, Johnson, Nowitzki, Howard, Stackhouse",1506-1533-1717-2572-711,DAL,153.0,2,6.0,12.0,,,,1.0,1.0,,1.0,3.0,,,1.0,,1.0,,,,112.94117647058825,12.666666666666666,12.666666666666666,,0.5,0.46305,,3.0,,6.0,6.0,,4.0,,6.0,12.833333333333334,12.833333333333334,,0.46305,1.0,1.0,,,1.0,,,2.0,2.0,4.0,,,,2.0,2.0,4.0,,,,,1.0,3.0,,3.0,,2.0,2.0,,,1.0,,,,4.0,4.0,1.0,0.6666666666666666,,0.6666666666666666,,,,,,,,0.5,,,,,,,1.0,7.85,1.0,1.0,,1.0,1.0,2.0,,0.5,0.5,0.5,0.5,0.5,,,0.5,,,1.0,,,,,,,,,,,,,,2.0,1.0,,1.0,,,,,,,0.6666666666666666,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2007,2006-07,False
1506-1533-1717-2734-711,1610612742,"Austin Croshere, Anthony Johnson, Dirk Nowitzki, Devin Harris, Jerry Stackhouse","Croshere, Johnson, Nowitzki, Harris, Stackhouse",1506-1533-1717-2734-711,DAL,76.0,1,4.0,8.0,1.0,2.0,,1.0,2.0,,2.0,1.0,,0.5,1.0,,1.0,,,,151.57894736842107,5.75,5.75,0.25,0.5,0.498725,23.6,1.0,-2.0,4.0,,,2.0,,,13.25,10.5,,,,,1.0,,2.0,1.0,,2.0,,,1.0,,,,,,1.0,,,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,0.5,0.25,,,,,,,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2007,2006-07,False
1506-1533-1761-1891-2205,1610612742,"Austin Croshere, Anthony Johnson, Greg Buckner, Jason Terry, DeSagana Diop","Croshere, Johnson, Buckner, Terry, Diop",1506-1533-1761-1891-2205,DAL,1053.0,6,30.0,58.0,4.0,12.0,2.0,11.0,15.0,8.0,23.0,8.0,1.0,0.375,0.7857142857142857,0.4,0.7222222222222222,0.4,,0.6666666666666666,79.31623931623932,15.3,14.466666666666667,0.125,0.53125,0.462328125,24.724999999999998,18.0,12.0,28.0,8.0,2.0,20.0,4.0,8.0,21.214285714285715,17.464285714285715,0.25,0.42826875,0.2857142857142857,12.0,6.0,5.0,10.0,8.0,2.0,20.0,4.0,32.0,5.0,2.0,8.0,4.0,1.0,12.0,8.0,1.0,6.0,2.0,2.0,2.0,1.0,,2.0,5.0,6.0,,3.0,,2.0,,2.0,24.0,12.0,,0.45714285714285713,0.5,0.6666666666666666,0.05,0.2,1.0,0.4,0.4,0.6666666666666666,0.15625,0.3125,0.25,0.25,0.48163333333333336,0.08571428571428572,0.13043478260869565,0.25,0.375,11.334999999999999,5.0,,,5.0,1.0,6.0,2.0,0.25,0.25,0.4375,0.6875,0.15625,,,,3.0,,2.0,2.0,6.0,4.0,18.0,2.0,6.0,8.0,2.0,2.0,22.0,2.0,1.0,1.0,,,1.0,,,0.4,0.4,1.0,0.5,0.5,,0.5,0.7777777777777778,0.5,0.6,0.6,0.6666666666666666,0.2,0.2,0.5,0.5,1.0,,,2.0,2.0,,3.0,,1.0,0.75,,0.42857142857142855,1.0,0.05263157894736842,0.2857142857142857,,1.0,,3.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,2.0,1.0,1.0,0.25,0.5,0.5,1.0,0.14285714285714285,1.0,1.0,0.14285714285714285,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2007,2006-07,False
1506-1533-1761-1891-711,1610612742,"Austin Croshere, Anthony Johnson, Greg Buckner, Jason Terry, Jerry Stackhouse","Croshere, Johnson, Buckner, Terry, Stackhouse",1506-1533-1761-1891-711,DAL,29.0,1,1.0,2.0,1.0,1.0,,,,,,,,1.0,,,,,,,99.3103448275862,6.0,6.0,1.0,1.0,0.525,22.8,,-2.0,1.0,1.0,1.0,2.0,1.0,1.0,23.0,23.0,1.0,0.525,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2007,2006-07,False
