EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,ShortMidRangeFGM,ShortMidRangeFGA,FtPoints,PenaltyFtPoints,Fg2aBlocked,ShortMidRangeAssists,DefThreePtRebounds,FTDefRebounds,Steals,BadPassSteals,LostBallSteals,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,BlockedAtRim,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,FG2APctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,DefThreePtReboundPct,DefCorner3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,DefLongMidRangeReboundPct,DefArc3ReboundPct,SecondChanceOffPoss,SecondChanceAtRimFGA,SecondChanceFG2A,OffTwoPtRebounds,OffRebounds,SelfOReb,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Technical Free Throw Trips,AtRimPctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,LongMidRangeFGM,LongMidRangeFGA,ThreePtShootingFoulsDrawn,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimFGM,Corner3FGM,Corner3FGA,SecondChanceArc3FGA,FG3M,SecondChanceFG2M,SecondChanceFG3A,SecondChancePoints,PtsAssisted3s,PtsPutbacks,ThreePtAssists,Corner3Assists,LongMidRangeAssists,OffThreePtRebounds,SecondChanceTurnovers,2pt And 1 Free Throw Trips,BlockedLongMidRange,Defensive 3 Seconds Violations,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChancePointsPct,SecondChanceFtPoints,Loose Ball Fouls,Arc3FGM,PtsUnassisted3s,NonHeaveArc3FGM,Arc3Assists,FTOffRebounds,LostBallOutOfBoundsTurnovers,Travels,Offensive Fouls,Offensive Fouls Drawn,OffFTReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimPctAssisted,NonHeaveArc3Accuracy,PenaltyCorner3FGA,PenaltyCorner3Frequency,PenaltyCorner3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyCorner3Accuracy,LongMidRangePctBlocked,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3FGM,PenaltyArc3Accuracy,OffensiveGoaltends,HeaveAttempts,Fg3aBlocked,DefensiveGoaltends,FG3APctBlocked,Arc3PctBlocked,3SecondViolations,SecondChanceCorner3FGA,Corner3PctBlocked,SecondChanceCorner3Frequency,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,Clear Path Fouls,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedCorner3,team_id,year,season,team_vs
101114-101139-101232-200758-2246,1610612762,"Deron Williams, CJ Miles, Roger Powell, Ronnie Brewer, Mehmet Okur","Williams, Miles, Powell, Brewer, Okur",101114-101139-101232-200758-2246,UTA,149.0,1,2.0,1.0,4.0,4.0,4.0,8.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,6.0,5.0,3.0,3.0,1.0,6.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,4.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.75,0.75,0.75,0.75,0.25,0.3333333333333333,0.3333333333333333,1.0,77.31543624161074,1.0,12.0,25.25,12.0,21.75,0.75,1.0,1.0,0.3333333333333333,0.25,0.75,1.0,0.25,1.0,0.608225,0.608225,1.0,25.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2007,2006-07,True
101114-101139-1723-1905-2430,1610612762,"Deron Williams, CJ Miles, Matt Harpring, Andrei Kirilenko, Carlos Boozer","Williams, Miles, Harpring, Kirilenko, Boozer",101114-101139-1723-1905-2430,UTA,272.0,2,5.0,7.0,11.0,10.0,11.0,21.0,3.0,4.0,3.0,4.0,,,4.0,6.0,,14.0,7.0,4.0,6.0,,14.0,4.0,4.0,,2.0,2.0,1.0,4.0,1.0,3.0,3.0,1.0,,1.0,,14.0,14.0,11.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7,0.7,,0.5,0.5,1.0,111.17647058823529,,12.181818181818182,13.8,12.181818181818182,12.9,0.6666666666666666,0.75,0.75,0.3333333333333333,,0.6666666666666666,0.75,,0.6666666666666666,0.5354833333333333,0.5354833333333333,1.0,,1.0,10.0,1.0,2.0,6.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,8.0,1.0,3.0,1.0,1.0,3.0,0.16666666666666666,0.5,1.0,0.5,1.0,0.3333333333333333,0.5,1.0,1.0,0.14285714285714285,0.14285714285714285,2.2333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2007,2006-07,True
101114-101139-1723-1921-2737,1610612762,"Deron Williams, CJ Miles, Matt Harpring, Gordan Giricek, Rafael Araujo","Williams, Miles, Harpring, Giricek, Araujo",101114-101139-1723-1921-2737,UTA,59.0,1,1.0,4.0,2.0,2.0,2.0,4.0,,,,,,,1.0,1.0,,4.0,,1.0,1.0,,4.0,2.0,,,1.0,1.0,,2.0,1.0,2.0,2.0,,,,,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,97.6271186440678,,7.5,22.0,7.5,22.0,,,,,,,,,,0.3901,0.3901,1.0,,1.0,2.0,1.0,1.0,2.0,2.0,,1.0,1.0,,,,,,1.0,,2.0,1.0,,,,,,,,1.0,,1.0,1.0,1.0,1.0,0.5,0.5,12.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2007,2006-07,True
101114-101139-1723-200758-2737,1610612762,"Deron Williams, CJ Miles, Matt Harpring, Ronnie Brewer, Rafael Araujo","Williams, Miles, Harpring, Brewer, Araujo",101114-101139-1723-200758-2737,UTA,159.0,1,3.0,-6.0,7.0,7.0,7.0,14.0,,3.0,,3.0,,,1.0,5.0,,3.0,9.0,1.0,5.0,,3.0,2.0,,,1.0,1.0,,2.0,,1.0,3.0,,,,,3.0,3.0,7.0,1.0,1.0,0.2,0.2,0.2,0.2,0.2,0.2,,,,,126.79245283018868,,10.571428571428571,12.142857142857142,9.285714285714286,12.142857142857142,0.6,,,,,0.6,,,0.6,0.50216,0.50216,1.0,,1.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,2.0,,,1.0,,,,,,0.2,,1.0,,,0.4,0.5,0.5,1.0,,,4.4799999999999995,,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,0.3333333333333333,0.6666666666666666,0.5,0.5,0.6666666666666666,0.3333333333333333,1.0,0.5762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2007,2006-07,True
101114-101139-1723-200794-2246,1610612762,"Deron Williams, CJ Miles, Matt Harpring, Paul Millsap, Mehmet Okur","Williams, Miles, Harpring, Millsap, Okur",101114-101139-1723-200794-2246,UTA,141.0,1,2.0,8.0,5.0,5.0,,10.0,2.0,2.0,,,,,3.0,3.0,,10.0,2.0,,,,,4.0,2.0,,2.0,2.0,2.0,4.0,1.0,2.0,2.0,,,,,10.0,,,0.6666666666666666,0.6666666666666666,1.0,,1.0,,1.0,,,1.0,1.0,1.0,102.12765957446808,,11.0,17.2,11.0,17.2,0.6666666666666666,1.0,1.0,1.0,,,,,0.6666666666666666,0.5416333333333333,,,,,,,,4.0,,,,1.0,,1.0,,1.0,,2.0,,5.0,1.0,,,,,,,,1.0,,,,,,0.4,0.25,6.333333333333333,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2007,2006-07,True
101114-101139-1723-2246-2430,1610612762,"Deron Williams, CJ Miles, Matt Harpring, Mehmet Okur, Carlos Boozer","Williams, Miles, Harpring, Okur, Boozer",101114-101139-1723-2246-2430,UTA,784.0,6,13.0,-1.0,27.0,30.0,17.0,57.0,8.0,10.0,5.0,7.0,2.0,1.0,10.0,18.0,4.0,35.0,36.0,6.0,12.0,1.0,18.0,12.0,8.0,2.0,6.0,7.0,4.0,15.0,3.0,6.0,10.0,3.0,1.0,3.0,1.0,31.0,18.0,17.0,0.6,0.75,0.5555555555555556,0.5,0.5227272727272727,0.46153846153846156,0.5645161290322581,0.5,0.18181818181818182,0.375,0.42857142857142855,,104.6938775510204,0.3333333333333333,11.88888888888889,15.433333333333334,11.407407407407407,14.266666666666667,0.45454545454545453,0.8,0.8,0.5,0.09090909090909091,0.5384615384615384,0.7142857142857143,0.07692307692307693,0.6363636363636364,0.5485681818181818,0.5250615384615385,0.5142857142857142,24.425,0.6296296296296297,14.0,1.0,5.0,12.0,6.0,,1.0,3.0,,6.0,4.0,2.0,4.0,12.0,,20.0,9.0,2.0,1.0,1.0,2.0,,,,0.5,,0.22727272727272727,0.2,0.2,1.0,0.3103448275862069,0.36,4.983333333333333,0.75,0.6,3.0,2.0,2.0,2.0,4.0,,,,,1.0,,1.0,,3.0,,,,0.2857142857142857,0.4,0.5,,0.6666666666666666,0.5564,1.0,3.0,,0.13636363636363635,0.3333333333333333,0.3333333333333333,,2.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.25,0.25,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.25,0.5,1.0,1.0,0.09090909090909091,0.5,0.5,1.0,1.0,0.3333333333333333,0.11428571428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2007,2006-07,True
101114-101139-1723-2260-2737,1610612762,"Deron Williams, CJ Miles, Matt Harpring, Jarron Collins, Rafael Araujo","Williams, Miles, Harpring, Collins, Araujo",101114-101139-1723-2260-2737,UTA,80.0,1,1.0,,1.0,2.0,1.0,3.0,,,,,,,1.0,2.0,,3.0,3.0,1.0,2.0,,3.0,2.0,,,1.0,1.0,,2.0,,1.0,2.0,,,,,2.0,3.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,,,,,54.0,,26.0,27.0,26.0,21.0,,,,,,,,,,0.41795,0.41795,1.0,,1.0,2.0,,1.0,1.0,1.0,,,,1.0,,,,1.0,1.0,1.0,2.0,,1.0,,1.0,1.0,,,1.0,,,0.5,,,,,,15.35,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,0.5,1.0,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,0.5,,1.0,,,1.0,,,,,,,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2007,2006-07,True
101114-101139-1905-200794-2246,1610612762,"Deron Williams, CJ Miles, Andrei Kirilenko, Paul Millsap, Mehmet Okur","Williams, Miles, Kirilenko, Millsap, Okur",101114-101139-1905-200794-2246,UTA,44.0,1,1.0,-1.0,2.0,1.0,,3.0,,,,,,,,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,0.25,,,,,,98.18181818181819,,15.0,14.0,15.0,14.0,,,,,,,,,,0.3699,,,,,,,1.0,1.0,,,,,,,,,,1.0,,2.0,1.0,,,,,,,,,,1.0,,,,0.5,0.5,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2007,2006-07,True
101114-101139-1905-2246-2430,1610612762,"Deron Williams, CJ Miles, Andrei Kirilenko, Mehmet Okur, Carlos Boozer","Williams, Miles, Kirilenko, Okur, Boozer",101114-101139-1905-2246-2430,UTA,5314.0,10,89.0,5.0,167.0,164.0,8.0,331.0,39.0,61.0,1.0,2.0,24.0,,58.0,124.0,32.0,169.0,164.0,2.0,5.0,,8.0,58.0,58.0,24.0,29.0,37.0,17.0,82.0,52.0,69.0,100.0,8.0,3.0,8.0,5.0,134.0,8.0,8.0,0.5,0.5471698113207547,0.46774193548387094,0.4,0.4583333333333333,0.4,0.48554913294797686,0.5714285714285714,0.20512820512820512,0.7027027027027027,0.6808510638297872,0.6842105263157895,89.69514490026346,0.625,15.497005988023952,16.621951219512194,14.532934131736527,15.408536585365853,0.391025641025641,0.639344262295082,0.7090909090909091,0.4358974358974359,0.15384615384615385,0.4,0.5,,0.5961538461538461,0.5184157051282051,0.49244000000000004,0.047337278106508875,24.61875,0.04790419161676647,10.0,6.0,20.0,26.0,4.0,8.0,3.0,12.0,5.0,6.0,5.0,1.0,31.0,41.0,1.0,37.0,17.0,2.0,5.0,,1.0,0.06451612903225806,0.1,0.8333333333333334,0.6,0.6666666666666666,0.1282051282051282,0.3,0.3333333333333333,0.5,0.09941520467836257,0.1223021582733813,8.189516129032258,0.8620689655172413,0.5714285714285714,29.0,16.0,24.0,22.0,31.0,4.0,13.0,2.0,7.0,12.0,6.0,25.0,3.0,15.0,1.0,0.09836065573770492,0.52,0.3333333333333333,0.3258426966292135,0.3181818181818182,0.04938271604938271,0.6666666666666666,0.5058055555555555,13.0,43.0,,0.27564102564102566,0.3023255813953488,0.3023255813953488,,12.0,2.0,8.0,,9.0,15.0,,35.0,24.0,10.0,8.0,2.0,9.0,7.0,4.0,2.0,,,0.8888888888888888,0.28125,0.28125,0.625,0.625,0.6481481481481481,0.30434782608695654,0.42857142857142855,0.29411764705882354,0.3333333333333333,0.6923076923076923,0.05128205128205128,0.25,0.25,1.0,0.75,,0.20710059171597633,5.0,2.0,7.0,3.0,7.0,6.0,2.0,1.0,3.0,4.0,3.0,0.4,0.3,0.5384615384615384,0.2916666666666667,0.2916666666666667,0.8571428571428571,0.4166666666666667,0.2916666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2007,2006-07,True
101114-101139-1921-200794-2246,1610612762,"Deron Williams, CJ Miles, Gordan Giricek, Paul Millsap, Mehmet Okur","Williams, Miles, Giricek, Millsap, Okur",101114-101139-1921-200794-2246,UTA,95.0,1,2.0,2.0,3.0,2.0,,5.0,,,,,,,1.0,2.0,,4.0,2.0,,,,,,2.0,,,,,,1.0,1.0,2.0,,,,,4.0,,,,,0.5,,0.5,,0.6666666666666666,,,1.0,1.0,,75.78947368421053,,17.666666666666668,21.0,16.666666666666668,21.0,,,,,,,,,,0.3868,,,,,,1.0,1.0,2.0,,,,,,,,,1.0,2.0,,2.0,1.0,,,,,,,,,,0.5,1.0,1.0,,0.3333333333333333,0.3333333333333333,11.8,,,1.0,,,1.0,1.0,,,,,1.0,,1.0,,,,,,1.0,1.0,,,,,,1.0,,0.5,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2007,2006-07,True
