EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,OpponentPoints,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,PenaltyOffPossExcludingTakeFouls,LiveBallTurnoverPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,PenaltyOffPossPct,Minutes,SecondChanceOffPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,SecondChanceFG2A,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,FoulsDrawn,Loose Ball Fouls Drawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,Avg2ptShotDistance,SecondChanceTurnovers,Offensive Fouls,DefAtRimReboundPct,PenaltyDefPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,FtPoints,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,OffThreePtRebounds,FTOffRebounds,FTDefRebounds,SelfOReb,StepOutOfBoundsTurnovers,Travels,Loose Ball Fouls,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,DefFTReboundPct,OffFTReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg3ptShotDistance,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,HeaveAttempts,OffCorner3ReboundPct,Clear Path Fouls,LongMidRangePctBlocked,Blocked3s,BlockedArc3,team_id,year,season,team_vs
1112-136-200757-2550-2736,1610612741,"Ben Wallace, P.J. Brown, Thabo Sefolosha, Kirk Hinrich, Luol Deng","Wallace, Brown, Sefolosha, Hinrich, Deng",1112-136-200757-2550-2736,CHI,16.0,1,-2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,180.0,1.0,15.0,1.0,15.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2007,2006-07,False
1112-136-200757-2732-2736,1610612741,"Ben Wallace, P.J. Brown, Thabo Sefolosha, Ben Gordon, Luol Deng","Wallace, Brown, Sefolosha, Gordon, Deng",1112-136-200757-2732-2736,CHI,411.0,2,6.0,13.0,12.0,,25.0,6.0,1.0,,5.0,,2.0,3.0,,0.2,87.59124087591242,13.384615384615385,19.75,12.692307692307692,19.75,,7.0,1.0,1.0,1.0,1.0,1.0,4.0,8.0,6.0,10.0,12.0,1.0,10.0,2.0,5.0,5.0,1.0,1.0,3.0,10.0,1.0,2.0,4.0,6.0,1.0,7.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,12.0,0.8333333333333334,0.8333333333333334,0.6,0.6,0.6,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.8,0.5,0.5,0.75,0.1,0.41806,0.4242,16.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2007,2006-07,False
1112-136-200757-2732-2804,1610612741,"Ben Wallace, P.J. Brown, Thabo Sefolosha, Ben Gordon, Andres Nocioni","Wallace, Brown, Sefolosha, Gordon, Nocioni",1112-136-200757-2732-2804,CHI,83.0,1,,3.0,2.0,,5.0,2.0,,,1.0,,,2.0,,,86.74698795180723,15.666666666666666,18.0,14.0,18.0,,1.0,1.0,1.0,2.0,,,,1.0,1.0,3.0,2.0,,2.0,,1.0,1.0,1.0,,,2.0,1.0,,1.0,1.0,1.0,2.0,,,,,1.0,,,,,2.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.5,,1.0,0.5,1.0,,,,,0.6666666666666666,0.5,0.5,1.0,,,,,0.3333333333333333,,,,0.6666666666666666,0.4986333333333333,,5.733333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2007,2006-07,False
1112-136-2550-2732-2736,1610612741,"Ben Wallace, P.J. Brown, Kirk Hinrich, Ben Gordon, Luol Deng","Wallace, Brown, Hinrich, Gordon, Deng",1112-136-2550-2732-2736,CHI,8508.0,10,19.0,254.0,254.0,37.0,508.0,259.0,14.0,11.0,37.0,7.0,30.0,53.0,37.0,0.3783783783783784,85.98025387870238,14.484251968503937,19.011811023622048,13.366141732283465,18.15748031496063,0.14566929133858267,142.0,36.0,30.0,59.0,11.0,43.0,41.0,88.0,82.0,190.0,278.0,31.0,98.0,66.0,49.0,61.0,15.0,6.0,28.0,134.0,33.0,25.0,71.0,104.0,44.0,148.0,20.0,12.0,8.0,5.0,23.0,2.0,3.0,64.0,2.0,222.0,0.5975609756097561,0.6712328767123288,0.43157894736842106,0.4777777777777778,0.5227272727272727,0.7244897959183674,0.3113207547169811,0.7142857142857143,0.7218045112781954,0.31451612903225806,0.2765957446808511,0.7391304347826086,0.7659574468085106,0.6923076923076923,0.7777777777777778,0.26222222222222225,0.5084745762711864,0.5660377358490566,0.5,0.19111111111111112,0.2558139534883721,0.34375,0.5454545454545454,0.39111111111111113,0.4659090909090909,0.4659090909090909,0.6829268292682927,0.4177777777777778,0.4867657777777778,0.5114616666666667,10.397368421052631,3.0,3.0,0.6428571428571429,21.0,9.0,18.0,2.0,7.0,5.0,6.0,1.0,1.0,1.0,1.0,12.0,29.0,3.0,3.0,3.0,5.0,17.0,35.0,63.0,17.0,4.0,4.0,10.0,56.0,6.0,24.0,4.0,6.0,15.0,39.0,36.0,15.0,18.0,29.0,12.0,17.0,1.0,12.0,7.0,5.0,6.0,5.0,8.0,8.0,1.0,6.0,1.0,5.0,83.0,3.0,2.0,38.0,4.0,13.0,5.0,2.0,6.0,13.0,7.0,3.0,1.0,39.0,1.0,3.0,0.7058823529411765,0.4857142857142857,1.0,0.6666666666666666,0.4857142857142857,0.5483870967741935,0.25,0.6571428571428571,0.4,0.6829268292682927,0.47435897435897434,0.15555555555555556,0.02857142857142857,0.08947368421052632,0.1016949152542373,0.2558139534883721,0.034482758620689655,0.8888888888888888,0.5555555555555556,0.3333333333333333,0.4642857142857143,0.22580645161290322,0.35294117647058826,0.07476635514018691,0.5384615384615384,0.02666666666666667,0.8333333333333334,0.8333333333333334,1.0,0.1288888888888889,0.41379310344827586,0.42857142857142855,0.5833333333333334,0.5142857142857142,0.5,0.1111111111111111,0.02857142857142857,1.0,1.0,0.08571428571428572,1.0,0.6666666666666666,0.23333333333333334,0.2857142857142857,0.03333333333333333,1.0,0.16666666666666666,0.6,0.41379310344827586,0.48605,0.14615384615384616,0.1688888888888889,0.2014388489208633,0.14028776978417265,24.962857142857143,,,,,,,,,,1610612741,2007,2006-07,False
1112-136-2550-2732-2804,1610612741,"Ben Wallace, P.J. Brown, Kirk Hinrich, Ben Gordon, Andres Nocioni","Wallace, Brown, Hinrich, Gordon, Nocioni",1112-136-2550-2732-2804,CHI,473.0,2,14.0,14.0,13.0,,27.0,6.0,,,,,,,,,82.19873150105708,12.5,22.923076923076923,12.5,21.23076923076923,,8.0,1.0,3.0,3.0,,,4.0,9.0,7.0,12.0,20.0,1.0,8.0,6.0,4.0,5.0,2.0,,2.0,11.0,,1.0,7.0,8.0,1.0,9.0,1.0,,1.0,,,,,,,18.0,0.5714285714285714,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.7777777777777778,,1.0,0.8,0.16666666666666666,,1.0,0.8333333333333334,1.0,,0.2,1.0,1.0,0.6666666666666666,,,,,0.6,0.4444444444444444,0.4444444444444444,0.5,0.4,0.48849666666666663,,13.208333333333334,,,0.5,,1.0,1.0,,,1.0,1.0,,,,,1.0,2.0,,,,,2.0,3.0,,1.0,,,,2.0,,,,,,,3.0,3.0,2.0,2.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,0.5,0.6666666666666666,,,0.6666666666666666,1.0,,1.0,,1.0,,0.2,,,,,,,,1.0,,,1.0,,,0.06666666666666667,1.0,1.0,1.0,0.13333333333333333,0.5,0.5,,1.0,1.0,,,,,,,,,,,,,,0.5,,,,0.1,,24.8,,,,,,,,,,1610612741,2007,2006-07,False
1112-136-2550-2736-2768,1610612741,"Ben Wallace, P.J. Brown, Kirk Hinrich, Luol Deng, Chris Duhon","Wallace, Brown, Hinrich, Deng, Duhon",1112-136-2550-2736-2768,CHI,705.0,4,-7.0,22.0,24.0,2.0,46.0,32.0,2.0,1.0,3.0,,2.0,6.0,2.0,0.6666666666666666,93.95744680851064,16.5,14.25,16.181818181818183,13.916666666666666,0.09090909090909091,12.0,1.0,2.0,4.0,1.0,3.0,8.0,11.0,11.0,18.0,25.0,1.0,16.0,6.0,8.0,8.0,2.0,,6.0,16.0,1.0,1.0,4.0,6.0,2.0,8.0,2.0,1.0,1.0,,1.0,,1.0,6.0,1.0,25.0,0.7272727272727273,0.7272727272727273,0.6111111111111112,0.5789473684210527,0.5681818181818182,0.8,0.16666666666666666,1.0,0.8333333333333334,0.2857142857142857,0.3333333333333333,1.0,1.0,1.0,,0.21052631578947367,0.5,0.6666666666666666,1.0,0.15789473684210525,0.3333333333333333,0.3333333333333333,,0.5789473684210527,0.7272727272727273,0.7272727272727273,0.75,0.2631578947368421,0.4639315789473684,0.4026,13.483333333333333,,,,5.0,,,1.0,1.0,,,,,,,,1.0,,,,,,1.0,3.0,,,,,,1.0,2.0,,,,2.0,,,,1.0,,1.0,,,,,1.0,,1.0,,,,1.0,1.0,7.0,1.0,,4.0,,2.0,1.0,,1.0,2.0,1.0,,,2.0,2.0,,,,,,,,0.5,,0.5,,0.5,0.05263157894736842,,0.05555555555555555,0.25,,,1.0,,1.0,,,1.0,,0.5,,,,,0.05263157894736842,,,,,,,,,,,,,0.5,1.0,,,,,,0.48075,0.18181818181818182,0.19047619047619047,,0.08,25.6,,,,,,,,,,1610612741,2007,2006-07,False
1112-136-2732-2736-2768,1610612741,"Ben Wallace, P.J. Brown, Ben Gordon, Luol Deng, Chris Duhon","Wallace, Brown, Gordon, Deng, Duhon",1112-136-2732-2736-2768,CHI,228.0,2,2.0,7.0,6.0,,13.0,9.0,1.0,1.0,1.0,,,,,1.0,82.10526315789474,16.428571428571427,18.833333333333332,15.857142857142858,17.833333333333332,,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0,11.0,,4.0,2.0,2.0,2.0,,1.0,1.0,4.0,1.0,,1.0,2.0,1.0,3.0,,,,,,,,1.0,,8.0,0.6666666666666666,0.6666666666666666,0.6,0.75,0.7857142857142857,0.5,0.5,,0.5,0.5,0.5,1.0,,,,0.16666666666666666,1.0,1.0,,0.16666666666666666,1.0,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.465225,0.59385,14.8,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,2.0,,1.0,1.0,,3.0,,,,,,,,3.0,,1.0,1.0,,,,,,,,1.0,1.0,,,,,2.0,,,1.0,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.5,,1.5,,0.16666666666666666,,,,,,1.0,,,,,,0.5,,,,,,0.16666666666666666,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,1.0,,0.14285714285714285,0.16666666666666666,0.2727272727272727,,24.2,,,,,,,,,,1610612741,2007,2006-07,False
1112-200748-200757-2550-2732,1610612741,"Ben Wallace, Tyrus Thomas, Thabo Sefolosha, Kirk Hinrich, Ben Gordon","Wallace, Thomas, Sefolosha, Hinrich, Gordon",1112-200748-200757-2550-2732,CHI,125.0,1,-1.0,4.0,4.0,,8.0,7.0,1.0,1.0,1.0,,1.0,2.0,,1.0,92.16,14.25,17.0,14.25,17.0,,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,6.0,,6.0,,3.0,3.0,1.0,1.0,1.0,6.0,,,,,,,1.0,1.0,,,,,,,,6.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.5588333333333334,,11.066666666666668,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2007,2006-07,False
1112-200748-200757-2550-2736,1610612741,"Ben Wallace, Tyrus Thomas, Thabo Sefolosha, Kirk Hinrich, Luol Deng","Wallace, Thomas, Sefolosha, Hinrich, Deng",1112-200748-200757-2550-2736,CHI,44.0,2,1.0,2.0,3.0,2.0,5.0,2.0,,,,,,1.0,2.0,,163.63636363636365,20.0,1.3333333333333333,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,3.0,1.0,4.0,3.0,3.0,2.0,,1.0,1.0,1.0,,,2.0,3.0,,,,6.0,6.0,,,,,,,,1.0,,3.0,1.0,1.0,0.25,0.16666666666666666,0.25,,1.0,,,0.8,1.0,,,,,0.16666666666666666,1.0,1.0,1.0,,,,,0.5,,,,0.5,0.46859999999999996,0.42485,11.525,,,,3.0,,,1.0,1.0,,,,,,,,2.0,,2.0,,2.0,,2.0,1.0,,,2.0,,,1.0,4.0,,2.0,1.0,3.0,,,,2.0,,,,,,,1.0,2.0,,,,,,,1.0,1.0,,1.0,,1.0,,1.0,,1.0,,,,3.0,1.0,,,,,,,,0.25,,0.16666666666666666,,0.25,0.3333333333333333,,,,,,,1.0,0.5,,,0.5,,,,,,,0.3333333333333333,,,,,,,,,,0.4,,,0.16666666666666666,1.0,,,0.3333333333333333,,,0.46859999999999996,0.16666666666666666,0.25,,1.0,25.75,,,,,,,,,,1610612741,2007,2006-07,False
1112-200748-200757-2550-2804,1610612741,"Ben Wallace, Tyrus Thomas, Thabo Sefolosha, Kirk Hinrich, Andres Nocioni","Wallace, Thomas, Sefolosha, Hinrich, Nocioni",1112-200748-200757-2550-2804,CHI,121.0,1,,3.0,3.0,,6.0,4.0,1.0,,1.0,,1.0,1.0,,1.0,71.40495867768595,20.333333333333332,20.0,20.333333333333332,20.0,,2.0,,,,1.0,1.0,,,1.0,1.0,4.0,,,2.0,,,,,,,,1.0,,1.0,,1.0,,,,,,,1.0,2.0,,4.0,,,1.0,1.0,0.6666666666666666,,,1.0,1.0,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,0.4178,,11.7,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,1610612741,2007,2006-07,False
