EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Fouls,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,FtPoints,OpponentPoints,PenaltyFtPoints,Steals,BadPassSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,FoulsDrawn,Loose Ball Fouls Drawn,FTA,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,LiveBallTurnoverPct,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,ThreePtAssists,Corner3Assists,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,Avg3ptShotDistance,LongMidRangeAssists,LongMidRangePctAssisted,FTDefRebounds,DefFTReboundPct,Technical Free Throw Trips,NonShootingPenaltyNonTakeFouls,Arc3FGM,PenaltyArc3FGM,NonHeaveArc3FGM,Fg2aBlocked,Arc3Assists,ShootingFouls,TwoPtShootingFoulsDrawn,FG2APctBlocked,AtRimPctBlocked,DefAtRimReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Offensive Fouls Drawn,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsPutbacks,OffTwoPtRebounds,OffRebounds,SelfOReb,LostBallSteals,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,FTOffRebounds,OffFTReboundPct,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,OffShortMidRangeReboundPct,BlocksRecoveredPct,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,DeadBallTurnovers,ShortMidRangeAssists,OffThreePtRebounds,BadPassOutOfBoundsTurnovers,BadPassTurnovers,Loose Ball Fouls,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,ShortMidRangePctAssisted,Offensive Fouls,ShortMidRangePctBlocked,PtsUnassisted3s,Travels,SecondChanceTurnovers,BlockedLongMidRange,Defensive 3 Seconds Violations,OffCorner3ReboundPct,SecondChanceFtPoints,LongMidRangePctBlocked,Blocked3s,BlockedArc3,LostBallOutOfBoundsTurnovers,HeaveAttempts,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,OffensiveGoaltends,StepOutOfBoundsTurnovers,3SecondViolations,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,DefensiveGoaltends,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedCorner3,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,3pt And 1 Free Throw Trips,HeaveMakes,Clear Path Fouls,Corner3PctBlocked,team_id,year,season,team_vs
101121-101166-101181-200745-2050,1610612761,"Joey Graham, Uros Slokar, Jose Calderon, Andrea Bargnani, Morris Peterson","Graham, Slokar, Calderon, Bargnani, Peterson",101121-101166-101181-200745-2050,TOR,134.0,1,2.0,8.0,4.0,4.0,4.0,1.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,8.0,4.0,4.0,8.0,2.0,6.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,8.0,8.0,4.0,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,85.97014925373134,9.75,23.75,9.75,23.75,0.5,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.4586,0.4586,1.0,4.725,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2007,2006-07,True
101121-101166-101181-200782-2413,1610612761,"Joey Graham, Uros Slokar, Jose Calderon, PJ Tucker, Juan Dixon","Graham, Slokar, Calderon, Tucker, Dixon",101121-101166-101181-200782-2413,TOR,39.0,1,1.0,2.0,3.0,3.0,3.0,,6.0,1.0,1.0,1.0,1.0,,,1.0,1.0,4.0,1.0,1.0,4.0,2.0,,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,,4.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,221.53846153846152,6.0,7.0,6.0,7.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,0.5745,0.5745,1.0,2.3,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2007,2006-07,True
101121-101166-101181-200816-2050,1610612761,"Joey Graham, Uros Slokar, Jose Calderon, Jorge Garbajosa, Morris Peterson","Graham, Slokar, Calderon, Garbajosa, Peterson",101121-101166-101181-200816-2050,TOR,94.0,1,2.0,,3.0,3.0,3.0,,6.0,,,,,,,1.0,1.0,5.0,1.0,1.0,5.0,,2.0,,1.0,,3.0,,,,,,5.0,5.0,3.0,,,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,,,,,,,91.91489361702128,12.333333333333334,19.0,12.333333333333334,19.0,,,,,,,,,,0.6666666666666666,0.51975,0.51975,1.0,22.5,1.0,,5.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.6666666666666666,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,24.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2007,2006-07,True
101121-101166-101181-200816-2410,1610612761,"Joey Graham, Uros Slokar, Jose Calderon, Jorge Garbajosa, Fred Jones","Graham, Slokar, Calderon, Garbajosa, Jones",101121-101166-101181-200816-2410,TOR,52.0,1,1.0,,1.0,2.0,1.0,2.0,3.0,,,,,,,1.0,1.0,3.0,1.0,1.0,3.0,2.0,,1.0,1.0,,2.0,,,,,,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,,,,,,,83.07692307692308,17.0,17.5,17.0,17.5,,,,,,,,,,,0.4172,0.4172,1.0,16.6,1.0,1.0,3.0,1.0,,,,,,,1.0,,2.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2007,2006-07,True
101121-101166-101181-2050-2743,1610612761,"Joey Graham, Uros Slokar, Jose Calderon, Morris Peterson, Kris Humphries","Graham, Slokar, Calderon, Peterson, Humphries",101121-101166-101181-2050-2743,TOR,6.0,1,,,1.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,480.0,4.0,2.0,4.0,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,1.0,,,,46.4,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2007,2006-07,True
101121-101166-101181-2413-2547,1610612761,"Joey Graham, Uros Slokar, Jose Calderon, Juan Dixon, Chris Bosh","Graham, Slokar, Calderon, Dixon, Bosh",101121-101166-101181-2413-2547,TOR,,1,,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2007,2006-07,True
101121-101166-101181-2413-2743,1610612761,"Joey Graham, Uros Slokar, Jose Calderon, Juan Dixon, Kris Humphries","Graham, Slokar, Calderon, Dixon, Humphries",101121-101166-101181-2413-2743,TOR,137.0,2,2.0,-3.0,4.0,5.0,4.0,5.0,9.0,,,,,,1.0,,1.0,2.0,,1.0,2.0,,,,,,,1.0,,1.0,1.0,2.0,2.0,2.0,4.0,,,,,,,0.3333333333333333,0.3333333333333333,,1.0,0.5,,,1.0,94.59854014598541,19.75,11.6,19.75,11.6,,,,,0.5,,,,,0.5,0.3706,0.3706,1.0,13.9,1.0,2.0,5.0,2.0,,,,,,,1.0,,2.0,1.0,1.0,,,,,,,,1.0,1.0,,1.0,,1.0,,1.0,,,,,,,0.5,,,,,,,,0.5,,,0.5,24.9,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2007,2006-07,True
101121-101166-1515-239-2743,1610612761,"Joey Graham, Uros Slokar, Anthony Parker, Darrick Martin, Kris Humphries","Graham, Slokar, Parker, Martin, Humphries",101121-101166-1515-239-2743,TOR,29.0,1,,,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,99.3103448275862,5.0,24.0,5.0,24.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2007,2006-07,True
101121-101166-200782-239-2413,1610612761,"Joey Graham, Uros Slokar, PJ Tucker, Darrick Martin, Juan Dixon","Graham, Slokar, Tucker, Martin, Dixon",101121-101166-200782-239-2413,TOR,320.0,1,5.0,1.0,11.0,11.0,11.0,7.0,22.0,1.0,3.0,1.0,3.0,,,1.0,3.0,13.0,1.0,3.0,13.0,2.0,,1.0,4.0,1.0,11.0,,4.0,6.0,6.0,5.0,13.0,13.0,11.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.6875,0.6875,0.7222222222222222,0.7222222222222222,0.5714285714285714,,0.4,,0.5,,99.0,15.454545454545455,13.636363636363637,15.454545454545455,10.818181818181818,0.375,0.3333333333333333,1.0,1.0,,,,0.375,0.3333333333333333,1.0,0.607925,0.607925,1.0,1.1666666666666667,1.0,2.0,12.0,2.0,,,1.0,1.0,1.0,1.0,1.0,,2.0,,,1.0,,,1.0,3.0,1.0,3.0,2.0,2.0,3.0,5.0,3.0,5.0,9.0,2.0,3.0,1.0,1.0,0.6,0.6,0.6,0.625,,,,0.375,0.3333333333333333,0.3333333333333333,1.0,0.25,0.375,0.3333333333333333,0.25,23.98,,,2.0,1.0,,,2.0,2.0,2.0,2.0,2.0,5.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.1111111111111111,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2007,2006-07,True
101121-101166-200816-2413-2743,1610612761,"Joey Graham, Uros Slokar, Jorge Garbajosa, Juan Dixon, Kris Humphries","Graham, Slokar, Garbajosa, Dixon, Humphries",101121-101166-200816-2413-2743,TOR,15.0,1,,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,1.0,1.0,2.0,1.0,1.0,2.0,,2.0,,,,,,,,,,2.0,2.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,192.0,8.0,7.0,8.0,7.0,,,,,,,,,,,0.3667,0.3667,1.0,16.9,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2007,2006-07,True
