EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGA,FG2A,FG3A,OpponentPoints,PenaltyFG2A,NonHeaveArc3FGA,DeadBallTurnovers,Turnovers,FoulsDrawn,3SecondViolations,PenaltyOffPossExcludingTakeFouls,FG3APct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,LongMidRangeFrequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,FG2M,Points,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Fouls,Loose Ball Fouls,FirstChancePoints,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,LiveBallTurnoverPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFGM,Arc3FGM,FG3M,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,DefThreePtRebounds,DefRebounds,Rebounds,Travels,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PenaltyTurnovers,PenaltyPointsExcludingTakeFouls,PenaltyFg3Pct,PenaltyEfgPct,PenaltyTsPct,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyPointsPct,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFtPoints,PtsPutbacks,OffTwoPtRebounds,DefTwoPtRebounds,OffRebounds,FTA,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,ShortMidRangeFGM,Corner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,ShortMidRangeAssists,OffThreePtRebounds,ShootingFouls,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,SecondChanceFg3Pct,OffThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Offensive Fouls,FTDefRebounds,SelfOReb,LostBallTurnovers,DefFTReboundPct,DefLongMidRangeReboundPct,SelfORebPct,Fg2aBlocked,LongMidRangeAssists,Technical Free Throw Trips,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctAssisted,Corner3FGM,PenaltyCorner3FGM,PtsUnassisted3s,Corner3Assists,BadPassSteals,Loose Ball Fouls Drawn,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,BadPassOutOfBoundsTurnovers,Offensive Fouls Drawn,BlockedShortMidRange,SecondChanceTurnovers,StepOutOfBoundsTurnovers,LongMidRangePctBlocked,HeaveAttempts,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,LostBallOutOfBoundsTurnovers,BlockedLongMidRange,SecondChanceAtRimPctAssisted,Fg3aBlocked,Defensive 3 Seconds Violations,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,DefensiveGoaltends,HeaveMakes,FTOffRebounds,OffFTReboundPct,Corner3PctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Blocked3s,BlockedArc3,Clear Path Fouls,OffensiveGoaltends,3pt And 1 Free Throw Trips,BlockedCorner3,team_id,year,season,team_vs
101121-101166-101181-200745-2050,1610612761,"Joey Graham, Uros Slokar, Jose Calderon, Andrea Bargnani, Morris Peterson","Graham, Slokar, Calderon, Bargnani, Peterson",101121-101166-101181-200745-2050,TOR,134.0,1,2.0,-8.0,4.0,4.0,1.0,4.0,8.0,1.0,1.0,1.0,2.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,85.97014925373134,23.75,9.75,23.75,9.75,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3312,0.2329,12.6,26.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2007,2006-07,False
101121-101166-101181-200782-2413,1610612761,"Joey Graham, Uros Slokar, Jose Calderon, PJ Tucker, Juan Dixon","Graham, Slokar, Calderon, Tucker, Dixon",101121-101166-101181-200782-2413,TOR,39.0,1,1.0,-2.0,3.0,3.0,,3.0,6.0,,1.0,,2.0,,4.0,,,,1.0,,,,,221.53846153846152,7.0,6.0,7.0,6.0,,0.5,,0.5,0.6336,,10.65,,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2007,2006-07,False
101121-101166-101181-200816-2050,1610612761,"Joey Graham, Uros Slokar, Jose Calderon, Jorge Garbajosa, Morris Peterson","Graham, Slokar, Calderon, Garbajosa, Peterson",101121-101166-101181-200816-2050,TOR,94.0,1,2.0,,3.0,3.0,,3.0,6.0,,1.0,1.0,1.0,1.0,5.0,,1.0,1.0,1.0,,,,0.5,91.91489361702128,19.0,12.333333333333334,19.0,12.333333333333334,,0.5,0.5,0.5,0.475525,,17.0,24.5,,,,1.0,5.0,,,1.0,,3.0,,,,,,,5.0,,,,1.0,1.25,1.25,,,,,,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2007,2006-07,False
101121-101166-101181-200816-2410,1610612761,"Joey Graham, Uros Slokar, Jose Calderon, Jorge Garbajosa, Fred Jones","Graham, Slokar, Calderon, Garbajosa, Jones",101121-101166-101181-200816-2410,TOR,52.0,1,1.0,,2.0,1.0,2.0,1.0,3.0,,,1.0,,1.0,3.0,,1.0,1.0,1.0,,1.0,2.0,1.0,83.07692307692308,17.5,17.0,17.5,17.0,,,1.0,1.0,0.5691,0.5691,,25.2,1.0,,,,3.0,,,1.0,,3.0,,,,,1.0,,3.0,1.0,,,,1.5,1.5,,,,,,,1.0,1.0,,3.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.5,1.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2007,2006-07,False
101121-101166-101181-2050-2743,1610612761,"Joey Graham, Uros Slokar, Jose Calderon, Morris Peterson, Kris Humphries","Graham, Slokar, Calderon, Peterson, Humphries",101121-101166-101181-2050-2743,TOR,6.0,1,,,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,1.0,,480.0,2.0,4.0,2.0,4.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2007,2006-07,False
101121-101166-101181-2413-2547,1610612761,"Joey Graham, Uros Slokar, Jose Calderon, Juan Dixon, Chris Bosh","Graham, Slokar, Calderon, Dixon, Bosh",101121-101166-101181-2413-2547,TOR,,1,,-1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2007,2006-07,False
101121-101166-101181-2413-2743,1610612761,"Joey Graham, Uros Slokar, Jose Calderon, Juan Dixon, Kris Humphries","Graham, Slokar, Calderon, Dixon, Humphries",101121-101166-101181-2413-2743,TOR,137.0,2,2.0,3.0,5.0,4.0,5.0,4.0,9.0,1.0,,1.0,2.0,1.0,2.0,2.0,1.0,,,2.0,,5.0,0.3333333333333333,94.59854014598541,11.6,19.75,11.6,19.75,0.3333333333333333,,0.3333333333333333,0.6666666666666666,0.44963333333333333,0.44963333333333333,6.85,25.6,1.0,1.0,1.0,1.0,5.0,,,,,,,,,,1.0,,3.0,1.0,,,0.5,0.3333333333333333,0.5,,0.3333333333333333,1.0,1.0,,,,,2.0,,,,,1.0,2.0,3.0,,,,,1.0,1.0,1.0,,,,,,,,1.0,,1.0,5.0,,5.0,,0.3333333333333333,0.5,0.3333333333333333,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.6089,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2007,2006-07,False
101121-101166-1515-239-2743,1610612761,"Joey Graham, Uros Slokar, Anthony Parker, Darrick Martin, Kris Humphries","Graham, Slokar, Parker, Martin, Humphries",101121-101166-1515-239-2743,TOR,29.0,1,,,1.0,1.0,,1.0,2.0,,,,1.0,,,,,1.0,1.0,,,,,99.3103448275862,24.0,5.0,24.0,5.0,,,,1.0,0.4096,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2007,2006-07,False
101121-101166-200782-239-2413,1610612761,"Joey Graham, Uros Slokar, PJ Tucker, Darrick Martin, Juan Dixon","Graham, Slokar, Tucker, Martin, Dixon",101121-101166-200782-239-2413,TOR,320.0,1,5.0,-1.0,11.0,11.0,7.0,11.0,22.0,1.0,4.0,2.0,9.0,4.0,13.0,5.0,2.0,,,5.0,,7.0,0.3076923076923077,99.0,13.636363636363637,15.454545454545455,10.818181818181818,15.454545454545455,0.07692307692307693,0.3076923076923077,0.15384615384615385,0.6153846153846154,0.5517384615384615,0.59629375,9.3,24.225,0.6363636363636364,1.0,4.0,2.0,12.0,2.0,1.0,2.0,,5.0,1.0,1.0,,,1.0,,4.0,,0.5,0.5,0.2222222222222222,0.2692307692307692,0.35294117647058826,,0.3076923076923077,0.25,0.25,,,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,4.0,10.0,,1.0,0.25,0.25,1.0,1.0,,,,0.5,0.5,1.0,0.5,1.0,2.0,1.0,3.0,9.0,,9.0,0.3333333333333333,0.3125,0.4090909090909091,0.25,0.5,0.75,5.0,1.0,1.0,1.0,3.0,5.0,1.0,4.0,8.0,1.0,4.0,,3.0,2.0,6.0,9.0,,,0.25,0.2,0.5,0.6666666666666666,1.0,0.42857142857142855,0.6,,,0.2,1.0,0.375,0.3333333333333333,0.5997833333333333,0.6666666666666666,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,5.0,2.0,2.0,2.0,2.0,1.0,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15384615384615385,0.2,1.0,1.0,0.125,0.29411764705882354,0.38461538461538464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2007,2006-07,False
101121-101166-200816-2413-2743,1610612761,"Joey Graham, Uros Slokar, Jorge Garbajosa, Juan Dixon, Kris Humphries","Graham, Slokar, Garbajosa, Dixon, Humphries",101121-101166-200816-2413-2743,TOR,15.0,1,,-2.0,1.0,1.0,1.0,1.0,2.0,,,,,,2.0,,,,,,,1.0,,192.0,7.0,8.0,7.0,8.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2007,2006-07,False
