EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2A,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,DeadBallTurnovers,Travels,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Arc3FGM,PtsUnassisted3s,NonHeaveArc3FGM,DefThreePtRebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallTurnovers,Loose Ball Fouls Drawn,LiveBallTurnoverPct,DefThreePtReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,NonHeaveArc3Accuracy,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,Arc3Assists,SecondChanceTurnovers,PenaltyTurnovers,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,BlockedShortMidRange,PenaltyPointsExcludingTakeFouls,PenaltyFg3Pct,PenaltyEfgPct,PenaltyTsPct,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyPointsPct,SecondChanceAtRimFGA,PenaltyAtRimFGA,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,Fg2aBlocked,StepOutOfBoundsTurnovers,Technical Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,OffAtRimReboundPct,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,SecondChancePointsPct,SecondChanceFG2M,SecondChanceFg2Pct,SecondChanceEfgPct,PenaltyAtRimFGM,PenaltyAtRimAccuracy,OffThreePtRebounds,OffThreePtReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,SecondChanceAtRimFGM,PtsPutbacks,LostBallOutOfBoundsTurnovers,Offensive Fouls,NonShootingPenaltyNonTakeFouls,SecondChanceAtRimAccuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,SelfOReb,SecondChanceFg3Pct,ShortMidRangePctBlocked,SelfORebPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3FGA,SecondChanceArc3Frequency,SecondChanceArc3FGM,HeaveAttempts,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedCorner3,BlockedLongMidRange,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,OffArc3ReboundPct,SecondChanceAtRimPctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,FTOffRebounds,OffFTReboundPct,3pt And 1 Free Throw Trips,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,team_id,year,season,team_vs
1112-136-1559-2550-2732,1610612741,"Ben Wallace, P.J. Brown, Adrian Griffin, Kirk Hinrich, Ben Gordon","Wallace, Brown, Griffin, Hinrich, Gordon",1112-136-1559-2550-2732,CHI,444.0,5,7.0,9.0,12.0,11.0,1.0,8.0,1.0,23.0,1.0,1.0,2.0,2.0,1.0,5.0,1.0,1.0,2.0,4.0,8.0,1.0,3.0,3.0,14.0,5.0,1.0,1.0,6.0,2.0,3.0,2.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,9.0,1.0,3.0,1.0,4.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,14.0,1.0,0.75,0.75,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5384615384615384,0.2727272727272727,1.0,0.6,0.25,0.6,0.16666666666666666,0.25,1.0,0.5,74.5945945945946,1.0,19.916666666666668,18.636363636363637,18.416666666666668,17.90909090909091,0.09090909090909091,1.0,1.0,1.0,0.18181818181818182,1.0,1.0,0.5,0.45454545454545453,0.2,0.2,1.0,0.09090909090909091,1.0,1.0,1.0,0.18181818181818182,0.36363636363636365,0.4491090909090909,0.3652,0.3645,0.15384615384615385,0.2,15.025,24.833333333333332,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2007,2006-07,True
1112-136-1559-2550-2768,1610612741,"Ben Wallace, P.J. Brown, Adrian Griffin, Kirk Hinrich, Chris Duhon","Wallace, Brown, Griffin, Hinrich, Duhon",1112-136-1559-2550-2768,CHI,364.0,4,6.0,-3.0,12.0,11.0,,,,23.0,,,1.0,3.0,2.0,3.0,,,3.0,3.0,6.0,1.0,3.0,,9.0,12.0,,,4.0,2.0,,3.0,2.0,,2.0,,,,2.0,4.0,1.0,1.0,,2.0,1.0,3.0,1.0,1.0,,3.0,,5.0,1.0,2.0,1.0,2.0,,,,,,,9.0,,0.6666666666666666,0.6666666666666666,,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.3333333333333333,,1.0,0.3333333333333333,0.6666666666666666,0.25,,,,90.98901098901099,,16.0,15.636363636363637,16.0,14.181818181818182,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,,,,,0.3333333333333333,0.3333333333333333,0.4232666666666667,,,,,15.766666666666666,27.633333333333336,,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.4,0.5,0.5,1.0,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2007,2006-07,True
1112-136-1559-2732-2736,1610612741,"Ben Wallace, P.J. Brown, Adrian Griffin, Ben Gordon, Luol Deng","Wallace, Brown, Griffin, Gordon, Deng",1112-136-1559-2732-2736,CHI,214.0,2,4.0,-3.0,6.0,7.0,,,,13.0,2.0,3.0,1.0,1.0,,,,1.0,,3.0,4.0,,1.0,,6.0,9.0,,,4.0,2.0,,,2.0,,2.0,,2.0,,,4.0,,1.0,1.0,2.0,,2.0,,,,,,,,1.0,,1.0,,,,,,,6.0,,0.6666666666666666,0.6666666666666666,,,,0.75,0.6,0.6,0.2,1.0,0.5,,0.5,,,,1.0,87.47663551401868,,19.5,13.857142857142858,19.5,13.142857142857142,0.6,0.6666666666666666,0.6666666666666666,1.0,0.2,1.0,1.0,,,,,,0.2,,,,,0.8,0.55718,,,,,1.325,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2007,2006-07,True
1112-136-1559-2732-2768,1610612741,"Ben Wallace, P.J. Brown, Adrian Griffin, Ben Gordon, Chris Duhon","Wallace, Brown, Griffin, Gordon, Duhon",1112-136-1559-2732-2768,CHI,603.0,4,10.0,-3.0,18.0,17.0,8.0,6.0,1.0,35.0,1.0,1.0,,,1.0,6.0,1.0,2.0,3.0,2.0,7.0,2.0,5.0,2.0,12.0,15.0,,3.0,2.0,2.0,6.0,3.0,1.0,2.0,3.0,1.0,1.0,,,8.0,1.0,4.0,1.0,5.0,1.0,6.0,1.0,1.0,,5.0,3.0,6.0,2.0,3.0,,6.0,3.0,2.0,2.0,1.0,2.0,,12.0,8.0,0.5,0.5,1.0,0.4,0.4,0.2857142857142857,0.4166666666666667,0.46153846153846156,0.4166666666666667,1.0,0.5714285714285714,0.2,0.5714285714285714,0.125,0.2,0.3333333333333333,0.75,83.5820895522388,,17.666666666666668,16.764705882352942,16.77777777777778,15.235294117647058,0.08333333333333333,1.0,1.0,1.0,,,,,0.5,0.16666666666666666,0.16666666666666666,,0.16666666666666666,0.5,0.5,1.0,0.25,0.5,0.4510625,,0.41132,0.15384615384615385,0.25,15.342857142857143,24.46,0.4444444444444444,1.0,,1.0,,1.0,1.0,1.0,,,0.16666666666666666,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,2.0,2.0,2.0,8.0,1.0,1.0,3.0,1.0,1.0,1.0,8.0,1.0,0.6,0.6666666666666666,1.0,0.2,1.0,0.2,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2007,2006-07,True
1112-136-1559-2736-2768,1610612741,"Ben Wallace, P.J. Brown, Adrian Griffin, Luol Deng, Chris Duhon","Wallace, Brown, Griffin, Deng, Duhon",1112-136-1559-2736-2768,CHI,256.0,2,4.0,,8.0,9.0,3.0,4.0,1.0,17.0,,3.0,,,1.0,3.0,1.0,2.0,,1.0,6.0,1.0,2.0,5.0,10.0,10.0,1.0,2.0,,2.0,3.0,,,1.0,1.0,1.0,,,,3.0,3.0,4.0,,4.0,3.0,7.0,1.0,1.0,,1.0,,2.0,2.0,2.0,,3.0,7.0,2.0,1.0,1.0,1.0,1.0,7.0,3.0,,,1.0,0.5,0.5,0.16666666666666666,0.3125,0.4090909090909091,0.25,,0.8,0.6,0.8,0.5,0.5,1.0,0.6666666666666666,95.625,1.0,13.75,16.22222222222222,13.5,14.333333333333334,0.375,,,,,,,,0.375,0.3333333333333333,1.0,,0.25,0.5,0.5,1.0,,0.625,0.54283125,0.5442,0.57175,0.2,0.25,9.049999999999999,22.9,0.375,,,,,1.0,,1.0,,,0.5,,,1.0,,,,,,,,,,,2.0,4.0,,,1.0,,,,4.0,,0.5,0.6666666666666666,,,,,,0.4,1.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2007,2006-07,True
1112-136-200748-200757-2732,1610612741,"Ben Wallace, P.J. Brown, Tyrus Thomas, Thabo Sefolosha, Ben Gordon","Wallace, Brown, Thomas, Sefolosha, Gordon",1112-136-200748-200757-2732,CHI,34.0,1,1.0,,1.0,1.0,,1.0,,2.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,84.70588235294117,,23.0,11.0,23.0,,,,,,1.0,,,,,,,,,,,,,,0.3415,,,,,13.5,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2007,2006-07,True
1112-136-200748-2550-2732,1610612741,"Ben Wallace, P.J. Brown, Tyrus Thomas, Kirk Hinrich, Ben Gordon","Wallace, Brown, Thomas, Hinrich, Gordon",1112-136-200748-2550-2732,CHI,106.0,2,2.0,5.0,4.0,3.0,,3.0,1.0,7.0,1.0,1.0,,1.0,1.0,1.0,,,,2.0,3.0,,,3.0,7.0,2.0,1.0,,4.0,,,,2.0,,2.0,,1.0,,1.0,4.0,,1.0,,1.0,,1.0,,,,,,,,,,3.0,3.0,2.0,,,,,4.0,,1.0,1.0,,,,0.6666666666666666,0.6666666666666666,0.875,,,1.0,,1.0,,,,,95.09433962264151,,17.5,12.0,13.75,12.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,,,,0.3333333333333333,1.0,1.0,1.0,,,,,,0.3333333333333333,0.4726666666666666,,,0.5,0.5,9.666666666666666,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,3.0,,,,,,,,1.5,,,,,,,0.42857142857142855,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2007,2006-07,True
1112-136-200748-2550-2768,1610612741,"Ben Wallace, P.J. Brown, Tyrus Thomas, Kirk Hinrich, Chris Duhon","Wallace, Brown, Thomas, Hinrich, Duhon",1112-136-200748-2550-2768,CHI,31.0,1,1.0,,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,92.9032258064516,,3.0,28.0,3.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2007,2006-07,True
1112-136-200757-2550-2732,1610612741,"Ben Wallace, P.J. Brown, Thabo Sefolosha, Kirk Hinrich, Ben Gordon","Wallace, Brown, Sefolosha, Hinrich, Gordon",1112-136-200757-2550-2732,CHI,86.0,1,1.0,1.0,3.0,2.0,3.0,,,5.0,1.0,2.0,,,,,,,,1.0,2.0,,,1.0,3.0,2.0,,2.0,2.0,,,,1.0,,1.0,,1.0,,,2.0,,,,,,,1.0,1.0,,,,1.0,,,,1.0,1.0,1.0,,,,,3.0,3.0,1.0,1.0,,,,0.5,0.5,0.75,,,,,,,,,,83.72093023255813,,15.666666666666666,19.5,15.666666666666666,18.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,1.0,0.60585,,0.60585,0.5,0.5,1.45,,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,1.0,3.0,,,1.0,,1.0,,3.0,,0.5,0.75,,,,,,1.0,,2.0,,,1.0,,,,,,0.5,,,,,,,1.0,,,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2007,2006-07,True
1112-136-200757-2550-2736,1610612741,"Ben Wallace, P.J. Brown, Thabo Sefolosha, Kirk Hinrich, Luol Deng","Wallace, Brown, Sefolosha, Hinrich, Deng",1112-136-200757-2550-2736,CHI,216.0,1,4.0,-6.0,6.0,5.0,,,,11.0,,,,2.0,,2.0,1.0,1.0,,,4.0,1.0,1.0,1.0,4.0,10.0,,,,,3.0,,,1.0,1.0,1.0,,,,3.0,,,,,,,,,,,,,,2.0,,2.0,2.0,1.0,,,,,4.0,,,,1.0,1.0,1.0,,0.3,0.3333333333333333,0.2,,,,,,,,,73.33333333333333,,19.666666666666668,19.6,19.666666666666668,19.6,,,,,0.4,,,,0.4,,,,0.2,1.0,1.0,1.0,,0.2,0.40930999999999995,,,0.16666666666666666,0.2,13.575,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2007,2006-07,True
