EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,Corner3FGA,Arc3FGA,FG3A,OpponentPoints,NonHeaveArc3FGA,Fg3aBlocked,DefThreePtRebounds,DefRebounds,Rebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,FG3APct,FG3APctBlocked,Corner3PctBlocked,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Corner3Frequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg3ptShotDistance,PenaltyDefPoss,PenaltyOffPoss,SecondChanceOffPoss,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,PenaltyArc3FGA,FG2M,FG2A,FtPoints,Points,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,OffThreePtRebounds,DefTwoPtRebounds,OffRebounds,PenaltyTurnovers,Fouls,Offensive Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,DefTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,FG3M,SecondChanceFG2A,PenaltyFG3M,PtsUnassisted3s,Fg2aBlocked,OffTwoPtRebounds,Steals,BadPassSteals,ShootingFouls,BlockedShortMidRange,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Corner3Accuracy,UnblockedCorner3Accuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceShotQualityAvg,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Arc3FGM,SecondChanceFG2M,PtsAssisted2s,NonHeaveArc3FGM,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,SecondChanceEfgPct,OffShortMidRangeReboundPct,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,NonHeaveArc3Accuracy,PtsAssisted3s,PtsPutbacks,ThreePtAssists,Arc3Assists,Corner3Assists,SelfOReb,LiveBallTurnovers,BadPassTurnovers,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,Assisted3sPct,LiveBallTurnoverPct,OffLongMidRangeReboundPct,SelfORebPct,Corner3PctAssisted,Arc3PctAssisted,LostBallTurnovers,Offensive Fouls Drawn,ShortMidRangeFGM,AtRimAssists,ShortMidRangeAssists,Travels,SecondChanceTurnovers,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,FTDefRebounds,3SecondViolations,DefFTReboundPct,LostBallSteals,DefCorner3ReboundPct,2pt And 1 Free Throw Trips,HeaveAttempts,Loose Ball Fouls,OffCorner3ReboundPct,FTOffRebounds,OffFTReboundPct,StepOutOfBoundsTurnovers,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Loose Ball Fouls Drawn,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3FGM,Technical Free Throw Trips,PenaltyArc3Accuracy,SecondChanceAtRimPctAssisted,DefensiveGoaltends,LostBallOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,BlockedLongMidRange,ThreePtShootingFoulsDrawnPct,team_id,year,season,team_vs
101115-101142-1742-1885-977,1610612747,"Andrew Bynum, Ronny Turiaf, Shammond Williams, Lamar Odom, Kobe Bryant","Bynum, Turiaf, Williams, Odom, Bryant",101115-101142-1742-1885-977,LAL,103.0,1,2.0,-4.0,3.0,4.0,7,1.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.6666666666666666,1.0,97.86407766990291,19.333333333333332,11.25,19.333333333333332,8.75,0.5,0.5,1.0,0.556275,24.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2007,2006-07,False
101115-101142-200770-2756-977,1610612747,"Andrew Bynum, Ronny Turiaf, Jordan Farmar, Sasha Vujacic, Kobe Bryant","Bynum, Turiaf, Farmar, Vujacic, Bryant",101115-101142-200770-2756-977,LAL,24.0,1,,,1.0,1.0,2,,1.0,1.0,,1.0,,,,,,,,1.0,,,,,,120.0,14.0,10.0,14.0,10.0,,1.0,1.0,0.3975,26.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2007,2006-07,False
101115-1742-1885-2230-2756,1610612747,"Andrew Bynum, Shammond Williams, Lamar Odom, Maurice Evans, Sasha Vujacic","Bynum, Williams, Odom, Evans, Vujacic",101115-1742-1885-2230-2756,LAL,153.0,1,3.0,3.0,6.0,6.0,12,,3.0,3.0,,3.0,,1.0,5.0,6.0,,1.0,1.0,0.6,,,0.5,0.8333333333333334,1.0,112.94117647058825,10.0,15.5,10.0,14.333333333333334,,0.6,0.6,0.50237,25.366666666666664,,6.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,6.0,0.5,0.5,0.2,0.2,0.25,0.5,0.25,1.0,0.3333333333333333,0.25,0.3333333333333333,1.0,1.0,1.0,0.2,0.2,1.0,1.0,0.6,0.50237,0.16666666666666666,0.3333333333333333,0.3333333333333333,1.0,12.95,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2007,2006-07,False
101115-1742-1885-2230-977,1610612747,"Andrew Bynum, Shammond Williams, Lamar Odom, Maurice Evans, Kobe Bryant","Bynum, Williams, Odom, Evans, Bryant",101115-1742-1885-2230-977,LAL,353.0,3,6.0,-2.0,11.0,11.0,22,1.0,1.0,2.0,13.0,1.0,,,3.0,4.0,,,,0.18181818181818182,,,,0.5,,89.74504249291785,15.909090909090908,16.181818181818183,15.454545454545455,16.09090909090909,0.09090909090909091,0.09090909090909091,0.45454545454545453,0.45187727272727274,24.0,6.0,7.0,1.0,3.0,2.0,3.0,1.0,4.0,9.0,,11.0,,,2.0,4.0,2.0,,7.0,8.0,,3.0,1.0,,1.0,,1.0,2.0,1.0,3.0,2.0,3.0,1.0,11.0,7.0,7.0,0.4444444444444444,0.5,0.5,0.5833333333333334,0.4583333333333333,,0.5,0.5,,0.16666666666666666,,,0.5,0.3333333333333333,0.2727272727272727,0.2727272727272727,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.479675,0.08333333333333333,0.1,,0.6363636363636364,9.422222222222222,0.6363636363636364,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.2,1.0,1.0,0.2727272727272727,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,1.0,0.16666666666666666,1.0,0.3692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2007,2006-07,False
101115-1742-1885-2567-977,1610612747,"Andrew Bynum, Shammond Williams, Lamar Odom, Brian Cook, Kobe Bryant","Bynum, Williams, Odom, Cook, Bryant",101115-1742-1885-2567-977,LAL,194.0,1,3.0,3.0,6.0,6.0,12,,2.0,2.0,8.0,2.0,,1.0,3.0,5.0,,,,0.3333333333333333,,,1.0,1.0,1.0,89.0721649484536,17.5,14.833333333333334,15.5,14.833333333333334,,0.3333333333333333,0.5,0.4603333333333333,26.05,,,2.0,2.0,1.0,1.0,,2.0,4.0,4.0,11.0,2.0,4.0,,,,,,2.0,1.0,2.0,2.0,,1.0,,2.0,4.0,2.0,,,,,7.0,,,0.5,,0.5833333333333334,,0.6875,1.0,,1.0,1.0,0.6666666666666666,1.0,1.0,,,0.3333333333333333,0.16666666666666666,1.0,1.0,,,0.25,0.3333333333333333,0.36363636363636365,,9.85,,1.0,1.0,,,,,,1.0,1.0,,3.0,,1.0,,,,,0.5,,0.5,,,,0.5,,1.0,0.16666666666666666,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2007,2006-07,False
101115-1742-2230-2567-2756,1610612747,"Andrew Bynum, Shammond Williams, Maurice Evans, Brian Cook, Sasha Vujacic","Bynum, Williams, Evans, Cook, Vujacic",101115-1742-2230-2567-2756,LAL,355.0,1,6.0,-3.0,12.0,12.0,24,2.0,1.0,3.0,17.0,1.0,,2.0,4.0,7.0,,,1.0,0.21428571428571427,,,1.0,1.0,1.0,97.35211267605634,17.666666666666668,11.916666666666666,16.083333333333332,11.916666666666666,0.14285714285714285,0.07142857142857142,0.5,0.4678714285714286,24.099999999999998,5.0,,2.0,1.0,2.0,6.0,,4.0,11.0,,14.0,,2.0,,,,,,8.0,,2.0,3.0,,4.0,,,,,,,,,12.0,,,0.36363636363636365,,0.5,,0.5,0.3333333333333333,,1.0,,0.375,,,1.0,,0.07142857142857142,0.42857142857142855,0.3333333333333333,0.3333333333333333,,,,,0.14285714285714285,,10.054545454545455,,2.0,4.0,,,1.0,,,2.0,3.0,,,,3.0,,,1.0,,0.6666666666666666,,0.6666666666666666,,,,0.42857142857142855,0.5,,0.2857142857142857,0.5,0.5,0.5,0.5,,,,,0.48733333333333334,1.0,2.0,1.0,1.0,,1.0,,2.0,,6.0,,,0.3333333333333333,0.3333333333333333,,,1.0,1.0,0.6666666666666666,0.5,1.0,6.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.125,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2007,2006-07,False
101115-1742-2230-2567-977,1610612747,"Andrew Bynum, Shammond Williams, Maurice Evans, Brian Cook, Kobe Bryant","Bynum, Williams, Evans, Cook, Bryant",101115-1742-2230-2567-977,LAL,130.0,1,2.0,6.0,5.0,5.0,10,1.0,1.0,2.0,2.0,1.0,,2.0,2.0,2.0,,,1.0,0.6666666666666666,,,1.0,1.0,1.0,110.76923076923077,14.0,12.0,14.0,12.0,0.3333333333333333,0.3333333333333333,1.0,0.5523166666666667,25.15,,,,,,,,,1.0,2.0,8.0,,,,,,,,,,,,,,,2.0,2.0,1.0,,,,,8.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,0.25,0.5,,,,,,1.0,,,1.0,,,2.0,,,,,,,,,,1.0,,1.0,,,,,,,0.3333333333333333,,,1.0,1.0,,,,,,,,1.0,,,1.0,,2.0,,6.0,,,,,,,1.0,1.0,,,1.0,6.0,,2.0,1.0,1.0,,1.0,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2007,2006-07,False
101115-1885-200770-2230-977,1610612747,"Andrew Bynum, Lamar Odom, Jordan Farmar, Maurice Evans, Kobe Bryant","Bynum, Odom, Farmar, Evans, Bryant",101115-1885-200770-2230-977,LAL,361.0,3,6.0,-3.0,11.0,11.0,22,,1.0,1.0,15.0,1.0,,,3.0,8.0,,2.0,3.0,0.08333333333333333,,,,1.0,,87.75623268698061,20.90909090909091,11.909090909090908,17.363636363636363,11.909090909090908,,0.08333333333333333,0.5833333333333334,0.5090291666666666,25.8,2.0,11.0,4.0,4.0,,1.0,1.0,5.0,11.0,2.0,12.0,,4.0,5.0,11.0,1.0,2.0,12.0,6.0,1.0,3.0,5.0,3.0,3.0,1.0,1.0,2.0,1.0,,,,,8.0,12.0,11.0,0.45454545454545453,0.45454545454545453,0.4166666666666667,0.4166666666666667,0.46153846153846156,0.5,0.46153846153846156,1.0,1.0,0.7142857142857143,1.0,,1.0,,0.3333333333333333,0.08333333333333333,,,0.08333333333333333,0.5090291666666666,0.07692307692307693,0.08333333333333333,0.3333333333333333,1.0,4.363636363636363,1.0,4.0,6.0,4.0,6.0,,,,,4.0,,,,4.0,1.0,1.0,1.0,,,,,,,,0.6666666666666666,1.0,,0.5,0.6666666666666666,0.6666666666666666,,,0.5,0.6666666666666666,,,0.521225,2.0,3.0,,2.0,4.0,,2.0,2.0,,4.0,0.4,0.5,0.5,0.5,0.6666666666666666,,,,0.75,0.6666666666666666,,,2.0,,,,1.0,1.0,1.0,,,,0.3333333333333333,,0.14285714285714285,,,,,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2007,2006-07,False
101115-1885-200770-2575-977,1610612747,"Andrew Bynum, Lamar Odom, Jordan Farmar, Luke Walton, Kobe Bryant","Bynum, Odom, Farmar, Walton, Bryant",101115-1885-200770-2575-977,LAL,176.0,1,3.0,1.0,6.0,5.0,11,,,,6.0,,,,1.0,2.0,,,,,,,,1.0,,90.0,20.0,11.2,13.333333333333334,11.2,,,0.6,0.49446,,,6.0,1.0,1.0,,1.0,,2.0,5.0,3.0,7.0,,2.0,2.0,5.0,,3.0,7.0,4.0,,1.0,1.0,,,,2.0,4.0,1.0,,,,,5.0,7.0,6.0,0.4,0.4,0.4,0.4,0.5,0.5,0.5,1.0,,0.3333333333333333,,1.0,,,0.2,0.2,,,,0.49446,0.16666666666666666,0.16666666666666666,0.2857142857142857,1.0,4.42,1.0,2.0,3.0,2.0,3.0,,,,,2.0,,,,1.0,1.0,1.0,,,,,,,,,0.3333333333333333,,,0.6,0.6666666666666666,0.6666666666666666,,,0.6,0.6666666666666666,,,0.4567,1.0,1.0,,1.0,,,,,,,,,0.5,0.5,,,,,0.5,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2007,2006-07,False
101115-1885-2230-2470-2756,1610612747,"Andrew Bynum, Lamar Odom, Maurice Evans, Smush Parker, Sasha Vujacic","Bynum, Odom, Evans, Parker, Vujacic",101115-1885-2230-2470-2756,LAL,138.0,1,2.0,4.0,5.0,4.0,9,,,,2.0,,,1.0,4.0,4.0,,1.0,1.0,,,,1.0,1.0,1.0,93.91304347826087,15.6,15.0,15.6,15.0,,,0.5,0.47995,,,,,1.0,,1.0,,3.0,4.0,,6.0,,,,,,,,4.0,,2.0,,,2.0,,,,,,,,,6.0,,,0.75,,0.75,,0.75,,,1.0,,,,,1.0,,0.25,0.25,,,,,,,,,6.825,,2.0,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,0.5,1.0,1.0,,,,,,,,,,,,2.0,,1.0,1.0,,2.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,0.5,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2007,2006-07,False
