EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,Points,OpponentPoints,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGA,FG2A,SecondChanceFG2A,PenaltyFG2A,Fg2aBlocked,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,AtRimFrequency,ShortMidRangeFrequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,SecondChanceShotQualityAvg,Avg2ptShotDistance,PlusMinus,PtsAssisted3s,ThreePtAssists,Assists,Arc3Assists,AssistPoints,FTDefRebounds,Assisted3sPct,DefFTReboundPct,Arc3PctAssisted,ShootingFouls,Fouls,AtRimFGM,SecondChanceAtRimFGM,ShortMidRangeFGM,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,FG2M,FtPoints,SecondChanceFG2M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PtsUnassisted2s,PtsPutbacks,DefThreePtRebounds,Steals,BadPassSteals,FoulsDrawn,Offensive Fouls Drawn,FTA,ThreePtShootingFoulsDrawn,Fg2Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefThreePtReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Corner3Frequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,ShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,DefArc3ReboundPct,HeaveAttempts,DefShortMidRangeReboundPct,PenaltyFtPoints,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,LongMidRangePctBlocked,TwoPtShootingFoulsDrawnPct,PenaltyAtRimFGM,LongMidRangeFGM,PenaltyFG2M,PtsAssisted2s,TwoPtAssists,AtRimAssists,LongMidRangeAssists,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,SecondChanceTurnovers,Blocked2s,BlockedShortMidRange,Blocks,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg2Pct,OffLongMidRangeReboundPct,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimPctAssisted,PenaltyAtRimAccuracy,ShortMidRangeAssists,OffThreePtRebounds,Travels,Loose Ball Fouls,Offensive Fouls,Technical Free Throw Trips,BlockedAtRim,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,StepOutOfBoundsTurnovers,SecondChanceArc3FGA,Loose Ball Fouls Drawn,SecondChanceArc3Frequency,PenaltyCorner3FGA,PenaltyCorner3Frequency,LostBallSteals,Blocked3s,BlockedCorner3,3SecondViolations,LostBallOutOfBoundsTurnovers,ShortMidRangePctBlocked,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,BlockedLongMidRange,Defensive 3 Seconds Violations,SecondChanceCorner3FGM,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,DefensiveGoaltends,OffensiveGoaltends,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,FTOffRebounds,OffFTReboundPct,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,team_id,year,season,team_vs
1513-1800-1956-200789-2562,1610612739,"Scot Pollard, Damon Jones, Ira Newble, Daniel Gibson, Sasha Pavlovic","Pollard, Jones, Newble, Gibson, Pavlovic",1513-1800-1956-200789-2562,CLE,66.0,1,1.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.5,1.5,1.5,1.5,1.0,1.0,87.27272727272727,13.0,20.0,13.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.49815,0.49815,1.0,24.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2007,2006-07,False
1513-1800-1956-2562-2760,1610612739,"Scot Pollard, Damon Jones, Ira Newble, Sasha Pavlovic, Anderson Varejao","Pollard, Jones, Newble, Pavlovic, Varejao",1513-1800-1956-2562-2760,CLE,54.0,1,1.0,2.0,1.0,2.0,,3.0,,1.0,,1.0,,1.0,,,,1.0,,,1.0,,,,,,,,2.0,,,,,,,,0.3333333333333333,,80.0,14.5,25.0,13.5,25.0,0.3333333333333333,,,0.3333333333333333,,0.6666666666666666,,0.3243833333333333,0.3243833333333333,,26.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.3333333333333333,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.2226,5.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2007,2006-07,False
1513-1956-200789-2562-923,1610612739,"Scot Pollard, Ira Newble, Daniel Gibson, Sasha Pavlovic, Donyell Marshall","Pollard, Newble, Gibson, Pavlovic, Marshall",1513-1956-200789-2562-923,CLE,34.0,1,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,1.0,1.0,3.0,,1.0,1.0,,,,,3.0,3.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.5,1.0,,127.05882352941177,13.0,10.5,13.0,10.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.50625,0.50625,1.0,24.6,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,3.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2007,2006-07,False
1513-200789-2544-2760-727,1610612739,"Scot Pollard, Daniel Gibson, LeBron James, Anderson Varejao, Eric Snow","Pollard, Gibson, James, Varejao, Snow",1513-200789-2544-2760-727,CLE,14.0,1,,,1.0,,1.0,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,102.85714285714286,,14.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2007,2006-07,False
1716-1800-200789-2760-980,1610612739,"Larry Hughes, Damon Jones, Daniel Gibson, Anderson Varejao, Zydrunas Ilgauskas","Hughes, Jones, Gibson, Varejao, Ilgauskas",1716-1800-200789-2760-980,CLE,416.0,3,7.0,10.0,10.0,2.0,2.0,20.0,,1.0,,,,2.0,5.0,9.0,,,,,1.0,,1.0,1.0,1.0,,2.0,,2.0,,,,0.16666666666666666,,0.19230769230769232,,0.16666666666666666,1.0,69.23076923076923,20.7,20.9,18.9,20.9,0.08333333333333333,,,,,0.6666666666666666,,0.5182833333333333,0.5957,,25.0,0.2,4.0,6.0,2.0,2.0,2.0,10.0,2.0,3.0,3.0,4.0,2.0,3.0,4.0,7.0,1.0,0.3,0.5,1.0,0.5,0.75,0.4,,1.0,0.14285714285714285,0.5,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.6097833333333333,6.0,-4.0,,,,,,,,,,2.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,0.2,0.5,0.3333333333333333,0.375,0.5,0.8,1.0,1.0,0.16666666666666666,0.3333333333333333,0.5,0.5,0.16666666666666666,0.08333333333333333,0.5,0.3333333333333333,0.07692307692307693,0.3333333333333333,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2007,2006-07,False
1716-1956-200789-2544-2760,1610612739,"Larry Hughes, Ira Newble, Daniel Gibson, LeBron James, Anderson Varejao","Hughes, Newble, Gibson, James, Varejao",1716-1956-200789-2544-2760,CLE,23.0,1,,2.0,1.0,2.0,1.0,3.0,,1.0,,1.0,,1.0,,2.0,,1.0,,,1.0,,,,,,,,2.0,,,,,,,,1.0,,187.82608695652172,4.5,14.0,4.5,14.0,1.0,,,1.0,,1.0,,0.26805,0.26805,,26.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2007,2006-07,False
1716-1956-2400-2544-727,1610612739,"Larry Hughes, Ira Newble, Drew Gooden, LeBron James, Eric Snow","Hughes, Newble, Gooden, James, Snow",1716-1956-2400-2544-727,CLE,10.0,1,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,1.0,1.0,3.0,,1.0,1.0,,,,,3.0,3.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.5,1.0,,288.0,3.0,7.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3759,0.3759,1.0,24.3,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,3.0,3.0,1.0,1.0,1.0,3.0,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2007,2006-07,False
1716-1956-2400-2562-727,1610612739,"Larry Hughes, Ira Newble, Drew Gooden, Sasha Pavlovic, Eric Snow","Hughes, Newble, Gooden, Pavlovic, Snow",1716-1956-2400-2562-727,CLE,28.0,1,,,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,51.42857142857143,,27.0,,27.0,1.0,,,1.0,,1.0,,,,,41.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2007,2006-07,False
1716-1956-2400-2760-727,1610612739,"Larry Hughes, Ira Newble, Drew Gooden, Anderson Varejao, Eric Snow","Hughes, Newble, Gooden, Varejao, Snow",1716-1956-2400-2760-727,CLE,18.0,1,,1.0,1.0,1.0,,2.0,,1.0,,1.0,,1.0,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,160.0,2.0,16.0,2.0,16.0,1.0,,,1.0,,1.0,,,,,39.9,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2007,2006-07,False
1716-1956-2544-2562-727,1610612739,"Larry Hughes, Ira Newble, LeBron James, Sasha Pavlovic, Eric Snow","Hughes, Newble, James, Pavlovic, Snow",1716-1956-2544-2562-727,CLE,51.0,1,1.0,5.0,7.0,5.0,7.0,12.0,,,,,,,8.0,7.0,,,8.0,,,,,,,,8.0,8.0,5.0,,,,,,0.8,0.8,,,338.8235294117647,1.4,6.285714285714286,1.4,6.285714285714286,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,4.0,,4.0,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,8.0,,,,,,,3.0,,,5.0,,10.0,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,8.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2007,2006-07,False
