EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,DefThreePtReboundPct,DefFGReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGA,PenaltyAtRimFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG3M,FG3A,FtPoints,OpponentPoints,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PtsUnassisted2s,PtsAssisted3s,Fg2aBlocked,ThreePtAssists,Corner3Assists,Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefArc3ReboundPct,AtRimFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,AtRimFG3AFrequency,Avg3ptShotDistance,SecondChanceOffPoss,ShortMidRangeFGA,Arc3FGA,PenaltyArc3FGA,SecondChanceFtPoints,SecondChancePoints,NonHeaveArc3FGA,OffTwoPtRebounds,OffRebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Offensive Fouls Drawn,TwoPtShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceTsPct,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,ShortMidRangeFrequency,Arc3Frequency,PenaltyArc3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,ShortMidRangeFGM,Arc3FGM,NonHeaveArc3FGM,Arc3Assists,ShortMidRangeAssists,OffThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,2pt And 1 Free Throw Trips,DefensiveGoaltends,DefFTReboundPct,DefTwoPtReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,AtRimFGM,PenaltyArc3FGM,AtRimAssists,Steals,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Offensive Fouls,Blocked2s,BlockedAtRim,Blocks,DefAtRimReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyArc3Accuracy,SecondChanceFG2M,SecondChanceFG2A,BadPassSteals,SecondChanceFg2Pct,SecondChanceEfgPct,OffAtRimReboundPct,SecondChanceShotQualityAvg,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted3s,PtsPutbacks,SelfOReb,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Travels,Loose Ball Fouls,Loose Ball Fouls Drawn,SecondChanceFg3Pct,LongMidRangePctBlocked,OffLongMidRangeReboundPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyAtRimAccuracy,Blocked3s,BlockedArc3,Technical Free Throw Trips,RecoveredBlocks,OffCorner3ReboundPct,BlocksRecoveredPct,BlockedLongMidRange,BlockedShortMidRange,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Clear Path Fouls,SecondChanceArc3PctAssisted,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,team_id,year,season,team_vs
1715-1720-1899-2574-2748,1610612748,"Jason Williams, Michael Doleac, James Posey, Jason Kapono, Dorell Wright","Williams, Doleac, Posey, Kapono, Wright",1715-1720-1899-2574-2748,MIA,47.0,1,1.0,2.0,1.0,2,1.0,2.0,3,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,91.91489361702128,21.0,13.0,21.0,13.0,1.0,1.0,1.0,1.0,0.3095,0.3095,1.0,18.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2007,2006-07,True
1715-1899-224-2574-297,1610612748,"Jason Williams, James Posey, Eddie Jones, Jason Kapono, Alonzo Mourning","Williams, Posey, Jones, Kapono, Mourning",1715-1899-224-2574-297,MIA,112.0,1,2.0,1.0,4.0,4,4.0,3.0,8,1.0,1.0,1.0,2.0,6.0,1.0,2.0,6.0,,,1.0,,3.0,1.0,1.0,1.0,6.0,6.0,4.0,,,0.5,0.5,0.8333333333333334,0.8333333333333334,0.75,0.75,1.0,1.0,,102.85714285714286,15.5,12.5,15.5,12.5,0.3333333333333333,1.0,1.0,,0.5017,0.5017,1.0,10.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2007,2006-07,True
1715-1899-224-2617-952,1610612748,"Jason Williams, James Posey, Eddie Jones, Udonis Haslem, Antoine Walker","Williams, Posey, Jones, Haslem, Walker",1715-1899-224-2617-952,MIA,208.0,1,3.0,-5.0,7.0,7,6.0,,14,,1.0,,4.0,3.0,,2.0,3.0,,,,,,2.0,2.0,4.0,1.0,3.0,6.0,,,,,,,0.1875,0.25,1.0,1.0,,96.92307692307692,17.0,12.714285714285714,15.285714285714286,12.714285714285714,0.16666666666666666,,,,0.4242083333333333,0.4601375,1.0,12.525,0.8571428571428571,,,,1.0,,1.0,,2.0,3.0,8.0,,2.0,3.0,,,1.0,,,2.0,4.0,4.0,1.0,,,,,,0.3333333333333333,0.25,,1.0,,0.16666666666666666,,,,,0.25,,0.3333333333333333,24.15,2.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,0.6666666666666666,0.5,0.16666666666666666,0.25,0.14285714285714285,0.2,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2007,2006-07,True
1715-1899-224-406-952,1610612748,"Jason Williams, James Posey, Eddie Jones, Shaquille O'Neal, Antoine Walker","Williams, Posey, Jones, O'Neal, Walker",1715-1899-224-406-952,MIA,302.0,1,5.0,-4.0,9.0,9,,3.0,18,,1.0,3.0,5.0,10.0,,,,2.0,1.0,2.0,,5.0,1.0,4.0,5.0,10.0,,,0.3333333333333333,0.3333333333333333,0.6,,0.5,,0.5555555555555556,,0.5,0.75,,85.82781456953643,17.666666666666668,15.88888888888889,16.77777777777778,15.11111111111111,0.1111111111111111,,,,0.4640722222222223,,,11.28,,,,,,,,1.0,4.0,1.0,14.0,,,,4.0,3.0,,1.0,,2.0,2.0,1.0,,,1.0,0.25,,0.25,0.4444444444444444,,,0.5,,,,,,,,,0.4444444444444444,24.9,1.0,4.0,4.0,,,,4.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,1.0,,0.2,,0.4444444444444444,0.4444444444444444,,0.1111111111111111,0.2,,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.75,0.75,0.3333333333333333,0.25,0.25,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2007,2006-07,True
1715-1899-2548-2574-952,1610612748,"Jason Williams, James Posey, Dwyane Wade, Jason Kapono, Antoine Walker","Williams, Posey, Wade, Kapono, Walker",1715-1899-2548-2574-952,MIA,326.0,2,5.0,-5.0,10.0,13,2.0,4.0,23,1.0,3.0,3.0,5.0,9.0,,,3.0,6.0,3.0,4.0,1.0,9.0,1.0,3.0,4.0,9.0,3.0,2.0,1.0,1.0,0.6,,0.6428571428571429,1.5,0.6428571428571429,1.5,1.0,0.75,,101.59509202453987,13.0,15.076923076923077,13.0,14.153846153846153,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,0.44534285714285715,0.43755,0.3333333333333333,12.98,0.2,1.0,,,,,,1.0,2.0,,14.0,1.0,1.0,,,3.0,,1.0,,4.0,1.0,,,,1.0,0.5,1.0,0.5,0.2857142857142857,,,1.0,0.14285714285714285,,,,,,,,0.42857142857142855,25.4,1.0,1.0,2.0,1.0,,,2.0,,1.0,2.0,1.0,4.0,1.0,1.0,1.0,,,,,,0.5,,0.3333333333333333,,0.14285714285714285,0.2857142857142857,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,0.6666666666666666,1.0,1.0,,,1.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2007,2006-07,True
1715-1899-2548-2617-297,1610612748,"Jason Williams, James Posey, Dwyane Wade, Udonis Haslem, Alonzo Mourning","Williams, Posey, Wade, Haslem, Mourning",1715-1899-2548-2617-297,MIA,223.0,1,4.0,-1.0,8.0,7,1.0,7.0,15,1.0,3.0,2.0,5.0,6.0,,,1.0,4.0,2.0,2.0,1.0,4.0,,3.0,5.0,3.0,1.0,1.0,1.0,1.0,0.4,,0.2857142857142857,,0.3333333333333333,0.5,,1.0,,96.8609865470852,13.5,16.428571428571427,11.625,16.428571428571427,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,0.4598071428571428,,0.16666666666666666,14.86,0.125,1.0,,,1.0,,,,2.0,2.0,7.0,,,1.0,,,,,,2.0,2.0,4.0,,1.0,,,,,0.2857142857142857,,,,0.14285714285714285,0.14285714285714285,,,,,,,0.42857142857142855,24.15,2.0,1.0,1.0,,1.0,3.0,1.0,1.0,2.0,,,,,,1.0,,2.0,,0.75,,,0.3333333333333333,0.4,,0.14285714285714285,0.14285714285714285,,0.2222222222222222,0.2857142857142857,0.5,1.0,,,,1.0,1.0,2.0,1.0,,,1.0,1.0,0.5,1.0,,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.3893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2007,2006-07,True
1715-1899-2548-2617-406,1610612748,"Jason Williams, James Posey, Dwyane Wade, Udonis Haslem, Shaquille O'Neal","Williams, Posey, Wade, Haslem, O'Neal",1715-1899-2548-2617-406,MIA,1844.0,3,31.0,8.0,57.0,57,14.0,8.0,114,4.0,16.0,19.0,43.0,69.0,5.0,11.0,17.0,12.0,6.0,10.0,3.0,24.0,4.0,25.0,33.0,57.0,17.0,14.0,0.3157894736842105,0.35294117647058826,0.4418604651162791,0.45454545454545453,0.5267857142857143,0.5333333333333333,0.5655737704918032,0.5666666666666667,0.5714285714285714,0.6785714285714286,1.0,89.02386117136659,15.56140350877193,16.789473684210527,14.596491228070175,16.105263157894736,0.2857142857142857,0.25,0.26666666666666666,0.75,0.4827821428571428,0.49399,0.2463768115942029,9.997674418604651,0.24561403508771928,11.0,2.0,2.0,4.0,1.0,2.0,7.0,13.0,10.0,61.0,2.0,4.0,1.0,26.0,12.0,5.0,4.0,2.0,15.0,12.0,12.0,,1.0,0.5714285714285714,0.5384615384615384,0.5,0.5384615384615384,0.23214285714285715,0.11627906976744186,0.09090909090909091,0.5,0.19642857142857142,0.07142857142857142,0.5,0.5,1.0,0.13333333333333333,0.13333333333333333,0.5,0.42857142857142855,24.615384615384617,8.0,16.0,9.0,2.0,,12.0,9.0,7.0,8.0,1.0,1.0,5.0,1.0,,8.0,,7.0,,0.75,0.1875,0.2,0.2916666666666667,0.26666666666666666,,0.2857142857142857,0.16071428571428573,0.13333333333333333,0.11475409836065574,0.14583333333333334,0.17391304347826086,9.0,5.0,5.0,2.0,,1.0,15.0,6.0,2.0,,1.0,0.7142857142857143,0.16666666666666666,0.25,0.75,0.8,0.5625,0.6923076923076923,,0.5555555555555556,0.5555555555555556,0.4,0.5555555555555556,6.0,1.0,3.0,4.0,1.0,1.0,4.0,,,1.0,1.0,1.0,0.3333333333333333,0.5454545454545454,0.6,0.5,0.5,3.0,6.0,3.0,0.5,0.75,0.6,0.5021357142857142,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,9.0,4.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0625,0.3333333333333333,0.12,0.375,0.6666666666666666,0.125,1.0,1.0,0.125,1.0,0.5,,,,,,,,,,,,,,,,,1610612748,2007,2006-07,True
1715-1899-2548-2617-952,1610612748,"Jason Williams, James Posey, Dwyane Wade, Udonis Haslem, Antoine Walker","Williams, Posey, Wade, Haslem, Walker",1715-1899-2548-2617-952,MIA,204.0,2,3.0,-6.0,7.0,8,7.0,3.0,15,1.0,2.0,2.0,5.0,9.0,2.0,5.0,9.0,4.0,2.0,2.0,1.0,4.0,1.0,1.0,3.0,7.0,9.0,7.0,1.0,1.0,0.4,0.4,0.4,0.4,0.6428571428571429,0.6428571428571429,1.0,1.0,,105.88235294117648,15.857142857142858,11.625,15.142857142857142,11.625,0.4,0.5,0.5,1.0,0.5273399999999999,0.5273399999999999,1.0,7.659999999999999,1.0,3.0,3.0,,,,,,,5.0,15.0,,,5.0,,,,,,4.0,4.0,5.0,2.0,,,,,,,,,1.0,0.6,,,,,0.6,,,0.6,,2.0,,,,2.0,2.0,,2.0,2.0,,,2.0,,2.0,2.0,,1.0,2.0,0.5,,,0.6666666666666666,0.6666666666666666,,,,,0.2,0.2,0.2222222222222222,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,2.0,,2.0,,,,,0.3333333333333333,0.3333333333333333,1.0,,,1.0,,,,0.5,0.6056,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,1610612748,2007,2006-07,True
1715-1899-2548-297-952,1610612748,"Jason Williams, James Posey, Dwyane Wade, Alonzo Mourning, Antoine Walker","Williams, Posey, Wade, Mourning, Walker",1715-1899-2548-297-952,MIA,82.0,2,1.0,-1.0,4.0,3,4.0,2.0,7,1.0,2.0,1.0,2.0,4.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,,1.0,2.0,2.0,4.0,4.0,1.0,1.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,,1.0,,122.92682926829268,9.0,15.333333333333334,9.0,15.333333333333334,0.6666666666666666,0.5,0.5,1.0,0.3917,0.3917,1.0,17.7,1.0,,,,,,,,1.0,2.0,5.0,,1.0,2.0,,,,,,1.0,1.0,2.0,1.0,,,,,,0.3333333333333333,,,,,,,,,,,,0.3333333333333333,24.7,1.0,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,1.0,,1.0,,,,1.0,1.0,,,1.0,0.5,,,0.3333333333333333,0.3333333333333333,,,0.5,,,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2007,2006-07,True
1715-1899-2548-406-952,1610612748,"Jason Williams, James Posey, Dwyane Wade, Shaquille O'Neal, Antoine Walker","Williams, Posey, Wade, O'Neal, Walker",1715-1899-2548-406-952,MIA,372.0,3,6.0,-3.0,11.0,11,1.0,5.0,22,1.0,1.0,3.0,8.0,11.0,,,,2.0,1.0,2.0,1.0,5.0,,3.0,6.0,9.0,,1.0,0.3333333333333333,0.5,0.375,,0.45,,0.5,,,1.0,,85.16129032258064,17.0,16.818181818181817,16.0,16.818181818181817,0.1,1.0,1.0,1.0,0.51101,,,5.7125,0.09090909090909091,3.0,,,,,,1.0,2.0,2.0,14.0,,,,4.0,3.0,1.0,1.0,,5.0,4.0,2.0,,2.0,1.0,0.5,,0.5,0.2,0.125,,,0.3,,,,,,,,0.5,24.8,2.0,4.0,2.0,,,2.0,2.0,2.0,3.0,2.0,2.0,3.0,,1.0,3.0,1.0,1.0,,0.3333333333333333,0.25,0.6666666666666666,0.4,0.5,0.3333333333333333,0.4,0.2,,0.09090909090909091,0.1111111111111111,0.18181818181818182,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,0.25,0.3333333333333333,,0.5,0.5,1.0,0.5,1.0,,,1.0,,,1.0,,,,,,,0.3333333333333333,0.3333333333333333,,,1.0,3.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.53255,1.0,2.0,,,,,,,,,2.0,,,,,,,,,,,0.6666666666666666,0.5,,,,,,,,,,,,,,,,,,,,,,,1610612748,2007,2006-07,True
