EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,OffPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGA,FG2A,SecondChanceFG2A,PenaltyFG2A,OffTwoPtRebounds,OffRebounds,Rebounds,PenaltyOffPossExcludingTakeFouls,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,AtRimFrequency,ShortMidRangeFrequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,PenaltyOffPossPct,Minutes,PlusMinus,DefPoss,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFtPoints,SecondChancePoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Steals,BadPassSteals,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,3SecondViolations,FirstChancePoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,SecondChanceTsPct,FG3APct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg3ptShotDistance,PenaltyDefPoss,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,Travels,PenaltyTurnovers,PenaltyPointsExcludingTakeFouls,PenaltyFg3Pct,PenaltyEfgPct,PenaltyTsPct,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyPointsPct,AtRimFGM,SecondChanceAtRimFGM,ShortMidRangeFGM,FG2M,SecondChanceFG2M,PtsUnassisted2s,PtsPutbacks,LiveBallTurnovers,BadPassTurnovers,Fg2Pct,SecondChanceFg2Pct,SecondChanceEfgPct,LiveBallTurnoverPct,OffLongMidRangeReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceAtRimAccuracy,LongMidRangeFGM,PtsAssisted2s,TwoPtAssists,LongMidRangeAssists,Assisted2sPct,NonPutbacksAssisted2sPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,OffThreePtRebounds,OffThreePtReboundPct,OffCorner3ReboundPct,PenaltyCorner3FGA,PenaltyFtPoints,Fg2aBlocked,FTDefRebounds,SelfOReb,SecondChanceTurnovers,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,SelfORebPct,PenaltyCorner3Frequency,AtRimAssists,BlockedAtRim,AtRimPctAssisted,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimFGM,PenaltyFG2M,2pt And 1 Free Throw Trips,PenaltyFg2Pct,PenaltyAtRimAccuracy,SecondChanceArc3FGA,SecondChanceFG3A,OffArc3ReboundPct,SecondChanceArc3Frequency,ShortMidRangeAssists,ShortMidRangePctAssisted,LostBallSteals,LostBallTurnovers,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted3s,SecondChanceFg3Pct,ShortMidRangePctBlocked,SecondChanceArc3Accuracy,PenaltyCorner3Accuracy,BadPassOutOfBoundsTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Offensive Fouls,HeaveAttempts,Loose Ball Fouls Drawn,LongMidRangePctBlocked,SecondChanceCorner3FGA,LostBallOutOfBoundsTurnovers,Offensive Fouls Drawn,RecoveredBlocks,DefCorner3ReboundPct,BlocksRecoveredPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3PctAssisted,FTOffRebounds,OffFTReboundPct,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,team_id,year,season,team_vs
101154-101182-1498-1913-1916,1610612764,"Andray Blatche, Donell Taylor, Antonio Daniels, Michael Ruffin, Calvin Booth","Blatche, Taylor, Daniels, Ruffin, Booth",101154-101182-1498-1913-1916,WAS,20.0,1,1,1.0,1.0,1,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,72.0,20.0,20.0,0.5,0.5,1.0,0.5,0.5,0.419,0.5791,0.419,3.05,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2007,2006-07,True
101154-101182-1712-2427-2443,1610612764,"Andray Blatche, Donell Taylor, Antawn Jamison, Roger Mason Jr., Darius Songaila","Blatche, Taylor, Jamison, Mason Jr., Songaila",101154-101182-1712-2427-2443,WAS,222.0,1,7,,1.0,15,1.0,,,,2.0,,,1.0,1.0,5.0,,0.5,0.3333333333333333,,97.29729729729729,12.714285714285714,12.714285714285714,0.2,,,,0.8,0.4768,,,10.8,,4.0,5.0,8.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,10.0,5.0,2.0,2.0,6.0,2.0,2.0,2.0,2.0,2.0,6.0,1.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,8.0,1.0,0.6666666666666666,0.6666666666666666,0.6,0.7142857142857143,1.0,0.6,0.6,1.0,0.6666666666666666,1.0,1.0,0.3333333333333333,1.0,1.0,16.625,15.625,0.2,0.2,0.4,1.0,1.0,1.0,1.0,0.2857142857142857,0.5,0.2,24.733333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2007,2006-07,True
101154-101182-1913-2427-2553,1610612764,"Andray Blatche, Donell Taylor, Michael Ruffin, Roger Mason Jr., Jarvis Hayes","Blatche, Taylor, Ruffin, Mason Jr., Hayes",101154-101182-1913-2427-2553,WAS,47.0,1,2,2.0,,3,,,,,1.0,,1.0,,,,2.0,,,,91.91489361702128,16.5,16.5,,,,,,0.2984,,0.2984,20.5,1.0,1.0,-2.0,1.0,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,14.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2007,2006-07,True
101154-1498-1712-1916-2052,1610612764,"Andray Blatche, Antonio Daniels, Antawn Jamison, Calvin Booth, DeShawn Stevenson","Blatche, Daniels, Jamison, Booth, Stevenson",101154-1498-1712-1916-2052,WAS,94.0,1,2,1.0,,5,,,,,1.0,,1.0,,,2.0,1.0,,,,76.59574468085107,9.5,9.5,,,,,,0.3976,,0.3976,15.5,0.5,2.0,-1.0,3.0,1.0,,,,,,2.0,2.0,3.0,,,,,,,,,,,2.0,2.0,,,,,1.0,1.0,1.0,2.0,1.0,,,,,2.0,,,,,0.5,,,0.5,,0.4,,,1.0,0.3333333333333333,,25.0,17.333333333333332,1.0,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2007,2006-07,True
101154-1498-1712-1916-2427,1610612764,"Andray Blatche, Antonio Daniels, Antawn Jamison, Calvin Booth, Roger Mason Jr.","Blatche, Daniels, Jamison, Booth, Mason Jr.",101154-1498-1712-1916-2427,WAS,143.0,1,4,2.0,,9,,,,,,,,,,2.0,2.0,,,,90.62937062937063,14.75,14.75,,,,,1.0,0.56355,,0.56355,,0.5,2.0,-2.0,5.0,,,1.0,1.0,1.0,1.0,2.0,5.0,7.0,,,3.0,1.0,1.0,1.0,1.0,1.0,3.0,,2.0,2.0,,,2.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,5.0,1.0,1.0,1.0,1.5,1.25,,1.0,1.0,,1.0,,,1.0,1.0,,16.8,16.8,,,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,25.2,5.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.5,1.5,1.0,1.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2007,2006-07,True
101154-1498-1712-2041-2052,1610612764,"Andray Blatche, Antonio Daniels, Antawn Jamison, Etan Thomas, DeShawn Stevenson","Blatche, Daniels, Jamison, Thomas, Stevenson",101154-1498-1712-2041-2052,WAS,149.0,1,5,,2.0,9,1.0,1.0,,2.0,6.0,2.0,,2.0,2.0,4.0,,0.5,0.5,1.0,86.97986577181207,14.8,11.8,0.16666666666666666,0.3333333333333333,0.5,,0.16666666666666666,0.4325333333333334,0.4944,,12.866666666666667,,2.0,,4.0,3.0,,,,,,,4.0,4.0,,4.0,,,,,,,,1.0,1.0,2.0,,,,1.0,,1.0,,,,,,,,,,,,0.3333333333333333,0.3333333333333333,1.0,,1.0,1.0,1.0,,1.0,,,1.0,18.75,18.75,0.5,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2007,2006-07,True
101154-1498-1712-2041-2427,1610612764,"Andray Blatche, Antonio Daniels, Antawn Jamison, Etan Thomas, Roger Mason Jr.","Blatche, Daniels, Jamison, Thomas, Mason Jr.",101154-1498-1712-2041-2427,WAS,72.0,1,3,,,5,,,,,1.0,,,,,2.0,,,,,100.0,9.333333333333334,9.333333333333334,,,,,0.5,0.4937,,,16.6,,1.0,5.0,2.0,1.0,,1.0,1.0,1.0,1.0,,5.0,,,,3.0,1.0,1.0,1.0,2.0,1.0,5.0,,2.0,2.0,,,,,,,,,,,,,,5.0,1.0,1.0,1.0,1.25,1.25,,0.5,1.0,,1.0,,,,1.0,,22.0,22.0,0.5,,0.5,1.0,1.0,1.0,1.0,,,,25.5,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2007,2006-07,True
101154-1498-1712-2052-2443,1610612764,"Andray Blatche, Antonio Daniels, Antawn Jamison, DeShawn Stevenson, Darius Songaila","Blatche, Daniels, Jamison, Stevenson, Songaila",101154-1498-1712-2052-2443,WAS,95.0,1,3,,,5,,,,,3.0,,,,,2.0,,,,,75.78947368421053,15.0,15.0,,,,,,0.37213333333333337,,,16.866666666666667,,2.0,6.0,2.0,3.0,,,,,,,6.0,,,,,,,,1.0,,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,6.0,,,,1.0,1.0,,,1.0,1.0,1.0,,,,1.0,1.0,25.0,25.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,4.0,,,,1.0,,,,,,,,,,3.0,2.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2007,2006-07,True
101154-1498-1712-2052-2553,1610612764,"Andray Blatche, Antonio Daniels, Antawn Jamison, DeShawn Stevenson, Jarvis Hayes","Blatche, Daniels, Jamison, Stevenson, Hayes",101154-1498-1712-2052-2553,WAS,77.0,1,2,,1.0,5,1.0,1.0,,,2.0,1.0,,,1.0,2.0,,,0.5,,93.5064935064935,13.0,12.5,0.3333333333333333,,1.0,,0.6666666666666666,0.5455666666666666,,,9.8,,1.0,-2.0,3.0,1.0,1.0,,,,1.0,,2.0,4.0,,2.0,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0,,1.0,,,,1.0,,17.0,17.0,0.3333333333333333,0.3333333333333333,,,,,,,,1.0,23.7,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,2.0,2.0,,,0.5,1.0,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2007,2006-07,True
101154-1498-1712-2427-2553,1610612764,"Andray Blatche, Antonio Daniels, Antawn Jamison, Roger Mason Jr., Jarvis Hayes","Blatche, Daniels, Jamison, Mason Jr., Hayes",101154-1498-1712-2427-2553,WAS,70.0,1,3,3.0,2.0,6,1.0,,1.0,,1.0,,1.0,1.0,2.0,4.0,3.0,1.0,1.0,,123.42857142857142,14.666666666666666,10.333333333333334,0.5,,,0.5,1.0,0.6806,,0.6806,0.5,1.0,1.0,-1.0,3.0,,1.0,,,,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,1.0,2.0,,,1.0,1.0,,2.0,1.0,2.0,1.0,,,,,,,,,,0.16666666666666666,0.5,0.5,1.0,,1.0,1.0,,1.0,,,8.666666666666666,8.666666666666666,,0.5,,,,,,0.3333333333333333,0.5,1.0,23.6,3.0,,,,1.0,1.0,,1.0,1.0,,,0.16666666666666666,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2007,2006-07,True
