EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3A,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChancePoints,OffThreePtRebounds,DefThreePtRebounds,BadPassSteals,BadPassTurnovers,SecondChanceFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefThreePtReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChancePointsPct,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PtsPutbacks,Fg2aBlocked,SelfOReb,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Charge Fouls,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,Technical Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyFg2Pct,PenaltyEfgPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffAtRimReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFtPoints,PenaltyFG3M,PenaltyFG3A,FTOffRebounds,LostBallOutOfBoundsTurnovers,PenaltyFg3Pct,OffFTReboundPct,PenaltyArc3Frequency,PenaltyArc3Accuracy,BlockedShortMidRange,PenaltyCorner3FGA,StepOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyCorner3Frequency,HeaveAttempts,LongMidRangeFGM,PenaltyCorner3FGM,ShortMidRangeAssists,LongMidRangeAssists,2pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,OffLongMidRangeReboundPct,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,Transition Take Fouls,Charge Fouls Drawn,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,BlockedLongMidRange,Travels,Transition Take Fouls Drawn,BlockedCorner3,3SecondViolations,DefensiveGoaltends,team_id,year,season,team_vs
1627759-1628369-1628401-1628436-1630202,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Luke Kornet, Payton Pritchard","Brown, Tatum, White, Kornet, Pritchard",1627759-1628369-1628401-1628436-1630202,BOS,700.0,5,12.0,-2.0,23.0,23,3.0,2.0,1.0,46,3.0,6.0,1.0,4.0,1.0,3.0,5.0,2.0,4.0,1.0,4.0,11.0,5.0,9.0,7.0,30.0,32.0,1.0,1.0,3.0,3.0,2.0,6.0,12.0,3.0,4.0,2.0,1.0,4.0,5.0,1.0,3.0,1.0,14.0,2.0,3.0,1.0,4.0,2.0,6.0,2.0,2.0,1.0,1.0,1.0,4.0,4.0,4.0,8.0,4.0,30.0,3.0,3.0,0.25,0.25,0.8,0.5555555555555556,0.5555555555555556,0.36363636363636365,0.575,0.625,0.5,0.45,1.0,1.0,0.5,0.2857142857142857,0.42857142857142855,0.18181818181818182,0.6666666666666666,0.75,94.62857142857143,18.0,12.434782608695652,17.782608695652176,12.08695652173913,0.3,0.5,0.5,0.3333333333333333,0.2,0.25,0.25,0.05,0.25,0.6,0.6,1.0,0.2,0.5,0.5,0.5,1.0,0.75,0.5,0.5329175,0.53385,0.4377,0.16666666666666666,0.26666666666666666,0.1,5.854545454545455,24.58888888888889,0.13043478260869565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2025,2024-25,False
1627759-1628369-1628401-1628436-201143,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Luke Kornet, Al Horford","Brown, Tatum, White, Kornet, Horford",1627759-1628369-1628401-1628436-201143,BOS,242.0,2,4.0,11.0,9.0,9,,4.0,4.0,18,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,5.0,1.0,3.0,5.0,3.0,7.0,,15.0,4.0,2.0,,,,2.0,4.0,6.0,3.0,5.0,2.0,1.0,2.0,3.0,2.0,,1.0,8.0,1.0,,2.0,6.0,4.0,10.0,1.0,,1.0,,1.0,,,,,,7.0,,,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.42857142857142855,0.42857142857142855,0.6,0.625,0.625,,0.5833333333333334,1.0,1.0,,1.0,1.0,0.8,1.0,,107.10743801652893,14.11111111111111,12.777777777777779,12.11111111111111,12.777777777777779,0.16666666666666666,1.0,1.0,0.5,0.16666666666666666,0.5,0.5,0.08333333333333333,0.16666666666666666,0.5,0.5,,0.4166666666666667,0.4,0.4,1.0,0.25,0.75,0.4,0.5396083333333334,0.57795,,,,,6.9,25.82857142857143,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,8.0,3.0,4.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.75,0.6666666666666666,1.0,1.0,1.0,0.25,1.0,0.25,1.0,1.0,1.0,0.5333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2025,2024-25,False
1627759-1628369-1628401-1628436-201950,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Luke Kornet, Jrue Holiday","Brown, Tatum, White, Kornet, Holiday",1627759-1628369-1628401-1628436-201950,BOS,1025.0,2,17.0,2.0,35.0,33,6.0,,7.0,68,6.0,11.0,3.0,10.0,1.0,,2.0,4.0,12.0,3.0,9.0,22.0,4.0,14.0,3.0,33.0,31.0,3.0,6.0,,2.0,6.0,12.0,6.0,6.0,12.0,4.0,3.0,2.0,5.0,2.0,,3.0,12.0,5.0,7.0,,14.0,8.0,22.0,4.0,1.0,3.0,1.0,6.0,3.0,7.0,9.0,3.0,1.0,29.0,2.0,6.0,0.3333333333333333,0.375,0.5,0.2857142857142857,0.2857142857142857,0.4090909090909091,0.4166666666666667,0.43243243243243246,0.16666666666666666,0.3888888888888889,0.5,,0.7,0.38461538461538464,0.6666666666666666,0.34782608695652173,0.5714285714285714,0.6666666666666666,95.53170731707317,15.685714285714285,14.424242424242424,13.82857142857143,13.181818181818182,0.3055555555555556,0.5454545454545454,0.75,0.5,0.2777777777777778,0.3,0.3333333333333333,0.027777777777777776,0.05555555555555555,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.42857142857142855,0.6944444444444444,0.3333333333333333,0.5398625,0.5493750000000001,0.4925,0.02702702702702703,0.043478260869565216,0.06060606060606061,4.972727272727273,25.642857142857142,0.17142857142857143,2.0,2.0,,,,2.0,4.0,,4.0,3.0,7.0,3.0,2.0,,0.5,0.2857142857142857,0.2857142857142857,0.6363636363636364,0.3,0.375,,0.7777777777777778,,0.2857142857142857,1.0,,,,,0.12121212121212122,1.0,3.0,1.0,2.0,4.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,0.16666666666666666,0.16666666666666666,0.18181818181818182,0.2727272727272727,0.1,0.2,0.6,1.0,0.10526315789473684,0.6666666666666666,0.5,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2025,2024-25,False
1627759-1628369-1628401-1629674-1630202,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Neemias Queta, Payton Pritchard","Brown, Tatum, White, Queta, Pritchard",1627759-1628369-1628401-1629674-1630202,BOS,1028.0,4,17.0,5.0,30.0,34,8.0,9.0,6.0,64,5.0,9.0,1.0,3.0,,,1.0,6.0,15.0,3.0,6.0,12.0,6.0,16.0,10.0,40.0,35.0,3.0,3.0,4.0,11.0,4.0,8.0,15.0,3.0,15.0,6.0,2.0,5.0,7.0,5.0,,2.0,19.0,3.0,2.0,,11.0,8.0,19.0,3.0,1.0,2.0,1.0,4.0,5.0,7.0,9.0,14.0,6.0,35.0,11.0,8.0,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.375,0.375,0.5,0.5357142857142857,0.5735294117647058,0.7857142857142857,0.5714285714285714,0.5,,0.25,0.5,0.5789473684210527,0.4375,0.5,0.3333333333333333,89.64980544747083,15.333333333333334,16.705882352941178,13.766666666666667,15.823529411764707,0.32142857142857145,0.5555555555555556,0.8333333333333334,0.4,0.10714285714285714,0.3333333333333333,0.3333333333333333,,0.03571428571428571,,,,0.5357142857142857,0.4,0.4,0.8333333333333334,0.5,0.8928571428571429,0.4,0.5397607142857143,0.4917125,0.55572,0.17647058823529413,0.3333333333333333,0.275,3.4333333333333336,26.75,0.26666666666666666,,2.0,,,1.0,,3.0,1.0,5.0,4.0,9.0,2.0,1.0,0.3333333333333333,,0.25,0.3125,0.8181818181818182,0.4,0.4444444444444444,,0.7142857142857143,1.0,0.3333333333333333,,,,0.3333333333333333,,0.125,2.0,2.0,2.0,,3.0,,,2.0,,1.0,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,0.6666666666666666,0.7,0.25,0.3333333333333333,,0.5,0.25,,,,,0.4,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.5,1.0,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2025,2024-25,False
1627759-1628369-1628401-1629674-201143,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Neemias Queta, Al Horford","Brown, Tatum, White, Queta, Horford",1627759-1628369-1628401-1629674-201143,BOS,139.0,1,2.0,-2.0,5.0,6,,,,11,,,1.0,2.0,,,,2.0,2.0,,1.0,2.0,2.0,2.0,,8.0,10.0,,,,,,2.0,6.0,,2.0,2.0,,2.0,2.0,2.0,,,6.0,,2.0,,2.0,,2.0,,,1.0,,1.0,1.0,1.0,,,,8.0,,,,,1.0,1.0,1.0,0.5,1.0,1.0,,0.5,1.0,,0.6666666666666666,,0.6666666666666666,,,0.6666666666666666,113.95683453237409,15.0,10.666666666666666,15.0,9.166666666666666,,,,,0.5,0.5,0.5,,,,,,0.5,1.0,1.0,1.0,,0.5,1.0,0.475175,,,,,,6.0,28.25,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2025,2024-25,False
1627759-1628369-1628401-1629674-201950,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Neemias Queta, Jrue Holiday","Brown, Tatum, White, Queta, Holiday",1627759-1628369-1628401-1629674-201950,BOS,478.0,2,8.0,3.0,15.0,16,13.0,,2.0,31,4.0,5.0,,1.0,,,1.0,1.0,4.0,,4.0,6.0,1.0,5.0,11.0,22.0,19.0,,6.0,8.0,19.0,2.0,6.0,3.0,,4.0,1.0,1.0,1.0,2.0,1.0,,1.0,5.0,,3.0,,7.0,2.0,9.0,1.0,,,,2.0,1.0,2.0,6.0,14.0,2.0,19.0,19.0,13.0,0.25,0.3333333333333333,1.0,0.2,0.2,0.6666666666666666,0.5,0.65625,0.6428571428571429,0.45454545454545453,,,0.75,,0.875,0.3333333333333333,,1.0,93.38912133891213,16.066666666666666,14.8125,16.066666666666666,12.9375,0.45454545454545453,0.8,0.8,0.25,0.09090909090909091,,,,0.09090909090909091,,,,0.36363636363636365,0.25,0.25,1.0,,0.9090909090909091,0.25,0.6042954545454545,,0.6042954545454545,0.15384615384615385,0.25,0.8636363636363636,2.5,25.16,0.8666666666666667,1.0,1.0,,,,1.0,1.0,,3.0,2.0,4.0,1.0,,,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,,1.0,,1.0,1.0,,,,,0.13636363636363635,4.0,5.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,,,1.0,1.0,1.0,1.0,,0.6666666666666666,0.5,0.16666666666666666,,1.0,,0.5,,0.2,,,0.45454545454545453,0.8,1.0,4.0,1.0,1.0,5.0,,,0.2,,0.36363636363636365,0.25,,1.0,1.0,1.0,2.0,2.0,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2025,2024-25,False
1627759-1628369-1628401-1630202-1630214,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Payton Pritchard, Xavier Tillman","Brown, Tatum, White, Pritchard, Tillman",1627759-1628369-1628401-1630202-1630214,BOS,14.0,1,,-2.0,,1,,1.0,,1,,,,,,,,,1.0,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,102.85714285714286,,12.0,,12.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,48.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2025,2024-25,False
1627759-1628369-1628401-1630202-1630573,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Payton Pritchard, Sam Hauser","Brown, Tatum, White, Pritchard, Hauser",1627759-1628369-1628401-1630202-1630573,BOS,15.0,1,,,2.0,1,2.0,,,3,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,288.0,5.5,4.0,5.5,4.0,,,,,,,,,,,,,1.0,,,,,1.0,,0.35505,,0.35505,,,,,26.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2025,2024-25,False
1627759-1628369-1628401-1630202-201950,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Payton Pritchard, Jrue Holiday","Brown, Tatum, White, Pritchard, Holiday",1627759-1628369-1628401-1630202-201950,BOS,38.0,2,1.0,-3.0,2.0,2,2.0,,,4,,,,,,,,,1.0,,,,,1.0,2.0,2.0,5.0,,,2.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,,,,,,,,0.5,0.5,1.0,,,,,,,,,151.57894736842107,10.5,8.5,10.5,8.5,,,,,,,,,,,,,1.0,,,,,1.0,,0.52995,,0.52995,0.5,1.0,1.0,,28.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2025,2024-25,False
1627759-1628369-1628401-1630214-201950,1610612738,"Jaylen Brown, Jayson Tatum, Derrick White, Xavier Tillman, Jrue Holiday","Brown, Tatum, White, Tillman, Holiday",1627759-1628369-1628401-1630214-201950,BOS,127.0,2,2.0,-4.0,5.0,5,2.0,2.0,1.0,10,,,,1.0,,,1.0,,2.0,,,1.0,,3.0,4.0,4.0,8.0,1.0,,4.0,4.0,,,,,2.0,,,,,,,,,1.0,1.0,,2.0,1.0,3.0,,,,,,1.0,1.0,3.0,6.0,2.0,4.0,4.0,2.0,,,,,,,,0.2857142857142857,0.6666666666666666,0.75,,,1.0,1.0,1.0,0.25,1.0,1.0,113.38582677165354,13.6,11.8,12.4,11.8,,,,,0.25,,,,0.25,,,,0.5,,,,,0.75,,0.5322375,0.57195,,0.3333333333333333,0.6666666666666666,1.0,4.4,25.333333333333332,0.4,,,,1.0,,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2025,2024-25,False
