EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,LiveBallTurnoverPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,DefTwoPtRebounds,FTDefRebounds,SelfOReb,Steals,BadPassSteals,DeadBallTurnovers,Travels,Loose Ball Fouls,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,DefTwoPtReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChancePointsPct,Avg3ptShotDistance,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,SecondChanceFtPoints,OffLongMidRangeReboundPct,SecondChanceFG2M,ShortMidRangeAssists,Offensive Fouls,SecondChanceFg2Pct,DefShortMidRangeReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimFGM,SecondChanceCorner3FGA,PtsPutbacks,LostBallTurnovers,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,LostBallSteals,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,OffShortMidRangeReboundPct,ShortMidRangePctBlocked,FTOffRebounds,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Blocked3s,BlockedCorner3,3SecondViolations,Defensive 3 Seconds Violations,OffFTReboundPct,SecondChanceTurnovers,StepOutOfBoundsTurnovers,OffCorner3ReboundPct,BlockedShortMidRange,OffensiveGoaltends,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,LongMidRangePctBlocked,Technical Free Throw Trips,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,HeaveAttempts,Clear Path Fouls,Corner3PctBlocked,BlockedArc3,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
1052-1723-1905-1952-2052,1610612762,"Ben Handlogten, Matt Harpring, Andrei Kirilenko, Raja Bell, DeShawn Stevenson","Handlogten, Harpring, Kirilenko, Bell, Stevenson",1052-1723-1905-1952-2052,UTA,231.0,1,4.0,-5.0,8.0,7.0,6.0,7.0,1.0,15.0,1.0,3.0,1.0,1.0,3.0,3.0,4.0,4.0,7.0,1.0,9.0,14.0,1.0,3.0,6.0,6.0,8.0,4.0,4.0,1.0,3.0,8.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,9.0,6.0,6.0,1.0,1.0,1.0,0.5714285714285714,0.5,0.5714285714285714,0.5,0.5625,0.5,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.5,1.0,93.5064935064935,15.875,14.857142857142858,15.75,14.857142857142858,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,0.5714285714285714,0.75,0.75,1.0,1.0,0.5,0.3333333333333333,0.42857142857142855,0.45067142857142856,0.5858,0.45926666666666666,0.125,0.125,0.6666666666666666,10.685714285714285,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2004,2003-04,False
1052-1723-1905-1952-2221,1610612762,"Ben Handlogten, Matt Harpring, Andrei Kirilenko, Raja Bell, Raul Lopez","Handlogten, Harpring, Kirilenko, Bell, Lopez",1052-1723-1905-1952-2221,UTA,891.0,2,15.0,10.0,26.0,27.0,9.0,18.0,2.0,53.0,4.0,11.0,2.0,2.0,4.0,,3.0,5.0,15.0,7.0,38.0,28.0,2.0,2.0,4.0,18.0,6.0,3.0,8.0,3.0,,21.0,3.0,4.0,10.0,3.0,13.0,1.0,1.0,2.0,1.0,,5.0,8.0,4.0,35.0,18.0,9.0,4.0,0.6,0.6,0.3333333333333333,0.5,0.6739130434782609,1.0,0.7037037037037037,1.0,0.5,0.3,0.8,0.6666666666666666,0.2727272727272727,0.42857142857142855,0.75,85.65656565656566,18.384615384615383,15.296296296296296,17.807692307692307,14.703703703703704,0.4782608695652174,0.36363636363636365,0.4444444444444444,0.75,0.13043478260869565,,,,0.6666666666666666,0.5,0.5,0.8260869565217391,0.5578239130434782,0.56865,0.62035625,0.14814814814814814,0.21052631578947367,0.47368421052631576,4.953333333333333,0.34615384615384615,1.0,1.0,2.0,2.0,1.0,1.0,5.0,6.0,1.0,1.0,3.0,3.0,7.0,8.0,1.0,1.0,3.0,4.0,4.0,2.0,4.0,15.0,6.0,6.0,5.0,2.0,5.0,3.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,0.7142857142857143,0.875,1.0,1.0,0.875,0.5,0.5,0.34782608695652173,0.13333333333333333,0.18181818181818182,1.0,0.5714285714285714,1.0,0.6666666666666666,1.0,0.1111111111111111,1.0,0.043478260869565216,1.0,1.0,0.08695652173913043,1.0,1.0,1.0,0.2608695652173913,0.8333333333333334,0.8333333333333334,0.6,0.3333333333333333,1.0,1.0,0.125,1.0,0.375,1.0,0.8333333333333334,0.07894736842105263,24.2375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2004,2003-04,False
1052-1723-1905-2052-2221,1610612762,"Ben Handlogten, Matt Harpring, Andrei Kirilenko, DeShawn Stevenson, Raul Lopez","Handlogten, Harpring, Kirilenko, Stevenson, Lopez",1052-1723-1905-2052-2221,UTA,35.0,1,1.0,-1.0,2.0,2.0,,2.0,,4.0,,,,,,,,,,2.0,2.0,3.0,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,1.0,,1.0,,,1.0,,,,164.57142857142856,9.0,8.5,9.0,8.5,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2004,2003-04,False
1052-1723-1905-2052-2306,1610612762,"Ben Handlogten, Matt Harpring, Andrei Kirilenko, DeShawn Stevenson, Carlos Arroyo","Handlogten, Harpring, Kirilenko, Stevenson, Arroyo",1052-1723-1905-2052-2306,UTA,244.0,1,4.0,4.0,6.0,7.0,,,1.0,13.0,3.0,3.0,,,,,1.0,3.0,4.0,,9.0,5.0,,,,,4.0,2.0,3.0,2.0,,7.0,,,2.0,1.0,3.0,,,,,1.0,1.0,,,9.0,,,,0.6666666666666666,0.6666666666666666,0.75,,0.6428571428571429,,0.6428571428571429,,,,,0.5,0.3333333333333333,,,76.72131147540983,19.666666666666668,18.0,17.166666666666668,13.857142857142858,0.42857142857142855,1.0,1.0,0.6666666666666666,0.14285714285714285,,,,,,,0.8571428571428571,0.55805,,,,,,5.15,,,,,,,,1.0,3.0,,1.0,,,1.0,3.0,,1.0,,,,,2.0,3.0,,3.0,1.0,,1.0,1.0,,2.0,,1.0,1.0,1.0,,,,2.0,2.0,,2.0,,,1.0,0.3333333333333333,,,0.3333333333333333,,,0.42857142857142855,,,,0.5,,1.0,,0.3333333333333333,,,,,,,,,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,1.0,,,,,,,0.3333333333333333,,24.400000000000002,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2004,2003-04,False
1052-1723-1905-2052-2590,1610612762,"Ben Handlogten, Matt Harpring, Andrei Kirilenko, DeShawn Stevenson, Mo Williams","Handlogten, Harpring, Kirilenko, Stevenson, Williams",1052-1723-1905-2052-2590,UTA,17.0,1,,1.0,1.0,,1.0,,1.0,1.0,,,,,,,1.0,,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,1.0,,,1.0,1.0,,,,,,,2.0,1.0,,1.0,1.0,,,,,,,,0.25,0.25,,1.0,,,1.0,,,84.70588235294117,17.0,,17.0,,,,,,1.0,,,,,,,,0.3936,,0.3936,0.5,0.5,1.0,18.1,1.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2004,2003-04,False
1052-1723-1952-2221-2260,1610612762,"Ben Handlogten, Matt Harpring, Raja Bell, Raul Lopez, Jarron Collins","Handlogten, Harpring, Bell, Lopez, Collins",1052-1723-1952-2221-2260,UTA,102.0,1,2.0,,4.0,3.0,,2.0,1.0,7.0,,,,,,,,2.0,3.0,,4.0,4.0,1.0,,,,2.0,1.0,1.0,,,2.0,,,1.0,,1.0,,,1.0,,,2.0,,,2.0,,,,0.5,0.5,0.6666666666666666,,0.6666666666666666,,0.6666666666666666,,,,,1.0,,,,98.82352941176471,14.75,14.333333333333334,11.25,14.333333333333334,,,,,,,,,,,,,0.3552666666666667,0.3705,,,,,9.4,,2.0,3.0,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,1.0,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,,,,0.5,,,,,,,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2004,2003-04,False
1052-1723-1952-2221-2562,1610612762,"Ben Handlogten, Matt Harpring, Raja Bell, Raul Lopez, Sasha Pavlovic","Handlogten, Harpring, Bell, Lopez, Pavlovic",1052-1723-1952-2221-2562,UTA,360.0,1,6.0,-6.0,10.0,10.0,,1.0,4.0,20.0,3.0,6.0,2.0,,,,2.0,3.0,8.0,1.0,10.0,16.0,2.0,,,,4.0,2.0,3.0,2.0,,7.0,3.0,1.0,3.0,4.0,7.0,2.0,1.0,2.0,,4.0,7.0,2.0,1.0,5.0,,,,0.6666666666666666,1.0,0.375,,0.4090909090909091,,0.4166666666666667,,1.0,0.6,1.0,0.75,0.5714285714285714,0.6666666666666666,,80.0,18.5,17.5,14.9,16.3,0.5454545454545454,0.5,0.75,0.6666666666666666,0.18181818181818182,,,,0.5,,,0.8181818181818182,0.5467545454545455,0.56575,,0.08333333333333333,0.1111111111111111,,5.1125,,,,,1.0,,,1.0,2.0,1.0,1.0,,,1.0,3.0,1.0,2.0,5.0,,,,2.0,3.0,,2.0,1.0,2.0,1.0,1.0,,2.0,,1.0,,,,,1.0,,,,,,,1.0,0.3333333333333333,0.5,,0.3333333333333333,0.625,0.625,0.2727272727272727,0.25,0.3333333333333333,,0.6666666666666666,,1.0,1.0,0.2,,,,,0.09090909090909091,,,,0.18181818181818182,0.5,0.5,1.0,0.25,1.0,1.0,,,,,0.5,0.5,23.96666666666667,1.0,0.5,1.0,,0.5,1.0,,,0.5,1.0,,1.0,1.0,2.0,1.0,0.5,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2004,2003-04,False
1052-1723-1952-2221-731,1610612762,"Ben Handlogten, Matt Harpring, Raja Bell, Raul Lopez, Greg Ostertag","Handlogten, Harpring, Bell, Lopez, Ostertag",1052-1723-1952-2221-731,UTA,403.0,3,7.0,7.0,12.0,12.0,2.0,3.0,2.0,24.0,5.0,8.0,2.0,1.0,1.0,1.0,1.0,7.0,11.0,5.0,19.0,12.0,2.0,1.0,1.0,4.0,10.0,5.0,5.0,4.0,,10.0,2.0,3.0,3.0,2.0,5.0,,,1.0,,1.0,3.0,6.0,4.0,17.0,4.0,2.0,,0.7142857142857143,0.8333333333333334,0.6363636363636364,1.0,0.5833333333333334,1.0,0.6785714285714286,1.0,,0.5,1.0,0.75,0.5,0.6666666666666666,1.0,85.75682382133995,18.5,15.083333333333334,18.083333333333332,13.666666666666666,0.6666666666666666,0.625,0.625,0.8,0.08333333333333333,1.0,1.0,,1.0,1.0,1.0,0.75,0.5091333333333333,0.6226,0.5595,0.2857142857142857,0.3076923076923077,0.21052631578947367,4.336363636363637,0.16666666666666666,1.0,2.0,,,,,,1.0,,,,,,1.0,,,2.0,,,2.0,4.0,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,0.5,0.5,0.08333333333333333,,,,,,,1.0,,,0.16666666666666666,0.5,0.5,,,,,0.08333333333333333,,,,,,,,,,,,0.10526315789473684,25.0,,,,,,1.0,1.0,,0.5,,1.0,1.0,,2.0,,0.5,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2004,2003-04,False
1052-1723-1952-2260-2306,1610612762,"Ben Handlogten, Matt Harpring, Raja Bell, Jarron Collins, Carlos Arroyo","Handlogten, Harpring, Bell, Collins, Arroyo",1052-1723-1952-2260-2306,UTA,107.0,2,2.0,2.0,3.0,5.0,3.0,4.0,,8.0,1.0,1.0,,1.0,1.0,,2.0,1.0,3.0,2.0,4.0,2.0,,1.0,2.0,4.0,2.0,1.0,1.0,1.0,,2.0,1.0,,3.0,1.0,4.0,,,,,1.0,1.0,2.0,,4.0,4.0,3.0,,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.5,0.5,0.6666666666666666,,0.5,,0.5,0.5,,,107.66355140186916,23.0,7.6,23.0,5.4,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,,,,,0.5,1.0,0.3333333333333333,0.4586666666666666,,0.48465,,,1.0,12.666666666666666,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,2.0,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,0.5,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2004,2003-04,False
1052-1723-1952-2260-2590,1610612762,"Ben Handlogten, Matt Harpring, Raja Bell, Jarron Collins, Mo Williams","Handlogten, Harpring, Bell, Collins, Williams",1052-1723-1952-2260-2590,UTA,178.0,2,3.0,-1.0,5.0,5.0,2.0,2.0,2.0,10.0,1.0,3.0,1.0,1.0,3.0,,1.0,1.0,4.0,1.0,6.0,7.0,1.0,1.0,3.0,2.0,,,1.0,,,3.0,2.0,,1.0,2.0,3.0,,,2.0,,2.0,3.0,2.0,1.0,1.0,2.0,2.0,,,,0.25,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,,0.6666666666666666,,0.5,0.6666666666666666,0.5,,80.89887640449437,23.0,12.6,20.8,12.6,0.6,0.3333333333333333,0.5,,0.2,,,,0.5,1.0,0.3333333333333333,0.8,0.48342,0.48675,0.47256666666666663,0.16666666666666666,0.2,0.3333333333333333,5.475,0.4,,,,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,5.0,,,,2.0,3.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,2.0,,,2.0,,,1.0,,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.25,1.25,0.2,0.25,0.3333333333333333,,0.5,,,,1.0,,,,,,,,,0.2,1.0,1.0,1.0,0.5,1.0,1.0,,,,,1.0,0.8333333333333334,25.0,,,,,1.0,1.0,,1.0,1.0,1.0,,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2004,2003-04,False
