EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LostBallTurnovers,PenaltyTurnovers,Arc3FGM,SecondChanceArc3FGA,FG3M,SecondChanceFG3A,SecondChanceFtPoints,PtsAssisted3s,NonHeaveArc3FGM,Fg3aBlocked,ThreePtAssists,Arc3Assists,OffThreePtRebounds,FTDefRebounds,SelfOReb,LostBallSteals,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,BlockedLongMidRange,BlockedShortMidRange,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,DefFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,SelfORebPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,NonHeaveArc3Accuracy,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Accuracy,OffShortMidRangeReboundPct,OffCorner3ReboundPct,Technical Free Throw Trips,StepOutOfBoundsTurnovers,PtsUnassisted3s,Travels,SecondChanceAtRimPctAssisted,Corner3FGM,HeaveAttempts,Corner3Accuracy,UnblockedCorner3Accuracy,FTOffRebounds,OffFTReboundPct,Corner3Assists,Corner3PctAssisted,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,Clear Path Fouls,3pt And 1 Free Throw Trips,Blocked3s,BlockedCorner3,DefensiveGoaltends,3SecondViolations,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Defensive 3 Seconds Violations,PenaltyCorner3FGM,PenaltyCorner3Accuracy,team_id,year,season,team_vs
1425-2030-2210-446-467,1610612751,"Aaron Williams, Kenyon Martin, Richard Jefferson, Lucious Harris, Jason Kidd","Williams, Martin, Jefferson, Harris, Kidd",1425-2030-2210-446-467,NJN,911.0,8,15.0,8.0,28.0,28.0,9.0,10.0,1.0,56,6.0,10.0,1.0,2.0,3.0,6.0,3.0,4.0,1.0,3.0,1.0,1.0,3.0,1.0,10.0,17.0,4.0,9.0,29.0,21.0,1.0,2.0,2.0,4.0,8.0,2.0,3.0,11.0,12.0,8.0,2.0,3.0,3.0,6.0,6.0,4.0,1.0,1.0,12.0,3.0,4.0,10.0,14.0,3.0,17.0,2.0,2.0,2.0,1.0,2.0,4.0,6.0,1.0,3.0,8.0,2.0,12.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,27.0,11.0,9.0,0.6,0.6666666666666666,0.5882352941176471,0.5,0.5,0.47619047619047616,0.5,0.4,0.5576923076923077,0.5,0.4583333333333333,0.19047619047619047,0.17647058823529413,0.1,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.42857142857142855,1.0,0.875,0.2727272727272727,0.5,0.5,1.0,0.8571428571428571,0.5,1.0,1.0,88.51811196487377,1.0,14.607142857142858,17.928571428571427,14.428571428571429,17.857142857142858,0.47619047619047616,0.6,0.6666666666666666,0.6666666666666666,0.19047619047619047,0.75,0.75,0.3333333333333333,0.14285714285714285,0.3333333333333333,1.0,1.0,0.047619047619047616,0.14285714285714285,1.0,0.5,0.6,0.5,0.1,0.1,0.6666666666666666,0.5070690476190476,0.5611,0.52773,0.2,0.2,0.2,0.06896551724137931,0.3793103448275862,5.823529411764706,26.0,0.32142857142857145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2004,2003-04,False
1425-2030-2210-446-954,1610612751,"Aaron Williams, Kenyon Martin, Richard Jefferson, Lucious Harris, Kerry Kittles","Williams, Martin, Jefferson, Harris, Kittles",1425-2030-2210-446-954,NJN,66.0,2,1.0,,2.0,2.0,1.0,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,2.0,,,1.0,,,1.0,2.0,,,3.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,0.5,1.0,,1.0,1.0,,,,,1.0,,1.0,,87.27272727272727,,16.5,16.5,16.5,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2004,2003-04,False
1425-2030-2210-467-954,1610612751,"Aaron Williams, Kenyon Martin, Richard Jefferson, Jason Kidd, Kerry Kittles","Williams, Martin, Jefferson, Kidd, Kittles",1425-2030-2210-467-954,NJN,2860.0,10,48.0,-16.0,90.0,95.0,46.0,50.0,10.0,185,14.0,26.0,5.0,7.0,9.0,15.0,3.0,11.0,6.0,13.0,2.0,2.0,10.0,,23.0,50.0,12.0,26.0,81.0,97.0,5.0,8.0,12.0,13.0,31.0,2.0,13.0,39.0,24.0,22.0,10.0,10.0,4.0,12.0,15.0,8.0,1.0,3.0,33.0,7.0,10.0,21.0,38.0,10.0,48.0,7.0,5.0,11.0,2.0,6.0,9.0,20.0,,17.0,30.0,2.0,37.0,1.0,14.0,,5.0,7.0,3.0,7.0,6.0,69.0,39.0,46.0,0.5217391304347826,0.6666666666666666,0.46,0.625,0.41935483870967744,0.4435483870967742,0.5555555555555556,0.3939393939393939,0.50625,0.6,0.45348837209302323,0.1935483870967742,0.08,0.11538461538461539,,0.55,0.6774193548387096,0.25925925925925924,0.7692307692307693,0.7045454545454546,0.2777777777777778,0.5,0.14285714285714285,0.5555555555555556,0.6363636363636364,0.8181818181818182,0.8888888888888888,0.5,93.14685314685315,0.8571428571428571,15.133333333333333,15.76842105263158,14.866666666666667,15.294736842105262,0.41935483870967744,0.5384615384615384,0.6086956521739131,0.5714285714285714,0.1774193548387097,0.2727272727272727,0.3,0.3333333333333333,0.20967741935483872,0.46153846153846156,0.46153846153846156,0.5,0.03225806451612903,0.16129032258064516,0.7777777777777778,0.7142857142857143,0.45454545454545453,0.6,0.06060606060606061,,0.6129032258064516,0.5208298387096774,0.5441666666666667,0.5030772727272728,0.18666666666666668,0.2222222222222222,,0.14814814814814814,0.48148148148148145,7.03,24.349999999999998,0.5111111111111111,5.0,10.0,3.0,1.0,3.0,1.0,2.0,9.0,3.0,1.0,3.0,3.0,3.0,7.0,3.0,2.0,2.0,3.0,1.0,3.0,4.0,1.0,0.25,0.25,0.08333333333333333,0.09090909090909091,0.1,1.0,0.3333333333333333,0.42857142857142855,0.0967741935483871,0.3,0.3333333333333333,1.0,0.1111111111111111,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2004,2003-04,False
1425-2030-2220-2565-954,1610612751,"Aaron Williams, Kenyon Martin, Brandon Armstrong, Zoran Planinic, Kerry Kittles","Williams, Martin, Armstrong, Planinic, Kittles",1425-2030-2220-2565-954,NJN,135.0,1,2.0,4.0,4.0,3.0,4.0,3.0,,7,2.0,2.0,,,2.0,2.0,,1.0,,,,,1.0,1.0,2.0,3.0,1.0,,7.0,3.0,,,,2.0,3.0,1.0,,7.0,4.0,,,1.0,,2.0,3.0,2.0,,,7.0,,,1.0,2.0,,2.0,,,,,,,,,2.0,2.0,,,,,,,,,,,7.0,7.0,4.0,1.0,1.0,0.6666666666666666,,0.6666666666666666,0.875,,0.875,0.875,,0.875,0.25,,,,,1.0,,,1.0,,,,,1.0,,,,74.66666666666667,,18.25,20.666666666666668,18.25,20.666666666666668,0.5,1.0,1.0,1.0,0.25,,,,,,,,,0.25,,,0.5,1.0,,0.25,0.75,0.5126125,,0.5126125,,,,,1.0,1.9333333333333333,24.5,1.0,,,1.0,,1.0,,,3.0,1.0,,1.0,1.0,,1.0,,,,,,,,1.0,1.0,1.0,,,,1.0,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2004,2003-04,False
1425-2030-2220-446-915,1610612751,"Aaron Williams, Kenyon Martin, Brandon Armstrong, Lucious Harris, Rodney Rogers","Williams, Martin, Armstrong, Harris, Rogers",1425-2030-2220-446-915,NJN,28.0,1,,2.0,1.0,,,,,1,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,,2.0,,,,,,,,,,2.0,,,,,1.0,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,1.0,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,51.42857142857143,,8.0,,8.0,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,0.3956,,,,,,,,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2004,2003-04,False
1425-2030-2243-446-467,1610612751,"Aaron Williams, Kenyon Martin, Brian Scalabrine, Lucious Harris, Jason Kidd","Williams, Martin, Scalabrine, Harris, Kidd",1425-2030-2243-446-467,NJN,243.0,2,4.0,-4.0,7.0,8.0,,,1.0,15,,1.0,,1.0,,,1.0,2.0,,,1.0,,2.0,,1.0,3.0,3.0,1.0,3.0,7.0,,1.0,,,,,,,2.0,,,2.0,1.0,1.0,1.0,,1.0,,2.0,,,1.0,1.0,1.0,2.0,3.0,2.0,1.0,,1.0,,1.0,,1.0,3.0,,2.0,,1.0,,,,,,,3.0,,,1.0,1.0,0.3333333333333333,,,0.16666666666666666,,,0.21428571428571427,,,0.5,0.3333333333333333,1.0,,1.0,1.0,,,1.0,0.2,,,1.0,,,,,88.88888888888889,,18.0,14.625,14.714285714285714,14.625,0.16666666666666666,,,,0.3333333333333333,0.5,0.5,1.0,,,,,0.16666666666666666,0.3333333333333333,1.0,,,,,,0.6666666666666666,0.47918333333333335,0.4311,,0.14285714285714285,0.25,,,,6.466666666666666,24.433333333333334,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2004,2003-04,False
1425-2030-2243-446-954,1610612751,"Aaron Williams, Kenyon Martin, Brian Scalabrine, Lucious Harris, Kerry Kittles","Williams, Martin, Scalabrine, Harris, Kittles",1425-2030-2243-446-954,NJN,42.0,1,1.0,,2.0,1.0,,,1.0,3,,2.0,,1.0,,,,1.0,,,,,,,,3.0,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,3.0,,,,3.0,3.0,1.0,,1.0,,,,1.0,,,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,0.5,,1.0,,1.0,,,1.0,1.0,,,,,,,102.85714285714286,,8.5,25.0,6.0,20.0,0.6666666666666666,,,,0.3333333333333333,,,,,,,,,,0.5,,,,,,0.6666666666666666,0.5894,0.44535,,0.25,0.25,,,,3.4333333333333336,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2004,2003-04,False
1425-2030-446-467-915,1610612751,"Aaron Williams, Kenyon Martin, Lucious Harris, Jason Kidd, Rodney Rogers","Williams, Martin, Harris, Kidd, Rogers",1425-2030-446-467-915,NJN,605.0,5,10.0,-3.0,17.0,17.0,5.0,,4.0,34,2.0,6.0,,2.0,1.0,1.0,1.0,4.0,2.0,5.0,,,2.0,1.0,5.0,15.0,2.0,5.0,18.0,21.0,2.0,4.0,4.0,2.0,3.0,1.0,2.0,9.0,10.0,,,2.0,2.0,5.0,6.0,2.0,1.0,2.0,13.0,3.0,1.0,2.0,6.0,4.0,10.0,1.0,1.0,,,,1.0,1.0,,5.0,12.0,1.0,6.0,,2.0,,1.0,,,,,14.0,9.0,5.0,1.0,1.0,0.3333333333333333,0.5,0.6666666666666666,0.38235294117647056,0.5,0.875,0.45,0.5,0.9,0.11764705882352941,0.13333333333333333,0.16666666666666666,,,0.4,0.3,1.0,0.5,0.36363636363636365,0.25,,,1.0,0.5,1.0,,80.92561983471074,,17.823529411764707,17.764705882352942,16.823529411764707,17.0,0.35294117647058826,0.3333333333333333,0.4,1.0,0.23529411764705882,0.25,0.3333333333333333,1.0,0.29411764705882354,0.4,0.4,1.0,,0.11764705882352941,0.5,,0.25,1.0,,0.25,0.47058823529411764,0.5019382352941176,0.6002666666666666,0.57925,0.10526315789473684,0.11764705882352941,,0.2222222222222222,0.5,8.406666666666666,24.65,0.29411764705882354,,1.0,1.0,,1.0,,,3.0,1.0,,1.0,1.0,1.0,3.0,1.0,,,,,,,1.0,0.5,0.5,,0.25,,1.0,1.0,1.0,0.1111111111111111,0.5,0.5,1.0,,0.5,1.0,1.0,1.0,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2004,2003-04,False
1425-2030-446-467-954,1610612751,"Aaron Williams, Kenyon Martin, Lucious Harris, Jason Kidd, Kerry Kittles","Williams, Martin, Harris, Kidd, Kittles",1425-2030-446-467-954,NJN,15.0,1,,,1.0,,1.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,,15.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2004,2003-04,False
1425-2030-446-915-954,1610612751,"Aaron Williams, Kenyon Martin, Lucious Harris, Rodney Rogers, Kerry Kittles","Williams, Martin, Harris, Rogers, Kittles",1425-2030-446-915-954,NJN,232.0,3,4.0,1.0,6.0,6.0,,,1.0,12,1.0,1.0,,,,,,,1.0,2.0,1.0,,1.0,,2.0,3.0,2.0,,4.0,3.0,1.0,1.0,2.0,,,,,,4.0,,,1.0,,2.0,2.0,1.0,,1.0,4.0,,1.0,,1.0,1.0,2.0,,,,1.0,,2.0,2.0,,1.0,2.0,,,,,,,,,,,2.0,,,1.0,1.0,0.6666666666666666,1.0,,0.4,1.0,,0.4,1.0,,0.4,,,,,,,1.0,0.3333333333333333,0.3333333333333333,,,,,,1.0,,74.48275862068965,,16.833333333333332,21.833333333333332,15.833333333333334,19.833333333333332,0.2,1.0,1.0,1.0,,,,,0.4,0.5,0.5,1.0,0.2,0.2,,,,,,,0.6,0.51405,,,,,,0.5,,11.5,24.1,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,0.5,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2004,2003-04,False
