EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,Fouls,Loose Ball Fouls,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,DefThreePtRebounds,DefThreePtReboundPct,DefCorner3ReboundPct,PenaltyOffPoss,PenaltyFG2A,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Offensive Fouls,PenaltyOffPossExcludingTakeFouls,PenaltyShotQualityAvg,PenaltyOffPossPct,FtPoints,PenaltyFtPoints,PenaltyPoints,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyTsPct,PenaltyPointsPct,LongMidRangeFGM,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG3M,OpponentPoints,PenaltyFG2M,PenaltyFG3M,PenaltyFG3A,PtsUnassisted2s,PtsAssisted3s,ThreePtAssists,Corner3Assists,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,LiveBallTurnoverPct,DefShortMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,AtRimFGA,Fg2aBlocked,LongMidRangeAssists,FTDefRebounds,SecondChanceTurnovers,ShootingFouls,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,AtRimFrequency,LongMidRangePctAssisted,AtRimFGM,AtRimAssists,TwoPtShootingFoulsDrawn,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyDefPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGA,BadPassOutOfBoundsTurnovers,Travels,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PtsPutbacks,SelfOReb,LostBallSteals,ShortMidRangePctBlocked,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,Arc3FGM,PenaltyArc3FGM,NonHeaveArc3FGM,Arc3Assists,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,2pt And 1 Free Throw Trips,HeaveAttempts,OffThreePtRebounds,FTOffRebounds,OffensiveGoaltends,OffFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,SecondChanceFtPoints,3SecondViolations,OffCorner3ReboundPct,Technical Free Throw Trips,PtsUnassisted3s,StepOutOfBoundsTurnovers,Defensive 3 Seconds Violations,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceArc3Frequency,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,LostBallOutOfBoundsTurnovers,DefensiveGoaltends,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,LongMidRangePctBlocked,SecondChanceArc3FGM,SecondChanceArc3Accuracy,Clear Path Fouls,SecondChanceArc3PctAssisted,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedLongMidRange,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Corner3PctBlocked,Blocked3s,BlockedArc3,BlockedCorner3,team_id,year,season,team_vs
1510-1890-2063-2560-358,1610612756,"Brevin Knight, Shawn Marion, Jake Voskuhl, Zarko Cabarkapa, Anfernee Hardaway","Knight, Marion, Voskuhl, Cabarkapa, Hardaway",1510-1890-2063-2560-358,PHX,114.0,1,2.0,2.0,3.0,3.0,1.0,6.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.25,1.0,0.25,1.0,0.25,0.5,0.5,0.5,0.3333333333333333,1.0,0.5,1.0,75.78947368421053,0.5,16.666666666666668,21.333333333333332,13.666666666666666,18.333333333333332,0.5,0.5,0.5,1.0,0.25,0.25,0.25,0.4257625,0.3576,1.0,11.433333333333332,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2004,2003-04,True
1510-1890-2207-2405-339,1610612756,"Brevin Knight, Shawn Marion, Joe Johnson, Amar'e Stoudemire, Tom Gugliotta","Knight, Marion, Johnson, Stoudemire, Gugliotta",1510-1890-2207-2405-339,PHX,24.0,1,,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,120.0,,7.0,17.0,7.0,17.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2004,2003-04,True
1510-1890-2207-2418-339,1610612756,"Brevin Knight, Shawn Marion, Joe Johnson, Casey Jacobsen, Tom Gugliotta","Knight, Marion, Johnson, Jacobsen, Gugliotta",1510-1890-2207-2418-339,PHX,50.0,1,1.0,,2.0,1.0,,3.0,,1.0,,,,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,,,2.0,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,86.39999999999999,,11.5,27.0,11.5,27.0,1.0,,,,,,,0.4103,,,13.6,,,,,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.4103,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2004,2003-04,True
1510-1890-2207-2418-950,1610612756,"Brevin Knight, Shawn Marion, Joe Johnson, Casey Jacobsen, Stephon Marbury","Knight, Marion, Johnson, Jacobsen, Marbury",1510-1890-2207-2418-950,PHX,2.0,1,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2004,2003-04,True
1510-1890-2207-2560-339,1610612756,"Brevin Knight, Shawn Marion, Joe Johnson, Zarko Cabarkapa, Tom Gugliotta","Knight, Marion, Johnson, Cabarkapa, Gugliotta",1510-1890-2207-2560-339,PHX,110.0,1,2.0,3.0,4.0,4.0,,8.0,,,1.0,,1.0,1.0,1.0,5.0,,,,,,,1.0,,3.0,,2.0,2.0,,2.0,,,1.0,,,,,,,,,1.0,,1.25,,1.25,,0.5,0.6666666666666666,,0.6666666666666666,,,0.5,,104.72727272727273,,12.0,15.5,12.0,15.0,,,,,0.5,,0.5,0.45755,,,19.3,24.4,,,,4.0,1.0,,2.0,2.0,,4.0,0.45755,1.0,,,5.0,,,5.0,5.0,1.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2004,2003-04,True
1510-1890-2405-2560-358,1610612756,"Brevin Knight, Shawn Marion, Amar'e Stoudemire, Zarko Cabarkapa, Anfernee Hardaway","Knight, Marion, Stoudemire, Cabarkapa, Hardaway",1510-1890-2405-2560-358,PHX,214.0,1,4.0,-2.0,7.0,7.0,1.0,14.0,,,5.0,,1.0,6.0,,2.0,,,,2.0,,1.0,1.0,,2.0,2.0,3.0,4.0,2.0,6.0,2.0,2.0,2.0,,1.0,1.0,,1.0,1.0,1.0,1.0,0.16666666666666666,,0.16666666666666666,,0.16666666666666666,,,0.75,0.5,0.75,0.5,0.6666666666666666,1.0,0.6666666666666666,94.2056074766355,1.0,20.285714285714285,10.285714285714286,18.142857142857142,9.285714285714286,,,,,0.8333333333333334,,0.16666666666666666,0.4023833333333333,,,15.083333333333334,,,,,,,2.0,4.0,,,,,,,,,,,2.0,,,,1.0,,,,,,4.0,,,,,,,,2.0,1.0,1.0,,,,,,,0.5,,0.2,0.2,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.16666666666666666,1.0,1.0,0.16666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2004,2003-04,True
1510-1890-2405-339-358,1610612756,"Brevin Knight, Shawn Marion, Amar'e Stoudemire, Tom Gugliotta, Anfernee Hardaway","Knight, Marion, Stoudemire, Gugliotta, Hardaway",1510-1890-2405-339-358,PHX,171.0,2,3.0,-4.0,6.0,5.0,1.0,11.0,,,2.0,,1.0,4.0,,3.0,,1.0,,2.0,,1.0,1.0,,2.0,,2.0,3.0,,3.0,,,2.0,,,,,,,1.0,1.0,0.25,,0.25,,0.25,,,1.0,,1.0,,,,,92.63157894736842,,19.166666666666668,11.2,17.666666666666668,11.2,,,,,0.5,,0.5,0.4203,0.3846,,9.775,,,,,,,,1.0,,,,,,1.0,,,4.0,,3.0,,,,,,,,,,7.0,,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,2.0,,,1.0,,2.0,,,1.0,0.5,,1.0,1.0,2.0,0.5,0.5,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2004,2003-04,True
1510-1890-2405-358-950,1610612756,"Brevin Knight, Shawn Marion, Amar'e Stoudemire, Anfernee Hardaway, Stephon Marbury","Knight, Marion, Stoudemire, Hardaway, Marbury",1510-1890-2405-358-950,PHX,81.0,1,1.0,-3.0,2.0,3.0,,5.0,,,1.0,,1.0,2.0,,2.0,,,,2.0,,1.0,1.0,,2.0,,1.0,1.0,,1.0,,,1.0,,,,,,,1.0,1.0,0.5,,0.5,,0.5,,,1.0,,1.0,,,1.0,,88.88888888888889,,11.0,19.666666666666668,11.0,19.666666666666668,,,,,0.5,,0.5,0.47825,,,9.75,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,0.5,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2004,2003-04,True
1510-2063-2560-339-358,1610612756,"Brevin Knight, Jake Voskuhl, Zarko Cabarkapa, Tom Gugliotta, Anfernee Hardaway","Knight, Voskuhl, Cabarkapa, Gugliotta, Hardaway",1510-2063-2560-339-358,PHX,255.0,1,4.0,,9.0,10.0,,19.0,,,1.0,2.0,3.0,3.0,2.0,6.0,,,,6.0,2.0,3.0,3.0,,6.0,,3.0,4.0,,4.0,1.0,1.0,2.0,,,,,,,1.0,1.0,1.0,,0.6,,0.6,,0.4,0.75,,0.8,,,,1.0,107.29411764705883,,11.444444444444445,15.2,11.444444444444445,14.4,,,,,0.2,0.4,0.8,0.61351,,,5.666666666666667,24.9,1.0,1.0,1.0,2.0,1.0,3.0,4.0,,1.0,2.0,0.697925,0.2222222222222222,,,2.0,,,6.0,2.0,0.5,0.3333333333333333,1.0,,,,,,6.0,1.0,,1.0,,,,,1.0,1.0,,,,,,1.0,0.5,0.25,0.5,1.0,1.0,,,,,,,2.0,,1.0,,,1.0,,,,0.4,1.0,2.0,2.0,,1.0,1.0,1.0,,,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2004,2003-04,True
1510-2405-2560-339-358,1610612756,"Brevin Knight, Amar'e Stoudemire, Zarko Cabarkapa, Tom Gugliotta, Anfernee Hardaway","Knight, Stoudemire, Cabarkapa, Gugliotta, Hardaway",1510-2405-2560-339-358,PHX,31.0,1,1.0,-2.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.9032258064516,,21.0,10.0,21.0,10.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2004,2003-04,True
