EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,3SecondViolations,FirstChancePoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyDefPoss,ShortMidRangeFGM,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,FtPoints,SecondChanceFtPoints,PtsAssisted2s,PtsUnassisted3s,Fg2aBlocked,TwoPtAssists,AtRimAssists,LongMidRangeAssists,BadPassOutOfBoundsTurnovers,LostBallTurnovers,BlockedShortMidRange,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,FG2APctBlocked,AtRimPctBlocked,OffAtRimReboundPct,DefShortMidRangeReboundPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Steals,BadPassSteals,SecondChanceShotQualityAvg,PenaltyOffPoss,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,ShortMidRangeAssists,Loose Ball Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,ShortMidRangePctAssisted,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGA,PenaltyFG3A,PenaltyFtPoints,Fg3aBlocked,Corner3Assists,PenaltyTurnovers,2pt And 1 Free Throw Trips,Technical Free Throw Trips,NonShootingFoulsDrawn,FG3APctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,OffCorner3ReboundPct,DefCorner3ReboundPct,Corner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,LostBallSteals,StepOutOfBoundsTurnovers,SecondChanceCorner3FGA,SecondChanceFG3A,SelfOReb,BlockedLongMidRange,OffLongMidRangeReboundPct,SelfORebPct,SecondChanceCorner3Frequency,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,Travels,DefensiveGoaltends,PenaltyFg3Pct,PenaltyCorner3Frequency,PenaltyArc3Accuracy,Clear Path Fouls,FTOffRebounds,LostBallOutOfBoundsTurnovers,OffFTReboundPct,LongMidRangePctBlocked,SecondChanceArc3FGA,HeaveAttempts,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceCorner3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3FGM,OffensiveGoaltends,PenaltyCorner3Accuracy,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedCorner3,BlockedArc3,team_id,year,season,team_vs
1504-1712-1717-2059-959,1610612742,"Danny Fortson, Antawn Jamison, Dirk Nowitzki, Eduardo Najera, Steve Nash","Fortson, Jamison, Nowitzki, Najera, Nash",1504-1712-1717-2059-959,DAL,189.0,1,3.0,3.0,5.0,6.0,2.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,5.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,6.0,2.0,8.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.5,0.5,0.5,1.0,0.625,1.0,0.5,1.0,0.5,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,83.80952380952381,1.0,17.8,16.666666666666668,14.8,16.666666666666668,0.25,1.0,1.0,0.25,0.5,0.5,0.5,1.0,1.0,1.0,0.75,0.5,0.5178625,0.2,0.3333333333333333,0.4,2.8,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2004,2003-04,True
1504-1712-1717-2572-2605,1610612742,"Danny Fortson, Antawn Jamison, Dirk Nowitzki, Josh Howard, Marquis Daniels","Fortson, Jamison, Nowitzki, Howard, Daniels",1504-1712-1717-2572-2605,DAL,864.0,5,14.0,-18.0,31.0,30.0,3.0,61.0,4.0,8.0,,,5.0,2.0,3.0,6.0,20.0,3.0,4.0,29.0,47.0,,,2.0,6.0,,,3.0,2.0,,3.0,,6.0,,1.0,,7.0,,7.0,1.0,8.0,3.0,2.0,1.0,4.0,2.0,5.0,7.0,,8.0,4.0,1.0,,1.0,1.0,,27.0,,0.75,0.75,0.3,,0.4375,,0.5178571428571429,1.0,0.16666666666666666,0.75,,0.5833333333333334,0.07142857142857142,,,0.5833333333333334,0.06666666666666667,,,0.3333333333333333,0.4,,101.66666666666666,1.0,14.870967741935484,13.433333333333334,14.32258064516129,12.733333333333333,0.3333333333333333,0.5,0.6666666666666666,0.20833333333333334,0.125,0.6666666666666666,0.6666666666666666,,,,0.5,0.6666666666666666,0.49435416666666665,0.14285714285714285,0.16666666666666666,0.06896551724137931,8.855,25.225,5.0,1.0,1.0,7.0,1.0,1.0,8.0,2.0,6.0,9.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.1,0.25,0.25,1.0,0.5,0.2,0.2,0.2916666666666667,0.14285714285714285,0.14285714285714285,1.0,0.041666666666666664,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2004,2003-04,True
1504-1712-1717-2572-696,1610612742,"Danny Fortson, Antawn Jamison, Dirk Nowitzki, Josh Howard, Travis Best","Fortson, Jamison, Nowitzki, Howard, Best",1504-1712-1717-2572-696,DAL,190.0,4,3.0,4.0,6.0,6.0,1.0,12.0,2.0,3.0,,1.0,2.0,,,5.0,7.0,,,10.0,6.0,,1.0,,4.0,,,,,,3.0,,6.0,,1.0,,2.0,,2.0,1.0,3.0,,,,,,1.0,2.0,,,,,,,,,10.0,,,,0.7142857142857143,,0.7142857142857143,,0.7142857142857143,,,,,1.0,0.5,,,1.0,0.5,1.0,,1.0,1.0,,90.94736842105263,,10.833333333333334,20.833333333333332,10.5,20.833333333333332,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.2857142857142857,,,,,1.0,,0.42857142857142855,,0.5046714285714285,,,,7.085714285714286,,4.0,1.0,2.0,2.0,,,,,6.0,,,3.0,2.0,1.0,,,,,,0.6,0.6,,,,,1.0,0.5,0.5,0.2857142857142857,1.0,1.0,0.5,,,,1.0,1.0,0.5463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2004,2003-04,True
1504-1712-1717-2572-714,1610612742,"Danny Fortson, Antawn Jamison, Dirk Nowitzki, Josh Howard, Michael Finley","Fortson, Jamison, Nowitzki, Howard, Finley",1504-1712-1717-2572-714,DAL,283.0,3,5.0,2.0,9.0,7.0,2.0,16.0,1.0,1.0,,,1.0,1.0,3.0,3.0,5.0,1.0,3.0,13.0,11.0,,2.0,,,,,3.0,1.0,,3.0,,6.0,1.0,,,2.0,,2.0,1.0,3.0,,,1.0,1.0,1.0,1.0,3.0,,4.0,2.0,1.0,1.0,1.0,1.0,,13.0,,0.3333333333333333,0.3333333333333333,0.6,,0.5625,,0.65,,0.375,,,1.0,,,0.5,0.6666666666666666,0.3333333333333333,,0.5,1.0,1.0,,81.41342756183745,1.0,15.666666666666666,20.285714285714285,13.222222222222221,19.857142857142858,0.125,1.0,1.0,0.125,0.375,0.3333333333333333,0.3333333333333333,,,,0.5,0.3333333333333333,0.454075,0.2,0.2857142857142857,,13.14,24.433333333333334,,1.0,1.0,3.0,,,4.0,,6.0,3.0,,3.0,1.0,1.0,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,0.375,0.3333333333333333,0.3333333333333333,1.0,,,,,,0.3961,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.2968,0.15384615384615385,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2004,2003-04,True
1504-1712-1717-2572-959,1610612742,"Danny Fortson, Antawn Jamison, Dirk Nowitzki, Josh Howard, Steve Nash","Fortson, Jamison, Nowitzki, Howard, Nash",1504-1712-1717-2572-959,DAL,1587.0,9,26.0,-10.0,49.0,52.0,4.0,101.0,7.0,11.0,2.0,2.0,10.0,,6.0,19.0,33.0,1.0,9.0,52.0,62.0,2.0,2.0,7.0,12.0,3.0,4.0,6.0,,1.0,14.0,,29.0,2.0,4.0,3.0,15.0,1.0,19.0,6.0,25.0,6.0,5.0,1.0,7.0,1.0,9.0,11.0,,18.0,8.0,,,,,,45.0,1.0,0.1111111111111111,0.1111111111111111,0.5757575757575758,1.0,0.4880952380952381,1.0,0.51,0.875,0.21428571428571427,0.8571428571428571,1.0,0.6,0.2857142857142857,0.6,0.25,0.6,0.2727272727272727,0.6666666666666666,0.16666666666666666,0.6153846153846154,0.5,0.5,91.64461247637051,,17.0,14.5,16.73469387755102,13.461538461538462,0.2619047619047619,0.6363636363636364,0.7777777777777778,0.23809523809523808,0.14285714285714285,,,,1.0,1.0,0.47619047619047616,,0.4898821428571429,0.16326530612244897,0.2,0.1346153846153846,9.112121212121211,24.48888888888889,8.0,7.0,5.0,12.0,1.0,3.0,11.0,3.0,26.0,,3.0,13.0,3.0,5.0,1.0,1.0,,,,0.6842105263157895,0.7647058823529411,0.09090909090909091,0.18181818181818182,0.5,0.75,0.42857142857142855,0.7,0.7777777777777778,0.2857142857142857,0.4166666666666667,0.4166666666666667,1.0,0.07142857142857142,0.3333333333333333,0.3333333333333333,1.0,1.0,0.5107,18.0,8.0,14.0,21.0,5.0,,21.0,18.0,0.5714285714285714,0.5333333333333333,0.525,0.7142857142857143,0.4778333333333334,0.40384615384615385,0.3673469387755102,2.0,4.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,0.1111111111111111,0.1,0.16666666666666666,0.5,1.0,1.0,0.26666666666666666,0.5,0.06666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2004,2003-04,True
1504-1712-1717-2572-960,1610612742,"Danny Fortson, Antawn Jamison, Dirk Nowitzki, Josh Howard, Tony Delk","Fortson, Jamison, Nowitzki, Howard, Delk",1504-1712-1717-2572-960,DAL,124.0,1,2.0,4.0,4.0,5.0,,9.0,2.0,2.0,,,,,,2.0,2.0,,,8.0,4.0,,,,,,,,,,2.0,,4.0,,,1.0,1.0,,2.0,,2.0,,,,,,1.0,1.0,,4.0,2.0,,,,,,8.0,,,,1.0,,1.0,,1.0,,,,,0.5,,1.0,,0.6666666666666666,,,,,,1.0,104.51612903225805,,8.5,18.0,8.5,17.0,1.0,1.0,1.0,,,,,,,,1.0,,0.64705,0.5,0.5,,,,3.0,,,,,,4.0,,4.0,,,2.0,2.0,,,,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,1.0,,,1.0,,,2.0,,,2.0,1.0,,,1.0,,,0.25,0.25,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2004,2003-04,True
1504-1712-1717-2605-696,1610612742,"Danny Fortson, Antawn Jamison, Dirk Nowitzki, Marquis Daniels, Travis Best","Fortson, Jamison, Nowitzki, Daniels, Best",1504-1712-1717-2605-696,DAL,366.0,1,6.0,-5.0,13.0,14.0,,27.0,2.0,6.0,,,,,,4.0,9.0,1.0,2.0,11.0,16.0,,,,,3.0,,,,1.0,5.0,,11.0,,,,3.0,1.0,4.0,,4.0,1.0,1.0,1.0,2.0,,1.0,3.0,,,,,,,,,11.0,1.0,0.5,0.5,0.4444444444444444,,0.5,,0.5,,0.18181818181818182,0.5,1.0,0.5,,,,0.5,,,,0.5,1.0,,106.22950819672131,,12.846153846153847,14.214285714285714,12.846153846153847,14.071428571428571,0.5454545454545454,0.3333333333333333,0.5,,,,,,,,0.7272727272727273,,0.5526772727272727,,,,5.222222222222222,23.5,3.0,,2.0,3.0,1.0,2.0,,,8.0,,2.0,4.0,2.0,2.0,,,,,1.0,1.0,1.0,0.2222222222222222,0.3333333333333333,,0.3333333333333333,1.0,,,0.2727272727272727,0.6666666666666666,0.6666666666666666,1.0,0.18181818181818182,0.5,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2004,2003-04,True
1504-1712-1717-2605-714,1610612742,"Danny Fortson, Antawn Jamison, Dirk Nowitzki, Marquis Daniels, Michael Finley","Fortson, Jamison, Nowitzki, Daniels, Finley",1504-1712-1717-2605-714,DAL,558.0,3,9.0,,19.0,19.0,,38.0,3.0,4.0,,,,3.0,6.0,4.0,8.0,3.0,6.0,24.0,24.0,,,,4.0,9.0,,6.0,3.0,3.0,5.0,3.0,13.0,,,,4.0,,4.0,,4.0,2.0,2.0,1.0,3.0,,2.0,4.0,1.0,7.0,5.0,,,,,,24.0,1.0,0.5,0.5,0.5,,0.6071428571428571,,0.75,,0.42857142857142855,0.6666666666666666,,0.8,,,,0.6666666666666666,,,,,1.0,,98.06451612903226,,15.368421052631579,14.0,15.368421052631579,13.421052631578947,0.2857142857142857,0.75,1.0,,0.42857142857142855,0.5,0.5,1.0,,,0.7142857142857143,0.5,0.5235071428571428,0.3125,0.5,,9.6625,24.683333333333334,,,1.0,4.0,,,7.0,,4.0,,1.0,2.0,1.0,1.0,,,,,,0.5,0.5,0.125,0.25,,1.0,0.3333333333333333,,,0.2857142857142857,0.25,0.25,1.0,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2004,2003-04,True
1504-1712-1717-2605-959,1610612742,"Danny Fortson, Antawn Jamison, Dirk Nowitzki, Marquis Daniels, Steve Nash","Fortson, Jamison, Nowitzki, Daniels, Nash",1504-1712-1717-2605-959,DAL,680.0,4,11.0,-10.0,20.0,20.0,3.0,40.0,2.0,4.0,,,5.0,,5.0,4.0,11.0,,6.0,13.0,23.0,,,,4.0,,,5.0,,,2.0,,4.0,2.0,2.0,2.0,2.0,,4.0,4.0,8.0,4.0,4.0,,4.0,2.0,4.0,7.0,,7.0,4.0,2.0,1.0,2.0,1.0,,13.0,,,,0.36363636363636365,,0.23529411764705882,,0.325,,0.35294117647058826,1.0,,0.3333333333333333,0.2857142857142857,0.5,0.3333333333333333,0.4,0.3076923076923077,,0.4,,0.5,0.5,84.70588235294117,0.5,18.65,15.35,17.65,14.8,0.23529411764705882,0.5,0.5,0.29411764705882354,0.29411764705882354,,,,,,0.5882352941176471,,0.4720382352941176,0.2,0.2857142857142857,,6.9363636363636365,24.583333333333332,5.0,1.0,1.0,2.0,,1.0,5.0,,4.0,,,2.0,1.0,1.0,,,,,1.0,0.5,0.5,,,0.5,0.3333333333333333,0.5,0.2,0.2,0.11764705882352941,0.5,0.5,1.0,0.058823529411764705,,,1.0,,,3.0,1.0,1.0,3.0,,,3.0,3.0,1.0,0.5,0.75,,0.45275,0.23076923076923078,0.15,,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,0.5,1.0,,1.0,1.0,1.0,1.0,1.0,0.07692307692307693,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2004,2003-04,True
1504-1712-1717-696-714,1610612742,"Danny Fortson, Antawn Jamison, Dirk Nowitzki, Travis Best, Michael Finley","Fortson, Jamison, Nowitzki, Best, Finley",1504-1712-1717-696-714,DAL,1242.0,9,21.0,,39.0,40.0,2.0,79.0,2.0,6.0,,1.0,8.0,2.0,5.0,13.0,28.0,2.0,7.0,40.0,40.0,,2.0,,6.0,6.0,,5.0,2.0,2.0,12.0,2.0,26.0,1.0,2.0,2.0,16.0,,18.0,3.0,21.0,2.0,1.0,1.0,3.0,,3.0,6.0,,10.0,5.0,,,,,,40.0,1.0,0.2857142857142857,0.2857142857142857,0.4642857142857143,,0.45714285714285713,,0.5128205128205128,,0.2,0.6666666666666666,,0.6153846153846154,0.13333333333333333,1.0,0.25,0.6428571428571429,0.15789473684210525,,0.5,0.3333333333333333,0.625,1.0,91.59420289855073,,15.0,16.425,14.64102564102564,15.65,0.17142857142857143,0.3333333333333333,0.3333333333333333,0.22857142857142856,0.14285714285714285,0.4,0.4,1.0,0.5,,0.37142857142857144,0.4,0.4504385714285714,0.13157894736842105,0.16129032258064516,,13.049999999999999,25.857142857142858,10.0,3.0,8.0,14.0,,2.0,8.0,,20.0,,1.0,10.0,1.0,7.0,,1.0,,,2.0,0.7692307692307693,0.7692307692307693,0.03571428571428571,,0.25,0.7142857142857143,0.5,0.375,0.42857142857142855,0.4,0.5714285714285714,0.5714285714285714,0.875,0.05714285714285714,,,2.0,1.0,0.48665,5.0,1.0,1.0,8.0,2.0,1.0,8.0,5.0,1.0,0.5,0.6666666666666666,0.6666666666666666,0.46207000000000004,0.2,0.1282051282051282,,,2.0,4.0,3.0,,,,2.0,,1.0,,0.125,,,,,,,0.4,1.0,,,,,,0.16666666666666666,,,2.0,1.0,1.0,1.0,1.0,0.25,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2004,2003-04,True
