EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,Offensive Fouls,FTA,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Frequency,PenaltyCorner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PlusMinus,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,PenaltyFG2M,PenaltyFG2A,PtsUnassisted2s,Fg2aBlocked,LongMidRangeAssists,LiveBallTurnovers,LostBallTurnovers,ShootingFouls,NonShootingPenaltyNonTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,Arc3FGA,NonHeaveArc3FGA,Steals,BadPassSteals,TwoPtShootingFoulsDrawn,Arc3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,DefThreePtRebounds,DefThreePtReboundPct,DefArc3ReboundPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,OffTwoPtRebounds,SelfOReb,BadPassTurnovers,BlockedLongMidRange,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChancePointsPct,Corner3FGM,Arc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,FG3M,SecondChanceFG3A,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,ThreePtAssists,Corner3Assists,LostBallSteals,Loose Ball Fouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,OffLongMidRangeReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyArc3Frequency,NonHeaveArc3Accuracy,3SecondViolations,SecondChanceFtPoints,Arc3Assists,BadPassOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,Technical Free Throw Trips,ShortMidRangePctBlocked,Arc3PctAssisted,OffShortMidRangeReboundPct,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,PenaltyFG3M,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,LostBallOutOfBoundsTurnovers,DefensiveGoaltends,FTOffRebounds,OffFTReboundPct,PenaltyCorner3FGM,PenaltyCorner3Accuracy,DefCorner3ReboundPct,Clear Path Fouls,SecondChanceTurnovers,OffensiveGoaltends,Travels,FTDefRebounds,ThreePtShootingFoulsDrawn,DefFTReboundPct,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,Defensive 3 Seconds Violations,FG3APctBlocked,Corner3PctBlocked,StepOutOfBoundsTurnovers,LongMidRangePctBlocked,Blocked3s,BlockedCorner3,Arc3PctBlocked,HeaveAttempts,BlockedArc3,team_id,year,season,team_vs
123-1425-2030-2210-446,1610612751,"Robert Pack, Aaron Williams, Kenyon Martin, Richard Jefferson, Lucious Harris","Pack, Williams, Martin, Jefferson, Harris",123-1425-2030-2210-446,NJN,271.0,3,5.0,7.0,8.0,3.0,5.0,1.0,15.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,2.0,2.0,6.0,6.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,4.0,1.0,4.0,4.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,6.0,2.0,3.0,1.0,1.0,0.5,0.3333333333333333,0.42857142857142855,0.5,0.3333333333333333,1.0,0.5,0.8,0.25,0.5,1.0,1.0,1.0,79.70479704797049,1.0,19.571428571428573,16.75,18.571428571428573,16.625,0.16666666666666666,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,0.48069999999999996,0.4449,0.5208,0.3333333333333333,10.8,23.65,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2004,2003-04,True
123-1425-2030-2210-467,1610612751,"Robert Pack, Aaron Williams, Kenyon Martin, Richard Jefferson, Jason Kidd","Pack, Williams, Martin, Jefferson, Kidd",123-1425-2030-2210-467,NJN,198.0,2,3.0,5.0,6.0,4.0,1.0,,11.0,1.0,2.0,1.0,1.0,1.0,,,3.0,4.0,,,6.0,8.0,,,,4.0,2.0,1.0,1.0,,,2.0,,2.0,2.0,,2.0,,1.0,1.0,4.0,,,,,,,,,6.0,4.0,4.0,0.3333333333333333,0.3333333333333333,0.75,0.75,0.75,0.6666666666666666,,1.0,,1.0,,,,1.0,1.0,80.0,,16.4,19.333333333333332,16.4,19.333333333333332,0.5,0.5,1.0,,0.25,1.0,1.0,,0.25,,,0.5,0.492575,,0.5341666666666667,0.6666666666666666,7.75,,0.8,-2.0,1.0,2.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.25,0.5,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2004,2003-04,True
123-1425-2030-2243-446,1610612751,"Robert Pack, Aaron Williams, Kenyon Martin, Brian Scalabrine, Lucious Harris","Pack, Williams, Martin, Scalabrine, Harris",123-1425-2030-2243-446,NJN,125.0,1,2.0,4.0,5.0,,,,9.0,,1.0,1.0,2.0,,,,1.0,3.0,1.0,1.0,3.0,2.0,,,,,,,,,,,,3.0,3.0,,3.0,,,,1.0,,2.0,,1.0,1.0,,1.0,1.0,3.0,,,,,0.3333333333333333,0.25,0.3,,0.25,1.0,,1.0,,,1.0,1.0,1.0,103.67999999999999,1.0,16.0,12.2,16.0,11.8,0.25,,,,0.5,0.5,0.5,,,,,0.5,0.446825,,,,6.733333333333333,26.9,,1.0,,,,,,2.0,1.0,,,,,,,,0.3333333333333333,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,0.25,0.2,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2004,2003-04,True
123-1425-2030-2447-446,1610612751,"Robert Pack, Aaron Williams, Kenyon Martin, Tamar Slay, Lucious Harris","Pack, Williams, Martin, Slay, Harris",123-1425-2030-2447-446,NJN,65.0,1,1.0,2.0,1.0,,,,3.0,,,,1.0,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,66.46153846153847,,18.0,29.0,18.0,27.0,,,,,1.0,,,,,,,,0.4607,,,,6.8,,,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2004,2003-04,True
123-1425-2030-446-915,1610612751,"Robert Pack, Aaron Williams, Kenyon Martin, Lucious Harris, Rodney Rogers","Pack, Williams, Martin, Harris, Rogers",123-1425-2030-446-915,NJN,49.0,1,1.0,2.0,2.0,,,,4.0,,,,,,,,,,1.0,2.0,2.0,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,2.0,,,,,,,2.0,,,,,,,0.5,,1.0,,,1.0,,,,,,117.55102040816327,,6.0,18.5,6.0,18.5,,,,,,,,,,,,1.0,0.582,,,,,25.2,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2004,2003-04,True
123-1425-2030-446-954,1610612751,"Robert Pack, Aaron Williams, Kenyon Martin, Lucious Harris, Kerry Kittles","Pack, Williams, Martin, Harris, Kittles",123-1425-2030-446-954,NJN,176.0,2,3.0,6.0,6.0,,,2.0,12.0,2.0,3.0,,,,1.0,,2.0,3.0,3.0,1.0,5.0,3.0,2.0,,,,2.0,1.0,1.0,1.0,,2.0,2.0,2.0,2.0,3.0,5.0,,1.0,,1.0,,2.0,,1.0,,,1.0,1.0,3.0,,,0.5,1.0,0.6666666666666666,0.3333333333333333,0.35714285714285715,,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,,,,1.0,98.18181818181819,1.0,12.0,17.333333333333332,11.0,16.833333333333332,0.5,0.6666666666666666,0.6666666666666666,0.5,,,,,,0.16666666666666666,,1.0,0.5910166666666666,0.5361,,,,24.333333333333332,,2.0,,,,,,2.0,,,1.0,,1.0,,,,,,1.0,,,,,,2.0,2.0,2.0,2.0,1.0,0.3333333333333333,0.14285714285714285,0.25,,,,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.25,1.0,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2004,2003-04,True
123-1425-2210-2220-915,1610612751,"Robert Pack, Aaron Williams, Richard Jefferson, Brandon Armstrong, Rodney Rogers","Pack, Williams, Jefferson, Armstrong, Rogers",123-1425-2210-2220-915,NJN,109.0,1,2.0,4.0,4.0,,,,8.0,,,1.0,1.0,1.0,,,2.0,2.0,,,4.0,,,,,,4.0,2.0,2.0,,1.0,4.0,,1.0,1.0,,1.0,,2.0,,,,,,,,,,,4.0,,,1.0,1.0,1.0,1.0,1.0,,,0.5,,0.5,,,,,1.0,105.68807339449542,,14.75,12.5,14.75,10.5,,,,,0.5,1.0,1.0,1.0,0.5,,,,0.38015,,,,12.75,,,4.0,,,1.0,,,,,1.0,2.0,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,,2.0,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2004,2003-04,True
123-1425-2210-2243-446,1610612751,"Robert Pack, Aaron Williams, Richard Jefferson, Brian Scalabrine, Lucious Harris","Pack, Williams, Jefferson, Scalabrine, Harris",123-1425-2210-2243-446,NJN,751.0,7,13.0,23.0,22.0,3.0,2.0,3.0,45.0,5.0,8.0,,1.0,9.0,1.0,,9.0,18.0,6.0,4.0,28.0,15.0,3.0,2.0,,2.0,10.0,5.0,6.0,3.0,,13.0,1.0,4.0,5.0,4.0,9.0,,1.0,,3.0,,6.0,,,,,,,26.0,2.0,3.0,0.5555555555555556,0.5555555555555556,0.5,0.5,0.5185185185185185,0.25,0.25,0.6666666666666666,0.25,0.625,0.3076923076923077,,,1.0,0.75,86.2849533954727,,16.304347826086957,17.09090909090909,14.304347826086957,16.454545454545453,0.3333333333333333,0.625,0.625,0.6,0.041666666666666664,,,,0.375,0.041666666666666664,,0.5833333333333334,0.5073124999999999,0.5016333333333333,0.498075,0.07142857142857142,9.350000000000001,24.349999999999998,0.13043478260869565,13.0,1.0,1.0,4.0,1.0,2.0,8.0,,2.0,1.0,,1.0,,0.5,0.25,,,1.0,0.4444444444444444,0.4444444444444444,0.5,0.25,1.0,5.0,5.0,5.0,2.0,3.0,0.20833333333333334,0.1111111111111111,0.14285714285714285,1.0,0.5,0.5,1.0,1.0,1.0,2.0,,3.0,1.0,1.0,,0.3333333333333333,0.25,0.25,0.3333333333333333,,0.25,0.07692307692307693,0.25,1.0,0.07142857142857142,1.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,0.5,0.3333333333333333,0.3333333333333333,0.6,1.0,1.0,1.0,0.2,0.2,1.0,0.25,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2004,2003-04,True
123-1425-2210-2243-467,1610612751,"Robert Pack, Aaron Williams, Richard Jefferson, Brian Scalabrine, Jason Kidd","Pack, Williams, Jefferson, Scalabrine, Kidd",123-1425-2210-2243-467,NJN,145.0,1,2.0,4.0,3.0,,3.0,2.0,7.0,,2.0,,,2.0,,,2.0,4.0,1.0,,4.0,2.0,1.0,,,,2.0,1.0,1.0,,,2.0,,2.0,2.0,2.0,4.0,1.0,1.0,,,,,,1.0,1.0,,1.0,1.0,2.0,,,0.5,0.5,0.5,0.4,0.4,,0.2,1.0,,1.0,0.6666666666666666,,1.0,,1.0,69.51724137931035,1.0,20.5,21.0,18.25,21.0,0.4,,,,,,,,0.4,,,0.6,0.5034500000000001,0.486425,,,9.0,24.6,,2.0,,,2.0,,,2.0,1.0,1.0,,,,,,,0.25,0.5,,1.0,1.0,0.5,,,1.0,1.0,,,,0.2,,,,,,,,1.0,2.0,,2.0,1.0,,,1.0,0.5,0.5,1.0,1.0,,0.5,,,0.5,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,0.5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2004,2003-04,True
123-1425-2210-2243-954,1610612751,"Robert Pack, Aaron Williams, Richard Jefferson, Brian Scalabrine, Kerry Kittles","Pack, Williams, Jefferson, Scalabrine, Kittles",123-1425-2210-2243-954,NJN,126.0,1,2.0,3.0,3.0,,,,6.0,,,,,2.0,,,1.0,2.0,,2.0,4.0,4.0,,,,,2.0,1.0,1.0,,,2.0,,1.0,1.0,,1.0,,,,,,2.0,,,,,,,4.0,,,1.0,1.0,0.5,0.5,0.6666666666666666,,,1.0,,1.0,,,,,1.0,68.57142857142857,,21.333333333333332,20.666666666666668,21.333333333333332,20.666666666666668,,,,,,,,,1.0,,,,0.36575,,,,19.0,,,,,,1.0,,,,,1.0,,,,,,,,,,0.5,0.5,1.0,,,,,,,1.0,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2004,2003-04,True
