EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,OffThreePtRebounds,FTOffRebounds,SecondChanceTurnovers,NonShootingFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,OffFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,LongMidRangeFGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,PtsUnassisted3s,AtRimAssists,LongMidRangeAssists,LostBallSteals,LostBallOutOfBoundsTurnovers,Offensive Fouls,2pt And 1 Free Throw Trips,BlockedAtRim,3SecondViolations,Defensive 3 Seconds Violations,SecondChanceFg3Pct,DefAtRimReboundPct,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LongMidRangePctBlocked,Travels,Technical Free Throw Trips,Blocked3s,BlockedArc3,BlockedLongMidRange,Fg3aBlocked,DefensiveGoaltends,FG3APctBlocked,Corner3PctBlocked,OffCorner3ReboundPct,Corner3FGM,PenaltyCorner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,HeaveAttempts,StepOutOfBoundsTurnovers,Arc3PctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockedCorner3,Clear Path Fouls,OffensiveGoaltends,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
1510-1716-2041-2198-2407,1610612764,"Brevin Knight, Larry Hughes, Etan Thomas, Kwame Brown, Jared Jeffries","Knight, Hughes, Thomas, Brown, Jeffries",1510-1716-2041-2198-2407,WAS,768.0,5,13.0,-22.0,23.0,27.0,14.0,13.0,3.0,50.0,2.0,9.0,1.0,3.0,1.0,6.0,2.0,7.0,4.0,4.0,20.0,4.0,12.0,34.0,1.0,6.0,2.0,2.0,12.0,4.0,2.0,6.0,2.0,4.0,1.0,1.0,1.0,2.0,5.0,3.0,3.0,2.0,8.0,5.0,13.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,4.0,6.0,5.0,4.0,6.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,10.0,4.0,14.0,1.0,0.25,0.3333333333333333,0.2,0.16666666666666666,0.16666666666666666,0.2,0.16666666666666666,0.16666666666666666,0.2727272727272727,0.16666666666666666,0.16666666666666666,0.2,0.2222222222222222,0.2857142857142857,0.8333333333333334,1.0,0.75,0.3125,0.6,0.6666666666666666,0.3125,0.2857142857142857,0.4,0.25,1.0,0.5,0.3333333333333333,1.0,0.08333333333333333,93.75,1.0,19.26086956521739,12.037037037037036,17.347826086956523,10.851851851851851,0.45,0.2222222222222222,0.2857142857142857,0.35,0.2857142857142857,0.4,0.5,0.2,0.5,0.3333333333333333,0.5,0.16666666666666666,0.45,0.394445,0.3858,0.3354083333333333,0.09090909090909091,0.09090909090909091,0.16666666666666666,0.3333333333333333,8.075,0.6086956521739131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2004,2003-04,False
1510-1716-2041-2198-2413,1610612764,"Brevin Knight, Larry Hughes, Etan Thomas, Kwame Brown, Juan Dixon","Knight, Hughes, Thomas, Brown, Dixon",1510-1716-2041-2198-2413,WAS,168.0,1,3.0,-3.0,6.0,5.0,6.0,,2.0,11.0,,1.0,,,,1.0,,1.0,,,2.0,2.0,5.0,8.0,,1.0,,,2.0,5.0,,,,,,1.0,,3.0,,,,,,2.0,2.0,,,,1.0,,,,1.0,1.0,1.0,,3.0,1.0,2.0,,,,,,5.0,5.0,6.0,1.0,,,,,,0.3,,0.3,0.4166666666666667,,0.4166666666666667,,,,1.0,,,,,,0.25,,,,,,,,,94.28571428571429,,16.666666666666668,13.6,15.333333333333334,13.6,0.2,,,0.2,,,,,,,0.2,,0.8,0.49705000000000005,,0.49705000000000005,,,,1.0,3.85,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6,1.0,0.5,1.0,0.2,0.4,0.5,0.5,1.0,0.2,0.4,0.5,0.5,25.400000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2004,2003-04,False
1510-1716-2041-2198-2553,1610612764,"Brevin Knight, Larry Hughes, Etan Thomas, Kwame Brown, Jarvis Hayes","Knight, Hughes, Thomas, Brown, Hayes",1510-1716-2041-2198-2553,WAS,3332.0,9,56.0,-2.0,106.0,105.0,23.0,24.0,10.0,211.0,16.0,24.0,3.0,6.0,4.0,9.0,10.0,26.0,23.0,35.0,73.0,27.0,106.0,108.0,4.0,8.0,14.0,4.0,15.0,27.0,32.0,38.0,4.0,3.0,16.0,17.0,3.0,35.0,11.0,12.0,22.0,1.0,35.0,13.0,48.0,1.0,14.0,6.0,8.0,4.0,7.0,10.0,1.0,18.0,4.0,8.0,21.0,5.0,38.0,17.0,3.0,2.0,3.0,2.0,92.0,27.0,23.0,1.0,0.45714285714285713,0.48484848484848486,0.4794520547945205,0.5,0.26666666666666666,0.4647058823529412,0.6111111111111112,0.4473684210526316,0.5196078431372549,0.6363636363636364,0.5,0.0410958904109589,0.08333333333333333,0.038461538461538464,0.4444444444444444,1.0,0.6875,0.2894736842105263,0.7058823529411765,0.6938775510204082,0.2553191489361702,0.25,0.1875,0.42857142857142855,0.6923076923076923,0.6666666666666666,0.7692307692307693,0.5,0.022727272727272728,91.18847539015607,0.6666666666666666,16.330188679245282,15.247619047619047,15.69811320754717,14.352380952380953,0.2823529411764706,0.6666666666666666,0.7272727272727273,0.3058823529411765,0.38461538461538464,0.4,0.3,0.27058823529411763,0.6666666666666666,0.5,0.47368421052631576,0.4444444444444444,0.4235294117647059,0.48369235294117646,0.5444611111111111,0.5085026315789474,0.1717171717171717,0.19540229885057472,0.1320754716981132,0.25471698113207547,9.145205479452056,0.2169811320754717,4.0,1.0,3.0,8.0,3.0,3.0,3.0,12.0,3.0,4.0,10.0,3.0,8.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,0.3333333333333333,0.25,0.75,0.25,0.1411764705882353,0.2,0.1111111111111111,0.2,0.047058823529411764,0.09411764705882353,0.375,0.375,0.3333333333333333,0.05263157894736842,0.15789473684210525,1.0,0.375,24.96666666666667,9.0,1.0,1.0,1.0,1.0,3.0,6.0,8.0,5.0,8.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,0.7142857142857143,0.5,0.391304347826087,0.391304347826087,0.5555555555555556,0.3333333333333333,0.1111111111111111,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2004,2003-04,False
1510-1716-2041-2198-348,1610612764,"Brevin Knight, Larry Hughes, Etan Thomas, Kwame Brown, Mitchell Butler","Knight, Hughes, Thomas, Brown, Butler",1510-1716-2041-2198-348,WAS,118.0,1,2.0,6.0,4.0,5.0,4.0,5.0,1.0,9.0,2.0,2.0,1.0,1.0,2.0,2.0,,,2.0,3.0,4.0,2.0,8.0,2.0,1.0,1.0,2.0,3.0,4.0,8.0,4.0,2.0,2.0,,2.0,2.0,,4.0,1.0,1.0,2.0,,3.0,1.0,4.0,,1.0,1.0,,,,,,,,,,,2.0,,1.0,,1.0,1.0,6.0,8.0,4.0,,0.6666666666666666,1.0,0.75,1.0,0.75,0.75,1.0,0.75,0.8,1.0,0.8,,,,,,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,109.83050847457628,1.0,12.0,14.0,11.5,14.0,0.5,1.0,1.0,,,,,0.5,1.0,1.0,0.5,1.0,0.5,0.52195,0.4451,0.52195,,,0.25,1.0,10.45,1.0,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,1.0,,,,1.0,0.5,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2004,2003-04,False
1510-1716-2041-2198-363,1610612764,"Brevin Knight, Larry Hughes, Etan Thomas, Kwame Brown, Christian Laettner","Knight, Hughes, Thomas, Brown, Laettner",1510-1716-2041-2198-363,WAS,73.0,1,1.0,3.0,3.0,2.0,,,,5.0,,,,,,,,1.0,,,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,4.0,2.0,,,,,3.0,,,,,,,,,,,,0.5,,,,,,,,1.0,,,1.0,,,,,,,,,,98.63013698630138,,16.666666666666668,11.5,16.666666666666668,11.5,,,,1.0,,,,,,,,,,0.396,,,0.6666666666666666,0.6666666666666666,,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2004,2003-04,False
1510-1716-2041-2217-2407,1610612764,"Brevin Knight, Larry Hughes, Etan Thomas, Brendan Haywood, Jared Jeffries","Knight, Hughes, Thomas, Haywood, Jeffries",1510-1716-2041-2217-2407,WAS,65.0,1,1.0,-3.0,2.0,3.0,,,,5.0,,,,,,,,1.0,1.0,1.0,2.0,,2.0,5.0,,,,,,,,2.0,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,2.0,,,,,,0.5,,,0.5,,,0.5,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,110.76923076923077,,16.0,11.0,16.0,11.0,,,,0.5,,,,0.5,,,,,,0.4096,,,,,,,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2004,2003-04,False
1510-1716-2041-2217-348,1610612764,"Brevin Knight, Larry Hughes, Etan Thomas, Brendan Haywood, Mitchell Butler","Knight, Hughes, Thomas, Haywood, Butler",1510-1716-2041-2217-348,WAS,49.0,1,1.0,,2.0,2.0,,,1.0,4.0,,,,,,,,,2.0,1.0,2.0,,2.0,2.0,1.0,1.0,2.0,,,,2.0,,,1.0,1.0,1.0,,2.0,1.0,,,,,1.0,1.0,,,,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,1.0,1.0,0.5,1.0,,0.5,1.0,,0.5,1.0,,0.5,,,,,,1.0,,,1.0,,,1.0,,,,,,117.55102040816327,,14.0,10.5,8.0,10.5,,,,,,,,1.0,,,,,,0.3751,0.3614,,,,1.0,,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,0.5,1.0,1.0,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2004,2003-04,False
1510-1716-2041-2407-2413,1610612764,"Brevin Knight, Larry Hughes, Etan Thomas, Jared Jeffries, Juan Dixon","Knight, Hughes, Thomas, Jeffries, Dixon",1510-1716-2041-2407-2413,WAS,561.0,3,9.0,3.0,18.0,17.0,8.0,5.0,1.0,35.0,2.0,3.0,,,,,1.0,3.0,2.0,4.0,8.0,4.0,15.0,12.0,,1.0,,1.0,2.0,3.0,6.0,2.0,,1.0,3.0,3.0,1.0,6.0,,,10.0,,10.0,1.0,11.0,,2.0,2.0,1.0,,,3.0,1.0,4.0,3.0,1.0,3.0,,6.0,3.0,,,,,15.0,3.0,8.0,,0.75,0.75,0.5,,0.5,0.4230769230769231,,0.25,0.5,,0.3,0.125,,0.3333333333333333,0.25,,0.7692307692307693,,,0.6666666666666666,0.125,,,,0.3333333333333333,1.0,,,,89.83957219251337,,14.333333333333334,17.823529411764707,13.222222222222221,16.764705882352942,0.23076923076923078,0.6666666666666666,0.6666666666666666,0.23076923076923078,0.3333333333333333,0.5,1.0,0.15384615384615385,,,,,0.6153846153846154,0.5170230769230769,,0.4595,0.21428571428571427,0.3333333333333333,,0.2,6.7625,0.4444444444444444,3.0,2.0,1.0,2.0,,,1.0,5.0,,2.0,1.0,,2.0,1.0,,,1.0,,,1.0,,0.2,,0.2,0.38461538461538464,,0.25,1.0,0.23076923076923078,0.15384615384615385,0.5,0.5,,0.5,,,0.5,24.1,1.0,,,,,,3.0,1.0,1.0,,1.0,1.0,2.0,,,,,0.75,0.5,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2004,2003-04,False
1510-1716-2041-2407-2553,1610612764,"Brevin Knight, Larry Hughes, Etan Thomas, Jared Jeffries, Jarvis Hayes","Knight, Hughes, Thomas, Jeffries, Hayes",1510-1716-2041-2407-2553,WAS,1311.0,11,22.0,-15.0,47.0,46.0,19.0,20.0,3.0,93.0,5.0,10.0,,1.0,2.0,2.0,,3.0,12.0,10.0,25.0,11.0,34.0,49.0,,2.0,2.0,3.0,7.0,18.0,14.0,6.0,,2.0,7.0,7.0,,14.0,3.0,2.0,16.0,,18.0,3.0,21.0,,1.0,,6.0,3.0,6.0,9.0,,15.0,6.0,4.0,13.0,,12.0,4.0,4.0,1.0,5.0,4.0,32.0,18.0,19.0,2.0,0.7,0.7,0.4,,0.42857142857142855,0.42592592592592593,,0.5625,0.515625,0.3333333333333333,0.6923076923076923,0.08,0.2,,0.4,,0.6956521739130435,0.2,0.4,0.6428571428571429,0.1875,0.4,0.3333333333333333,,0.6666666666666666,0.8333333333333334,0.25,1.0,,102.15102974828375,0.8,14.148936170212766,14.043478260869565,13.76595744680851,13.543478260869565,0.37037037037037035,0.5,0.625,0.1111111111111111,,,,0.4444444444444444,0.5,,0.25,1.0,0.4444444444444444,0.47534444444444446,0.48625,0.42063125,0.13333333333333333,0.14285714285714285,0.058823529411764705,0.5294117647058824,10.116,0.40425531914893614,,,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,9.0,,2.0,1.0,,,,,,2.0,,0.5,1.0,0.5,0.07407407407407407,,,,,0.07407407407407407,0.5,0.5,,,0.125,1.0,0.5,26.45,5.0,,,,,2.0,3.0,4.0,3.0,1.0,,4.0,1.0,2.0,,,,0.6363636363636364,0.8,0.4166666666666667,0.4166666666666667,0.6,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2004,2003-04,False
1510-1716-2041-2407-2581,1610612764,"Brevin Knight, Larry Hughes, Etan Thomas, Jared Jeffries, Steve Blake","Knight, Hughes, Thomas, Jeffries, Blake",1510-1716-2041-2407-2581,WAS,271.0,1,5.0,5.0,9.0,9.0,9.0,8.0,3.0,18.0,,1.0,,1.0,,1.0,1.0,1.0,2.0,1.0,4.0,5.0,7.0,2.0,,1.0,1.0,1.0,4.0,7.0,,2.0,,1.0,,,,,2.0,,4.0,,4.0,3.0,7.0,,2.0,2.0,2.0,,1.0,,1.0,2.0,2.0,,1.0,,6.0,,2.0,,2.0,1.0,6.0,7.0,9.0,,,,0.25,,0.25,0.14285714285714285,,0.14285714285714285,0.35,0.25,0.35,0.25,1.0,,1.0,,0.5714285714285714,0.6666666666666666,,0.5714285714285714,0.5,,,1.0,,0.6666666666666666,,,,95.64575645756457,0.5,17.11111111111111,13.0,16.0,11.0,0.14285714285714285,,,0.14285714285714285,1.0,1.0,,0.2857142857142857,1.0,,0.14285714285714285,,0.5714285714285714,0.4701785714285714,,0.4701785714285714,,,0.14285714285714285,1.0,9.775,1.0,,,,3.0,,3.0,,3.0,,3.0,5.0,,3.0,,,,1.0,,1.0,3.0,,,,,0.42857142857142855,,0.3333333333333333,0.3333333333333333,,0.42857142857142855,,,,,0.42857142857142855,,,25.3,,,,,,1.0,,,,,,,,2.0,,,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2004,2003-04,False
