EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,Fouls,Loose Ball Fouls,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceFtPoints,ShortMidRangeAssists,DefThreePtRebounds,DeadBallTurnovers,LostBallTurnovers,ShootingFouls,2pt And 1 Free Throw Trips,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,ShortMidRangePctBlocked,DefThreePtReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,SecondChanceArc3Frequency,DefArc3ReboundPct,Corner3FGA,SecondChanceCorner3FGA,Corner3Frequency,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,Corner3FGM,SecondChanceCorner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,Corner3Assists,FTOffRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,Offensive Fouls,BlockedAtRim,BlockedLongMidRange,SecondChanceFg3Pct,OffFTReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,SelfORebPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PtsUnassisted3s,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Travels,3SecondViolations,LongMidRangePctBlocked,team_id,year,season,team_vs
1715-1719-1899-2031-2200,1610612763,"Jason Williams, Bonzi Wells, James Posey, Stromile Swift, Pau Gasol","Williams, Wells, Posey, Swift, Gasol",1715-1719-1899-2031-2200,MEM,757.0,4,13.0,5.0,25.0,25.0,16.0,11.0,3.0,50.0,10.0,15.0,2.0,2.0,7.0,11.0,1.0,1.0,3.0,4.0,1.0,3.0,1.0,2.0,14.0,20.0,1.0,3.0,6.0,37.0,32.0,3.0,3.0,6.0,10.0,14.0,1.0,2.0,1.0,24.0,14.0,14.0,3.0,4.0,3.0,1.0,2.0,7.0,1.0,8.0,1.0,6.0,1.0,17.0,1.0,2.0,5.0,1.0,6.0,3.0,9.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,9.0,1.0,3.0,1.0,31.0,24.0,16.0,3.0,0.5,0.5833333333333334,1.0,0.3333333333333333,0.5,0.3333333333333333,0.7,1.0,0.7142857142857143,0.6739130434782609,1.0,0.71875,0.6666666666666666,1.0,0.7058823529411765,0.13043478260869565,0.1,0.13333333333333333,1.0,1.0,0.8333333333333334,0.3333333333333333,0.5,0.7142857142857143,0.375,0.4,0.5,0.5,1.0,95.112285336856,16.0,14.28,15.88,13.68,0.6521739130434783,0.6666666666666666,0.7692307692307693,0.6,0.043478260869565216,1.0,1.0,0.17391304347826086,0.75,0.75,0.3333333333333333,0.13043478260869565,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,1.0,0.6875,0.6363636363636364,0.125,0.5,0.782608695652174,0.3333333333333333,0.5364130434782609,0.4817,0.5546375,0.11538461538461539,0.13043478260869565,0.16216216216216217,0.6486486486486487,4.04,25.0,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2004,2003-04,True
1715-1719-1899-2200-2203,1610612763,"Jason Williams, Bonzi Wells, James Posey, Pau Gasol, Shane Battier","Williams, Wells, Posey, Gasol, Battier",1715-1719-1899-2200-2203,MEM,440.0,3,7.0,8.0,16.0,13.0,10.0,12.0,1.0,29.0,3.0,5.0,,,2.0,4.0,1.0,5.0,1.0,1.0,,2.0,,,5.0,11.0,,2.0,6.0,16.0,8.0,,1.0,1.0,3.0,6.0,,,5.0,11.0,8.0,2.0,,,2.0,,3.0,4.0,,4.0,,2.0,1.0,8.0,1.0,2.0,6.0,,7.0,3.0,10.0,1.0,,1.0,1.0,,2.0,1.0,3.0,1.0,10.0,1.0,3.0,2.0,15.0,11.0,10.0,1.0,0.8,0.8,,,,,0.45454545454545453,,0.5,0.38461538461538464,,0.5,0.4411764705882353,0.16666666666666666,0.5555555555555556,0.15384615384615385,0.2727272727272727,0.2,0.5,,0.75,0.3333333333333333,0.5,0.7777777777777778,0.375,,0.5,0.6666666666666666,1.0,94.9090909090909,15.75,14.461538461538462,14.4375,14.384615384615385,0.38461538461538464,0.6,0.75,0.6666666666666666,0.38461538461538464,0.2,0.3333333333333333,0.07692307692307693,1.0,1.0,1.0,0.15384615384615385,,,,,,0.6666666666666666,0.5,,,0.5384615384615384,,0.4634538461538461,0.46285,0.45881666666666665,0.2,0.23076923076923078,0.0625,0.6875,5.572727272727272,24.9,0.625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.4,1.0,0.5,0.75,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2004,2003-04,True
1715-1719-1899-2200-448,1610612763,"Jason Williams, Bonzi Wells, James Posey, Pau Gasol, Bo Outlaw","Williams, Wells, Posey, Gasol, Outlaw",1715-1719-1899-2200-448,MEM,69.0,1,1.0,-2.0,2.0,3.0,2.0,3.0,,5.0,,,,,,,1.0,2.0,,,,,,,1.0,2.0,,,,2.0,4.0,,,,1.0,2.0,,,,2.0,2.0,,,,,,,1.0,,1.0,,,,2.0,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,2.0,2.0,2.0,,1.0,1.0,,,,,0.5,,0.5,0.5,,0.5,0.5,,0.5,,,,,,,,,1.0,,,,,,104.34782608695653,18.5,10.666666666666666,18.5,10.666666666666666,,,,,1.0,0.5,0.5,,,,,,,,,,,,,,,,,0.38705,,0.38705,,,,1.0,8.1,,1.0,,,,1.0,1.0,,,1.0,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2004,2003-04,True
1715-1719-1899-2200-953,1610612763,"Jason Williams, Bonzi Wells, James Posey, Pau Gasol, Lorenzen Wright","Williams, Wells, Posey, Gasol, Wright",1715-1719-1899-2200-953,MEM,396.0,2,7.0,-8.0,10.0,12.0,3.0,2.0,2.0,22.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,4.0,,2.0,,1.0,,1.0,3.0,8.0,,3.0,,6.0,14.0,1.0,1.0,2.0,2.0,3.0,,1.0,,4.0,4.0,2.0,,,1.0,,,2.0,,2.0,,2.0,,4.0,1.0,1.0,2.0,1.0,5.0,2.0,7.0,,,,1.0,1.0,1.0,,3.0,,,,,,4.0,4.0,3.0,1.0,0.6666666666666666,0.6666666666666666,,,,,0.375,1.0,0.6666666666666666,0.2727272727272727,0.5,0.5,0.2727272727272727,0.5,0.5,0.2727272727272727,,,1.0,1.0,0.5,0.2,0.3333333333333333,0.6666666666666666,0.25,,1.0,,1.0,80.0,22.9,13.916666666666666,21.4,13.75,0.18181818181818182,1.0,1.0,1.0,0.36363636363636365,0.25,0.25,0.18181818181818182,,,,0.09090909090909091,,,,0.5,1.0,0.5,1.0,0.25,,0.45454545454545453,,0.4307954545454545,0.5568,0.4667125,,,0.3333333333333333,0.6666666666666666,7.5,24.2,0.3,,1.0,,,2.0,,,2.0,,,,,,,1.0,0.3333333333333333,0.3333333333333333,,,,,1.0,2.0,1.0,0.18181818181818182,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2004,2003-04,True
1715-1719-1899-2203-2415,1610612763,"Jason Williams, Bonzi Wells, James Posey, Shane Battier, Ryan Humphrey","Williams, Wells, Posey, Battier, Humphrey",1715-1719-1899-2203-2415,MEM,46.0,1,1.0,-2.0,2.0,2.0,,2.0,,4.0,,,,,,,,,,1.0,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,125.21739130434781,14.5,8.5,14.5,8.5,,,,,,,,1.0,,,,,,,,,,,,,,,,0.2717,,,,,,,18.5,,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2004,2003-04,True
1715-1719-2031-2200-2203,1610612763,"Jason Williams, Bonzi Wells, Stromile Swift, Pau Gasol, Shane Battier","Williams, Wells, Swift, Gasol, Battier",1715-1719-2031-2200-2203,MEM,1919.0,4,32.0,8.0,57.0,59.0,26.0,15.0,9.0,116.0,11.0,21.0,2.0,5.0,4.0,10.0,3.0,5.0,1.0,9.0,3.0,8.0,2.0,5.0,15.0,35.0,6.0,15.0,18.0,66.0,58.0,3.0,8.0,13.0,6.0,16.0,3.0,8.0,13.0,34.0,14.0,16.0,18.0,,8.0,3.0,4.0,7.0,6.0,13.0,3.0,6.0,1.0,32.0,5.0,8.0,19.0,,25.0,14.0,39.0,2.0,2.0,,4.0,3.0,10.0,2.0,11.0,2.0,26.0,1.0,9.0,4.0,53.0,34.0,26.0,2.0,0.4666666666666667,0.4666666666666667,1.0,0.4,0.375,0.4,0.42857142857142855,0.375,0.375,0.48,0.5454545454545454,0.4375,0.5241935483870968,0.5416666666666666,0.5,0.3,0.11428571428571428,0.14285714285714285,0.4,,0.8636363636363636,0.4,0.5555555555555556,0.8620689655172413,0.4482758620689655,0.4,0.6,0.8,1.0,87.04533611255862,18.350877192982455,14.796610169491526,16.473684210526315,14.457627118644067,0.42,0.5238095238095238,0.6111111111111112,0.5454545454545454,0.1,0.6,0.75,0.18,0.1111111111111111,0.1111111111111111,1.0,0.16,0.375,0.375,1.0,0.45454545454545453,0.4,0.4166666666666667,0.4,0.20833333333333334,0.4,0.72,0.375,0.544187,0.54921875,0.5355208333333333,0.15517241379310345,0.20930232558139536,0.19696969696969696,0.5151515151515151,6.071428571428571,24.333333333333332,0.45614035087719296,2.0,3.0,1.0,,6.0,6.0,1.0,3.0,1.0,5.0,,5.0,5.0,0.2,0.8571428571428571,0.5,0.75,1.0,1.0,,0.18181818181818182,0.75,7.0,1.0,0.14,1.0,0.09090909090909091,3.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,0.6666666666666666,0.25,0.375,0.5,0.04,0.42857142857142855,0.42857142857142855,1.0,1.0,1.0,0.5,1.0,0.125,0.3333333333333333,,,,,,,1610612763,2004,2003-04,True
1715-1719-2031-2203-448,1610612763,"Jason Williams, Bonzi Wells, Stromile Swift, Shane Battier, Bo Outlaw","Williams, Wells, Swift, Battier, Outlaw",1715-1719-2031-2203-448,MEM,71.0,1,1.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,,,,,,,2.0,4.0,,,,4.0,2.0,1.0,2.0,2.0,2.0,4.0,,,,4.0,2.0,2.0,,2.0,,,,1.0,,1.0,,,,2.0,,2.0,,,,2.0,2.0,,,,,,,,1.0,,,,,,2.0,4.0,2.0,,0.5,1.0,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,1.0,,,1.0,1.0,,,,60.84507042253521,20.0,31.0,19.0,31.0,0.75,0.3333333333333333,0.3333333333333333,,0.25,1.0,1.0,,,,,,,,,1.0,0.5,0.75,0.3333333333333333,,,0.75,,0.512225,0.5643,0.512225,,,0.5,1.0,1.45,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.5,,,,,,,,,,,,,,,,1610612763,2004,2003-04,True
1715-1719-2054-2203-2415,1610612763,"Jason Williams, Bonzi Wells, Jake Tsakalidis, Shane Battier, Ryan Humphrey","Williams, Wells, Tsakalidis, Battier, Humphrey",1715-1719-2054-2203-2415,MEM,176.0,1,3.0,3.0,6.0,5.0,,5.0,,11.0,,,,,,,1.0,1.0,1.0,3.0,1.0,1.0,,,2.0,4.0,1.0,1.0,,7.0,4.0,,,,,,,,,,2.0,2.0,,,1.0,1.0,,1.0,,1.0,,,1.0,2.0,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,7.0,,,,0.5,0.5,,1.0,,1.0,0.5,,,0.7,,,0.7,,,0.2,,,,,,,,,,,,,,90.0,17.0,14.8,17.0,12.8,,,,,0.2,1.0,1.0,0.6,0.3333333333333333,0.3333333333333333,1.0,0.2,1.0,1.0,,,,,,,,0.2,1.0,0.36698,,,,,,,13.975,24.3,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,1610612763,2004,2003-04,True
1715-1719-2200-2203-2415,1610612763,"Jason Williams, Bonzi Wells, Pau Gasol, Shane Battier, Ryan Humphrey","Williams, Wells, Gasol, Battier, Humphrey",1715-1719-2200-2203-2415,MEM,64.0,1,1.0,-2.0,2.0,2.0,2.0,2.0,,4.0,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,,,2.0,4.0,,,,1.0,1.0,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,90.0,20.0,12.0,20.0,12.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,0.4413,,0.4413,,,,1.0,22.7,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2004,2003-04,True
1715-1899-2034-2200-2203,1610612763,"Jason Williams, James Posey, Mike Miller, Pau Gasol, Shane Battier","Williams, Posey, Miller, Gasol, Battier",1715-1899-2034-2200-2203,MEM,9.0,1,,-1.0,1.0,2.0,1.0,2.0,,3.0,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,,480.0,1.0,4.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2004,2003-04,True
