EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,FtPoints,Points,OpponentPoints,PenaltyFtPoints,PenaltyPoints,DefTwoPtRebounds,DefRebounds,Rebounds,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,TsPct,PenaltyTsPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,SecondChanceFG2A,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,LiveBallTurnovers,BadPassTurnovers,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,FG3APct,LiveBallTurnoverPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3M,PtsAssisted2s,PtsAssisted3s,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,SecondChanceTurnovers,ShootingFouls,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,BlockedShortMidRange,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,PenaltyFg3Pct,SecondChanceTsPct,FG2APctBlocked,ShortMidRangePctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChancePointsPct,Technical Free Throw Trips,LongMidRangePctBlocked,OffLongMidRangeReboundPct,ShortMidRangeFGM,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangeAssists,ShortMidRangePctAssisted,Arc3Assists,DefShortMidRangeReboundPct,Arc3PctAssisted,LongMidRangeAssists,LongMidRangePctAssisted,DefensiveGoaltends,SecondChanceAtRimFGM,SecondChanceFG2M,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyArc3FGM,PenaltyArc3Accuracy,SelfOReb,SelfORebPct,PtsPutbacks,Travels,FTDefRebounds,AtRimPctBlocked,DefFTReboundPct,Blocked3s,BlockedArc3,Loose Ball Fouls,SecondChanceCorner3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,HeaveAttempts,SecondChanceArc3FGM,Fg3aBlocked,FTOffRebounds,StepOutOfBoundsTurnovers,BlockedCorner3,BlockedLongMidRange,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,FG3APctBlocked,Corner3PctBlocked,OffFTReboundPct,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Clear Path Fouls,HeaveMakes,team_id,year,season,team_vs
1032-1112-1497-1888-2419,1610612765,"Darvin Ham, Ben Wallace, Chauncey Billups, Richard Hamilton, Tayshaun Prince","Ham, Wallace, Billups, Hamilton, Prince",1032-1112-1497-1888-2419,DET,80.0,2,1.0,-1.0,2.0,4.0,2.0,3.0,6.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,108.0,1.0,12.0,14.0,12.0,13.75,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2004,2003-04,False
1032-1112-1497-1888-722,1610612765,"Darvin Ham, Ben Wallace, Chauncey Billups, Richard Hamilton, Corliss Williamson","Ham, Wallace, Billups, Hamilton, Williamson",1032-1112-1497-1888-722,DET,383.0,4,6.0,-2.0,8.0,10.0,3.0,4.0,18.0,1.0,6.0,8.0,,2.0,4.0,5.0,7.0,1.0,2.0,1.0,2.0,,2.0,1.0,,,,,6.0,2.0,3.0,1.0,0.3333333333333333,0.25,0.4444444444444444,0.5,0.75,67.67624020887727,,19.75,22.5,18.875,17.5,0.1111111111111111,0.16666666666666666,0.3333333333333333,0.375,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.2,0.3333333333333333,0.3125,0.25,0.375,0.5,0.5,1.0,0.4,0.5,0.5,0.25,1.0,0.375,0.3333333333333333,0.3333333333333333,0.25,0.375,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.5,0.25,0.75,0.3333333333333333,0.51881875,0.555525,0.5324875,3.88,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2004,2003-04,False
1032-1112-1497-1888-739,1610612765,"Darvin Ham, Ben Wallace, Chauncey Billups, Richard Hamilton, Rasheed Wallace","Ham, Wallace, Billups, Hamilton, Wallace",1032-1112-1497-1888-739,DET,816.0,6,14.0,-4.0,25.0,25.0,15.0,10.0,50.0,9.0,22.0,26.0,6.0,15.0,4.0,7.0,12.0,5.0,9.0,4.0,7.0,2.0,11.0,4.0,3.0,2.0,3.0,1.0,21.0,15.0,15.0,1.0,0.5238095238095238,0.5,0.5714285714285714,0.7,0.6666666666666666,88.23529411764706,0.3333333333333333,14.44,18.2,13.76,17.52,0.21052631578947367,0.2857142857142857,0.6818181818181818,0.6,4.0,4.0,7.0,1.0,2.0,4.0,2.0,,2.0,,1.0,5.0,11.0,1.0,5.0,1.0,1.0,3.0,8.0,3.0,2.0,,2.0,,3.0,3.0,5.0,4.0,3.0,0.2,0.2,0.45454545454545453,0.375,0.40625,0.4090909090909091,0.3125,0.4444444444444444,0.6,1.0,0.5555555555555556,0.5,1.0,0.6666666666666666,1.0,0.4375,0.5714285714285714,0.5714285714285714,0.125,0.125,,,0.5,,0.36363636363636365,0.5,0.09090909090909091,0.75,,0.54253125,0.5169,0.5060045454545454,4.809090909090909,24.240000000000002,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,8.0,3.0,1.0,4.0,1.0,5.0,1.0,4.0,11.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,0.8,0.8,1.0,0.3333333333333333,0.16666666666666666,0.09090909090909091,0.5,0.5,0.5,0.5,1.0,1.0,0.125,0.5,0.5,0.1875,0.3333333333333333,0.3333333333333333,1.0,0.5,0.18181818181818182,0.5,0.045454545454545456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2004,2003-04,False
1032-1112-1497-2229-722,1610612765,"Darvin Ham, Ben Wallace, Chauncey Billups, Mike James, Corliss Williamson","Ham, Wallace, Billups, James, Williamson",1032-1112-1497-2229-722,DET,96.0,2,2.0,-3.0,3.0,2.0,,,5.0,,,3.0,,,,,,1.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,75.0,,9.666666666666666,33.5,9.666666666666666,27.5,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,0.55725,,,,24.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2004,2003-04,False
1032-1112-1497-2229-739,1610612765,"Darvin Ham, Ben Wallace, Chauncey Billups, Mike James, Rasheed Wallace","Ham, Wallace, Billups, James, Wallace",1032-1112-1497-2229-739,DET,73.0,1,1.0,,2.0,2.0,,,4.0,,,,,,,1.0,1.0,1.0,2.0,,,,,,1.0,1.0,1.0,,,,,,,,,0.5,,78.9041095890411,,18.0,18.5,18.0,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,0.5,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2004,2003-04,False
1032-1112-1497-2419-283,1610612765,"Darvin Ham, Ben Wallace, Chauncey Billups, Tayshaun Prince, Lindsey Hunter","Ham, Wallace, Billups, Prince, Hunter",1032-1112-1497-2419-283,DET,28.0,1,,-2.0,,1.0,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,51.42857142857143,,,17.0,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2004,2003-04,False
1032-1112-1497-283-722,1610612765,"Darvin Ham, Ben Wallace, Chauncey Billups, Lindsey Hunter, Corliss Williamson","Ham, Wallace, Billups, Hunter, Williamson",1032-1112-1497-283-722,DET,70.0,2,1.0,,1.0,2.0,1.0,2.0,3.0,,2.0,2.0,,2.0,,,,,,,2.0,,,,,,,,2.0,2.0,1.0,1.0,1.0,1.0,,,,61.71428571428571,,20.0,25.0,20.0,25.0,,,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,,,1.0,1.0,,,,,1.0,1.0,,2.0,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,,1.0,,0.5327,,0.5327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2004,2003-04,False
1032-1112-1497-283-739,1610612765,"Darvin Ham, Ben Wallace, Chauncey Billups, Lindsey Hunter, Rasheed Wallace","Ham, Wallace, Billups, Hunter, Wallace",1032-1112-1497-283-739,DET,83.0,2,1.0,-2.0,2.0,3.0,2.0,2.0,5.0,,,2.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,2.0,,,,,,,86.74698795180723,,17.0,16.333333333333332,17.0,16.333333333333332,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,0.5406,,0.5406,,24.0,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2004,2003-04,False
1032-1112-1888-2229-2246,1610612765,"Darvin Ham, Ben Wallace, Richard Hamilton, Mike James, Mehmet Okur","Ham, Wallace, Hamilton, James, Okur",1032-1112-1888-2229-2246,DET,158.0,1,3.0,-2.0,5.0,4.0,3.0,2.0,9.0,1.0,1.0,3.0,,,,1.0,2.0,,2.0,1.0,3.0,,1.0,,,,,,1.0,,3.0,,,,,1.0,,82.0253164556962,,19.0,15.75,18.8,15.75,,,,0.6,1.0,,1.0,,,,,,,,,,4.0,,,,,,3.0,,,,,,1.0,1.0,1.0,2.0,1.0,,,,,,,,1.0,0.3333333333333333,1.0,0.3333333333333333,,,,1.0,0.25,,,,,,,,,,,,0.25,,0.37035,,0.32083333333333336,13.725,,,3.0,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,,,0.25,,,,,,,0.75,,,,,,,,,,,1.0,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2004,2003-04,False
1032-1112-1888-2229-2419,1610612765,"Darvin Ham, Ben Wallace, Richard Hamilton, Mike James, Tayshaun Prince","Ham, Wallace, Hamilton, James, Prince",1032-1112-1888-2229-2419,DET,172.0,1,3.0,-2.0,5.0,5.0,5.0,4.0,10.0,3.0,5.0,7.0,3.0,5.0,,1.0,1.0,,,,2.0,,4.0,,1.0,1.0,1.0,,5.0,5.0,5.0,,0.5,0.5,,0.5,,83.72093023255813,,16.2,18.2,16.2,18.2,,,1.0,1.0,,,,,,,2.0,,,,,1.0,3.0,,,,,1.0,3.0,,2.0,,,,,1.0,,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,1.0,,,,,1.0,,,,0.6666666666666666,,,,,,,,,,,0.4045666666666667,,0.4045666666666667,10.066666666666666,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2004,2003-04,False
