EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG2APctBlocked,LongMidRangePctBlocked,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,ShortMidRangeFGM,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,FG3M,FG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,FTOffRebounds,DefTwoPtRebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,Offensive Fouls,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,OffFTReboundPct,DefTwoPtReboundPct,DefFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceArc3FGA,PenaltyArc3FGA,SecondChanceFG3A,OffThreePtRebounds,SelfOReb,BadPassSteals,LostBallOutOfBoundsTurnovers,LostBallTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls,NonShootingFoulsDrawn,BlockedAtRim,3SecondViolations,NonShootingPenaltyNonTakeFouls,AtRimPctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,SelfORebPct,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,ShortMidRangePctBlocked,PenaltyArc3FGM,PenaltyFG3M,PenaltyFtPoints,DefThreePtRebounds,PenaltyFg3Pct,DefThreePtReboundPct,DefArc3ReboundPct,PenaltyArc3Accuracy,SecondChanceFtPoints,2pt And 1 Free Throw Trips,DefCorner3ReboundPct,PenaltyCorner3FGM,PenaltyCorner3Accuracy,BlockedLongMidRange,Technical Free Throw Trips,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Travels,OffensiveGoaltends,Defensive 3 Seconds Violations,Blocked3s,BlockedArc3,OffCorner3ReboundPct,HeaveAttempts,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,DefensiveGoaltends,FG3APctBlocked,Corner3PctBlocked,BlockedCorner3,Arc3PctBlocked,Clear Path Fouls,team_id,year,season,team_vs
1607-1709-1887-2058-208,1610612750,"Troy Hudson, Michael Olowokandi, Wally Szczerbiak, Mark Madsen, Sam Cassell","Hudson, Olowokandi, Szczerbiak, Madsen, Cassell",1607-1709-1887-2058-208,MIN,154.0,1,3.0,-3.0,6.0,5.0,1.0,11.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,6.0,2.0,6.0,9.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,0.5,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.42857142857142855,1.0,0.16666666666666666,0.5,1.0,0.25,0.25,1.0,102.85714285714285,16.333333333333332,11.2,16.333333333333332,11.2,0.3333333333333333,0.5,0.5,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,0.3333333333333333,0.4562333333333333,0.549,0.14285714285714285,0.14285714285714285,0.3333333333333333,8.966666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2004,2003-04,True
1607-1709-1887-2058-697,1610612750,"Troy Hudson, Michael Olowokandi, Wally Szczerbiak, Mark Madsen, Fred Hoiberg","Hudson, Olowokandi, Szczerbiak, Madsen, Hoiberg",1607-1709-1887-2058-697,MIN,817.0,3,14.0,8.0,25.0,24.0,3.0,49.0,3.0,4.0,2.0,2.0,7.0,3.0,7.0,10.0,18.0,3.0,32.0,24.0,3.0,4.0,6.0,8.0,12.0,4.0,,4.0,6.0,2.0,14.0,3.0,,8.0,4.0,12.0,1.0,1.0,2.0,4.0,4.0,2.0,26.0,0.4,0.5,0.5555555555555556,0.75,0.6590909090909091,0.75,0.6666666666666666,0.75,,,,0.375,0.3333333333333333,,86.36474908200734,15.08,18.333333333333332,14.48,18.041666666666668,0.18181818181818182,0.75,0.75,0.3181818181818182,0.3181818181818182,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.5,1.0,0.36363636363636365,0.458425,0.49295,0.08333333333333333,0.1,0.1875,10.766666666666667,3.0,4.0,4.0,1.0,2.0,1.0,2.0,2.0,3.0,4.0,1.0,1.0,1.0,2.0,6.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,0.6666666666666666,0.75,0.75,1.0,0.5,0.5,0.18181818181818182,0.3333333333333333,0.5,0.8888888888888888,0.8888888888888888,0.6666666666666666,0.25,1.0,0.8571428571428571,1.0,1.0,0.3333333333333333,0.5714285714285714,0.5714285714285714,0.25,0.09090909090909091,0.5,0.5,1.0,0.09090909090909091,1.0,1.0,0.5,0.5,1.0,0.4762,0.0625,24.65,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2004,2003-04,True
1607-1709-1887-2058-84,1610612750,"Troy Hudson, Michael Olowokandi, Wally Szczerbiak, Mark Madsen, Latrell Sprewell","Hudson, Olowokandi, Szczerbiak, Madsen, Sprewell",1607-1709-1887-2058-84,MIN,1283.0,7,21.0,1.0,39.0,36.0,8.0,75.0,7.0,13.0,2.0,4.0,6.0,2.0,9.0,12.0,28.0,3.0,33.0,32.0,3.0,6.0,6.0,14.0,10.0,2.0,3.0,7.0,8.0,1.0,17.0,6.0,2.0,18.0,9.0,27.0,2.0,,4.0,11.0,5.0,2.0,27.0,0.5833333333333334,0.6363636363636364,0.42857142857142855,0.5,0.39473684210526316,0.42857142857142855,0.4024390243902439,0.42857142857142855,0.10714285714285714,,1.0,0.42857142857142855,0.42857142857142855,0.8,84.17770849571318,17.17948717948718,17.02777777777778,15.743589743589743,16.555555555555557,0.34210526315789475,0.5384615384615384,0.7,0.15789473684210525,0.23684210526315788,0.2222222222222222,0.2222222222222222,0.5,0.5714285714285714,0.5,0.6052631578947368,0.4880078947368421,0.54229,0.05,0.06666666666666667,0.18181818181818182,7.707142857142857,11.0,10.0,3.0,,2.0,,2.0,8.0,2.0,10.0,4.0,7.0,1.0,8.0,3.0,3.0,8.0,2.0,1.0,1.0,,5.0,1.0,,16.0,3.0,,,7.0,10.0,3.0,1.0,,1.0,1.0,8.0,11.0,0.5,0.2,0.2,0.5714285714285714,0.5,0.5,0.2631578947368421,0.3,,0.8888888888888888,0.8421052631578947,0.3333333333333333,0.16666666666666666,1.0,0.6666666666666666,1.0,1.0,0.7142857142857143,0.5,0.5,0.3333333333333333,0.05263157894736842,,,,0.21052631578947367,0.25,0.25,0.5,,0.25,0.42153125,0.24242424242424243,25.330000000000002,0.28205128205128205,2.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,0.23076923076923078,0.42857142857142855,0.6,0.05263157894736842,0.5,0.14285714285714285,0.375,0.6666666666666666,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2004,2003-04,True
1607-1709-1887-208-718,1610612750,"Troy Hudson, Michael Olowokandi, Wally Szczerbiak, Sam Cassell, Gary Trent","Hudson, Olowokandi, Szczerbiak, Cassell, Trent",1607-1709-1887-208-718,MIN,52.0,1,1.0,4.0,2.0,1.0,,3.0,,,,,,1.0,1.0,1.0,1.0,2.0,4.0,,,,,2.0,,,,1.0,1.0,1.0,2.0,,,1.0,,1.0,,,,,2.0,1.0,4.0,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,83.07692307692308,13.5,25.0,13.5,25.0,,,,,1.0,1.0,1.0,1.0,,,,0.3777,,0.5,0.5,,19.2,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2004,2003-04,True
1607-1709-1887-2239-697,1610612750,"Troy Hudson, Michael Olowokandi, Wally Szczerbiak, Trenton Hassell, Fred Hoiberg","Hudson, Olowokandi, Szczerbiak, Hassell, Hoiberg",1607-1709-1887-2239-697,MIN,80.0,1,1.0,4.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,,4.0,,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,,,,,,,2.0,0.5,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.3333333333333333,,,1.0,1.0,,72.0,16.5,23.5,16.0,19.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.4356333333333333,0.5077,,,0.5,7.933333333333334,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2004,2003-04,True
1607-1709-1887-2239-708,1610612750,"Troy Hudson, Michael Olowokandi, Wally Szczerbiak, Trenton Hassell, Kevin Garnett","Hudson, Olowokandi, Szczerbiak, Hassell, Garnett",1607-1709-1887-2239-708,MIN,170.0,3,3.0,4.0,6.0,6.0,2.0,12.0,2.0,3.0,1.0,1.0,,,2.0,2.0,5.0,2.0,9.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,,1.0,1.0,,2.0,1.0,,2.0,2.0,4.0,,,1.0,2.0,2.0,,7.0,0.5,1.0,0.4,0.5,0.5833333333333334,0.5,0.6428571428571429,0.5,,,,0.3333333333333333,0.3333333333333333,1.0,101.6470588235294,13.166666666666666,15.166666666666666,12.333333333333334,15.166666666666666,0.5,0.6666666666666666,0.6666666666666666,,0.3333333333333333,,,,0.5,1.0,0.6666666666666666,0.4997666666666667,0.4897,,,0.2222222222222222,7.359999999999999,6.0,1.0,,,,,1.0,1.0,1.0,1.0,2.0,5.0,1.0,9.0,,3.0,1.0,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,,9.0,6.0,,1.0,1.0,0.4,0.5833333333333334,0.6428571428571429,0.16666666666666666,,1.0,1.0,0.6666666666666666,,,,1.0,,,0.5,,,,,,,,0.16666666666666666,1.0,1.0,,,1.0,0.4997666666666667,1.0,26.8,1.0,2.0,3.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,0.5,0.6666666666666666,0.16666666666666666,,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2004,2003-04,True
1607-1709-1887-2239-718,1610612750,"Troy Hudson, Michael Olowokandi, Wally Szczerbiak, Trenton Hassell, Gary Trent","Hudson, Olowokandi, Szczerbiak, Hassell, Trent",1607-1709-1887-2239-718,MIN,165.0,1,3.0,,5.0,5.0,,10.0,,,,,,,2.0,,2.0,,6.0,6.0,,,,,,,,,2.0,,6.0,,,1.0,,1.0,,,,2.0,,,6.0,,,,,0.6,,0.6,,,,,,,,87.27272727272727,16.4,16.6,16.4,16.6,,,,,0.4,,,,,,0.6,0.46410999999999997,,,,,17.85,,,,1.0,2.0,,1.0,1.0,2.0,3.0,,,,,6.0,,1.0,1.0,2.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,1.0,0.6666666666666666,0.6666666666666666,,,,0.6,,,1.0,1.0,,,,,1.0,,,,,,0.4,0.5,0.5,1.0,0.2,1.0,1.0,1.0,,1.0,,,25.266666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2004,2003-04,True
1607-1709-1887-697-708,1610612750,"Troy Hudson, Michael Olowokandi, Wally Szczerbiak, Fred Hoiberg, Kevin Garnett","Hudson, Olowokandi, Szczerbiak, Hoiberg, Garnett",1607-1709-1887-697-708,MIN,174.0,2,3.0,2.0,6.0,5.0,1.0,11.0,,,,,1.0,,1.0,,2.0,5.0,8.0,6.0,,,1.0,,,,,,1.0,,3.0,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,2.0,7.0,,,,,0.375,,0.5714285714285714,0.5,,,,0.5,0.3333333333333333,,91.0344827586207,15.166666666666666,16.6,14.5,16.6,,,,0.25,0.25,,,,,,0.5,0.467225,,0.3333333333333333,0.5,0.125,10.6,,,,,1.0,,1.0,1.0,1.0,2.0,,,,,3.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,0.5,0.5,,,,0.5,,,,1.0,1.0,,,,,,,,,,0.25,,,,0.25,1.0,1.0,1.0,,1.0,,,24.15,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2004,2003-04,True
1607-1709-1887-697-718,1610612750,"Troy Hudson, Michael Olowokandi, Wally Szczerbiak, Fred Hoiberg, Gary Trent","Hudson, Olowokandi, Szczerbiak, Hoiberg, Trent",1607-1709-1887-697-718,MIN,175.0,1,3.0,5.0,6.0,5.0,2.0,11.0,3.0,6.0,2.0,3.0,,1.0,1.0,4.0,7.0,,8.0,3.0,2.0,3.0,4.0,4.0,4.0,2.0,,2.0,2.0,1.0,4.0,3.0,,1.0,3.0,4.0,2.0,1.0,,,,,4.0,0.5,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.5714285714285714,0.6666666666666666,,,,1.0,1.0,1.0,90.51428571428572,11.333333333333334,21.4,10.333333333333334,20.8,0.8571428571428571,0.5,0.5,,0.14285714285714285,1.0,1.0,1.0,1.0,0.6666666666666666,0.8571428571428571,0.5997714285714286,0.5629666666666667,,,0.5,2.1,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,0.5,0.5,,,,,1.0,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2004,2003-04,True
1607-1709-1887-697-84,1610612750,"Troy Hudson, Michael Olowokandi, Wally Szczerbiak, Fred Hoiberg, Latrell Sprewell","Hudson, Olowokandi, Szczerbiak, Hoiberg, Sprewell",1607-1709-1887-697-84,MIN,451.0,2,8.0,1.0,14.0,14.0,1.0,28.0,4.0,6.0,,,3.0,,3.0,4.0,12.0,3.0,14.0,13.0,,1.0,,4.0,4.0,,1.0,2.0,3.0,,7.0,1.0,2.0,7.0,1.0,8.0,,,1.0,2.0,4.0,3.0,14.0,0.5,0.5,0.3333333333333333,,0.4230769230769231,,0.5,,0.08333333333333333,,1.0,0.14285714285714285,0.14285714285714285,,89.40133037694014,16.428571428571427,15.785714285714286,15.857142857142858,14.928571428571429,0.46153846153846156,0.6666666666666666,0.8,0.23076923076923078,0.23076923076923078,,,,,,0.5384615384615384,0.4919423076923077,0.4324,0.21428571428571427,0.23076923076923078,,7.408333333333334,,,,,,,1.0,1.0,1.0,1.0,,,,,3.0,,1.0,1.0,1.0,1.0,,2.0,,,3.0,1.0,,,2.0,3.0,,,,,,,,1.0,1.0,1.0,,,,0.07692307692307693,0.3333333333333333,,0.6,0.7142857142857143,,0.5,,0.5,0.6666666666666666,,0.5,,,,,,,,0.07692307692307693,1.0,1.0,1.0,,1.0,,,25.0,,,,,,,,,,1.0,1.0,,,1.0,,,,,0.16666666666666666,,,,,,,,,,,,,2.0,,1.0,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2004,2003-04,True
