EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFtPoints,PtsUnassisted2s,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,OffRebounds,ShootingFouls,Fouls,FTA,NonShootingFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,ShortMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,HeaveAttempts,Fg2aBlocked,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Offensive Fouls,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefShortMidRangeReboundPct,Arc3Frequency,PenaltyArc3Frequency,Avg3ptShotDistance,ShortMidRangeFGM,NonHeaveArc3FGA,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PtsPutbacks,Steals,BadPassSteals,LostBallOutOfBoundsTurnovers,OffAtRimReboundPct,Travels,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,OffThreePtRebounds,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,Loose Ball Fouls,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,LiveBallTurnoverPct,OffThreePtReboundPct,OffArc3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,LostBallTurnovers,SecondChanceTurnovers,3SecondViolations,LongMidRangePctBlocked,DefAtRimReboundPct,BlockedShortMidRange,RecoveredBlocks,BlocksRecoveredPct,SelfOReb,SelfORebPct,Corner3FGA,ShortMidRangeAssists,ShortMidRangePctAssisted,Corner3Frequency,OffShortMidRangeReboundPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,DefCorner3ReboundPct,SecondChanceAtRimPctAssisted,DefensiveGoaltends,ShortMidRangePctBlocked,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Technical Free Throw Trips,OffensiveGoaltends,Defensive 3 Seconds Violations,SecondChanceFtPoints,ThreePtShootingFoulsDrawn,OffCorner3ReboundPct,ThreePtShootingFoulsDrawnPct,team_id,year,season,team_vs
1720-1763-1863-1889-2365,1610612743,"Michael Doleac, Ryan Bowen, Earl Boykins, Andre Miller, Chris Andersen","Doleac, Bowen, Boykins, Miller, Andersen",1720-1763-1863-1889-2365,DEN,98.0,1,2.0,2.0,3,3.0,3.0,6,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,88.16326530612245,18.333333333333332,14.333333333333334,18.333333333333332,11.333333333333334,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,0.51655,0.51655,1.0,10.45,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2004,2003-04,False
1720-1763-1863-2206-2365,1610612743,"Michael Doleac, Ryan Bowen, Earl Boykins, Rodney White, Chris Andersen","Doleac, Bowen, Boykins, White, Andersen",1720-1763-1863-2206-2365,DEN,176.0,1,3.0,5.0,6,6.0,6.0,12,1.0,1.0,1.0,1.0,3.0,4.0,4.0,6.0,10.0,5.0,4.0,6.0,10.0,2.0,1.0,1.0,,1.0,2.0,,3.0,4.0,,,,8.0,10.0,6.0,0.25,0.25,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.7142857142857143,,1.0,,98.18181818181819,9.333333333333334,20.0,8.666666666666666,20.0,0.16666666666666666,1.0,1.0,,0.6666666666666666,0.75,0.75,0.3333333333333333,0.16666666666666666,1.0,0.16666666666666666,0.4245333333333334,0.4245333333333334,1.0,15.516666666666666,1.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.16666666666666666,1.0,1.0,0.5944,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2004,2003-04,False
1720-1863-1889-2206-2365,1610612743,"Michael Doleac, Earl Boykins, Andre Miller, Rodney White, Chris Andersen","Doleac, Boykins, Miller, White, Andersen",1720-1863-1889-2206-2365,DEN,80.0,1,1.0,-2.0,2,3.0,2.0,5,,1.0,,1.0,,,,1.0,,2.0,,1.0,,,,,,,,,2.0,2.0,,,,,,2.0,,,,,,,,,,1.0,,90.0,15.0,16.666666666666668,15.0,16.666666666666668,0.5,,,,,,,,0.5,,1.0,0.5371,0.5371,,,1.0,3.0,,,,,,,,,,,,2.0,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.5,49.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2004,2003-04,False
1720-1863-1889-2206-468,1610612743,"Michael Doleac, Earl Boykins, Andre Miller, Rodney White, Jon Barry","Doleac, Boykins, Miller, White, Barry",1720-1863-1889-2206-468,DEN,126.0,1,2.0,,4,2.0,1.0,6,,,,,1.0,2.0,2.0,3.0,4.0,4.0,,1.0,,,,,,,,,,,,,,4.0,,1.0,,,0.6666666666666666,,0.5,,0.5,,,,,68.57142857142857,15.75,31.5,15.75,31.5,,,,,0.5,0.5,0.5,,,,0.25,0.3826875,0.2285,,19.533333333333335,0.25,,,,,1.0,,,,,,4.0,,,,,,,,,,,,,,,,,,0.25,,,,,1.0,,1.0,,,,,,,,0.25,,,,0.25,,23.8,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2004,2003-04,False
1720-1863-1889-2365-468,1610612743,"Michael Doleac, Earl Boykins, Andre Miller, Chris Andersen, Jon Barry","Doleac, Boykins, Miller, Andersen, Barry",1720-1863-1889-2365-468,DEN,178.0,1,3.0,4.0,5,4.0,,9,2.0,3.0,,,2.0,3.0,4.0,6.0,8.0,4.0,,,,2.0,1.0,1.0,1.0,,2.0,,1.0,3.0,,,,6.0,,,0.25,0.3333333333333333,0.6666666666666666,,0.6666666666666666,,0.6666666666666666,,,1.0,,72.80898876404494,22.2,16.75,19.4,16.75,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,0.6666666666666666,0.6666666666666666,,,,0.5,0.4676166666666666,,,8.466666666666667,,,1.0,1.0,2.0,,,1.0,2.0,2.0,,6.0,2.0,1.0,,2.0,1.0,1.0,,,0.5,0.5,0.5,,1.0,1.0,1.0,1.0,1.0,,1.0,0.5,0.53125,0.25,,,,,,,1.0,1.0,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2004,2003-04,False
1720-1863-1889-2403-468,1610612743,"Michael Doleac, Earl Boykins, Andre Miller, Nene, Jon Barry","Doleac, Boykins, Miller, Nene, Barry",1720-1863-1889-2403-468,DEN,31.0,1,1.0,,1,1.0,1.0,2,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,92.9032258064516,12.0,19.0,12.0,19.0,,,,,1.0,,,,,,,0.3948,0.3948,,20.8,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2004,2003-04,False
1720-1863-1889-2403-702,1610612743,"Michael Doleac, Earl Boykins, Andre Miller, Nene, Voshon Lenard","Doleac, Boykins, Miller, Nene, Lenard",1720-1863-1889-2403-702,DEN,89.0,1,1.0,-4.0,2,3.0,,5,,,,,,,,1.0,,4.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,80.89887640449437,23.5,14.0,23.5,14.0,,,,,,,,,,,,0.4052,,,7.1,,,,,,1.0,,,,,,,,,1.0,,1.0,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2004,2003-04,False
1720-1863-1889-702-948,1610612743,"Michael Doleac, Earl Boykins, Andre Miller, Voshon Lenard, Marcus Camby","Doleac, Boykins, Miller, Lenard, Camby",1720-1863-1889-702-948,DEN,692.0,1,12.0,11.0,22,20.0,5.0,42,3.0,5.0,,1.0,4.0,8.0,8.0,14.0,26.0,15.0,1.0,2.0,7.0,10.0,5.0,6.0,1.0,4.0,13.0,,6.0,7.0,,,,21.0,7.0,5.0,0.625,0.625,0.5714285714285714,0.5,0.6111111111111112,0.5,0.6190476190476191,0.5833333333333334,,0.625,,87.39884393063583,15.818181818181818,17.2,14.818181818181818,16.4,0.2777777777777778,0.6,0.6,0.3333333333333333,0.4444444444444444,0.5,0.5,1.0,0.2,,0.5,0.4509527777777778,0.43165,0.2692307692307692,10.607142857142858,0.22727272727272727,9.0,2.0,,,1.0,4.0,1.0,1.0,5.0,2.0,6.0,,5.0,1.0,1.0,3.0,8.0,7.0,1.0,1.0,1.25,1.25,1.0,0.625,,0.125,,0.6666666666666666,0.05555555555555555,,,0.3417,0.19230769230769232,4.0,3.0,4.0,3.0,,,1.0,2.0,,,0.2222222222222222,,,0.5,0.2222222222222222,0.6,24.45,1.0,4.0,1.0,1.0,,4.0,2.0,,,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.5,0.5,1.0,0.3333333333333333,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.3333333333333333,0.5,0.15,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2004,2003-04,False
1720-1863-1922-2546-468,1610612743,"Michael Doleac, Earl Boykins, Francisco Elson, Carmelo Anthony, Jon Barry","Doleac, Boykins, Elson, Anthony, Barry",1720-1863-1922-2546-468,DEN,192.0,2,3.0,-2.0,6,6.0,2.0,12,2.0,3.0,1.0,1.0,,2.0,2.0,6.0,4.0,6.0,1.0,2.0,2.0,,,,,,,1.0,2.0,4.0,,,,4.0,2.0,2.0,,,0.3333333333333333,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,1.0,0.5,1.0,90.0,16.833333333333332,15.166666666666666,15.166666666666666,14.833333333333334,0.5,0.6666666666666666,1.0,,0.3333333333333333,,,,0.5,1.0,0.5,0.5301,0.6106,0.5,6.783333333333334,0.3333333333333333,2.0,1.0,,1.0,1.0,,,1.0,,,4.0,2.0,1.0,,2.0,,1.0,1.0,,,,,,0.3333333333333333,0.5,0.5,0.5,,0.16666666666666666,1.0,,0.5542,,,,,,,1.0,1.0,2.0,,,,0.16666666666666666,0.3333333333333333,0.3333333333333333,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,0.5,,,,,,,,,,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2004,2003-04,False
1720-1863-1922-2546-702,1610612743,"Michael Doleac, Earl Boykins, Francisco Elson, Carmelo Anthony, Voshon Lenard","Doleac, Boykins, Elson, Anthony, Lenard",1720-1863-1922-2546-702,DEN,59.0,1,1.0,-1.0,2,1.0,1.0,3,,,,,1.0,3.0,1.0,3.0,2.0,3.0,,2.0,,2.0,1.0,1.0,,1.0,2.0,,,1.0,,,,2.0,,1.0,1.0,1.0,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,,,,73.22033898305085,20.5,18.0,20.0,18.0,,,,,1.0,0.3333333333333333,0.5,1.0,,,,0.2726,0.21415,,19.5,0.5,1.0,1.0,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,0.5,0.5,0.5,,,,,0.1665,,,,,,,1.0,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2004,2003-04,False
