EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,FG2A,OpponentPoints,SecondChanceFG2A,Fg2aBlocked,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,SecondChanceTurnovers,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,LongMidRangeFrequency,SecondChanceAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,Avg2ptShotDistance,Corner3FGA,FG3A,FTDefRebounds,Fouls,FG3APct,DefFTReboundPct,Corner3Frequency,Avg3ptShotDistance,PenaltyDefPoss,NonShootingPenaltyNonTakeFouls,AtRimFGM,FG2M,Points,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,Steals,BadPassSteals,LostBallSteals,DeadBallTurnovers,Offensive Fouls,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,FtPoints,PtsUnassisted2s,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ShortMidRangeFGM,LongMidRangeFGM,ShootingFouls,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyOffPoss,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,ShortMidRangeAssists,LongMidRangeAssists,SelfOReb,BadPassOutOfBoundsTurnovers,Travels,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,SelfORebPct,ShortMidRangePctAssisted,LongMidRangePctAssisted,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,SecondChanceFG2M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3A,PenaltyFtPoints,PtsPutbacks,NonHeaveArc3FGA,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Loose Ball Fouls,BlockedShortMidRange,DefensiveGoaltends,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,Arc3Frequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,SecondChancePointsPct,PenaltyTurnovers,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,OffThreePtRebounds,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Defensive 3 Seconds Violations,HeaveAttempts,Technical Free Throw Trips,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,NonShootingFoulsDrawn,Corner3FGM,PenaltyCorner3FGA,Corner3Assists,BlockedLongMidRange,3SecondViolations,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3FGM,StepOutOfBoundsTurnovers,PenaltyCorner3Accuracy,FTOffRebounds,OffFTReboundPct,LongMidRangePctBlocked,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,OffensiveGoaltends,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Blocked3s,BlockedArc3,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,BlockedCorner3,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Clear Path Fouls,Corner3PctBlocked,HeaveMakes,team_id,year,season,team_vs
1510-1890-2063-2560-358,1610612756,"Brevin Knight, Shawn Marion, Jake Voskuhl, Zarko Cabarkapa, Anfernee Hardaway","Knight, Marion, Voskuhl, Cabarkapa, Hardaway",1510-1890-2063-2560-358,PHX,114.0,1,2.0,-2.0,3.0,3.0,1.0,6.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,1.0,0.6666666666666666,0.5,0.5,1.0,1.0,1.0,75.78947368421053,21.333333333333332,16.666666666666668,18.333333333333332,13.666666666666666,0.5,0.25,0.25,1.0,0.5,0.4423,0.5503,6.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2004,2003-04,False
1510-1890-2207-2405-339,1610612756,"Brevin Knight, Shawn Marion, Joe Johnson, Amar'e Stoudemire, Tom Gugliotta","Knight, Marion, Johnson, Stoudemire, Gugliotta",1510-1890-2207-2405-339,PHX,24.0,1,,,1.0,1.0,,2.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,120.0,17.0,7.0,17.0,7.0,,,,,1.0,0.5532,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2004,2003-04,False
1510-1890-2207-2418-339,1610612756,"Brevin Knight, Shawn Marion, Joe Johnson, Casey Jacobsen, Tom Gugliotta","Knight, Marion, Johnson, Jacobsen, Gugliotta",1510-1890-2207-2418-339,PHX,50.0,1,1.0,,1.0,2.0,,3.0,,,,1.0,1.0,,,,,,1.0,1.0,,1.0,,,,,,,,,1.0,,,1.0,,,,1.0,,86.39999999999999,27.0,11.5,27.0,11.5,,,1.0,,,0.3272,,18.3,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2004,2003-04,False
1510-1890-2207-2418-950,1610612756,"Brevin Knight, Shawn Marion, Joe Johnson, Casey Jacobsen, Stephon Marbury","Knight, Marion, Johnson, Jacobsen, Marbury",1510-1890-2207-2418-950,PHX,2.0,1,,-1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2004,2003-04,False
1510-1890-2207-2560-339,1610612756,"Brevin Knight, Shawn Marion, Joe Johnson, Zarko Cabarkapa, Tom Gugliotta","Knight, Marion, Johnson, Cabarkapa, Gugliotta",1510-1890-2207-2560-339,PHX,110.0,1,2.0,-3.0,4.0,4.0,1.0,8.0,3.0,1.0,1.0,,4.0,5.0,1.0,,1.0,,,,1.0,1.0,,,1.0,,,,,,,0.3333333333333333,,,0.3333333333333333,0.5,,,,104.72727272727273,15.5,12.0,15.0,12.0,0.75,0.25,,1.0,0.75,0.570475,0.4752,4.825,,,,2.0,,,,,4.0,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.25,0.25,0.25,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2004,2003-04,False
1510-1890-2405-2560-358,1610612756,"Brevin Knight, Shawn Marion, Amar'e Stoudemire, Zarko Cabarkapa, Anfernee Hardaway","Knight, Marion, Stoudemire, Cabarkapa, Hardaway",1510-1890-2405-2560-358,PHX,214.0,1,4.0,2.0,7.0,7.0,1.0,14.0,2.0,,,3.0,5.0,2.0,1.0,1.0,1.0,,2.0,2.0,1.0,3.0,2.0,2.0,2.0,,0.2,0.5,,1.0,0.5,0.25,,0.5,0.25,,,,,94.2056074766355,10.285714285714286,20.285714285714285,9.285714285714286,18.142857142857142,0.4,,0.6,,0.4,0.5252399999999999,0.4081,9.940000000000001,,,,1.0,,,,,,,1.0,1.0,4.0,,,,,,2.0,1.0,1.0,,,4.0,,,0.2,0.2,0.3333333333333333,0.5,1.0,,2.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2004,2003-04,False
1510-1890-2405-339-358,1610612756,"Brevin Knight, Shawn Marion, Amar'e Stoudemire, Tom Gugliotta, Anfernee Hardaway","Knight, Marion, Stoudemire, Gugliotta, Hardaway",1510-1890-2405-339-358,PHX,171.0,2,3.0,4.0,5.0,6.0,,11.0,1.0,,3.0,1.0,5.0,3.0,,,,,3.0,3.0,,3.0,,,,,,,,,1.0,,,1.0,,,,,,92.63157894736842,11.2,19.166666666666668,11.2,17.666666666666668,0.2,0.6,0.2,,0.2,0.49616,,10.18,,,,3.0,,,,,,,1.0,3.0,7.0,,,,,,1.0,1.0,,,,7.0,,,0.6,0.6,0.7,1.0,1.0,,1.0,6.0,2.0,2.0,2.0,,,,,,1.0,1.0,,0.4,0.4,1.0,1.0,2.0,0.3333333333333333,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2004,2003-04,False
1510-1890-2405-358-950,1610612756,"Brevin Knight, Shawn Marion, Amar'e Stoudemire, Anfernee Hardaway, Stephon Marbury","Knight, Marion, Stoudemire, Hardaway, Marbury",1510-1890-2405-358-950,PHX,81.0,1,1.0,3.0,3.0,2.0,,5.0,3.0,,,,3.0,2.0,,,,,1.0,1.0,,1.0,,,,,,,,,1.0,,,1.0,,,,,,88.88888888888889,19.666666666666668,11.0,19.666666666666668,11.0,1.0,,,,1.0,0.5301,,,,,,,,,,,,,2.0,2.0,5.0,4.0,2.0,2.0,2.0,4.0,,,,,,5.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,1.0,1.0,,1.0,1.0,1.0,,,,,,,1.0,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2004,2003-04,False
1510-2063-2560-339-358,1610612756,"Brevin Knight, Jake Voskuhl, Zarko Cabarkapa, Tom Gugliotta, Anfernee Hardaway","Knight, Voskuhl, Cabarkapa, Gugliotta, Hardaway",1510-2063-2560-339-358,PHX,255.0,1,4.0,,10.0,9.0,1.0,19.0,,,3.0,3.0,6.0,6.0,1.0,,1.0,2.0,,2.0,1.0,3.0,1.0,1.0,3.0,,,,,0.3333333333333333,,0.25,1.0,1.0,0.2,,0.5,,1.0,107.29411764705883,15.2,11.444444444444445,14.4,11.444444444444445,,0.42857142857142855,0.42857142857142855,,0.14285714285714285,0.4260357142857143,0.4249,13.183333333333332,1.0,1.0,,,0.14285714285714285,,0.14285714285714285,23.3,2.0,,,2.0,6.0,4.0,2.0,2.0,,4.0,1.0,1.0,,2.0,,6.0,1.0,1.0,0.3333333333333333,0.2857142857142857,0.375,,,,2.0,,2.0,,1.0,,,,,,,,,0.125,0.14285714285714285,1.0,1.0,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,0.5,0.2,1.0,1.0,0.35175,0.3333333333333333,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2004,2003-04,False
1510-2405-2560-339-358,1610612756,"Brevin Knight, Amar'e Stoudemire, Zarko Cabarkapa, Tom Gugliotta, Anfernee Hardaway","Knight, Stoudemire, Cabarkapa, Gugliotta, Hardaway",1510-2405-2560-339-358,PHX,31.0,1,1.0,2.0,1.0,1.0,,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,92.9032258064516,10.0,21.0,10.0,21.0,,,1.0,,,0.4302,,15.7,,,,1.0,,,,,,,,1.0,2.0,2.0,1.0,1.0,,2.0,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2004,2003-04,False
