EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,Fouls,Loose Ball Fouls,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FtPoints,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted3s,Fg2aBlocked,Corner3Assists,AtRimAssists,ShortMidRangeAssists,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,SelfOReb,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,ShortMidRangePctBlocked,OffAtRimReboundPct,SecondChanceAtRimFGM,SecondChanceFG2M,SecondChanceFtPoints,SecondChanceFg2Pct,SecondChanceAtRimAccuracy,PtsPutbacks,FTOffRebounds,LostBallOutOfBoundsTurnovers,Defensive 3 Seconds Violations,OffFTReboundPct,StepOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,SecondChanceAtRimPctAssisted,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,PenaltyCorner3Accuracy,HeaveAttempts,BlockedLongMidRange,OffCorner3ReboundPct,3SecondViolations,team_id,year,season,team_vs
109-1477-1495-1938-2078,1610612759,"Robert Horry, Bruce Bowen, Tim Duncan, Manu Ginobili, Jason Hart","Horry, Bowen, Duncan, Ginobili, Hart",109-1477-1495-1938-2078,SAS,392.0,2,7.0,-7.0,8.0,8.0,1.0,16.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,1.0,2.0,7.0,14.0,1.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,0.5,0.5,1.0,0.5,1.0,0.5,0.3333333333333333,0.4375,1.5,0.4375,1.5,0.25,1.0,0.25,0.2,1.0,58.775510204081634,20.25,28.75,19.75,25.875,0.125,1.0,1.0,0.375,0.25,0.5,0.5,1.0,0.125,0.125,1.0,1.0,1.0,1.0,1.0,1.0,0.375,1.0,0.447825,0.57105,0.42857142857142855,10.066666666666666,24.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2004,2003-04,True
109-1477-1495-1938-2225,1610612759,"Robert Horry, Bruce Bowen, Tim Duncan, Manu Ginobili, Tony Parker","Horry, Bowen, Duncan, Ginobili, Parker",109-1477-1495-1938-2225,SAS,2803.0,9,47.0,-5.0,89.0,89.0,6.0,178.0,14.0,19.0,11.0,5.0,17.0,5.0,6.0,12.0,,,25.0,47.0,8.0,17.0,93.0,98.0,1.0,1.0,3.0,28.0,22.0,21.0,12.0,6.0,14.0,7.0,21.0,5.0,4.0,49.0,2.0,4.0,34.0,5.0,,7.0,2.0,19.0,25.0,2.0,90.0,0.56,0.56,0.875,0.47058823529411764,1.0,0.47058823529411764,0.5319148936170213,0.578125,0.375,0.6232876712328768,0.375,0.265625,0.3684210526315789,0.09090909090909091,0.12903225806451613,0.08333333333333333,91.44488048519443,15.044943820224718,16.44943820224719,14.438202247191011,15.50561797752809,0.296875,0.7368421052631579,0.7777777777777778,0.171875,0.265625,0.29411764705882354,0.3125,0.8,0.078125,0.1875,0.5,0.5,0.8333333333333334,,,,0.5625,0.5,0.48592890625,0.46925,0.03225806451612903,8.161702127659575,24.54705882352941,25.0,53.0,1.0,2.0,2.0,6.0,2.0,1.0,1.0,1.0,2.0,3.0,19.0,3.0,6.0,11.0,2.0,4.0,11.0,29.0,3.0,2.0,2.0,7.0,3.0,2.0,7.0,16.0,7.0,30.0,1.0,5.0,3.0,12.0,5.0,2.0,2.0,4.0,10.0,4.0,22.0,2.0,2.0,6.0,5.0,8.0,6.0,2.0,8.0,2.0,1.0,29.0,25.0,2.0,0.5,0.5454545454545454,0.6,0.725,0.0425531914893617,0.05263157894736842,0.058823529411764705,1.0,0.64,0.6363636363636364,0.2222222222222222,0.6388888888888888,0.2,0.3333333333333333,0.5,0.7142857142857143,0.75,0.8333333333333334,0.4,0.034482758620689655,0.25,0.5,0.5454545454545454,0.5454545454545454,0.5,0.4,0.4,1.0,0.25,0.25,1.0,1.0,0.13333333333333333,1.0,0.06666666666666667,0.2,0.6666666666666666,0.46062,0.08823529411764706,0.11764705882352941,0.3118279569892473,0.2808988764044944,,,,,,,,,,,,,,,,,,,,,,,1610612759,2004,2003-04,True
109-1477-1495-1938-2484,1610612759,"Robert Horry, Bruce Bowen, Tim Duncan, Manu Ginobili, Devin Brown","Horry, Bowen, Duncan, Ginobili, Brown",109-1477-1495-1938-2484,SAS,160.0,1,3.0,2.0,4.0,5.0,,9.0,,1.0,1.0,,,,1.0,2.0,,,,2.0,1.0,2.0,5.0,3.0,,,,,,3.0,2.0,1.0,,1.0,1.0,1.0,,3.0,2.0,2.0,6.0,,,1.0,1.0,1.0,2.0,1.0,5.0,,,1.0,0.5,,0.5,,0.375,,0.4166666666666667,,0.5,1.0,1.0,0.6666666666666666,,81.0,25.0,12.0,24.75,12.0,0.25,,,0.25,,,,,,0.5,0.5,0.5,1.0,,,,0.75,0.5,0.4611125,0.3601,,4.05,25.0,,1.0,1.0,,,,,,,,,,2.0,1.0,,,,,,,,1.0,,,,,1.0,2.0,1.0,4.0,1.0,,,,,,,,,,4.0,,,2.0,,,,,,,,,,1.0,,,,,0.5,,,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.0,0.5,,,,,,,,,1.0,,,,,,,,,,0.3333333333333333,0.5,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1610612759,2004,2003-04,True
109-1477-1495-2045-2225,1610612759,"Robert Horry, Bruce Bowen, Tim Duncan, Hedo Turkoglu, Tony Parker","Horry, Bowen, Duncan, Turkoglu, Parker",109-1477-1495-2045-2225,SAS,1233.0,8,21.0,-21.0,37.0,40.0,3.0,77.0,3.0,10.0,8.0,1.0,10.0,1.0,2.0,6.0,,1.0,6.0,28.0,2.0,7.0,23.0,44.0,,1.0,4.0,8.0,4.0,6.0,6.0,2.0,4.0,2.0,6.0,2.0,1.0,14.0,4.0,5.0,19.0,2.0,1.0,3.0,1.0,4.0,16.0,1.0,19.0,0.6666666666666666,0.6666666666666666,1.0,0.2857142857142857,,0.2857142857142857,0.21428571428571427,0.2571428571428571,0.3333333333333333,0.2948717948717949,0.5,0.2,0.75,0.19047619047619047,0.19230769230769232,0.25,89.92700729927007,16.83783783783784,15.25,15.972972972972974,14.325,0.2857142857142857,0.3,0.5,0.22857142857142856,0.2857142857142857,0.1,0.1,1.0,0.02857142857142857,0.17142857142857143,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,,,0.4857142857142857,0.3333333333333333,0.46854,0.57175,0.17391304347826086,8.7,24.82857142857143,10.0,28.0,1.0,1.0,2.0,2.0,,,,,,1.0,5.0,2.0,2.0,8.0,,1.0,4.0,8.0,,6.0,,2.0,1.0,1.0,2.0,11.0,1.0,14.0,,1.0,,1.0,2.0,,,,6.0,,8.0,,,2.0,2.0,2.0,,2.0,2.0,2.0,1.0,8.0,10.0,4.0,,0.25,0.2222222222222222,0.3333333333333333,0.21428571428571427,0.4,,0.3333333333333333,0.7857142857142857,0.5,0.2,0.7222222222222222,0.16666666666666666,0.25,0.6666666666666666,0.7142857142857143,1.0,0.6666666666666666,,,1.0,0.6666666666666666,0.25,0.3333333333333333,0.5,,,,0.3333333333333333,,,,0.2222222222222222,0.5,,0.1111111111111111,,0.4590666666666666,0.05405405405405406,0.06666666666666667,0.34782608695652173,0.2702702702702703,0.25,0.14285714285714285,1.0,1.0,2.0,0.5,1.0,,,,,,,,,,,,,,,,1610612759,2004,2003-04,True
109-1477-1495-2225-2484,1610612759,"Robert Horry, Bruce Bowen, Tim Duncan, Tony Parker, Devin Brown","Horry, Bowen, Duncan, Parker, Brown",109-1477-1495-2225-2484,SAS,396.0,4,7.0,4.0,14.0,11.0,1.0,25.0,2.0,6.0,3.0,1.0,1.0,1.0,,2.0,,,5.0,10.0,,3.0,10.0,6.0,,,2.0,4.0,6.0,,2.0,,2.0,,2.0,,,4.0,1.0,1.0,5.0,4.0,1.0,,,2.0,1.0,,8.0,0.4,0.5,,,,,0.5,0.38461538461538464,1.0,0.38461538461538464,1.0,0.23076923076923078,,0.25,0.14285714285714285,,90.90909090909092,12.571428571428571,20.0,12.571428571428571,19.09090909090909,0.46153846153846156,0.3333333333333333,0.3333333333333333,0.23076923076923078,0.07692307692307693,1.0,1.0,,0.07692307692307693,0.15384615384615385,,,,,,,0.6923076923076923,,0.5414192307692308,0.5851,0.2,3.8899999999999997,25.433333333333334,3.0,10.0,1.0,1.0,1.0,2.0,,,,1.0,,1.0,,1.0,1.0,1.0,,2.0,,2.0,,,,1.0,1.0,,,3.0,1.0,4.0,,3.0,,2.0,,2.0,,,1.0,,,,,,,,,,,,,2.0,3.0,,,1.0,0.3333333333333333,0.3333333333333333,,,,1.0,0.6,,,0.5,,,0.5,,0.6666666666666666,,,,,0.5,0.6666666666666666,0.6666666666666666,0.5,,,,1.0,,,,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,,0.5869,,,0.2,0.21428571428571427,,0.3333333333333333,1.0,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,1610612759,2004,2003-04,True
109-1477-1725-1938-2225,1610612759,"Robert Horry, Bruce Bowen, Rasho Nesterovic, Manu Ginobili, Tony Parker","Horry, Bowen, Nesterovic, Ginobili, Parker",109-1477-1725-1938-2225,SAS,1220.0,9,20.0,-5.0,37.0,35.0,8.0,72.0,8.0,14.0,12.0,,6.0,1.0,,1.0,,,12.0,32.0,1.0,2.0,37.0,42.0,,,7.0,6.0,18.0,3.0,1.0,,3.0,1.0,4.0,,,9.0,9.0,11.0,22.0,4.0,2.0,1.0,1.0,5.0,9.0,2.0,30.0,0.25,0.3,1.0,0.5,,0.5,0.375,0.39705882352941174,0.375,0.43023255813953487,0.35,0.058823529411764705,0.2,0.45,0.47619047619047616,0.16666666666666666,84.98360655737706,17.243243243243242,16.62857142857143,15.972972972972974,15.17142857142857,0.4117647058823529,0.5714285714285714,0.6153846153846154,0.35294117647058826,0.17647058823529413,,,,0.029411764705882353,0.029411764705882353,,,,,,,0.47058823529411764,,0.48590294117647065,0.5320857142857143,0.1891891891891892,6.3375,24.4,17.0,18.0,5.0,2.0,4.0,4.0,1.0,,,,,,10.0,8.0,5.0,11.0,,,7.0,17.0,,1.0,1.0,1.0,2.0,1.0,3.0,7.0,1.0,11.0,2.0,2.0,,4.0,,,,2.0,2.0,1.0,18.0,,,3.0,6.0,2.0,1.0,1.0,2.0,,,17.0,17.0,3.0,,0.45454545454545453,0.45454545454545453,0.4722222222222222,0.03125,0.07142857142857142,,1.0,0.6363636363636364,0.42857142857142855,1.0,0.5555555555555556,0.5,1.0,0.6666666666666666,0.5,0.75,0.5,,0.1,,0.125,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,1.0,0.625,,,,0.36363636363636365,0.5,,,,0.4637909090909091,0.08108108108108109,0.08571428571428572,0.4594594594594595,0.4594594594594595,,0.6666666666666666,3.0,3.0,1.0,0.375,0.6,4.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,1610612759,2004,2003-04,True
109-1477-1725-2045-2225,1610612759,"Robert Horry, Bruce Bowen, Rasho Nesterovic, Hedo Turkoglu, Tony Parker","Horry, Bowen, Nesterovic, Turkoglu, Parker",109-1477-1725-2045-2225,SAS,37.0,1,1.0,,2.0,1.0,1.0,3.0,,1.0,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,0.5,0.5,1.0,116.75675675675676,15.0,7.0,14.0,7.0,0.5,,,,0.5,,,,,,,,,,,,0.5,,0.36275,0.293,,9.85,,,,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2004,2003-04,True
109-1477-1725-2225-2484,1610612759,"Robert Horry, Bruce Bowen, Rasho Nesterovic, Tony Parker, Devin Brown","Horry, Bowen, Nesterovic, Parker, Brown",109-1477-1725-2225-2484,SAS,183.0,2,3.0,-4.0,7.0,7.0,,14.0,,1.0,1.0,,,,,2.0,,,1.0,2.0,,2.0,3.0,7.0,,,,2.0,,,2.0,,1.0,,1.0,,,2.0,,,2.0,,,1.0,1.0,1.0,2.0,,3.0,1.0,1.0,,,,,0.5,0.25,,0.3,,0.5,1.0,,,,110.16393442622952,13.142857142857142,13.0,13.142857142857142,13.0,0.25,,,0.25,,,,,,0.5,,,,,,,0.75,,0.49065,,,2.75,25.3,5.0,3.0,,,1.0,1.0,,,,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,,1.0,,,1.0,,1.0,1.0,,2.0,,,,,,,,1.0,1.0,,2.0,,,,1.0,,,,,,,1.0,5.0,,,,,0.16666666666666666,0.5,1.0,,,0.5,1.0,,0.6666666666666666,,,,,0.5,1.0,,,,,1.0,1.0,1.0,,,,,,,,0.5,,,0.5,,0.49895,,,0.3333333333333333,0.7142857142857143,,,,,,,,,,,,,,,,,,,,,,,1610612759,2004,2003-04,True
109-1477-1938-2225-788,1610612759,"Robert Horry, Bruce Bowen, Manu Ginobili, Tony Parker, Kevin Willis","Horry, Bowen, Ginobili, Parker, Willis",109-1477-1938-2225-788,SAS,24.0,1,,2.0,1.0,1.0,,2.0,1.0,1.0,,,,,,,,,1.0,1.0,,,2.0,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,1.0,1.0,,1.0,,,,,,,120.0,3.0,21.0,3.0,21.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,0.7745,,,1.8,,1.0,1.0,,1.0,1.0,,,,,,,,,,1.0,1.0,,,,2.0,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,2.0,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,0.7745,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1610612759,2004,2003-04,True
109-1477-1938-2225-990,1610612759,"Robert Horry, Bruce Bowen, Manu Ginobili, Tony Parker, Malik Rose","Horry, Bowen, Ginobili, Parker, Rose",109-1477-1938-2225-990,SAS,86.0,1,1.0,-3.0,2.0,3.0,,5.0,,,,1.0,1.0,,,,,,1.0,1.0,,,2.0,5.0,,,,2.0,,,,,1.0,,1.0,,1.0,2.0,,,1.0,,,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,,,,,1.0,1.0,,1.0,,,1.0,,,,83.72093023255813,9.5,22.333333333333332,9.5,15.333333333333334,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,0.3908,,,15.3,,2.0,3.0,,,,,,,,,,,,,1.0,1.0,,,,2.0,,,,,,,,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,2.0,2.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.3908,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1610612759,2004,2003-04,True
