EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,FG2M,FG2A,Points,OpponentPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,Steals,BadPassSteals,Fouls,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,AtRimFG3AFrequency,ShotQualityAvg,PlusMinus,FtPoints,DeadBallTurnovers,Turnovers,FTA,TwoPtShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyDefPoss,ShootingFouls,PenaltyOffPoss,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,Arc3FGA,PenaltyArc3FGA,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2A,PenaltyFG3A,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Loose Ball Fouls,PenaltyOffPossExcludingTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyArc3Frequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,OffThreePtRebounds,Offensive Fouls,OffThreePtReboundPct,OffCorner3ReboundPct,PenaltyFtPoints,PenaltyPoints,LiveBallTurnovers,BadPassTurnovers,PenaltyTurnovers,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyTsPct,LiveBallTurnoverPct,PenaltyPointsPct,ShortMidRangeFGM,LongMidRangeFGM,PenaltyFG2M,SecondChanceTurnovers,2pt And 1 Free Throw Trips,PenaltyFg2Pct,PenaltyEfgPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Fg2aBlocked,FG2APctBlocked,ShortMidRangePctBlocked,DefCorner3ReboundPct,SelfOReb,SelfORebPct,PenaltyAtRimFGA,SecondChanceFtPoints,FTDefRebounds,LostBallSteals,AtRimPctBlocked,DefFTReboundPct,OffArc3ReboundPct,PenaltyAtRimFrequency,BlockedLongMidRange,RecoveredBlocks,BlocksRecoveredPct,BadPassOutOfBoundsTurnovers,PenaltyAtRimFGM,NonShootingPenaltyNonTakeFouls,PenaltyAtRimAccuracy,LongMidRangeAssists,BlockedShortMidRange,LongMidRangePctAssisted,PenaltyCorner3FGA,ThreePtShootingFoulsDrawn,PenaltyCorner3Frequency,ThreePtShootingFoulsDrawnPct,HeaveAttempts,ShortMidRangeAssists,ShortMidRangePctAssisted,3SecondViolations,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,FG3M,SecondChanceFG3M,SecondChanceFG3A,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,NonHeaveArc3Accuracy,Technical Free Throw Trips,LostBallOutOfBoundsTurnovers,FTOffRebounds,OffFTReboundPct,Corner3FGM,PenaltyCorner3FGM,PenaltyFG3M,PtsUnassisted3s,LostBallTurnovers,StepOutOfBoundsTurnovers,PenaltyFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,PenaltyCorner3Accuracy,Travels,Blocked3s,BlockedArc3,PenaltyArc3FGM,Defensive 3 Seconds Violations,LongMidRangePctBlocked,SecondChanceAtRimPctAssisted,PenaltyArc3Accuracy,BlockedCorner3,Corner3Assists,Clear Path Fouls,Corner3PctAssisted,SecondChanceCorner3FGA,3pt And 1 Free Throw Trips,SecondChanceCorner3Frequency,OffensiveGoaltends,DefensiveGoaltends,SecondChanceCorner3FGM,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Corner3PctBlocked,HeaveMakes,team_id,year,season,team_vs
1049-109-1477-1500-1725,1610612759,"Shane Heal, Robert Horry, Bruce Bowen, Ron Mercer, Rasho Nesterovic","Heal, Horry, Bowen, Mercer, Nesterovic",1049-109-1477-1500-1725,SAS,72.0,1,1.0,3.0,2.0,5.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,0.5,100.0,6.666666666666667,26.0,6.666666666666667,25.0,1.0,0.5,0.5,1.0,1.0,0.70815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2004,2003-04,True
1049-109-1477-1500-788,1610612759,"Shane Heal, Robert Horry, Bruce Bowen, Ron Mercer, Kevin Willis","Heal, Horry, Bowen, Mercer, Willis",1049-109-1477-1500-788,SAS,30.0,1,,1.0,1.0,2.0,,,,,1.0,,,,,,,,,,1.0,,,,,0.5,96.0,16.0,14.0,16.0,14.0,,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2004,2003-04,True
1049-109-1477-2045-788,1610612759,"Shane Heal, Robert Horry, Bruce Bowen, Hedo Turkoglu, Kevin Willis","Heal, Horry, Bowen, Turkoglu, Willis",1049-109-1477-2045-788,SAS,10.0,1,,,1.0,1.0,,,,,,2.0,,,,,,,,1.0,,,,,,,144.0,,10.0,,10.0,,,,,,,-2.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2004,2003-04,True
1049-109-1477-2045-990,1610612759,"Shane Heal, Robert Horry, Bruce Bowen, Hedo Turkoglu, Malik Rose","Heal, Horry, Bowen, Turkoglu, Rose",1049-109-1477-2045-990,SAS,301.0,1,5.0,10.0,8.0,18.0,4.0,5.0,4.0,11.0,8.0,6.0,2.0,1.0,1.0,1.0,2.0,,,3.0,4.0,0.25,0.5,0.36363636363636365,0.3076923076923077,0.3076923076923077,86.11295681063123,15.4,18.375,15.3,16.625,0.38461538461538464,0.8,0.8,0.25,0.5384615384615384,0.4827346153846154,2.0,,,,,,,,2.0,1.0,2.0,3.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,2.0,1.0,6.0,4.0,1.0,3.0,1.0,3.0,4.0,3.0,7.0,2.0,2.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.15384615384615385,0.42857142857142855,0.42857142857142855,0.5,0.4444444444444444,0.3333333333333333,1.0,0.5,0.5,0.5,0.5,0.3076923076923077,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.6666666666666666,1.0,0.3333333333333333,0.42146666666666666,0.38148333333333334,0.5,6.236363636363635,23.65,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2004,2003-04,True
1049-109-1495-1500-2045,1610612759,"Shane Heal, Robert Horry, Tim Duncan, Ron Mercer, Hedo Turkoglu","Heal, Horry, Duncan, Mercer, Turkoglu",1049-109-1495-1500-2045,SAS,124.0,1,2.0,4.0,3.0,7.0,,1.0,,2.0,2.0,4.0,,,,,,,,1.0,2.0,,,,,0.25,81.29032258064515,21.5,12.666666666666666,14.25,12.666666666666666,0.3333333333333333,,,,0.6666666666666666,0.4475833333333334,-2.0,2.0,1.0,1.0,2.0,1.0,0.25,0.3333333333333333,,,,2.0,,1.0,1.0,,1.0,,,1.0,,2.0,,,,,,,,,1.0,1.0,1.0,2.0,,,,,,0.3333333333333333,1.0,,,1.0,0.3333333333333333,,,,1.0,,0.3333333333333333,,0.3333333333333333,,0.5,,,0.3362,,,7.1,23.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2004,2003-04,True
1049-109-1500-1725-2045,1610612759,"Shane Heal, Robert Horry, Ron Mercer, Rasho Nesterovic, Hedo Turkoglu","Heal, Horry, Mercer, Nesterovic, Turkoglu",1049-109-1500-1725-2045,SAS,208.0,2,3.0,7.0,6.0,13.0,,,,1.0,4.0,11.0,,,,,,,,5.0,4.0,,,,,0.5,90.0,13.857142857142858,18.5,12.142857142857142,15.666666666666666,,,,,0.5,0.48135,-7.0,4.0,1.0,3.0,4.0,,,,,2.0,3.0,1.0,,,1.0,,,1.0,,1.0,,1.0,,,,,,1.0,,,1.0,1.0,,1.0,1.0,3.0,,,,0.5,0.3333333333333333,,,0.25,,,,,1.0,,0.5,,,0.5,,,,0.3864,,,11.3,25.1,0.42857142857142855,,1.0,,,4.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,0.6666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2004,2003-04,True
1049-109-1500-2045-788,1610612759,"Shane Heal, Robert Horry, Ron Mercer, Hedo Turkoglu, Kevin Willis","Heal, Horry, Mercer, Turkoglu, Willis",1049-109-1500-2045-788,SAS,390.0,1,6.0,10.0,11.0,21.0,,,3.0,11.0,8.0,11.0,,,,,,1.0,1.0,3.0,6.0,,,0.2727272727272727,0.2727272727272727,0.3333333333333333,77.53846153846153,22.6,14.909090909090908,20.7,14.272727272727273,,,,,,0.3841545454545454,-3.0,2.0,2.0,2.0,3.0,2.0,0.16666666666666666,0.16666666666666666,6.0,2.0,4.0,4.0,,,5.0,6.0,,,,,1.0,3.0,2.0,4.0,,6.0,2.0,,4.0,2.0,2.0,4.0,4.0,8.0,,4.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.4,0.5,1.0,0.5714285714285714,0.5,,,,,1.0,0.45454545454545453,0.5454545454545454,,,,,,0.4287666666666667,0.4106,0.25,13.745454545454544,,0.4,,1.0,,,,2.0,,,1.0,,,,,2.0,0.25,,0.25,2.0,1.0,1.0,1.0,1.0,0.25,0.25,0.8,0.5,0.4,0.4,0.16666666666666666,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2004,2003-04,True
1049-109-1725-1938-2045,1610612759,"Shane Heal, Robert Horry, Rasho Nesterovic, Manu Ginobili, Hedo Turkoglu","Heal, Horry, Nesterovic, Ginobili, Turkoglu",1049-109-1725-1938-2045,SAS,155.0,3,3.0,5.0,5.0,10.0,,,1.0,4.0,4.0,5.0,,,,,,1.0,1.0,1.0,2.0,,,0.25,0.25,0.4,92.9032258064516,18.0,13.0,17.4,10.6,,,,,,0.375375,-1.0,2.0,,1.0,2.0,1.0,0.2,0.2,,1.0,,1.0,,,1.0,3.0,,,,,1.0,1.0,2.0,,,2.0,,,1.0,1.0,1.0,2.0,1.0,3.0,,,1.0,1.0,1.0,,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,,1.0,1.0,,,0.25,0.75,,,,,,0.3595,,0.5,14.65,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,0.3333333333333333,0.3333333333333333,1.0,0.25,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2004,2003-04,True
1049-109-1725-2045-2484,1610612759,"Shane Heal, Robert Horry, Rasho Nesterovic, Hedo Turkoglu, Devin Brown","Heal, Horry, Nesterovic, Turkoglu, Brown",1049-109-1725-2045-2484,SAS,98.0,1,2.0,2.0,3.0,5.0,,2.0,,3.0,,1.0,,,,,,1.0,1.0,1.0,,,,,,,73.46938775510205,24.0,16.666666666666668,15.5,16.666666666666668,0.5,,,,0.75,0.5257875,-1.0,,,,,,,,,1.0,,1.0,,2.0,1.0,,1.0,,,1.0,,2.0,,,,,,,2.0,,1.0,1.0,2.0,3.0,,,,,,0.25,1.0,0.6666666666666666,,1.0,0.5,0.5,1.0,,,,0.25,,0.25,,1.0,,,0.58105,,,5.5,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2004,2003-04,True
1049-109-1938-2045-788,1610612759,"Shane Heal, Robert Horry, Manu Ginobili, Hedo Turkoglu, Kevin Willis","Heal, Horry, Ginobili, Turkoglu, Willis",1049-109-1938-2045-788,SAS,529.0,2,9.0,16.0,18.0,34.0,2.0,7.0,3.0,13.0,7.0,18.0,,,,,,1.0,,5.0,4.0,,,0.23076923076923078,0.21428571428571427,0.25,92.55198487712666,16.75,14.5,15.8125,13.61111111111111,0.5,0.2857142857142857,0.3333333333333333,,0.5714285714285714,0.4671464285714286,-11.0,1.0,2.0,6.0,1.0,1.0,0.07142857142857142,0.07692307692307693,1.0,4.0,4.0,3.0,1.0,2.0,2.0,4.0,,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,6.0,2.0,1.0,3.0,2.0,5.0,8.0,4.0,12.0,,4.0,0.5,0.5,0.75,0.07142857142857142,0.8333333333333334,0.3,0.6666666666666666,0.7777777777777778,0.36363636363636365,0.2,0.5,1.0,1.0,0.6666666666666666,0.14285714285714285,0.2857142857142857,,0.07142857142857142,1.0,0.5,0.25,0.57205,0.5416375,0.42857142857142855,8.692307692307692,24.8,0.25,1.0,,1.0,,,,4.0,4.0,2.0,,,,,,,0.6666666666666666,,,1.0,,1.0,1.0,,,0.3333333333333333,0.6666666666666666,,,0.25,0.25,1.0,0.07692307692307693,,,1.0,0.1,2.0,1.0,1.0,1.0,0.14285714285714285,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2004,2003-04,True
