EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,Fouls,FirstChancePoints,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,SecondChanceOffPoss,LongMidRangeFGM,LongMidRangeFGA,FtPoints,SecondChanceFG2A,PtsUnassisted2s,Fg2aBlocked,LongMidRangeAssists,OffTwoPtRebounds,FTDefRebounds,OffRebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,ShootingFouls,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,BlocksRecoveredPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,HeaveAttempts,PenaltyOffPoss,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,DefThreePtRebounds,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,DefThreePtReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,PenaltyAtRimFGA,ShortMidRangeFGM,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFtPoints,PenaltyFG2M,PenaltyFtPoints,Corner3Assists,Steals,BadPassSteals,LostBallSteals,NonShootingFoulsDrawn,PenaltyFg2Pct,DefAtRimReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceTurnovers,Loose Ball Fouls,OffAtRimReboundPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,PtsPutbacks,ShortMidRangeAssists,SelfOReb,SecondChanceFg2Pct,DefCorner3ReboundPct,SelfORebPct,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PtsUnassisted3s,Fg3aBlocked,OffThreePtRebounds,LostBallTurnovers,BlockedLongMidRange,3SecondViolations,FG3APctBlocked,ShortMidRangePctBlocked,Corner3PctBlocked,OffThreePtReboundPct,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,OffArc3ReboundPct,FTOffRebounds,OffFTReboundPct,2pt And 1 Free Throw Trips,PenaltyAtRimFGM,BlockedAtRim,PenaltyAtRimAccuracy,PenaltyTurnovers,SecondChanceCorner3FGA,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Travels,Technical Free Throw Trips,DefensiveGoaltends,Defensive 3 Seconds Violations,SecondChanceCorner3Frequency,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,LongMidRangePctBlocked,Arc3PctBlocked,Blocked3s,BlockedArc3,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,team_id,year,season,team_vs
1904-2098-2416-406-56,1610612747,"Devean George, Slava Medvedenko, Kareem Rush, Shaquille O'Neal, Gary Payton","George, Medvedenko, Rush, O'Neal, Payton",1904-2098-2416-406-56,LAL,128.0,1,2.0,3.0,4.0,4.0,4.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.8333333333333334,0.8333333333333334,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,90.0,11.75,20.25,11.75,20.25,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,1.0,0.49498333333333333,5.2,27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2004,2003-04,False
1904-2098-2416-406-965,1610612747,"Devean George, Slava Medvedenko, Kareem Rush, Shaquille O'Neal, Derek Fisher","George, Medvedenko, Rush, O'Neal, Fisher",1904-2098-2416-406-965,LAL,692.0,5,12.0,-1.0,19.0,17.0,,36.0,4.0,5.0,4.0,1.0,2.0,5.0,12.0,1.0,2.0,17.0,18.0,8.0,3.0,2.0,1.0,4.0,1.0,5.0,1.0,3.0,11.0,7.0,8.0,9.0,1.0,1.0,3.0,9.0,17.0,,0.8,0.8,1.0,0.5,0.5,0.4166666666666667,0.4642857142857143,0.53125,0.14285714285714285,0.3333333333333333,0.5,0.5,0.75,0.2,74.91329479768787,18.57894736842105,19.941176470588236,17.894736842105264,17.647058823529413,0.35714285714285715,0.8,1.0,0.75,0.2857142857142857,0.14285714285714285,0.5,0.5,1.0,0.5,0.5,0.47926785714285713,7.608333333333333,24.3,1.0,1.0,3.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,3.0,3.0,3.0,2.0,0.08333333333333333,0.2,1.0,0.14285714285714285,0.125,0.25,0.6666666666666666,0.21428571428571427,0.3333333333333333,0.3333333333333333,1.0,0.3765,0.125,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2004,2003-04,False
1904-2098-2416-56-977,1610612747,"Devean George, Slava Medvedenko, Kareem Rush, Gary Payton, Kobe Bryant","George, Medvedenko, Rush, Payton, Bryant",1904-2098-2416-56-977,LAL,2.0,1,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,62.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2004,2003-04,False
1904-2098-252-56-977,1610612747,"Devean George, Slava Medvedenko, Karl Malone, Gary Payton, Kobe Bryant","George, Medvedenko, Malone, Payton, Bryant",1904-2098-252-56-977,LAL,125.0,1,2.0,-1.0,3.0,3.0,3.0,6.0,,,1.0,1.0,1.0,,2.0,1.0,1.0,3.0,4.0,,3.0,1.0,1.0,,1.0,1.0,1.0,,3.0,,1.0,2.0,,,,,,,,,1.0,1.0,1.0,,0.5,0.5,0.3333333333333333,,,1.0,,,69.11999999999999,24.666666666666668,17.0,17.666666666666668,17.0,,,,,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,0.3972333333333333,14.35,25.5,1.0,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,0.5,0.5,,,0.3333333333333333,,,,0.4908,,,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,1.5,0.5,1.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.3972333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2004,2003-04,False
1904-2098-252-965-977,1610612747,"Devean George, Slava Medvedenko, Karl Malone, Derek Fisher, Kobe Bryant","George, Medvedenko, Malone, Fisher, Bryant",1904-2098-252-965-977,LAL,193.0,1,3.0,8.0,7.0,6.0,6.0,13.0,,2.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,12.0,4.0,,6.0,1.0,1.0,,2.0,2.0,1.0,,6.0,2.0,2.0,3.0,,,,1.0,10.0,,,,1.0,1.0,1.0,0.25,0.6666666666666666,0.75,0.3333333333333333,,1.0,1.0,1.0,,96.99481865284974,12.428571428571429,17.666666666666668,12.428571428571429,17.666666666666668,0.3333333333333333,,,,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,0.6666666666666666,1.0,0.5480833333333334,5.8,24.4,1.0,,1.0,4.0,,2.0,1.0,,1.0,,1.0,,,1.0,,4.0,1.0,,,,,0.25,0.5,,0.5,0.5,,,0.16666666666666666,,,,,0.14285714285714285,0.2,,7.0,,,1.0,1.0,,,2.0,4.0,2.0,2.0,12.0,,12.0,7.0,,1.0,,0.6666666666666666,1.0,0.75,,1.0,,,,,0.16666666666666666,1.0,0.5480833333333334,0.16666666666666666,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.3333333333333333,0.16666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2004,2003-04,False
1904-2098-2567-56-977,1610612747,"Devean George, Slava Medvedenko, Brian Cook, Gary Payton, Kobe Bryant","George, Medvedenko, Cook, Payton, Bryant",1904-2098-2567-56-977,LAL,104.0,1,2.0,-8.0,3.0,4.0,4.0,7.0,,1.0,,,,,3.0,,,,8.0,,,,,,,,,,,,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,96.92307692307692,26.333333333333332,6.25,23.333333333333332,6.25,0.3333333333333333,,,,,,,,,0.3333333333333333,,0.47226666666666667,12.033333333333333,,1.0,,2.0,,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,0.3333333333333333,0.3333333333333333,,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2004,2003-04,False
1904-2098-406-56-965,1610612747,"Devean George, Slava Medvedenko, Shaquille O'Neal, Gary Payton, Derek Fisher","George, Medvedenko, O'Neal, Payton, Fisher",1904-2098-406-56-965,LAL,388.0,2,6.0,2.0,9.0,9.0,,18.0,1.0,5.0,2.0,1.0,3.0,3.0,9.0,1.0,3.0,9.0,7.0,4.0,3.0,3.0,1.0,2.0,1.0,3.0,1.0,,7.0,2.0,3.0,6.0,,,,2.0,7.0,,0.6666666666666666,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.375,0.375,0.25,,0.6666666666666666,0.6,1.0,0.5,66.80412371134021,20.0,23.11111111111111,19.555555555555557,21.333333333333332,0.4166666666666667,0.2,0.2,,0.16666666666666666,0.25,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.48743333333333333,6.044444444444444,24.46666666666667,2.0,,2.0,,3.0,2.0,,,3.0,,3.0,,,1.0,,,,,,,,,,,0.5,0.375,,,0.16666666666666666,,,,0.5336333333333333,,,,,,,,,,,2.0,,,,,1.0,,,,,0.3333333333333333,,0.3333333333333333,,0.5,0.5,,,,,,,,0.2222222222222222,,,,2.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,0.5,1.0,3.0,1.0,2.0,2.0,1.0,0.3333333333333333,1.0,0.125,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2004,2003-04,False
1904-2098-406-56-977,1610612747,"Devean George, Slava Medvedenko, Shaquille O'Neal, Gary Payton, Kobe Bryant","George, Medvedenko, O'Neal, Payton, Bryant",1904-2098-406-56-977,LAL,1552.0,6,26.0,1.0,43.0,46.0,20.0,89.0,9.0,17.0,7.0,1.0,4.0,18.0,39.0,1.0,8.0,42.0,41.0,20.0,,4.0,1.0,10.0,,10.0,,5.0,20.0,11.0,18.0,30.0,3.0,1.0,6.0,13.0,31.0,2.0,0.5555555555555556,0.625,,0.125,0.125,0.46153846153846156,0.4148936170212766,0.4117647058823529,0.1702127659574468,0.5,0.5789473684210527,0.6,0.6,0.2,82.57731958762886,17.651162790697676,17.23913043478261,16.72093023255814,15.804347826086957,0.3617021276595745,0.5294117647058824,0.6,0.5555555555555556,0.14893617021276595,0.0851063829787234,0.25,0.25,,0.5319148936170213,0.25,0.47878936170212766,8.653846153846153,24.45,9.0,6.0,15.0,3.0,6.0,16.0,4.0,4.0,9.0,3.0,12.0,1.0,3.0,7.0,,8.0,4.0,1.0,,1.0,,0.10256410256410256,0.11764705882352941,1.0,0.42857142857142855,0.42857142857142855,0.5,,0.3191489361702128,0.4,0.4,0.6666666666666666,0.4991833333333333,0.0784313725490196,0.09302325581395349,,3.0,,1.0,,,,1.0,11.0,3.0,,,2.0,4.0,2.0,3.0,,,0.5714285714285714,0.3333333333333333,0.5,0.3333333333333333,0.6666666666666666,0.2222222222222222,0.6,0.14285714285714285,,,,,0.4086666666666667,0.2619047619047619,0.047619047619047616,0.06976744186046512,,3.0,,4.0,,,3.0,1.0,,,3.0,,3.0,,0.3333333333333333,0.7777777777777778,0.42857142857142855,0.6,0.0851063829787234,,,,,,,1.0,1.0,0.625,3.0,5.0,4.0,4.0,1.0,3.0,0.6666666666666666,1.0,0.13043478260869565,0.3333333333333333,0.7142857142857143,0.6,3.0,1.0,3.0,2.0,1.0,2.0,0.125,0.2857142857142857,0.25,0.42857142857142855,0.75,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2004,2003-04,False
1904-2098-406-965-977,1610612747,"Devean George, Slava Medvedenko, Shaquille O'Neal, Derek Fisher, Kobe Bryant","George, Medvedenko, O'Neal, Fisher, Bryant",1904-2098-406-965-977,LAL,449.0,3,7.0,4.0,13.0,13.0,2.0,26.0,1.0,2.0,4.0,,1.0,6.0,11.0,,1.0,18.0,14.0,8.0,,1.0,,4.0,,4.0,,,8.0,4.0,5.0,7.0,,,,3.0,18.0,1.0,0.6666666666666666,0.6666666666666666,,,,0.5454545454545454,0.5,0.5625,0.08333333333333333,,1.0,1.0,1.0,1.0,83.38530066815144,19.384615384615383,15.153846153846153,17.53846153846154,15.153846153846153,0.16666666666666666,0.5,0.5,,0.3333333333333333,0.08333333333333333,,,,0.25,,0.4344208333333333,11.372727272727273,25.1,1.0,2.0,5.0,6.0,1.0,4.0,,1.0,1.0,,2.0,,,2.0,,8.0,2.0,1.0,1.0,1.0,1.0,,,,0.2,0.3333333333333333,,1.0,0.4166666666666667,0.4,0.4,0.5,0.3798,0.14285714285714285,0.15384615384615385,,2.0,,,,1.0,,,,1.0,,1.0,2.0,1.0,2.0,2.0,,,,,,0.25,1.0,0.3333333333333333,,,,,0.5,,0.578025,,0.1111111111111111,0.15384615384615385,1.0,3.0,,,,,,,2.0,,,,,2.0,,,0.75,0.75,,,,,0.5,,,,,,,,,,3.0,,,1.0,,1.0,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2004,2003-04,False
1904-2416-252-406-56,1610612747,"Devean George, Kareem Rush, Karl Malone, Shaquille O'Neal, Gary Payton","George, Rush, Malone, O'Neal, Payton",1904-2416-252-406-56,LAL,298.0,4,5.0,-3.0,9.0,7.0,5.0,16.0,1.0,3.0,2.0,,3.0,3.0,7.0,,3.0,6.0,9.0,4.0,,3.0,,2.0,,2.0,,,4.0,2.0,2.0,4.0,,,,4.0,6.0,1.0,0.6666666666666666,0.6666666666666666,,,,0.42857142857142855,0.3,0.3,0.3,,1.0,0.6666666666666666,,1.0,77.31543624161074,18.11111111111111,19.285714285714285,15.777777777777779,17.857142857142858,0.3,0.3333333333333333,0.5,,0.2,0.3,,,,0.6,,0.49055,6.885714285714286,24.8,2.0,1.0,2.0,,1.0,2.0,1.0,1.0,,,2.0,,,1.0,,,,,,,,0.14285714285714285,0.3333333333333333,,,0.14285714285714285,,,0.2,0.5,0.5,1.0,0.54795,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,0.5,0.5,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,0.5,,,,1.0,,,,,,,0.3333333333333333,,,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1610612747,2004,2003-04,False
