EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,OffTwoPtRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Turnovers,Fouls,Offensive Fouls,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,SecondChanceArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,AtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,FtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefAtRimReboundPct,BlocksRecoveredPct,AtRimAssists,DefThreePtRebounds,DefThreePtReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimPctAssisted,LiveBallTurnovers,BadPassTurnovers,Loose Ball Fouls,LiveBallTurnoverPct,PenaltyTurnovers,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG3M,SecondChanceFtPoints,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsPutbacks,ThreePtAssists,Corner3Assists,FTDefRebounds,SelfOReb,Steals,BadPassSteals,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,ShootingFouls,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,DefFTReboundPct,OffLongMidRangeReboundPct,SelfORebPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ShortMidRangeAssists,LostBallSteals,ShortMidRangePctAssisted,BlockedLongMidRange,Arc3FGM,NonHeaveArc3FGM,Arc3Assists,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,BadPassOutOfBoundsTurnovers,ShortMidRangePctBlocked,PtsUnassisted3s,StepOutOfBoundsTurnovers,Technical Free Throw Trips,DefCorner3ReboundPct,Blocked3s,BlockedArc3,SecondChanceAtRimPctAssisted,OffThreePtRebounds,BlockedShortMidRange,OffThreePtReboundPct,OffCorner3ReboundPct,PenaltyArc3FGA,3SecondViolations,PenaltyArc3Frequency,Defensive 3 Seconds Violations,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3FGM,SecondChanceFG3M,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGM,OffArc3ReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3FGM,PenaltyArc3Accuracy,team_id,year,season,team_vs
1720-1763-1863-1889-2365,1610612743,"Michael Doleac, Ryan Bowen, Earl Boykins, Andre Miller, Chris Andersen","Doleac, Bowen, Boykins, Miller, Andersen",1720-1763-1863-1889-2365,DEN,98.0,1,2.0,-2.0,3.0,3,3.0,2.0,6,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.25,0.5,0.25,0.5,0.25,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,1.0,88.16326530612245,14.333333333333334,18.333333333333332,11.333333333333334,18.333333333333332,0.25,0.5,0.5,0.5,0.25,0.5,0.5,0.4736625,0.464275,1.0,3.4,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2004,2003-04,True
1720-1763-1863-2206-2365,1610612743,"Michael Doleac, Ryan Bowen, Earl Boykins, Rodney White, Chris Andersen","Doleac, Bowen, Boykins, White, Andersen",1720-1763-1863-2206-2365,DEN,176.0,1,3.0,-5.0,6.0,6,6.0,,12,1.0,,,,,2.0,4.0,,5.0,10.0,,,,,2.0,,,,,1.0,,,1.0,,0.5,,0.5,,0.5,,,,,,,,,98.18181818181819,20.0,9.333333333333334,20.0,8.666666666666666,0.25,,,,,,0.25,0.430375,,,14.25,,6.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,4.0,1.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,5.0,5.0,6.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.75,0.3333333333333333,0.3333333333333333,1.0,0.25,1.0,0.430375,0.2,0.2,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2004,2003-04,True
1720-1863-1889-2206-2365,1610612743,"Michael Doleac, Earl Boykins, Andre Miller, Rodney White, Chris Andersen","Doleac, Boykins, Miller, White, Andersen",1720-1863-1889-2206-2365,DEN,80.0,1,1.0,2.0,3.0,2,2.0,,5,,,1.0,,,1.0,3.0,,2.0,,,,,,2.0,,,,,1.0,,,1.0,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,,,,,,,,90.0,16.666666666666668,15.0,16.666666666666668,15.0,,0.3333333333333333,,,,,,0.3432,,,13.833333333333334,,3.0,,,,1.0,2.0,,1.0,3.0,,2.0,,,,,,1.0,1.0,,,2.0,2.0,3.0,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,,,,0.6666666666666666,0.5,0.5,,,,0.3432,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2004,2003-04,True
1720-1863-1889-2206-468,1610612743,"Michael Doleac, Earl Boykins, Andre Miller, Rodney White, Jon Barry","Doleac, Boykins, Miller, White, Barry",1720-1863-1889-2206-468,DEN,126.0,1,2.0,,2.0,4,1.0,,6,1.0,1.0,1.0,,,2.0,2.0,,4.0,4.0,,,,,2.0,,,,,2.0,,,,,1.0,,1.0,,1.0,,,,,,,,,68.57142857142857,31.5,15.75,31.5,15.75,0.5,0.5,1.0,1.0,,,0.5,0.44245,,,6.0,,,1.0,,,,,,,,,,2.0,1.0,1.0,,2.0,1.0,2.0,,,4.0,,,,0.5,0.5,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2004,2003-04,True
1720-1863-1889-2365-468,1610612743,"Michael Doleac, Earl Boykins, Andre Miller, Chris Andersen, Jon Barry","Doleac, Boykins, Miller, Andersen, Barry",1720-1863-1889-2365-468,DEN,178.0,1,3.0,-4.0,4.0,5,,,9,,,,,,1.0,2.0,,4.0,8.0,,,,,2.0,,,,,,,1.0,3.0,,0.5,,0.5,,0.6666666666666666,,,,,,,,,72.80898876404494,16.75,22.2,16.75,19.4,,,,,,,,0.4277,,,20.4,,,,,,1.0,2.0,2.0,,,,,,,,,,,,2.0,1.0,4.0,,,,,,,,,,,,,,1.0,0.5,0.5,,,,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2004,2003-04,True
1720-1863-1889-2403-468,1610612743,"Michael Doleac, Earl Boykins, Andre Miller, Nene, Jon Barry","Doleac, Boykins, Miller, Nene, Barry",1720-1863-1889-2403-468,DEN,31.0,1,1.0,,1.0,1,1.0,,2,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,92.9032258064516,19.0,12.0,19.0,12.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2004,2003-04,True
1720-1863-1889-2403-702,1610612743,"Michael Doleac, Earl Boykins, Andre Miller, Nene, Voshon Lenard","Doleac, Boykins, Miller, Nene, Lenard",1720-1863-1889-2403-702,DEN,89.0,1,1.0,4.0,3.0,2,,,5,,2.0,2.0,,,2.0,2.0,,4.0,,,,,,4.0,,,,,1.0,,,,,1.0,,1.0,,0.6666666666666666,,,,,,,,,80.89887640449437,14.0,23.5,14.0,23.5,,1.0,1.0,1.0,,,,0.3833,,,9.85,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,4.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2004,2003-04,True
1720-1863-1889-702-948,1610612743,"Michael Doleac, Earl Boykins, Andre Miller, Voshon Lenard, Marcus Camby","Doleac, Boykins, Miller, Lenard, Camby",1720-1863-1889-702-948,DEN,692.0,1,12.0,-11.0,20.0,22,5.0,3.0,42,2.0,1.0,3.0,,,3.0,11.0,1.0,15.0,26.0,1.0,1.0,,3.0,6.0,,,3.0,3.0,11.0,4.0,8.0,10.0,1.0,0.2727272727272727,1.0,0.375,1.0,0.5,1.5,0.08333333333333333,,,0.375,0.375,,0.5,87.39884393063583,17.2,15.818181818181818,16.4,14.818181818181818,0.16666666666666666,0.25,0.3333333333333333,0.3333333333333333,,,0.25,0.4467125,0.5619,0.2,13.063636363636363,22.8,9.0,2.0,1.0,1.0,,6.0,6.0,2.0,3.0,4.0,11.0,,,1.0,,3.0,6.0,8.0,8.0,3.0,12.0,11.0,9.0,1.0,,,0.6666666666666666,0.875,0.9166666666666666,1.0,0.875,,1.0,1.0,0.5,,,,0.25,1.0,0.4680125,0.23076923076923078,0.25,0.7333333333333333,0.45,,,,,1.0,,,1.0,0.5,1.0,0.5,,4.0,2.0,1.0,0.5,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.125,0.08333333333333333,1.0,1.0,1.0,1.0,1.0,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2004,2003-04,True
1720-1863-1922-2546-468,1610612743,"Michael Doleac, Earl Boykins, Francisco Elson, Carmelo Anthony, Jon Barry","Doleac, Boykins, Elson, Anthony, Barry",1720-1863-1922-2546-468,DEN,192.0,2,3.0,2.0,6.0,6,2.0,1.0,12,1.0,1.0,4.0,1.0,,2.0,5.0,1.0,6.0,4.0,1.0,1.0,,2.0,2.0,1.0,,2.0,2.0,5.0,,1.0,2.0,,0.4,1.0,0.3333333333333333,1.0,0.42857142857142855,1.0,0.16666666666666666,,,0.6666666666666666,0.5,,0.6666666666666666,90.0,15.166666666666666,16.833333333333332,14.833333333333334,15.166666666666666,0.16666666666666666,0.6666666666666666,0.25,0.25,0.16666666666666666,,0.3333333333333333,0.44635,0.5649,0.3333333333333333,6.04,24.6,2.0,1.0,,,,,2.0,,,2.0,2.0,2.0,1.0,1.0,,2.0,2.0,3.0,2.0,,4.0,2.0,2.0,,0.5,1.0,,,1.0,0.5,0.5,1.0,1.0,1.0,,,,,,,,,,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,,,,,,,0.5,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,2.0,,,1.0,,1.0,,,1.0,,,1.0,,1.0,,,,,1.0,,,,,,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2004,2003-04,True
1720-1863-1922-2546-702,1610612743,"Michael Doleac, Earl Boykins, Francisco Elson, Carmelo Anthony, Voshon Lenard","Doleac, Boykins, Elson, Anthony, Lenard",1720-1863-1922-2546-702,DEN,59.0,1,1.0,1.0,1.0,2,1.0,,3,,,,,,,,1.0,3.0,2.0,,,,,,,,,,1.0,,,1.0,,,,1.5,,1.5,,1.0,,,,,,,73.22033898305085,18.0,20.5,18.0,20.0,,,,,,,1.0,0.6048,,,,22.7,1.0,,,,,,,,,,3.0,,,1.0,,3.0,1.0,1.0,,,3.0,3.0,1.0,,,,,1.5,1.5,0.5,0.5,,,,,,,,,,0.6048,,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,0.5,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,3.0,,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2004,2003-04,True
