EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,ShootingFouls,Fouls,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,SecondChanceOffPoss,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,FtPoints,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted3s,HeaveMakes,HeaveAttempts,NonHeaveArc3FGA,OffTwoPtRebounds,OffRebounds,Rebounds,FTA,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg3Pct,PenaltyFg3Pct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,ShortMidRangeFGA,PtsUnassisted2s,Steals,BadPassSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,LiveBallTurnoverPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,DefTwoPtRebounds,DefRebounds,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Assisted3sPct,NonHeaveFg3Pct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,Arc3PctAssisted,NonHeaveArc3Accuracy,SecondChanceFG2A,OffThreePtRebounds,LostBallSteals,OffThreePtReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,PenaltyDefPoss,ShortMidRangeAssists,TwoPtShootingFoulsDrawn,BlockedShortMidRange,DefShortMidRangeReboundPct,ShortMidRangePctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceAtRimFGA,LongMidRangeFGM,SecondChanceFG2M,LongMidRangeAssists,DefThreePtRebounds,FTDefRebounds,DeadBallTurnovers,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,DefFTReboundPct,DefThreePtReboundPct,OffAtRimReboundPct,DefArc3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,PenaltyAtRimFGA,Fg2aBlocked,PenaltyTurnovers,FG2APctBlocked,AtRimPctBlocked,PenaltyAtRimFrequency,Loose Ball Fouls,ShortMidRangePctBlocked,PenaltyAtRimFGM,PenaltyFG2M,PenaltyFg2Pct,PenaltyAtRimAccuracy,Travels,Technical Free Throw Trips,SecondChanceAtRimFGM,Corner3FGA,SecondChanceArc3FGA,SecondChanceFG3A,PtsPutbacks,SelfOReb,Offensive Fouls,2pt And 1 Free Throw Trips,OffShortMidRangeReboundPct,SelfORebPct,Corner3Frequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,Corner3Assists,SecondChanceTurnovers,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,BadPassOutOfBoundsTurnovers,DefCorner3ReboundPct,BlockedLongMidRange,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,StepOutOfBoundsTurnovers,BadPassTurnovers,OffCorner3ReboundPct,DefensiveGoaltends,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Clear Path Fouls,Defensive 3 Seconds Violations,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,FTOffRebounds,OffFTReboundPct,LostBallOutOfBoundsTurnovers,SecondChanceAtRimPctAssisted,LongMidRangePctBlocked,Blocked3s,BlockedCorner3,3SecondViolations,BlockedArc3,3pt And 1 Free Throw Trips,OffensiveGoaltends,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Corner3PctBlocked,team_id,year,season,team_vs
1502-1601-2073-2202-2211,1610612744,"Adonal Foyle, Rusty LaRue, Brian Cardinal, Jason Richardson, Troy Murphy","Foyle, LaRue, Cardinal, Richardson, Murphy",1502-1601-2073-2202-2211,GSW,77.0,1,1.0,-1.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,0.5,93.5064935064935,18.5,13.333333333333334,18.5,13.333333333333334,0.5,1.0,1.0,1.0,0.5,0.5,0.47405,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2004,2003-04,True
1502-1601-2073-2202-2554,1610612744,"Adonal Foyle, Rusty LaRue, Brian Cardinal, Jason Richardson, Mickael Pietrus","Foyle, LaRue, Cardinal, Richardson, Pietrus",1502-1601-2073-2202-2554,GSW,35.0,1,1.0,5.0,2.0,,2.0,,,1.0,,1.0,5.0,,,,,,,,,3.0,,,,0.75,0.8333333333333334,82.28571428571428,7.0,,7.0,,,,,,0.5,0.5,0.4079,17.6,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,5.0,3.0,1.0,1.0,-1.0,1.0,1.0,1.0,2.0,1.0,5.0,2.0,1.0,1.0,0.75,1.0,0.8333333333333334,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.4079,0.4,1.0,47.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2004,2003-04,True
1502-1601-2073-2202-384,1610612744,"Adonal Foyle, Rusty LaRue, Brian Cardinal, Jason Richardson, Calbert Cheaney","Foyle, LaRue, Cardinal, Richardson, Cheaney",1502-1601-2073-2202-384,GSW,133.0,1,2.0,-2.0,3.0,4.0,7.0,,1.0,,1.0,2.0,2.0,4.0,,,,,,,1.0,2.0,,,0.5,0.5,0.5,75.78947368421052,19.0,19.0,19.0,19.0,0.5,,,,,0.5,0.40555,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2004,2003-04,True
1502-1601-2073-2399-361,1610612744,"Adonal Foyle, Rusty LaRue, Brian Cardinal, Mike Dunleavy, Clifford Robinson","Foyle, LaRue, Cardinal, Dunleavy, Robinson",1502-1601-2073-2399-361,GSW,101.0,1,2.0,5.0,3.0,3.0,6.0,1.0,1.0,1.0,1.0,2.0,5.0,,2.0,1.0,2.0,1.0,5.0,,,5.0,1.0,1.0,0.5,0.8333333333333334,0.8333333333333334,85.54455445544555,15.333333333333334,18.333333333333332,15.333333333333334,16.333333333333332,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.5089166666666667,10.15,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,0.3333333333333333,,,,0.3333333333333333,1.0,1.0,,,,,,24.7,,,,,1.0,1.0,,,,,,,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2004,2003-04,True
1502-1601-2073-2399-384,1610612744,"Adonal Foyle, Rusty LaRue, Brian Cardinal, Mike Dunleavy, Calbert Cheaney","Foyle, LaRue, Cardinal, Dunleavy, Cheaney",1502-1601-2073-2399-384,GSW,91.0,1,2.0,3.0,3.0,3.0,6.0,2.0,2.0,,2.0,3.0,4.0,1.0,,,,,,1.0,1.0,4.0,,,0.6666666666666666,0.5,0.5,94.94505494505495,13.333333333333334,17.0,11.333333333333334,17.0,0.5,1.0,1.0,,,0.75,0.595025,1.8,,1.0,,1.0,,,,1.0,,,,,,,,,,,,1.0,,1.0,2.0,,,,,,,,,,0.25,,0.5,,0.25,,,,,,,,25.7,,,1.0,4.0,1.0,,,,,,0.25,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2004,2003-04,True
1502-1601-2073-361-384,1610612744,"Adonal Foyle, Rusty LaRue, Brian Cardinal, Clifford Robinson, Calbert Cheaney","Foyle, LaRue, Cardinal, Robinson, Cheaney",1502-1601-2073-361-384,GSW,64.0,2,1.0,7.0,3.0,1.0,4.0,,,,1.0,1.0,7.0,,2.0,1.0,1.0,,2.0,,,7.0,1.0,1.0,1.0,1.25,1.1666666666666667,90.0,15.0,19.0,15.0,19.0,,,,,,0.5,0.482325,7.0,,,1.0,1.0,,,1.0,1.0,2.0,,,,,,,,3.0,,,1.0,,,1.0,2.0,,,,1.0,,,,,0.5,,,,0.5,1.0,1.0,,,,,,25.8,,1.0,1.0,,,,,,,,0.5,1.0,1.0,,1.0,,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2004,2003-04,True
1502-2049-2073-2202-2211,1610612744,"Adonal Foyle, Speedy Claxton, Brian Cardinal, Jason Richardson, Troy Murphy","Foyle, Claxton, Cardinal, Richardson, Murphy",1502-2049-2073-2202-2211,GSW,307.0,1,5.0,-6.0,12.0,11.0,23.0,,2.0,8.0,3.0,10.0,7.0,13.0,6.0,3.0,3.0,,6.0,3.0,4.0,5.0,1.0,1.0,0.3,0.3,0.2916666666666667,107.8827361563518,11.25,15.636363636363637,10.916666666666666,14.363636363636363,0.2,,,,0.8,0.2,0.43907999999999997,14.8,2.0,2.0,,,,,,,1.0,,2.0,1.0,,,,,,,,,2.0,2.0,7.0,4.0,1.0,,2.0,,,,0.5,,,0.2857142857142857,0.2857142857142857,0.2,,,,,,0.3661,0.2857142857142857,,,0.16666666666666666,,,,1.0,1.0,1.0,1.0,2.0,0.5,,,,,,,,3.0,5.0,2.0,1.0,2.0,1.0,,,0.75,0.8,,0.5,,,2.0,,,,,1.0,11.0,,1.0,1.0,1.0,,0.09090909090909091,0.09090909090909091,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.375,0.375,1.0,0.5,0.48115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2004,2003-04,True
1502-2049-2073-2202-2399,1610612744,"Adonal Foyle, Speedy Claxton, Brian Cardinal, Jason Richardson, Mike Dunleavy","Foyle, Claxton, Cardinal, Richardson, Dunleavy",1502-2049-2073-2202-2399,GSW,72.0,1,1.0,-5.0,2.0,3.0,5.0,,1.0,,,1.0,,5.0,,,,,,,1.0,,,,,,,100.0,20.5,10.333333333333334,20.5,10.333333333333334,1.0,,,,,1.0,0.5038,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,0.5038,,,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,0.5,0.5,1.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2004,2003-04,True
1502-2049-2073-2202-361,1610612744,"Adonal Foyle, Speedy Claxton, Brian Cardinal, Jason Richardson, Clifford Robinson","Foyle, Claxton, Cardinal, Richardson, Robinson",1502-2049-2073-2202-361,GSW,661.0,3,11.0,,20.0,19.0,39.0,2.0,3.0,10.0,7.0,18.0,18.0,18.0,12.0,6.0,6.0,1.0,12.0,3.0,6.0,15.0,0.8571428571428571,0.8571428571428571,0.3888888888888889,0.3684210526315789,0.4090909090909091,84.96217851739787,15.55,18.42105263157895,15.45,17.05263157894737,0.15789473684210525,0.6666666666666666,0.6666666666666666,0.5,0.5263157894736842,0.21052631578947367,0.42377368421052636,11.705555555555556,2.0,2.0,,1.0,,,,1.0,4.0,1.0,3.0,1.0,,,1.0,1.0,,,,1.0,2.0,2.0,10.0,6.0,,1.0,2.0,,,,0.75,0.25,0.05263157894736842,0.18181818181818182,0.16666666666666666,0.3333333333333333,0.05263157894736842,,,,,0.3802,0.16666666666666666,0.05555555555555555,24.4,0.1,1.0,5.0,2.0,2.0,2.0,,,,,0.2631578947368421,0.2,0.25,,,,,6.0,8.0,,,,,,,0.6,0.6363636363636364,1.0,,,,1.0,,,,,0.75,2.0,1.0,3.0,,0.25,1.0,0.13636363636363635,0.14285714285714285,,4.0,1.0,4.0,1.0,1.0,,,1.0,1.0,0.5,1.0,,1.0,0.4,0.4,1.0,,0.4426,,1.0,,0.05555555555555555,,,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2004,2003-04,True
1502-2049-2073-2202-384,1610612744,"Adonal Foyle, Speedy Claxton, Brian Cardinal, Jason Richardson, Calbert Cheaney","Foyle, Claxton, Cardinal, Richardson, Cheaney",1502-2049-2073-2202-384,GSW,83.0,2,1.0,2.0,4.0,3.0,7.0,1.0,1.0,1.0,1.0,2.0,5.0,3.0,2.0,1.0,1.0,1.0,2.0,,1.0,5.0,1.0,1.0,0.5,0.5,0.625,121.44578313253012,9.25,15.333333333333334,9.25,14.666666666666666,0.5,1.0,1.0,1.0,0.5,0.5,0.32785,9.7,4.0,1.0,,,,,,,3.0,,,2.0,,,3.0,5.0,,,,,1.0,1.0,3.0,4.0,1.0,5.0,4.0,,,0.5,,0.625,,1.0,1.0,1.0,,,,,,0.32785,,1.0,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,3.0,,1.0,,,,0.3333333333333333,0.3333333333333333,,,,,,2.0,,1.0,,,1.0,,,,,,,,,1.0,,,,,0.5,,,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2004,2003-04,True
