EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFtPoints,SecondChancePoints,PtsAssisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,FTOffRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,SecondChanceTsPct,OffFTReboundPct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,PenaltyDefPoss,Corner3FGA,FG3A,FTDefRebounds,NonShootingPenaltyNonTakeFouls,FG3APct,DefFTReboundPct,DefAtRimReboundPct,Corner3Frequency,AtRimFG3AFrequency,Avg3ptShotDistance,PenaltyOffPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,Fg2aBlocked,AtRimAssists,OffTwoPtRebounds,DefThreePtRebounds,BadPassSteals,Technical Free Throw Trips,NonShootingFoulsDrawn,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,LiveBallTurnovers,LostBallTurnovers,Turnovers,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,LiveBallTurnoverPct,BlocksRecoveredPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,PtsPutbacks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,BlockedLongMidRange,ShortMidRangePctBlocked,Arc3FGA,PenaltyArc3FGA,PenaltyFG3A,NonHeaveArc3FGA,ShortMidRangeAssists,PenaltyTurnovers,BlockedShortMidRange,OffLongMidRangeReboundPct,ShortMidRangePctAssisted,Arc3Frequency,PenaltyArc3Frequency,PenaltyCorner3FGA,BadPassTurnovers,SecondChanceTurnovers,Offensive Fouls,OffAtRimReboundPct,PenaltyCorner3Frequency,DefCorner3ReboundPct,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Loose Ball Fouls,Travels,OffThreePtRebounds,SelfOReb,LostBallOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,OffThreePtReboundPct,OffCorner3ReboundPct,SelfORebPct,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Defensive 3 Seconds Violations,SecondChanceFg3Pct,OffArc3ReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Corner3FGM,PenaltyCorner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,SecondChanceCorner3FGA,Blocked3s,BlockedArc3,SecondChanceCorner3Frequency,BlockedCorner3,SecondChanceAtRimPctAssisted,OffensiveGoaltends,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,3SecondViolations,LongMidRangePctBlocked,PtsUnassisted3s,StepOutOfBoundsTurnovers,HeaveAttempts,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Clear Path Fouls,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,3pt And 1 Free Throw Trips,HeaveMakes,team_id,year,season,team_vs
1065-1496-1510-2046-2429,1610612749,"Erick Strickland, Keith Van Horn, Brevin Knight, Desmond Mason, Dan Gadzuric","Strickland, Van Horn, Knight, Mason, Gadzuric",1065-1496-1510-2046-2429,MIL,91.0,1,2.0,4.0,3.0,3.0,1.0,6.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,1.0,1.0,0.5,0.5,0.625,1.0,1.0,1.0,1.0,1.0,94.94505494505495,16.666666666666668,13.666666666666666,16.0,13.666666666666666,0.5,0.5,1.0,1.0,1.0,0.366,0.5,0.5,0.4,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2004,2003-04,False
1065-1496-1730-1800-2072,1610612749,"Erick Strickland, Keith Van Horn, Brian Skinner, Damon Jones, Michael Redd","Strickland, Van Horn, Skinner, Jones, Redd",1065-1496-1730-1800-2072,MIL,36.0,1,1.0,-1.0,2.0,2.0,,4.0,1.0,,,,1.0,,,1.0,,,,,,,,,1.0,2.0,,2.0,,,,1.0,,,,,,,,,,,0.5,0.5,,160.0,12.0,6.0,12.0,4.5,0.5,,,,,0.521125,,,,9.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.5,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2004,2003-04,False
1065-1496-1730-2046-2072,1610612749,"Erick Strickland, Keith Van Horn, Brian Skinner, Desmond Mason, Michael Redd","Strickland, Van Horn, Skinner, Mason, Redd",1065-1496-1730-2046-2072,MIL,478.0,2,8.0,-2.0,14.0,15.0,1.0,29.0,4.0,2.0,3.0,4.0,10.0,8.0,16.0,18.0,,,4.0,2.0,2.0,1.0,4.0,1.0,3.0,4.0,2.0,6.0,2.0,1.0,1.0,2.0,11.0,1.0,16.0,0.5,0.5,0.4,0.36363636363636365,0.46875,,0.5,0.5,0.5,1.0,87.36401673640167,14.214285714285714,18.6,13.928571428571429,17.2,0.36363636363636365,0.2727272727272727,0.6666666666666666,0.6666666666666666,0.5,0.4595318181818182,0.08333333333333333,0.09090909090909091,,8.059999999999999,2.0,1.0,1.0,,,0.09090909090909091,,,0.09090909090909091,0.36363636363636365,23.9,8.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,4.0,7.0,11.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,11.0,8.0,0.5,0.5,0.6111111111111112,0.1,0.3333333333333333,0.16666666666666666,0.5,0.14285714285714285,0.3333333333333333,0.3333333333333333,0.5,0.2727272727272727,0.3333333333333333,0.5,1.0,0.25,0.25,0.5,0.5,0.4365,0.5447,0.6875,0.5714285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2004,2003-04,False
1065-1496-1730-2046-2409,1610612749,"Erick Strickland, Keith Van Horn, Brian Skinner, Desmond Mason, Marcus Haislip","Strickland, Van Horn, Skinner, Mason, Haislip",1065-1496-1730-2046-2409,MIL,108.0,1,2.0,-3.0,3.0,3.0,,6.0,2.0,,,1.0,2.0,,2.0,5.0,,,,,,,,,1.0,1.0,,1.0,,,,1.0,,,2.0,,,0.5,0.5,0.5,,,1.0,1.0,,80.0,17.666666666666668,18.333333333333332,17.666666666666668,18.333333333333332,1.0,,,,,0.39005,,,,10.95,,,,,,,,1.0,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2004,2003-04,False
1065-1496-1730-2072-389,1610612749,"Erick Strickland, Keith Van Horn, Brian Skinner, Michael Redd, Toni Kukoc","Strickland, Van Horn, Skinner, Redd, Kukoc",1065-1496-1730-2072-389,MIL,124.0,1,2.0,-2.0,3.0,4.0,1.0,7.0,1.0,,1.0,2.0,4.0,,4.0,6.0,,2.0,2.0,1.0,1.0,,2.0,,,,1.0,1.0,1.0,,1.0,1.0,,,2.0,0.5,1.0,0.5,0.5,0.5,1.0,,,,,81.29032258064515,15.0,19.75,14.333333333333334,19.25,0.25,0.25,,,,0.435325,,,0.5,8.55,,,,,,,,,,0.5,,3.0,2.0,2.0,2.0,2.0,,1.0,2.0,4.0,,4.0,2.0,,1.0,1.0,,1.0,,,,4.0,3.0,0.5,0.5,0.5,,,0.5,,0.5,1.0,,,0.5,1.0,1.0,0.5,,,0.5,1.0,0.3265,0.435325,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2004,2003-04,False
1065-1496-1800-2046-2429,1610612749,"Erick Strickland, Keith Van Horn, Damon Jones, Desmond Mason, Dan Gadzuric","Strickland, Van Horn, Jones, Mason, Gadzuric",1065-1496-1800-2046-2429,MIL,139.0,1,2.0,,4.0,4.0,,8.0,1.0,,,2.0,3.0,,4.0,4.0,,,2.0,1.0,1.0,,2.0,,2.0,2.0,,2.0,,,1.0,2.0,,,4.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,1.0,1.0,1.0,82.87769784172662,17.75,17.0,17.75,17.0,0.3333333333333333,,,,,0.5154,,,,2.966666666666667,,,,,,,,,,0.6666666666666666,,,2.0,2.0,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,0.3333333333333333,,,,,,,,0.6666666666666666,1.0,1.0,0.5,,,,,,,,,,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2004,2003-04,False
1065-1496-1800-2046-389,1610612749,"Erick Strickland, Keith Van Horn, Damon Jones, Desmond Mason, Toni Kukoc","Strickland, Van Horn, Jones, Mason, Kukoc",1065-1496-1800-2046-389,MIL,245.0,1,4.0,4.0,7.0,7.0,1.0,14.0,1.0,,2.0,2.0,4.0,6.0,10.0,6.0,3.0,3.0,2.0,1.0,1.0,,2.0,,1.0,2.0,1.0,3.0,,,,,6.0,2.0,7.0,0.5,0.5,0.5,0.4,0.5714285714285714,1.0,,0.25,0.4,,82.28571428571429,17.714285714285715,17.285714285714285,17.714285714285715,15.285714285714286,0.2,0.4,,,,0.4487,0.2857142857142857,0.3333333333333333,0.3,12.075,6.0,,1.0,,,0.2,,,,0.4,26.6,7.0,1.0,1.0,1.0,1.0,1.0,,2.0,4.0,6.0,10.0,2.0,,,1.0,1.0,,2.0,,,10.0,7.0,0.5,0.4,0.5714285714285714,,,0.5,1.0,0.3333333333333333,,0.5,1.0,0.2,1.0,1.0,,1.0,1.0,0.2,1.0,,0.4487,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2004,2003-04,False
1065-1496-1800-2046-693,1610612749,"Erick Strickland, Keith Van Horn, Damon Jones, Desmond Mason, Joe Smith","Strickland, Van Horn, Jones, Mason, Smith",1065-1496-1800-2046-693,MIL,220.0,1,4.0,-3.0,8.0,8.0,2.0,16.0,1.0,,2.0,1.0,6.0,2.0,4.0,7.0,,,,,,,,1.0,1.0,1.0,3.0,4.0,2.0,1.0,,2.0,2.0,,4.0,,,0.16666666666666666,0.125,0.2222222222222222,,1.0,0.3333333333333333,0.3333333333333333,0.5,104.72727272727273,13.625,13.875,12.5,12.375,0.125,0.25,,,,0.48071875,,,,8.883333333333333,8.0,1.0,2.0,,1.0,0.25,,,0.125,0.625,24.55,5.0,1.0,3.0,,,,2.0,,2.0,2.0,2.0,2.0,,,2.0,,1.0,,1.0,,2.0,5.0,,,0.2,,,0.5,,0.3333333333333333,,,,0.375,0.3333333333333333,0.3333333333333333,,,,,,0.56515,0.4220875,0.5,0.625,1.0,,2.0,,,,,0.5,,,2.0,,,,,1.0,,,1.0,,,1.0,1.0,2.0,1.0,,1.0,,1.0,,0.125,0.25,1.0,1.0,1.0,1.0,0.5,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2004,2003-04,False
1065-1496-1800-2072-2429,1610612749,"Erick Strickland, Keith Van Horn, Damon Jones, Michael Redd, Dan Gadzuric","Strickland, Van Horn, Jones, Redd, Gadzuric",1065-1496-1800-2072-2429,MIL,37.0,1,1.0,-1.0,2.0,2.0,,4.0,,,,,,1.0,1.0,2.0,,,,,,,,,,1.0,,1.0,,,,,2.0,1.0,1.0,,,,,0.5,,,,,,155.67567567567568,15.5,3.0,15.5,3.0,,,,,,,1.0,1.0,,,2.0,,,1.0,,,1.0,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,,,0.5,,,,,,,,,,,,,,,,,,,1.0,0.5,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2004,2003-04,False
1065-1496-1800-2072-389,1610612749,"Erick Strickland, Keith Van Horn, Damon Jones, Michael Redd, Toni Kukoc","Strickland, Van Horn, Jones, Redd, Kukoc",1065-1496-1800-2072-389,MIL,189.0,1,3.0,,5.0,5.0,,10.0,,1.0,1.0,2.0,3.0,,4.0,4.0,,,2.0,1.0,1.0,1.0,2.0,,,2.0,,2.0,,,,,,,4.0,0.5,0.5,0.6666666666666666,0.4,0.4,,,,1.0,,76.19047619047619,15.4,22.4,15.4,22.4,,0.2,1.0,1.0,1.0,0.46959999999999996,,,,7.3,,,2.0,,,0.4,,,,0.8,26.25,2.0,1.0,2.0,1.0,1.0,,,1.0,1.0,,2.0,2.0,,,,2.0,,,,,2.0,2.0,1.0,0.5,0.5,,,,1.0,,,,1.0,0.4,0.5,0.5,,,,0.5,1.0,,0.5543,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,2.0,,,,,,0.4,0.5,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2004,2003-04,False
