EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGA,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PtsAssisted3s,ThreePtAssists,Arc3Assists,OffThreePtRebounds,LostBallTurnovers,SecondChanceTurnovers,PenaltyTurnovers,NonShootingFoulsDrawn,Assisted3sPct,PenaltyFg3Pct,OffThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,Corner3Frequency,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsPutbacks,HeaveAttempts,Fg2aBlocked,Fg3aBlocked,Corner3Assists,FTOffRebounds,SelfOReb,LostBallSteals,LostBallOutOfBoundsTurnovers,Travels,Clear Path Fouls,Loose Ball Fouls,2pt And 1 Free Throw Trips,Technical Free Throw Trips,Blocked3s,BlockedArc3,BlockedLongMidRange,BlockedShortMidRange,DefensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,SecondChanceFg3Pct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,Arc3PctBlocked,OffFTReboundPct,OffArc3ReboundPct,SelfORebPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,StepOutOfBoundsTurnovers,BlockedCorner3,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,OffensiveGoaltends,team_id,year,season,team_vs
1508-1509-1749-1883-2411,1610612745,"Maurice Taylor, Kelvin Cato, Cuttino Mobley, Steve Francis, Bostjan Nachbar","Taylor, Cato, Mobley, Francis, Nachbar",1508-1509-1749-1883-2411,HOU,1101.0,5,18.0,16.0,34.0,32.0,4.0,18.0,3.0,66.0,9.0,11.0,1.0,1.0,2.0,2.0,2.0,6.0,6.0,11.0,1.0,1.0,17.0,28.0,1.0,1.0,5.0,42.0,26.0,2.0,2.0,1.0,5.0,2.0,3.0,4.0,28.0,6.0,3.0,1.0,1.0,14.0,14.0,9.0,1.0,4.0,28.0,3.0,3.0,13.0,1.0,17.0,3.0,20.0,1.0,1.0,2.0,1.0,2.0,3.0,5.0,1.0,9.0,1.0,6.0,3.0,3.0,3.0,3.0,3.0,37.0,4.0,4.0,3.0,0.8235294117647058,0.8235294117647058,1.0,1.0,0.6071428571428571,1.0,0.6666666666666666,0.6379310344827587,1.0,0.6666666666666666,0.65625,0.8333333333333334,0.6666666666666666,0.034482758620689655,0.4,1.0,0.8666666666666667,0.3,1.0,0.8888888888888888,0.3,0.75,0.8333333333333334,0.6666666666666666,1.0,1.0,1.0,86.32152588555857,1.0,15.558823529411764,17.875,15.235294117647058,17.28125,0.3793103448275862,0.8181818181818182,0.8181818181818182,1.0,0.20689655172413793,0.3333333333333333,0.3333333333333333,0.5,0.3793103448275862,0.5454545454545454,0.5454545454545454,0.6666666666666666,0.034482758620689655,1.0,1.0,0.5,1.0,1.0,0.6666666666666666,1.0,0.41379310344827586,1.0,0.46745172413793107,0.4198,0.494,0.09375,0.0967741935483871,0.11904761904761904,0.09523809523809523,9.010714285714286,27.1,0.11764705882352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2004,2003-04,False
1508-1509-1749-1883-349,1610612745,"Maurice Taylor, Kelvin Cato, Cuttino Mobley, Steve Francis, Mark Jackson","Taylor, Cato, Mobley, Francis, Jackson",1508-1509-1749-1883-349,HOU,279.0,2,5.0,,7.0,7.0,7.0,7.0,2.0,14.0,1.0,2.0,,,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,7.0,1.0,2.0,2.0,11.0,11.0,,2.0,,,3.0,7.0,11.0,,6.0,,1.0,1.0,,1.0,,,,3.0,3.0,,1.0,,1.0,4.0,5.0,,,1.0,,,,1.0,1.0,1.0,,2.0,,1.0,1.0,1.0,1.0,11.0,11.0,7.0,,,,0.5,0.5,0.42857142857142855,,0.42857142857142855,0.5,,0.5,0.55,,0.55,0.2222222222222222,1.0,,0.3333333333333333,0.75,,0.3333333333333333,0.8,0.5,0.5,,,,,72.25806451612902,1.0,22.571428571428573,17.285714285714285,17.571428571428573,13.285714285714286,0.2222222222222222,0.5,0.5,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.2222222222222222,0.5,0.5,,0.1111111111111111,1.0,1.0,,,,0.2222222222222222,0.5,0.4444444444444444,1.0,0.41647222222222224,0.37305,0.41647222222222224,,,,1.0,8.6,24.45,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.1111111111111111,1.0,0.1111111111111111,0.1111111111111111,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2004,2003-04,False
1508-1509-1749-1883-754,1610612745,"Maurice Taylor, Kelvin Cato, Cuttino Mobley, Steve Francis, Jim Jackson","Taylor, Cato, Mobley, Francis, Jackson",1508-1509-1749-1883-754,HOU,19000.0,57,317.0,-79.0,576.0,576.0,182.0,172.0,73.0,1152.0,71.0,133.0,10.0,23.0,21.0,40.0,33.0,95.0,56.0,154.0,21.0,73.0,160.0,382.0,32.0,106.0,106.0,522.0,601.0,15.0,45.0,18.0,63.0,51.0,121.0,161.0,174.0,146.0,15.0,70.0,21.0,87.0,114.0,46.0,11.0,30.0,255.0,59.0,38.0,149.0,21.0,208.0,77.0,285.0,45.0,29.0,54.0,15.0,33.0,58.0,112.0,61.0,146.0,19.0,132.0,55.0,32.0,21.0,34.0,17.0,459.0,161.0,182.0,19.0,0.54375,0.564935064935065,0.3018867924528302,0.3106796116504854,0.418848167539267,0.3333333333333333,0.4214876033057851,0.4262295081967213,0.39473684210526316,0.4012738853503185,0.47354014598540145,0.4696969696969697,0.44722222222222224,0.21721311475409835,0.48214285714285715,0.9545454545454546,0.6651785714285714,0.2681818181818182,0.7169811320754716,0.6750902527075813,0.25517241379310346,0.29508196721311475,0.5254237288135594,0.6271186440677966,0.7641509433962265,0.6410256410256411,0.9285714285714286,87.30947368421052,0.5,17.041666666666668,15.944444444444445,16.135416666666668,15.258680555555555,0.2725409836065574,0.5338345864661654,0.6396396396396397,0.647887323943662,0.19467213114754098,0.3473684210526316,0.4024390243902439,0.3333333333333333,0.3155737704918033,0.36363636363636365,0.37583892617449666,0.5357142857142857,0.14959016393442623,0.2876712328767123,0.2916666666666667,0.40350877192982454,0.43478260869565216,0.5,0.25477707006369427,0.525,0.48975409836065575,0.3,0.480309587628866,0.49797142857142856,0.4645409677419355,0.102803738317757,0.1282051282051282,0.1206896551724138,0.30842911877394635,9.433769633507852,25.37547169811321,0.3159722222222222,33.0,9.0,6.0,27.0,8.0,36.0,35.0,81.0,27.0,16.0,15.0,21.0,12.0,36.0,13.0,0.84375,0.2222222222222222,0.21428571428571427,0.3387096774193548,0.20618556701030927,0.22727272727272727,0.06762295081967214,0.7619047619047619,0.05732484076433121,0.17197452229299362,0.2222222222222222,11.0,1.0,2.0,2.0,4.0,10.0,5.0,12.0,12.0,3.0,40.0,2.0,11.0,3.0,9.0,16.0,1.0,8.0,1.0,8.0,8.0,4.0,2.0,2.0,4.0,7.0,1.0,3.0,3.0,0.4166666666666667,0.018867924528301886,0.10471204188481675,0.16541353383458646,0.1368421052631579,0.032467532467532464,0.030303030303030304,0.0136986301369863,0.2,0.20833333333333334,0.03614457831325301,0.3333333333333333,0.34375,1.0,0.03508771929824561,0.5,1.0,0.17543859649122806,0.4,1.0,0.2222222222222222,,,,,,1610612745,2004,2003-04,False
1508-1509-1749-1883-983,1610612745,"Maurice Taylor, Kelvin Cato, Cuttino Mobley, Steve Francis, Moochie Norris","Taylor, Cato, Mobley, Francis, Norris",1508-1509-1749-1883-983,HOU,536.0,4,9.0,8.0,14.0,15.0,10.0,5.0,1.0,29.0,3.0,5.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,5.0,,,6.0,11.0,2.0,2.0,4.0,22.0,14.0,1.0,1.0,,2.0,5.0,10.0,15.0,6.0,6.0,,,,3.0,5.0,1.0,1.0,1.0,12.0,2.0,2.0,4.0,,6.0,2.0,8.0,1.0,1.0,,,,,,3.0,6.0,,7.0,2.0,,,,,20.0,15.0,10.0,1.0,0.5,0.6,1.0,1.0,0.5454545454545454,1.0,0.5,0.6923076923076923,1.0,0.5909090909090909,0.6875,0.5,0.5769230769230769,0.15384615384615385,,,0.6666666666666666,0.4,0.6666666666666666,0.6666666666666666,0.4,,,1.0,0.3333333333333333,0.6666666666666666,,77.91044776119402,,19.071428571428573,17.933333333333334,19.0,16.866666666666667,0.38461538461538464,0.6,0.75,0.3333333333333333,0.07692307692307693,1.0,1.0,1.0,0.38461538461538464,0.4,0.4,0.5,,,,1.0,1.0,,0.36363636363636365,0.5,0.5384615384615384,,0.49271538461538467,0.5659,0.48201818181818185,0.14285714285714285,0.16666666666666666,0.09090909090909091,0.6818181818181818,9.372727272727273,23.7,0.7142857142857143,2.0,1.0,,,1.0,1.0,2.0,6.0,2.0,,,,,,2.0,1.0,1.0,,0.5,0.3333333333333333,,0.15384615384615385,,0.09090909090909091,,,2.0,,,1.0,,,,,2.0,,1.0,,2.0,,,,,,,1.0,1.0,,,,,,,,,,,0.09090909090909091,0.2,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,1610612745,2004,2003-04,False
1508-1509-1749-221-349,1610612745,"Maurice Taylor, Kelvin Cato, Cuttino Mobley, Clar. Weatherspoon, Mark Jackson","Taylor, Cato, Mobley, Weatherspoon, Jackson",1508-1509-1749-221-349,HOU,99.0,1,2.0,-3.0,2.0,3.0,,,,5.0,,,,,,,,1.0,,,,,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.5,,,0.5,,,1.0,,,,,72.72727272727273,,24.5,16.666666666666668,24.5,13.666666666666666,,,,,1.0,,,,,,,,,,,,,,,,,,0.3466,,,,,,,8.3,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2004,2003-04,False
1508-1509-1749-2366-754,1610612745,"Maurice Taylor, Kelvin Cato, Cuttino Mobley, Mike Wilks, Jim Jackson","Taylor, Cato, Mobley, Wilks, Jackson",1508-1509-1749-2366-754,HOU,246.0,2,4.0,,6.0,8.0,,3.0,,14.0,,,,,,,,,3.0,5.0,,,3.0,5.0,,,,6.0,6.0,,,,,,,,4.0,2.0,,,,2.0,2.0,,,2.0,4.0,,,4.0,,4.0,,4.0,,,,,,1.0,1.0,2.0,4.0,,,,1.0,1.0,1.0,1.0,6.0,,,,0.6666666666666666,0.6666666666666666,,,0.6,,,0.6,,,0.6,,,,,,1.0,,,1.0,,,1.0,1.0,,,,81.95121951219512,1.0,18.333333333333332,17.0,18.333333333333332,15.375,,,,,,,,,1.0,0.6,0.6,0.6666666666666666,,,,,,,,,,,0.38416,,,,,,,18.619999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2004,2003-04,False
1508-1509-1749-2411-983,1610612745,"Maurice Taylor, Kelvin Cato, Cuttino Mobley, Bostjan Nachbar, Moochie Norris","Taylor, Cato, Mobley, Nachbar, Norris",1508-1509-1749-2411-983,HOU,344.0,3,6.0,-7.0,11.0,10.0,4.0,3.0,1.0,21.0,1.0,2.0,,,1.0,2.0,,2.0,1.0,5.0,,,2.0,9.0,,1.0,,4.0,11.0,,1.0,,,1.0,3.0,2.0,4.0,,,,,2.0,2.0,1.0,,1.0,4.0,1.0,,5.0,,5.0,1.0,6.0,,,,1.0,,2.0,2.0,2.0,5.0,,,,,,,,4.0,2.0,4.0,1.0,1.0,1.0,,,0.2222222222222222,,0.3333333333333333,0.2,,0.3333333333333333,0.2,,0.3333333333333333,0.1,,,1.0,0.14285714285714285,,1.0,0.14285714285714285,0.5,,1.0,1.0,,,87.90697674418604,,16.818181818181817,15.9,16.0,15.9,0.2,0.5,0.5,1.0,0.2,,,,0.5,0.2,0.2,1.0,,,,,,,0.6666666666666666,0.5,0.3,,0.438035,0.3878,0.49016666666666664,,,,0.5,11.733333333333333,22.5,0.36363636363636365,1.0,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,0.1111111111111111,,0.5,,,,,,,,,,,,,,,,,,,,,,1610612745,2004,2003-04,False
1508-1509-1749-349-754,1610612745,"Maurice Taylor, Kelvin Cato, Cuttino Mobley, Mark Jackson, Jim Jackson","Taylor, Cato, Mobley, Jackson, Jackson",1508-1509-1749-349-754,HOU,248.0,3,4.0,2.0,7.0,5.0,,3.0,1.0,12.0,1.0,3.0,1.0,1.0,,,1.0,3.0,1.0,1.0,,1.0,3.0,7.0,,1.0,1.0,7.0,5.0,1.0,2.0,,2.0,,,,4.0,2.0,,1.0,,2.0,2.0,,1.0,1.0,4.0,2.0,,2.0,1.0,3.0,2.0,5.0,,,1.0,,1.0,,1.0,,1.0,,1.0,,,,,,5.0,,,,0.6666666666666666,1.0,,,0.42857142857142855,0.5,,0.375,0.5,,0.375,0.5,,0.125,1.0,1.0,0.5,0.5,,0.4,0.4,0.5,,,0.6666666666666666,,,69.6774193548387,,21.142857142857142,20.0,20.285714285714285,17.6,0.375,0.3333333333333333,1.0,,0.375,0.3333333333333333,0.3333333333333333,1.0,0.125,1.0,1.0,1.0,0.125,,,0.5,1.0,,,,0.5,,0.44889375,0.48365,,,,0.2857142857142857,,6.542857142857143,24.1,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,1.0,,,,,,,,,,0.2857142857142857,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,1610612745,2004,2003-04,False
1508-1509-1749-754-983,1610612745,"Maurice Taylor, Kelvin Cato, Cuttino Mobley, Jim Jackson, Moochie Norris","Taylor, Cato, Mobley, Jackson, Norris",1508-1509-1749-754-983,HOU,1103.0,5,18.0,-16.0,33.0,33.0,2.0,15.0,6.0,66.0,6.0,13.0,3.0,3.0,,2.0,2.0,4.0,2.0,9.0,,,10.0,26.0,,2.0,1.0,21.0,37.0,3.0,5.0,,6.0,,2.0,,4.0,16.0,,,,2.0,2.0,1.0,1.0,,4.0,5.0,,9.0,,9.0,7.0,16.0,7.0,3.0,2.0,5.0,2.0,7.0,9.0,2.0,5.0,,2.0,1.0,4.0,3.0,4.0,3.0,15.0,,2.0,1.0,0.2,0.2222222222222222,,,0.38461538461538464,0.6,,0.35714285714285715,0.6,,0.3620689655172414,0.6,,0.07142857142857142,0.2222222222222222,,0.6923076923076923,0.3333333333333333,,0.6428571428571429,0.35294117647058826,0.5,0.6,0.6666666666666666,1.0,,,86.16500453309158,0.75,17.242424242424242,16.181818181818183,15.0,15.181818181818182,0.4642857142857143,0.46153846153846156,0.6666666666666666,0.16666666666666666,0.14285714285714285,0.5,0.5,0.5,0.32142857142857145,0.2222222222222222,0.2222222222222222,,,,,0.6,1.0,,1.0,,0.5357142857142857,,0.48848035714285715,0.518825,0.49725,0.034482758620689655,0.037037037037037035,0.2857142857142857,,7.365384615384615,23.65,0.06060606060606061,2.0,,,,,,,,,,1.0,,1.0,,,,,0.5,0.16666666666666666,0.42857142857142855,0.5,0.07142857142857142,,,,,,,,,,,,,2.0,,4.0,,,1.0,,4.0,1.0,,,,,,,,,1.0,,1.0,,,,0.15384615384615385,0.3076923076923077,,,,,1.0,,,,,,,,,,,,,,,,,,1610612745,2004,2003-04,False
1508-1509-1883-221-349,1610612745,"Maurice Taylor, Kelvin Cato, Steve Francis, Clar. Weatherspoon, Mark Jackson","Taylor, Cato, Francis, Weatherspoon, Jackson",1508-1509-1883-221-349,HOU,78.0,1,1.0,,2.0,2.0,,,1.0,4.0,,,,,,,,,,3.0,,,,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,2.0,,2.0,1.0,3.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,,1.0,0.5,,,1.0,1.0,,,73.84615384615384,,27.5,11.5,19.5,11.5,,,,,,,,,1.0,,,,,,,,,,,,,,0.3877,0.4096,,,,,,19.866666666666667,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2004,2003-04,False
