EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,FTOffRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,Corner3FGA,PenaltyCorner3FGA,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,Steals,LostBallSteals,DeadBallTurnovers,LostBallTurnovers,PenaltyTurnovers,Offensive Fouls,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyTsPct,Corner3Frequency,PenaltyCorner3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG3M,PtsUnassisted2s,PtsUnassisted3s,Fg2aBlocked,ShortMidRangeAssists,OffTwoPtRebounds,DefThreePtRebounds,BadPassSteals,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyAtRimFGM,Corner3FGM,SecondChanceFG2A,Corner3Assists,Travels,SecondChanceTurnovers,Technical Free Throw Trips,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimAccuracy,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyCorner3FGM,SecondChanceFG2M,PtsPutbacks,OffThreePtRebounds,SelfOReb,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,Blocked3s,BlockedArc3,OffensiveGoaltends,SecondChanceFg2Pct,OffThreePtReboundPct,OffCorner3ReboundPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyCorner3Accuracy,HeaveAttempts,BadPassOutOfBoundsTurnovers,DefCorner3ReboundPct,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,BlockedLongMidRange,Defensive 3 Seconds Violations,OffArc3ReboundPct,StepOutOfBoundsTurnovers,SecondChanceCorner3FGA,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,3SecondViolations,LongMidRangePctBlocked,DefensiveGoaltends,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Arc3PctBlocked,team_id,year,season,team_vs
1506-1513-1533-1886-2410,1610612754,"Austin Croshere, Scot Pollard, Anthony Johnson, Jonathan Bender, Fred Jones","Croshere, Pollard, Johnson, Bender, Jones",1506-1513-1533-1886-2410,IND,206.0,2,3.0,1.0,6.0,5.0,1.0,2.0,11.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,8.0,7.0,1.0,1.0,3.0,4.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.875,1.5,0.8,1.5,0.5,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,76.89320388349515,19.666666666666668,17.6,16.5,17.6,0.25,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.75,0.5,0.4835625,0.48435,0.4,0.6666666666666666,0.375,8.35,25.5,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2004,2003-04,False
1506-1513-1533-1886-72,1610612754,"Austin Croshere, Scot Pollard, Anthony Johnson, Jonathan Bender, Kenny Anderson","Croshere, Pollard, Johnson, Bender, Anderson",1506-1513-1533-1886-72,IND,182.0,1,3.0,-7.0,7.0,7.0,7.0,,14.0,,,,2.0,,,,,,2.0,,1.0,1.0,1.0,8.0,,,,,,,,,,,,,,,,2.0,,2.0,,2.0,2.0,1.0,3.0,,2.0,2.0,,,1.0,7.0,1.0,,,,,,,,,,0.125,,0.3333333333333333,0.6666666666666666,,,1.0,1.0,1.0,110.76923076923077,17.714285714285715,8.285714285714286,17.714285714285715,8.285714285714286,,,,,0.6666666666666666,,,,,,,,,,,0.3333333333333333,,0.42073333333333335,,,,,16.75,22.8,1.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.125,0.3333333333333333,0.3333333333333333,0.42073333333333335,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2004,2003-04,False
1506-1513-1886-2410-72,1610612754,"Austin Croshere, Scot Pollard, Jonathan Bender, Fred Jones, Kenny Anderson","Croshere, Pollard, Bender, Jones, Anderson",1506-1513-1886-2410-72,IND,345.0,1,6.0,,13.0,12.0,11.0,2.0,25.0,,2.0,1.0,3.0,1.0,1.0,,,3.0,9.0,1.0,1.0,5.0,14.0,14.0,,,3.0,2.0,,1.0,1.0,1.0,,1.0,,,,2.0,,3.0,,4.0,2.0,6.0,1.0,,1.0,1.0,1.0,6.0,,3.0,11.0,11.0,,0.3333333333333333,0.3333333333333333,,1.0,,1.0,0.3333333333333333,0.45,,0.5384615384615384,0.75,0.1,1.0,,,0.75,0.8,1.0,104.34782608695652,15.076923076923077,12.416666666666666,14.384615384615385,12.25,0.2,,,,0.3,0.3333333333333333,0.3333333333333333,,0.1,1.0,1.0,,,,,0.3,1.0,0.44238,,0.23076923076923078,0.25,0.21428571428571427,10.022222222222222,25.1,0.8461538461538461,5.0,,,8.0,1.0,3.0,12.0,2.0,1.0,,1.0,1.0,,,12.0,0.5454545454545454,,,0.4548888888888889,0.8571428571428571,2.0,2.0,4.0,1.0,1.0,3.0,3.0,1.0,4.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,0.375,0.5,0.3333333333333333,1.0,0.25,0.3333333333333333,1.0,0.3333333333333333,0.5,0.5,1.0,0.4,0.5,0.6666666666666666,0.5,0.2222222222222222,0.1111111111111111,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2004,2003-04,False
1506-1533-1733-1886-1897,1610612754,"Austin Croshere, Anthony Johnson, Al Harrington, Jonathan Bender, Metta World Peace","Croshere, Johnson, Harrington, Bender, World Peace",1506-1533-1733-1886-1897,IND,636.0,4,11.0,5.0,17.0,17.0,7.0,2.0,34.0,2.0,3.0,1.0,5.0,1.0,2.0,,,3.0,9.0,2.0,3.0,3.0,15.0,10.0,,,,4.0,6.0,2.0,1.0,2.0,2.0,4.0,1.0,2.0,,10.0,,4.0,2.0,6.0,2.0,8.0,4.0,,6.0,2.0,5.0,3.0,,1.0,15.0,7.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,,0.6666666666666666,0.3333333333333333,0.5,,0.5384615384615384,,0.25,0.6666666666666666,1.0,,0.5,0.5,0.6666666666666666,76.9811320754717,19.823529411764707,17.58823529411765,18.11764705882353,17.41176470588235,0.25,0.6666666666666666,1.0,1.0,0.4166666666666667,0.2,0.2,,0.16666666666666666,0.5,0.5,1.0,,,,0.5,0.5,0.42139583333333336,0.3415,0.07692307692307693,0.1,,11.933333333333334,25.366666666666664,0.4117647058823529,4.0,1.0,,2.0,1.0,3.0,8.0,3.0,1.0,2.0,4.0,3.0,1.0,,8.0,0.875,0.08333333333333333,,0.45731666666666665,0.5333333333333333,1.0,,1.0,1.0,1.0,,1.0,1.0,2.0,,1.0,,2.0,,2.0,1.0,0.5,0.8333333333333334,0.1111111111111111,0.3333333333333333,,0.3333333333333333,,0.2857142857142857,1.0,,,0.08333333333333333,,,,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.25,0.3333333333333333,0.5,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2004,2003-04,False
1506-1533-1733-1886-2410,1610612754,"Austin Croshere, Anthony Johnson, Al Harrington, Jonathan Bender, Fred Jones","Croshere, Johnson, Harrington, Bender, Jones",1506-1533-1733-1886-2410,IND,1263.0,5,21.0,16.0,37.0,34.0,7.0,8.0,71.0,10.0,17.0,2.0,5.0,4.0,5.0,1.0,2.0,12.0,29.0,5.0,8.0,5.0,44.0,28.0,1.0,2.0,11.0,6.0,12.0,5.0,4.0,3.0,4.0,7.0,3.0,3.0,,18.0,,13.0,2.0,18.0,10.0,28.0,1.0,,7.0,8.0,18.0,9.0,1.0,5.0,33.0,7.0,1.0,0.25,0.3,0.8,0.625,0.5,0.625,0.41379310344827586,0.527027027027027,0.6428571428571429,0.5365853658536586,0.6111111111111112,0.21621621621621623,0.14285714285714285,1.0,,0.8125,0.8,1.0,80.9501187648456,17.89189189189189,17.676470588235293,16.945945945945947,17.470588235294116,0.4594594594594595,0.5882352941176471,0.625,0.3,0.13513513513513514,0.4,0.4,,0.13513513513513514,0.8,0.8,0.75,0.2857142857142857,0.5,,0.6756756756756757,0.8,0.5222162162162162,0.5508333333333334,0.12195121951219512,0.15151515151515152,0.25,6.017241379310345,24.6125,0.1891891891891892,4.0,3.0,2.0,4.0,2.0,2.0,7.0,3.0,1.0,6.0,1.0,1.0,4.0,,7.0,0.4375,0.08108108108108109,0.3333333333333333,0.4183666666666667,0.1590909090909091,1.0,,7.0,,,2.0,1.0,1.0,18.0,3.0,2.0,,8.0,3.0,2.0,0.5,0.25,0.4166666666666667,0.06896551724137931,0.058823529411764705,0.14285714285714285,0.47058823529411764,0.75,0.5,0.5714285714285714,0.42857142857142855,1.0,0.1891891891891892,,,,0.16666666666666666,,,,1.0,5.0,1.0,,1.0,,2.0,1.0,1.0,3.0,3.0,0.3333333333333333,0.7777777777777778,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,1.0,,3.0,5.0,1.0,3.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.6,0.6666666666666666,1.0,0.05555555555555555,0.7142857142857143,0.6,0.5,,,,,,,,,,,,,,,,,,,,,1610612754,2004,2003-04,False
1506-1533-1733-1886-397,1610612754,"Austin Croshere, Anthony Johnson, Al Harrington, Jonathan Bender, Reggie Miller","Croshere, Johnson, Harrington, Bender, Miller",1506-1533-1733-1886-397,IND,142.0,3,2.0,-2.0,5.0,6.0,2.0,,11.0,,,,2.0,,2.0,,,,2.0,,2.0,,,2.0,,,,,,1.0,,,,,,,,,,2.0,1.0,4.0,,4.0,,,1.0,,,,,,,2.0,,,,,,,,,,,,,0.5,,1.0,,1.0,1.0,,111.54929577464789,13.6,12.333333333333334,13.6,11.666666666666666,,,,,0.5,,,,0.5,,,,,,,0.5,,0.45661666666666667,,,,,16.9,33.5,0.4,2.0,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1610612754,2004,2003-04,False
1506-1533-1733-1897-2410,1610612754,"Austin Croshere, Anthony Johnson, Al Harrington, Metta World Peace, Fred Jones","Croshere, Johnson, Harrington, World Peace, Jones",1506-1533-1733-1897-2410,IND,1818.0,9,30.0,3.0,50.0,48.0,16.0,8.0,98.0,9.0,18.0,4.0,10.0,2.0,8.0,1.0,1.0,17.0,38.0,3.0,12.0,4.0,47.0,44.0,1.0,1.0,9.0,12.0,6.0,8.0,2.0,6.0,2.0,8.0,1.0,3.0,1.0,18.0,,14.0,2.0,19.0,10.0,29.0,2.0,1.0,6.0,5.0,13.0,8.0,,2.0,38.0,16.0,2.0,0.35294117647058826,0.4,0.6666666666666666,0.25,1.0,0.25,0.4473684210526316,0.43,0.5,0.4351851851851852,0.5,0.24,0.3333333333333333,1.0,,0.8235294117647058,0.7727272727272727,0.75,77.62376237623762,18.08,19.041666666666668,16.74,18.270833333333332,0.36,0.5,0.5625,0.3333333333333333,0.2,0.4,0.4,0.25,0.16,0.25,0.25,0.5,0.14285714285714285,1.0,,0.6,0.25,0.46189199999999997,0.48325,0.038461538461538464,0.05,0.19148936170212766,8.005263157894737,25.058333333333334,0.32,15.0,4.0,2.0,9.0,4.0,3.0,19.0,6.0,2.0,4.0,1.0,1.0,1.0,2.0,19.0,0.59375,0.08,0.15384615384615385,0.43045000000000005,0.40425531914893614,3.0,4.0,10.0,1.0,2.0,2.0,5.0,2.0,22.0,3.0,2.0,2.0,9.0,3.0,4.0,0.5,0.5555555555555556,0.6153846153846154,0.05263157894736842,0.1111111111111111,,0.42857142857142855,0.6,0.3448275862068966,0.6666666666666666,,0.6,0.2,0.4,0.4,0.5,0.23076923076923078,0.15384615384615385,0.5,2.0,1.0,6.0,1.0,1.0,1.0,,,,,,,0.5,0.75,1.0,,0.25,0.25,1.0,0.6666666666666666,2.0,6.0,1.0,2.0,4.0,1.0,1.0,,,,,,0.3333333333333333,0.125,0.5,0.037037037037037035,0.8571428571428571,0.3333333333333333,0.5,,1.0,,,,,,,,,,,,,,,,,,,1610612754,2004,2003-04,False
1506-1533-1733-1897-397,1610612754,"Austin Croshere, Anthony Johnson, Al Harrington, Metta World Peace, Reggie Miller","Croshere, Johnson, Harrington, World Peace, Miller",1506-1533-1733-1897-397,IND,94.0,1,2.0,3.0,3.0,2.0,3.0,,5.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,3.0,,,,,,3.0,1.0,1.0,,1.0,1.0,1.0,,,3.0,,,,2.0,,2.0,,,1.0,,,2.0,,,3.0,3.0,,,,1.0,1.0,,1.0,,0.75,,0.5,,0.5,,,,,1.0,,76.59574468085107,20.666666666666668,16.0,20.666666666666668,16.0,,,,,0.5,,,,0.5,1.0,1.0,1.0,,,,0.5,1.0,0.32375,,,,,21.9,26.3,1.0,2.0,,,1.0,1.0,,3.0,,,1.0,,1.0,,1.0,3.0,0.5,,,0.32375,1.0,,,,1.0,1.0,,,1.0,,,,,,2.0,,1.0,,0.75,,,,,1.0,,,,1.0,,,,,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1610612754,2004,2003-04,False
1506-1533-1733-1897-979,1610612754,"Austin Croshere, Anthony Johnson, Al Harrington, Metta World Peace, Jermaine O'Neal","Croshere, Johnson, Harrington, World Peace, O'Neal",1506-1533-1733-1897-979,IND,188.0,2,3.0,-3.0,4.0,6.0,4.0,,10.0,1.0,1.0,,1.0,,,,,1.0,2.0,,1.0,2.0,4.0,7.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,1.0,2.0,,,4.0,4.0,,,,,,,,0.5,0.3333333333333333,,0.5,,0.3333333333333333,,,,,0.3333333333333333,,76.59574468085107,19.75,18.166666666666668,19.75,16.5,0.3333333333333333,1.0,1.0,,0.3333333333333333,,,,,,,,,,,0.6666666666666666,,0.4678333333333333,,,,,9.0,23.2,1.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,,,,,,,1.0,4.0,0.5,0.3333333333333333,0.3333333333333333,0.4678333333333333,1.0,1.0,,,,,,1.0,,2.0,,,,,1.0,,,0.5,0.3333333333333333,,,,,1.0,,,,1.0,,,,,0.3333333333333333,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2004,2003-04,False
1506-1533-1733-2410-397,1610612754,"Austin Croshere, Anthony Johnson, Al Harrington, Fred Jones, Reggie Miller","Croshere, Johnson, Harrington, Jones, Miller",1506-1533-1733-2410-397,IND,281.0,2,5.0,-4.0,9.0,9.0,,1.0,18.0,,1.0,,2.0,,1.0,,,1.0,4.0,,3.0,2.0,4.0,8.0,,,,2.0,,1.0,,1.0,,1.0,,,,2.0,,4.0,,4.0,1.0,5.0,,,2.0,1.0,4.0,2.0,,1.0,4.0,,,1.0,1.0,,,,,0.25,0.14285714285714285,,0.25,,0.42857142857142855,,,,1.0,1.0,1.0,92.24199288256227,15.88888888888889,15.333333333333334,15.333333333333334,15.333333333333334,0.14285714285714285,,,,0.2857142857142857,,,,0.14285714285714285,,,,,,,0.5714285714285714,,0.46725714285714287,0.3394,0.125,0.2,,10.4,23.7,,3.0,2.0,,,,,,,,2.0,,,1.0,,,,0.2857142857142857,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,0.3333333333333333,,0.16666666666666666,,,,0.14285714285714285,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,0.5,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,0.3333333333333333,0.5,,,,,,,,,,,,,,,1610612754,2004,2003-04,False
