EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,Fouls,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PlusMinus,FtPoints,PenaltyFtPoints,PtsUnassisted2s,Steals,LostBallSteals,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefAtRimReboundPct,BlocksRecoveredPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceAtRimFGM,SecondChanceFG2M,SecondChancePoints,LiveBallTurnovers,BadPassTurnovers,ShootingFouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,LiveBallTurnoverPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceShotQualityAvg,SecondChancePointsPct,PtsPutbacks,OffTwoPtRebounds,OffTwoPtReboundPct,OffLongMidRangeReboundPct,FTDefRebounds,BadPassSteals,SecondChanceTurnovers,LongMidRangePctBlocked,DefFTReboundPct,OffShortMidRangeReboundPct,ShortMidRangeFGM,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,OffAtRimReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,PenaltyAtRimFGM,PenaltyAtRimAccuracy,ShortMidRangeAssists,SelfOReb,BlockedShortMidRange,SelfORebPct,ShortMidRangePctAssisted,Technical Free Throw Trips,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyFG3M,Corner3Assists,PenaltyFg3Pct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,DefensiveGoaltends,SecondChanceFg3Pct,OffCorner3ReboundPct,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,Defensive 3 Seconds Violations,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceFtPoints,HeaveAttempts,PenaltyArc3FGM,PtsUnassisted3s,PenaltyArc3Accuracy,StepOutOfBoundsTurnovers,Blocked3s,BlockedCorner3,FTOffRebounds,BlockedLongMidRange,3SecondViolations,OffFTReboundPct,OffensiveGoaltends,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,BlockedArc3,Clear Path Fouls,HeaveMakes,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Arc3PctBlocked,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
123-1425-2030-2210-446,1610612751,"Robert Pack, Aaron Williams, Kenyon Martin, Richard Jefferson, Lucious Harris","Pack, Williams, Martin, Jefferson, Harris",123-1425-2030-2210-446,NJN,271.0,3,5.0,8.0,7.0,5.0,3.0,1.0,15.0,2.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,7.0,1.0,6.0,6.0,1.0,1.0,5.0,1.0,2.0,6.0,1.0,2.0,3.0,3.0,2.0,1.0,6.0,1.0,1.0,2.0,3.0,1.0,4.0,1.0,1.0,1.0,2.0,6.0,2.0,5.0,1.0,1.0,1.0,0.42857142857142855,0.2,0.375,0.16666666666666666,0.375,0.16666666666666666,0.125,0.2857142857142857,0.25,1.0,1.0,0.5,1.0,0.75,0.2,1.0,1.0,0.5,79.70479704797049,16.75,19.571428571428573,16.625,18.571428571428573,0.5,0.5,0.6666666666666666,1.0,0.125,0.25,0.5,0.5,1.0,0.125,1.0,0.3333333333333333,0.16666666666666666,0.625,0.506,0.48038333333333333,0.3333333333333333,6.671428571428572,26.8,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2004,2003-04,False
123-1425-2030-2210-467,1610612751,"Robert Pack, Aaron Williams, Kenyon Martin, Richard Jefferson, Jason Kidd","Pack, Williams, Martin, Jefferson, Kidd",123-1425-2030-2210-467,NJN,198.0,2,3.0,6.0,5.0,1.0,4.0,,11.0,2.0,2.0,,,1.0,1.0,2.0,,,3.0,5.0,,8.0,6.0,,,,,1.0,2.0,,,1.0,1.0,,1.0,2.0,,,1.0,1.0,,1.0,,,,,8.0,1.0,1.0,,0.3333333333333333,0.3333333333333333,0.6,,0.6,,0.6666666666666666,0.5,,,,,1.0,,,1.0,,,,,80.0,19.333333333333332,16.4,19.333333333333332,16.4,0.4,1.0,1.0,,0.2,0.4,0.5,0.5,1.0,,,,,0.4,0.45914,,0.125,9.58,,0.16666666666666666,2.0,2.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2004,2003-04,False
123-1425-2030-2243-446,1610612751,"Robert Pack, Aaron Williams, Kenyon Martin, Brian Scalabrine, Lucious Harris","Pack, Williams, Martin, Scalabrine, Harris",123-1425-2030-2243-446,NJN,125.0,1,2.0,5.0,4.0,,,1.0,9.0,1.0,2.0,1.0,,1.0,,1.0,,,1.0,4.0,,2.0,3.0,1.0,,,,,2.0,,1.0,1.0,1.0,1.0,,2.0,,1.0,2.0,3.0,,3.0,,,1.0,3.0,,,,,1.0,1.0,0.25,,0.25,,0.25,,,0.25,0.5,,1.0,1.0,,1.0,,,,,103.67999999999999,12.2,16.0,11.8,16.0,0.5,0.5,1.0,1.0,0.25,0.25,,,,,1.0,,,0.5,0.528525,,,8.025,,,-1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6818,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2004,2003-04,False
123-1425-2030-2447-446,1610612751,"Robert Pack, Aaron Williams, Kenyon Martin, Tamar Slay, Lucious Harris","Pack, Williams, Martin, Slay, Harris",123-1425-2030-2447-446,NJN,65.0,1,1.0,1.0,2.0,,,1.0,3.0,1.0,1.0,1.0,,,,1.0,,,1.0,2.0,,2.0,,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,,,,,,,,,,,0.5,,0.5,,0.5,,,,,,1.0,,,1.0,1.0,,,,66.46153846153847,29.0,18.0,27.0,18.0,0.5,1.0,1.0,,,0.5,,,,,1.0,,,0.5,0.48195,,,9.05,,,2.0,,,2.0,,,,,,,,,,,,,,,1.0,1.0,2.0,,,,1.0,1.0,1.0,,1.0,,1.0,,0.5575,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2004,2003-04,False
123-1425-2030-446-915,1610612751,"Robert Pack, Aaron Williams, Kenyon Martin, Lucious Harris, Rodney Rogers","Pack, Williams, Martin, Harris, Rogers",123-1425-2030-446-915,NJN,49.0,1,1.0,2.0,2.0,,,,4.0,,,,,,,,1.0,,,,1.0,,2.0,,,,,,,1.0,,,,,,,,1.0,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,117.55102040816327,18.5,6.0,18.5,6.0,,,,,,,,,,1.0,,,,1.0,0.53955,,,,25.5,,-2.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2004,2003-04,False
123-1425-2030-446-954,1610612751,"Robert Pack, Aaron Williams, Kenyon Martin, Lucious Harris, Kerry Kittles","Pack, Williams, Martin, Harris, Kittles",123-1425-2030-446-954,NJN,176.0,2,3.0,6.0,6.0,,,1.0,12.0,1.0,1.0,,,1.0,,2.0,,,1.0,4.0,,3.0,5.0,,,,,,2.0,,1.0,1.0,1.0,1.0,,2.0,,1.0,,2.0,1.0,3.0,,,2.0,1.0,3.0,,,,1.0,1.0,0.25,,0.25,,0.3,,,0.25,,,,0.3333333333333333,,0.25,0.3333333333333333,,,1.0,98.18181818181819,17.333333333333332,12.0,16.833333333333332,11.0,0.25,1.0,1.0,1.0,0.25,0.5,,,,,,,,0.25,0.491675,,,12.15,,,-2.0,1.0,,,1.0,,2.0,,1.0,,,,,,,,0.2,0.2,,,,2.0,2.0,1.0,,,,1.0,,,,,,,,1.0,0.3333333333333333,,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2004,2003-04,False
123-1425-2210-2220-915,1610612751,"Robert Pack, Aaron Williams, Richard Jefferson, Brandon Armstrong, Rodney Rogers","Pack, Williams, Jefferson, Armstrong, Rogers",123-1425-2210-2220-915,NJN,109.0,1,2.0,4.0,4.0,,,1.0,8.0,,,,,1.0,,1.0,,,,2.0,,,4.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,0.5,,,,105.68807339449542,12.5,14.75,10.5,14.75,,,,,0.5,0.5,,,,,,,,,0.4234,,,13.5,,,-4.0,,,,2.0,1.0,,,,,,,,,,,,,,,,2.0,2.0,,,,,0.6666666666666666,,,,,,,,1.0,0.5,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2004,2003-04,False
123-1425-2210-2243-446,1610612751,"Robert Pack, Aaron Williams, Richard Jefferson, Brian Scalabrine, Lucious Harris","Pack, Williams, Jefferson, Scalabrine, Harris",123-1425-2210-2243-446,NJN,751.0,7,13.0,22.0,23.0,2.0,3.0,1.0,45.0,1.0,2.0,1.0,,3.0,2.0,7.0,3.0,,5.0,12.0,3.0,15.0,28.0,1.0,1.0,2.0,,2.0,2.0,3.0,,1.0,2.0,,1.0,5.0,1.0,3.0,6.0,9.0,3.0,12.0,,5.0,10.0,6.0,15.0,2.0,2.0,,0.2,0.2,0.4166666666666667,0.5,0.43333333333333335,0.5,0.46875,0.5,0.2,,,,0.6666666666666666,0.75,0.5,0.6923076923076923,0.375,0.5,0.4,,86.2849533954727,17.09090909090909,16.304347826086957,16.454545454545453,14.304347826086957,0.13333333333333333,0.5,0.5,,0.2,0.4666666666666667,0.2857142857142857,0.2857142857142857,0.5,0.2,1.0,,,0.3333333333333333,0.44711,0.3133,0.13333333333333333,12.525,25.266666666666666,0.09090909090909091,-13.0,2.0,,8.0,1.0,,2.0,,1.0,,,,,,1.0,,0.0625,0.07692307692307693,,,,5.0,2.0,3.0,,,,0.5,1.0,0.75,,,0.5926,,,2.0,0.3333333333333333,0.25,,1.0,1.0,,,,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2004,2003-04,False
123-1425-2210-2243-467,1610612751,"Robert Pack, Aaron Williams, Richard Jefferson, Brian Scalabrine, Jason Kidd","Pack, Williams, Jefferson, Scalabrine, Kidd",123-1425-2210-2243-467,NJN,145.0,1,2.0,3.0,4.0,3.0,,,7.0,1.0,2.0,,2.0,,,1.0,,,1.0,3.0,,2.0,4.0,,1.0,3.0,,2.0,2.0,,1.0,1.0,1.0,1.0,,2.0,,1.0,,1.0,,1.0,,,,2.0,2.0,2.0,3.0,,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.5,,,1.0,,0.3333333333333333,,,,,69.51724137931035,21.0,20.5,21.0,18.25,0.6666666666666666,0.5,1.0,1.0,,0.3333333333333333,,,,,,0.6666666666666666,,0.6666666666666666,0.5052666666666666,0.5052666666666666,1.0,7.066666666666666,,1.0,-2.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2004,2003-04,False
123-1425-2210-2243-954,1610612751,"Robert Pack, Aaron Williams, Richard Jefferson, Brian Scalabrine, Kerry Kittles","Pack, Williams, Jefferson, Scalabrine, Kittles",123-1425-2210-2243-954,NJN,126.0,1,2.0,3.0,3.0,,,,6.0,,,,,1.0,1.0,2.0,,,2.0,3.0,,4.0,4.0,,,,,,2.0,,,1.0,1.0,,1.0,2.0,,,1.0,1.0,,1.0,,,,2.0,4.0,,,,0.5,0.5,0.6666666666666666,,0.6666666666666666,,0.6666666666666666,,,,,,1.0,,,1.0,,,1.0,,68.57142857142857,20.666666666666668,21.333333333333332,20.666666666666668,21.333333333333332,,,,,0.3333333333333333,0.6666666666666666,0.5,0.5,1.0,,,,,,0.3669,,,16.2,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2004,2003-04,False
