EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,DefPoss,PenaltyDefPoss,TotalPoss,DefTwoPtRebounds,DefRebounds,Rebounds,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossDef,Minutes,PlusMinus,OffPoss,PenaltyOffPoss,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PenaltyFG3A,PtsUnassisted2s,HeaveAttempts,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,Fouls,Loose Ball Fouls,FoulsDrawn,FirstChancePoints,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Fg2Pct,EfgPct,TsPct,FG3APct,LiveBallTurnoverPct,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Travels,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyFG2A,ShortMidRangeAssists,Offensive Fouls,ShortMidRangePctAssisted,PenaltyShotQualityAvg,PenaltyAtRimFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG3M,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,OffThreePtRebounds,SelfOReb,LostBallSteals,LostBallTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,ShootingFouls,BlockingFouls,Offensive Fouls Drawn,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,BlockedLongMidRange,RecoveredBlocks,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,ShortMidRangePctBlocked,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyPointsPct,SecondChanceCorner3FGA,BadPassOutOfBoundsTurnovers,Charge Fouls Drawn,Loose Ball Fouls Drawn,LongMidRangePctBlocked,SecondChanceCorner3Frequency,Technical Free Throw Trips,PenaltyAtRimFGM,SecondChanceCorner3FGM,Fg3aBlocked,Charge Fouls,Blocked3s,BlockedCorner3,DefensiveGoaltends,FG3APctBlocked,Corner3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyAtRimAccuracy,FTOffRebounds,OffFTReboundPct,Arc3PctBlocked,3SecondViolations,SecondChanceArc3PctAssisted,Clear Path Fouls,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,OffensiveGoaltends,BlockedArc3,team_id,year,season,team_vs
101115-101127-101139-201947-202087,1610612739,"Andrew Bynum, Jarrett Jack, CJ Miles, Earl Clark, Alonzo Gee","Bynum, Jack, Miles, Clark, Gee",101115-101127-101139-201947-202087,CLE,9.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,160.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2014,2013-14,False
101115-101127-101139-201947-202681,1610612739,"Andrew Bynum, Jarrett Jack, CJ Miles, Earl Clark, Kyrie Irving","Bynum, Jack, Miles, Clark, Irving",101115-101127-101139-201947-202681,CLE,53.0,1,1.0,1.0,3.0,,,,,,,81.50943396226415,27.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,13.0,13.0,26.0,0.5,1.0,1.0,0.5,1.0,0.5,0.3826,5.2,46.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2014,2013-14,False
101115-101127-101139-202087-202684,1610612739,"Andrew Bynum, Jarrett Jack, CJ Miles, Alonzo Gee, Tristan Thompson","Bynum, Jack, Miles, Gee, Thompson",101115-101127-101139-202087-202684,CLE,308.0,2,9.0,5.0,19.0,3.0,5.0,7.0,0.5,0.5,0.5,88.83116883116882,15.222222222222221,5.0,11.0,10.0,1.0,,1.0,,,4.0,6.0,,15.0,4.0,,2.0,,,,,,2.0,1.0,1.0,1.0,5.0,11.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.75,,,17.1,16.0,12.88888888888889,0.16666666666666666,,,,,0.6666666666666666,0.5192333333333333,5.25,,0.1,2.0,3.0,4.0,2.0,2.0,1.0,1.0,7.0,2.0,2.0,4.0,6.0,1.0,3.0,3.0,2.0,1.0,6.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,8.0,4.0,3.0,1.0,2.0,3.0,0.75,0.75,1.0,1.0,1.0,0.16666666666666666,0.25,1.0,1.0,0.5,1.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.75,1.0,0.6666666666666666,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,0.5,0.63325,0.4,0.4,0.26666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2014,2013-14,False
101115-101127-101139-202087-203092,1610612739,"Andrew Bynum, Jarrett Jack, CJ Miles, Alonzo Gee, Tyler Zeller","Bynum, Jack, Miles, Gee, Zeller",101115-101127-101139-202087-203092,CLE,154.0,1,5.0,,11.0,,1.0,1.0,,0.5,,102.85714285714285,12.8,3.0,-3.0,6.0,2.0,1.0,1.0,,,2.0,4.0,,6.0,9.0,,,,,,,,1.0,,1.0,,1.0,6.0,2.0,,0.5,0.5,0.6,,,15.0,15.0,11.6,0.25,1.0,1.0,,,,0.361875,13.125,,0.3333333333333333,,,,,,1.0,3.0,2.0,,,,4.0,,2.0,2.0,,1.0,4.0,,1.0,,,1.0,,,2.0,1.0,,,,,1.0,1.0,,,,,,,,1.0,,,,,1.0,,,,,0.75,0.3333333333333333,0.3333333333333333,1.0,,,,,0.2,0.2,,2.0,1.0,1.0,1.0,0.36965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2014,2013-14,False
101115-101127-101139-202087-203461,1610612739,"Andrew Bynum, Jarrett Jack, CJ Miles, Alonzo Gee, Anthony Bennett","Bynum, Jack, Miles, Gee, Bennett",101115-101127-101139-202087-203461,CLE,2348.0,5,74.0,20.0,151.0,14.0,26.0,40.0,0.7,0.75,0.625,92.60647359454855,15.013513513513514,39.0,,77.0,22.0,7.0,22.0,19.0,5.0,18.0,50.0,22.0,81.0,81.0,7.0,26.0,,7.0,4.0,7.0,6.0,10.0,1.0,18.0,3.0,18.0,69.0,22.0,1.0,0.36,0.4583333333333333,0.50625,0.3055555555555556,0.7,16.064935064935064,14.987012987012987,14.594594594594595,0.3055555555555556,0.3181818181818182,0.35,0.2638888888888889,0.29411764705882354,0.5,0.47792013888888885,8.72,25.395454545454548,0.2857142857142857,13.0,6.0,14.0,2.0,4.0,5.0,14.0,15.0,3.0,8.0,12.0,10.0,5.0,5.0,13.0,2.0,2.0,34.0,9.0,10.0,2.0,14.0,3.0,,1.0,17.0,7.0,7.0,3.0,3.0,7.0,0.2777777777777778,0.3125,0.375,0.45,0.5454545454545454,0.1,0.21428571428571427,1.0,0.2903225806451613,0.8333333333333334,0.32558139534883723,0.375,0.35714285714285715,0.7142857142857143,0.7777777777777778,0.19444444444444445,0.42857142857142855,0.5454545454545454,0.3333333333333333,0.19444444444444445,0.35714285714285715,0.35714285714285715,0.4,0.4,0.5,,0.5288142857142858,0.08974358974358974,0.125,0.14814814814814814,10.0,1.0,1.0,0.14285714285714285,0.4570617647058824,2.0,1.0,3.0,1.0,2.0,9.0,1.0,2.0,4.0,10.0,1.0,2.0,3.0,3.0,5.0,11.0,32.0,24.0,6.0,4.0,19.0,9.0,8.0,7.0,1.0,5.0,1.0,3.0,1.0,1.0,2.0,9.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,32.0,2.0,0.8,0.45454545454545453,0.5,0.7142857142857143,0.45454545454545453,0.3,0.6176470588235294,0.6956521739130435,0.09090909090909091,0.4166666666666667,0.1111111111111111,0.4,0.5,0.8,1.0,0.02631578947368421,0.42857142857142855,0.041666666666666664,0.3333333333333333,0.3333333333333333,1.0,0.47368421052631576,0.47368421052631576,0.7777777777777778,0.2,0.5,0.11764705882352941,0.11764705882352941,0.5,0.8,0.47368421052631576,0.3950617283950617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2014,2013-14,False
101115-101127-101139-202087-2760,1610612739,"Andrew Bynum, Jarrett Jack, CJ Miles, Alonzo Gee, Anderson Varejao","Bynum, Jack, Miles, Gee, Varejao",101115-101127-101139-202087-2760,CLE,169.0,3,7.0,1.0,12.0,2.0,3.0,5.0,0.6666666666666666,0.6666666666666666,1.0,102.24852071005917,9.714285714285714,3.0,-10.0,5.0,1.0,,,2.0,1.0,,2.0,2.0,,10.0,1.0,,,,,2.0,2.0,3.0,,1.0,,,,1.0,,,,,0.5,0.6666666666666666,20.2,20.0,9.714285714285714,,,,0.5,0.5,1.0,0.4930666666666667,1.95,25.25,0.2,1.0,,2.0,,1.0,,,,,1.0,,,1.0,,,,,,1.0,,1.0,2.0,1.0,,1.0,,,,,,,,,,,,0.5,0.5,1.0,0.5,,0.5,0.5,,,,0.5,,,,,,,,1.0,,,,,,,1.0,,,,0.5639,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,0.5,,0.5,,1.0,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2014,2013-14,False
101115-101127-101139-202681-202684,1610612739,"Andrew Bynum, Jarrett Jack, CJ Miles, Kyrie Irving, Tristan Thompson","Bynum, Jack, Miles, Irving, Thompson",101115-101127-101139-202681-202684,CLE,901.0,7,29.0,11.0,58.0,6.0,11.0,15.0,0.6666666666666666,0.7142857142857143,1.0,92.69700332963373,15.89655172413793,15.0,5.0,29.0,2.0,7.0,10.0,2.0,1.0,12.0,21.0,5.0,28.0,23.0,1.0,6.0,,2.0,2.0,2.0,1.0,6.0,,7.0,2.0,6.0,24.0,2.0,1.0,0.5714285714285714,0.46153846153846156,0.5,0.19230769230769232,0.3333333333333333,15.172413793103448,14.724137931034482,14.793103448275861,0.38461538461538464,0.7,0.7,0.07692307692307693,1.0,0.4230769230769231,0.5069846153846154,8.40952380952381,24.2,0.06896551724137931,4.0,4.0,6.0,1.0,1.0,1.0,5.0,4.0,2.0,2.0,4.0,18.0,3.0,9.0,9.0,3.0,1.0,18.0,3.0,4.0,1.0,4.0,4.0,,1.0,5.0,3.0,,,,,0.75,0.8181818181818182,1.0,0.6666666666666666,0.6666666666666666,0.14285714285714285,0.16666666666666666,1.0,0.3333333333333333,0.8,0.3076923076923077,,0.6666666666666666,0.6,0.6666666666666666,0.23076923076923078,0.6666666666666666,0.8,0.75,0.19230769230769232,0.2,0.3333333333333333,1.0,0.3333333333333333,1.0,,0.50045,0.10714285714285714,0.13043478260869565,0.14285714285714285,,5.0,1.0,0.7142857142857143,0.5691,,,3.0,,,,,,,,,1.0,,,,,,,,2.0,2.0,,,,,1.0,,,1.0,,2.0,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,0.25,0.25,0.5,,0.5,1.0,,,0.11538461538461539,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.4,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2014,2013-14,False
101115-101127-101139-202681-203461,1610612739,"Andrew Bynum, Jarrett Jack, CJ Miles, Kyrie Irving, Anthony Bennett","Bynum, Jack, Miles, Irving, Bennett",101115-101127-101139-202681-203461,CLE,134.0,2,4.0,,8.0,1.0,3.0,5.0,1.0,1.0,,85.97014925373134,11.75,2.0,2.0,4.0,,,2.0,,,1.0,5.0,1.0,2.0,,,,,,,,,,,,,,2.0,,,0.2,0.16666666666666666,0.16666666666666666,0.16666666666666666,,21.75,19.0,11.75,0.3333333333333333,,,,,0.5,0.5258916666666666,8.98,22.5,,1.0,1.0,2.0,,1.0,,1.0,,,2.0,,2.0,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,1.0,1.0,,,,0.2,0.5,1.0,0.25,1.0,0.4,1.0,,1.0,1.0,0.3333333333333333,0.5,1.0,1.0,0.16666666666666666,,,,0.5,,,0.4045,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2014,2013-14,False
101115-101127-101139-202681-2760,1610612739,"Andrew Bynum, Jarrett Jack, CJ Miles, Kyrie Irving, Anderson Varejao","Bynum, Jack, Miles, Irving, Varejao",101115-101127-101139-202681-2760,CLE,278.0,3,8.0,4.0,16.0,3.0,3.0,4.0,1.0,0.75,,82.87769784172662,17.875,5.0,1.0,8.0,1.0,,,1.0,,3.0,6.0,1.0,10.0,9.0,,,,1.0,,,,,,1.0,,2.0,9.0,1.0,,0.5,0.42857142857142855,0.5,0.14285714285714285,,16.875,16.375,14.25,,,,0.14285714285714285,,0.42857142857142855,0.5006285714285714,11.4,24.6,0.125,1.0,1.0,2.0,,,2.0,4.0,4.0,,,1.0,6.0,,3.0,3.0,1.0,2.0,6.0,1.0,,,1.0,,,,5.0,2.0,,,,,1.0,1.0,,,0.5,,,,0.3333333333333333,,0.25,,,1.0,,0.2857142857142857,0.5,0.5,1.0,0.5714285714285714,0.5,0.5,1.0,,,,,0.2222222222222222,0.25,0.1,1.0,,,,0.4325,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,0.25,,,0.5,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2014,2013-14,False
101115-101127-101139-202684-203508,1610612739,"Andrew Bynum, Jarrett Jack, CJ Miles, Tristan Thompson, Sergey Karasev","Bynum, Jack, Miles, Thompson, Karasev",101115-101127-101139-202684-203508,CLE,26.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2014,2013-14,False
