EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,Corner3FGA,Arc3FGM,Arc3FGA,FG3M,FG3A,Points,OpponentPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,ShootingFouls,Fouls,FirstChancePoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,FG3APct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg3ptShotDistance,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,FtPoints,PtsUnassisted2s,FTDefRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Fg2Pct,DefFTReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,PenaltyOffPoss,PenaltyArc3FGA,PenaltyFG3A,PenaltyOffPossExcludingTakeFouls,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyOffPossPct,LongMidRangeFGM,LongMidRangeFGA,PtsAssisted2s,PtsUnassisted3s,TwoPtAssists,LongMidRangeAssists,DefTwoPtRebounds,Assisted2sPct,NonPutbacksAssisted2sPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyDefPoss,SecondChanceOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFtPoints,PenaltyPoints,Fg2aBlocked,AtRimAssists,OffTwoPtRebounds,OffRebounds,LiveBallTurnovers,LostBallTurnovers,PenaltyTurnovers,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Accuracy,PenaltyPointsPct,DefThreePtRebounds,DefThreePtReboundPct,DefCorner3ReboundPct,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,ShortMidRangeAssists,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,ShortMidRangePctAssisted,SecondChanceShotQualityAvg,SecondChancePointsPct,BlockingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,ShortMidRangePctBlocked,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LostBallSteals,BadPassTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,RecoveredBlocks,OffShortMidRangeReboundPct,BlocksRecoveredPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,Corner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceFG3A,PtsPutbacks,Corner3Assists,OffThreePtRebounds,SelfOReb,SecondChanceTurnovers,Charge Fouls,Charge Fouls Drawn,Offensive Fouls Drawn,BlockedLongMidRange,BlockedShortMidRange,NonShootingPenaltyNonTakeFouls,AtRimPctBlocked,OffThreePtReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,DefArc3ReboundPct,SelfORebPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceFtPoints,HeaveAttempts,Fg3aBlocked,LostBallOutOfBoundsTurnovers,BlockingFouls,FG3APctBlocked,Arc3PctBlocked,Travels,SecondChanceArc3FGA,Offensive Fouls,Defensive 3 Seconds Violations,SecondChanceArc3Frequency,OffArc3ReboundPct,Technical Free Throw Trips,Corner3PctBlocked,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,FTOffRebounds,StepOutOfBoundsTurnovers,OffFTReboundPct,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,DefensiveGoaltends,3SecondViolations,ThreePtShootingFoulsDrawnPct,team_id,year,season,team_vs
101110-101162-1733-1889-203078,1610612764,"Martell Webster, Marcin Gortat, Al Harrington, Andre Miller, Bradley Beal","Webster, Gortat, Harrington, Miller, Beal",101110-101162-1733-1889-203078,WAS,87.0,1,1.0,-2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,0.5,0.5,0.75,0.75,1.0,66.20689655172414,18.0,25.5,18.0,25.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.492375,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2014,2013-14,True
101110-101162-1733-202322-203078,1610612764,"Martell Webster, Marcin Gortat, Al Harrington, John Wall, Bradley Beal","Webster, Gortat, Harrington, Wall, Beal",101110-101162-1733-202322-203078,WAS,102.0,1,2.0,1.0,4.0,3.0,7.0,,,,,,5.0,4.0,,,,,,,,2.0,2.0,5.0,,,,0.6666666666666666,0.8333333333333334,,98.82352941176471,13.75,15.666666666666666,13.75,15.666666666666666,,,,,,0.3333333333333333,,0.4942,,1.0,1.0,1.0,2.0,2.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.6666666666666666,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5,0.5,0.6666666666666666,0.6666666666666666,4.6000000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2014,2013-14,True
101110-101162-1733-202322-2772,1610612764,"Martell Webster, Marcin Gortat, Al Harrington, John Wall, Trevor Ariza","Webster, Gortat, Harrington, Wall, Ariza",101110-101162-1733-202322-2772,WAS,9.0,1,,,1.0,,1.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,160.0,9.0,,9.0,,,1.0,,,,1.0,,0.26325,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.26325,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2014,2013-14,True
101110-101162-1889-202344-203078,1610612764,"Martell Webster, Marcin Gortat, Andre Miller, Trevor Booker, Bradley Beal","Webster, Gortat, Miller, Booker, Beal",101110-101162-1889-202344-203078,WAS,151.0,2,3.0,12.0,5.0,3.0,8.0,,2.0,2.0,2.0,2.0,12.0,,,2.0,2.0,,2.0,,4.0,,1.0,12.0,,1.0,1.0,1.2,1.2,0.4,76.29139072847683,12.8,29.0,12.8,29.0,,0.4,1.0,1.0,,0.6,1.0,0.53275,26.05,1.0,1.0,,,3.0,3.0,,2.0,,2.0,2.0,1.0,1.0,,,,,,,,1.0,,0.2,1.0,1.0,,,,,,12.233333333333334,,,,,,,,2.0,2.0,4.0,6.0,2.0,2.0,2.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,1.0,0.4,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2014,2013-14,True
101110-101162-1889-202344-2772,1610612764,"Martell Webster, Marcin Gortat, Andre Miller, Trevor Booker, Trevor Ariza","Webster, Gortat, Miller, Booker, Ariza",101110-101162-1889-202344-2772,WAS,225.0,2,4.0,4.0,8.0,5.0,13.0,1.0,1.0,1.0,1.0,2.0,10.0,6.0,3.0,1.0,1.0,1.0,3.0,1.0,7.0,,1.0,10.0,1.0,0.5,0.5,0.5833333333333334,0.7142857142857143,0.3333333333333333,83.2,15.625,20.0,15.625,20.0,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,0.5,1.0,0.42885833333333334,23.85,1.0,1.0,,,2.0,4.0,3.0,,,1.0,2.0,,,,,1.0,2.0,3.0,1.0,1.0,0.5,,0.16666666666666666,1.0,1.0,,,,0.16666666666666666,0.25,13.85,8.0,1.0,2.0,8.0,0.16666666666666666,0.42885833333333334,1.0,1.0,3.0,4.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,0.5,0.3333333333333333,0.5,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,3.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,0.5,0.5,0.5833333333333334,0.7142857142857143,0.25,0.3333333333333333,1.0,0.5,0.3333333333333333,0.5,1.0,1.0,0.16666666666666666,1.0,0.16666666666666666,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2014,2013-14,True
101110-101162-1889-203078-2400,1610612764,"Martell Webster, Marcin Gortat, Andre Miller, Bradley Beal, Drew Gooden","Webster, Gortat, Miller, Beal, Gooden",101110-101162-1889-203078-2400,WAS,379.0,4,6.0,-8.0,10.0,9.0,19.0,,,,,,7.0,15.0,,,,,,,,1.0,2.0,7.0,,,,0.3333333333333333,0.35,,72.18997361477572,18.3,21.77777777777778,18.3,21.0,,,,,,0.1111111111111111,,0.39515555555555554,,,1.0,2.0,3.0,3.0,9.0,1.0,6.0,,3.0,3.0,,,,,,2.0,2.0,,1.0,0.3333333333333333,,0.1111111111111111,,,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.1,0.1,12.766666666666667,,,,,,,,1.0,5.0,,,,,2.0,,,0.6666666666666666,0.6,1.0,,0.5555555555555556,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2014,2013-14,True
101110-101162-1889-203078-2403,1610612764,"Martell Webster, Marcin Gortat, Andre Miller, Bradley Beal, Nene","Webster, Gortat, Miller, Beal, Nene",101110-101162-1889-203078-2403,WAS,172.0,2,3.0,-1.0,5.0,6.0,11.0,,,,,,6.0,7.0,,,,,2.0,,4.0,1.0,1.0,4.0,,,,0.6,0.6,,92.09302325581395,18.6,13.166666666666666,15.0,13.166666666666666,,,,,,0.4,,0.49108,,1.0,2.0,1.0,1.0,3.0,5.0,,2.0,,1.0,2.0,1.0,1.0,,,1.0,,,,,0.6,,0.4,0.5,0.5,0.2,1.0,1.0,,,8.74,,,,,,,,1.0,2.0,4.0,,2.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.5,,1.0,0.4,0.5,0.5,1.0,,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,0.5,0.5,1.0,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.4128,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2014,2013-14,True
101110-101162-1889-2400-2772,1610612764,"Martell Webster, Marcin Gortat, Andre Miller, Drew Gooden, Trevor Ariza","Webster, Gortat, Miller, Gooden, Ariza",101110-101162-1889-2400-2772,WAS,150.0,3,2.0,,2.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,57.6,33.5,20.75,33.5,20.25,,,,,,,,0.34375,,,,,2.0,,2.0,,,,3.0,3.0,,,,,,3.0,,,,,,,,,1.0,,,,,9.7,1.0,,,1.0,,0.322,0.5,,,,,,,3.0,,,0.75,0.75,1.0,1.0,,,,,2.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,0.5,,,,,,0.5,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2014,2013-14,True
101110-101162-202066-202322-2403,1610612764,"Martell Webster, Marcin Gortat, Garrett Temple, John Wall, Nene","Webster, Gortat, Temple, Wall, Nene",101110-101162-202066-202322-2403,WAS,57.0,1,1.0,-2.0,3.0,2.0,5.0,,,,,,,2.0,,,,,,,,,,,,,,,,,126.31578947368422,6.0,19.5,6.0,19.5,,,,,,,,0.3151,,,,,1.0,,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,0.5,,,,,13.9,3.0,,,3.0,,0.3151,1.0,,1.0,,,,,1.0,,,1.0,1.0,1.0,,0.5,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2014,2013-14,True
101110-101162-202322-202344-203078,1610612764,"Martell Webster, Marcin Gortat, John Wall, Trevor Booker, Bradley Beal","Webster, Gortat, Wall, Booker, Beal",101110-101162-202322-202344-203078,WAS,253.0,2,4.0,4.0,8.0,8.0,16.0,,,1.0,,1.0,10.0,6.0,,1.0,,,2.0,,4.0,,1.0,8.0,,,,0.6666666666666666,0.7142857142857143,0.16666666666666666,91.06719367588933,14.75,16.875,13.875,16.125,,0.16666666666666666,,,,0.5,,0.505975,25.8,2.0,2.0,1.0,2.0,4.0,5.0,2.0,4.0,,3.0,4.0,1.0,,,,1.0,3.0,2.0,,,0.8,,0.3333333333333333,1.0,1.0,0.3333333333333333,0.5,0.5,,,9.940000000000001,2.0,,,2.0,,0.7272,0.25,1.0,1.0,4.0,,2.0,,3.0,0.5,0.5,0.75,0.75,1.0,,0.16666666666666666,1.0,1.0,,3.0,1.0,1.0,1.0,,,1.0,1.0,,2.0,4.0,,2.0,1.0,1.0,1.0,,,1.0,4.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,0.5,,0.6666666666666666,1.0,1.0,1.0,,,0.4,,,,1.0,1.0,2.0,,1.0,1.0,1.0,,0.7272,0.2,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2014,2013-14,True
