EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,FTDefRebounds,DefRebounds,Rebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,FoulsDrawn,PenaltyOffPossExcludingTakeFouls,DefFTReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,PenaltyOffPossPct,PlusMinus,PenaltyDefPoss,OpponentPoints,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2A,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,OffRebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,Travels,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,ShortMidRangeFGM,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3FGM,Fg2aBlocked,Corner3Assists,2pt And 1 Free Throw Trips,Technical Free Throw Trips,FG2APctBlocked,LongMidRangePctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGA,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,LostBallSteals,LostBallTurnovers,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedShortMidRange,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,AtRimPctBlocked,OffCorner3ReboundPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyPointsPct,DefCorner3ReboundPct,PtsUnassisted3s,ShortMidRangeAssists,SecondChanceTurnovers,BlockingFouls,Charge Fouls,BlockingFoulsDrawn,OffLongMidRangeReboundPct,ShortMidRangePctAssisted,SelfOReb,OffensiveGoaltends,ShortMidRangePctBlocked,SelfORebPct,Clear Path Fouls,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,HeaveAttempts,FTOffRebounds,OffFTReboundPct,PenaltyArc3FGM,PenaltyArc3Accuracy,Charge Fouls Drawn,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,DefensiveGoaltends,Corner3PctBlocked,Defensive 3 Seconds Violations,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,BlockedLongMidRange,3SecondViolations,BlockedCorner3,team_id,year,season,team_vs
101110-101162-1733-1889-202066,1610612764,"Martell Webster, Marcin Gortat, Al Harrington, Andre Miller, Garrett Temple","Webster, Gortat, Harrington, Miller, Temple",101110-101162-1733-1889-202066,WAS,31.0,1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,92.9032258064516,29.0,2.0,29.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2014,2013-14,True
101110-101162-1733-1889-202322,1610612764,"Martell Webster, Marcin Gortat, Al Harrington, Andre Miller, John Wall","Webster, Gortat, Harrington, Miller, Wall",101110-101162-1733-1889-202322,WAS,29.0,1,,,1.0,,1.0,,,,,,,,,,,49.6551724137931,,21.0,,21.0,,-3.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2014,2013-14,True
101110-101162-1733-1889-203078,1610612764,"Martell Webster, Marcin Gortat, Al Harrington, Andre Miller, Bradley Beal","Webster, Gortat, Harrington, Miller, Beal",101110-101162-1733-1889-203078,WAS,840.0,4,14.0,27.0,26.0,1.0,53.0,1.0,10.0,14.0,,3.0,6.0,,4.0,1.0,1.0,90.85714285714286,16.25925925925926,15.423076923076923,15.518518518518519,13.653846153846153,0.037037037037037035,-12.0,,28.0,3.0,2.0,4.0,1.0,1.0,4.0,1.0,6.0,1.0,2.0,8.0,1.0,2.0,3.0,14.0,2.0,9.0,4.0,16.0,1.0,2.0,1.0,2.0,5.0,1.0,4.0,2.0,6.0,2.0,8.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,10.0,2.0,2.0,2.0,7.0,4.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,7.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,0.6666666666666666,1.0,1.0,0.2222222222222222,0.5,0.2222222222222222,0.21428571428571427,0.5,0.2608695652173913,0.625,0.32,0.625,0.391304347826087,0.5,0.5833333333333334,0.18181818181818182,0.6666666666666666,0.2857142857142857,0.6,0.2222222222222222,0.5,0.25,0.3333333333333333,1.0,0.5,0.3333333333333333,0.6666666666666666,1.0,0.17391304347826086,0.5,0.5,0.5,0.17391304347826086,0.2608695652173913,0.16666666666666666,0.16666666666666666,1.0,0.043478260869565216,0.34782608695652173,0.25,0.25,1.0,0.25,1.0,0.5,0.5,1.0,0.5652173913043478,0.25,0.4902239130434783,0.597925,0.3824,0.08,0.06666666666666667,0.1,0.3125,10.221428571428572,25.166666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2014,2013-14,True
101110-101162-1733-1889-2772,1610612764,"Martell Webster, Marcin Gortat, Al Harrington, Andre Miller, Trevor Ariza","Webster, Gortat, Harrington, Miller, Ariza",101110-101162-1733-1889-2772,WAS,63.0,1,1.0,2.0,2.0,,4.0,,,,,,,,,,,91.42857142857143,20.0,11.5,20.0,11.5,,-2.0,2.0,4.0,,,,,,1.0,,,,,1.0,,,1.0,1.0,,1.0,,2.0,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,0.5,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,0.5,,,,,,0.5,,,,,,,,,0.5,,0.46995,,,,,,,4.7,24.9,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2014,2013-14,True
101110-101162-1733-201953-202066,1610612764,"Martell Webster, Marcin Gortat, Al Harrington, Eric Maynor, Garrett Temple","Webster, Gortat, Harrington, Maynor, Temple",101110-101162-1733-201953-202066,WAS,154.0,1,3.0,6.0,5.0,,11.0,,3.0,3.0,,,,,2.0,,,102.85714285714285,13.5,14.6,13.5,14.6,,7.0,,3.0,,2.0,2.0,,,,1.0,2.0,1.0,,1.0,,,3.0,4.0,1.0,2.0,1.0,10.0,,,,,,,4.0,2.0,3.0,,1.0,,2.0,1.0,3.0,,1.0,1.0,7.0,,,1.0,2.0,,,,,,,,,1.0,,,,2.0,1.0,,1.0,1.0,1.0,1.0,10.0,0.6666666666666666,0.6666666666666666,1.0,0.5,,0.5,0.75,,0.75,,0.8333333333333334,,0.3333333333333333,,1.0,,1.0,,1.0,,,,,1.0,,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.5,,0.3333333333333333,0.5,1.0,1.0,0.16666666666666666,0.16666666666666666,,,,,,,,,0.6666666666666666,,0.5773166666666667,,,0.16666666666666666,0.25,,,8.425,25.1,,,,1.0,1.0,1.0,1.0,1.0,0.25,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2014,2013-14,True
101110-101162-1733-201953-203078,1610612764,"Martell Webster, Marcin Gortat, Al Harrington, Eric Maynor, Bradley Beal","Webster, Gortat, Harrington, Maynor, Beal",101110-101162-1733-201953-203078,WAS,469.0,3,8.0,16.0,19.0,5.0,35.0,1.0,8.0,10.0,,1.0,3.0,,6.0,5.0,1.0,107.46268656716418,14.1875,12.736842105263158,13.25,12.0,0.3125,-1.0,8.0,18.0,1.0,2.0,4.0,,,1.0,,2.0,2.0,1.0,3.0,,1.0,3.0,7.0,2.0,5.0,5.0,17.0,,,,1.0,1.0,2.0,,6.0,6.0,,3.0,1.0,,2.0,2.0,1.0,,,6.0,2.0,,3.0,4.0,2.0,1.0,,2.0,1.0,,1.0,4.0,5.0,,,2.0,7.0,,1.0,3.0,2.0,4.0,3.0,16.0,,,1.0,0.4,,0.4,0.42857142857142855,,0.5,,0.5666666666666667,0.25,0.4166666666666667,0.6666666666666666,0.5714285714285714,,0.6,0.6666666666666666,0.5833333333333334,0.2857142857142857,,,0.5,0.5,1.0,0.5,0.6,0.75,0.3333333333333333,0.5,0.6666666666666666,,0.08333333333333333,0.16666666666666666,,,,0.16666666666666666,0.25,0.3333333333333333,0.3333333333333333,1.0,,,1.0,,,0.75,0.3333333333333333,0.5128333333333334,,0.57616,0.07692307692307693,,0.16666666666666666,0.058823529411764705,8.014285714285714,24.259999999999998,1.0,1.0,1.0,1.0,1.0,1.0,,,0.14285714285714285,,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,7.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,7.0,1.0,2.0,0.3333333333333333,0.5,0.5,0.5,0.25,1.0,0.2,1.0,0.4,0.5,0.2,0.4117647058823529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2014,2013-14,True
101110-101162-1733-201953-2772,1610612764,"Martell Webster, Marcin Gortat, Al Harrington, Eric Maynor, Trevor Ariza","Webster, Gortat, Harrington, Maynor, Ariza",101110-101162-1733-201953-2772,WAS,340.0,3,6.0,12.0,10.0,1.0,22.0,1.0,3.0,3.0,,1.0,1.0,,3.0,1.0,1.0,93.17647058823529,14.833333333333334,16.2,14.833333333333334,15.2,0.08333333333333333,9.0,3.0,12.0,,4.0,5.0,,,3.0,,,,2.0,2.0,,,7.0,8.0,2.0,2.0,1.0,21.0,,,,,,,6.0,8.0,6.0,,2.0,2.0,3.0,2.0,5.0,2.0,3.0,,12.0,,,2.0,,,,,,,,,2.0,4.0,,1.0,1.0,1.0,1.0,,,,,,21.0,0.42857142857142855,0.42857142857142855,1.0,1.0,,1.0,0.875,,1.0,,1.05,,0.2,,,,1.0,,1.0,,,,,,,,1.0,,0.5,0.8,1.0,0.75,0.3,,,,,,0.2,1.0,1.0,1.0,,,,,,0.7,1.0,0.49839,,,0.1,0.125,,,3.65,25.55,3.0,1.0,1.0,,1.0,,1.0,,0.125,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.2,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2014,2013-14,True
101110-101162-1733-202066-202322,1610612764,"Martell Webster, Marcin Gortat, Al Harrington, Garrett Temple, John Wall","Webster, Gortat, Harrington, Temple, Wall",101110-101162-1733-202066-202322,WAS,29.0,1,,,1.0,,1.0,,,,,,,,,,,49.6551724137931,,11.0,,11.0,,-2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2014,2013-14,True
101110-101162-1733-202322-203078,1610612764,"Martell Webster, Marcin Gortat, Al Harrington, John Wall, Bradley Beal","Webster, Gortat, Harrington, Wall, Beal",101110-101162-1733-202322-203078,WAS,1082.0,12,18.0,36.0,30.0,9.0,66.0,1.0,10.0,21.0,2.0,6.0,9.0,1.0,8.0,9.0,1.0,87.83733826247689,15.38888888888889,17.6,14.222222222222221,16.466666666666665,0.25,8.0,7.0,39.0,9.0,8.0,10.0,4.0,4.0,6.0,2.0,7.0,2.0,4.0,7.0,,1.0,13.0,23.0,4.0,9.0,9.0,47.0,5.0,6.0,,1.0,12.0,9.0,10.0,16.0,9.0,6.0,7.0,4.0,5.0,3.0,8.0,3.0,4.0,,19.0,3.0,8.0,3.0,6.0,11.0,1.0,1.0,3.0,2.0,2.0,,5.0,12.0,,1.0,,13.0,5.0,,,,,,35.0,0.38461538461538464,0.5,0.75,0.4444444444444444,,0.4444444444444444,0.5652173913043478,0.8333333333333334,0.59375,0.7142857142857143,0.618421052631579,0.6,0.28125,0.3333333333333333,0.75,0.8,0.6,0.6,0.6923076923076923,0.7333333333333333,0.5,1.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.5,,0.3125,0.8,1.0,0.5,0.1875,0.21875,0.2857142857142857,0.2857142857142857,,0.0625,0.21875,0.5714285714285714,0.5714285714285714,0.75,0.5714285714285714,1.0,0.14285714285714285,,,0.59375,0.5714285714285714,0.530340625,0.581725,0.56623,0.1388888888888889,0.18518518518518517,,0.2553191489361702,7.482608695652174,25.366666666666667,3.0,0.5,0.5,,2.0,,1.0,,0.08695652173913043,,,,,5.0,5.0,,1.0,,2.0,7.0,,1.0,3.0,17.0,,1.0,1.0,2.0,,,,17.0,,1.0,,0.7777777777777778,0.7,0.7727272727272727,0.2,0.5,0.5,1.0,0.1,,,0.3617021276595745,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.8,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2014,2013-14,True
101110-101162-1733-202322-203490,1610612764,"Martell Webster, Marcin Gortat, Al Harrington, John Wall, Otto Porter Jr.","Webster, Gortat, Harrington, Wall, Porter Jr.",101110-101162-1733-202322-203490,WAS,124.0,1,2.0,4.0,5.0,4.0,9.0,,2.0,2.0,1.0,2.0,3.0,3.0,,4.0,,104.51612903225805,9.5,17.2,9.5,15.4,1.0,-1.0,,3.0,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,2.0,,,,,,1.0,2.0,,,,,,1.0,,1.0,,1.0,,2.0,,,,2.0,,,,1.0,,,,1.0,2.0,,1.0,,,,,,,,,2.0,1.0,1.0,,,,,1.0,,1.0,,1.0,,,0.3333333333333333,0.5,,,,0.5,,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,,0.783,,0.783,,,,,2.3,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,2.0,,1.0,,,,,,2.0,,,,1.0,1.0,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2014,2013-14,True
