EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,Arc3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG3A,OffThreePtRebounds,FTDefRebounds,OffRebounds,LostBallSteals,Charge Fouls Drawn,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefFTReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyArc3Frequency,SecondChancePointsPct,LongMidRangeFGM,LongMidRangeFGA,LongMidRangeAssists,DeadBallTurnovers,Offensive Fouls,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceFtPoints,OffTwoPtRebounds,Technical Free Throw Trips,BlockedShortMidRange,NonShootingPenaltyNonTakeFouls,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,SecondChanceAtRimPctAssisted,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,HeaveAttempts,ShortMidRangeFGM,ShortMidRangeAssists,DefThreePtRebounds,BadPassOutOfBoundsTurnovers,Travels,DefThreePtReboundPct,DefArc3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3FGM,Corner3FGA,PtsUnassisted3s,Fg2aBlocked,Corner3Assists,FG2APctBlocked,ShortMidRangePctBlocked,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3FGA,PtsPutbacks,BlockingFouls,Offensive Fouls Drawn,OffCorner3ReboundPct,DefCorner3ReboundPct,SecondChanceCorner3Frequency,Charge Fouls,Loose Ball Fouls,DefensiveGoaltends,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,AtRimPctBlocked,SelfOReb,BlockingFoulsDrawn,ThreePtShootingFoulsDrawn,BlockedLongMidRange,Defensive 3 Seconds Violations,OffLongMidRangeReboundPct,SelfORebPct,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGA,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,PenaltyCorner3Frequency,SecondChanceCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,FTOffRebounds,StepOutOfBoundsTurnovers,Clear Path Fouls,SecondChanceFg3Pct,OffFTReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3FGM,PenaltyCorner3Accuracy,3pt And 1 Free Throw Trips,3SecondViolations,LongMidRangePctBlocked,Corner3PctBlocked,OffensiveGoaltends,Blocked3s,BlockedArc3,BlockedCorner3,team_id,year,season,team_vs
101115-201588-202323-202331-2449,1610612754,"Andrew Bynum, George Hill, Evan Turner, Paul George, Luis Scola","Bynum, Hill, Turner, George, Scola",101115-201588-202323-202331-2449,IND,207.0,1,3.0,5.0,9.0,8.0,6.0,1.0,17.0,4.0,5.0,3.0,4.0,1.0,1.0,1.0,4.0,6.0,1.0,2.0,10.0,5.0,1.0,3.0,5.0,1.0,7.0,4.0,4.0,1.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,10.0,7.0,6.0,0.5,0.5,0.6666666666666666,0.6,0.5714285714285714,0.6,0.7142857142857143,0.7,0.14285714285714285,1.0,0.75,0.6,0.5,1.0,1.0,118.26086956521739,0.5,9.11111111111111,15.625,8.0,13.75,0.7142857142857143,0.8,0.8,0.5,0.14285714285714285,0.14285714285714285,1.0,0.8,0.75,0.8571428571428571,0.6060642857142857,0.51495,0.60724,0.2857142857142857,0.3333333333333333,0.7,2.6666666666666665,24.9,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2014,2013-14,True
101115-201588-202323-202331-2561,1610612754,"Andrew Bynum, George Hill, Evan Turner, Paul George, David West","Bynum, Hill, Turner, George, West",101115-201588-202323-202331-2561,IND,145.0,2,2.0,7.0,6.0,6.0,5.0,1.0,12.0,3.0,3.0,2.0,2.0,,2.0,,3.0,3.0,2.0,5.0,11.0,4.0,,2.0,2.0,4.0,8.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,1.0,,,,,,,2.0,3.0,4.0,5.0,1.0,1.0,,,,,9.0,8.0,5.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.6,0.5,0.7857142857142857,0.6666666666666666,0.4,,1.0,1.0,,1.0,,119.17241379310346,,8.5,15.666666666666666,8.0,15.666666666666666,0.6,1.0,1.0,0.3333333333333333,,0.4,,0.5,1.0,1.0,0.6673600000000001,,0.6875,0.2,0.3333333333333333,0.7272727272727273,1.0666666666666667,25.25,0.8333333333333334,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.5,0.18181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2014,2013-14,True
101115-201588-202323-202362-2449,1610612754,"Andrew Bynum, George Hill, Evan Turner, Lance Stephenson, Luis Scola","Bynum, Hill, Turner, Stephenson, Scola",101115-201588-202323-202362-2449,IND,67.0,2,1.0,5.0,3.0,2.0,2.0,,5.0,1.0,1.0,,,,,,2.0,2.0,,1.0,5.0,,,1.0,1.0,,2.0,2.0,2.0,,1.0,1.0,,2.0,1.0,1.0,1.0,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,5.0,2.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,1.25,1.0,,,1.0,1.0,,1.0,,107.46268656716417,,9.333333333333334,19.5,9.333333333333334,10.5,0.5,1.0,1.0,,,,,,,0.5,0.5151,,0.4205,0.5,0.5,0.4,9.3,,0.6666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2014,2013-14,True
101115-201588-202323-202362-2561,1610612754,"Andrew Bynum, George Hill, Evan Turner, Lance Stephenson, David West","Bynum, Hill, Turner, Stephenson, West",101115-201588-202323-202362-2561,IND,403.0,2,7.0,-9.0,11.0,12.0,7.0,3.0,23.0,2.0,5.0,1.0,2.0,1.0,1.0,,3.0,9.0,1.0,3.0,9.0,18.0,,2.0,6.0,1.0,5.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,,,2.0,1.0,1.0,,,,1.0,,,6.0,3.0,5.0,,2.0,1.0,,1.0,,3.0,5.0,7.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3,0.2857142857142857,0.375,0.3125,0.1,,,,,,,82.18362282878412,,16.636363636363637,18.333333333333332,13.545454545454545,15.0,0.5,0.4,0.4,0.5,0.1,0.1,,0.2857142857142857,0.5,0.6,0.53844,0.6471,0.4770857142857143,0.16666666666666666,0.18181818181818182,0.5555555555555556,8.166666666666666,27.1,0.6363636363636364,5.0,2.0,2.0,1.0,2.0,2.0,6.0,1.0,,,2.0,,1.0,,,,1.0,1.0,1.0,,,0.2857142857142857,,1.0,1.0,0.14285714285714285,0.6666666666666666,1.0,3.0,,1.0,1.0,0.3,0.3333333333333333,0.3333333333333333,,2.0,2.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2014,2013-14,True
101115-201588-202331-202362-2561,1610612754,"Andrew Bynum, George Hill, Paul George, Lance Stephenson, David West","Bynum, Hill, George, Stephenson, West",101115-201588-202331-202362-2561,IND,47.0,1,1.0,3.0,1.0,1.0,1.0,,2.0,,,,,,1.0,,,,1.0,,3.0,,,,,,3.0,,,1.0,,1.0,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,3.0,3.0,1.0,,,,,1.5,1.5,1.5,1.5,1.0,,1.0,1.0,,,1.0,61.276595744680854,,22.0,25.0,22.0,25.0,,,,,,1.0,,,,1.0,0.5217,,0.5217,,,1.0,,25.2,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2014,2013-14,True
101115-202323-202331-202388-2449,1610612754,"Andrew Bynum, Evan Turner, Paul George, Donald Sloan, Luis Scola","Bynum, Turner, George, Sloan, Scola",101115-202323-202331-202388-2449,IND,138.0,1,2.0,2.0,3.0,3.0,,1.0,6.0,3.0,3.0,,,,1.0,,3.0,3.0,1.0,,6.0,4.0,,,,,,4.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,,,,,,,,,,2.0,,,,,,,,4.0,,,0.6666666666666666,0.6666666666666666,1.0,,0.75,,0.75,,0.25,,1.0,1.0,,,1.0,62.60869565217392,,25.666666666666668,20.333333333333332,23.333333333333332,20.333333333333332,0.75,1.0,1.0,0.6666666666666666,,0.25,,,,1.0,0.556275,,,,,,1.5333333333333332,27.8,,,1.0,1.0,,1.0,1.0,2.0,,1.0,,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,0.3333333333333333,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2014,2013-14,True
101115-202323-202331-203524-2561,1610612754,"Andrew Bynum, Evan Turner, Paul George, Solomon Hill, David West","Bynum, Turner, George, Hill, West",101115-202323-202331-203524-2561,IND,29.0,1,,-2.0,1.0,1.0,1.0,,2.0,,,,,,2.0,,,,2.0,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,99.3103448275862,,20.0,9.0,20.0,9.0,,,,,,1.0,,,,1.0,0.48765,,0.48765,,,,,33.7,1.0,1.0,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2014,2013-14,True
101115-202323-202331-2446-2449,1610612754,"Andrew Bynum, Evan Turner, Paul George, Rasual Butler, Luis Scola","Bynum, Turner, George, Butler, Scola",101115-202323-202331-2446-2449,IND,462.0,1,8.0,-12.0,17.0,17.0,11.0,,34.0,2.0,3.0,2.0,2.0,5.0,3.0,,4.0,10.0,3.0,4.0,12.0,24.0,,4.0,6.0,2.0,10.0,4.0,4.0,3.0,2.0,2.0,1.0,4.0,4.0,5.0,5.0,,,,,,2.0,1.0,1.0,2.0,5.0,4.0,,2.0,1.0,1.0,1.0,1.0,12.0,10.0,11.0,0.5,0.5,0.4,0.6666666666666666,0.3076923076923077,0.4444444444444444,0.4,0.5,0.23076923076923078,,0.4444444444444444,0.5,0.6666666666666666,0.2,1.0,105.97402597402598,1.0,15.058823529411764,12.117647058823529,15.058823529411764,11.411764705882353,0.23076923076923078,0.6666666666666666,0.6666666666666666,0.5,0.38461538461538464,0.23076923076923078,,0.2222222222222222,1.0,0.46153846153846156,0.4724653846153846,,0.49287222222222227,0.13333333333333333,0.16666666666666666,0.8333333333333334,7.9,25.933333333333334,0.6470588235294118,7.0,,,3.0,,,,3.0,,,,,,,,,,,,,,,,,,0.3333333333333333,,,2.0,,2.0,,0.15384615384615385,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2014,2013-14,True
101115-202323-202362-2446-2449,1610612754,"Andrew Bynum, Evan Turner, Lance Stephenson, Rasual Butler, Luis Scola","Bynum, Turner, Stephenson, Butler, Scola",101115-202323-202362-2446-2449,IND,317.0,1,5.0,9.0,10.0,10.0,,1.0,20.0,3.0,3.0,,,2.0,1.0,,5.0,8.0,2.0,,16.0,7.0,,,,,,8.0,2.0,1.0,4.0,5.0,2.0,11.0,3.0,4.0,5.0,2.0,1.0,,,,1.0,,2.0,2.0,3.0,,,,,,,,16.0,,,0.8,0.8,0.625,,0.8,,0.8,,0.2,,0.6,0.6666666666666666,0.3333333333333333,1.0,,90.85173501577287,,12.6,19.1,12.0,18.9,0.3,1.0,1.0,0.6666666666666666,0.2,0.1,,,,0.5,0.50337,0.3794,,,,,8.925,24.1,,,,,,,1.0,,,,,1.0,1.0,,1.0,,,,,,,,0.3333333333333333,,,,,,2.0,3.0,2.0,1.0,,0.3,0.6666666666666666,0.6666666666666666,1.0,,1.0,,,,0.3333333333333333,,0.5,,1.0,,2.0,,3.0,1.0,1.0,,0.5,1.0,,1.0,1.0,1.0,,,1.0,,,,1.0,,,1.0,1.0,,,,1.0,1.0,3.0,2.0,1.0,0.25,1.0,0.1,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2014,2013-14,True
101115-202323-202388-2446-2449,1610612754,"Andrew Bynum, Evan Turner, Donald Sloan, Rasual Butler, Luis Scola","Bynum, Turner, Sloan, Butler, Scola",101115-202323-202388-2446-2449,IND,320.0,1,5.0,,9.0,10.0,,2.0,19.0,3.0,6.0,,,,2.0,,3.0,9.0,4.0,,9.0,9.0,1.0,,,,,,6.0,2.0,,1.0,,3.0,1.0,2.0,6.0,1.0,1.0,,,,,,2.0,3.0,1.0,,,,,,,,5.0,,,,,0.3333333333333333,,0.34615384615384615,,0.34615384615384615,,0.3076923076923077,,0.5,0.6666666666666666,,,1.0,85.5,,15.0,18.5,13.555555555555555,16.7,0.46153846153846156,0.5,0.5,,,0.15384615384615385,,,,0.7692307692307693,0.543523076923077,0.5835,,,,,7.311111111111111,25.2,,,2.0,3.0,,2.0,3.0,4.0,,2.0,,4.0,,,,,,0.6666666666666666,0.5,0.5,,0.6666666666666666,0.4444444444444444,,0.75,0.6666666666666666,,0.4444444444444444,,3.0,,,,0.23076923076923078,,,,,2.0,,,,0.3333333333333333,0.6666666666666666,,,1.0,,1.0,,3.0,1.0,1.0,1.0,1.0,0.25,,0.25,0.5,0.5,1.0,,0.5,,,,1.0,,,1.0,,,,,,2.0,,,,,,0.15384615384615385,,,,1.0,4.0,1.0,1.0,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2014,2013-14,True
