EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PtsUnassisted2s,DefThreePtRebounds,DefRebounds,Rebounds,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Fg2Pct,EfgPct,TsPct,DefThreePtReboundPct,DefFGReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,FTDefRebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,2pt And 1 Free Throw Trips,Assisted2sPct,NonPutbacksAssisted2sPct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefShortMidRangeReboundPct,AtRimPctAssisted,PenaltyDefPoss,DefArc3ReboundPct,LongMidRangeFGA,OffTwoPtRebounds,OffRebounds,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,LongMidRangeFrequency,PenaltyOffPoss,LongMidRangeFGM,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,HeaveAttempts,LongMidRangeAssists,Steals,LostBallSteals,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG3APct,DefLongMidRangeReboundPct,BlocksRecoveredPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGA,Arc3FGM,SecondChanceArc3FGA,FG3M,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,OffThreePtRebounds,Technical Free Throw Trips,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,DeadBallTurnovers,SecondChanceTurnovers,OffCorner3ReboundPct,Fg2aBlocked,BlockingFouls,BlockedShortMidRange,FG2APctBlocked,AtRimPctBlocked,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,BadPassSteals,LostBallOutOfBoundsTurnovers,LostBallTurnovers,PenaltyTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,Corner3FGM,PenaltyArc3FGM,SecondChanceFtPoints,PenaltyFG3M,PenaltyFtPoints,PtsPutbacks,Corner3Assists,ShortMidRangeAssists,SelfOReb,BadPassOutOfBoundsTurnovers,Travels,Charge Fouls,Offensive Fouls,Charge Fouls Drawn,NonShootingFoulsDrawn,BlockedAtRim,3SecondViolations,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffLongMidRangeReboundPct,SelfORebPct,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyArc3Accuracy,PtsUnassisted3s,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,PenaltyCorner3FGA,StepOutOfBoundsTurnovers,BlockingFoulsDrawn,Blocked3s,BlockedArc3,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Offensive Fouls Drawn,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceArc3FGM,SecondChanceFG3M,3pt And 1 Free Throw Trips,BlockedCorner3,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,DefensiveGoaltends,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,FTOffRebounds,OffFTReboundPct,team_id,year,season,team_vs
101110-101162-1733-1889-203078,1610612764,"Martell Webster, Marcin Gortat, Al Harrington, Andre Miller, Bradley Beal","Webster, Gortat, Harrington, Miller, Beal",101110-101162-1733-1889-203078,WAS,87.0,1,1.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,66.20689655172414,25.5,18.0,25.5,18.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0.47935,0.3333333333333333,0.3333333333333333,5.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2014,2013-14,False
101110-101162-1733-202322-203078,1610612764,"Martell Webster, Marcin Gortat, Al Harrington, John Wall, Bradley Beal","Webster, Gortat, Harrington, Wall, Beal",101110-101162-1733-202322-203078,WAS,102.0,1,2.0,-1.0,3.0,4.0,7.0,1.0,1.0,,,1.0,1.0,2.0,4.0,5.0,,,2.0,2.0,2.0,3.0,2.0,4.0,1.0,1.0,1.0,,1.0,,98.82352941176471,15.666666666666666,13.75,15.666666666666666,13.75,1.0,1.0,1.0,,,,1.0,0.7592,1.0,1.0,0.9,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2014,2013-14,False
101110-101162-1733-202322-2772,1610612764,"Martell Webster, Marcin Gortat, Al Harrington, John Wall, Trevor Ariza","Webster, Gortat, Harrington, Wall, Ariza",101110-101162-1733-202322-2772,WAS,9.0,1,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,1.0,,160.0,,9.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2014,2013-14,False
101110-101162-1889-202344-203078,1610612764,"Martell Webster, Marcin Gortat, Andre Miller, Trevor Booker, Bradley Beal","Webster, Gortat, Miller, Booker, Beal",101110-101162-1889-202344-203078,WAS,151.0,2,3.0,-12.0,3.0,5.0,8.0,,,,2.0,,3.0,,,12.0,,,,1.0,1.0,,,,,,,,,,76.29139072847683,29.0,12.8,29.0,12.8,,,,0.6666666666666666,,,,0.3751,,,11.299999999999999,,,,,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2014,2013-14,False
101110-101162-1889-202344-2772,1610612764,"Martell Webster, Marcin Gortat, Andre Miller, Trevor Booker, Trevor Ariza","Webster, Gortat, Miller, Booker, Ariza",101110-101162-1889-202344-2772,WAS,225.0,2,4.0,-4.0,5.0,8.0,13.0,,1.0,2.0,2.0,3.0,4.0,,6.0,10.0,4.0,1.0,2.0,2.0,1.0,,,6.0,0.75,0.6,0.6,1.0,0.6666666666666666,1.0,83.2,20.0,15.625,20.0,15.625,0.2,,,0.4,1.0,1.0,0.4,0.3864,,,11.675,2.0,1.0,1.0,,2.0,1.0,,,,,1.0,2.0,,0.3333333333333333,0.3333333333333333,,,0.5,,,8.0,,1.0,,,,,,0.2,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.2,0.5,1.0,1.0,1.0,1.0,0.2,0.3333333333333333,0.3894,0.6666666666666666,62.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2014,2013-14,False
101110-101162-1889-203078-2400,1610612764,"Martell Webster, Marcin Gortat, Andre Miller, Bradley Beal, Drew Gooden","Webster, Gortat, Miller, Beal, Gooden",101110-101162-1889-203078-2400,WAS,379.0,4,6.0,8.0,9.0,10.0,19.0,2.0,3.0,,2.0,5.0,8.0,2.0,15.0,7.0,6.0,,6.0,8.0,2.0,3.0,1.0,13.0,0.625,0.5909090909090909,0.5833333333333334,,1.0,,72.18997361477572,21.77777777777778,18.3,21.0,18.3,0.2727272727272727,0.6666666666666666,0.6666666666666666,0.18181818181818182,,,0.5454545454545454,0.5197590909090909,0.08333333333333333,0.1111111111111111,9.875,4.0,2.0,3.0,2.0,7.0,6.0,,,,,1.0,2.0,,0.4,0.4,,,1.0,1.0,1.0,,,3.0,1.0,2.0,0.3333333333333333,0.4,,0.2727272727272727,,3.0,2.0,,3.0,,,,,,,,,,,,,,,,,,,0.2727272727272727,1.0,,1.0,1.0,,0.18181818181818182,,,,24.7,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.09090909090909091,0.5,0.5,1.0,0.5,1.0,1.0,0.5,0.5,0.54675,0.13333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2014,2013-14,False
101110-101162-1889-203078-2403,1610612764,"Martell Webster, Marcin Gortat, Andre Miller, Bradley Beal, Nene","Webster, Gortat, Miller, Beal, Nene",101110-101162-1889-203078-2403,WAS,172.0,2,3.0,1.0,6.0,5.0,11.0,1.0,1.0,,,1.0,2.0,2.0,7.0,6.0,2.0,,1.0,2.0,1.0,2.0,1.0,7.0,0.5,0.625,0.7,,0.5,,92.09302325581395,13.166666666666666,18.6,13.166666666666666,15.0,0.25,1.0,1.0,,,,0.75,0.5724,0.2,0.3333333333333333,10.9,,,1.0,,3.0,1.0,,1.0,1.0,2.0,,,,,,0.5,,0.5,,,,,1.0,,1.0,,0.5,,0.25,,,1.0,,2.0,,,,,,,1.0,1.0,,,,,,,,,,,0.5,,,,,,0.25,,,,24.15,,1.0,,,1.0,1.0,,1.0,,,,,3.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.5,0.5,,,,1.0,,,1.0,0.25,1.0,1.0,1.0,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2014,2013-14,False
101110-101162-1889-2400-2772,1610612764,"Martell Webster, Marcin Gortat, Andre Miller, Drew Gooden, Trevor Ariza","Webster, Gortat, Miller, Gooden, Ariza",101110-101162-1889-2400-2772,WAS,150.0,3,2.0,,4.0,2.0,6.0,,2.0,,1.0,,4.0,,,,,,2.0,3.0,,,,,,,,,1.0,,57.6,20.75,33.5,20.25,33.5,0.4,,,0.2,,,0.6,0.46512000000000003,,,6.575,,,,,,2.0,,,,,,3.0,,,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,0.25,0.25,,0.2,2.0,,1.0,1.0,1.0,,1.0,1.0,,,,,,1.0,,1.0,1.0,,2.0,,,,,0.2,,1.0,,,,0.2,0.5,0.38905,,25.3,0.5,1.0,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,0.5,,,,,,,1.0,,,,,0.5562,,,,,1.0,1.0,1.0,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2014,2013-14,False
101110-101162-202066-202322-2403,1610612764,"Martell Webster, Marcin Gortat, Garrett Temple, John Wall, Nene","Webster, Gortat, Temple, Wall, Nene",101110-101162-202066-202322-2403,WAS,57.0,1,1.0,2.0,2.0,3.0,5.0,1.0,1.0,,1.0,1.0,2.0,,2.0,,2.0,,2.0,2.0,,,,2.0,0.5,0.5,0.5,,1.0,,126.31578947368422,19.5,6.0,19.5,6.0,0.5,1.0,1.0,0.5,,,0.5,0.3911,,,3.5,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,,,3.0,,,,,,,,,2.0,,,,,1.0,2.0,,2.0,,,,,,,,,2.0,2.0,,0.5,0.5,0.5,,1.0,,,,,,,0.3911,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2014,2013-14,False
101110-101162-202322-202344-203078,1610612764,"Martell Webster, Marcin Gortat, John Wall, Trevor Booker, Bradley Beal","Webster, Gortat, Wall, Booker, Beal",101110-101162-202322-202344-203078,WAS,253.0,2,4.0,-4.0,8.0,8.0,16.0,2.0,5.0,,1.0,3.0,7.0,,6.0,10.0,4.0,1.0,2.0,3.0,1.0,,,6.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,1.0,0.5,,91.06719367588933,16.875,14.75,16.125,13.875,0.7142857142857143,0.4,0.5,0.14285714285714285,,,0.7142857142857143,0.5534285714285715,,,5.585714285714286,2.0,1.0,1.0,1.0,2.0,,1.0,1.0,,2.0,,3.0,,0.3333333333333333,0.3333333333333333,0.5,1.0,,,0.5,2.0,1.0,1.0,1.0,1.0,0.25,0.25,,0.14285714285714285,3.0,1.0,,,,1.0,2.0,,2.0,,,1.0,,,,,,2.0,3.0,1.0,0.5,0.5,0.5,,,,1.0,1.0,,,,0.375,0.3333333333333333,,0.375,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,1.0,,,,,0.7728,,1.0,,,1.0,,,0.14285714285714285,0.2,,,,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2014,2013-14,False
