EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGA,DefAtRimReboundPct,Corner3Frequency,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsUnassisted3s,Corner3Assists,OffThreePtRebounds,FTOffRebounds,FTDefRebounds,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,Charge Fouls,Offensive Fouls,Charge Fouls Drawn,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedAtRim,BlockedLongMidRange,DefensiveGoaltends,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,PenaltyFg3Pct,ShortMidRangePctBlocked,DefFTReboundPct,OffFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,HeaveAttempts,Fg3aBlocked,BlockingFoulsDrawn,Blocked3s,BlockedArc3,BlockedCorner3,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,FG3APctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,Arc3PctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Clear Path Fouls,HeaveMakes,team_id,year,season,team_vs
201150-201152-202323-202341-202343,1610612755,"Spencer Hawes, Thaddeus Young, Evan Turner, James Anderson, Elliot Williams","Hawes, Young, Turner, Anderson, Williams",201150-201152-202323-202341-202343,PHI,780.0,6,13.0,21.0,27.0,26.0,9.0,1.0,5.0,53.0,4.0,7.0,1.0,2.0,2.0,4.0,3.0,6.0,5.0,9.0,2.0,3.0,12.0,22.0,2.0,3.0,11.0,41.0,20.0,2.0,4.0,3.0,7.0,4.0,11.0,6.0,14.0,18.0,6.0,6.0,2.0,3.0,2.0,1.0,9.0,2.0,11.0,2.0,2.0,2.0,5.0,24.0,6.0,6.0,6.0,12.0,6.0,18.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,8.0,2.0,9.0,1.0,1.0,14.0,3.0,1.0,5.0,3.0,2.0,2.0,2.0,2.0,34.0,14.0,9.0,3.0,0.75,0.8181818181818182,1.0,0.6666666666666666,0.6666666666666666,0.5454545454545454,0.5,0.36363636363636365,0.6,0.5,0.36363636363636365,0.6666666666666666,0.5833333333333334,0.4666666666666667,0.12,0.045454545454545456,0.14285714285714285,0.75,0.6,0.6,1.0,0.75,0.5454545454545454,0.6666666666666666,1.0,0.25,0.8,0.6666666666666666,1.0,1.0,0.2,97.84615384615384,1.0,13.296296296296296,16.192307692307693,12.481481481481481,15.923076923076923,0.28,0.5714285714285714,0.6666666666666666,0.5,0.24,0.5,0.5,0.6666666666666666,0.36,0.5555555555555556,0.5555555555555556,1.0,0.12,0.6666666666666666,0.6666666666666666,1.0,0.5,0.5,0.36363636363636365,0.5,0.4,0.6666666666666666,0.486422,0.5141,0.4727636363636364,0.18518518518518517,0.20833333333333334,0.17073170731707318,0.34146341463414637,10.227272727272727,26.099999999999998,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2014,2013-14,True
201150-201152-202323-202341-202721,1610612755,"Spencer Hawes, Thaddeus Young, Evan Turner, James Anderson, Darius Morris","Hawes, Young, Turner, Anderson, Morris",201150-201152-202323-202341-202721,PHI,267.0,3,4.0,-6.0,10.0,10.0,,,,20.0,,1.0,,,,,2.0,2.0,1.0,1.0,,3.0,3.0,4.0,,4.0,,6.0,12.0,,,,,,,,,4.0,2.0,,,3.0,,,2.0,,2.0,,,1.0,1.0,4.0,,2.0,2.0,4.0,,4.0,,,,,1.0,1.0,1.0,1.0,,2.0,,1.0,,2.0,,1.0,,,,,,,,,,,,6.0,,,,0.6666666666666666,0.6666666666666666,,,,0.75,,,0.375,,,0.375,,,0.5,,,0.5,0.6666666666666666,,1.0,0.8,,,,,,0.5,1.0,,,107.86516853932584,,15.4,11.3,15.4,11.2,0.125,,,,0.25,1.0,1.0,0.5,0.125,1.0,1.0,1.0,0.375,,,,,,,,0.625,,0.49505625,,,,,,,7.3,24.875,,1.0,1.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2014,2013-14,True
201150-201152-202323-202341-202730,1610612755,"Spencer Hawes, Thaddeus Young, Evan Turner, James Anderson, Lavoy Allen","Hawes, Young, Turner, Anderson, Allen",201150-201152-202323-202341-202730,PHI,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2014,2013-14,True
201150-201152-202323-202341-203100,1610612755,"Spencer Hawes, Thaddeus Young, Evan Turner, James Anderson, Tony Wroten","Hawes, Young, Turner, Anderson, Wroten",201150-201152-202323-202341-203100,PHI,10005.0,22,167.0,16.0,349.0,349.0,68.0,76.0,48.0,698.0,61.0,112.0,14.0,30.0,6.0,11.0,16.0,50.0,24.0,57.0,21.0,58.0,101.0,219.0,32.0,86.0,68.0,366.0,350.0,20.0,43.0,12.0,55.0,12.0,34.0,24.0,72.0,112.0,90.0,93.0,26.0,58.0,21.0,17.0,56.0,31.0,87.0,20.0,33.0,8.0,15.0,205.0,40.0,39.0,82.0,130.0,58.0,188.0,2.0,27.0,16.0,11.0,30.0,8.0,18.0,34.0,12.0,64.0,11.0,37.0,,79.0,7.0,72.0,6.0,3.0,92.0,8.0,3.0,34.0,11.0,36.0,9.0,36.0,19.0,311.0,70.0,67.0,8.0,0.5544554455445545,0.6363636363636364,0.96875,0.37209302325581395,0.37209302325581395,0.4611872146118721,0.46511627906976744,0.35294117647058826,0.4885245901639344,0.4777777777777778,0.48,0.5276162790697675,0.5188679245283019,0.5454545454545454,0.2819672131147541,0.0776255707762557,0.13392857142857142,0.46875,0.6507936507936508,0.3448275862068966,0.8863636363636364,0.711764705882353,0.3392857142857143,0.39215686274509803,0.34375,0.2727272727272727,0.7096774193548387,0.8260869565217391,0.8333333333333334,1.0,0.013245033112582781,100.46176911544228,0.5277777777777778,15.25214899713467,13.415472779369628,14.366762177650429,12.73352435530086,0.36721311475409835,0.5446428571428571,0.6288659793814433,0.5409836065573771,0.16393442622950818,0.32,0.3333333333333333,0.5,0.18688524590163935,0.42105263157894735,0.42105263157894735,0.625,0.1901639344262295,0.3620689655172414,0.3620689655172414,0.9523809523809523,0.6666666666666666,0.4666666666666667,0.22,0.5454545454545454,0.6491803278688525,0.3620689655172414,0.5139619672131147,0.5216364864864865,0.483512,0.1111111111111111,0.13877551020408163,0.15027322404371585,0.19672131147540983,7.33607305936073,24.95813953488372,0.19484240687679083,28.0,0.5694444444444444,0.09180327868852459,11.0,3.0,6.0,1.0,2.0,5.0,10.0,1.0,2.0,8.0,16.0,3.0,11.0,17.0,1.0,9.0,4.0,2.0,8.0,5.0,2.0,5.0,1.0,1.0,3.0,25.0,2.0,2.0,8.0,0.5,0.5,0.04,0.9,0.08333333333333333,0.3269230769230769,0.3142857142857143,0.35294117647058826,0.39285714285714285,0.39285714285714285,1.0,0.07142857142857142,0.044444444444444446,0.5,1.0,0.12,0.5,0.2,0.5,0.03409090909090909,,,,,,,,,,,,,,,,,,,,,1610612755,2014,2013-14,True
201150-201152-202323-202341-203138,1610612755,"Spencer Hawes, Thaddeus Young, Evan Turner, James Anderson, Hollis Thompson","Hawes, Young, Turner, Anderson, Thompson",201150-201152-202323-202341-203138,PHI,405.0,3,7.0,5.0,13.0,14.0,,3.0,,27.0,1.0,1.0,,,,,2.0,2.0,2.0,3.0,3.0,4.0,5.0,6.0,3.0,6.0,1.0,20.0,15.0,,,,,,,,,6.0,4.0,9.0,,4.0,3.0,,3.0,3.0,6.0,3.0,1.0,1.0,1.0,15.0,,2.0,2.0,4.0,,4.0,,3.0,1.0,2.0,,,,,,,,,,1.0,1.0,3.0,,,3.0,1.0,,2.0,,2.0,1.0,2.0,1.0,20.0,,,,0.6,0.6,1.0,0.5,0.5,0.8333333333333334,,,0.7916666666666666,,,0.7692307692307693,,,0.5,,,,0.6666666666666666,,0.4,0.5,,,,,,,0.4,,,96.0,0.5,14.76923076923077,15.214285714285714,14.76923076923077,13.285714285714286,0.08333333333333333,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,0.5,0.25,0.6666666666666666,0.6666666666666666,0.5,0.3333333333333333,0.75,0.75,1.0,,,,,0.5833333333333334,0.75,0.527125,,,0.15384615384615385,0.2857142857142857,,,11.166666666666666,24.71666666666667,,2.0,1.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2014,2013-14,True
201150-201152-202323-202341-203473,1610612755,"Spencer Hawes, Thaddeus Young, Evan Turner, James Anderson, Dewayne Dedmon","Hawes, Young, Turner, Anderson, Dedmon",201150-201152-202323-202341-203473,PHI,,1,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2014,2013-14,True
201150-201152-202323-202341-203485,1610612755,"Spencer Hawes, Thaddeus Young, Evan Turner, James Anderson, Lorenzo Brown","Hawes, Young, Turner, Anderson, Brown",201150-201152-202323-202341-203485,PHI,81.0,2,1.0,1.0,4.0,4.0,4.0,1.0,1.0,8.0,1.0,1.0,,,1.0,1.0,,1.0,,,,,1.0,2.0,,,1.0,3.0,2.0,,,1.0,1.0,1.0,2.0,1.0,3.0,2.0,,,,,,,1.0,,1.0,,1.0,,,2.0,1.0,1.0,2.0,3.0,1.0,4.0,,,,,1.0,,,,1.0,1.0,1.0,,,,,1.0,1.0,,2.0,,,,1.0,,,,,2.0,3.0,4.0,1.0,1.0,1.0,,,,0.5,,0.5,0.5,,0.5,0.5,0.5,0.5,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,,,142.2222222222222,,10.25,10.0,10.25,10.0,0.5,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,0.5,1.0,0.5,,0.49755,,0.49755,,,0.3333333333333333,1.0,4.65,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2014,2013-14,True
201150-201152-202323-202341-203487,1610612755,"Spencer Hawes, Thaddeus Young, Evan Turner, James Anderson, Michael Carter-Williams","Hawes, Young, Turner, Anderson, Carter-Williams",201150-201152-202323-202341-203487,PHI,36718.0,37,612.0,138.0,1256.0,1269.0,237.0,233.0,159.0,2525.0,222.0,345.0,46.0,77.0,28.0,54.0,82.0,206.0,108.0,278.0,75.0,197.0,412.0,829.0,115.0,300.0,221.0,1390.0,1252.0,60.0,115.0,36.0,177.0,58.0,131.0,68.0,232.0,488.0,336.0,297.0,80.0,196.0,75.0,36.0,244.0,99.0,343.0,61.0,134.0,47.0,63.0,785.0,124.0,150.0,298.0,478.0,186.0,664.0,22.0,139.0,90.0,49.0,105.0,26.0,66.0,85.0,39.0,190.0,40.0,114.0,2.0,238.0,6.0,237.0,15.0,12.0,287.0,27.0,13.0,120.0,27.0,83.0,24.0,87.0,43.0,1213.0,223.0,232.0,18.0,0.5922330097087378,0.6559139784946236,0.8608695652173913,0.38333333333333336,0.38461538461538464,0.4969843184559711,0.5217391304347826,0.44274809160305345,0.5177147918511957,0.5108695652173914,0.4270833333333333,0.5515587529976019,0.546583850931677,0.49783549783549785,0.2657218777679362,0.04342581423401689,0.06666666666666667,0.5526315789473685,0.7286063569682152,0.30024213075060535,0.7731958762886598,0.7429519071310116,0.29697986577181207,0.45901639344262296,0.26229508196721313,0.21301775147928995,0.6956521739130435,0.8613861386138614,0.7619047619047619,0.8085106382978723,0.03949730700179533,99.02500136172993,0.4942528735632184,15.454617834394904,13.638297872340425,14.69267515923567,13.07565011820331,0.30558015943312666,0.6434782608695652,0.6894409937888198,0.6036036036036037,0.1824623560673162,0.39805825242718446,0.41836734693877553,0.573170731707317,0.2462356067316209,0.38848920863309355,0.3927272727272727,0.5833333333333334,0.1744906997342781,0.38071065989847713,0.38461538461538464,0.8133333333333334,0.5579710144927537,0.5974025974025974,0.28125,0.5185185185185185,0.5713020372010629,0.3826530612244898,0.5171726063829788,0.5396356481481481,0.504359162303665,0.10049019607843138,0.1301518438177874,0.12733812949640289,0.1669064748201439,8.728588661037394,24.971666666666668,0.18869426751592358,103.0,0.6764705882352942,0.0912311780336581,40.0,7.0,21.0,5.0,18.0,9.0,40.0,7.0,23.0,16.0,61.0,48.0,38.0,53.0,9.0,30.0,10.0,2.0,14.0,21.0,6.0,13.0,8.0,1.0,3.0,57.0,2.0,2.0,21.0,0.30434782608695654,0.26229508196721313,0.04854368932038835,0.8823529411764706,0.24324324324324326,0.2896174863387978,0.26666666666666666,0.3333333333333333,0.3883495145631068,0.39603960396039606,0.95,0.08695652173913043,0.13043478260869565,0.2777777777777778,0.6,0.109375,0.3333333333333333,0.20833333333333334,0.225,0.009933774834437087,2.0,5.0,1.0,4.0,2.0,4.0,2.0,2.0,1.0,3.0,1.0,0.013333333333333334,0.01079136690647482,0.019417475728155338,0.01015228426395939,0.036231884057971016,0.4,1.0,,,1610612755,2014,2013-14,True
201150-201152-202323-202343-203100,1610612755,"Spencer Hawes, Thaddeus Young, Evan Turner, Elliot Williams, Tony Wroten","Hawes, Young, Turner, Williams, Wroten",201150-201152-202323-202343-203100,PHI,777.0,7,13.0,14.0,23.0,24.0,4.0,,4.0,47.0,7.0,11.0,1.0,4.0,2.0,3.0,1.0,2.0,,1.0,4.0,10.0,8.0,14.0,4.0,11.0,6.0,34.0,20.0,1.0,4.0,3.0,5.0,2.0,3.0,1.0,5.0,10.0,6.0,12.0,2.0,10.0,4.0,1.0,5.0,4.0,9.0,4.0,4.0,1.0,,22.0,3.0,5.0,7.0,13.0,6.0,19.0,,2.0,2.0,,3.0,,2.0,,1.0,3.0,,4.0,,4.0,,8.0,,,8.0,2.0,,5.0,,1.0,,1.0,,29.0,5.0,4.0,,0.625,0.7142857142857143,1.0,0.36363636363636365,0.36363636363636365,0.5714285714285714,0.25,0.6666666666666666,0.56,0.25,0.3333333333333333,0.6071428571428571,0.4166666666666667,0.4166666666666667,0.44,0.07142857142857142,0.09090909090909091,1.0,0.7,0.5,0.8333333333333334,0.75,0.5,0.25,1.0,1.0,0.75,1.0,0.75,1.0,,87.10424710424711,,17.217391304347824,15.875,16.608695652173914,14.208333333333334,0.44,0.6363636363636364,0.7,0.5714285714285714,0.08,0.5,0.5,1.0,0.04,,,,0.4,0.4,0.4,1.0,1.0,0.25,0.5,0.6666666666666666,0.88,0.4,0.550694,0.58625,0.5445,0.17857142857142858,0.29411764705882354,0.14705882352941177,0.14705882352941177,3.6214285714285714,26.045454545454547,0.17391304347826086,1.0,0.5,0.04,,,,,,,3.0,,,,3.0,,,3.0,,1.0,,,,,,,,,,1.0,,,,,,,0.3333333333333333,,0.5,0.4,1.0,,,,,,,,,,0.5,,,,,,,,,,,,,1.0,,,,,,,,,,1610612755,2014,2013-14,True
201150-201152-202323-202343-203138,1610612755,"Spencer Hawes, Thaddeus Young, Evan Turner, Elliot Williams, Hollis Thompson","Hawes, Young, Turner, Williams, Thompson",201150-201152-202323-202343-203138,PHI,159.0,4,3.0,2.0,5.0,6.0,1.0,2.0,,11.0,2.0,2.0,,,,,,,,1.0,,,2.0,3.0,,,2.0,6.0,4.0,,,,,,,2.0,2.0,4.0,,,,,,,2.0,,2.0,,2.0,,,4.0,,1.0,,1.0,,1.0,,1.0,1.0,,,,,1.0,,1.0,,,,3.0,1.0,1.0,,,2.0,,,,1.0,,,,,6.0,2.0,1.0,1.0,1.0,1.0,,,,0.6666666666666666,,,0.6666666666666666,,,0.75,,1.0,,,,,,,1.0,0.5,,,,,,,1.0,,,99.62264150943396,,14.2,14.666666666666666,14.2,14.5,0.6666666666666666,1.0,1.0,1.0,,,,,0.3333333333333333,,,,,,,,,,,,0.6666666666666666,,0.4906333333333333,,,,,,0.3333333333333333,7.3,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2014,2013-14,True
