EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,NonHeaveArc3FGA,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Offensive Fouls Drawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceOffPoss,SecondChanceArc3FGA,SecondChanceFG3A,OffTwoPtRebounds,DefTwoPtRebounds,OffRebounds,BadPassSteals,Offensive Fouls,DefTwoPtReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,LongMidRangeFGM,PtsAssisted2s,HeaveAttempts,TwoPtAssists,LongMidRangeAssists,Assisted2sPct,NonPutbacksAssisted2sPct,DefAtRimReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsPutbacks,OffThreePtRebounds,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChancePointsPct,Corner3FGA,Fg3aBlocked,ShortMidRangeAssists,LostBallOutOfBoundsTurnovers,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefensiveGoaltends,FG3APctBlocked,Corner3PctBlocked,BlocksRecoveredPct,ShortMidRangePctAssisted,Corner3Frequency,FTDefRebounds,Loose Ball Fouls,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,DefFTReboundPct,Corner3FGM,Fg2aBlocked,Corner3Assists,LiveBallTurnovers,BadPassTurnovers,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,OffAtRimReboundPct,AtRimAssists,Loose Ball Fouls Drawn,BlockingFoulsDrawn,Technical Free Throw Trips,BlockedShortMidRange,AtRimPctAssisted,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFtPoints,Travels,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,LostBallTurnovers,PtsUnassisted3s,SecondChanceTurnovers,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,SelfOReb,Charge Fouls,Charge Fouls Drawn,2pt And 1 Free Throw Trips,Defensive 3 Seconds Violations,SecondChanceFg3Pct,ShortMidRangePctBlocked,SelfORebPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,ThreePtShootingFoulsDrawn,BlockedLongMidRange,Arc3PctBlocked,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedArc3,LongMidRangePctBlocked,SecondChanceArc3PctAssisted,FTOffRebounds,OffFTReboundPct,3pt And 1 Free Throw Trips,OffCorner3ReboundPct,team_id,year,season,team_vs
101128-201600-201935-202391-202718,1610612745,"Francisco Garcia, Omer Asik, James Harden, Jeremy Lin, Chandler Parsons","Garcia, Asik, Harden, Lin, Parsons",101128-201600-201935-202391-202718,HOU,92.0,1,2.0,-1.0,3.0,3.0,3.0,3.0,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,4.0,3.0,1.0,1.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,93.91304347826086,16.666666666666668,14.0,16.666666666666668,10.666666666666666,0.5,1.0,1.0,0.5,0.5,1.0,0.5,1.0,0.444375,0.444375,0.3333333333333333,0.5,1.0,3.9,25.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2014,2013-14,True
101128-201600-201935-202391-203093,1610612745,"Francisco Garcia, Omer Asik, James Harden, Jeremy Lin, Terrence Jones","Garcia, Asik, Harden, Lin, Jones",101128-201600-201935-202391-203093,HOU,154.0,1,3.0,4.0,5.0,5.0,5.0,5.0,10,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,,7.0,3.0,2.0,3.0,1.0,,7.0,4.0,1.0,2.0,2.0,2.0,,,7.0,7.0,5.0,0.6666666666666666,0.6666666666666666,0.875,0.875,0.875,0.875,0.25,93.5064935064935,14.0,16.8,14.0,13.2,0.25,1.0,1.0,0.25,0.25,1.0,0.25,0.5,0.5373,0.5373,,,1.0,8.133333333333333,25.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,0.3333333333333333,0.25,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2014,2013-14,True
101128-201600-202391-202718-203093,1610612745,"Francisco Garcia, Omer Asik, Jeremy Lin, Chandler Parsons, Terrence Jones","Garcia, Asik, Lin, Parsons, Jones",101128-201600-202391-202718-203093,HOU,152.0,1,3.0,5.0,6.0,5.0,,,11,1.0,1.0,,,2.0,,1.0,3.0,2.0,2.0,7.0,2.0,,,,,,2.0,2.0,,1.0,1.0,2.0,1.0,7.0,,,0.3333333333333333,,0.5,,0.5833333333333334,,0.4,104.21052631578948,13.5,14.2,12.833333333333334,14.2,0.2,1.0,1.0,0.4,,,,0.6,0.47953999999999997,,0.16666666666666666,0.25,,12.066666666666668,25.85,,,,2.0,1.0,,1.0,,3.0,1.0,1.0,1.0,1.0,3.0,,3.0,4.0,1.0,,,1.0,1.0,,,1.0,0.5,,0.5,,1.0,,,,,0.4,0.5,0.5,1.0,,0.5,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.5,1.0,1.0,1.0,0.5271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2014,2013-14,True
101128-201935-201976-202718-203093,1610612745,"Francisco Garcia, James Harden, Patrick Beverley, Chandler Parsons, Terrence Jones","Garcia, Harden, Beverley, Parsons, Jones",101128-201935-201976-202718-203093,HOU,105.0,1,2.0,1.0,3.0,4.0,3.0,2.0,7,,,,,1.0,1.0,1.0,2.0,1.0,2.0,4.0,3.0,1.0,2.0,1.0,2.0,4.0,,,,1.0,1.0,2.0,1.0,4.0,4.0,3.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,0.3333333333333333,96.0,13.333333333333334,16.25,13.333333333333334,15.0,,,,0.3333333333333333,,,0.3333333333333333,0.3333333333333333,0.44845,0.44845,0.25,0.3333333333333333,1.0,17.0,51.5,1.0,,,2.0,,,,,,,,1.0,,2.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,0.5,0.6666666666666666,1.0,,,,0.6666666666666666,,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2014,2013-14,True
101128-201935-201976-202718-2730,1610612745,"Francisco Garcia, James Harden, Patrick Beverley, Chandler Parsons, Dwight Howard","Garcia, Harden, Beverley, Parsons, Howard",101128-201935-201976-202718-2730,HOU,5.0,1,,2.0,1.0,,1.0,,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,2.0,,1.0,2.0,1.0,,2.0,2.0,1.0,,,,,,,2.0,1.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,288.0,5.0,,3.0,,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,0.5291833333333333,0.5291833333333333,,,1.0,2.7,24.8,1.0,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,1.0,,,1.0,,2.0,,,,1.0,1.0,,,,,0.6449,,,,,,,,,,,,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2014,2013-14,True
101128-201935-202391-202718-203093,1610612745,"Francisco Garcia, James Harden, Jeremy Lin, Chandler Parsons, Terrence Jones","Garcia, Harden, Lin, Parsons, Jones",101128-201935-202391-202718-203093,HOU,328.0,1,5.0,-8.0,11.0,12.0,1.0,1.0,23,2.0,2.0,,,2.0,,3.0,4.0,5.0,2.0,8.0,16.0,,,,2.0,2.0,4.0,2.0,,,2.0,2.0,1.0,8.0,2.0,1.0,0.75,,0.3333333333333333,,0.4,1.0,0.5555555555555556,100.97560975609755,18.363636363636363,10.5,18.363636363636363,10.416666666666666,0.2222222222222222,1.0,1.0,0.2222222222222222,,,,0.7777777777777778,0.5118333333333333,,0.1,0.2,0.25,7.525,24.02,0.09090909090909091,1.0,1.0,1.0,,,,,,,,1.0,,2.0,2.0,4.0,4.0,,,,1.0,1.0,,,,,,,0.6666666666666666,0.8,0.6666666666666666,0.1111111111111111,1.0,1.0,0.1111111111111111,,,,,,,,,,2.0,,,,1.0,,,,1.0,,,,,2.0,,1.0,,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.3333333333333333,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2014,2013-14,True
101128-201935-202391-202718-2730,1610612745,"Francisco Garcia, James Harden, Jeremy Lin, Chandler Parsons, Dwight Howard","Garcia, Harden, Lin, Parsons, Howard",101128-201935-202391-202718-2730,HOU,27.0,1,,-1.0,1.0,2.0,1.0,2.0,3,,,,,,,,,,1.0,1.0,2.0,,,,1.0,1.0,,,,2.0,1.0,2.0,,1.0,1.0,1.0,,,,,0.5,0.5,,160.0,1.0,13.0,1.0,10.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,2.0,2.0,,,,,,,,,,,,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2014,2013-14,True
101128-201976-202391-202718-2730,1610612745,"Francisco Garcia, Patrick Beverley, Jeremy Lin, Chandler Parsons, Dwight Howard","Garcia, Beverley, Lin, Parsons, Howard",101128-201976-202391-202718-2730,HOU,423.0,2,7.0,-1.0,14.0,13.0,3.0,3.0,27,1.0,2.0,,,2.0,1.0,2.0,6.0,3.0,4.0,17.0,18.0,,,1.0,4.0,7.0,4.0,2.0,,4.0,3.0,6.0,1.0,17.0,3.0,1.0,0.3333333333333333,,0.7222222222222222,1.5,0.7083333333333334,1.1666666666666667,0.3333333333333333,91.91489361702128,14.0,17.46153846153846,14.0,14.384615384615385,0.2222222222222222,0.5,1.0,0.2222222222222222,,,1.0,0.5555555555555556,0.4452722222222223,0.46995,0.1,0.14285714285714285,0.4117647058823529,13.383333333333333,24.333333333333332,0.21428571428571427,,,4.0,2.0,1.0,3.0,1.0,9.0,2.0,3.0,3.0,2.0,9.0,4.0,5.0,5.0,,,,1.0,2.0,,,1.0,1.0,1.0,1.0,0.6666666666666666,0.45454545454545453,0.6,,,,0.4444444444444444,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,1.0,0.2,,,,,,,,1.0,,,,,,,0.25,0.25,0.25,,,,,,,,,,,,,,,,,,1.0,,,,2.0,2.0,2.0,,,,,,,0.1111111111111111,,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.5,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2014,2013-14,True
101128-201976-202718-203093-2730,1610612745,"Francisco Garcia, Patrick Beverley, Chandler Parsons, Terrence Jones, Dwight Howard","Garcia, Beverley, Parsons, Jones, Howard",101128-201976-202718-203093-2730,HOU,38.0,1,1.0,,1.0,2.0,1.0,2.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,113.6842105263158,10.0,14.0,10.0,14.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2014,2013-14,True
101128-202391-202718-203093-2730,1610612745,"Francisco Garcia, Jeremy Lin, Chandler Parsons, Terrence Jones, Dwight Howard","Garcia, Lin, Parsons, Jones, Howard",101128-202391-202718-203093-2730,HOU,22.0,1,,,,1.0,,,1,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,65.45454545454545,,16.0,,13.0,1.0,,,,,,,1.0,0.3804,,,,,3.2,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,1.0,1.0,1.0,,,0.5,1.0,1.0,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2014,2013-14,True
