EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,DefPoss,TotalPoss,OpponentPoints,Pace,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,Minutes,OffPoss,PenaltyOffPoss,PenaltyDefPoss,DefTwoPtRebounds,DefRebounds,Rebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,Offensive Fouls,PenaltyOffPossExcludingTakeFouls,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,PenaltyOffPossPct,AtRimFGA,LongMidRangeFGA,Corner3FGA,FG2A,FG3A,FtPoints,Points,PenaltyFtPoints,PenaltyPoints,Fg2aBlocked,ShootingFouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,AtRimFrequency,LongMidRangeFrequency,Corner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,SecondChanceOffPoss,ShortMidRangeFGA,LongMidRangeFGM,Arc3FGA,SecondChanceArc3FGA,FG2M,SecondChanceFG3A,PtsUnassisted2s,NonHeaveArc3FGA,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,SelfOReb,Loose Ball Fouls,Fg2Pct,EfgPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,ShortMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,AtRimFGM,ShortMidRangeFGM,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,Blocked2s,BlockedShortMidRange,Blocks,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PtsAssisted2s,PtsPutbacks,TwoPtAssists,AtRimAssists,LongMidRangeAssists,OffThreePtRebounds,FTDefRebounds,Steals,BadPassSteals,LostBallSteals,Travels,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,TwoPtShootingFoulsDrawn,BlockedAtRim,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,DefFTReboundPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimPctAssisted,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PtsUnassisted3s,Fg3aBlocked,ShortMidRangeAssists,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,SecondChanceTurnovers,BlockingFoulsDrawn,FG3APctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,ShortMidRangePctAssisted,Defensive 3 Seconds Violations,Technical Free Throw Trips,Corner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,Corner3Assists,Charge Fouls,SecondChanceFg3Pct,OffArc3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3FGA,2pt And 1 Free Throw Trips,SecondChanceAtRimPctAssisted,PenaltyCorner3Frequency,BlockingFouls,3SecondViolations,FTOffRebounds,OffFTReboundPct,PenaltyCorner3FGM,LostBallOutOfBoundsTurnovers,Blocked3s,BlockedArc3,ShortMidRangePctBlocked,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveAttempts,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,LongMidRangePctBlocked,HeaveMakes,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,BlockedCorner3,BlockedLongMidRange,DefensiveGoaltends,team_id,year,season,team_vs
101133-201228-201579-202323-202331,1610612754,"Ian Mahinmi, C.J. Watson, Roy Hibbert, Evan Turner, Paul George","Mahinmi, Watson, Hibbert, Turner, George",101133-201228-201579-202323-202331,IND,23.0,1,-2.0,1.0,1,2.0,62.60869565217391,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2014,2013-14,False
101133-201228-201588-202323-203142,1610612754,"Ian Mahinmi, C.J. Watson, George Hill, Evan Turner, Chris Copeland","Mahinmi, Watson, Hill, Turner, Copeland",101133-201228-201588-202323-203142,IND,60.0,1,-3.0,2.0,5,3.0,120.0,12.5,12.5,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,11.666666666666666,11.666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2014,2013-14,False
101133-201228-201588-202323-2449,1610612754,"Ian Mahinmi, C.J. Watson, George Hill, Evan Turner, Luis Scola","Mahinmi, Watson, Hill, Turner, Scola",101133-201228-201588-202323-2449,IND,164.0,2,-9.0,4.0,8,10.0,70.2439024390244,14.25,14.25,3.0,4.0,,,,,,1.0,1.0,1.0,,1.0,,,,,,26.75,26.75,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.125,0.5,0.3333333333333333,0.5,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.47176666666666667,1.0,10.95,23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2014,2013-14,False
101133-201228-201588-202331-202362,1610612754,"Ian Mahinmi, C.J. Watson, George Hill, Paul George, Lance Stephenson","Mahinmi, Watson, Hill, George, Stephenson",101133-201228-201588-202331-202362,IND,63.0,1,1.0,2.0,4,1.0,91.42857142857143,12.0,12.0,1.0,2.0,,,,2.0,3.0,,,,,1.0,,,,1.0,,19.5,16.0,,,1.0,,2.0,1.0,,2.0,,,,,,,,2.0,,,0.3333333333333333,,0.3333333333333333,,,,0.3333333333333333,,0.3333333333333333,0.44039999999999996,,12.4,29.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,0.3333333333333333,1.0,1.0,0.5,1.0,1.0,0.5,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,0.5124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2014,2013-14,False
101133-201228-201588-202331-203142,1610612754,"Ian Mahinmi, C.J. Watson, George Hill, Paul George, Chris Copeland","Mahinmi, Watson, Hill, George, Copeland",101133-201228-201588-202331-203142,IND,396.0,2,-2.0,11.0,22,13.0,80.0,18.727272727272727,17.181818181818183,7.0,11.0,,,1.0,4.0,4.0,,1.0,1.0,,2.0,,,0.3333333333333333,0.5714285714285714,0.5,17.272727272727273,17.272727272727273,,4.0,1.0,,8.0,2.0,,11.0,,,,1.0,2.0,,,11.0,,,0.55,,0.2,,,0.4,0.1,,0.6,0.526535,,5.7375,25.35,,3.0,1.0,2.0,,4.0,,8.0,2.0,,3.0,,,,0.5,0.55,,0.75,,,1.0,,0.3,1.0,1.0,0.2,,,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2014,2013-14,False
101133-201228-201588-202331-2449,1610612754,"Ian Mahinmi, C.J. Watson, George Hill, Paul George, Luis Scola","Mahinmi, Watson, Hill, George, Scola",101133-201228-201588-202331-2449,IND,763.0,4,9.0,25.0,48,22.0,90.58977719528178,17.4,15.76,13.0,23.0,13.0,8.0,4.0,13.0,16.0,,1.0,1.0,1.0,8.0,,13.0,0.4,0.5789473684210527,,14.26086956521739,13.956521739130435,0.5652173913043478,4.0,10.0,2.0,15.0,5.0,7.0,31.0,2.0,16.0,,3.0,10.0,10.0,2.0,28.0,16.0,2.0,0.62,0.6666666666666666,0.25,,,0.2,0.5,0.1,0.45,0.45006500000000005,0.5161290322580645,13.3,25.639999999999997,2.0,1.0,5.0,3.0,,9.0,,6.0,3.0,1.0,7.0,3.0,,1.0,0.6,0.6,0.2,0.7777777777777778,0.375,,0.6666666666666666,,0.05,0.5,0.5,0.15,,0.5844,4.0,,2.0,2.0,6.0,2.0,2.0,8.0,2.0,18.0,3.0,,3.0,1.0,0.4,0.4,1.0,1.0,,,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,4.0,7.0,2.0,3.0,12.0,2.0,6.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,0.6666666666666666,0.75,0.6666666666666666,1.0,0.5714285714285714,1.0,0.7,0.75,1.0,0.6666666666666666,0.25,1.0,0.5714285714285714,1.0,0.6666666666666666,0.5,0.8,1.0,1.0,0.2,1.0,0.3,0.6666666666666666,0.451975,0.13043478260869565,0.16666666666666666,0.0967741935483871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2014,2013-14,False
101133-201228-201588-202331-2561,1610612754,"Ian Mahinmi, C.J. Watson, George Hill, Paul George, David West","Mahinmi, Watson, Hill, George, West",101133-201228-201588-202331-2561,IND,1151.0,7,-4.0,34.0,70,35.0,87.57602085143354,15.970588235294118,15.088235294117647,19.0,36.0,20.0,16.0,5.0,12.0,15.0,2.0,3.0,5.0,4.0,10.0,,20.0,0.8333333333333334,0.7857142857142857,0.5,16.88888888888889,16.666666666666668,0.5555555555555556,10.0,5.0,1.0,22.0,10.0,2.0,31.0,1.0,20.0,2.0,3.0,3.0,4.0,,30.0,20.0,,0.45588235294117646,0.5882352941176471,0.3125,0.09090909090909091,0.2,0.3125,0.15625,0.03125,0.625,0.471090625,0.6451612903225806,7.1909090909090905,26.660000000000004,3.0,7.0,1.0,9.0,,13.0,,12.0,9.0,3.0,6.0,3.0,1.0,2.0,0.5909090909090909,0.453125,0.3333333333333333,0.75,0.16666666666666666,0.3333333333333333,0.75,0.06666666666666667,0.21875,0.2,0.2,0.28125,,,8.0,4.0,1.0,1.0,,1.0,,7.0,,14.0,1.0,1.0,1.0,,0.1,0.1,0.8,1.0,0.5714285714285714,0.5714285714285714,0.1111111111111111,0.125,,0.1111111111111111,,,5.0,7.0,1.0,5.0,,,1.0,1.0,8.0,11.0,1.0,5.0,14.0,,7.0,5.0,1.0,,1.0,5.0,1.0,4.0,1.0,1.0,,,2.0,,1.0,,0.5384615384615384,0.5384615384615384,0.2,,0.7272727272727273,,0.59375,0.5,1.0,,0.25,,1.0,,1.0,0.625,1.0,,,0.4375,0.7142857142857143,0.3125,0.2,0.44163125,0.058823529411764705,0.08333333333333333,0.03225806451612903,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.1,0.1111111111111111,0.4,0.5,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2014,2013-14,False
101133-201228-201588-202362-203142,1610612754,"Ian Mahinmi, C.J. Watson, George Hill, Lance Stephenson, Chris Copeland","Mahinmi, Watson, Hill, Stephenson, Copeland",101133-201228-201588-202362-203142,IND,56.0,1,-1.0,3.0,6,4.0,154.28571428571428,14.666666666666666,14.666666666666666,1.0,3.0,3.0,3.0,1.0,2.0,2.0,,,1.0,1.0,,,3.0,1.0,1.0,,4.0,4.0,1.0,,,,,1.0,,3.0,,3.0,,,1.0,2.0,1.0,3.0,3.0,1.0,0.75,0.75,1.0,,,,,,1.0,0.17535,1.0,,27.9,,,,1.0,,,,,1.0,,1.0,,,,,1.5,,1.0,,,1.0,,,,,1.0,,,,,1.0,1.0,,1.0,,,,,1.0,,1.0,,1.0,1.0,,,,,1.0,1.0,,1.0,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.5,,,,,,1.0,,1.0,,,,,,,1.0,1.0,0.17535,,,,3.0,,,1.0,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2014,2013-14,False
101133-201228-201588-202362-2449,1610612754,"Ian Mahinmi, C.J. Watson, George Hill, Lance Stephenson, Luis Scola","Mahinmi, Watson, Hill, Stephenson, Scola",101133-201228-201588-202362-2449,IND,142.0,2,-2.0,4.0,8,2.0,81.12676056338029,12.0,12.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,0.5,0.5,,23.5,23.5,0.25,,2.0,,3.0,,,,,,,,1.0,1.0,,,,,,,,,,,0.6666666666666666,,,0.3586666666666667,,14.700000000000001,,,1.0,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.276,,,,,,,1.0,1.0,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2014,2013-14,False
101133-201228-201588-202362-2561,1610612754,"Ian Mahinmi, C.J. Watson, George Hill, Lance Stephenson, David West","Mahinmi, Watson, Hill, Stephenson, West",101133-201228-201588-202362-2561,IND,760.0,3,-2.0,25.0,50,28.0,94.73684210526316,13.56,13.52,13.0,25.0,11.0,18.0,7.0,12.0,14.0,1.0,4.0,4.0,1.0,8.0,2.0,11.0,0.875,0.9230769230769231,1.0,16.84,16.52,0.44,5.0,5.0,1.0,15.0,7.0,2.0,26.0,2.0,15.0,,2.0,2.0,2.0,,21.0,15.0,,0.5652173913043478,0.6818181818181818,0.3181818181818182,,,0.22727272727272727,0.22727272727272727,0.045454545454545456,0.5454545454545454,0.480475,0.5769230769230769,8.913333333333332,25.057142857142857,2.0,5.0,1.0,6.0,1.0,6.0,1.0,8.0,6.0,1.0,5.0,2.0,1.0,,0.4,0.5454545454545454,0.1111111111111111,1.0,0.16666666666666666,0.25,1.0,0.08333333333333333,0.22727272727272727,0.2,0.2,0.2727272727272727,0.5,0.6463,4.0,1.0,3.0,4.0,12.0,3.0,4.0,6.0,3.0,16.0,2.0,1.0,2.0,1.0,0.5714285714285714,0.5714285714285714,0.8,0.8,0.2,0.2,0.5,0.5,1.0,0.5,1.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,,5.0,5.0,8.0,1.0,2.0,4.0,2.0,2.0,2.0,,1.0,,,,,,,,,1.0,1.0,1.0,2.0,0.3333333333333333,0.4,0.5,1.0,0.625,1.25,0.65,1.25,,0.3333333333333333,,,1.0,1.0,0.5,0.5,,0.5,1.0,0.3,1.0,0.2,0.5,0.49291,0.043478260869565216,0.0625,0.19230769230769232,,,,,,,,,,,,,0.6666666666666666,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2014,2013-14,False
