EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OffPoss,DefPoss,TotalPoss,LongMidRangeFGA,FG2A,OpponentPoints,ShootingFouls,BlockingFouls,Fouls,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,ShotQualityAvg,Avg2ptShotDistance,Minutes,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGA,Arc3FGA,FG2M,FG3A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,FTOffRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,OffensiveGoaltends,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Arc3Frequency,SecondChanceAtRimFrequency,AtRimFG3AFrequency,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg3ptShotDistance,LongMidRangeFGM,LongMidRangeAssists,DefThreePtRebounds,ShortMidRangePctBlocked,DefThreePtReboundPct,DefArc3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyOffPoss,PenaltyDefPoss,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,LostBallTurnovers,PenaltyTurnovers,Charge Fouls,2pt And 1 Free Throw Trips,Technical Free Throw Trips,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefAtRimReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,Corner3Assists,AtRimAssists,FTDefRebounds,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,DefFTReboundPct,AtRimPctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,OffLongMidRangeReboundPct,SecondChanceAtRimPctAssisted,OffThreePtRebounds,SecondChanceTurnovers,Charge Fouls Drawn,Offensive Fouls Drawn,NonShootingFoulsDrawn,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,OffThreePtReboundPct,OffArc3ReboundPct,BlocksRecoveredPct,DefCorner3ReboundPct,BadPassOutOfBoundsTurnovers,PtsUnassisted3s,SelfOReb,SelfORebPct,SecondChanceArc3FGA,SecondChanceFG3A,ThreePtShootingFoulsDrawn,SecondChanceArc3Frequency,ThreePtShootingFoulsDrawnPct,BlockingFoulsDrawn,BlockedShortMidRange,NonShootingPenaltyNonTakeFouls,Offensive Fouls,Defensive 3 Seconds Violations,DefensiveGoaltends,SecondChanceFtPoints,OffCorner3ReboundPct,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Travels,SecondChanceCorner3FGA,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,SecondChanceCorner3Frequency,StepOutOfBoundsTurnovers,LongMidRangePctBlocked,Clear Path Fouls,Blocked3s,BlockedArc3,3SecondViolations,BlockedCorner3,BlockedLongMidRange,Arc3PctBlocked,3pt And 1 Free Throw Trips,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,team_id,year,season,team_vs
101111-101198-201155-201943-203083,1610612765,"Charlie Villanueva, Will Bynum, Rodney Stuckey, Brandon Jennings, Andre Drummond","Villanueva, Bynum, Stuckey, Jennings, Drummond",101111-101198-201155-201943-203083,DET,28.0,1,-4.0,1.0,2.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,154.28571428571428,12.0,8.0,12.0,8.0,1.0,0.4019,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2014,2013-14,False
101111-101198-201155-201973-202328,1610612765,"Charlie Villanueva, Will Bynum, Rodney Stuckey, Jonas Jerebko, Greg Monroe","Villanueva, Bynum, Stuckey, Jerebko, Monroe",101111-101198-201155-201973-202328,DET,260.0,1,,10.0,9.0,19.0,,7.0,7.0,1.0,,1.0,105.23076923076924,17.4,9.555555555555555,12.7,9.555555555555555,,0.52092,4.871428571428572,4.0,2.0,1.0,4.0,1.0,2.0,3.0,1.0,2.0,3.0,3.0,1.0,7.0,1.0,3.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,3.0,5.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,5.0,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.3333333333333333,0.3,0.3333333333333333,0.3181818181818182,0.3333333333333333,0.3,0.14285714285714285,0.25,0.5,1.0,1.0,0.5,1.0,0.2857142857142857,0.3333333333333333,1.0,1.0,1.0,0.4,0.25,0.3333333333333333,0.3,0.6666666666666666,0.6666666666666666,1.0,0.1,0.2,0.3333333333333333,0.7,0.44849999999999995,0.09090909090909091,0.125,0.2857142857142857,24.566666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2014,2013-14,False
101111-101198-201155-201973-202713,1610612765,"Charlie Villanueva, Will Bynum, Rodney Stuckey, Jonas Jerebko, Kyle Singler","Villanueva, Bynum, Stuckey, Jerebko, Singler",101111-101198-201155-201973-202713,DET,65.0,1,2.0,2.0,1.0,3.0,2.0,3.0,,,,,66.46153846153847,19.5,26.0,16.5,26.0,0.6666666666666666,0.37833333333333335,14.6,1.0,1.0,,,,,1.0,,,1.0,,,2.0,,1.0,,2.0,,,1.0,1.0,1.0,,2.0,1.0,,,1.0,1.0,2.0,,,,,,,,1.0,,,,2.0,1.0,1.0,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,,0.3333333333333333,,,,,0.5,0.5,0.5,,1.0,,,,,,0.3333333333333333,,,,,,,,0.3794,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2014,2013-14,False
101111-101198-201155-201973-203484,1610612765,"Charlie Villanueva, Will Bynum, Rodney Stuckey, Jonas Jerebko, Kentavious Caldwell-Pope","Villanueva, Bynum, Stuckey, Jerebko, Caldwell-Pope",101111-101198-201155-201973-203484,DET,556.0,2,-5.0,16.0,18.0,34.0,2.0,9.0,23.0,2.0,,5.0,88.05755395683452,17.375,15.444444444444445,16.9375,13.944444444444445,0.13333333333333333,0.5070714285714286,6.944444444444445,9.0,2.0,3.0,6.0,2.0,,1.0,1.0,5.0,3.0,6.0,3.0,18.0,1.0,2.0,2.0,,6.0,4.0,1.0,,3.0,,9.0,2.0,,6.0,6.0,2.0,8.0,1.0,1.0,,1.0,,1.0,2.0,4.0,6.0,3.0,,16.0,,,0.3333333333333333,0.5,0.5,0.5,0.5294117647058824,0.5,0.4,0.1111111111111111,0.16666666666666666,0.5,,0.8571428571428571,0.3333333333333333,0.75,0.25,0.6666666666666666,,1.0,1.0,0.4,0.5,0.6,0.06666666666666667,,,,0.06666666666666667,0.3333333333333333,1.0,0.8,0.49745,0.17647058823529413,0.2727272727272727,0.1111111111111111,27.78333333333333,,,,,,,,,,10.0,8.0,1.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,5.0,2.0,4.0,2.0,12.0,9.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,12.0,10.0,1.0,0.5,0.5,0.6,0.4,0.5555555555555556,0.5454545454545454,0.75,0.6,0.6,1.0,0.5,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.5,0.75,0.48760625,0.6666666666666666,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2014,2013-14,False
101111-101198-201155-202328-202713,1610612765,"Charlie Villanueva, Will Bynum, Rodney Stuckey, Greg Monroe, Kyle Singler","Villanueva, Bynum, Stuckey, Monroe, Singler",101111-101198-201155-202328-202713,DET,618.0,2,1.0,20.0,21.0,41.0,1.0,11.0,23.0,6.0,1.0,8.0,95.53398058252426,11.9,18.095238095238095,11.9,16.142857142857142,0.0625,0.497225,5.781818181818182,10.0,,4.0,6.0,,2.0,4.0,2.0,3.0,6.0,5.0,3.0,24.0,,,,8.0,4.0,3.0,,4.0,7.0,1.0,17.0,,,2.0,10.0,,10.0,1.0,1.0,,1.0,1.0,1.0,2.0,4.0,5.0,3.0,,24.0,0.6666666666666666,0.6666666666666666,0.5454545454545454,,0.65625,,0.6666666666666666,,0.3125,,,0.5,,0.5,,0.6923076923076923,,,,1.0,,0.375,0.6666666666666666,0.6666666666666666,0.25,0.5,0.5,0.5,0.125,0.1875,,0.6875,,0.16666666666666666,0.23076923076923078,,25.380000000000003,,,7.0,,0.7777777777777778,0.875,,,,10.0,7.0,,1.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,5.0,1.0,14.0,9.0,,,2.0,3.0,2.0,,1.0,,1.0,,14.0,10.0,1.0,0.6,0.6,0.6,0.5,0.7222222222222222,0.7777777777777778,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,,0.2222222222222222,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.4662222222222222,0.5833333333333334,0.5,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.5,0.5,1.0,0.2222222222222222,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2014,2013-14,False
101111-101198-201155-202328-203484,1610612765,"Charlie Villanueva, Will Bynum, Rodney Stuckey, Greg Monroe, Kentavious Caldwell-Pope","Villanueva, Bynum, Stuckey, Monroe, Caldwell-Pope",101111-101198-201155-202328-203484,DET,176.0,1,-3.0,5.0,4.0,9.0,2.0,5.0,7.0,1.0,,2.0,73.63636363636364,25.2,12.5,22.4,12.5,0.3333333333333333,0.44779166666666664,8.8,3.0,1.0,2.0,2.0,1.0,,1.0,1.0,,2.0,1.0,,4.0,1.0,1.0,2.0,2.0,2.0,,,1.0,1.0,,2.0,1.0,,,1.0,1.0,2.0,,,,,,,,1.0,,,,2.0,0.5,0.5,0.4,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.16666666666666666,,,,,,0.3333333333333333,,0.25,,,,,0.3333333333333333,1.0,1.0,0.16666666666666666,,,,0.16666666666666666,,1.0,0.5,0.5943,,,0.5,23.1,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,1.0,0.5,,,,,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2014,2013-14,False
101111-101198-201155-202713-203083,1610612765,"Charlie Villanueva, Will Bynum, Rodney Stuckey, Kyle Singler, Andre Drummond","Villanueva, Bynum, Stuckey, Singler, Drummond",101111-101198-201155-202713-203083,DET,783.0,3,-15.0,25.0,25.0,50.0,7.0,16.0,32.0,2.0,,6.0,91.95402298850574,16.24,15.08,14.96,14.0,0.3181818181818182,0.5261142857142858,8.7625,13.0,3.0,5.0,7.0,2.0,1.0,2.0,,6.0,6.0,6.0,5.0,17.0,1.0,3.0,2.0,6.0,6.0,5.0,,3.0,3.0,,6.0,3.0,1.0,4.0,8.0,5.0,13.0,1.0,1.0,,5.0,5.0,1.0,6.0,8.0,6.0,2.0,,15.0,0.5,0.6,0.375,0.3333333333333333,0.2727272727272727,0.3333333333333333,0.34,0.3333333333333333,0.2727272727272727,,,0.8333333333333334,1.0,0.5,0.3,0.6666666666666666,0.2857142857142857,,,0.5,,0.3181818181818182,0.7142857142857143,0.7142857142857143,0.09090909090909091,0.5,0.5,,,0.2727272727272727,0.6666666666666666,0.5909090909090909,0.5829,0.08333333333333333,0.1111111111111111,0.11764705882352941,31.150000000000002,,,4.0,,1.0,1.0,,,,5.0,4.0,1.0,,,,,2.0,,,2.0,,2.0,4.0,4.0,,2.0,1.0,,,,,1.0,,,,4.0,5.0,,,,,,,0.3333333333333333,0.75,,,,0.5,,,0.5,,,0.3631166666666667,0.23529411764705882,0.2,,,,,3.0,,,2.0,1.0,1.0,1.0,1.0,,0.6,,,,,,0.42857142857142855,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2014,2013-14,False
101111-101198-201155-202713-2746,1610612765,"Charlie Villanueva, Will Bynum, Rodney Stuckey, Kyle Singler, Josh Smith","Villanueva, Bynum, Stuckey, Singler, Smith",101111-101198-201155-202713-2746,DET,115.0,1,,4.0,4.0,8.0,1.0,3.0,2.0,,,,100.17391304347825,16.75,12.0,16.75,11.5,0.3333333333333333,0.4421333333333333,8.766666666666667,2.0,,,1.0,,,1.0,,,,,2.0,2.0,,,,,,,,,,,,,,2.0,3.0,,3.0,,,,,,,,4.0,2.0,1.0,,2.0,,,,,,,0.25,,,,,,,0.5,,0.6,,,,0.5,,0.3333333333333333,,,0.3333333333333333,,,,,,,0.3333333333333333,,0.25,0.25,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2014,2013-14,False
101111-101198-201155-202725-203083,1610612765,"Charlie Villanueva, Will Bynum, Rodney Stuckey, Josh Harrellson, Andre Drummond","Villanueva, Bynum, Stuckey, Harrellson, Drummond",101111-101198-201155-202725-203083,DET,184.0,1,-4.0,6.0,7.0,13.0,,2.0,10.0,,,1.0,101.7391304347826,14.5,13.857142857142858,14.5,13.0,,0.7226875,0.45,3.0,,1.0,2.0,,,,1.0,1.0,1.0,2.0,1.0,6.0,,,,2.0,,1.0,,1.0,2.0,,5.0,,,1.0,2.0,,2.0,,,,,,1.0,1.0,1.0,2.0,1.0,,6.0,1.0,1.0,0.5,,0.625,,0.6,,0.5,,,,,0.5,,0.6666666666666666,,,,,,0.5,0.5,0.5,,,,,0.25,0.25,,1.0,,0.2,0.3333333333333333,,24.65,,,1.0,,1.0,1.0,,,,,,,,,1.0,,,1.0,,,,,,,3.0,,,1.0,1.0,1.0,,,1.0,,,,,1.0,0.5,,0.5,,,,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2014,2013-14,False
101111-101198-201155-203083-203484,1610612765,"Charlie Villanueva, Will Bynum, Rodney Stuckey, Andre Drummond, Kentavious Caldwell-Pope","Villanueva, Bynum, Stuckey, Drummond, Caldwell-Pope",101111-101198-201155-203083-203484,DET,155.0,1,-8.0,6.0,6.0,12.0,1.0,5.0,11.0,,,1.0,111.48387096774194,12.833333333333334,13.0,12.833333333333334,10.5,0.2,0.39815999999999996,10.2,3.0,,,,,1.0,4.0,,,1.0,,1.0,3.0,,,,,2.0,,1.0,,,,,,,1.0,1.0,,1.0,1.0,,1.0,,,,,1.0,2.0,1.0,,3.0,,,0.2,,0.2,,0.25,,,0.2,,,,0.5,,0.5,,,,,,,,,0.8,0.25,0.3333333333333333,,,,,,,0.16666666666666666,0.16666666666666666,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2014,2013-14,False
