EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,FG3APct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,Corner3FGM,Corner3FGA,Corner3Assists,DefTwoPtRebounds,FTDefRebounds,ShootingFouls,DefFTReboundPct,DefTwoPtReboundPct,DefAtRimReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceOffPoss,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,SecondChanceArc3FGA,FG2M,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PtsUnassisted2s,PtsPutbacks,OffTwoPtRebounds,OffRebounds,Steals,BadPassSteals,Fg2Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,SecondChancePointsPct,PenaltyOffPoss,PenaltyDefPoss,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted3s,Fg2aBlocked,OffThreePtRebounds,DeadBallTurnovers,Turnovers,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,LongMidRangeFGM,PtsAssisted2s,TwoPtAssists,AtRimAssists,LiveBallTurnovers,BadPassTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Assisted2sPct,NonPutbacksAssisted2sPct,LiveBallTurnoverPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,ShortMidRangeAssists,2pt And 1 Free Throw Trips,ShortMidRangePctAssisted,PenaltyCorner3FGA,LostBallSteals,BadPassOutOfBoundsTurnovers,Loose Ball Fouls,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,PenaltyCorner3Frequency,OffensiveGoaltends,AtRimPctBlocked,LostBallOutOfBoundsTurnovers,Offensive Fouls Drawn,Technical Free Throw Trips,3SecondViolations,PenaltyCorner3FGM,LongMidRangeAssists,OffCorner3ReboundPct,LongMidRangePctAssisted,PenaltyCorner3Accuracy,Offensive Fouls,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,BlocksRecoveredPct,SelfOReb,LostBallTurnovers,BlockedAtRim,SelfORebPct,HeaveAttempts,StepOutOfBoundsTurnovers,BlockedLongMidRange,SecondChanceAtRimPctAssisted,Charge Fouls Drawn,ThreePtShootingFoulsDrawn,Defensive 3 Seconds Violations,ThreePtShootingFoulsDrawnPct,FTOffRebounds,Travels,OffFTReboundPct,NonShootingPenaltyNonTakeFouls,SecondChanceArc3FGM,SecondChanceFG3M,BlockingFoulsDrawn,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGA,BlockingFouls,Charge Fouls,DefensiveGoaltends,SecondChanceCorner3Frequency,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Blocked3s,BlockedArc3,LongMidRangePctBlocked,3pt And 1 Free Throw Trips,BlockedCorner3,Clear Path Fouls,HeaveMakes,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,team_id,year,season,team_vs
101131-101179-200780-201167-202734,1610612753,"Jason Maxiell, Ronnie Price, Solomon Jones, Arron Afflalo, E'Twaun Moore","Maxiell, Price, Jones, Afflalo, Moore",101131-101179-200780-201167-202734,ORL,109.0,1,2.0,1.0,3.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,0.75,0.8333333333333334,0.5,1.0,1.0,1.0,79.26605504587155,19.666666666666668,16.666666666666668,19.666666666666668,16.666666666666668,0.5,0.5,1.0,1.0,1.0,0.5,1.0,0.4191,0.3333333333333333,0.5,23.6,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2014,2013-14,True
101131-101179-200780-202734-203090,1610612753,"Jason Maxiell, Ronnie Price, Solomon Jones, E'Twaun Moore, Maurice Harkless","Maxiell, Price, Jones, Moore, Harkless",101131-101179-200780-202734-203090,ORL,202.0,1,3.0,8.0,5.0,5.0,10.0,,1.0,2.0,,4.0,5.0,,12.0,4.0,12.0,2.0,1.0,4.0,4.0,1.0,12.0,1.0,4.0,4.0,2.0,,,,12.0,1.0,0.8,0.8,1.2,1.2,1.0,1.0,0.75,1.0,71.2871287128713,14.0,26.4,14.0,24.6,,0.4,0.5,0.5,1.0,1.0,0.5,0.59373,,,,23.919999999999998,3.0,3.0,3.0,2.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.6,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2014,2013-14,True
101131-101179-201167-201175-203090,1610612753,"Jason Maxiell, Ronnie Price, Arron Afflalo, Glen Davis, Maurice Harkless","Maxiell, Price, Afflalo, Davis, Harkless",101131-101179-201167-201175-203090,ORL,135.0,1,2.0,-1.0,4.0,4.0,8.0,,,1.0,3.0,,1.0,3.0,5.0,6.0,,1.0,,,,,,,,2.0,,3.0,4.0,2.0,3.0,,,,0.25,0.4166666666666667,0.25,,,,85.33333333333333,18.25,15.5,15.75,15.5,,0.25,,,,0.75,,0.5527625,0.3333333333333333,0.4,3.1333333333333333,25.4,,,,,,,,,,,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.3333333333333333,1.0,0.5,0.5,1.0,0.6666666666666666,1.0,0.5,0.25,1.0,1.0,0.5,0.523575,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2014,2013-14,True
101131-101179-201167-201175-203506,1610612753,"Jason Maxiell, Ronnie Price, Arron Afflalo, Glen Davis, Victor Oladipo","Maxiell, Price, Afflalo, Davis, Oladipo",101131-101179-201167-201175-203506,ORL,35.0,1,1.0,-3.0,,1.0,1.0,,,,,,,,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,41.14285714285714,,35.0,,28.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2014,2013-14,True
101131-101179-201167-202734-203090,1610612753,"Jason Maxiell, Ronnie Price, Arron Afflalo, E'Twaun Moore, Maurice Harkless","Maxiell, Price, Afflalo, Moore, Harkless",101131-101179-201167-202734-203090,ORL,175.0,2,3.0,2.0,5.0,6.0,11.0,,1.0,2.0,3.0,1.0,2.0,1.0,6.0,4.0,,2.0,1.0,,,,,,1.0,3.0,2.0,3.0,2.0,,3.0,,0.5,0.5,0.5,0.5,0.4,,1.0,,90.51428571428572,21.0,11.666666666666666,16.2,11.666666666666666,,0.4,0.5,0.5,,0.8,0.5,0.52747,,,5.533333333333334,25.6,,,,1.0,,1.0,,1.0,1.0,,,,,2.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,,,0.3333333333333333,1.0,0.5,0.5,0.5,0.6666666666666666,1.0,0.4,0.2,,,0.5,0.623,0.5,3.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,1.0,1.0,0.5,0.8333333333333334,0.75,0.3333333333333333,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.6666666666666666,0.5,0.3333333333333333,1.0,0.5988,1.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2014,2013-14,True
101131-101179-201167-202734-203094,1610612753,"Jason Maxiell, Ronnie Price, Arron Afflalo, E'Twaun Moore, Andrew Nicholson","Maxiell, Price, Afflalo, Moore, Nicholson",101131-101179-201167-202734-203094,ORL,6.0,1,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,240.0,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2014,2013-14,True
101131-101179-201167-203090-203094,1610612753,"Jason Maxiell, Ronnie Price, Arron Afflalo, Maurice Harkless, Andrew Nicholson","Maxiell, Price, Afflalo, Harkless, Nicholson",101131-101179-201167-203090-203094,ORL,378.0,1,6.0,-8.0,12.0,12.0,24.0,3.0,,1.0,10.0,,1.0,,6.0,14.0,,1.0,,,2.0,,4.0,2.0,4.0,5.0,2.0,,,,6.0,,,,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.6666666666666666,0.6666666666666666,0.5,91.42857142857143,16.666666666666668,14.833333333333334,16.166666666666668,14.0,0.2727272727272727,0.09090909090909091,,,,0.2727272727272727,,0.4530863636363636,,,10.0,26.1,,,,2.0,,1.0,,0.6666666666666666,0.5,,,,,1.0,2.0,,5.0,,3.0,,1.0,,,2.0,,1.0,1.0,1.0,1.0,0.3,,,,0.16666666666666666,0.14285714285714285,,0.18181818181818182,0.45454545454545453,,,,0.3584,,4.0,5.0,2.0,,,,,,1.0,,,1.0,,1.0,,,,2.0,,1.0,3.0,,,,4.0,,,,,,0.2,0.4,,,1.0,1.0,,,,,0.5,,0.493475,,0.3333333333333333,1.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.25,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2014,2013-14,True
101131-101179-201167-203090-203506,1610612753,"Jason Maxiell, Ronnie Price, Arron Afflalo, Maurice Harkless, Victor Oladipo","Maxiell, Price, Afflalo, Harkless, Oladipo",101131-101179-201167-203090-203506,ORL,13.0,1,,2.0,,,,,,,1.0,,,,2.0,,,,,,1.0,,2.0,,,,,1.0,1.0,1.0,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,0.3922,1.0,1.0,6.6,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2014,2013-14,True
101131-101179-201167-203094-203506,1610612753,"Jason Maxiell, Ronnie Price, Arron Afflalo, Andrew Nicholson, Victor Oladipo","Maxiell, Price, Afflalo, Nicholson, Oladipo",101131-101179-201167-203094-203506,ORL,181.0,1,3.0,5.0,7.0,5.0,12.0,1.0,,2.0,3.0,,3.0,3.0,7.0,2.0,,2.0,,,1.0,,2.0,1.0,2.0,4.0,2.0,3.0,5.0,2.0,6.0,,,,0.3333333333333333,0.4375,0.5,1.0,0.6666666666666666,,95.4696132596685,13.285714285714286,17.6,10.714285714285714,16.4,0.16666666666666666,0.3333333333333333,,,,0.5,,0.48465,0.2857142857142857,0.5,10.4,24.833333333333332,,1.0,,1.0,,,,0.5,,0.16666666666666666,,,,1.0,,2.0,2.0,1.0,2.0,,,1.0,1.0,2.0,,1.0,2.0,2.0,,0.6666666666666666,,,0.25,1.0,0.5,,,0.3333333333333333,1.0,1.0,1.0,0.5553,0.14285714285714285,7.0,1.0,,,,,,,2.0,1.0,2.0,3.0,,3.0,3.0,7.0,,,1.0,1.0,1.0,,1.0,7.0,7.0,1.0,,0.6666666666666666,0.3333333333333333,0.4375,,,0.3333333333333333,0.5,,,,,,,0.3333333333333333,,0.48465,1.0,1.0,,2.0,1.0,,,,,1.0,0.5,0.5,,,,1.0,,,,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2014,2013-14,True
101131-101179-202734-203090-203506,1610612753,"Jason Maxiell, Ronnie Price, E'Twaun Moore, Maurice Harkless, Victor Oladipo","Maxiell, Price, Moore, Harkless, Oladipo",101131-101179-202734-203090-203506,ORL,51.0,1,1.0,2.0,2.0,2.0,4.0,,,,,,,2.0,2.0,,,,,,,,,,2.0,2.0,,1.0,2.0,1.0,2.0,,,,,1.0,,,1.0,,112.94117647058823,6.0,19.5,6.0,19.5,,,,,,,,,1.0,1.0,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2014,2013-14,True
