EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3A,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,DeadBallTurnovers,Turnovers,Fouls,Offensive Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,SecondChanceArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,FTDefRebounds,ShootingFouls,Offensive Fouls Drawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefFTReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,DefThreePtRebounds,BlockingFouls,Blocked2s,BlockedAtRim,Blocks,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefThreePtReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChancePointsPct,LiveBallTurnovers,LostBallTurnovers,SecondChanceTurnovers,PenaltyTurnovers,LiveBallTurnoverPct,Arc3FGM,FG3M,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,BadPassTurnovers,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,ShortMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,NonShootingPenaltyNonTakeFouls,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Accuracy,LongMidRangeFGM,Loose Ball Fouls Drawn,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceFtPoints,Corner3FGM,Corner3Assists,OffShortMidRangeReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,StepOutOfBoundsTurnovers,BadPassOutOfBoundsTurnovers,Travels,Charge Fouls,RecoveredBlocks,BlocksRecoveredPct,LongMidRangeAssists,LongMidRangePctAssisted,BlockedShortMidRange,LostBallOutOfBoundsTurnovers,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,PenaltyCorner3FGA,Loose Ball Fouls,PenaltyCorner3Frequency,Charge Fouls Drawn,PenaltyCorner3FGM,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffArc3ReboundPct,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,HeaveAttempts,Technical Free Throw Trips,Blocked3s,BlockedCorner3,SecondChanceAtRimPctAssisted,SecondChanceCorner3PctAssisted,3SecondViolations,BlockingFoulsDrawn,FTOffRebounds,OffFTReboundPct,OffensiveGoaltends,DefensiveGoaltends,Defensive 3 Seconds Violations,BlockedArc3,BlockedLongMidRange,Clear Path Fouls,3pt And 1 Free Throw Trips,Corner3PctBlocked,team_id,year,season,team_vs
1740-201141-201563-201596-202708,1610612748,"Rashard Lewis, Greg Oden, Michael Beasley, Mario Chalmers, Norris Cole","Lewis, Oden, Beasley, Chalmers, Cole",1740-201141-201563-201596-202708,MIA,300.0,1,5.0,-2.0,9.0,9.0,2.0,18.0,2.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,7.0,3.0,1.0,7.0,9.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,7.0,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.3,0.35,0.3,0.14285714285714285,0.3333333333333333,0.6666666666666666,0.25,0.3333333333333333,0.6666666666666666,0.2857142857142857,1.0,1.0,1.0,0.16666666666666666,86.4,17.77777777777778,15.555555555555555,16.0,15.333333333333334,0.3,0.6666666666666666,1.0,0.5,0.3,0.3333333333333333,0.3333333333333333,0.1,0.1,0.2,0.5,0.6,0.513085,0.4743,0.1,0.14285714285714285,7.1571428571428575,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2014,2013-14,True
1740-201141-201563-201962-202708,1610612748,"Rashard Lewis, Greg Oden, Michael Beasley, Toney Douglas, Norris Cole","Lewis, Oden, Beasley, Douglas, Cole",1740-201141-201563-201962-202708,MIA,287.0,1,5.0,-2.0,9.0,9.0,,18.0,2.0,2.0,,1.0,4.0,,1.0,,2.0,7.0,1.0,1.0,5.0,7.0,,,,4.0,1.0,,,,,,,,2.0,4.0,,4.0,,,,,,,2.0,,2.0,2.0,,,5.0,,,0.2857142857142857,0.25,0.2777777777777778,0.125,,,1.0,,,1.0,,,,,,90.31358885017421,15.88888888888889,16.0,15.88888888888889,16.0,0.25,1.0,1.0,,0.125,,,0.5,,0.125,,0.375,0.39614375,,,,12.771428571428572,25.1,9.0,2.0,2.0,2.0,1.0,2.0,7.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,5.0,9.0,1.0,0.2857142857142857,0.25,0.2777777777777778,1.0,1.0,1.0,0.25,1.0,0.125,0.39614375,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2014,2013-14,True
1740-201141-201563-202708-2427,1610612748,"Rashard Lewis, Greg Oden, Michael Beasley, Norris Cole, Roger Mason Jr.","Lewis, Oden, Beasley, Cole, Mason Jr.",1740-201141-201563-202708-2427,MIA,303.0,2,5.0,9.0,9.0,11.0,2.0,20.0,5.0,6.0,2.0,2.0,1.0,,1.0,,7.0,9.0,1.0,2.0,16.0,7.0,2.0,,4.0,10.0,1.0,,2.0,2.0,2.0,4.0,,2.0,2.0,6.0,2.0,8.0,,1.0,1.0,,,,2.0,,2.0,3.0,1.0,1.0,12.0,0.2857142857142857,0.3333333333333333,0.7777777777777778,0.7,0.7272727272727273,0.1,,,0.6666666666666666,1.0,,0.8333333333333334,0.6666666666666666,1.0,,,,95.04950495049505,12.444444444444445,17.363636363636363,11.777777777777779,15.818181818181818,0.6,0.8333333333333334,0.8333333333333334,0.4,0.2,1.0,1.0,0.1,,0.1,,0.7,0.5534950000000001,0.46475,0.1,0.1111111111111111,4.544444444444444,25.0,9.0,2.0,5.0,6.0,1.0,7.0,9.0,1.0,2.0,16.0,1.0,,,1.0,16.0,9.0,1.0,0.7777777777777778,0.7,0.7272727272727273,1.0,1.0,1.0,0.6,0.8333333333333334,0.1,0.5534950000000001,1.0,1.0,1.0,1.0,2.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2014,2013-14,True
1740-201141-201563-202708-951,1610612748,"Rashard Lewis, Greg Oden, Michael Beasley, Norris Cole, Ray Allen","Lewis, Oden, Beasley, Cole, Allen",1740-201141-201563-202708-951,MIA,71.0,1,1.0,2.0,2.0,2.0,1.0,4.0,1.0,2.0,,,,,,,1.0,2.0,,,2.0,,,,,2.0,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,,1.0,,1.0,,,1.0,,,,2.0,,,0.5,0.5,0.5,,,,,1.0,,,1.0,1.0,,,1.0,81.12676056338029,19.0,16.5,12.5,16.5,1.0,0.5,0.5,,,,,,,,,1.0,0.60945,,,,1.65,,2.0,,1.0,1.0,,1.0,1.0,,,2.0,,,,,2.0,2.0,,1.0,1.0,1.0,,,,1.0,1.0,,0.7742,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2014,2013-14,True
1740-201202-201563-201596-202708,1610612748,"Rashard Lewis, Joel Anthony, Michael Beasley, Mario Chalmers, Norris Cole","Lewis, Anthony, Beasley, Chalmers, Cole",1740-201202-201563-201596-202708,MIA,24.0,1,,,1.0,1.0,,2.0,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,1.0,2.0,,,,,1.0,,,,,,,,,,,,,120.0,11.0,13.0,11.0,13.0,,,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,2.0,2.0,,,,,2.0,1.0,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2014,2013-14,True
1740-201202-201563-202708-2427,1610612748,"Rashard Lewis, Joel Anthony, Michael Beasley, Norris Cole, Roger Mason Jr.","Lewis, Anthony, Beasley, Cole, Mason Jr.",1740-201202-201563-202708-2427,MIA,334.0,3,6.0,,11.0,10.0,,21.0,,,1.0,1.0,1.0,,4.0,,1.0,2.0,4.0,3.0,11.0,11.0,,,2.0,,4.0,,1.0,2.0,,5.0,,,3.0,3.0,,3.0,,1.0,,1.0,,2.0,,,3.0,4.0,,2.0,11.0,1.0,1.0,0.5,0.6666666666666666,0.6875,0.6666666666666666,,,0.42857142857142855,,,0.42857142857142855,,,,0.3333333333333333,,90.53892215568862,13.545454545454545,18.5,13.545454545454545,17.6,,,,,0.16666666666666666,1.0,1.0,0.16666666666666666,,0.6666666666666666,,0.6666666666666666,0.44168333333333337,,0.25,0.5,16.05,24.75,8.0,7.0,,,1.0,1.0,2.0,1.0,3.0,5.0,,,1.0,,5.0,8.0,,0.5,0.3333333333333333,0.5,,1.0,0.3333333333333333,,,0.3333333333333333,0.3305666666666667,0.45454545454545453,0.7272727272727273,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,2.0,,,2.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2014,2013-14,True
1740-201202-201563-202708-2544,1610612748,"Rashard Lewis, Joel Anthony, Michael Beasley, Norris Cole, LeBron James","Lewis, Anthony, Beasley, Cole, James",1740-201202-201563-202708-2544,MIA,102.0,1,2.0,,3.0,3.0,1.0,6.0,2.0,3.0,,,,1.0,,,2.0,3.0,1.0,,4.0,4.0,1.0,,,4.0,,1.0,,,,,,1.0,1.0,1.0,1.0,2.0,,,,,,,1.0,,,,,,2.0,,,0.6666666666666666,0.5,0.5,0.25,0.3333333333333333,0.3333333333333333,1.0,1.0,,1.0,0.5,1.0,,1.0,,84.70588235294117,23.666666666666668,10.333333333333334,23.666666666666668,10.333333333333334,0.75,0.6666666666666666,1.0,,,,,,0.25,,,1.0,0.645675,0.7102,,,1.2,24.2,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,2.0,,,,,,1.0,1.0,1.0,,,,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2014,2013-14,True
1740-201202-201563-202708-2548,1610612748,"Rashard Lewis, Joel Anthony, Michael Beasley, Norris Cole, Dwyane Wade","Lewis, Anthony, Beasley, Cole, Wade",1740-201202-201563-202708-2548,MIA,94.0,1,2.0,-1.0,2.0,2.0,,4.0,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,,5.0,6.0,,,2.0,,1.0,,1.0,2.0,,5.0,,,,,,,,,,,,,,,,,,,5.0,1.0,1.0,1.0,1.25,1.25,0.5,,,,,,,,,,,,61.276595744680854,27.5,19.5,27.5,19.5,,,,,0.5,1.0,1.0,,,0.5,,0.5,0.4866,,,,7.1,25.2,2.0,,,,1.0,1.0,1.0,1.0,,5.0,,,,,5.0,2.0,,1.0,1.25,1.25,,,,,,0.5,0.4866,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2014,2013-14,True
1740-201202-201563-2427-2548,1610612748,"Rashard Lewis, Joel Anthony, Michael Beasley, Roger Mason Jr., Dwyane Wade","Lewis, Anthony, Beasley, Mason Jr., Wade",1740-201202-201563-2427-2548,MIA,369.0,1,6.0,-7.0,12.0,11.0,,23.0,1.0,2.0,,2.0,4.0,,1.0,,2.0,8.0,1.0,,4.0,11.0,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,,,3.0,6.0,,6.0,,,,,1.0,2.0,2.0,,3.0,2.0,,1.0,4.0,0.5,0.5,0.25,0.2222222222222222,0.2,0.1111111111111111,0.125,0.5,0.75,,,0.7142857142857143,,,,0.6666666666666666,,89.7560975609756,16.333333333333332,15.727272727272727,16.333333333333332,14.636363636363637,0.2222222222222222,0.5,1.0,1.0,0.2222222222222222,,,0.4444444444444444,,0.1111111111111111,,0.3333333333333333,0.47153333333333336,,0.1,0.1111111111111111,11.55,24.6,,4.0,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,2.0,,,,,,,,0.6666666666666666,,,1.0,,,,1.0,,,,0.5,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2014,2013-14,True
1740-201202-202708-2548-951,1610612748,"Rashard Lewis, Joel Anthony, Norris Cole, Dwyane Wade, Ray Allen","Lewis, Anthony, Cole, Wade, Allen",1740-201202-202708-2548-951,MIA,83.0,1,1.0,2.0,3.0,3.0,1.0,6.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,2.0,1.0,3.0,1.0,1.0,,,2.0,1.0,,,,,,1.0,,2.0,2.0,1.0,3.0,,,,,,,1.0,,2.0,1.0,1.0,1.0,,,,0.5,0.25,0.375,0.5,,,1.0,,0.5,1.0,0.3333333333333333,,1.0,,,104.09638554216868,14.333333333333334,13.333333333333334,14.333333333333334,13.333333333333334,,,,,0.25,1.0,1.0,0.25,0.25,0.25,,0.5,0.505525,,0.25,0.5,11.4,23.75,1.0,,,,1.0,,,1.0,,,,1.0,,,,1.0,,,,,,1.0,1.0,,,1.0,0.60135,,0.3333333333333333,,,1.0,3.0,2.0,,,,,,1.0,1.0,1.5,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2014,2013-14,True
