EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,Blocked2s,BlockedLongMidRange,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,SecondChanceOffPoss,SecondChanceArc3FGA,FtPoints,SecondChanceFG2A,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PtsUnassisted2s,PtsUnassisted3s,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,LostBallSteals,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,BlockedAtRim,BlockedShortMidRange,RecoveredBlocks,PenaltyFg2Pct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,DefAtRimReboundPct,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyTurnovers,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,LongMidRangeFGM,LongMidRangeAssists,Technical Free Throw Trips,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,BadPassOutOfBoundsTurnovers,SecondChanceAtRimFGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFtPoints,SecondChancePoints,Loose Ball Fouls,Offensive Fouls,2pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Defensive 3 Seconds Violations,SecondChanceFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,OffCorner3ReboundPct,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,SecondChanceTurnovers,OffAtRimReboundPct,SecondChanceAtRimFGM,SecondChanceArc3FGM,SecondChanceFG2M,PtsPutbacks,Fg2aBlocked,Charge Fouls,SecondChanceFg2Pct,FG2APctBlocked,AtRimPctBlocked,SecondChanceAtRimAccuracy,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LostBallOutOfBoundsTurnovers,Travels,Offensive Fouls Drawn,BlockingFoulsDrawn,ShortMidRangePctBlocked,OffLongMidRangeReboundPct,SecondChanceAtRimPctAssisted,SelfOReb,NonShootingPenaltyNonTakeFouls,SelfORebPct,StepOutOfBoundsTurnovers,FTOffRebounds,OffFTReboundPct,HeaveAttempts,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Blocked3s,BlockedCorner3,LongMidRangePctBlocked,3SecondViolations,Charge Fouls Drawn,BlockingFouls,Clear Path Fouls,BlockedArc3,DefensiveGoaltends,OffensiveGoaltends,HeaveMakes,3pt And 1 Free Throw Trips,Corner3PctBlocked,team_id,year,season,team_vs
101128-200758-201166-201600-201956,1610612745,"Francisco Garcia, Ronnie Brewer, Aaron Brooks, Omer Asik, Omri Casspi","Garcia, Brewer, Brooks, Asik, Casspi",101128-200758-201166-201600-201956,HOU,456.0,2,8.0,-5.0,14.0,15.0,4.0,29.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,3.0,4.0,3.0,5.0,15.0,20.0,2.0,3.0,6.0,6.0,9.0,4.0,2.0,3.0,3.0,6.0,2.0,1.0,1.0,2.0,15.0,3.0,1.0,4.0,4.0,2.0,2.0,3.0,2.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,1.0,15.0,6.0,4.0,1.0,1.0,1.0,0.6,0.6666666666666666,0.6,0.75,0.8333333333333334,1.0,0.8333333333333334,1.0,0.5555555555555556,0.75,1.0,0.6,0.6,0.6666666666666666,1.0,91.57894736842105,15.714285714285714,15.733333333333333,15.714285714285714,15.533333333333333,0.1111111111111111,1.0,1.0,1.0,0.2222222222222222,1.0,1.0,1.0,0.1111111111111111,0.1111111111111111,1.0,1.0,1.0,0.4444444444444444,0.5,0.5,1.0,0.3333333333333333,1.0,0.6666666666666666,0.5,0.6666666666666666,0.5,0.5120166666666667,0.54615,0.4,8.35,25.080000000000002,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2014,2013-14,False
101128-200758-201166-201935-203093,1610612745,"Francisco Garcia, Ronnie Brewer, Aaron Brooks, James Harden, Terrence Jones","Garcia, Brewer, Brooks, Harden, Jones",101128-200758-201166-201935-203093,HOU,5.0,1,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.0,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2014,2013-14,False
101128-200758-201166-201956-202700,1610612745,"Francisco Garcia, Ronnie Brewer, Aaron Brooks, Omri Casspi, Donatas Motiejunas","Garcia, Brewer, Brooks, Casspi, Motiejunas",101128-200758-201166-201956-202700,HOU,890.0,3,15.0,-5.0,30.0,30.0,6.0,60.0,3.0,5.0,3.0,8.0,2.0,,2.0,,,5.0,11.0,1.0,3.0,6.0,15.0,5.0,13.0,28.0,33.0,1.0,3.0,6.0,6.0,12.0,11.0,5.0,3.0,4.0,7.0,4.0,,1.0,2.0,18.0,5.0,,10.0,12.0,1.0,,2.0,1.0,1.0,1.0,3.0,3.0,3.0,4.0,,4.0,28.0,6.0,6.0,0.5,0.5,0.8,0.38461538461538464,0.3333333333333333,0.38461538461538464,0.4,0.48214285714285715,0.5,0.4827586206896552,0.5,0.4642857142857143,0.6666666666666666,,0.7142857142857143,0.7692307692307693,0.75,1.0,97.07865168539325,15.1,14.566666666666666,14.466666666666667,13.8,0.17857142857142858,0.6,0.6,0.3333333333333333,0.2857142857142857,0.375,0.375,0.6666666666666666,0.07142857142857142,0.07142857142857142,,,,0.39285714285714285,0.45454545454545453,0.45454545454545453,0.8,,,0.6,0.3333333333333333,0.6428571428571429,0.45454545454545453,0.5197803571428572,0.52376,0.21428571428571427,7.819999999999999,24.892307692307693,0.2,5.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,6.0,3.0,1.0,1.0,5.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,3.0,2.0,0.5,0.1111111111111111,0.8333333333333334,0.125,0.11764705882352941,0.2,0.16666666666666666,0.75,1.0,0.5,0.5,0.4525,0.034482758620689655,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2014,2013-14,False
101128-200758-201166-201956-202962,1610612745,"Francisco Garcia, Ronnie Brewer, Aaron Brooks, Omri Casspi, Greg Smith","Garcia, Brewer, Brooks, Casspi, Smith",101128-200758-201166-201956-202962,HOU,179.0,2,3.0,1.0,5.0,5.0,,10.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,2.0,,1.0,2.0,3.0,1.0,2.0,7.0,6.0,,1.0,,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,,1.0,,5.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,2.0,2.0,,,,7.0,,,0.5,0.5,1.0,0.5,,0.5,0.6666666666666666,0.7,,0.7,,0.4,,0.5,1.0,1.0,,1.0,80.44692737430168,17.4,18.4,17.4,13.2,0.2,1.0,1.0,1.0,0.2,1.0,1.0,,0.2,,,,,0.4,0.5,0.5,1.0,,,1.0,,0.6,0.5,0.44884,0.231,,8.233333333333333,25.25,,4.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2014,2013-14,False
101128-200758-201166-201956-203093,1610612745,"Francisco Garcia, Ronnie Brewer, Aaron Brooks, Omri Casspi, Terrence Jones","Garcia, Brewer, Brooks, Casspi, Jones",101128-200758-201166-201956-203093,HOU,130.0,1,2.0,-1.0,5.0,5.0,,10.0,,,,,,1.0,2.0,,,,1.0,,,,,1.0,3.0,3.0,4.0,,,,,3.0,1.0,,,1.0,1.0,,1.0,,,3.0,1.0,1.0,2.0,2.0,,,1.0,1.0,1.0,,2.0,2.0,2.0,,,,3.0,,,,,1.0,0.3333333333333333,,0.3333333333333333,,0.5,,0.5,,1.0,0.5,1.0,0.5,0.5,,,110.76923076923077,18.0,8.0,18.0,7.8,,,,,,,,,,0.6666666666666666,0.5,0.5,1.0,0.3333333333333333,,,,,,,,1.0,,0.54195,,,,24.2,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2014,2013-14,False
101128-200758-201166-201956-203477,1610612745,"Francisco Garcia, Ronnie Brewer, Aaron Brooks, Omri Casspi, Isaiah Canaan","Garcia, Brewer, Brooks, Casspi, Canaan",101128-200758-201166-201956-203477,HOU,22.0,1,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.45454545454545,22.0,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2014,2013-14,False
101128-200758-201166-201956-2730,1610612745,"Francisco Garcia, Ronnie Brewer, Aaron Brooks, Omri Casspi, Dwight Howard","Garcia, Brewer, Brooks, Casspi, Howard",101128-200758-201166-201956-2730,HOU,47.0,1,1.0,-3.0,3.0,2.0,3.0,5.0,,,,,,,,,,,1.0,,1.0,,,,1.0,,3.0,,1.0,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,1.0,,,,1.0,,,153.19148936170214,9.333333333333334,9.5,9.333333333333334,9.5,,,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,,0.4116,0.4116,,,26.2,1.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2014,2013-14,False
101128-200758-201166-202700-202718,1610612745,"Francisco Garcia, Ronnie Brewer, Aaron Brooks, Donatas Motiejunas, Chandler Parsons","Garcia, Brewer, Brooks, Motiejunas, Parsons",101128-200758-201166-202700-202718,HOU,76.0,1,1.0,1.0,2.0,3.0,2.0,5.0,,,,,,1.0,1.0,1.0,1.0,,1.0,,1.0,,,1.0,2.0,3.0,2.0,1.0,2.0,3.0,,3.0,1.0,,,1.0,1.0,,1.0,,,3.0,1.0,,1.0,1.0,,,,,,,,,,,,,3.0,3.0,2.0,,,1.0,0.5,0.5,0.5,,0.75,0.75,0.75,0.75,1.0,,,1.0,1.0,,1.0,94.73684210526316,10.5,18.333333333333332,10.5,18.333333333333332,,,,,,,,,,0.5,1.0,1.0,1.0,0.5,,,,0.5,1.0,0.5,,1.0,,0.499125,0.499125,1.0,,24.1,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2014,2013-14,False
101128-200758-201935-201976-2730,1610612745,"Francisco Garcia, Ronnie Brewer, James Harden, Patrick Beverley, Dwight Howard","Garcia, Brewer, Harden, Beverley, Howard",101128-200758-201935-201976-2730,HOU,93.0,1,2.0,,4.0,3.0,,7.0,,,,,1.0,,,,,,1.0,,,,1.0,,1.0,2.0,2.0,,,,,,1.0,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,1.0,1.0,,,,,,2.0,,,,,,,,,,,,0.3333333333333333,,0.5,1.0,,0.5,0.5,,1.0,108.38709677419355,15.25,10.666666666666666,15.25,8.333333333333334,,,,,,,,,0.5,,,,,0.5,,,,,,,,0.5,,0.46935,,,14.9,26.2,,,,,2.0,,,,,,,,,,,,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2014,2013-14,False
101128-200758-201935-202391-203093,1610612745,"Francisco Garcia, Ronnie Brewer, James Harden, Jeremy Lin, Terrence Jones","Garcia, Brewer, Harden, Lin, Jones",101128-200758-201935-202391-203093,HOU,18.0,1,,1.0,1.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,2.0,1.0,,,2.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,,2.0,2.0,1.0,,,,,,,,,,1.0,1.0,,,,,0.5,,,240.0,3.0,7.5,3.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,2.0,,,2.0,,,,,2.0,,,,,1.0,,,1.0,,2.0,,,,,,,0.5,,,,,0.5,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2014,2013-14,False
