EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFtPoints,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGA,SecondChanceFG2M,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsPutbacks,OffThreePtRebounds,FTOffRebounds,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,PenaltyTsPct,AtRimPctBlocked,ShortMidRangePctBlocked,OffFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,PenaltyFtPoints,PenaltyAtRimFGA,PenaltyAtRimFrequency,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,PtsUnassisted3s,FTDefRebounds,PenaltyFg3Pct,DefFTReboundPct,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonShootingPenaltyNonTakeFouls,PenaltyAtRimFGM,ShortMidRangeAssists,ShortMidRangePctAssisted,PenaltyAtRimAccuracy,OffLongMidRangeReboundPct,Corner3FGM,HeaveAttempts,Corner3Assists,BadPassOutOfBoundsTurnovers,Loose Ball Fouls Drawn,Offensive Fouls Drawn,Technical Free Throw Trips,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,2pt And 1 Free Throw Trips,3SecondViolations,Charge Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,OffensiveGoaltends,SecondChanceArc3FGA,SecondChanceFG3A,Travels,BlockingFouls,Offensive Fouls,BlockedShortMidRange,RecoveredBlocks,BlocksRecoveredPct,SecondChanceArc3Frequency,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3FGA,PenaltyCorner3Frequency,OffCorner3ReboundPct,PenaltyCorner3FGM,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,Blocked3s,BlockedArc3,Fg3aBlocked,BlockedLongMidRange,FG3APctBlocked,Corner3PctBlocked,Charge Fouls,BlockingFoulsDrawn,Arc3PctBlocked,DefensiveGoaltends,3pt And 1 Free Throw Trips,Defensive 3 Seconds Violations,BlockedCorner3,HeaveMakes,Clear Path Fouls,team_id,year,season,team_vs
101128-200758-201166-201600-201956,1610612745,"Francisco Garcia, Ronnie Brewer, Aaron Brooks, Omer Asik, Omri Casspi","Garcia, Brewer, Brooks, Asik, Casspi",101128-200758-201166-201600-201956,HOU,456.0,2,8.0,5.0,15.0,14.0,4.0,1.0,29.0,4.0,5.0,1.0,4.0,1.0,3.0,1.0,1.0,6.0,12.0,1.0,1.0,5.0,20.0,15.0,1.0,1.0,10.0,2.0,3.0,1.0,1.0,1.0,5.0,1.0,6.0,1.0,4.0,1.0,13.0,2.0,2.0,1.0,3.0,2.0,5.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,3.0,7.0,2.0,1.0,19.0,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,0.5,0.5769230769230769,0.625,0.5,0.07692307692307693,0.08333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.4,1.0,1.0,0.4,1.0,0.3333333333333333,1.0,1.0,0.4,91.57894736842105,15.733333333333333,15.714285714285714,15.533333333333333,15.714285714285714,0.38461538461538464,0.8,0.8,1.0,0.3076923076923077,0.25,0.25,0.23076923076923078,0.3333333333333333,0.5,1.0,0.07692307692307693,1.0,1.0,1.0,0.46153846153846156,1.0,0.4948692307692308,0.1875,0.14285714285714285,0.5,0.05,8.283333333333333,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2014,2013-14,True
101128-200758-201166-201935-203093,1610612745,"Francisco Garcia, Ronnie Brewer, Aaron Brooks, James Harden, Terrence Jones","Garcia, Brewer, Brooks, Harden, Jones",101128-200758-201166-201935-203093,HOU,5.0,1,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.0,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2014,2013-14,True
101128-200758-201166-201956-202700,1610612745,"Francisco Garcia, Ronnie Brewer, Aaron Brooks, Omri Casspi, Donatas Motiejunas","Garcia, Brewer, Brooks, Casspi, Motiejunas",101128-200758-201166-201956-202700,HOU,890.0,3,15.0,5.0,30.0,30.0,6.0,2.0,60.0,9.0,10.0,1.0,5.0,,2.0,3.0,7.0,10.0,17.0,3.0,9.0,4.0,33.0,28.0,,4.0,12.0,8.0,9.0,7.0,3.0,4.0,6.0,3.0,9.0,3.0,6.0,,21.0,2.0,7.0,8.0,15.0,4.0,19.0,1.0,2.0,1.0,1.0,1.0,,3.0,4.0,,3.0,6.0,3.0,,29.0,0.6,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.5882352941176471,0.5576923076923077,0.5689655172413793,0.5,0.34615384615384615,0.23529411764705882,,0.25,0.8888888888888888,0.2857142857142857,0.875,0.8823529411764706,0.23076923076923078,1.0,0.25,1.0,0.8333333333333334,0.1111111111111111,97.07865168539325,14.566666666666666,15.1,13.8,14.466666666666667,0.38461538461538464,0.9,1.0,0.6666666666666666,0.19230769230769232,0.2,0.5,0.07692307692307693,,,,0.2692307692307692,0.42857142857142855,0.42857142857142855,1.0,0.7307692307692307,0.42857142857142855,0.5371480769230769,0.10344827586206896,0.15,,0.12121212121212122,4.947058823529411,25.155555555555555,5.0,2.0,3.0,2.0,2.0,4.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,5.0,0.5,0.25,0.5,0.25,0.25,0.1,0.6,1.0,0.16666666666666666,0.25,1.0,0.8,1.0,0.07692307692307693,0.75,0.6666666666666666,0.5,0.48123333333333335,0.38105,0.06060606060606061,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2014,2013-14,True
101128-200758-201166-201956-202962,1610612745,"Francisco Garcia, Ronnie Brewer, Aaron Brooks, Omri Casspi, Greg Smith","Garcia, Brewer, Brooks, Casspi, Smith",101128-200758-201166-201956-202962,HOU,179.0,2,3.0,-1.0,5.0,5.0,,2.0,10.0,,,,,2.0,3.0,,,2.0,3.0,,,2.0,6.0,7.0,,2.0,2.0,2.0,,,,,1.0,,1.0,,,1.0,2.0,,,1.0,1.0,1.0,2.0,,,,,1.0,1.0,,1.0,,2.0,4.0,2.0,,4.0,0.5,0.5,,,,0.6666666666666666,0.6666666666666666,0.6,0.5,,,,1.0,1.0,,,1.0,,,,1.0,,,80.44692737430168,18.4,17.4,13.2,17.4,,,,,,,,1.0,0.6666666666666666,0.6666666666666666,0.5,,,,,,,0.3768666666666667,0.4,0.4,,0.3333333333333333,18.233333333333334,,4.0,,,,1.0,2.0,2.0,2.0,6.0,,,1.0,,,,1.0,,,,6.0,4.0,0.5,1.0,0.5,1.0,0.75,,,0.5,,,,,,,,,,0.41995,0.3889,1.0,0.8,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2014,2013-14,True
101128-200758-201166-201956-203093,1610612745,"Francisco Garcia, Ronnie Brewer, Aaron Brooks, Omri Casspi, Terrence Jones","Garcia, Brewer, Brooks, Casspi, Jones",101128-200758-201166-201956-203093,HOU,130.0,1,2.0,1.0,5.0,5.0,,1.0,10.0,1.0,3.0,,,,,,,1.0,3.0,,,2.0,4.0,3.0,,2.0,,2.0,,,,,,,,,,,,1.0,2.0,,2.0,1.0,3.0,,1.0,1.0,,,,,,,2.0,4.0,2.0,,2.0,,,,,,0.3333333333333333,0.3333333333333333,0.4,1.0,,,,,,0.5,1.0,1.0,0.5,0.5,,,1.0,,110.76923076923077,8.0,18.0,7.8,18.0,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,1.0,,0.6148333333333333,0.4,0.4,,0.5,1.7333333333333334,,3.0,1.0,1.0,,1.0,1.0,,1.0,2.0,2.0,,,,,,,,,,2.0,3.0,1.0,,1.0,,0.5,,,,,,,,1.0,,1.0,1.0,,0.6406,0.8048,0.5,0.6,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2014,2013-14,True
101128-200758-201166-201956-203477,1610612745,"Francisco Garcia, Ronnie Brewer, Aaron Brooks, Omri Casspi, Isaiah Canaan","Garcia, Brewer, Brooks, Casspi, Canaan",101128-200758-201166-201956-203477,HOU,22.0,1,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.45454545454545,,22.0,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2014,2013-14,True
101128-200758-201166-201956-2730,1610612745,"Francisco Garcia, Ronnie Brewer, Aaron Brooks, Omri Casspi, Dwight Howard","Garcia, Brewer, Brooks, Casspi, Howard",101128-200758-201166-201956-2730,HOU,47.0,1,1.0,3.0,2.0,3.0,3.0,,5.0,,,,,,,1.0,2.0,,,1.0,2.0,,3.0,,,,,,,2.0,1.0,,,,,,,,,,1.0,,2.0,,2.0,,,,,,,,,,,,,,3.0,,,,0.5,0.5,,0.75,0.75,,1.0,,,,,,1.0,1.0,,,,,1.0,,153.19148936170214,9.5,9.333333333333334,9.5,9.333333333333334,,,,,,,,,,,,1.0,0.5,0.5,,1.0,0.5,0.4878,,,,,,24.9,2.0,,,,,,,,3.0,,,,,,,,,,,3.0,2.0,,,,0.75,0.75,,,,,,,,,,,,,,0.4878,1.0,1.0,,,,1.0,2.0,1.0,2.0,3.0,1.0,0.5,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2014,2013-14,True
101128-200758-201166-202700-202718,1610612745,"Francisco Garcia, Ronnie Brewer, Aaron Brooks, Donatas Motiejunas, Chandler Parsons","Garcia, Brewer, Brooks, Motiejunas, Parsons",101128-200758-201166-202700-202718,HOU,76.0,1,1.0,-1.0,3.0,2.0,2.0,,5.0,,,,,1.0,2.0,,,1.0,2.0,,,,2.0,3.0,,,,2.0,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,2.0,,,,,,0.5,0.5,0.5,,,,,,,,1.0,1.0,,,,,1.0,,94.73684210526316,18.333333333333332,10.5,18.333333333333332,10.5,,,,,,,,1.0,0.5,0.5,,,,,,,,0.3335,,,,,18.4,,3.0,,,,,,1.0,2.0,2.0,,,,,,,,,,,2.0,3.0,,0.5,,0.5,0.5,,,,,,,,,,,,,,0.3335,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2014,2013-14,True
101128-200758-201935-201976-2730,1610612745,"Francisco Garcia, Ronnie Brewer, James Harden, Patrick Beverley, Dwight Howard","Garcia, Brewer, Harden, Beverley, Howard",101128-200758-201935-201976-2730,HOU,93.0,1,2.0,,3.0,4.0,,1.0,7.0,1.0,1.0,,1.0,,1.0,,,1.0,3.0,,,,2.0,2.0,,,2.0,,,,,,1.0,,1.0,,1.0,,2.0,1.0,1.0,1.0,2.0,1.0,3.0,,1.0,,1.0,,,1.0,1.0,1.0,,,,,2.0,1.0,1.0,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,1.0,0.5,1.0,1.0,0.5,,1.0,1.0,1.0,,108.38709677419355,10.666666666666666,15.25,8.333333333333334,15.25,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,,,0.3333333333333333,,,,,,,,0.3333333333333333,,0.47890000000000005,,,,,8.533333333333333,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2014,2013-14,True
101128-200758-201935-202391-203093,1610612745,"Francisco Garcia, Ronnie Brewer, James Harden, Jeremy Lin, Terrence Jones","Garcia, Brewer, Harden, Lin, Jones",101128-200758-201935-202391-203093,HOU,18.0,1,,-1.0,2.0,1.0,1.0,1.0,3.0,,,,,,,,2.0,,,,2.0,1.0,1.0,2.0,1.0,1.0,,,,2.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,2.0,1.0,,,,,,,,,,0.16666666666666666,0.5,1.0,,,,,,,,0.5,,,,,,240.0,7.5,3.0,7.0,3.0,,,,,,,,,,,,1.0,,,,1.0,,0.33795,0.3333333333333333,1.0,,1.0,,26.6,2.0,,,,,,,,1.0,,1.0,,,,,,,1.0,,1.0,2.0,,,,,0.16666666666666666,,,,0.5,0.5,,,,,,,,,0.33795,1.0,1.0,1.0,,,,2.0,,2.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2014,2013-14,True
