EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,Corner3Frequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PlusMinus,PenaltyDefPoss,ShortMidRangeFGM,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,FG3M,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,SelfOReb,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Travels,ShootingFouls,BlockingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,OffLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimPctAssisted,NonHeaveArc3Accuracy,Corner3FGM,PenaltyCorner3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG3M,Corner3Assists,LongMidRangeAssists,OffThreePtRebounds,FTDefRebounds,Steals,BadPassSteals,LostBallSteals,BadPassTurnovers,SecondChanceTurnovers,Offensive Fouls,2pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedShortMidRange,RecoveredBlocks,PenaltyFg3Pct,DefFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,HeaveAttempts,ShortMidRangePctBlocked,BlockingFoulsDrawn,BlockedLongMidRange,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,BadPassOutOfBoundsTurnovers,Offensive Fouls Drawn,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,StepOutOfBoundsTurnovers,LongMidRangePctBlocked,SecondChanceCorner3FGM,Technical Free Throw Trips,DefensiveGoaltends,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,3SecondViolations,Clear Path Fouls,3pt And 1 Free Throw Trips,BlockedCorner3,OffensiveGoaltends,Defensive 3 Seconds Violations,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Corner3PctBlocked,team_id,year,season,team_vs
101161-101236-200768-201942-201986,1610612761,"Amir Johnson, Chuck Hayes, Kyle Lowry, DeMar DeRozan, Nando De Colo","Johnson, Hayes, Lowry, DeRozan, De Colo",101161-101236-200768-201942-201986,TOR,215.0,2,4.0,6.0,6.0,6.0,1.0,12.0,3.0,4.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,2.0,1.0,7.0,7.0,1.0,2.0,2.0,3.0,5.0,2.0,1.0,7.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,6.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,5.0,7.0,6.0,1.0,0.3333333333333333,0.5,0.6,0.5,0.6,0.42857142857142855,0.5,0.42857142857142855,0.3888888888888889,0.3333333333333333,0.3888888888888889,0.2857142857142857,0.2,0.25,1.0,1.0,0.6666666666666666,1.0,0.5,0.6,0.5,1.0,1.0,0.5,1.0,1.0,80.37209302325581,18.666666666666668,17.166666666666668,15.166666666666666,15.666666666666666,0.5714285714285714,0.75,1.0,0.3333333333333333,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.5,1.0,0.5714285714285714,0.75,0.14285714285714285,0.14285714285714285,0.8571428571428571,0.5544571428571429,0.4554,0.5544571428571429,0.125,0.16666666666666666,0.2857142857142857,1.0,2.54,23.95,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2014,2013-14,True
101161-101236-200768-201942-202349,1610612761,"Amir Johnson, Chuck Hayes, Kyle Lowry, DeMar DeRozan, Greivis Vasquez","Johnson, Hayes, Lowry, DeRozan, Vasquez",101161-101236-200768-201942-202349,TOR,853.0,7,14.0,24.0,24.0,4.0,3.0,48.0,4.0,7.0,2.0,4.0,,,5.0,,,5.0,,7.0,18.0,5.0,5.0,31.0,36.0,2.0,5.0,4.0,,3.0,,3.0,3.0,4.0,10.0,2.0,5.0,,2.0,5.0,1.0,13.0,5.0,,2.0,1.0,3.0,5.0,8.0,,,3.0,,6.0,6.0,3.0,,27.0,3.0,4.0,,0.2857142857142857,0.3333333333333333,0.3888888888888889,0.4,,0.5652173913043478,0.4,,0.5961538461538461,0.4,0.3,0.21739130434782608,,,,,0.25,0.45454545454545453,0.6666666666666666,0.42857142857142855,0.4166666666666667,1.0,0.3333333333333333,,1.0,0.5,81.031652989449,18.5,17.041666666666668,16.916666666666668,15.041666666666666,0.30434782608695654,0.5714285714285714,0.5714285714285714,0.25,0.21739130434782608,,0.21739130434782608,0.8,0.5,,,,,0.5217391304347826,0.4755543478260869,0.51888,0.3941666666666667,0.11538461538461539,0.14285714285714285,0.12903225806451613,0.0967741935483871,8.844444444444443,25.28,0.16666666666666666,-5.0,5.0,2.0,1.0,6.0,4.0,4.0,9.0,3.0,4.0,3.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.75,0.8,0.8,0.2,1.0,0.16666666666666666,0.4,0.4,0.5,0.2608695652173913,0.16666666666666666,0.16666666666666666,0.8,0.8,0.75,0.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2014,2013-14,True
101161-101236-200768-201942-203082,1610612761,"Amir Johnson, Chuck Hayes, Kyle Lowry, DeMar DeRozan, Terrence Ross","Johnson, Hayes, Lowry, DeRozan, Ross",101161-101236-200768-201942-203082,TOR,2292.0,12,38.0,72.0,74.0,40.0,7.0,146.0,12.0,14.0,2.0,2.0,4.0,5.0,15.0,4.0,3.0,12.0,8.0,22.0,36.0,16.0,32.0,85.0,82.0,2.0,2.0,6.0,7.0,12.0,11.0,25.0,45.0,22.0,22.0,2.0,12.0,,11.0,14.0,7.0,31.0,3.0,,10.0,13.0,24.0,6.0,30.0,2.0,,7.0,3.0,28.0,44.0,14.0,8.0,79.0,45.0,40.0,8.0,0.5,0.5238095238095238,0.6111111111111112,1.0,0.5833333333333334,0.5096153846153846,0.5,0.43478260869565216,0.5902777777777778,0.6,0.5921052631578947,0.3076923076923077,,,0.2857142857142857,,0.5909090909090909,0.23076923076923078,0.7142857142857143,0.6388888888888888,0.23076923076923078,0.5,0.2222222222222222,0.7142857142857143,0.4,0.7272727272727273,91.72774869109946,14.222222222222221,17.135135135135137,13.5,16.243243243243242,0.2692307692307692,0.8571428571428571,0.8571428571428571,0.5833333333333334,0.28846153846153844,0.07692307692307693,0.23076923076923078,0.5,1.0,0.21739130434782608,0.8,0.13043478260869565,0.34782608695652173,0.5769230769230769,0.48906249999999996,0.5187499999999999,0.5148108695652174,0.234375,0.2978723404255319,0.07058823529411765,0.5294117647058824,7.1194444444444445,25.03125,0.5555555555555556,3.0,33.0,6.0,4.0,7.0,2.0,3.0,9.0,,2.0,3.0,2.0,3.0,,5.0,,1.0,5.0,,17.0,2.0,1.0,1.0,,3.0,2.0,4.0,4.0,1.0,0.1875,0.1875,,0.6666666666666666,,0.4,0.4,0.5,0.1346153846153846,0.5714285714285714,0.5714285714285714,0.16666666666666666,0.16666666666666666,1.0,0.5,0.16666666666666666,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,7.0,2.0,5.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,0.18181818181818182,1.0,0.23076923076923078,0.2,0.3333333333333333,0.8,0.5,0.25,0.25,0.25,1.0,0.5,0.3333333333333333,0.125,0.058823529411764705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2014,2013-14,True
101161-101236-200768-201942-2422,1610612761,"Amir Johnson, Chuck Hayes, Kyle Lowry, DeMar DeRozan, John Salmons","Johnson, Hayes, Lowry, DeRozan, Salmons",101161-101236-200768-201942-2422,TOR,460.0,6,8.0,18.0,17.0,7.0,1.0,35.0,3.0,5.0,,,1.0,1.0,2.0,,,4.0,3.0,4.0,8.0,4.0,9.0,17.0,18.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,8.0,6.0,2.0,,3.0,1.0,3.0,3.0,3.0,6.0,,,,7.0,7.0,1.0,8.0,1.0,1.0,2.0,2.0,7.0,10.0,4.0,1.0,15.0,8.0,7.0,1.0,0.75,0.75,0.5,1.0,1.0,0.3333333333333333,1.0,0.4,0.5,1.0,0.5714285714285714,0.3333333333333333,0.125,,0.5,,0.875,,,0.875,0.16666666666666666,,,0.6666666666666666,1.0,,109.56521739130434,12.277777777777779,14.058823529411764,12.0,14.0,0.4166666666666667,0.6,0.6,1.0,0.16666666666666666,,0.3333333333333333,,,0.2,1.0,,0.6,0.75,0.5480227272727273,,0.4712625,0.25,0.3333333333333333,0.11764705882352941,0.47058823529411764,4.7125,28.8,0.3888888888888889,-1.0,4.0,1.0,,1.0,,,,,,,,,,1.0,,,2.0,,3.0,1.0,,,1.0,,,,,,,,,,,0.5,1.0,,0.08333333333333333,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,0.5,0.5,,1.0,,,,,,,,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2014,2013-14,True
101161-101236-200768-201986-2422,1610612761,"Amir Johnson, Chuck Hayes, Kyle Lowry, Nando De Colo, John Salmons","Johnson, Hayes, Lowry, De Colo, Salmons",101161-101236-200768-201986-2422,TOR,47.0,1,1.0,1.0,2.0,1.0,,3.0,,,,,,,,1.0,1.0,,,,,1.0,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,,,,,,91.91489361702128,22.0,12.5,22.0,12.5,,,,,,1.0,,,,,,1.0,,1.0,0.5886,,0.5886,,,,,,23.6,1.0,-2.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2014,2013-14,True
101161-101236-200768-202349-2422,1610612761,"Amir Johnson, Chuck Hayes, Kyle Lowry, Greivis Vasquez, John Salmons","Johnson, Hayes, Lowry, Vasquez, Salmons",101161-101236-200768-202349-2422,TOR,198.0,2,3.0,9.0,8.0,8.0,1.0,17.0,3.0,3.0,,,3.0,3.0,3.0,,,,,4.0,7.0,,2.0,10.0,4.0,,,,4.0,7.0,,2.0,10.0,4.0,4.0,,,1.0,2.0,2.0,1.0,4.0,,,,3.0,5.0,,5.0,,,,,1.0,2.0,1.0,,10.0,10.0,8.0,,0.5,0.5,0.5714285714285714,,0.5714285714285714,0.5714285714285714,,0.5714285714285714,0.625,,0.625,,0.14285714285714285,,,,0.75,,,0.75,,,,1.0,1.0,,123.63636363636364,12.333333333333334,10.875,12.222222222222221,10.5,0.42857142857142855,1.0,1.0,0.3333333333333333,0.42857142857142855,,,,,0.42857142857142855,1.0,,,0.42857142857142855,0.47394285714285717,,0.47394285714285717,0.125,0.125,,1.0,5.385714285714286,,0.8888888888888888,6.0,8.0,,1.0,1.0,,,,,,,,,,,,,1.0,,2.0,,1.0,,,,,,1.0,,,,,,,,,,0.14285714285714285,1.0,1.0,,,,,,,,,,,,,,1.0,,2.0,2.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2014,2013-14,True
101161-101236-200768-202361-203082,1610612761,"Amir Johnson, Chuck Hayes, Kyle Lowry, Landry Fields, Terrence Ross","Johnson, Hayes, Lowry, Fields, Ross",101161-101236-200768-202361-203082,TOR,43.0,1,1.0,2.0,1.0,2.0,,3.0,1.0,1.0,,,1.0,1.0,,,,,,1.0,1.0,,,2.0,,,,,1.0,1.0,,,2.0,2.0,,,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,2.0,2.0,2.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,100.46511627906976,11.0,21.0,11.0,21.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,,1.0,0.4782,,0.4782,,,,1.0,2.4,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2014,2013-14,True
101161-101236-200768-202933-2422,1610612761,"Amir Johnson, Chuck Hayes, Kyle Lowry, Julyan Stone, John Salmons","Johnson, Hayes, Lowry, Stone, Salmons",101161-101236-200768-202933-2422,TOR,7.0,1,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,1.0,2.0,2.0,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,205.71428571428572,7.0,,7.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2014,2013-14,True
101161-101236-200768-203082-2422,1610612761,"Amir Johnson, Chuck Hayes, Kyle Lowry, Terrence Ross, John Salmons","Johnson, Hayes, Lowry, Ross, Salmons",101161-101236-200768-203082-2422,TOR,529.0,3,9.0,20.0,19.0,14.0,3.0,39.0,1.0,5.0,,2.0,1.0,5.0,3.0,,,3.0,2.0,4.0,12.0,3.0,7.0,15.0,26.0,1.0,3.0,5.0,3.0,9.0,2.0,6.0,12.0,4.0,4.0,,3.0,1.0,2.0,2.0,,4.0,4.0,,1.0,5.0,6.0,4.0,10.0,3.0,2.0,5.0,4.0,5.0,9.0,2.0,3.0,10.0,12.0,14.0,3.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.2727272727272727,0.39473684210526316,0.5,0.42857142857142855,0.2,0.08333333333333333,0.2,0.6,,0.625,0.5,1.0,0.6666666666666666,0.36363636363636365,0.25,1.0,0.5,0.5,1.0,106.1625708884688,13.75,13.368421052631579,13.0,12.421052631578947,0.3333333333333333,0.2,0.25,,0.2,,0.2,0.6666666666666666,,0.45454545454545453,0.2,,0.18181818181818182,0.5333333333333333,0.46338333333333337,0.47223333333333334,0.4708318181818182,0.125,0.15384615384615385,0.3333333333333333,0.8,9.366666666666667,25.733333333333334,0.7,-11.0,15.0,2.0,1.0,4.0,,,,,,,,1.0,2.0,2.0,,1.0,,,2.0,1.0,,,1.0,2.0,1.0,2.0,1.0,,,,0.6666666666666666,,0.2,0.6666666666666666,0.6666666666666666,0.5,0.26666666666666666,0.25,0.25,,,,,,,,,,,3.0,,,1.0,,,1.0,1.0,,1.0,,,1.0,,,,,2.0,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2014,2013-14,True
101161-101236-201942-201986-202349,1610612761,"Amir Johnson, Chuck Hayes, DeMar DeRozan, Nando De Colo, Greivis Vasquez","Johnson, Hayes, DeRozan, De Colo, Vasquez",101161-101236-201942-201986-202349,TOR,98.0,1,2.0,3.0,3.0,1.0,,6.0,,,,,,,,,,,,1.0,1.0,,3.0,5.0,2.0,,,,1.0,1.0,,,2.0,2.0,,,,,1.0,1.0,,2.0,,,,2.0,2.0,,2.0,,,,,2.0,4.0,2.0,,5.0,2.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,0.8333333333333334,,1.0,,,,,,1.0,,,1.0,,,,,1.0,,88.16326530612245,14.0,18.666666666666668,14.0,18.666666666666668,,,,,,,,,,,,,,,0.4126,,0.4126,0.6666666666666666,0.6666666666666666,,0.4,16.9,,0.3333333333333333,3.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2014,2013-14,True
