EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,OffPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGA,FG2A,SecondChanceFG2A,PenaltyFG2A,PenaltyOffPossExcludingTakeFouls,Pace,SecondsPerPossOff,ShortMidRangeFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,PenaltyOffPossPct,Minutes,PlusMinus,DefPoss,PenaltyDefPoss,LongMidRangeFGA,FtPoints,Points,OpponentPoints,SecondChanceFtPoints,SecondChancePoints,PenaltyFtPoints,PenaltyPoints,OffTwoPtRebounds,FTOffRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,TsPct,SecondChanceTsPct,PenaltyTsPct,LiveBallTurnoverPct,OffFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,SecondChancePointsPct,PenaltyPointsPct,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGA,FG2M,FG3A,SecondChanceFG3A,PenaltyFG3A,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,OffThreePtRebounds,DeadBallTurnovers,ShootingFouls,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,Fg2Pct,EfgPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffThreePtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,AtRimFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,Arc3Frequency,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyCorner3Frequency,AtRimFG3AFrequency,Avg3ptShotDistance,AtRimFGM,Arc3FGM,SecondChanceArc3FGA,FG3M,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Offensive Fouls Drawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,NonHeaveArc3Accuracy,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,LongMidRangeFGM,Corner3FGM,PenaltyCorner3FGM,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG2M,PenaltyFG2M,PenaltyFG3M,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,LongMidRangeAssists,DefThreePtRebounds,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,BlockingFouls,Offensive Fouls,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,BlockedShortMidRange,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,LongMidRangePctBlocked,DefThreePtReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,FTDefRebounds,LostBallOutOfBoundsTurnovers,Charge Fouls,Loose Ball Fouls,BlockedLongMidRange,DefFTReboundPct,Defensive 3 Seconds Violations,SecondChanceAtRimPctAssisted,SecondChanceArc3FGM,SecondChanceFG3M,SelfOReb,SecondChanceFg3Pct,SelfORebPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Fg3aBlocked,Corner3Assists,Charge Fouls Drawn,Blocked3s,BlockedCorner3,FG3APctBlocked,Corner3PctBlocked,Corner3PctAssisted,BlockedArc3,StepOutOfBoundsTurnovers,3SecondViolations,OffensiveGoaltends,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,DefensiveGoaltends,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Arc3PctBlocked,HeaveMakes,3pt And 1 Free Throw Trips,Clear Path Fouls,team_id,year,season,team_vs
101115-101127-101139-201947-202087,1610612739,"Andrew Bynum, Jarrett Jack, CJ Miles, Earl Clark, Alonzo Gee","Bynum, Jack, Miles, Clark, Gee",101115-101127-101139-201947-202087,CLE,9.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,160.0,5.0,1.0,0.4057,0.4057,0.4057,12.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2014,2013-14,True
101115-101127-101139-201947-202681,1610612739,"Andrew Bynum, Jarrett Jack, CJ Miles, Earl Clark, Kyrie Irving","Bynum, Jack, Miles, Clark, Irving",101115-101127-101139-201947-202681,CLE,53.0,1,1.0,1.0,,3.0,,1.0,,1.0,1.0,81.50943396226415,27.0,,0.3402,,0.3402,19.5,1.0,1.0,-1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.25,0.5,0.25,1.0,1.0,1.0,1.0,1.0,13.0,26.0,13.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2014,2013-14,True
101115-101127-101139-202087-202684,1610612739,"Andrew Bynum, Jarrett Jack, CJ Miles, Alonzo Gee, Tristan Thompson","Bynum, Jack, Miles, Gee, Thompson",101115-101127-101139-202087-202684,CLE,308.0,2,9.0,5.0,2.0,19.0,5.0,9.0,3.0,7.0,5.0,88.83116883116882,15.222222222222221,0.45454545454545453,0.41258636363636364,0.367325,0.4101125,11.777777777777779,0.5555555555555556,5.0,-11.0,10.0,1.0,3.0,2.0,4.0,15.0,2.0,2.0,2.0,2.0,3.0,,4.0,4.0,,,,,1.0,1.0,5.0,1.0,1.0,2.0,1.0,2.0,1.0,0.16666666666666666,0.2,0.1111111111111111,,,0.5,0.5,0.3333333333333333,17.1,12.88888888888889,16.0,0.2727272727272727,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,0.1111111111111111,0.09090909090909091,0.18181818181818182,0.3333333333333333,1.0,0.4,0.5,1.0,0.5,1.0,0.09090909090909091,0.2,0.3333333333333333,0.09090909090909091,0.09090909090909091,0.25,0.125,0.125,0.2727272727272727,24.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2014,2013-14,True
101115-101127-101139-202087-203092,1610612739,"Andrew Bynum, Jarrett Jack, CJ Miles, Alonzo Gee, Tyler Zeller","Bynum, Jack, Miles, Gee, Zeller",101115-101127-101139-202087-203092,CLE,154.0,1,5.0,,1.0,11.0,2.0,4.0,,,,102.85714285714285,12.8,0.3333333333333333,0.4891833333333333,0.40725,,9.4,,3.0,3.0,6.0,2.0,1.0,,9.0,6.0,,,,,1.0,,1.0,3.0,,,,,,,1.0,1.0,,,,,,0.75,,,,,1.0,0.5,1.0,15.0,11.6,15.0,0.16666666666666666,,,1.0,,2.0,,,,2.0,3.0,2.0,1.0,,2.0,2.0,,,,1.0,,,,9.0,0.75,0.75,0.3333333333333333,,,,,,,,0.16666666666666666,1.0,1.0,,0.3333333333333333,,,,0.5,27.6,1.0,1.0,1.0,1.0,4.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,7.0,2.0,2.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2014,2013-14,True
101115-101127-101139-202087-203461,1610612739,"Andrew Bynum, Jarrett Jack, CJ Miles, Alonzo Gee, Anthony Bennett","Bynum, Jack, Miles, Gee, Bennett",101115-101127-101139-202087-203461,CLE,2348.0,5,74.0,20.0,7.0,151.0,13.0,45.0,7.0,9.0,20.0,92.60647359454855,15.013513513513514,0.19696969696969696,0.514484375,0.3891,0.50356,7.477777777777778,0.2702702702702703,39.0,,77.0,22.0,12.0,13.0,81.0,81.0,,6.0,3.0,19.0,6.0,,8.0,37.0,7.0,6.0,7.0,4.0,13.0,3.0,18.0,18.0,3.0,20.0,2.0,19.0,1.0,0.5405405405405406,0.42857142857142855,0.5,0.5384615384615384,,0.3,0.25,0.2857142857142857,16.064935064935064,14.594594594594595,14.987012987012987,0.18181818181818182,0.07407407407407407,0.2345679012345679,20.0,2.0,5.0,4.0,,1.0,17.0,25.0,21.0,,8.0,16.0,15.0,7.0,2.0,6.0,7.0,5.0,3.0,5.0,75.0,0.5555555555555556,0.5151515151515151,0.3181818181818182,0.15555555555555556,0.15,0.23076923076923078,0.16666666666666666,0.2,0.375,,0.30303030303030304,0.38461538461538464,0.5,0.06060606060606061,0.25757575757575757,,0.11764705882352941,0.058823529411764705,0.6212121212121212,27.76666666666667,15.0,5.0,,6.0,34.0,15.0,5.0,17.0,5.0,22.0,5.0,12.0,2.0,49.0,22.0,29.0,1.0,0.68,0.7083333333333334,0.8333333333333334,0.2857142857142857,0.3157894736842105,0.7096774193548387,0.6744186046511628,0.8888888888888888,0.75,0.8823529411764706,0.8,0.4,0.29411764705882354,0.29411764705882354,1.0,,0.3333333333333333,1.0,3.0,1.0,5.0,1.0,1.0,1.0,7.0,3.0,5.0,2.0,3.0,2.0,2.0,3.0,7.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,9.0,2.0,3.0,2.0,0.25,0.42857142857142855,0.5555555555555556,0.42857142857142855,0.47058823529411764,0.08333333333333333,0.5833333333333334,0.2222222222222222,0.625,0.6428571428571429,0.6,0.5,0.6,0.4166666666666667,0.45454545454545453,0.6,0.25,0.25,0.42857142857142855,0.3333333333333333,0.5,1.0,0.4117647058823529,0.14285714285714285,0.125,0.17647058823529413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2014,2013-14,True
101115-101127-101139-202087-2760,1610612739,"Andrew Bynum, Jarrett Jack, CJ Miles, Alonzo Gee, Anderson Varejao","Bynum, Jack, Miles, Gee, Varejao",101115-101127-101139-202087-2760,CLE,169.0,3,7.0,1.0,1.0,12.0,2.0,8.0,1.0,1.0,1.0,102.24852071005917,9.714285714285714,0.25,0.5609125,0.5436,0.4321,8.075,0.14285714285714285,3.0,10.0,5.0,1.0,2.0,,10.0,,,2.0,,2.0,1.0,,1.0,3.0,2.0,2.0,,,,,,1.0,,1.0,,2.0,,0.625,1.0,1.0,,,0.3333333333333333,0.3333333333333333,1.0,20.2,9.714285714285714,20.0,0.25,0.2,0.2,4.0,,1.0,,,,,5.0,,,,6.0,,,,,,1.0,1.0,1.0,8.0,0.625,0.625,,,,,,,,,0.5,0.5,0.5,,,,,,0.5,,3.0,,,,4.0,,,2.0,,2.0,,,1.0,4.0,1.0,2.0,,0.4,0.5,,,,0.5,0.5,,0.75,0.75,,1.0,,,,,,1.0,1.0,,1.0,,,,,1.0,1.0,,,2.0,,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,,0.5,,0.5,,0.5,,,0.5,0.5,1.0,,,1.0,1.0,,,,,0.125,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2014,2013-14,True
101115-101127-101139-202681-202684,1610612739,"Andrew Bynum, Jarrett Jack, CJ Miles, Kyrie Irving, Tristan Thompson","Bynum, Jack, Miles, Irving, Thompson",101115-101127-101139-202681-202684,CLE,901.0,7,29.0,11.0,3.0,58.0,4.0,16.0,2.0,7.0,11.0,92.69700332963373,15.89655172413793,0.18181818181818182,0.5344909090909091,0.5035,0.59655,8.88125,0.3793103448275862,15.0,-5.0,29.0,2.0,6.0,6.0,23.0,28.0,2.0,2.0,2.0,11.0,3.0,,4.0,14.0,2.0,1.0,2.0,2.0,7.0,2.0,6.0,7.0,2.0,6.0,1.0,11.0,1.0,0.46,0.3333333333333333,0.55,0.2857142857142857,,0.3333333333333333,0.2857142857142857,0.4,15.172413793103448,14.793103448275861,14.724137931034482,0.2727272727272727,0.08695652173913043,0.4782608695652174,6.0,4.0,2.0,2.0,,1.0,4.0,7.0,6.0,,2.0,4.0,4.0,,1.0,5.0,3.0,3.0,1.0,3.0,21.0,0.4375,0.38636363636363635,0.2727272727272727,,,,0.2,0.5,,,0.2727272727272727,0.5,0.5,0.09090909090909091,0.18181818181818182,,0.4444444444444444,0.1111111111111111,0.5454545454545454,24.400000000000002,4.0,1.0,,1.0,10.0,3.0,1.0,5.0,1.0,6.0,1.0,3.0,2.0,13.0,6.0,10.0,1.0,0.7142857142857143,0.7142857142857143,1.0,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.6923076923076923,0.75,0.6666666666666666,0.6666666666666666,0.75,1.0,0.25,0.25,1.0,,0.25,,1.0,2.0,1.0,,,1.0,1.0,,3.0,1.0,,,,,3.0,1.0,1.0,,1.0,,,1.0,,,,2.0,,2.0,,0.5,,0.42857142857142855,,0.5,,0.75,0.3333333333333333,1.0,0.3333333333333333,0.5,1.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,,,,0.5,,0.5,,0.1111111111111111,1.0,0.08333333333333333,0.1111111111111111,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2014,2013-14,True
101115-101127-101139-202681-203461,1610612739,"Andrew Bynum, Jarrett Jack, CJ Miles, Kyrie Irving, Anthony Bennett","Bynum, Jack, Miles, Irving, Bennett",101115-101127-101139-202681-203461,CLE,134.0,2,4.0,,,8.0,,1.0,,,,85.97014925373134,11.75,,0.490675,,,16.0,,2.0,-2.0,4.0,,1.0,,,2.0,,,,,,,,3.0,,,,,1.0,,,,,,,,,,,,,,,,,21.75,11.75,19.0,0.5,,,,,,,,,1.0,,1.0,,,,1.0,,,1.0,,1.0,1.0,1.0,,,,0.5,,,,,,,,,,,,0.5,,,,0.5,26.6,,,,,,,,,,,,,,,3.0,3.0,,,,,,,0.75,0.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2014,2013-14,True
101115-101127-101139-202681-2760,1610612739,"Andrew Bynum, Jarrett Jack, CJ Miles, Kyrie Irving, Anderson Varejao","Bynum, Jack, Miles, Irving, Varejao",101115-101127-101139-202681-2760,CLE,278.0,3,8.0,4.0,1.0,16.0,,6.0,1.0,3.0,4.0,82.87769784172662,17.875,,0.5102,0.611475,0.5180625,11.616666666666667,0.5,5.0,-1.0,8.0,1.0,4.0,,9.0,10.0,,2.0,,7.0,,,1.0,4.0,,,1.0,,1.0,,2.0,1.0,,,,7.0,,0.5625,0.5,0.875,1.0,,,0.25,,16.875,14.25,16.375,0.5,0.2222222222222222,0.7777777777777778,2.0,1.0,,,,,2.0,3.0,2.0,1.0,1.0,,2.0,,1.0,,2.0,,,,7.0,0.5,0.5625,0.25,,,,1.0,,,,0.25,,,,0.25,,0.25,,0.5,25.2,2.0,1.0,1.0,1.0,6.0,,1.0,3.0,,3.0,,2.0,,6.0,2.0,3.0,,1.0,1.0,,0.5,0.5,0.6666666666666666,0.75,0.5,1.0,1.0,1.0,,0.5,0.5,,0.5,0.5,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,2.0,1.0,3.0,,,1.0,1.0,,,1.0,,,1.0,,,,,,,,,1.0,1.0,0.6666666666666666,0.5,0.875,,1.0,1.0,1.0,,1.0,,,0.25,0.25,1.0,,,0.5,1.0,1.0,,0.25,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2014,2013-14,True
101115-101127-101139-202684-203508,1610612739,"Andrew Bynum, Jarrett Jack, CJ Miles, Tristan Thompson, Sergey Karasev","Bynum, Jack, Miles, Thompson, Karasev",101115-101127-101139-202684-203508,CLE,26.0,1,,,,,,1.0,,,,,,,0.5768,,,1.1,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2014,2013-14,True
