EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,PtsAssisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,SecondChanceAtRimFGA,PenaltyAtRimFGA,PenaltyCorner3FGA,PenaltyArc3FGA,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefCorner3ReboundPct,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,LostBallSteals,SecondChanceAtRimFGM,PenaltyAtRimFGM,ShortMidRangeFGM,Arc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG2M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3M,PenaltyFtPoints,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,OffThreePtRebounds,FTOffRebounds,SelfOReb,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,LongMidRangePctBlocked,OffFTReboundPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChancePointsPct,Corner3FGM,Corner3Assists,Travels,Charge Fouls,BlockedShortMidRange,RecoveredBlocks,BlocksRecoveredPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3FGM,PtsUnassisted3s,HeaveAttempts,BadPassOutOfBoundsTurnovers,BlockingFouls,Charge Fouls Drawn,Blocked3s,BlockedCorner3,DefensiveGoaltends,AtRimPctBlocked,OffCorner3ReboundPct,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,ThreePtShootingFoulsDrawnPct,Clear Path Fouls,BlockedLongMidRange,Defensive 3 Seconds Violations,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceAtRimPctAssisted,Fg3aBlocked,StepOutOfBoundsTurnovers,BlockedArc3,OffensiveGoaltends,3SecondViolations,FG3APctBlocked,Arc3PctBlocked,Corner3PctBlocked,SecondChanceCorner3PctAssisted,SecondChanceArc3PctAssisted,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
101155-200757-201142-201566-203500,1610612760,"Ryan Gomes, Thabo Sefolosha, Kevin Durant, Russell Westbrook, Steven Adams","Gomes, Sefolosha, Durant, Westbrook, Adams",101155-200757-201142-201566-203500,OKC,358.0,1,6.0,-5.0,14.0,13.0,27.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,7.0,2.0,1.0,7.0,12.0,6.0,1.0,1.0,3.0,3.0,2.0,1.0,6.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,2.0,5.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,0.42857142857142855,0.3333333333333333,0.35,0.2222222222222222,0.14285714285714285,0.5,0.5,1.0,0.6666666666666666,0.5,1.0,1.0,108.60335195530726,14.928571428571429,11.461538461538462,14.928571428571429,11.076923076923077,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.2222222222222222,0.2222222222222222,0.5,0.5,1.0,0.1111111111111111,0.1111111111111111,0.5555555555555556,0.4308722222222222,0.1,0.125,9.557142857142859,24.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2014,2013-14,False
101155-200757-202704-203087-203500,1610612760,"Ryan Gomes, Thabo Sefolosha, Reggie Jackson, Jeremy Lamb, Steven Adams","Gomes, Sefolosha, Jackson, Lamb, Adams",101155-200757-202704-203087-203500,OKC,148.0,1,2.0,-4.0,5.0,4.0,9.0,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,2.0,,2.0,6.0,2.0,1.0,,1.0,1.0,,1.0,2.0,,,1.0,3.0,,,,,,,,,1.0,,,,,,,,,2.0,1.0,1.0,0.25,0.16666666666666666,0.16666666666666666,0.3333333333333333,,,,,,0.5,,,87.56756756756756,20.6,11.25,18.0,11.25,0.16666666666666666,,,,0.16666666666666666,0.3333333333333333,0.5,0.5,1.0,0.16666666666666666,0.16666666666666666,0.5,0.49004166666666665,,,10.3,25.25,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,5.0,1.0,0.25,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.5,0.4,1.0,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6708,0.49004166666666665,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2014,2013-14,False
101155-201586-202704-2555-965,1610612760,"Ryan Gomes, Serge Ibaka, Reggie Jackson, Nick Collison, Derek Fisher","Gomes, Ibaka, Jackson, Collison, Fisher",101155-201586-202704-2555-965,OKC,176.0,1,3.0,5.0,5.0,6.0,11.0,1.0,1.0,,1.0,1.0,,,2.0,2.0,,4.0,8.0,3.0,4.0,,,2.0,2.0,1.0,1.0,4.0,3.0,,4.0,4.0,1.0,,,,1.0,,1.0,1.0,1.0,,2.0,,4.0,2.0,,,,8.0,1.0,1.0,1.0,1.0,1.0,,,,,,0.75,0.8,1.0,0.6666666666666666,90.0,10.0,21.0,10.0,18.5,0.5,1.0,1.0,1.0,,0.5,1.0,1.0,1.0,,,0.5,0.6925,0.5,0.5,10.0,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2014,2013-14,False
101155-203087-203103-203460-203500,1610612760,"Ryan Gomes, Jeremy Lamb, Perry Jones III, Andre Roberson, Steven Adams","Gomes, Lamb, Jones III, Roberson, Adams",101155-203087-203103-203460-203500,OKC,1373.0,3,23.0,11.0,49.0,47.0,96.0,6.0,10.0,12.0,4.0,8.0,3.0,6.0,16.0,30.0,9.0,6.0,44.0,33.0,20.0,6.0,2.0,10.0,12.0,2.0,4.0,26.0,5.0,8.0,21.0,28.0,5.0,2.0,7.0,3.0,4.0,4.0,11.0,8.0,15.0,1.0,10.0,1.0,9.0,2.0,1.0,1.0,1.0,39.0,0.625,0.6666666666666666,0.5333333333333333,0.48717948717948717,0.5116279069767442,0.23076923076923078,0.06666666666666667,0.08333333333333333,0.6363636363636364,1.0,0.7142857142857143,0.8666666666666667,1.0,0.5,100.68463219227968,15.020408163265307,13.553191489361701,14.510204081632653,13.382978723404255,0.2564102564102564,0.6,0.6,0.3333333333333333,0.3076923076923077,0.20512820512820512,0.5,0.5714285714285714,1.0,0.07692307692307693,0.15384615384615385,0.48717948717948717,0.4568205128205128,0.05,0.06451612903225806,8.346666666666668,24.22222222222222,25.0,39.0,5.0,4.0,3.0,1.0,3.0,4.0,6.0,12.0,4.0,20.0,4.0,8.0,7.0,20.0,25.0,5.0,0.5,0.46875,0.5,0.2857142857142857,1.0,0.2857142857142857,0.5,0.16666666666666666,1.0,0.8,0.1875,0.0625,0.1875,0.5587,0.441125,0.45454545454545453,0.5102040816326531,3.0,2.0,2.0,6.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,1.0,5.0,12.0,6.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,0.2222222222222222,0.25,0.2222222222222222,0.5,0.4,0.4166666666666667,0.125,0.5,0.2857142857142857,0.25,0.5,0.5,1.0,0.05263157894736842,0.5,0.5454545454545454,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.5,0.2,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.11363636363636363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2014,2013-14,False
200757-201142-201566-201586-201934,1610612760,"Thabo Sefolosha, Kevin Durant, Russell Westbrook, Serge Ibaka, Hasheem Thabeet","Sefolosha, Durant, Westbrook, Ibaka, Thabeet",200757-201142-201566-201586-201934,OKC,247.0,1,4.0,8.0,9.0,9.0,18.0,2.0,2.0,1.0,2.0,2.0,1.0,,5.0,5.0,1.0,1.0,14.0,6.0,6.0,,,3.0,4.0,2.0,,9.0,6.0,,6.0,6.0,,,,,2.0,,2.0,,2.0,,2.0,,2.0,1.0,1.0,,1.0,14.0,0.6,0.6,1.0,1.0833333333333333,1.0,0.16666666666666666,,,,,1.0,1.0,1.0,1.0,104.93927125506075,12.0,15.444444444444445,12.0,15.444444444444445,0.3333333333333333,1.0,1.0,1.0,0.16666666666666666,0.3333333333333333,1.0,1.0,,0.16666666666666666,,0.5,0.5406,0.14285714285714285,0.16666666666666666,11.059999999999999,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,4.0,3.0,,,1.0,,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2014,2013-14,False
200757-201142-201566-201586-202704,1610612760,"Thabo Sefolosha, Kevin Durant, Russell Westbrook, Serge Ibaka, Reggie Jackson","Sefolosha, Durant, Westbrook, Ibaka, Jackson",200757-201142-201566-201586-202704,OKC,3068.0,17,51.0,50.0,115.0,114.0,229.0,26.0,35.0,9.0,5.0,13.0,8.0,22.0,35.0,57.0,30.0,37.0,143.0,93.0,30.0,21.0,3.0,15.0,25.0,13.0,1.0,60.0,22.0,7.0,44.0,58.0,14.0,11.0,11.0,4.0,8.0,7.0,19.0,13.0,21.0,1.0,32.0,1.0,44.0,9.0,9.0,6.0,10.0,129.0,0.42857142857142855,0.4838709677419355,0.6140350877192983,0.6091954022988506,0.6620370370370371,0.3448275862068966,0.05263157894736842,0.1111111111111111,0.5789473684210527,0.875,0.6470588235294118,0.6981132075471698,1.0,0.6363636363636364,107.48370273794002,12.11304347826087,14.692982456140351,11.57391304347826,13.763157894736842,0.40229885057471265,0.7428571428571429,0.7878787878787878,0.5,0.10344827586206896,0.14942528735632185,0.38461538461538464,0.38461538461538464,0.2,0.09195402298850575,0.25287356321839083,0.7471264367816092,0.5418261627906977,0.09574468085106383,0.140625,6.466666666666667,25.703333333333333,65.0,65.0,14.0,5.0,15.0,3.0,13.0,6.0,14.0,25.0,16.0,85.0,8.0,15.0,14.0,83.0,63.0,,0.56,0.6707317073170732,0.7203389830508474,0.36363636363636365,0.7894736842105263,0.358974358974359,0.3333333333333333,0.8,1.0,0.7142857142857143,0.36585365853658536,0.07317073170731707,0.3170731707317073,0.52943,0.5366890243902439,0.5944055944055944,0.5652173913043478,3.0,4.0,11.0,4.0,9.0,1.0,7.0,12.0,4.0,1.0,6.0,14.0,9.0,30.0,40.0,30.0,8.0,9.0,10.0,7.0,1.0,6.0,,2.0,1.0,4.0,9.0,,1.0,2.0,2.0,14.0,12.0,0.8333333333333334,0.4,0.5625,0.41379310344827586,0.6666666666666666,0.5714285714285714,0.7,,,0.35294117647058826,0.125,0.3333333333333333,0.5,0.7142857142857143,0.05555555555555555,0.4444444444444444,0.5,0.25,0.4090909090909091,0.4090909090909091,0.7777777777777778,0.8,0.14285714285714285,0.7333333333333333,0.5384615384615384,0.42857142857142855,0.0979020979020979,3.0,3.0,2.0,,3.0,8.0,0.8,0.375,0.375,1.0,2.0,6.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,0.05714285714285714,0.4,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2014,2013-14,False
200757-201142-201566-201586-203087,1610612760,"Thabo Sefolosha, Kevin Durant, Russell Westbrook, Serge Ibaka, Jeremy Lamb","Sefolosha, Durant, Westbrook, Ibaka, Lamb",200757-201142-201566-201586-203087,OKC,990.0,5,16.0,4.0,34.0,36.0,70.0,1.0,5.0,6.0,3.0,8.0,2.0,6.0,4.0,19.0,8.0,20.0,34.0,30.0,4.0,6.0,,2.0,3.0,1.0,1.0,7.0,8.0,4.0,17.0,23.0,1.0,,2.0,,2.0,2.0,4.0,8.0,13.0,,10.0,,21.0,5.0,3.0,2.0,3.0,26.0,0.5,0.5,0.21052631578947367,0.25925925925925924,0.4444444444444444,0.2962962962962963,,,0.5,1.0,0.7272727272727273,0.8125,0.6,0.6666666666666666,101.81818181818181,15.147058823529411,13.194444444444445,14.676470588235293,12.944444444444445,0.18518518518518517,0.2,0.2,1.0,0.2222222222222222,0.2962962962962963,0.375,0.375,0.3333333333333333,0.07407407407407407,0.2222222222222222,0.48148148148148145,0.4634592592592593,0.18181818181818182,0.20833333333333334,10.321052631578947,24.15,14.0,19.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,9.0,3.0,18.0,4.0,5.0,6.0,18.0,14.0,1.0,0.2222222222222222,0.2916666666666667,0.5,0.26666666666666666,1.0,0.2857142857142857,,0.5,1.0,0.25,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.43346666666666667,0.4237041666666667,0.5294117647058824,0.4117647058823529,1.0,,1.0,,1.0,1.0,,2.0,,2.0,5.0,8.0,1.0,11.0,4.0,3.0,,1.0,1.0,1.0,,2.0,,,,,2.0,1.0,1.0,,,3.0,3.0,0.5,0.25,0.3333333333333333,0.25,,0.375,0.5833333333333334,,,0.3333333333333333,0.2,0.4,1.0,1.0,,,,,0.16666666666666666,0.16666666666666666,1.0,,0.25,0.5,,0.16666666666666666,0.23529411764705882,1.0,,,,1.0,2.0,0.6666666666666666,0.5,0.5,,1.0,3.0,,2.0,,,,,,,,0.5,1.0,1.0,1.0,2.0,1.0,0.5,0.25,1.0,0.1111111111111111,,,,,,,,,,,,,,,,,,1610612760,2014,2013-14,False
200757-201142-201566-201586-203103,1610612760,"Thabo Sefolosha, Kevin Durant, Russell Westbrook, Serge Ibaka, Perry Jones III","Sefolosha, Durant, Westbrook, Ibaka, Jones III",200757-201142-201566-201586-203103,OKC,480.0,4,8.0,-10.0,19.0,16.0,35.0,2.0,3.0,3.0,,1.0,1.0,2.0,2.0,7.0,3.0,6.0,10.0,20.0,4.0,2.0,,2.0,2.0,2.0,,4.0,4.0,,5.0,6.0,,,4.0,2.0,2.0,2.0,6.0,2.0,7.0,1.0,3.0,,6.0,3.0,1.0,1.0,1.0,10.0,1.0,1.0,0.2857142857142857,0.2,0.38461538461538464,0.3,,,0.6666666666666666,,0.6666666666666666,0.625,,0.6666666666666666,105.0,13.368421052631579,14.125,12.842105263157896,13.4375,0.3,0.6666666666666666,0.6666666666666666,1.0,0.3,0.1,,,,0.1,0.2,0.6,0.46092000000000005,0.23076923076923078,0.3,6.328571428571428,24.0,9.0,2.0,2.0,,2.0,1.0,,1.0,2.0,4.0,1.0,6.0,1.0,1.0,1.0,6.0,9.0,,0.5,0.4,0.5,0.25,0.5,0.14285714285714285,,0.3333333333333333,,,0.4,0.2,,0.3799,0.49408,0.6,0.47368421052631576,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,0.6666666666666666,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1610612760,2014,2013-14,False
200757-201142-201566-201586-203500,1610612760,"Thabo Sefolosha, Kevin Durant, Russell Westbrook, Serge Ibaka, Steven Adams","Sefolosha, Durant, Westbrook, Ibaka, Adams",200757-201142-201566-201586-203500,OKC,6323.0,18,105.0,-38.0,218.0,222.0,440.0,41.0,67.0,38.0,24.0,46.0,11.0,28.0,79.0,151.0,39.0,41.0,235.0,273.0,82.0,28.0,8.0,41.0,49.0,21.0,13.0,106.0,42.0,4.0,73.0,103.0,17.0,15.0,22.0,12.0,15.0,10.0,37.0,16.0,48.0,3.0,35.0,2.0,51.0,19.0,14.0,12.0,14.0,202.0,0.5189873417721519,0.5942028985507246,0.5231788079470199,0.5105263157894737,0.5450236966824644,0.20526315789473684,0.052980132450331126,0.05263157894736842,0.5945945945945946,1.0,0.6461538461538462,0.6764705882352942,0.6923076923076923,0.8095238095238095,100.20559860825557,14.142201834862385,14.594594594594595,13.738532110091743,13.477477477477477,0.3526315789473684,0.6119402985074627,0.6721311475409836,0.5121951219512195,0.2,0.24210526315789474,0.5217391304347826,0.5217391304347826,0.5416666666666666,0.05789473684210526,0.14736842105263157,0.5578947368421052,0.5148215789473685,0.09268292682926829,0.1144578313253012,8.705960264900662,24.484615384615385,38.0,34.0,24.0,17.0,10.0,3.0,7.0,23.0,14.0,21.0,10.0,47.0,24.0,27.0,30.0,47.0,38.0,5.0,0.6666666666666666,0.5483870967741935,0.5921052631578947,0.3333333333333333,0.7297297297297297,0.30303030303030304,0.46153846153846156,0.20833333333333334,0.8181818181818182,0.68,0.3225806451612903,0.0967741935483871,0.22580645161290322,0.5500795454545454,0.5224096774193548,0.2,0.1743119266055046,2.0,12.0,7.0,14.0,7.0,2.0,2.0,12.0,15.0,2.0,3.0,33.0,2.0,13.0,76.0,24.0,20.0,7.0,8.0,4.0,7.0,6.0,,2.0,2.0,2.0,7.0,4.0,2.0,1.0,4.0,6.0,6.0,0.6666666666666666,0.3076923076923077,0.2,0.3076923076923077,0.6521739130434783,0.6,0.6111111111111112,,,0.2222222222222222,0.3181818181818182,0.2857142857142857,0.5161290322580645,0.6923076923076923,0.02197802197802198,0.3684210526315789,0.3888888888888889,0.5,0.25,0.25,0.5714285714285714,0.7058823529411765,0.08,0.7,0.2857142857142857,0.25,0.14042553191489363,5.0,4.0,3.0,2.0,1.0,10.0,0.7142857142857143,0.45454545454545453,0.45454545454545453,0.8,,12.0,,4.0,3.0,,,,1.0,0.08955223880597014,,,,,,5.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1610612760,2014,2013-14,False
200757-201142-201566-201586-2406,1610612760,"Thabo Sefolosha, Kevin Durant, Russell Westbrook, Serge Ibaka, Caron Butler","Sefolosha, Durant, Westbrook, Ibaka, Butler",200757-201142-201566-201586-2406,OKC,173.0,1,3.0,11.0,10.0,7.0,17.0,1.0,1.0,2.0,1.0,1.0,1.0,6.0,3.0,4.0,7.0,1.0,16.0,5.0,2.0,6.0,,1.0,3.0,,1.0,8.0,1.0,2.0,3.0,4.0,1.0,,,,,,,,4.0,,3.0,,1.0,1.0,1.0,1.0,1.0,13.0,0.3333333333333333,0.3333333333333333,0.75,0.6818181818181818,0.7272727272727273,0.6363636363636364,,,,1.0,1.0,0.3333333333333333,,,141.5028901734104,8.5,12.571428571428571,7.7,12.142857142857142,0.09090909090909091,1.0,1.0,,0.18181818181818182,0.09090909090909091,1.0,1.0,1.0,0.09090909090909091,0.5454545454545454,0.7272727272727273,0.44213636363636366,0.09090909090909091,0.25,9.125,25.8,3.0,3.0,1.0,,,,3.0,,,,3.0,3.0,,,1.0,3.0,3.0,2.0,,0.5,0.5,,,0.25,,,,,,,1.0,,0.34780000000000005,0.1875,0.3,1.0,,,1.0,2.0,1.0,1.0,3.0,,1.0,,3.0,1.0,,4.0,6.0,,2.0,2.0,1.0,,1.0,,,,,,1.0,,,1.0,,,0.6666666666666666,0.42857142857142855,0.3333333333333333,0.42857142857142855,,1.5,1.5,,,0.3333333333333333,,0.3333333333333333,1.0,,,0.5,0.5,,0.3333333333333333,0.3333333333333333,0.5,,1.0,,0.3333333333333333,0.3333333333333333,0.1875,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,3.0,,,,1.0,,,1.0,,,,,,1.0,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,1610612760,2014,2013-14,False
