EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,GamesPlayed,OffPoss,PenaltyOffPoss,TotalPoss,PenaltyOffPossExcludingTakeFouls,PenaltyOffPossPct,SecondsPlayed,Minutes,PlusMinus,DefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2A,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,OffRebounds,Rebounds,FoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,SecondChanceAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,Avg2ptShotDistance,LongMidRangeFGM,Arc3FGA,FG3A,NonHeaveArc3FGA,LongMidRangeAssists,DefTwoPtRebounds,DefRebounds,ShootingFouls,Fouls,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Avg3ptShotDistance,FtPoints,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,DefShortMidRangeReboundPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyDefPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,SecondChanceArc3FGA,PenaltyArc3FGA,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,OffThreePtRebounds,Steals,LostBallSteals,DeadBallTurnovers,Turnovers,PenaltyTurnovers,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,OffThreePtReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,SelfOReb,Offensive Fouls Drawn,SelfORebPct,SecondChanceAtRimFGM,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,Arc3FGM,PenaltyArc3FGM,FG3M,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,FTOffRebounds,DefThreePtRebounds,FTDefRebounds,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,ThreePtShootingFoulsDrawn,BlockedShortMidRange,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefThreePtReboundPct,OffAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,StepOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,Charge Fouls,Technical Free Throw Trips,BlockedLongMidRange,DefensiveGoaltends,OffShortMidRangeReboundPct,SecondChanceAtRimPctAssisted,PenaltyCorner3FGM,PenaltyCorner3FGA,Charge Fouls Drawn,BlockingFoulsDrawn,3pt And 1 Free Throw Trips,OffCorner3ReboundPct,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,ShortMidRangePctBlocked,Defensive 3 Seconds Violations,HeaveAttempts,team_id,year,season,team_vs
201144-201188-201584-202334-2216,1610612763,"Mike Conley, Marc Gasol, Courtney Lee, Ed Davis, Zach Randolph","Conley, Gasol, Lee, Davis, Randolph",201144-201188-201584-202334-2216,MEM,1,1.0,1.0,1,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2014,2013-14,True
201144-201188-201584-202334-2754,1610612763,"Mike Conley, Marc Gasol, Courtney Lee, Ed Davis, Tony Allen","Conley, Gasol, Lee, Davis, Allen",201144-201188-201584-202334-2754,MEM,2,3.0,,5,,,113.0,2.0,-2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.25,0.25,0.25,0.25,0.5,0.3333333333333333,0.3333333333333333,0.5,63.716814159292035,28.666666666666668,13.5,23.333333333333332,13.5,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.439,0.3029,9.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2014,2013-14,True
201144-201188-201584-202720-2419,1610612763,"Mike Conley, Marc Gasol, Courtney Lee, Jon Leuer, Tayshaun Prince","Conley, Gasol, Lee, Leuer, Prince",201144-201188-201584-202720-2419,MEM,1,2.0,,4,,,85.0,1.0,,2.0,,,,,1.0,1.0,1.0,2.0,2.0,,2.0,,1.0,1.0,,2.0,,,1.0,,2.0,1.0,1.0,1.0,0.5,0.5,,,,,,67.76470588235294,18.0,24.5,18.0,24.5,,,,,0.5,,0.5,0.4753,,16.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2014,2013-14,True
201144-201188-201584-202720-2754,1610612763,"Mike Conley, Marc Gasol, Courtney Lee, Jon Leuer, Tony Allen","Conley, Gasol, Lee, Leuer, Allen",201144-201188-201584-202720-2754,MEM,1,2.0,,4,,,76.0,1.0,4.0,2.0,,,,,1.0,1.0,1.0,4.0,,,2.0,,1.0,1.0,,2.0,,,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,,,75.78947368421053,9.0,29.0,9.0,20.0,,,,,1.0,,,0.4492,,14.8,1.0,,,,1.0,2.0,2.0,,,,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2014,2013-14,True
201144-201188-201584-2034-2216,1610612763,"Mike Conley, Marc Gasol, Courtney Lee, Mike Miller, Zach Randolph","Conley, Gasol, Lee, Miller, Randolph",201144-201188-201584-2034-2216,MEM,5,8.0,8.0,22,6.0,1.0,293.0,5.0,-1.0,14.0,1.0,1.0,1.0,,1.0,3.0,4.0,11.0,12.0,,,,,,,,,1.0,6.0,3.0,11.0,,,0.75,0.5,0.6875,,,,0.3333333333333333,,108.12286689419794,13.375,13.285714285714286,12.875,12.928571428571429,0.16666666666666666,1.0,1.0,,0.16666666666666666,,0.5,0.42975,,10.45,,2.0,2.0,2.0,,5.0,5.0,,3.0,0.3333333333333333,0.8333333333333334,0.8333333333333334,1.0,,,,0.3333333333333333,27.7,5.0,5.0,1.0,1.0,1.0,1.0,,0.16666666666666666,0.25,9.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,4.0,2.0,5.0,11.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,7.0,2.0,0.75,0.5,0.6875,0.5,0.5,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.16666666666666666,1.0,0.3333333333333333,0.42975,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2014,2013-14,True
201144-201188-201584-2034-2419,1610612763,"Mike Conley, Marc Gasol, Courtney Lee, Mike Miller, Tayshaun Prince","Conley, Gasol, Lee, Miller, Prince",201144-201188-201584-2034-2419,MEM,1,1.0,1.0,2,1.0,1.0,28.0,,,1.0,1.0,,1.0,1.0,1.0,,2.0,,,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,0.5,0.5,1.0,102.85714285714286,10.0,18.0,8.0,18.0,0.5,,,,0.5,1.0,0.5,0.47785,0.5139,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.47785,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2014,2013-14,True
201144-201188-201584-2034-2754,1610612763,"Mike Conley, Marc Gasol, Courtney Lee, Mike Miller, Tony Allen","Conley, Gasol, Lee, Miller, Allen",201144-201188-201584-2034-2754,MEM,4,61.0,20.0,124,20.0,0.32786885245901637,1812.0,30.0,10.0,63.0,7.0,10.0,17.0,5.0,9.0,21.0,33.0,81.0,71.0,6.0,18.0,1.0,9.0,14.0,5.0,33.0,6.0,9.0,28.0,14.0,71.0,0.42857142857142855,0.5,0.6363636363636364,0.6847826086956522,0.7232142857142857,0.030303030303030304,0.058823529411764705,0.5,0.4444444444444444,0.5,98.54304635761589,13.163934426229508,16.015873015873016,12.754098360655737,15.365079365079366,0.3695652173913043,0.5882352941176471,0.625,0.5,0.1956521739130435,0.625,0.6521739130434783,0.5225391304347826,0.51985,6.8,5.0,8.0,13.0,8.0,1.0,16.0,19.0,11.0,18.0,0.2826086956521739,0.8,0.75,0.875,0.5555555555555556,0.5555555555555556,0.2,0.17391304347826086,24.200000000000003,18.0,22.0,7.0,2.0,1.0,2.0,0.875,0.1509433962264151,0.1794871794871795,25.0,4.0,7.0,6.0,7.0,1.0,3.0,2.0,6.0,11.0,3.0,8.0,23.0,24.0,2.0,8.0,2.0,4.0,14.0,3.0,1.0,3.0,1.0,23.0,2.0,0.5454545454545454,0.5357142857142857,0.6052631578947368,0.3333333333333333,0.4,0.5,0.5,0.15217391304347827,0.8571428571428571,0.8571428571428571,0.125,0.5,0.5714285714285714,0.21428571428571427,0.5396821428571429,0.2839506172839506,,,,3.0,4.0,5.0,1.0,3.0,1.0,7.0,4.0,2.0,10.0,1.0,15.0,6.0,6.0,3.0,5.0,2.0,3.0,3.0,1.0,2.0,1.0,6.0,10.0,1.0,9.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.7142857142857143,0.5384615384615384,0.3333333333333333,0.5384615384615384,0.6666666666666666,0.5,0.5555555555555556,0.7142857142857143,1.0,0.5,0.5,0.5714285714285714,0.5,0.5,0.5,0.10869565217391304,0.8,0.8,0.75,0.375,0.375,0.6666666666666666,0.6,0.125,0.3333333333333333,0.375,0.07142857142857142,0.12345679012345678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2014,2013-14,True
201144-201188-201584-2216-2419,1610612763,"Mike Conley, Marc Gasol, Courtney Lee, Zach Randolph, Tayshaun Prince","Conley, Gasol, Lee, Randolph, Prince",201144-201188-201584-2216-2419,MEM,6,144.0,10.0,283,10.0,0.06944444444444445,4697.0,78.0,15.0,139.0,16.0,20.0,30.0,7.0,41.0,56.0,103.0,154.0,139.0,8.0,44.0,1.0,22.0,28.0,6.0,62.0,14.0,17.0,79.0,27.0,140.0,0.39285714285714285,0.4074074074074074,0.5436893203883495,0.5118110236220472,0.5425531914893617,0.009708737864077669,0.03333333333333333,0.2978723404255319,0.26153846153846155,0.2222222222222222,86.7617628273366,14.17361111111111,19.107913669064747,13.604166666666666,18.784172661870503,0.23622047244094488,0.6666666666666666,0.6896551724137931,0.3,0.3228346456692913,0.5833333333333334,0.4251968503937008,0.4912244094488189,0.5492549999999999,10.079611650485438,23.0,19.0,24.0,19.0,10.0,49.0,62.0,9.0,18.0,0.1889763779527559,0.8596491228070176,0.8356164383561644,0.9444444444444444,0.5609756097560976,0.5609756097560976,0.43478260869565216,0.14960629921259844,24.9875,24.0,29.0,12.0,11.0,5.0,11.0,0.8260869565217391,0.08633093525179857,0.10434782608695652,2.0,2.0,3.0,13.0,32.0,3.0,1.0,4.0,6.0,8.0,1.0,4.0,16.0,68.0,3.0,5.0,2.0,12.0,19.0,,,2.0,7.0,16.0,,0.75,0.6666666666666666,0.7272727272727273,0.16666666666666666,0.21428571428571427,0.8125,0.6363636363636364,0.25196850393700787,0.40625,0.40625,0.25,0.3333333333333333,0.6666666666666666,0.1111111111111111,0.5155277777777778,0.1038961038961039,2.0,1.0,0.03125,5.0,1.0,5.0,1.0,5.0,,6.0,5.0,4.0,14.0,,18.0,,4.0,5.0,6.0,5.0,1.0,6.0,,12.0,1.0,3.0,7.0,4.0,5.0,3.0,2.0,1.0,1.0,4.0,,5.0,2.0,1.0,0.25,,0.25,0.625,0.4166666666666667,0.4666666666666667,0.3684210526315789,1.0,,0.75,0.4,0.8181818181818182,0.6,0.46153846153846156,0.03937007874015748,0.2,0.2,1.0,0.2631578947368421,0.2631578947368421,1.0,0.7142857142857143,0.08333333333333333,,0.2631578947368421,,0.09090909090909091,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3157894736842105,0.2,,,,,,,,,,,,,,,,,,,,1610612763,2014,2013-14,True
201144-201188-201584-2216-2754,1610612763,"Mike Conley, Marc Gasol, Courtney Lee, Zach Randolph, Tony Allen","Conley, Gasol, Lee, Randolph, Allen",201144-201188-201584-2216-2754,MEM,6,100.0,23.0,197,23.0,0.23,3069.0,51.0,6.0,97.0,16.0,12.0,25.0,9.0,19.0,24.0,56.0,106.0,100.0,12.0,18.0,3.0,9.0,15.0,4.0,36.0,12.0,18.0,56.0,25.0,90.0,0.375,0.47368421052631576,0.42857142857142855,0.46551724137931033,0.53,0.05357142857142857,0.12,0.3870967741935484,0.34,0.4166666666666667,92.43401759530792,14.36,16.835051546391753,13.47,15.958762886597938,0.28735632183908044,0.48,0.5454545454545454,0.3333333333333333,0.21839080459770116,0.6923076923076923,0.6436781609195402,0.49068850574712647,0.55636875,8.405357142857143,6.0,25.0,31.0,25.0,3.0,31.0,38.0,10.0,24.0,0.3563218390804598,0.7209302325581395,0.723404255319149,0.7692307692307693,0.3157894736842105,0.3157894736842105,0.5,0.28735632183908044,24.822580645161292,25.0,31.0,10.0,12.0,6.0,12.0,0.6875,0.14285714285714285,0.15384615384615385,28.0,3.0,5.0,6.0,12.0,1.0,7.0,1.0,5.0,13.0,8.0,7.0,26.0,30.0,5.0,3.0,2.0,7.0,19.0,4.0,1.0,2.0,8.0,26.0,1.0,0.38461538461538464,0.4523809523809524,0.52,0.2631578947368421,0.25,0.7142857142857143,0.6666666666666666,0.13793103448275862,0.5,0.5,0.07692307692307693,0.23809523809523808,0.6,0.3333333333333333,0.42843571428571425,0.24528301886792453,3.0,,0.06382978723404255,4.0,3.0,6.0,,8.0,2.0,11.0,7.0,2.0,16.0,3.0,18.0,15.0,10.0,8.0,6.0,3.0,3.0,2.0,1.0,3.0,4.0,1.0,12.0,3.0,9.0,1.0,3.0,2.0,2.0,1.0,4.0,6.0,2.0,0.5454545454545454,0.3548387096774194,0.375,0.3548387096774194,0.5833333333333334,0.5384615384615384,0.5714285714285714,0.631578947368421,1.0,0.5,0.75,0.46153846153846156,1.0,0.5,0.3333333333333333,0.06896551724137931,0.5,0.5,1.0,0.32,0.32,0.375,0.4444444444444444,,0.2857142857142857,0.32,0.12121212121212122,0.1509433962264151,,,4.0,,,,,0.16666666666666666,,1.0,1.0,1.0,1.0,2.0,0.3333333333333333,0.047619047619047616,1.0,,,,,,,,,,,,1610612763,2014,2013-14,True
201144-201188-201585-201949-2034,1610612763,"Mike Conley, Marc Gasol, Kosta Koufos, James Johnson, Mike Miller","Conley, Gasol, Koufos, Johnson, Miller",201144-201188-201585-201949-2034,MEM,1,4.0,,8,,,99.0,2.0,5.0,4.0,,1.0,1.0,,1.0,1.0,2.0,7.0,2.0,,2.0,,1.0,2.0,1.0,5.0,,,3.0,1.0,7.0,1.0,1.0,0.5,0.8333333333333334,0.875,,,,,,116.36363636363637,10.75,14.0,10.75,14.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,,0.6666666666666666,0.5478666666666666,,11.9,,1.0,1.0,1.0,,2.0,3.0,,,0.3333333333333333,1.0,1.0,,,,,0.3333333333333333,24.7,2.0,2.0,1.0,1.0,,1.0,1.0,0.25,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,3.0,,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2014,2013-14,True
