EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,FtPoints,Points,OpponentPoints,PenaltyFtPoints,PenaltyPoints,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,TsPct,PenaltyTsPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,PenaltyPointsPct,PenaltyOffPossPct,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,PtsUnassisted2s,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,Fouls,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,Fg2Pct,EfgPct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,NonHeaveArc3FGA,FG3APct,Arc3Frequency,PenaltyArc3Frequency,PenaltyShotQualityAvg,Avg3ptShotDistance,PenaltyDefPoss,SecondChanceOffPoss,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PtsAssisted2s,TwoPtAssists,Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffRebounds,Steals,BadPassSteals,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,ShortMidRangePctAssisted,LongMidRangePctAssisted,SecondChancePointsPct,PenaltyAtRimFGA,Fg2aBlocked,OffTwoPtRebounds,ShootingFouls,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffAtRimReboundPct,PenaltyAtRimFrequency,SecondChanceShotQualityAvg,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,PenaltyTurnovers,BlockedAtRim,DefCorner3ReboundPct,Travels,Loose Ball Fouls,SecondChanceAtRimFGA,FTDefRebounds,LostBallSteals,NonShootingPenaltyNonTakeFouls,DefFTReboundPct,SecondChanceAtRimFrequency,AtRimAssists,LostBallOutOfBoundsTurnovers,LostBallTurnovers,SecondChanceTurnovers,TwoPtShootingFoulsDrawn,DefAtRimReboundPct,AtRimPctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Corner3FGA,Corner3Frequency,SelfOReb,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,SelfORebPct,SecondChanceAtRimFGM,PenaltyAtRimFGM,PtsPutbacks,FTOffRebounds,Blocked3s,BlockedCorner3,OffFTReboundPct,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,Arc3FGM,PenaltyArc3FGM,FG3M,SecondChanceFtPoints,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Offensive Fouls,2pt And 1 Free Throw Trips,BlockedLongMidRange,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Corner3FGM,PtsUnassisted3s,Corner3Assists,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,OffensiveGoaltends,ShortMidRangePctBlocked,OffCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,ThreePtShootingFoulsDrawnPct,Defensive 3 Seconds Violations,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,LongMidRangePctBlocked,SecondChanceArc3FGA,SecondChanceFG3A,DefensiveGoaltends,SecondChanceArc3Frequency,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3FGM,HeaveAttempts,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,StepOutOfBoundsTurnovers,3SecondViolations,SecondChanceAtRimPctAssisted,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Clear Path Fouls,Corner3PctBlocked,BlockedArc3,team_id,year,season,team_vs
1499-1509-1727-1883-2045,1610612753,"Tony Battie, Kelvin Cato, Pat Garrity, Steve Francis, Hedo Turkoglu","Battie, Cato, Garrity, Francis, Turkoglu",1499-1509-1727-1883-2045,ORL,35.0,1,1.0,-1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,82.28571428571428,14.0,21.0,14.0,21.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2005,2004-05,False
1499-1509-1727-1883-2052,1610612753,"Tony Battie, Kelvin Cato, Pat Garrity, Steve Francis, DeShawn Stevenson","Battie, Cato, Garrity, Francis, Stevenson",1499-1509-1727-1883-2052,ORL,189.0,1,3.0,-2.0,5.0,6.0,,11.0,,6.0,8.0,,,,,6.0,,,0.75,,83.80952380952381,20.2,14.666666666666666,20.2,13.833333333333334,,,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,6.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,1.0,0.6666666666666666,1.0,0.75,1.0,0.5,1.0,1.0,0.25,1.0,1.0,0.25,1.0,1.0,0.5,0.5,0.5,0.25,0.435475,10.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2005,2004-05,False
1499-1509-1727-1883-2749,1610612753,"Tony Battie, Kelvin Cato, Pat Garrity, Steve Francis, Jameer Nelson","Battie, Cato, Garrity, Francis, Nelson",1499-1509-1727-1883-2749,ORL,20.0,1,,,1.0,,1.0,1.0,,,,,,,,,,1.0,,,72.0,20.0,,20.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.36825,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.36825,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2005,2004-05,False
1499-1509-1727-2045-2749,1610612753,"Tony Battie, Kelvin Cato, Pat Garrity, Hedo Turkoglu, Jameer Nelson","Battie, Cato, Garrity, Turkoglu, Nelson",1499-1509-1727-2045-2749,ORL,173.0,1,3.0,2.0,5.0,4.0,4.0,9.0,1.0,7.0,5.0,1.0,5.0,2.0,1.0,5.0,5.0,4.0,0.5833333333333334,0.625,74.91329479768787,14.6,25.0,10.8,21.25,0.7142857142857143,0.8,,,2.0,2.0,1.0,2.0,3.0,4.0,2.0,,1.0,1.0,2.0,,,,,,,,,0.75,0.6,,0.5,,0.5,,0.5,,,,,,0.4,1.0,1.0,0.4,0.5,0.5,0.2,0.37794,12.275,1.0,,1.0,,1.0,0.2,0.2,,0.3596333333333333,24.6,4.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.5,1.0,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2005,2004-05,False
1499-1509-1727-2052-255,1610612753,"Tony Battie, Kelvin Cato, Pat Garrity, DeShawn Stevenson, Grant Hill","Battie, Cato, Garrity, Stevenson, Hill",1499-1509-1727-2052-255,ORL,68.0,1,1.0,-2.0,2.0,2.0,1.0,4.0,,,2.0,,,,,,,1.0,,,84.70588235294117,18.5,15.5,15.5,15.5,,0.5,,1.0,,,,2.0,,3.0,,,1.0,1.0,2.0,,,,1.0,,,,,,,,1.0,,1.0,1.0,,,,0.3333333333333333,,,,,,0.6666666666666666,,,0.3333333333333333,0.44533333333333336,12.9,,,,,,,,,0.51095,,1.0,1.0,,1.0,,,2.0,,,,,,,,1.0,,,,,,,,,,,0.3333333333333333,,,,,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.5,0.4322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2005,2004-05,False
1499-1509-1727-2052-2749,1610612753,"Tony Battie, Kelvin Cato, Pat Garrity, DeShawn Stevenson, Jameer Nelson","Battie, Cato, Garrity, Stevenson, Nelson",1499-1509-1727-2052-2749,ORL,232.0,2,4.0,4.0,6.0,7.0,4.0,13.0,,6.0,2.0,,2.0,,,6.0,2.0,4.0,0.75,0.5,80.6896551724138,10.5,24.142857142857142,10.5,19.285714285714285,0.3333333333333333,0.6666666666666666,1.0,1.0,,,2.0,3.0,3.0,4.0,6.0,2.0,2.0,4.0,4.0,1.0,1.0,2.0,,2.0,1.0,2.0,,0.75,0.75,0.5,0.3333333333333333,1.0,0.5,0.5,0.3333333333333333,1.0,,0.25,1.0,1.0,,,,0.75,0.6666666666666666,0.6666666666666666,0.25,0.45985,14.775,,,,,,,,,0.406,,5.0,,,,,1.0,2.0,,,,,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2005,2004-05,False
1499-1509-1727-2749-278,1610612753,"Tony Battie, Kelvin Cato, Pat Garrity, Jameer Nelson, Stacey Augmon","Battie, Cato, Garrity, Nelson, Augmon",1499-1509-1727-2749-278,ORL,139.0,1,2.0,,6.0,5.0,,11.0,,4.0,4.0,,,,,4.0,,,0.5,,113.95683453237409,10.166666666666666,15.6,10.166666666666666,15.6,,,,,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,,,,,0.6666666666666666,0.5,0.5,1.0,1.0,1.0,1.0,,1.0,,,,,0.25,1.0,1.0,0.5,0.5,0.5,0.25,0.4551375,18.733333333333334,1.0,,1.0,,1.0,0.25,0.25,,,25.0,,,,,,,,2.0,1.0,1.0,1.0,,2.0,,,,,0.5,0.5,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2005,2004-05,False
1499-1509-1749-1883-2045,1610612753,"Tony Battie, Kelvin Cato, Cuttino Mobley, Steve Francis, Hedo Turkoglu","Battie, Cato, Mobley, Francis, Turkoglu",1499-1509-1749-1883-2045,ORL,154.0,1,3.0,-5.0,5.0,5.0,1.0,10.0,,2.0,7.0,,,,,2.0,,1.0,0.16666666666666666,,93.5064935064935,19.6,11.2,19.4,11.2,,0.2,,2.0,,1.0,1.0,3.0,1.0,6.0,,,,1.0,2.0,,,,3.0,,,,,0.16666666666666666,0.16666666666666666,,,,,,,,,0.3333333333333333,,,0.16666666666666666,,,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.43979999999999997,11.65,,,,,,,,,0.2603,,4.0,1.0,,1.0,,,1.0,2.0,1.0,1.0,,1.0,2.0,,1.0,1.0,,1.0,1.0,,,,,,,0.2,,,1.0,,,,1.0,1.0,,,0.2,0.5,,0.6199,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2005,2004-05,False
1499-1509-1749-1883-255,1610612753,"Tony Battie, Kelvin Cato, Cuttino Mobley, Steve Francis, Grant Hill","Battie, Cato, Mobley, Francis, Hill",1499-1509-1749-1883-255,ORL,380.0,2,6.0,-3.0,13.0,13.0,4.0,26.0,1.0,7.0,10.0,,,2.0,,7.0,,4.0,0.3181818181818182,,98.52631578947368,15.615384615384615,13.615384615384615,14.153846153846153,12.692307692307692,,0.3076923076923077,1.0,1.0,1.0,3.0,1.0,4.0,3.0,8.0,2.0,1.0,4.0,5.0,7.0,3.0,,4.0,2.0,1.0,,1.0,1.0,0.375,0.3,0.75,0.8,1.0,0.8333333333333334,,0.6666666666666666,1.0,1.0,0.1,1.0,1.0,0.3,0.3333333333333333,0.3333333333333333,0.4,0.25,0.25,0.3,0.44755500000000004,13.0125,2.0,,2.0,,2.0,0.2,0.2,,0.35559999999999997,24.7,5.0,2.0,,,,,3.0,4.0,2.0,2.0,,1.0,4.0,2.0,2.0,3.0,2.0,0.6666666666666666,0.6666666666666666,,,,,,1.0,0.2857142857142857,1.0,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,,,,1.0,1.0,3.0,2.0,1.0,1.0,1.0,0.09090909090909091,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2005,2004-05,False
1499-1509-1749-2045-2749,1610612753,"Tony Battie, Kelvin Cato, Cuttino Mobley, Hedo Turkoglu, Jameer Nelson","Battie, Cato, Mobley, Turkoglu, Nelson",1499-1509-1749-2045-2749,ORL,143.0,2,2.0,-2.0,4.0,5.0,,9.0,,2.0,4.0,,,,,2.0,,,0.3333333333333333,,90.62937062937063,12.5,18.6,12.0,15.4,,,1.0,2.0,,,,,1.0,2.0,,1.0,1.0,2.0,2.0,,,,1.0,,,,,0.5,0.3333333333333333,,0.3333333333333333,1.0,0.5,,,,,0.6666666666666666,0.5,0.5,,,,,,,1.0,0.5990833333333333,,,,1.0,,,0.3333333333333333,,,,24.6,2.0,1.0,,,,,,2.0,1.0,1.0,,,2.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,1.0,1.0,,,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2005,2004-05,False
