EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,ShootingFouls,Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Arc3FGA,FG3A,NonHeaveArc3FGA,Fg2aBlocked,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,Arc3Frequency,Avg3ptShotDistance,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG3M,PenaltyFG3A,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGM,OffThreePtRebounds,LostBallSteals,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,OffThreePtReboundPct,OffArc3ReboundPct,BlocksRecoveredPct,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PtsAssisted3s,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,BadPassTurnovers,Assisted3sPct,ShortMidRangePctAssisted,Arc3PctAssisted,HeaveAttempts,BadPassOutOfBoundsTurnovers,DefCorner3ReboundPct,PenaltyTurnovers,NonShootingFoulsDrawn,LongMidRangePctBlocked,OffensiveGoaltends,Loose Ball Fouls,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Corner3Assists,Technical Free Throw Trips,BlockedShortMidRange,SecondChanceFg3Pct,AtRimPctBlocked,OffCorner3ReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Travels,SecondChanceFtPoints,DefensiveGoaltends,FTDefRebounds,DefFTReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SelfOReb,SelfORebPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,FTOffRebounds,Offensive Fouls,OffFTReboundPct,LostBallOutOfBoundsTurnovers,BlockedLongMidRange,StepOutOfBoundsTurnovers,Defensive 3 Seconds Violations,Fg3aBlocked,3SecondViolations,FG3APctBlocked,Corner3PctBlocked,Clear Path Fouls,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Arc3PctBlocked,HeaveMakes,Blocked3s,BlockedArc3,3pt And 1 Free Throw Trips,BlockedCorner3,FoulsDrawn,Offensive Fouls Drawn,team_id,year,season,team_vs
1444-15-1559-2457-2876,1610612741,"Lawrence Funderburke, Eric Piatkowski, Adrian Griffin, Jannero Pargo, Jared Reiner","Funderburke, Piatkowski, Griffin, Pargo, Reiner",1444-15-1559-2457-2876,CHI,442.0,1,7.0,8.0,12.0,12.0,4.0,8.0,1.0,24.0,3.0,3.0,1.0,1.0,1.0,1.0,5.0,9.0,9.0,13.0,3.0,21.0,13.0,1.0,1.0,2.0,2.0,4.0,2.0,6.0,8.0,10.0,4.0,4.0,2.0,2.0,8.0,1.0,1.0,3.0,4.0,1.0,5.0,3.0,3.0,1.0,2.0,5.0,1.0,3.0,19.0,6.0,4.0,1.0,0.4444444444444444,0.4444444444444444,0.6923076923076923,1.0,0.5,0.6923076923076923,1.0,0.5,0.7,1.0,0.6,0.5,0.3333333333333333,1.0,0.5714285714285714,0.3333333333333333,0.3333333333333333,1.0,0.4,1.0,78.19004524886878,15.416666666666666,21.416666666666668,14.083333333333334,20.0,0.23076923076923078,1.0,1.0,0.6666666666666666,0.07692307692307693,1.0,1.0,0.6923076923076923,0.5555555555555556,0.5555555555555556,0.4,1.0,1.0,1.0,0.23076923076923078,0.43879999999999997,0.6656,0.296325,0.2,0.2,0.09523809523809523,0.2857142857142857,14.015384615384615,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2005,2004-05,False
1444-15-1559-2457-970,1610612741,"Lawrence Funderburke, Eric Piatkowski, Adrian Griffin, Jannero Pargo, Othella Harrington","Funderburke, Piatkowski, Griffin, Pargo, Harrington",1444-15-1559-2457-970,CHI,15.0,1,,2.0,1.0,,,,,1.0,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,96.0,15.0,,15.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2005,2004-05,False
1444-15-2457-2550-970,1610612741,"Lawrence Funderburke, Eric Piatkowski, Jannero Pargo, Kirk Hinrich, Othella Harrington","Funderburke, Piatkowski, Pargo, Hinrich, Harrington",1444-15-2457-2550-970,CHI,15.0,1,,-2.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,,15.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2005,2004-05,False
1444-15-2550-2732-970,1610612741,"Lawrence Funderburke, Eric Piatkowski, Kirk Hinrich, Ben Gordon, Othella Harrington","Funderburke, Piatkowski, Hinrich, Gordon, Harrington",1444-15-2550-2732-970,CHI,96.0,1,2.0,,3.0,2.0,,1.0,,5.0,1.0,1.0,,,,,,1.0,1.0,2.0,1.0,3.0,3.0,,,,,,,,2.0,,1.0,1.0,1.0,,2.0,,,,,,,,,,1.0,2.0,,1.0,3.0,,,,1.0,1.0,0.5,,,0.5,,,0.5,,,,,,,,,,,,75.0,16.333333333333332,23.5,16.333333333333332,23.5,0.5,1.0,1.0,1.0,,,,0.5,,,,,,,0.5,0.3692,,,0.3333333333333333,0.3333333333333333,,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2005,2004-05,False
1444-1559-2457-2732-2804,1610612741,"Lawrence Funderburke, Adrian Griffin, Jannero Pargo, Ben Gordon, Andres Nocioni","Funderburke, Griffin, Pargo, Gordon, Nocioni",1444-1559-2457-2732-2804,CHI,190.0,1,3.0,-9.0,5.0,5.0,,,1.0,10.0,,1.0,,1.0,,2.0,,2.0,,5.0,,,9.0,,2.0,,,,,,,,,,,,,2.0,,1.0,1.0,2.0,3.0,,,2.0,3.0,,,,,,,,,,,,,,,,,,,0.5,0.5,,0.5,0.4,,,,,75.78947368421053,19.2,18.8,18.0,18.2,0.16666666666666666,,,,0.3333333333333333,,,0.3333333333333333,,,,0.5,,,0.3333333333333333,0.4380833333333333,0.4667,,,,,,10.78,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.16666666666666666,0.2,0.5,0.5,1.0,0.5,0.5,0.16666666666666666,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2005,2004-05,False
1444-1559-2457-2732-2876,1610612741,"Lawrence Funderburke, Adrian Griffin, Jannero Pargo, Ben Gordon, Jared Reiner","Funderburke, Griffin, Pargo, Gordon, Reiner",1444-1559-2457-2732-2876,CHI,247.0,1,4.0,1.0,6.0,8.0,3.0,4.0,1.0,14.0,1.0,1.0,1.0,1.0,,1.0,,2.0,1.0,4.0,,5.0,4.0,1.0,1.0,2.0,1.0,1.0,,5.0,,2.0,,,,,,,1.0,3.0,4.0,1.0,5.0,1.0,,,1.0,,,,3.0,5.0,3.0,1.0,,,0.25,1.0,1.0,0.35714285714285715,1.0,0.625,0.35714285714285715,1.0,0.625,1.0,,0.3333333333333333,0.6666666666666666,0.2,,,1.0,0.5,81.61943319838058,15.666666666666666,19.125,15.666666666666666,16.5,0.14285714285714285,1.0,1.0,,0.14285714285714285,,,0.2857142857142857,,,,1.0,1.0,,0.5714285714285714,0.4996285714285714,,0.583175,,,0.4,1.0,11.85,0.5,3.0,3.0,3.0,,,,,,,0.42857142857142855,,,,,,1.0,0.42857142857142855,24.933333333333334,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,1.0,0.3333333333333333,0.3333333333333333,0.25,1.0,0.75,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2005,2004-05,False
1444-1559-2457-2732-970,1610612741,"Lawrence Funderburke, Adrian Griffin, Jannero Pargo, Ben Gordon, Othella Harrington","Funderburke, Griffin, Pargo, Gordon, Harrington",1444-1559-2457-2732-970,CHI,184.0,1,3.0,4.0,6.0,5.0,,2.0,,11.0,1.0,1.0,,,1.0,2.0,,1.0,2.0,4.0,1.0,8.0,4.0,,,,,,,,4.0,,2.0,3.0,1.0,,7.0,,1.0,2.0,3.0,,3.0,,,,,1.0,1.0,1.0,8.0,,,,1.0,1.0,0.5,,,0.7,,,0.8,,,0.6666666666666666,,1.0,0.75,,,1.0,,1.0,86.08695652173913,15.333333333333334,18.4,15.333333333333334,18.2,0.2,1.0,1.0,1.0,0.4,0.5,1.0,0.2,,,,,,,0.4,0.47908,,,0.2,0.25,,,10.65,,1.0,1.0,1.0,1.0,1.0,,,1.0,,0.2,0.25,0.5,1.0,,,1.0,0.2,25.3,,,1.0,,,1.0,,,,,1.0,,,,,,,1.0,,1.0,,,,1.0,1.0,,,,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2005,2004-05,False
1444-213-2457-2768-2804,1610612741,"Lawrence Funderburke, Antonio Davis, Jannero Pargo, Chris Duhon, Andres Nocioni","Funderburke, Davis, Pargo, Duhon, Nocioni",1444-213-2457-2768-2804,CHI,65.0,1,1.0,-3.0,2.0,2.0,,2.0,,4.0,1.0,1.0,,,,,,,1.0,1.0,,2.0,5.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,0.3333333333333333,,,0.3333333333333333,,,,,,,,,,,,88.61538461538463,23.0,9.5,23.0,9.5,0.3333333333333333,1.0,1.0,,,,,,,,,,,,1.0,0.4785,,,,,,,,,2.0,2.0,1.0,,,,,,,0.6666666666666666,,,,,,,0.6666666666666666,32.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2005,2004-05,False
1444-2550-2732-2768-2876,1610612741,"Lawrence Funderburke, Kirk Hinrich, Ben Gordon, Chris Duhon, Jared Reiner","Funderburke, Hinrich, Gordon, Duhon, Reiner",1444-2550-2732-2768-2876,CHI,40.0,1,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,2.0,,2.0,2.0,1.0,1.0,2.0,1.0,2.0,,2.0,,2.0,,,,,,1.0,,,,1.0,1.0,,,,,,,,,2.0,1.0,,,,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,,1.0,,,1.0,,,,,72.0,21.0,19.0,8.0,19.0,0.5,1.0,1.0,,0.5,,,,,,,1.0,1.0,,0.5,0.4661,0.5424,0.4661,,,1.0,1.0,4.45,1.0,,,,1.0,,,,,,,0.5,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2005,2004-05,False
15-1559-213-2199-2421,1610612741,"Eric Piatkowski, Adrian Griffin, Antonio Davis, Tyson Chandler, Frank Williams","Piatkowski, Griffin, Davis, Chandler, Williams",15-1559-213-2199-2421,CHI,190.0,1,3.0,,6.0,6.0,2.0,,,12.0,1.0,2.0,,,,1.0,1.0,1.0,2.0,4.0,,4.0,4.0,,,,1.0,2.0,,2.0,2.0,2.0,1.0,1.0,1.0,,2.0,,1.0,2.0,3.0,,3.0,1.0,1.0,1.0,2.0,,,,4.0,2.0,2.0,,0.5,0.5,0.5,,0.5,0.5,,0.5,0.5,,0.5,0.5,,1.0,0.6,,,,0.5,,90.94736842105263,16.166666666666668,15.5,16.166666666666668,15.0,0.5,0.5,0.5,1.0,0.25,,,0.25,1.0,1.0,,,,,0.5,0.4464,,0.42045,,,,0.5,6.95,0.3333333333333333,,,,,,2.0,,2.0,,,,,,,,0.5,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.0,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2005,2004-05,False
