EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,Steals,BadPassSteals,Fouls,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG2APctBlocked,ShortMidRangePctBlocked,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,SecondChanceOffPoss,PenaltyAtRimFGA,Corner3FGA,PenaltyCorner3FGA,FG3A,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,ShortMidRangeAssists,OffThreePtRebounds,OffRebounds,Rebounds,FTA,Technical Free Throw Trips,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG3APct,OffThreePtReboundPct,OffFGReboundPct,OffCorner3ReboundPct,ShortMidRangePctAssisted,Corner3Frequency,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Arc3FGA,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,NonHeaveArc3FGA,DefTwoPtRebounds,DefRebounds,Loose Ball Fouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefTwoPtReboundPct,DefFGReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChancePointsPct,PenaltyDefPoss,OffTwoPtRebounds,FTDefRebounds,ShootingFouls,DefFTReboundPct,OffTwoPtReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,SecondChanceShotQualityAvg,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,BlockedShortMidRange,RecoveredBlocks,LiveBallTurnoverPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,Corner3FGM,FG3M,FtPoints,SecondChanceFtPoints,PenaltyFtPoints,PtsAssisted3s,ThreePtAssists,Corner3Assists,DefThreePtRebounds,LostBallSteals,BadPassOutOfBoundsTurnovers,BadPassTurnovers,SecondChanceTurnovers,Offensive Fouls,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,AtRimPctBlocked,DefThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyAtRimFGM,Arc3FGM,SecondChanceArc3FGA,SecondChanceFG3A,NonHeaveArc3FGM,Arc3Assists,Clear Path Fouls,DefCorner3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimAccuracy,NonHeaveArc3Accuracy,PenaltyTurnovers,SecondChanceCorner3FGA,SelfOReb,SelfORebPct,SecondChanceCorner3Frequency,PtsUnassisted3s,LostBallOutOfBoundsTurnovers,NonShootingPenaltyNonTakeFouls,Travels,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyCorner3FGM,Defensive 3 Seconds Violations,PenaltyCorner3Accuracy,Fg3aBlocked,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,FTOffRebounds,OffFTReboundPct,Corner3PctBlocked,SecondChanceCorner3FGM,SecondChanceFG3M,HeaveAttempts,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,OffensiveGoaltends,DefensiveGoaltends,StepOutOfBoundsTurnovers,Blocked3s,BlockedArc3,3SecondViolations,BlockedCorner3,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
1519-1607-1709-1887-697,1610612750,"John Thomas, Troy Hudson, Michael Olowokandi, Wally Szczerbiak, Fred Hoiberg","Thomas, Hudson, Olowokandi, Szczerbiak, Hoiberg",1519-1607-1709-1887-697,MIN,257.0,1,4.0,-1.0,7.0,7.0,14.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,7.0,6.0,7.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,3.0,6.0,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.25,78.44357976653697,15.857142857142858,20.857142857142858,15.857142857142858,20.428571428571427,0.14285714285714285,1.0,1.0,1.0,0.5714285714285714,0.25,0.3333333333333333,0.2857142857142857,0.5,0.5,1.0,0.14285714285714285,0.44098571428571426,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2005,2004-05,True
1519-1607-1709-2239-84,1610612750,"John Thomas, Troy Hudson, Michael Olowokandi, Trenton Hassell, Latrell Sprewell","Thomas, Hudson, Olowokandi, Hassell, Sprewell",1519-1607-1709-2239-84,MIN,120.0,2,2.0,-2.0,3.0,2.0,5.0,,1.0,1.0,1.0,,1.0,1.0,3.0,2.0,4.0,2.0,,,1.0,1.0,,,2.0,,,,2.0,1.0,1.0,0.3333333333333333,0.25,0.25,,,60.0,26.0,21.0,22.0,19.5,0.25,,,,0.25,1.0,1.0,0.25,,,,0.5,0.4465125,9.233333333333333,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,0.3333333333333333,0.25,0.25,0.25,1.0,0.3333333333333333,1.0,1.0,0.25,0.25,0.25,0.4465125,1.0,24.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2005,2004-05,True
1519-1607-1853-1887-697,1610612750,"John Thomas, Troy Hudson, Anthony Carter, Wally Szczerbiak, Fred Hoiberg","Thomas, Hudson, Carter, Szczerbiak, Hoiberg",1519-1607-1853-1887-697,MIN,174.0,1,3.0,-1.0,4.0,5.0,9.0,1.0,1.0,,,1.0,2.0,2.0,3.0,4.0,5.0,2.0,2.0,,1.0,1.0,,1.0,2.0,,,1.0,2.0,0.5,1.0,0.6666666666666666,0.4,0.4,,,74.48275862068965,17.5,20.8,17.5,16.2,0.2,1.0,1.0,,,,,0.4,0.5,0.5,1.0,0.6,0.52505,13.966666666666667,,1.0,,1.0,,2.0,1.0,,,,,,1.0,1.0,3.0,,,,,,,,,,,,0.4,0.5,0.3333333333333333,,,0.2,,,,,23.65,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,0.4,1.0,0.5,0.2,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2005,2004-05,True
1519-1607-1853-2204-697,1610612750,"John Thomas, Troy Hudson, Anthony Carter, Eddie Griffin, Fred Hoiberg","Thomas, Hudson, Carter, Griffin, Hoiberg",1519-1607-1853-2204-697,MIN,185.0,1,3.0,,7.0,6.0,13.0,2.0,2.0,1.0,2.0,,2.0,3.0,6.0,6.0,6.0,2.0,4.0,,1.0,1.0,1.0,,2.0,,,2.0,4.0,0.3333333333333333,0.5,0.5,0.42857142857142855,0.42857142857142855,,,101.18918918918918,15.0,13.333333333333334,15.0,12.0,0.2857142857142857,1.0,1.0,0.5,0.2857142857142857,0.5,0.5,0.2857142857142857,,,,0.42857142857142855,0.46079285714285717,10.0,,1.0,,1.0,,1.0,1.0,,,,,,,1.0,3.0,,,,,,,,,,,,0.14285714285714285,,0.25,,,0.14285714285714285,,,,,22.8,,1.0,1.0,,1.0,2.0,2.0,,1.0,2.0,,1.0,1.0,1.0,1.0,0.5,,,,1.0,1.0,0.3333333333333333,6.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2005,2004-05,True
1519-1607-1887-2058-2239,1610612750,"John Thomas, Troy Hudson, Wally Szczerbiak, Mark Madsen, Trenton Hassell","Thomas, Hudson, Szczerbiak, Madsen, Hassell",1519-1607-1887-2058-2239,MIN,101.0,1,2.0,-2.0,3.0,4.0,7.0,,,,,,1.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,99.8019801980198,12.666666666666666,15.75,12.666666666666666,15.5,,,,,,,,1.0,,,,,0.4024,16.2,,,,,,,,,,,,,,,2.0,,,2.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,0.6666666666666666,0.6666666666666666,,0.5,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,2.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2005,2004-05,True
1519-1607-1887-2204-697,1610612750,"John Thomas, Troy Hudson, Wally Szczerbiak, Eddie Griffin, Fred Hoiberg","Thomas, Hudson, Szczerbiak, Griffin, Hoiberg",1519-1607-1887-2204-697,MIN,1631.0,7,27.0,5.0,53.0,49.0,102.0,11.0,19.0,5.0,12.0,2.0,12.0,18.0,43.0,50.0,45.0,26.0,10.0,5.0,13.0,14.0,7.0,2.0,29.0,6.0,4.0,13.0,44.0,0.7222222222222222,0.7222222222222222,0.4186046511627907,0.42391304347826086,0.47115384615384615,0.11627906976744186,0.25,90.05518087063152,14.50943396226415,17.591836734693878,13.50943396226415,16.3265306122449,0.41304347826086957,0.5789473684210527,0.6470588235294118,0.6363636363636364,0.2608695652173913,0.4166666666666667,0.5555555555555556,0.2608695652173913,0.16666666666666666,0.16666666666666666,1.0,0.4782608695652174,0.4862413043478261,7.062790697674418,6.0,6.0,2.0,1.0,,3.0,4.0,,4.0,,3.0,4.0,,7.0,29.0,14.0,1.0,2.0,,,2.0,3.0,6.0,,,0.25,0.06521739130434782,,0.25925925925925924,,0.8,0.021739130434782608,0.5,,0.41395,0.06,23.933333333333334,0.11320754716981132,1.0,3.0,2.0,1.0,6.0,,2.0,12.0,22.0,2.0,0.25,0.25,0.4166666666666667,0.5714285714285714,0.6551724137931034,,0.5454545454545454,0.043478260869565216,0.75,0.3333333333333333,0.12,5.0,7.0,3.0,3.0,1.0,0.28,0.14285714285714285,0.25,0.5047,5.0,2.0,2.0,7.0,2.0,1.0,0.7142857142857143,0.8333333333333334,0.5,1.0,1.0,11.0,4.0,3.0,3.0,1.0,1.0,7.0,2.0,1.0,3.0,1.0,1.0,1.0,6.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.10526315789473684,0.875,0.5,0.2,0.875,1.0,1.0,1.0,1.0,0.11764705882352941,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2005,2004-05,True
1519-1607-1887-2204-84,1610612750,"John Thomas, Troy Hudson, Wally Szczerbiak, Eddie Griffin, Latrell Sprewell","Thomas, Hudson, Szczerbiak, Griffin, Sprewell",1519-1607-1887-2204-84,MIN,952.0,7,16.0,3.0,31.0,32.0,63.0,6.0,13.0,2.0,8.0,1.0,5.0,9.0,26.0,32.0,29.0,10.0,8.0,3.0,5.0,7.0,4.0,,16.0,2.0,2.0,6.0,27.0,0.5555555555555556,0.7142857142857143,0.34615384615384615,0.4,0.45714285714285713,0.11538461538461539,0.125,95.29411764705883,14.741935483870968,15.46875,14.161290322580646,15.03125,0.43333333333333335,0.46153846153846156,0.5454545454545454,0.6666666666666666,0.26666666666666666,0.25,0.2857142857142857,0.16666666666666666,0.2,0.2,,0.5666666666666667,0.4966,6.553846153846154,12.0,4.0,4.0,2.0,,4.0,4.0,4.0,9.0,,14.0,1.0,,5.0,16.0,11.0,,2.0,,,2.0,14.0,12.0,0.4444444444444444,0.4444444444444444,0.5384615384615384,0.13333333333333333,,0.2631578947368421,,0.5,0.06666666666666667,0.4444444444444444,,0.47021111111111114,0.4375,23.775,0.3870967741935484,1.0,2.0,2.0,2.0,5.0,4.0,2.0,10.0,11.0,,0.5,0.4,0.5,0.7142857142857143,0.7333333333333333,,0.875,0.06666666666666667,0.4,0.5,0.15625,4.0,5.0,,5.0,,0.29411764705882354,0.3333333333333333,0.5,0.52421,,1.0,,1.0,2.0,2.0,,0.5,1.0,1.0,2.0,8.0,1.0,6.0,6.0,2.0,1.0,1.0,,1.0,,,,1.0,4.0,2.0,1.0,0.5,0.5,0.15384615384615385,1.0,0.42857142857142855,,,0.5,0.5,1.0,,0.12121212121212122,0.13793103448275862,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.2,0.75,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2005,2004-05,True
1519-1607-1887-2239-697,1610612750,"John Thomas, Troy Hudson, Wally Szczerbiak, Trenton Hassell, Fred Hoiberg","Thomas, Hudson, Szczerbiak, Hassell, Hoiberg",1519-1607-1887-2239-697,MIN,78.0,1,1.0,-1.0,2.0,2.0,4.0,,,1.0,2.0,,,1.0,2.0,3.0,4.0,,2.0,,,,,,,,,1.0,3.0,,,0.5,0.5,0.75,,,73.84615384615384,28.5,10.5,28.5,10.5,,,,,1.0,0.5,0.5,,,,,,0.38605,7.35,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2005,2004-05,True
1519-1607-1887-2239-708,1610612750,"John Thomas, Troy Hudson, Wally Szczerbiak, Trenton Hassell, Kevin Garnett","Thomas, Hudson, Szczerbiak, Hassell, Garnett",1519-1607-1887-2239-708,MIN,242.0,4,4.0,-2.0,9.0,6.0,15.0,1.0,2.0,1.0,2.0,,1.0,2.0,5.0,7.0,9.0,2.0,2.0,,1.0,1.0,,,2.0,1.0,1.0,1.0,7.0,0.5,0.5,0.4,0.4,0.5,,,89.25619834710744,13.88888888888889,19.5,13.88888888888889,17.833333333333332,0.4,0.5,0.5,,0.4,0.5,0.5,0.2,,,,0.4,0.47222,8.4,5.0,,,,,,,1.0,3.0,,3.0,1.0,,,,4.0,,1.0,,,1.0,3.0,5.0,0.3333333333333333,0.3333333333333333,0.375,,,,,1.0,,,,0.39053333333333334,0.42857142857142855,,0.5555555555555556,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,2.0,1.0,,1.0,,,,,3.0,,1.0,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,0.2857142857142857,0.2857142857142857,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2005,2004-05,True
1519-1607-1887-2239-84,1610612750,"John Thomas, Troy Hudson, Wally Szczerbiak, Trenton Hassell, Latrell Sprewell","Thomas, Hudson, Szczerbiak, Hassell, Sprewell",1519-1607-1887-2239-84,MIN,443.0,4,7.0,4.0,13.0,13.0,26.0,2.0,5.0,1.0,2.0,1.0,3.0,4.0,10.0,14.0,10.0,4.0,4.0,1.0,2.0,3.0,,1.0,7.0,,,4.0,14.0,0.5,0.5,0.4,0.4230769230769231,0.4642857142857143,0.1,0.5,84.51467268623024,14.23076923076923,19.846153846153847,13.384615384615385,16.46153846153846,0.38461538461538464,0.4,0.4,,0.15384615384615385,0.5,1.0,0.23076923076923078,0.3333333333333333,0.3333333333333333,1.0,0.6153846153846154,0.4698346153846154,7.56,4.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,2.0,4.0,1.0,1.0,3.0,7.0,3.0,1.0,1.0,1.0,,1.0,4.0,4.0,0.5,0.3333333333333333,0.3333333333333333,0.23076923076923078,0.5,0.42857142857142855,0.5,1.0,0.23076923076923078,0.3333333333333333,0.3333333333333333,0.499075,0.2857142857142857,22.766666666666666,0.3076923076923077,,1.0,,,,,,2.0,4.0,,,,,0.5,0.6666666666666666,,0.5,,0.3333333333333333,,,5.0,2.0,,3.0,,0.4,,0.5,0.38685,,2.0,,2.0,,1.0,,,1.0,1.0,1.0,3.0,,,3.0,1.0,1.0,2.0,,1.0,,,,,1.0,,1.0,0.3333333333333333,0.3333333333333333,,1.0,0.6666666666666666,,1.0,0.3333333333333333,0.3333333333333333,1.0,,0.07142857142857142,0.09090909090909091,1.0,,,1.0,,,,,,,,,0.5,,,1.0,1.0,0.16666666666666666,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2005,2004-05,True
