EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,DefThreePtRebounds,DefThreePtReboundPct,DefArc3ReboundPct,PtsPutbacks,2pt And 1 Free Throw Trips,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,ShortMidRangeAssists,LongMidRangeAssists,FTOffRebounds,BadPassOutOfBoundsTurnovers,Offensive Fouls,SecondChanceFg3Pct,OffFTReboundPct,DefCorner3ReboundPct,ShortMidRangePctAssisted,LongMidRangePctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,HeaveAttempts,SecondChanceTurnovers,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,LongMidRangePctBlocked,Blocked3s,BlockedArc3,BlockedLongMidRange,Fg3aBlocked,DefensiveGoaltends,Defensive 3 Seconds Violations,FG3APctBlocked,ShortMidRangePctBlocked,Corner3PctBlocked,Arc3PctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,team_id,year,season,team_vs
1712-1716-1913-2041-2240,1610612764,"Antawn Jamison, Larry Hughes, Michael Ruffin, Etan Thomas, Gilbert Arenas","Jamison, Hughes, Ruffin, Thomas, Arenas",1712-1716-1913-2041-2240,WAS,911.0,3,15.0,-8.0,34.0,34.0,25.0,34.0,6.0,68.0,5.0,7.0,1.0,1.0,4.0,5.0,1.0,4.0,1.0,6.0,1.0,3.0,1.0,1.0,3.0,3.0,6.0,1.0,4.0,7.0,17.0,4.0,9.0,14.0,40.0,48.0,1.0,4.0,1.0,9.0,11.0,6.0,11.0,2.0,7.0,11.0,29.0,8.0,6.0,9.0,3.0,6.0,3.0,1.0,4.0,3.0,7.0,2.0,1.0,4.0,17.0,2.0,6.0,4.0,1.0,5.0,8.0,13.0,1.0,4.0,2.0,2.0,4.0,3.0,4.0,1.0,1.0,1.0,8.0,6.0,4.0,10.0,1.0,17.0,1.0,3.0,5.0,2.0,1.0,1.0,2.0,2.0,1.0,29.0,29.0,25.0,6.0,0.5714285714285714,0.5714285714285714,0.75,0.4444444444444444,0.2857142857142857,0.4444444444444444,0.4117647058823529,0.25,0.5454545454545454,0.5,0.2,0.5,0.5735294117647058,0.5555555555555556,0.5833333333333334,0.34615384615384615,0.058823529411764705,0.14285714285714285,0.5,0.5,0.4,0.6,0.4,0.3333333333333333,0.5333333333333333,1.0,0.6666666666666666,0.4,0.3333333333333333,0.5,0.25,0.5,0.5,0.07142857142857142,107.48627881448957,1.0,13.058823529411764,13.735294117647058,11.529411764705882,13.205882352941176,0.2692307692307692,0.7142857142857143,0.8333333333333334,0.8,0.15384615384615385,0.25,0.25,0.23076923076923078,0.16666666666666666,0.16666666666666666,0.11538461538461539,0.3333333333333333,0.3333333333333333,1.0,0.23076923076923078,0.5,0.5,0.6666666666666666,0.2,1.0,1.0,0.2,0.2777777777777778,0.8,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.25,0.6153846153846154,0.5,0.5024711538461538,0.56665,0.5170472222222222,0.10344827586206896,0.15,0.275,0.725,9.529411764705882,24.811111111111114,0.7352941176470589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2005,2004-05,True
1712-1716-1913-2041-324,1610612764,"Antawn Jamison, Larry Hughes, Michael Ruffin, Etan Thomas, Anthony Peeler","Jamison, Hughes, Ruffin, Thomas, Peeler",1712-1716-1913-2041-324,WAS,86.0,1,1.0,7.0,4.0,3.0,,,,7.0,2.0,2.0,,,,,,,,,,,,,,1.0,1.0,,,2.0,2.0,1.0,1.0,,7.0,,,,,,,,,,,,,,4.0,3.0,,1.0,1.0,,,1.0,1.0,1.0,,,3.0,,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,1.0,1.0,,1.0,1.0,,,1.1666666666666667,,,1.1666666666666667,,,0.3333333333333333,,,,,,,,1.0,,,,,,,,,,,117.20930232558139,,7.5,18.666666666666668,7.5,18.666666666666668,0.6666666666666666,1.0,1.0,,,,,,,,,,,,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,0.6022166666666667,,,,,,,,24.2,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2005,2004-05,True
1712-1716-1913-2198-2240,1610612764,"Antawn Jamison, Larry Hughes, Michael Ruffin, Kwame Brown, Gilbert Arenas","Jamison, Hughes, Ruffin, Brown, Arenas",1712-1716-1913-2198-2240,WAS,139.0,1,2.0,-1.0,5.0,5.0,5.0,,1.0,10.0,2.0,3.0,1.0,1.0,2.0,3.0,,,,2.0,,,,,,,,,,2.0,5.0,,,2.0,6.0,7.0,1.0,1.0,,,2.0,2.0,5.0,,,2.0,6.0,2.0,2.0,,,,,,1.0,,1.0,,,1.0,2.0,,1.0,1.0,,2.0,1.0,3.0,,,,,,,,,,,,,,1.0,,3.0,,2.0,,,,,,,,4.0,6.0,5.0,,0.5,1.0,,,,,0.4,1.0,0.4,0.4,1.0,0.4,0.5,1.0,0.5,,,,,,1.0,0.3333333333333333,,1.0,0.3333333333333333,1.0,,,,,1.0,,,,103.59712230215827,,14.6,13.2,14.4,13.2,0.6,0.6666666666666666,0.6666666666666666,0.5,,,,0.4,,,,,,,,,,,1.0,1.0,,,0.6,0.6666666666666666,,,,,0.6,,0.5234,0.5879,0.5234,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,6.9799999999999995,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2005,2004-05,True
1712-1716-1913-2217-2240,1610612764,"Antawn Jamison, Larry Hughes, Michael Ruffin, Brendan Haywood, Gilbert Arenas","Jamison, Hughes, Ruffin, Haywood, Arenas",1712-1716-1913-2217-2240,WAS,1630.0,8,27.0,7.0,52.0,54.0,29.0,27.0,6.0,106.0,8.0,9.0,1.0,1.0,7.0,8.0,3.0,8.0,5.0,11.0,,2.0,,,1.0,3.0,8.0,3.0,4.0,16.0,28.0,3.0,10.0,14.0,55.0,48.0,1.0,3.0,2.0,2.0,10.0,11.0,14.0,3.0,5.0,6.0,37.0,20.0,12.0,6.0,3.0,8.0,3.0,1.0,10.0,2.0,12.0,2.0,,3.0,26.0,3.0,2.0,15.0,3.0,23.0,6.0,29.0,,5.0,3.0,2.0,3.0,1.0,6.0,,2.0,1.0,9.0,7.0,8.0,18.0,,23.0,,10.0,2.0,3.0,2.0,1.0,3.0,1.0,,45.0,37.0,29.0,3.0,0.625,0.625,0.6666666666666666,0.3,0.6,0.3,0.5714285714285714,0.3333333333333333,0.7857142857142857,0.5394736842105263,0.8,0.8157894736842105,0.5612244897959183,0.8333333333333334,0.74,0.2631578947368421,0.03571428571428571,0.1111111111111111,0.3333333333333333,0.6,0.75,0.16666666666666666,0.42857142857142855,0.7407407407407407,0.2631578947368421,1.0,,0.16666666666666666,0.4,0.5,0.4,0.875,0.8571428571428571,,93.6441717791411,0.3333333333333333,14.307692307692308,16.40740740740741,13.76923076923077,15.055555555555555,0.23684210526315788,0.8888888888888888,1.0,0.375,0.21052631578947367,0.375,0.375,0.2894736842105263,0.45454545454545453,0.45454545454545453,0.05263157894736842,,,,0.21052631578947367,0.375,0.375,0.6666666666666666,0.2,1.0,,,0.42105263157894735,0.875,0.05263157894736842,,0.21052631578947367,0.75,0.5,0.375,0.4830355263157895,0.415925,0.5249973684210526,0.2127659574468085,0.2702702702702703,0.18181818181818182,0.6727272727272727,9.007142857142856,25.0,0.5576923076923077,5.0,0.7142857142857143,0.8,,1.0,2.0,2.0,2.0,3.0,4.0,1.0,3.0,2.0,1.0,0.3333333333333333,0.5,1.0,0.8,0.4,1.0,0.5,,,,,,,,,,,,,,,,,,,1610612764,2005,2004-05,True
1712-1716-1913-2240-2407,1610612764,"Antawn Jamison, Larry Hughes, Michael Ruffin, Gilbert Arenas, Jared Jeffries","Jamison, Hughes, Ruffin, Arenas, Jeffries",1712-1716-1913-2240-2407,WAS,426.0,5,7.0,3.0,13.0,14.0,2.0,8.0,2.0,27.0,1.0,3.0,1.0,3.0,,,1.0,2.0,4.0,5.0,,,,,,1.0,3.0,,,6.0,10.0,1.0,3.0,3.0,18.0,15.0,1.0,3.0,,,2.0,2.0,2.0,,,,4.0,10.0,2.0,3.0,,3.0,1.0,,5.0,1.0,6.0,1.0,,,13.0,1.0,2.0,1.0,1.0,5.0,3.0,8.0,,,,,1.0,,,,1.0,,1.0,,4.0,6.0,,4.0,,2.0,,,,,,,,16.0,4.0,2.0,2.0,0.8333333333333334,1.0,1.0,0.3333333333333333,,0.3333333333333333,0.6,0.3333333333333333,1.0,0.5769230769230769,0.3333333333333333,1.0,0.6,0.3333333333333333,1.0,0.23076923076923078,,,1.0,1.0,0.5,0.5,0.5,0.6666666666666666,0.5,0.5,,1.0,0.5,,,,1.0,,91.26760563380282,,15.0,16.5,13.615384615384615,15.642857142857142,0.23076923076923078,0.3333333333333333,0.3333333333333333,,0.15384615384615385,0.5,0.5,0.38461538461538464,0.8,0.8,,,,,0.23076923076923078,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,,,,,,,,,0.46153846153846156,0.3333333333333333,0.4589615384615385,0.6119,0.37185,0.13333333333333333,0.16666666666666666,0.1111111111111111,0.2222222222222222,10.58,25.766666666666666,0.15384615384615385,3.0,0.75,0.75,2.0,,,,,1.0,4.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1610612764,2005,2004-05,True
1712-1716-1913-2240-2413,1610612764,"Antawn Jamison, Larry Hughes, Michael Ruffin, Gilbert Arenas, Juan Dixon","Jamison, Hughes, Ruffin, Arenas, Dixon",1712-1716-1913-2240-2413,WAS,979.0,6,16.0,11.0,32.0,31.0,23.0,17.0,5.0,63.0,5.0,10.0,2.0,4.0,3.0,5.0,1.0,1.0,7.0,12.0,,1.0,1.0,,,1.0,4.0,1.0,3.0,13.0,23.0,1.0,5.0,12.0,41.0,30.0,2.0,5.0,1.0,2.0,6.0,8.0,12.0,1.0,3.0,9.0,28.0,4.0,22.0,3.0,,3.0,1.0,1.0,2.0,1.0,3.0,1.0,,,7.0,3.0,6.0,7.0,,12.0,9.0,21.0,,1.0,,1.0,2.0,1.0,4.0,,1.0,,6.0,5.0,3.0,8.0,,18.0,,4.0,6.0,4.0,1.0,3.0,4.0,2.0,,35.0,28.0,23.0,2.0,0.15384615384615385,0.16666666666666666,1.0,0.2,0.3333333333333333,0.25,0.5652173913043478,0.4,0.6666666666666666,0.5178571428571429,0.3333333333333333,0.6333333333333333,0.5694444444444444,0.42857142857142855,0.6363636363636364,0.17857142857142858,0.043478260869565216,0.1,0.3333333333333333,,0.7777777777777778,0.6,1.0,0.8571428571428571,0.6923076923076923,0.6,,0.6,1.0,1.0,0.6666666666666666,0.75,1.0,,92.66598569969356,0.5,16.8125,14.225806451612904,15.75,13.870967741935484,0.35714285714285715,0.5,0.5555555555555556,,0.03571428571428571,1.0,1.0,0.42857142857142855,0.5833333333333334,0.5833333333333334,0.03571428571428571,,,,0.14285714285714285,0.25,0.25,1.0,0.6666666666666666,0.5,,0.16666666666666666,0.3333333333333333,0.6,,,0.2,0.3333333333333333,0.5357142857142857,0.3333333333333333,0.46437962962962964,0.5246999999999999,0.46853214285714284,0.13333333333333333,0.16,0.14634146341463414,0.6829268292682927,10.134782608695652,28.919999999999998,0.71875,5.0,1.0,1.0,2.0,2.0,,,,1.0,1.0,,,2.0,,,1.0,1.0,0.14285714285714285,,,,1.0,1.0,,,,,,,,,,,,,,,,,1610612764,2005,2004-05,True
1712-1716-1913-2407-2413,1610612764,"Antawn Jamison, Larry Hughes, Michael Ruffin, Jared Jeffries, Juan Dixon","Jamison, Hughes, Ruffin, Jeffries, Dixon",1712-1716-1913-2407-2413,WAS,91.0,1,2.0,2.0,3.0,2.0,,,,5.0,1.0,2.0,,,,,1.0,1.0,,,,,,,,,,,,2.0,3.0,,,,4.0,2.0,,,,,,,,,,,,2.0,2.0,,,,,,1.0,,1.0,,,1.0,2.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,0.5,0.5,,,,,0.6666666666666666,,,0.6666666666666666,,,0.6666666666666666,,,,,,,,1.0,,,0.5,,,,,,,,,1.0,,79.12087912087912,,12.333333333333334,27.0,12.333333333333334,20.0,0.6666666666666666,0.5,0.5,1.0,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,,0.5717333333333333,,,,,,,3.1333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2005,2004-05,True
1712-1716-2041-2198-2240,1610612764,"Antawn Jamison, Larry Hughes, Etan Thomas, Kwame Brown, Gilbert Arenas","Jamison, Hughes, Thomas, Brown, Arenas",1712-1716-2041-2198-2240,WAS,318.0,2,5.0,1.0,11.0,11.0,8.0,5.0,1.0,22.0,2.0,2.0,,,2.0,2.0,,,,2.0,,,,,,,3.0,,1.0,2.0,4.0,,3.0,7.0,11.0,10.0,,,1.0,,,2.0,4.0,,1.0,2.0,6.0,2.0,2.0,,,3.0,,,1.0,,1.0,,,1.0,2.0,1.0,,3.0,,3.0,1.0,4.0,,3.0,3.0,,,,1.0,,,,1.0,1.0,,4.0,,9.0,,1.0,2.0,,,,,,,11.0,6.0,8.0,1.0,0.5,0.5,,,,,0.5,,0.5,0.2857142857142857,,0.4,0.5,,0.42857142857142855,0.42857142857142855,,,,,0.75,,0.3333333333333333,0.6,0.2,,,,0.3333333333333333,,,1.0,,,99.62264150943396,,14.090909090909092,14.818181818181818,13.545454545454545,13.818181818181818,0.2857142857142857,1.0,1.0,0.5,,,,0.2857142857142857,,,,,,,0.42857142857142855,,,,,,,,0.4,1.0,,,0.2,,0.7142857142857143,,0.5197285714285714,,0.52989,0.2222222222222222,0.2,,0.5454545454545454,9.975,26.433333333333334,0.7272727272727273,,,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,1.0,0.25,,,,,,,,,,,,,,,1610612764,2005,2004-05,True
1712-1716-2041-2240-2407,1610612764,"Antawn Jamison, Larry Hughes, Etan Thomas, Gilbert Arenas, Jared Jeffries","Jamison, Hughes, Thomas, Arenas, Jeffries",1712-1716-2041-2240-2407,WAS,1096.0,5,18.0,6.0,38.0,39.0,10.0,16.0,4.0,77.0,7.0,12.0,,1.0,3.0,3.0,7.0,11.0,1.0,5.0,1.0,1.0,,,,4.0,8.0,1.0,1.0,15.0,28.0,5.0,9.0,4.0,49.0,43.0,1.0,3.0,2.0,,5.0,4.0,7.0,1.0,1.0,2.0,13.0,26.0,4.0,9.0,6.0,8.0,4.0,4.0,13.0,3.0,16.0,2.0,1.0,6.0,35.0,2.0,4.0,5.0,3.0,9.0,6.0,15.0,1.0,4.0,2.0,2.0,3.0,3.0,2.0,1.0,,,5.0,1.0,4.0,12.0,1.0,9.0,,6.0,,1.0,,1.0,1.0,1.0,,44.0,13.0,10.0,2.0,0.8666666666666667,0.8666666666666667,0.6,0.5555555555555556,1.0,0.5555555555555556,0.5357142857142857,0.3333333333333333,0.5714285714285714,0.6081081081081081,0.5,0.6875,0.6125,0.4166666666666667,0.7222222222222222,0.24324324324324326,0.14285714285714285,0.25,0.6,1.0,0.8333333333333334,0.3076923076923077,0.5,0.8571428571428571,0.35294117647058826,0.2,0.75,,0.5,,,0.5,1.0,0.07692307692307693,101.16788321167884,1.0,14.973684210526315,13.512820512820513,13.947368421052632,13.512820512820513,0.32432432432432434,0.5833333333333334,0.7777777777777778,0.8571428571428571,0.2972972972972973,0.6363636363636364,0.6363636363636364,0.13513513513513514,0.2,0.25,0.02702702702702703,1.0,1.0,1.0,0.21621621621621623,0.5,0.5,0.5,0.2,,,,0.375,1.0,,,0.125,1.0,0.5675675675675675,0.5,0.486127027027027,0.4966,0.50214375,0.15,0.1935483870967742,0.10204081632653061,0.2653061224489796,7.382142857142857,25.91111111111111,0.2631578947368421,1.0,1.0,1.0,,3.0,1.0,2.0,1.0,6.0,1.0,,,1.0,0.5,,,0.8571428571428571,1.0,0.4,0.5,1.0,,,,,0.2,,,,,,,,,,,,,,1610612764,2005,2004-05,True
1712-1716-2041-2240-2413,1610612764,"Antawn Jamison, Larry Hughes, Etan Thomas, Gilbert Arenas, Juan Dixon","Jamison, Hughes, Thomas, Arenas, Dixon",1712-1716-2041-2240-2413,WAS,516.0,5,9.0,-8.0,17.0,19.0,9.0,13.0,3.0,36.0,2.0,6.0,,1.0,,3.0,2.0,3.0,,2.0,,,,,,,5.0,,2.0,4.0,11.0,,5.0,2.0,10.0,18.0,1.0,2.0,,1.0,3.0,,5.0,,2.0,2.0,2.0,2.0,6.0,,,5.0,,1.0,1.0,,1.0,,,1.0,2.0,1.0,2.0,5.0,,7.0,3.0,10.0,2.0,1.0,,1.0,1.0,1.0,1.0,,,,2.0,2.0,5.0,7.0,1.0,4.0,,1.0,1.0,,,,1.0,,,7.0,2.0,9.0,,0.25,0.25,,,,,0.36363636363636365,0.5,,0.25,0.5,,0.2777777777777778,0.5,0.1111111111111111,0.3125,0.09090909090909091,0.16666666666666666,0.5,,0.625,0.2857142857142857,0.2,0.7,0.25,0.25,1.0,,0.2,,0.6666666666666666,1.0,0.5,0.18181818181818182,100.46511627906978,,13.588235294117647,15.0,13.235294117647058,14.68421052631579,0.375,0.3333333333333333,0.4,0.5,0.1875,0.6666666666666666,0.6666666666666666,0.125,,,,,,,0.3125,,,,0.5,,,,0.42857142857142855,,,,0.2857142857142857,,0.6875,,0.496328125,0.7544,0.47685000000000005,0.058823529411764705,0.08333333333333333,0.3,0.2,6.427272727272728,25.48,0.5294117647058824,2.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1610612764,2005,2004-05,True
