EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg3ptShotDistance,PenaltyOffPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,ShortMidRangeAssists,DefThreePtRebounds,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefThreePtReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,ShootingFouls,Corner3FGM,Corner3FGA,Corner3Assists,Blocked2s,BlockedShortMidRange,Blocks,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,DeadBallTurnovers,Travels,PenaltyTurnovers,Steals,BadPassSteals,BadPassTurnovers,DefArc3ReboundPct,PenaltyCorner3FGA,BlockedAtRim,RecoveredBlocks,BlocksRecoveredPct,PenaltyCorner3Frequency,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,PenaltyCorner3FGM,PenaltyArc3FGM,SecondChanceFtPoints,PenaltyFG3M,FTDefRebounds,SelfOReb,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Technical Free Throw Trips,PenaltyFg3Pct,DefFTReboundPct,OffShortMidRangeReboundPct,SelfORebPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,HeaveAttempts,Fg2aBlocked,LongMidRangeAssists,Blocked3s,BlockedArc3,DefensiveGoaltends,FG2APctBlocked,ShortMidRangePctBlocked,LongMidRangePctAssisted,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,FTOffRebounds,Loose Ball Fouls,OffFTReboundPct,AtRimPctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,LostBallSteals,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,OffensiveGoaltends,Defensive 3 Seconds Violations,SecondChanceFg3Pct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Offensive Fouls,team_id,year,season,team_vs
1715-1719-1899-2031-2073,1610612763,"Jason Williams, Bonzi Wells, James Posey, Stromile Swift, Brian Cardinal","Williams, Wells, Posey, Swift, Cardinal",1715-1719-1899-2031-2073,MEM,102.0,1,2.0,6.0,4.0,4,4.0,1.0,8,2.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,8.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,3.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,0.5,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.875,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,112.94117647058823,12.25,13.25,12.25,13.25,0.75,0.6666666666666666,0.6666666666666666,0.5,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.58055,0.5796,0.25,0.3333333333333333,0.25,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2005,2004-05,True
1715-1719-1899-2034-953,1610612763,"Jason Williams, Bonzi Wells, James Posey, Mike Miller, Lorenzen Wright","Williams, Wells, Posey, Miller, Wright",1715-1719-1899-2034-953,MEM,159.0,1,3.0,3.0,6.0,5,,,11,,,,,,1.0,2.0,3.0,,1.0,2.0,6.0,3.0,,,,2.0,2.0,,,1.0,,1.0,,1.0,,,2.0,,3.0,4.0,,4.0,,,,,2.0,,,6.0,,0.5,0.5,,,,0.6666666666666666,,0.5,,0.6,,0.25,,0.75,,0.8,,,,0.5,99.62264150943396,12.0,17.4,12.0,16.2,,,,,0.25,,,,,,0.25,,0.4419,,,,,25.4,6.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,6.0,1.0,1.0,1.0,6.0,6.0,0.6666666666666666,0.5,0.6,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.25,0.25,0.4419,1.0,11.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2005,2004-05,True
1715-1719-1899-2073-2203,1610612763,"Jason Williams, Bonzi Wells, James Posey, Brian Cardinal, Shane Battier","Williams, Wells, Posey, Cardinal, Battier",1715-1719-1899-2073-2203,MEM,32.0,1,1.0,-4.0,1.0,2,2.0,,3,,,,,,1.0,,,,1.0,,,4.0,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,135.0,14.0,9.0,14.0,9.0,,,,,1.0,,,,,,1.0,,0.5607,,,,,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2005,2004-05,True
1715-1719-1899-2200-2203,1610612763,"Jason Williams, Bonzi Wells, James Posey, Pau Gasol, Shane Battier","Williams, Wells, Posey, Gasol, Battier",1715-1719-1899-2200-2203,MEM,65.0,1,1.0,3.0,2.0,1,,,3,,,,,1.0,1.0,,1.0,1.0,1.0,,3.0,,,,,,,3.0,,1.0,1.0,,1.0,1.0,1.0,,3.0,,1.0,1.0,,1.0,,,,,,,,3.0,,,,1.0,1.0,1.0,,,0.75,,0.75,,0.5,,1.0,,1.0,,,,1.0,66.46153846153847,18.5,28.0,18.5,28.0,,,,,0.5,1.0,1.0,1.0,,,0.5,1.0,0.4677,,,,,25.6,,,1.0,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2005,2004-05,True
1715-1899-2031-2034-2203,1610612763,"Jason Williams, James Posey, Stromile Swift, Mike Miller, Shane Battier","Williams, Posey, Swift, Miller, Battier",1715-1899-2031-2034-2203,MEM,131.0,1,2.0,7.0,4.0,3,,,7,,,,,2.0,2.0,1.0,1.0,3.0,3.0,,11.0,4.0,,,,,2.0,9.0,,2.0,2.0,,3.0,3.0,2.0,,9.0,,,1.0,,1.0,,,,,,,,11.0,,,,1.0,1.0,1.0,1.0,,1.375,,1.375,,0.75,,,,0.3333333333333333,,,,,76.94656488549619,12.25,27.333333333333332,12.25,26.666666666666668,,,,,0.5,1.0,1.0,1.0,,,0.75,1.0,0.539575,,,,,24.3,,1.0,1.0,,,,,,,,,1.0,,,,,,,1.0,,1.0,0.25,1.0,1.0,,,,,,8.6,,,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2005,2004-05,True
1715-1899-2031-2563-953,1610612763,"Jason Williams, James Posey, Stromile Swift, Dahntay Jones, Lorenzen Wright","Williams, Posey, Swift, Jones, Wright",1715-1899-2031-2563-953,MEM,19.0,1,,-2.0,1.0,1,1.0,,2,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,151.57894736842107,10.0,9.0,10.0,9.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2005,2004-05,True
1715-1899-2034-2073-2200,1610612763,"Jason Williams, James Posey, Mike Miller, Brian Cardinal, Pau Gasol","Williams, Posey, Miller, Cardinal, Gasol",1715-1899-2034-2073-2200,MEM,15.0,1,,1.0,2.0,3,3.0,,5,,,,,,,,,,,4.0,4.0,3.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,4.0,,,4.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,480.0,0.5,4.666666666666667,0.5,4.666666666666667,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,4.0,4.0,,1.0,2.0,4.0,2.0,,,1.0,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2005,2004-05,True
1715-1899-2034-2073-2203,1610612763,"Jason Williams, James Posey, Mike Miller, Brian Cardinal, Shane Battier","Williams, Posey, Miller, Cardinal, Battier",1715-1899-2034-2073-2203,MEM,226.0,1,4.0,-1.0,9.0,8,8.0,,17,,,,,,1.0,2.0,4.0,,1.0,3.0,7.0,8.0,,,,,4.0,,,1.0,,,,,,,,,,2.0,,2.0,1.0,,1.0,1.0,4.0,,,7.0,,,,,,,0.5,,0.4,,0.5,,0.2,1.0,,,1.0,,,,,108.31858407079646,16.444444444444443,9.75,16.444444444444443,9.75,,,,,0.2,,,,,,0.2,,0.35015,,,,,26.0,4.0,2.0,2.0,2.0,,1.0,1.0,,3.0,5.0,,2.0,2.0,5.0,4.0,1.0,1.0,0.8333333333333334,1.0,,,0.4,1.0,1.0,,0.4,,0.2722,0.7142857142857143,13.45,0.4444444444444444,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2005,2004-05,True
1715-1899-2034-2073-953,1610612763,"Jason Williams, James Posey, Mike Miller, Brian Cardinal, Lorenzen Wright","Williams, Posey, Miller, Cardinal, Wright",1715-1899-2034-2073-953,MEM,102.0,1,2.0,1.0,4.0,4,,,8,,,,,,,1.0,2.0,,1.0,1.0,3.0,2.0,,,,2.0,,,,,,1.0,,1.0,,,2.0,,3.0,3.0,,3.0,,,,,2.0,,1.0,3.0,,1.0,1.0,,,,0.5,,0.3333333333333333,,0.375,,0.3333333333333333,,0.75,,0.75,,,1.0,0.5,112.94117647058823,11.5,14.0,11.5,13.25,,,,,,,,,,,0.3333333333333333,,0.4782166666666667,,0.25,0.3333333333333333,,23.2,4.0,1.0,2.0,,,1.0,2.0,1.0,1.0,3.0,1.0,,,3.0,4.0,0.5,0.3333333333333333,0.375,,1.0,,0.6666666666666666,0.5,0.5,1.0,,,0.4782166666666667,1.0,8.8,1.0,,,1.0,,1.0,,1.0,0.3333333333333333,,,,,,,,,,,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2005,2004-05,True
1715-1899-2034-2200-2203,1610612763,"Jason Williams, James Posey, Mike Miller, Pau Gasol, Shane Battier","Williams, Posey, Miller, Gasol, Battier",1715-1899-2034-2200-2203,MEM,499.0,2,8.0,-5.0,16.0,19,5.0,3.0,35,4.0,5.0,2.0,3.0,1.0,1.0,5.0,12.0,2.0,2.0,8.0,24.0,29.0,2.0,3.0,6.0,4.0,6.0,6.0,4.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,10.0,4.0,4.0,6.0,4.0,10.0,,,2.0,2.0,9.0,,1.0,18.0,,0.4,0.6666666666666666,1.0,1.0,1.0,0.4166666666666667,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.6388888888888888,0.75,0.14285714285714285,,0.6666666666666666,0.5714285714285714,0.5555555555555556,0.5714285714285714,1.0,,0.5,101.00200400801603,12.3125,15.894736842105264,12.125,15.210526315789474,0.35714285714285715,0.8,0.8,0.5,0.07142857142857142,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,0.48471785714285714,0.5704333333333333,0.06666666666666667,0.07692307692307693,0.25,24.8,12.0,,4.0,3.0,1.0,3.0,7.0,2.0,5.0,17.0,,1.0,3.0,17.0,12.0,0.42857142857142855,0.6666666666666666,0.7083333333333334,0.3333333333333333,0.75,,0.2857142857142857,,,,0.21428571428571427,0.1111111111111111,0.49251666666666666,0.7083333333333334,6.966666666666666,0.75,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07142857142857142,1.0,1.0,1.0,2.0,,1.0,,,,0.3333333333333333,1.0,,1.0,1.0,0.1111111111111111,3.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.75,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2005,2004-05,True
