EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,DefThreePtRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,Arc3FGM,Arc3FGA,FG3M,FG3A,SecondChanceFtPoints,SecondChancePoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DeadBallTurnovers,Turnovers,Offensive Fouls,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,DefTwoPtReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg3ptShotDistance,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,PtsPutbacks,Fg2aBlocked,OffTwoPtRebounds,OffRebounds,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,PenaltyArc3FGA,PenaltyFG3A,PenaltyArc3Frequency,ShortMidRangeFGA,SelfOReb,Loose Ball Fouls,ShortMidRangePctBlocked,SelfORebPct,ShortMidRangeFrequency,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,OffThreePtRebounds,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,SecondChanceFg3Pct,PenaltyFg3Pct,LiveBallTurnoverPct,OffThreePtReboundPct,OffArc3ReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,ShortMidRangeFGM,LongMidRangeAssists,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangePctAssisted,Corner3FGM,Corner3FGA,Corner3Assists,FTDefRebounds,DefFTReboundPct,OffCorner3ReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,ShortMidRangeAssists,ShortMidRangePctAssisted,PtsUnassisted3s,LostBallSteals,DefAtRimReboundPct,PenaltyCorner3FGA,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,RecoveredBlocks,DefCorner3ReboundPct,BlocksRecoveredPct,PenaltyCorner3Frequency,SecondChanceTurnovers,PenaltyTurnovers,BlockedShortMidRange,3SecondViolations,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceCorner3FGA,HeaveAttempts,FTOffRebounds,Travels,OffFTReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3FGM,Clear Path Fouls,Defensive 3 Seconds Violations,LongMidRangePctBlocked,SecondChanceAtRimPctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,team_id,year,season,team_vs
1517-1710-1730-722-978,1610612758,"Bobby Jackson, Mike Bibby, Brian Skinner, Corliss Williamson, Peja Stojakovic","Jackson, Bibby, Skinner, Williamson, Stojakovic",1517-1710-1730-722-978,SAC,63.0,1,1.0,4.0,3.0,2.0,3.0,2.0,5,1.0,1.0,1.0,1.0,4.0,6.0,2.0,1.0,1.0,4.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,6.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,114.28571428571428,8.666666666666666,18.5,8.666666666666666,14.0,1.0,1.0,1.0,0.3847,0.3847,1.0,19.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2005,2004-05,False
1517-1710-1749-1802-722,1610612758,"Bobby Jackson, Mike Bibby, Cuttino Mobley, Brad Miller, Corliss Williamson","Jackson, Bibby, Mobley, Miller, Williamson",1517-1710-1749-1802-722,SAC,318.0,2,5.0,-3.0,7.0,9.0,,,16,1.0,3.0,2.0,4.0,3.0,10.0,13.0,,,,,2.0,1.0,2.0,2.0,1.0,3.0,3.0,,9.0,,,0.5,,0.7,,0.75,,0.3333333333333333,0.5,0.3333333333333333,72.45283018867924,20.0,19.77777777777778,20.0,15.777777777777779,0.6,0.3333333333333333,0.3333333333333333,0.43834,,,12.35,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.4,1.0,0.16666666666666666,0.2,0.1,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2005,2004-05,False
1517-1710-1749-1802-978,1610612758,"Bobby Jackson, Mike Bibby, Cuttino Mobley, Brad Miller, Peja Stojakovic","Jackson, Bibby, Mobley, Miller, Stojakovic",1517-1710-1749-1802-978,SAC,51.0,2,1.0,,3.0,3.0,3.0,3.0,6,1.0,2.0,2.0,4.0,,4.0,4.0,2.0,4.0,,4.0,4.0,,,1.0,,2.0,,,2.0,4.0,3.0,0.5,0.5,0.5,0.5,0.5,0.5,,,,169.41176470588235,9.666666666666666,7.333333333333333,9.666666666666666,6.666666666666667,0.5,0.5,0.5,0.50015,0.50015,1.0,9.825,1.0,1.0,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,1.0,,,,,,0.5,,,,0.5,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.25,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.7024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2005,2004-05,False
1517-1710-1749-1903-978,1610612758,"Bobby Jackson, Mike Bibby, Cuttino Mobley, Kenny Thomas, Peja Stojakovic","Jackson, Bibby, Mobley, Thomas, Stojakovic",1517-1710-1749-1903-978,SAC,9.0,1,,-2.0,1.0,1.0,1.0,1.0,2,,,,,,,2.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,320.0,7.0,2.0,7.0,2.0,,,,0.3099,0.3099,,,1.0,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,26.2,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2005,2004-05,False
1517-1710-1749-722-978,1610612758,"Bobby Jackson, Mike Bibby, Cuttino Mobley, Corliss Williamson, Peja Stojakovic","Jackson, Bibby, Mobley, Williamson, Stojakovic",1517-1710-1749-722-978,SAC,156.0,2,3.0,-3.0,4.0,4.0,1.0,2.0,8,,,,4.0,3.0,3.0,6.0,,1.0,,,,1.0,1.0,3.0,,1.0,4.0,,3.0,,1.0,,,,,0.25,,1.0,0.5,1.0,73.84615384615384,17.5,21.5,17.0,21.25,,,,0.502175,0.2931,,1.4,0.25,,3.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,0.75,,,,,,,,0.75,,0.3333333333333333,0.3333333333333333,,,1.0,,2.0,,,,2.0,,1.0,2.0,2.0,,,,,0.25,,0.5,0.5,0.6666666666666666,1.0,,,,0.5646,,,,1.0,1.0,1.0,1.0,0.3333333333333333,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2005,2004-05,False
1517-1710-1749-731-978,1610612758,"Bobby Jackson, Mike Bibby, Cuttino Mobley, Greg Ostertag, Peja Stojakovic","Jackson, Bibby, Mobley, Ostertag, Stojakovic",1517-1710-1749-731-978,SAC,24.0,1,,-2.0,1.0,1.0,1.0,1.0,2,,1.0,,1.0,,,2.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,120.0,6.0,18.0,6.0,,1.0,,,0.2316,0.2316,,18.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2005,2004-05,False
1517-1710-1802-1903-978,1610612758,"Bobby Jackson, Mike Bibby, Brad Miller, Kenny Thomas, Peja Stojakovic","Jackson, Bibby, Miller, Thomas, Stojakovic",1517-1710-1802-1903-978,SAC,138.0,3,2.0,-2.0,4.0,3.0,2.0,1.0,7,,,,,,3.0,5.0,,,,3.0,,1.0,1.0,2.0,1.0,1.0,,,,3.0,2.0,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,73.04347826086958,27.75,9.0,22.25,6.0,,,,0.3856,0.3856,1.0,,0.5,,,1.0,3.0,1.0,3.0,,3.0,,3.0,3.0,1.0,,1.0,1.0,1.0,,3.0,,,2.0,,,,,,1.0,0.3333333333333333,0.3333333333333333,1.0,,,,,,,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,,,1.0,24.666666666666668,1.0,,,,,,,,,,1.0,,,1.5,1.5,,,,1.0,,,,,,,3.0,3.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2005,2004-05,False
1517-1710-1802-2230-2443,1610612758,"Bobby Jackson, Mike Bibby, Brad Miller, Maurice Evans, Darius Songaila","Jackson, Bibby, Miller, Evans, Songaila",1517-1710-1802-2230-2443,SAC,476.0,2,8.0,7.0,15.0,14.0,,,29,4.0,6.0,8.0,13.0,2.0,18.0,11.0,,,,,12.0,1.0,6.0,10.0,2.0,3.0,3.0,,12.0,,,0.6153846153846154,,0.5,,0.5294117647058824,,1.0,0.8571428571428571,1.0,87.73109243697479,14.733333333333333,18.214285714285715,12.933333333333334,18.214285714285715,0.375,0.6666666666666666,0.6666666666666666,0.468003125,,,10.153846153846153,,1.0,3.0,,3.0,,3.0,,6.0,4.0,,3.0,,2.0,,2.0,,,4.0,5.0,1.0,2.0,,,2.0,0.25,0.2857142857142857,,,,0.1875,0.8333333333333334,1.0,0.1875,0.3333333333333333,0.3333333333333333,,0.1875,,,,0.375,,0.11764705882352941,0.14285714285714285,0.3333333333333333,25.366666666666664,3.0,,1.0,,,3.0,4.0,2.0,,4.0,4.0,,0.75,0.75,0.75,,,0.8,0.5,1.0,0.25,,,,0.445375,,,,4.0,2.0,,,0.25,0.25,,,,,,,,1.0,1.0,,,,0.5,,,,,,,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.75,0.75,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2005,2004-05,False
1517-1710-1802-2443-978,1610612758,"Bobby Jackson, Mike Bibby, Brad Miller, Darius Songaila, Peja Stojakovic","Jackson, Bibby, Miller, Songaila, Stojakovic",1517-1710-1802-2443-978,SAC,571.0,4,10.0,-8.0,17.0,18.0,1.0,1.0,35,1.0,3.0,8.0,13.0,2.0,21.0,29.0,,,,,12.0,2.0,5.0,10.0,3.0,4.0,2.0,,16.0,,1.0,0.6153846153846154,,0.4523809523809524,,0.47619047619047616,,1.0,0.75,1.0,88.26619964973729,20.11764705882353,12.722222222222221,17.941176470588236,12.38888888888889,0.14285714285714285,0.3333333333333333,0.3333333333333333,0.4882976190476191,0.4014,,6.6923076923076925,0.058823529411764705,4.0,4.0,,5.0,1.0,8.0,1.0,5.0,4.0,3.0,5.0,,2.0,1.0,3.0,,2.0,7.0,1.0,,1.0,,1.0,1.0,0.25,0.2857142857142857,1.0,0.125,0.125,0.38095238095238093,0.5,,0.19047619047619047,1.0,1.0,0.5,0.23809523809523808,,,,0.5714285714285714,,0.047619047619047616,0.07692307692307693,0.23809523809523808,24.625,5.0,1.0,1.0,,,2.0,3.0,2.0,1.0,1.0,5.0,1.0,0.6666666666666666,0.4,0.5,0.07692307692307693,,0.2,0.4166666666666667,,0.2,1.0,,,0.4802,1.0,1.0,1.0,6.0,1.0,,0.16666666666666666,0.09090909090909091,0.2857142857142857,,2.0,,,2.0,,4.0,1.0,1.0,,,,1.0,0.5714285714285714,0.4,0.4,,,,3.0,,,,,1.0,,0.5,1.0,0.5,0.6,,1.0,3.0,1.0,2.0,1.0,1.0,0.14285714285714285,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2005,2004-05,False
1517-1710-1802-722-978,1610612758,"Bobby Jackson, Mike Bibby, Brad Miller, Corliss Williamson, Peja Stojakovic","Jackson, Bibby, Miller, Williamson, Stojakovic",1517-1710-1802-722-978,SAC,87.0,1,1.0,-3.0,3.0,3.0,,,6,,2.0,1.0,4.0,,2.0,5.0,,,,,,,1.0,2.0,1.0,1.0,,,2.0,,,0.25,,0.25,,0.25,,,1.0,,99.3103448275862,17.0,12.0,10.666666666666666,12.0,0.5,,,0.446175,,,11.15,,,1.0,,,,,,,2.0,,,,1.0,,1.0,,,2.0,1.0,,,,,,1.0,1.0,,,,,1.0,1.0,0.25,,,,,,,,0.25,,,,,,1.0,,,,,,1.0,,,1.0,1.0,,,,,,,0.3333333333333333,0.3333333333333333,1.0,,,,,0.3666,,,,1.0,,,,,0.25,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2005,2004-05,False
