EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,AtRimFGA,PenaltyAtRimFGA,LongMidRangeFGA,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,Steals,LostBallSteals,ShootingFouls,Fouls,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,TsPct,PenaltyTsPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,LongMidRangeFrequency,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,SecondChanceOffPoss,ShortMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,FG3M,FG3A,SecondChanceFG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,EfgPct,FG3APct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,Avg3ptShotDistance,TwoPtShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,DefShortMidRangeReboundPct,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,FG2M,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,DefensiveGoaltends,Fg2Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,ShortMidRangePctBlocked,OffAtRimReboundPct,OffShortMidRangeReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChancePointsPct,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,PenaltyFg3Pct,PenaltyEfgPct,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyAtRimFGM,ShortMidRangeFGM,PenaltyFG2M,PtsUnassisted3s,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Offensive Fouls,2pt And 1 Free Throw Trips,PenaltyFg2Pct,LiveBallTurnoverPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyAtRimAccuracy,AtRimPctBlocked,DefCorner3ReboundPct,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,PtsAssisted2s,TwoPtAssists,AtRimAssists,LongMidRangeAssists,OffThreePtRebounds,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg3Pct,OffThreePtReboundPct,OffArc3ReboundPct,AtRimPctAssisted,LongMidRangePctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Fg3aBlocked,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FG3APctBlocked,Arc3PctBlocked,BlocksRecoveredPct,SecondChanceFtPoints,FTOffRebounds,OffFTReboundPct,Loose Ball Fouls,ShortMidRangeAssists,ShortMidRangePctAssisted,LostBallOutOfBoundsTurnovers,Defensive 3 Seconds Violations,DefAtRimReboundPct,Corner3FGM,PenaltyCorner3FGM,Corner3Assists,BadPassOutOfBoundsTurnovers,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,BlockedAtRim,SelfOReb,LostBallTurnovers,Technical Free Throw Trips,OffCorner3ReboundPct,SelfORebPct,HeaveAttempts,Travels,SecondChanceAtRimPctAssisted,OffensiveGoaltends,team_id,year,season,team_vs
1715-1719-1899-2031-2073,1610612763,"Jason Williams, Bonzi Wells, James Posey, Stromile Swift, Brian Cardinal","Williams, Wells, Posey, Swift, Cardinal",1715-1719-1899-2031-2073,MEM,102.0,1,2.0,-6.0,4,4.0,4.0,8,1.0,1.0,2.0,3.0,2.0,2.0,8.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,0.25,0.25,112.94117647058823,13.25,12.25,13.25,12.25,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.49,0.49,1.0,12.866666666666667,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2005,2004-05,False
1715-1719-1899-2034-953,1610612763,"Jason Williams, Bonzi Wells, James Posey, Mike Miller, Lorenzen Wright","Williams, Wells, Posey, Miller, Wright",1715-1719-1899-2034-953,MEM,159.0,1,3.0,-3.0,5,6.0,,11,,,2.0,4.0,,3.0,6.0,,,,,,,1.0,,,3.0,,,0.25,,99.62264150943396,17.4,12.0,16.2,12.0,,0.3333333333333333,,0.3333333333333333,0.455025,,,12.2,,6.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,0.5,0.5,0.25,0.3333333333333333,1.0,1.0,0.25,1.0,1.0,0.2,0.5,1.0,1.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,0.5502,24.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2005,2004-05,False
1715-1719-1899-2073-2203,1610612763,"Jason Williams, Bonzi Wells, James Posey, Brian Cardinal, Shane Battier","Williams, Wells, Posey, Cardinal, Battier",1715-1719-1899-2073-2203,MEM,32.0,1,1.0,4.0,2,1.0,2.0,3,,,,,4.0,4.0,,,4.0,4.0,,,,,4.0,1.0,4.0,4.0,2.0,1.0,1.0,135.0,9.0,14.0,9.0,14.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2005,2004-05,False
1715-1719-1899-2200-2203,1610612763,"Jason Williams, Bonzi Wells, James Posey, Pau Gasol, Shane Battier","Williams, Wells, Posey, Gasol, Battier",1715-1719-1899-2200-2203,MEM,65.0,1,1.0,-3.0,1,2.0,,3,,,1.0,1.0,,,3.0,,,,,,,,,,,,,,,66.46153846153847,28.0,18.5,28.0,18.5,,1.0,,,0.3882,,,16.1,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2005,2004-05,False
1715-1899-2031-2034-2203,1610612763,"Jason Williams, James Posey, Stromile Swift, Mike Miller, Shane Battier","Williams, Posey, Swift, Miller, Battier",1715-1899-2031-2034-2203,MEM,131.0,1,2.0,-7.0,3,4.0,,7,2.0,,1.0,4.0,,4.0,11.0,,,,,,,,,,2.0,,,0.4,,76.94656488549619,27.333333333333332,12.25,26.666666666666668,12.25,0.4,0.2,,0.6,0.5059199999999999,,,7.175,,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,2.0,,,,,2.0,2.0,,,,,0.4,0.2,,,1.0,,,0.6666666666666666,,,,0.2,0.2,,,,,,,0.58135,22.8,,,,,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,0.5,0.5,0.5,0.5,0.25,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2005,2004-05,False
1715-1899-2031-2563-953,1610612763,"Jason Williams, James Posey, Stromile Swift, Dahntay Jones, Lorenzen Wright","Williams, Posey, Swift, Jones, Wright",1715-1899-2031-2563-953,MEM,19.0,1,,2.0,1,1.0,1.0,2,,,,,2.0,2.0,,,2.0,2.0,,,,,2.0,1.0,2.0,2.0,1.0,1.0,1.0,151.57894736842107,9.0,10.0,9.0,10.0,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2005,2004-05,False
1715-1899-2034-2073-2200,1610612763,"Jason Williams, James Posey, Mike Miller, Brian Cardinal, Pau Gasol","Williams, Posey, Miller, Cardinal, Gasol",1715-1899-2034-2073-2200,MEM,15.0,1,,-1.0,3,2.0,3.0,5,,,,,,3.0,4.0,,,3.0,,,,2.0,,,3.0,3.0,3.0,0.5,0.5,480.0,4.666666666666667,0.5,4.666666666666667,0.5,,,,1.0,0.25984999999999997,0.25984999999999997,1.0,,1.0,2.0,,,1.0,,1.0,2.0,1.0,3.0,,3.0,2.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,2.0,1.0,0.3333333333333333,0.3333333333333333,0.5,1.0,,,,,,,,,,,0.3333333333333333,0.6666666666666666,0.5,0.5,1.0,,0.5,,27.566666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,3.0,0.3333333333333333,0.5,0.3333333333333333,0.6666666666666666,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2005,2004-05,False
1715-1899-2034-2073-2203,1610612763,"Jason Williams, James Posey, Mike Miller, Brian Cardinal, Shane Battier","Williams, Posey, Miller, Cardinal, Battier",1715-1899-2034-2073-2203,MEM,226.0,1,4.0,1.0,8,9.0,8.0,17,1.0,1.0,,2.0,1.0,8.0,7.0,2.0,1.0,8.0,1.0,,,5.0,1.0,,8.0,8.0,8.0,0.8,0.8,108.31858407079646,9.75,16.444444444444443,9.75,16.444444444444443,0.2,,0.2,0.8,0.44864,0.44864,1.0,3.75,1.0,4.0,,1.0,,,1.0,3.0,1.0,3.0,,,3.0,1.0,,,,,,1.0,2.0,1.0,4.0,,4.0,2.0,,0.3333333333333333,0.3333333333333333,0.7,0.6,1.0,1.0,,1.0,1.0,,,1.0,1.0,0.2,,0.6,0.3333333333333333,0.3333333333333333,,,0.3333333333333333,,25.7,1.0,0.2,0.5,,1.0,,,,2.0,,,,4.0,,,,1.0,,,,,,,,1.0,1.0,,,,,,,1.0,3.0,1.0,3.0,0.3333333333333333,0.7,,0.6,0.3333333333333333,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2005,2004-05,False
1715-1899-2034-2073-953,1610612763,"Jason Williams, James Posey, Mike Miller, Brian Cardinal, Lorenzen Wright","Williams, Posey, Miller, Cardinal, Wright",1715-1899-2034-2073-953,MEM,102.0,1,2.0,-1.0,4,4.0,,8,2.0,,2.0,5.0,,2.0,3.0,,,,,,1.0,1.0,,,,,,0.2,,112.94117647058823,14.0,11.5,13.25,11.5,0.4,0.4,,0.4,0.5055799999999999,,,8.48,,4.0,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,2.0,1.0,3.0,,,,,0.2,,,1.0,0.25,1.0,1.0,0.25,0.5,,,0.2,,,,,,,,0.6162,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,2.0,,1.0,,0.2,1.0,1.0,1.0,0.2,,,,0.5,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2005,2004-05,False
1715-1899-2034-2200-2203,1610612763,"Jason Williams, James Posey, Mike Miller, Pau Gasol, Shane Battier","Williams, Posey, Miller, Gasol, Battier",1715-1899-2034-2200-2203,MEM,499.0,2,8.0,5.0,19,16.0,5.0,35,4.0,2.0,4.0,15.0,1.0,29.0,24.0,3.0,,10.0,,,1.0,5.0,2.0,,22.0,10.0,5.0,0.6590909090909091,0.7142857142857143,101.00200400801603,15.894736842105264,12.3125,15.210526315789474,12.125,0.18181818181818182,0.18181818181818182,0.2857142857142857,0.5,0.44212499999999993,0.44239285714285714,0.3448275862068966,9.1,0.2631578947368421,12.0,4.0,7.0,,,4.0,7.0,4.0,7.0,1.0,9.0,7.0,4.0,3.0,6.0,3.0,15.0,2.0,,3.0,,3.0,4.0,7.0,3.0,0.75,0.5714285714285714,0.5714285714285714,0.6363636363636364,0.3181818181818182,,0.42857142857142855,0.3333333333333333,,0.42857142857142855,0.4444444444444444,0.5,1.0,,0.3181818181818182,,0.3181818181818182,0.5714285714285714,0.5714285714285714,0.75,,0.5714285714285714,0.44915,24.928571428571427,2.0,0.09090909090909091,0.13333333333333333,0.25,3.0,1.0,1.0,2.0,8.0,2.0,2.0,7.0,10.0,2.0,1.0,,0.5333333333333333,1.0,1.1666666666666667,1.1666666666666667,0.06666666666666667,0.14285714285714285,,0.25,0.75,0.75,0.5,0.5,0.3333333333333333,1.0,0.2413793103448276,,2.0,4.0,2.0,4.0,0.5,0.7142857142857143,,0.5714285714285714,0.5,2.0,3.0,2.0,3.0,,,,1.0,1.0,,,2.0,0.6666666666666666,,0.42857142857142855,0.5,1.0,,,1.0,1.0,1.0,6.0,3.0,1.0,2.0,2.0,0.375,0.42857142857142855,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2005,2004-05,False
