EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyArc3FGM,SecondChanceFtPoints,PenaltyFG3M,PtsUnassisted3s,Travels,Offensive Fouls,Technical Free Throw Trips,PenaltyFg3Pct,PenaltyArc3Accuracy,SecondChanceCorner3FGA,OffCorner3ReboundPct,SecondChanceCorner3Frequency,Corner3FGM,SecondChanceCorner3FGM,PenaltyCorner3FGM,SecondChanceFG3M,Corner3Assists,ShortMidRangeAssists,LostBallOutOfBoundsTurnovers,DefensiveGoaltends,SecondChanceFg3Pct,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,HeaveAttempts,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceArc3FGM,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,3SecondViolations,Defensive 3 Seconds Violations,Clear Path Fouls,OffensiveGoaltends,HeaveMakes,Corner3PctBlocked,FoulsDrawn,Offensive Fouls Drawn,BlockedCorner3,team_id,year,season,team_vs
1890-2047-2063-2207-2405,1610612756,"Shawn Marion, Quentin Richardson, Jake Voskuhl, Joe Johnson, Amar'e Stoudemire","Marion, Richardson, Voskuhl, Johnson, Stoudemire",1890-2047-2063-2207-2405,PHX,2305.0,5,38.0,-28.0,68.0,73.0,13.0,9.0,16.0,141.0,9.0,15.0,4.0,6.0,1.0,3.0,1.0,13.0,7.0,22.0,6.0,2.0,2.0,11.0,3.0,4.0,17.0,50.0,2.0,17.0,12.0,52.0,80.0,4.0,10.0,3.0,8.0,1.0,6.0,6.0,5.0,7.0,24.0,10.0,6.0,4.0,11.0,2.0,5.0,12.0,2.0,14.0,2.0,7.0,5.0,30.0,3.0,12.0,1.0,6.0,20.0,4.0,30.0,16.0,46.0,1.0,4.0,3.0,1.0,6.0,2.0,4.0,3.0,2.0,9.0,4.0,2.0,10.0,19.0,1.0,17.0,1.0,7.0,2.0,8.0,4.0,1.0,3.0,8.0,3.0,44.0,7.0,13.0,2.0,0.7058823529411765,0.8,1.0,0.11764705882352941,0.11764705882352941,0.34,0.4,0.16666666666666666,0.29850746268656714,0.3076923076923077,0.08333333333333333,0.3466666666666667,0.3076923076923077,0.21875,0.2537313432835821,0.1,0.06666666666666667,0.15384615384615385,0.09090909090909091,0.6666666666666666,1.0,0.25,0.5882352941176471,0.36363636363636365,0.6,0.21428571428571427,0.5909090909090909,0.3191489361702128,0.3333333333333333,0.25,0.4666666666666667,0.375,0.375,0.6428571428571429,0.6666666666666666,0.75,0.5,0.023809523809523808,88.08676789587852,0.375,18.441176470588236,14.397260273972602,16.970588235294116,13.04109589041096,0.22388059701492538,0.6,0.6428571428571429,0.7777777777777778,0.19402985074626866,0.07692307692307693,0.09090909090909091,0.3283582089552239,0.3181818181818182,0.35,0.7142857142857143,0.08955223880597014,0.16417910447761194,0.18181818181818182,0.18181818181818182,1.0,0.46153846153846156,0.6666666666666666,0.5,0.23076923076923078,0.25,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.47761194029850745,0.18181818181818182,0.4771126865671642,0.47748999999999997,0.45534583333333334,0.0958904109589041,0.125,0.15384615384615385,0.1346153846153846,10.255999999999998,24.758823529411764,0.19117647058823528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2005,2004-05,True
1890-2047-2063-2207-2418,1610612756,"Shawn Marion, Quentin Richardson, Jake Voskuhl, Joe Johnson, Casey Jacobsen","Marion, Richardson, Voskuhl, Johnson, Jacobsen",1890-2047-2063-2207-2418,PHX,1037.0,4,17.0,,36.0,34.0,20.0,12.0,6.0,70.0,4.0,7.0,3.0,5.0,3.0,6.0,1.0,7.0,4.0,12.0,,,2.0,9.0,1.0,5.0,9.0,26.0,2.0,9.0,8.0,32.0,32.0,3.0,6.0,1.0,8.0,6.0,15.0,5.0,4.0,22.0,8.0,10.0,3.0,6.0,9.0,2.0,1.0,4.0,1.0,5.0,1.0,,4.0,11.0,2.0,5.0,1.0,1.0,11.0,1.0,13.0,8.0,21.0,2.0,3.0,3.0,,1.0,1.0,,3.0,1.0,4.0,,3.0,5.0,11.0,2.0,9.0,,3.0,1.0,2.0,2.0,,,2.0,,24.0,22.0,20.0,2.0,0.4444444444444444,0.6666666666666666,0.5,0.2222222222222222,0.2222222222222222,0.34615384615384615,0.5,0.4,0.34285714285714286,0.42857142857142855,0.45,0.41025641025641024,0.5,0.5,0.2571428571428571,0.038461538461538464,,0.14285714285714285,,0.25,1.0,1.0,0.7333333333333333,0.3125,0.3333333333333333,0.2857142857142857,0.6666666666666666,0.30434782608695654,0.6666666666666666,0.16666666666666666,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.75,0.75,0.5,,0.09090909090909091,97.20347155255544,,15.805555555555555,13.764705882352942,15.36111111111111,13.029411764705882,0.2,0.5714285714285714,0.5714285714285714,,0.2,0.14285714285714285,0.16666666666666666,0.34285714285714286,0.3333333333333333,0.3333333333333333,1.0,,0.2571428571428571,0.2222222222222222,0.2222222222222222,0.5,0.7142857142857143,0.6,,0.14285714285714285,0.3,0.5,,0.25,0.45714285714285713,0.2222222222222222,0.45815000000000006,0.51224,0.4622275,0.07894736842105263,0.10344827586206896,0.25,0.6875,11.303846153846154,25.422222222222224,0.5555555555555556,2.0,2.0,2.0,3.0,1.0,1.0,1.0,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2005,2004-05,True
1890-2047-2063-2207-2470,1610612756,"Shawn Marion, Quentin Richardson, Jake Voskuhl, Joe Johnson, Smush Parker","Marion, Richardson, Voskuhl, Johnson, Parker",1890-2047-2063-2207-2470,PHX,143.0,1,2.0,1.0,5.0,5.0,,5.0,,10.0,,,,,,,,,,,,,2.0,4.0,,,,,2.0,4.0,,6.0,5.0,,,,,,,,,,,,3.0,,4.0,2.0,,,1.0,1.0,1.0,,,3.0,,,,1.0,2.0,,3.0,,3.0,,,,,,,,1.0,,1.0,,,1.0,2.0,,,,,,,,,,,,6.0,,,,,,0.5,0.5,0.5,,,,0.75,,,0.75,,,1.0,,,,,,,,0.6666666666666666,,1.0,,0.75,,,,,,1.0,,1.0,1.0,,,100.69930069930071,,11.6,17.0,11.6,13.0,,,,,,,,,,,,,1.0,0.5,0.5,0.5,,,,,,,,,1.0,0.5,0.58455,,,,,,,,25.025,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2005,2004-05,True
1890-2047-2063-2207-2571,1610612756,"Shawn Marion, Quentin Richardson, Jake Voskuhl, Joe Johnson, Leandro Barbosa","Marion, Richardson, Voskuhl, Johnson, Barbosa",1890-2047-2063-2207-2571,PHX,724.0,6,12.0,-10.0,24.0,21.0,12.0,12.0,2.0,45.0,3.0,3.0,,,2.0,2.0,1.0,4.0,,3.0,,,2.0,7.0,,3.0,4.0,10.0,2.0,7.0,8.0,22.0,32.0,,1.0,,1.0,2.0,3.0,3.0,6.0,16.0,,8.0,6.0,,7.0,2.0,1.0,,2.0,2.0,2.0,,,6.0,1.0,2.0,,2.0,4.0,,6.0,3.0,9.0,,,,,4.0,1.0,3.0,2.0,1.0,6.0,,3.0,2.0,5.0,,11.0,,3.0,2.0,,,,,,,21.0,16.0,12.0,,,,1.0,0.2857142857142857,0.2857142857142857,0.4,,0.6666666666666666,0.4117647058823529,,0.8333333333333334,0.4772727272727273,0.25,0.75,0.4117647058823529,0.1,,,0.3333333333333333,0.6666666666666666,,,0.5714285714285714,0.4,0.6666666666666666,0.2,0.6,0.3,,0.6666666666666666,,0.2,0.4,1.0,1.0,1.0,,,89.50276243093923,,15.291666666666666,17.0,15.125,16.0,0.17647058823529413,1.0,1.0,,0.23529411764705882,0.25,0.25,0.17647058823529413,,,,,0.4117647058823529,0.2857142857142857,0.2857142857142857,1.0,,,,,0.3333333333333333,1.0,,0.5,0.5882352941176471,0.2857142857142857,0.45071764705882356,0.4948,0.4982166666666667,0.15,0.23076923076923078,0.045454545454545456,0.7272727272727273,8.440000000000001,26.52857142857143,0.5,2.0,1.0,2.0,,,,1.0,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2005,2004-05,True
1890-2047-2063-2207-754,1610612756,"Shawn Marion, Quentin Richardson, Jake Voskuhl, Joe Johnson, Jim Jackson","Marion, Richardson, Voskuhl, Johnson, Jackson",1890-2047-2063-2207-754,PHX,349.0,3,6.0,-1.0,12.0,12.0,2.0,2.0,1.0,24.0,1.0,3.0,,,,1.0,,,2.0,5.0,2.0,,,1.0,,,3.0,8.0,,3.0,3.0,9.0,10.0,,,1.0,,,1.0,,2.0,2.0,,6.0,,,1.0,,2.0,,,,,,,,1.0,,,2.0,1.0,,3.0,1.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,4.0,,2.0,,,,,,,,9.0,2.0,2.0,,,,,,,0.375,,,0.2727272727272727,,,0.34615384615384615,,0.5,0.2727272727272727,0.25,0.6666666666666666,,,,,,1.0,,1.0,0.3333333333333333,1.0,0.125,,,,,,,1.0,1.0,1.0,0.16666666666666666,99.02578796561605,,18.166666666666668,10.916666666666666,17.083333333333332,10.916666666666666,0.2727272727272727,0.3333333333333333,1.0,,,,,0.45454545454545453,0.4,0.4,,0.18181818181818182,0.09090909090909091,,,,,,,,1.0,,,,0.5454545454545454,,0.4968363636363637,,0.5654,0.15384615384615385,0.2,,0.2222222222222222,11.8,24.233333333333334,0.16666666666666666,,,,,,,,,,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2005,2004-05,True
1890-2047-2063-2207-959,1610612756,"Shawn Marion, Quentin Richardson, Jake Voskuhl, Joe Johnson, Steve Nash","Marion, Richardson, Voskuhl, Johnson, Nash",1890-2047-2063-2207-959,PHX,3245.0,16,54.0,-7.0,108.0,110.0,40.0,58.0,16.0,218.0,13.0,24.0,3.0,9.0,4.0,11.0,5.0,16.0,10.0,33.0,8.0,1.0,7.0,17.0,2.0,6.0,28.0,73.0,11.0,25.0,24.0,113.0,120.0,6.0,16.0,3.0,17.0,7.0,25.0,7.0,19.0,42.0,30.0,26.0,33.0,4.0,17.0,7.0,6.0,15.0,11.0,26.0,7.0,6.0,8.0,63.0,4.0,18.0,,15.0,14.0,2.0,31.0,22.0,53.0,3.0,10.0,7.0,3.0,7.0,6.0,5.0,10.0,2.0,17.0,2.0,4.0,7.0,21.0,4.0,28.0,1.0,8.0,6.0,4.0,3.0,,1.0,4.0,1.0,96.0,42.0,40.0,10.0,0.5357142857142857,0.5769230769230769,1.0,0.44,0.44,0.3835616438356164,0.375,0.28,0.45408163265306123,0.39473684210526316,0.359375,0.5045045045045045,0.425,0.4880952380952381,0.25510204081632654,0.0821917808219178,0.125,0.1875,,0.4117647058823529,1.0,,0.4666666666666667,0.4090909090909091,0.8333333333333334,0.3076923076923077,0.6041666666666666,0.38596491228070173,0.5,0.45454545454545453,0.34782608695652173,0.2222222222222222,0.2727272727272727,1.0,0.42857142857142855,0.8235294117647058,1.0,0.058823529411764705,96.73959938366717,0.25,16.40740740740741,13.39090909090909,15.046296296296296,12.718181818181819,0.24489795918367346,0.5416666666666666,0.6190476190476191,0.46153846153846156,0.16326530612244897,0.3125,0.38461538461538464,0.336734693877551,0.30303030303030304,0.30303030303030304,0.8,0.08163265306122448,0.17346938775510204,0.4117647058823529,0.4117647058823529,1.0,0.47368421052631576,0.3333333333333333,,0.10526315789473684,0.34375,0.36363636363636365,0.03125,0.1875,0.5,0.4117647058823529,0.47420459183673475,0.510634375,0.4518890625,0.0761904761904762,0.1,0.1504424778761062,0.37168141592920356,10.59041095890411,24.464000000000002,0.37037037037037035,2.0,2.0,3.0,,1.0,1.0,1.0,0.42857142857142855,0.3333333333333333,1.0,0.5,0.05263157894736842,4.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,0.3333333333333333,0.2,0.5,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1610612756,2005,2004-05,True
1890-2047-2063-2405-2418,1610612756,"Shawn Marion, Quentin Richardson, Jake Voskuhl, Amar'e Stoudemire, Casey Jacobsen","Marion, Richardson, Voskuhl, Stoudemire, Jacobsen",1890-2047-2063-2405-2418,PHX,79.0,1,1.0,2.0,2.0,2.0,,,1.0,4.0,1.0,1.0,,,,,,2.0,,1.0,,,,,,,1.0,4.0,,,,2.0,,,2.0,,,,,,,,,2.0,,,,,1.0,,,,,,,,,2.0,,,,,,2.0,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,0.25,,,0.25,,,0.25,,,,0.25,,0.5,,,,,,0.6666666666666666,,,,0.6666666666666666,,1.0,,,,,,,,,72.9113924050633,,25.0,14.5,17.0,14.5,0.25,1.0,1.0,,0.5,,,0.25,,,,,,,,,,,,,,,,,0.25,,0.4069,0.3589,,,,,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2005,2004-05,True
1890-2047-2063-2405-959,1610612756,"Shawn Marion, Quentin Richardson, Jake Voskuhl, Amar'e Stoudemire, Steve Nash","Marion, Richardson, Voskuhl, Stoudemire, Nash",1890-2047-2063-2405-959,PHX,164.0,1,3.0,2.0,5.0,5.0,,,1.0,10.0,2.0,3.0,,,,,,1.0,1.0,1.0,,,,,,,3.0,5.0,,,,6.0,4.0,1.0,1.0,,2.0,,,,,,6.0,,,,,,,3.0,,3.0,,2.0,1.0,6.0,,1.0,,1.0,1.0,,2.0,1.0,3.0,,1.0,1.0,,,1.0,,1.0,,1.0,,,,1.0,,,,,,,,,,,,4.0,,,,1.0,1.0,,,,0.6,1.0,,0.6,1.0,,0.6,1.0,,,,,,,,,,1.0,0.5,1.0,,1.0,0.5,1.0,,,,,,1.0,,1.0,,87.80487804878048,,15.6,17.2,15.0,17.2,0.6,0.6666666666666666,0.6666666666666666,1.0,0.2,,,0.2,1.0,1.0,1.0,,,,,,,,,,,,,,0.6,,0.5154,0.3785,,,,0.3333333333333333,,6.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2005,2004-05,True
1890-2047-2063-2418-2470,1610612756,"Shawn Marion, Quentin Richardson, Jake Voskuhl, Casey Jacobsen, Smush Parker","Marion, Richardson, Voskuhl, Jacobsen, Parker",1890-2047-2063-2418-2470,PHX,24.0,1,,,1.0,1.0,1.0,1.0,,2.0,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,2.0,2.0,,,,,1.0,1.0,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,2.0,1.0,1.0,,,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,120.0,,15.0,9.0,15.0,9.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,0.3828,,0.3828,,,,1.0,9.6,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2005,2004-05,True
1890-2047-2063-2418-2571,1610612756,"Shawn Marion, Quentin Richardson, Jake Voskuhl, Casey Jacobsen, Leandro Barbosa","Marion, Richardson, Voskuhl, Jacobsen, Barbosa",1890-2047-2063-2418-2571,PHX,411.0,3,7.0,13.0,15.0,13.0,7.0,,1.0,28.0,2.0,2.0,,,1.0,1.0,1.0,2.0,1.0,5.0,1.0,,1.0,2.0,,1.0,4.0,9.0,2.0,3.0,5.0,19.0,6.0,,1.0,,,2.0,6.0,1.0,2.0,9.0,4.0,4.0,6.0,,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,10.0,,1.0,,1.0,4.0,1.0,6.0,1.0,7.0,,2.0,2.0,,,1.0,,2.0,,2.0,,,,,,5.0,1.0,3.0,,1.0,,,1.0,1.0,,19.0,9.0,7.0,,0.5,0.5,1.0,0.6666666666666666,0.6666666666666666,0.4444444444444444,,0.3333333333333333,0.5833333333333334,,0.5,0.6785714285714286,,0.5625,0.25,0.1111111111111111,,0.5,,,1.0,,0.6666666666666666,0.25,0.5,,0.625,0.2,,1.0,,,1.0,0.3333333333333333,1.0,1.0,,,98.1021897810219,,14.866666666666667,14.461538461538462,14.733333333333333,12.846153846153847,0.16666666666666666,1.0,1.0,0.5,0.16666666666666666,0.5,1.0,0.4166666666666667,0.2,0.2,1.0,0.08333333333333333,0.16666666666666666,0.5,0.5,1.0,,,,,0.14285714285714285,1.0,,0.14285714285714285,0.4166666666666667,0.5,0.41496666666666665,0.2216,0.3882714285714286,0.21428571428571427,0.2727272727272727,,0.47368421052631576,11.711111111111112,25.166666666666668,0.4666666666666667,1.0,,1.0,,,,,1.0,1.0,,,,1.0,,,,1.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2005,2004-05,True
